id,original_question,lexical,syntactic,indirect,answer
31,Could George Washington's own speeches have been recorded live to a compact disc?,Was it possible for George Washington's speeches to be captured live on a compact disc?,Could live recordings of George Washington's own speeches have been made on a compact disc?,Was the technology to capture George Washington's live speeches directly onto compact discs in existence during his lifetime?,False
32,Would food made with black salt smell of sulfur?,Do dishes prepared with black salt emit a sulfuric odor?,Does black salt cause food to have a sulfur smell?,Is a sulfur-like odor an inherent property of meals seasoned with black salt?,True
33,Would a broadcast from Spirit make the news in 2020?,Would a transmission from the Spirit rover be newsworthy in 2020?,"If Spirit were to transmit a signal in 2020, would it become a major news story?","Considering Spirit's dormancy, would receiving a signal from it in 2020 attract widespread media attention?",True
34,Could Robert Wadlow hypothetically see Frankenstein's monster's bald spot from above?,"Would it be possible for Robert Wadlow, in theory, to observe Frankenstein's monster's hairless area by looking down?","Due to his extreme height, could Robert Wadlow theoretically identify a bald patch on Frankenstein's monster's head from a downward vantage point?","Given Robert Wadlow's exceptional stature, would he have been able to spot a bald patch on the crown of Frankenstein's monster's head?",True
35,Is the tibia necessary to win the Stanley Cup?,Is a shin bone essential to secure the Stanley Cup?,Is the presence of the tibia a requirement for winning the Stanley Cup?,Is a Stanley Cup victory contingent on the tibia?,True
36,Would an ethics professor teach a class on Cezanne?,Would a professor of ethics instruct a course about Cezanne?,Would a course about Cezanne be taught by an ethics professor?,Does the curriculum of an ethics professor usually encompass artistic figures such as Cezanne?,False
37,If you add water to rice pudding is it horchata?,Does diluting rice pudding with water create horchata?,Does mixing water into rice pudding transform it into horchata?,Can horchata be produced by simply adding water to rice pudding?,False
38,"If your skin was turning the color of a zombie, could it be because of nickel?","If your skin were developing a ghastly, zombie-like hue, could nickel be the cause?",Is it possible for nickel to cause your skin to take on a zombie-like color?,Is a zombie-like skin discoloration a potential consequence of exposure to nickel?,True
39,Would a Dolce & Gabbana suit wearer be shunned by their Amish cousins?,Would an individual wearing a high-fashion designer suit be rejected by their Amish relatives?,Would Amish relatives ostracize someone dressed in a Dolce & Gabbana suit?,Would an individual in a high-end designer suit find acceptance among their Amish relatives?,True
40,Is the Illuminati card game still popular?,Is the Illuminati card game currently widely played?,Has the Illuminati card game maintained its popularity?,Is there still a significant community of players for the Illuminati card game?,False
41,Can a strawberry get worms similar to dogs?,"Can strawberries contract internal parasites, similar to how dogs do?","Are strawberries susceptible to parasitic worm infestations, in the same way dogs are?","Would a strawberry ever need deworming medication, comparable to what a dog receives?",True
42,Is Menthol associated with Thanksgiving?,Is Menthol linked to Thanksgiving?,Is there an association between Menthol and Thanksgiving?,Is Menthol a concept typically brought to mind with Thanksgiving?,False
43,Would someone in Mumbai refer to Solanum melongena as an eggplant?,Would someone in Mumbai call Solanum melongena an eggplant?,Would Solanum melongena be referred to as an eggplant by someone in Mumbai?,Is 'eggplant' the name typically used for Solanum melongena in Mumbai?,False
44,Is it okay to lie after taking an oath in a court of law?,Is it acceptable to provide false testimony subsequent to making a sworn commitment in a judicial setting?,"After a sworn promise is made in a court of law, is it permissible to be untruthful?",Does one's solemn vow to speak truthfully in a courtroom allow for subsequent misrepresentations of fact?,False
45,Is art prioritized in the US education system?,Are the arts emphasized in the American education system?,Does the American education system prioritize art?,Does art hold a prominent place in US education?,False
46,"While on a liquid diet, are there some types of soup you cannot eat?","While on a liquid diet, are some kinds of soup prohibited?",Must certain varieties of soup be avoided by individuals on a liquid diet?,Are all types of soup acceptable during a liquid diet?,True
47,Would it be impossible to use an Iwato scale for a twelve-tone technique composition?,Would it be unfeasible to employ an Iwato scale within a twelve-tone technique composition?,Is an Iwato scale incompatible with creating a twelve-tone technique composition?,Does the fundamental nature of an Iwato scale prevent its application in a twelve-tone technique composition?,True
48,Would the Titanic be well preserved at the bottom of the Gulf of Finland?,Would the Titanic remain intact on the seabed of the Gulf of Finland?,"If the Titanic were resting on the floor of the Gulf of Finland, would it be well preserved?",Is it plausible for the Titanic to be found in a well-preserved state within the Gulf of Finland?,True
49,Could a dandelion suffer from hepatitis?,Can a dandelion be afflicted with hepatitis?,Is hepatitis a condition that a dandelion could suffer from?,Are dandelions susceptible to hepatitis?,False
50,Would a week be enough time to watch every episode of Ugly Betty?,Is seven days sufficient time to view all episodes of Ugly Betty?,"For watching every episode of Ugly Betty, would a week be enough time?",Is it feasible to finish watching all episodes of Ugly Betty within a week?,True
51,Was the Louisiana Purchase made with bitcoin?,Was the Louisiana Purchase paid for using bitcoin?,Did bitcoin facilitate the transaction for the Louisiana Purchase?,Was bitcoin a recognized medium of exchange during the era of the Louisiana Purchase?,False
52,Did Japanese serfdom have higher status than English counterpart?,Did Japanese feudal servitude possess a more elevated standing than its English equivalent?,Was the social standing of Japanese serfdom more elevated than that of its English counterpart?,Could the social position of Japanese serfs be considered superior to that of English serfs?,True
53,Is the best tasting part of the papaya in the center?,Is the most delicious section of the papaya at its core?,Does the center of the papaya hold its finest flavor?,Is the center the most flavorful part of a papaya?,False
54,Could Lil Wayne's children ride in a Chevrolet Corvette ZR1 together?,Would all of Lil Wayne's children be able to fit inside a Chevrolet Corvette ZR1 simultaneously?,Is a Chevrolet Corvette ZR1 capable of transporting all of Lil Wayne's children at the same time?,Does a Chevrolet Corvette ZR1 offer sufficient seating for Lil Wayne's children to ride together?,False
55,Is double duty an incorrect phrase for host of Dancing With The Stars?,Is 'double duty' an inaccurate term to describe the host of Dancing With The Stars?,Would it be incorrect to refer to the host of Dancing With The Stars as being on 'double duty'?,Is 'double duty' a misnomer for the individual presenting Dancing With The Stars?,False
56,Could an ocelot subsist on a single bee hummingbird per day?,Can an ocelot sustain itself with one bee hummingbird each day?,Would one bee hummingbird consumed daily provide enough sustenance for an ocelot?,Could an ocelot avoid starvation if its only daily meal was a single bee hummingbird?,False
57,Does Ukrainian Greek Catholic Church recognize Alexander Nevsky as a saint?,Does the Ukrainian Greek Catholic Church venerate Alexander Nevsky as a saint?,Is Alexander Nevsky recognized as a saint by the Ukrainian Greek Catholic Church?,Is Alexander Nevsky included in the calendar of saints of the Ukrainian Greek Catholic Church?,False
58,Was the original James Bond actor born near the Washington Monument?,Was the first actor to portray James Bond born in proximity to the Washington Monument?,Did the original James Bond actor have his birthplace situated near the Washington Monument?,Could the birthplace of the original James Bond actor be found in the area surrounding the Washington Monument?,False
59,Did J. P. Morgan have healthy lungs?,Did J. P. Morgan possess healthy lungs?,Were J. P. Morgan's lungs healthy?,Was J. P. Morgan's respiratory health robust?,False
60,Would Firefighters be included in a September 11th memorial?,Are firefighters typically commemorated at a September 11th tribute?,Do September 11th memorials usually feature firefighters?,Is it standard practice for firefighters to be recognized at commemorations of September 11th?,True
61,Does Andrew Johnson's presidential number exceed Elagabalus's Emperor number?,Does Andrew Johnson's presidential numeral surpass Elagabalus's Emperor numeral?,Is Elagabalus's Emperor number lower than Andrew Johnson's presidential number?,Is Andrew Johnson's presidential number positioned numerically after Elagabalus's Emperor number?,False
62,Are any animals in Chinese calendar Chordata?,Are any creatures in the Chinese zodiac considered Chordata?,Do any Chordates appear among the animals of the Chinese calendar?,Does the Chordata phylum encompass any of the animals found in the Chinese calendar?,True
63,Would a hypothetical Yeti be towered over by Andre the Giant?,Would an imaginary Yeti be dwarfed by Andre the Giant?,Would Andre the Giant tower over a hypothetical Yeti?,"If a hypothetical Yeti and Andre the Giant stood side-by-side, would the Yeti appear substantially shorter?",True
64,Was The Little Prince's titular character allergic to flowers?,Did the main character of The Little Prince suffer from a flower allergy?,Were flowers a source of allergic reactions for the titular character of The Little Prince?,Did coming into contact with flowers cause any negative physical responses for the titular character in The Little Prince?,False
65,Did Millard Fillmore help to establish the University of Pittsburgh?,Did Millard Fillmore assist in founding the University of Pittsburgh?,Was the establishment of the University of Pittsburgh aided by Millard Fillmore?,Is Millard Fillmore credited with being involved in the creation of the University of Pittsburgh?,False
66,Does Northern fur seal make good pet for six year old?,Is a Northern fur seal a suitable pet for a six-year-old child?,Would a Northern fur seal be a good animal for a six-year-old to keep as a pet?,Is a Northern fur seal an advisable pet choice for a six-year-old?,False
67,Would a pear sink in water?,Would a pear submerge in water?,Is a pear capable of sinking in water?,Is a pear denser than water?,False
68,WIll Noah's Ark hypothetically sail through flooded Lincoln Tunnel?,Could Noah's Ark conceivably traverse the waterlogged Lincoln Tunnel?,Is it hypothetically possible for Noah's Ark to sail through the water-filled Lincoln Tunnel?,Could a hypothetically flooded Lincoln Tunnel accommodate Noah's Ark?,False
69,Can you write a whole Haiku in a single tweet?,Can you fit an entire Haiku into one tweet?,Would it be possible to convey a full Haiku poem using only one tweet?,Is the character count of a tweet sufficient to contain an entire Haiku?,True
70,Would you take a photo of a Saltwater crocodile in Memphis?,Would you photograph a Saltwater crocodile in Memphis?,Could a Saltwater crocodile in Memphis be a subject for your photography?,Would a trip to Memphis provide an opportunity to photograph a Saltwater crocodile?,False
71,Could Scooby Doo fit in a kangaroo pouch?,Could Scooby Doo be accommodated in a kangaroo's pouch?,Is a kangaroo's pouch large enough to hold Scooby Doo?,Could a kangaroo carry Scooby Doo in its pouch?,False
72,Do manta rays live in water above the safe temperature for cold food storage?,Do manta rays inhabit aquatic environments with temperatures exceeding the recommended limit for chilled food preservation?,Are the waters where manta rays are found warmer than the temperature considered safe for storing cold food?,Are the waters where manta rays reside too warm for the safe keeping of refrigerated food?,True
73,Is the kayak a traditional boat in New Zealand?,Are kayaks considered a traditional vessel in New Zealand?,Do New Zealanders consider the kayak a traditional type of boat?,Does the kayak hold a place in New Zealand's traditional maritime culture?,False
74,Has the Subway restaurant franchise had any connections with child abusers?,Has the Subway chain been linked to child abusers?,Have child abusers ever been associated with the Subway restaurant franchise?,Has the Subway brand's image ever been tarnished by individuals implicated in child abuse?,True
75,Would the high school class of 2010 have lived through the Presidency of Richard Nixon?,Did the students graduating in 2010 experience Richard Nixon's time in office?,Was Richard Nixon's presidency a period during which the high school class of 2010 would have been alive?,Did the lifespan of the high school class of 2010 coincide with Richard Nixon's presidential term?,False
76,Would a Deacon be likely to be a fan of the podcast 'God Awful Movies'?,Is a Deacon prone to enjoy the 'God Awful Movies' podcast?,Is it probable that a Deacon would be an admirer of the 'God Awful Movies' podcast?,"Given their religious role, would a Deacon typically find the 'God Awful Movies' podcast appealing?",False
77,Could a giant squid fit aboard the deck of the titanic?,Could an enormous squid be placed on the Titanic's deck?,Could the Titanic's deck accommodate a giant squid?,Is it possible for a giant squid to be situated on the Titanic's deck?,True
78,Is Antarctica a good location for Groundhog Day?,Is Antarctica a suitable place to observe Groundhog Day?,Would Groundhog Day traditions be practical to carry out in Antarctica?,Can Groundhog Day's core prediction be made in Antarctica?,False
79,Can the Powerpuff Girls form a complete tag team wrestling match?,Can the Powerpuff Girls create a full tag team wrestling match?,Can a complete tag team wrestling match be formed by the Powerpuff Girls?,Do the Powerpuff Girls meet the participant requirements for a complete tag team wrestling match?,False
80,Will someone die without white blood cells?,Will a person perish devoid of leukocytes?,Is the absence of white blood cells fatal?,Can a human survive without white blood cells?,True
81,Does rock star Keith Richards play a captain of a boat in a movie?,Does musician Keith Richards portray a ship's captain in a film?,Has rock star Keith Richards ever played a boat captain in a movie?,"Did Keith Richards, the rock star, portray a character commanding a vessel in a film?",True
82,Would an eleventh-grader be eligible for Medicare?,Would a high school junior qualify for Medicare?,Can Medicare coverage be obtained by an eleventh-grade student?,Is health insurance through Medicare typically available to someone of an eleventh-grader's age?,False
83,Is there a full Neptunian orbit between the first two burials of women in the Panthéon?,Does a complete revolution of Neptune occur within the period separating the first and second interments of women in the Panthéon?,Did the second burial of a woman in the Panthéon occur at least one full Neptunian orbit after the first?,Was the time span separating the initial two entombments of women in the Panthéon as long as a complete Neptunian orbit?,False
84,Will Oasis cruise boat traverse the Lincoln Tunnel?,Will the Oasis cruise liner pass through the Lincoln Tunnel?,Is it possible for the Oasis cruise boat to go through the Lincoln Tunnel?,Is the Lincoln Tunnel suitable for the passage of the Oasis cruise boat?,False
85,Could Oscar Wilde have operated a motor vehicle?,Could Oscar Wilde have driven an automobile?,Was it possible for Oscar Wilde to operate a car?,Was the technology available for Oscar Wilde to operate a motor vehicle?,True
86,Will Tokyo Tower be repainted only once during President Trump's first term?,Will Tokyo Tower receive a new coat of paint just once throughout President Trump's first term?,"During President Trump's first term, will Tokyo Tower be repainted a single time?",Will Tokyo Tower's repainting during President Trump's first term be a singular event?,True
87,Has a neanderthal ever served on the Supreme Court of the United States?,Has a Neanderthal ever held a position on the Supreme Court of the United States?,Has the Supreme Court of the United States ever had a Neanderthal serve on it?,Is there any evidence that a Neanderthal ever served on the Supreme Court of the United States?,False
88,Can Clouded leopards chase down many Pronghorn antelopes?,Are Clouded leopards capable of hunting and capturing numerous Pronghorn antelopes?,Is it possible for Clouded leopards to run down and capture numerous Pronghorn antelopes?,Would Clouded leopards naturally prey on and capture Pronghorn antelopes?,False
89,Does the anatomy of a camel lend itself to jokes on Wednesdays?,Is a camel's bodily structure conducive to generating jokes specifically on Wednesdays?,Is it only on Wednesdays that the physical features of a camel are particularly suitable for humor?,Is the potential for humor derived from a camel's body unique to Wednesdays?,True
90,Can voice actors for Goofy and Bugs Bunny each get one stripe from American flag?,Can the vocal performers of Goofy and Bugs Bunny each acquire a stripe from the U.S. flag?,Would a stripe from the American flag be obtainable by each of the voice actors for Goofy and Bugs Bunny?,"Could the American flag's design allow for its individual stripes to be separated and given to specific people, such as the voice actors for Goofy and Bugs Bunny?",True
91,Did Clark Gable appear in any movies scored by John Williams?,Did Clark Gable act in any films with a score composed by John Williams?,Did John Williams compose the music for any movies in which Clark Gable appeared?,Is there a movie that credits both Clark Gable as an actor and John Williams for its musical score?,False
92,Is Linus Torvalds' wife unable to physically defend herself?,Is Linus Torvalds' wife incapable of physically defending herself?,Does Linus Torvalds' wife lack the physical capacity for self-defense?,Is Linus Torvalds' wife physically defenseless?,False
93,Did Eric Clapton have similar taste in women to one of the Beatles?,Did Eric Clapton's choice in romantic partners mirror that of a Beatle?,Were Eric Clapton and a Beatle attracted to the same kind of women?,Did Eric Clapton pursue a romantic relationship with a woman who had also been involved with a Beatle?,True
94,Did Eddie Murphy's father see his first stand up show?,Did Eddie Murphy's dad witness his debut stand-up performance?,Was Eddie Murphy's debut stand-up performance witnessed by his father?,Was Eddie Murphy's father alive when his son performed his inaugural stand-up act?,False
95,Could a silverfish reach the top of the Empire State Building?,Is it possible for a silverfish to get to the summit of the Empire State Building?,Would a silverfish be capable of reaching the top of the Empire State Building?,Does a silverfish possess the ability to climb to the apex of the Empire State Building?,False
96,Are there winged statuettes in the home of the creator of Law & Order?,Do figurines with wings reside in the home of Law & Order's originator?,Does the residence of the creator of Law & Order contain winged statuettes?,Is the abode of the 'Law & Order' mastermind furnished with winged statuettes?,True
97,Was Donald Trump the target of Islamophobia?,Did Donald Trump experience Islamophobia?,Did Islamophobia single out Donald Trump?,Has Donald Trump ever been discriminated against for being perceived as Muslim?,False
98,Would baker's dozen of side by side Mac Trucks jam up Golden Gate Bridge?,Would thirteen heavy-duty trucks placed abreast obstruct the Golden Gate Bridge?,"If thirteen Mac Trucks were arranged side by side across it, would the Golden Gate Bridge be blocked?",Is the Golden Gate Bridge wide enough to physically accommodate thirteen Mac Trucks positioned side-by-side without causing a jam?,True
99,Could someone mistake the smell of your brussels sprouts for a fart?,Is it possible to confuse the scent of your brussels sprouts with flatulence?,Could the smell emanating from your brussels sprouts be mistaken for flatulence?,Is it plausible that the scent of your brussels sprouts could be perceived as flatulence?,True
100,Do guitarist's have fingers that can handle pain better than average?,Do guitar players' fingers possess a higher pain tolerance than the typical person?,Are the fingers of guitarists more resistant to pain than those of an average individual?,Is the pain threshold in a guitarist's fingers elevated compared to the general population?,True
101,"Were there under 150,000 American troops in Vietnam in 1965?","Were there fewer than 150,000 US soldiers deployed to Vietnam in 1965?","Did the total number of American troops in Vietnam in 1965 fall below 150,000?","Did the American troop count in Vietnam in 1965 fail to reach 150,000?",True
102,Did Native American tribes teach Spaniards how to cultivate maize?,Did indigenous groups instruct Iberian people on how to grow corn?,Were Spaniards taught how to cultivate maize by Native American tribes?,Was the expertise for growing maize transmitted to Spaniards directly from Native American groups?,True
103,Has Oscar Wilde's most famous character ever been in an Eva Green project?,Has the most renowned character from Oscar Wilde's works ever been featured in a production starring Eva Green?,Did Eva Green ever participate in a project that also included Oscar Wilde's most famous character?,Is there a specific work where Eva Green's appearance aligns with the presence of Oscar Wilde's most celebrated character?,True
104,Do frogs feel disgust?,Do frogs experience aversion?,Is disgust felt by frogs?,Do frogs possess the emotion of disgust?,True
105,Did either Kublai Khan or his grandfather practice monogamy?,Did either Kublai Khan or his grandfather observe the custom of having a single spouse?,Was monogamy upheld by either Kublai Khan or his grandfather?,Is it true that Kublai Khan or his grandfather only ever had one wife?,False
106,Does a person need to be a parent to become a grandparent?,Is it necessary for an individual to have been a parent to become a grandparent?,"For someone to become a grandparent, is it a prerequisite that they first have been a parent?",Does the status of being a grandparent inherently imply having previously been a parent?,True
107,Did Van Gogh suffer from a mental disorder?,Was Van Gogh afflicted with a mental illness?,Was Van Gogh affected by a mental disorder?,Did Van Gogh experience significant mental health challenges?,True
108,Is the span in C-SPAN named after Alan Greenspan?,Is the 'span' within C-SPAN derived from Alan Greenspan's name?,Does the 'span' portion of C-SPAN bear Alan Greenspan's name?,Was the 'span' element of C-SPAN designated with reference to Alan Greenspan?,False
109,Would Eminem perform well at the International Mathematical Olympiad?,Could Eminem excel at the International Mathematical Olympiad?,"At the International Mathematical Olympiad, would Eminem be a strong competitor?",Is Eminem's primary professional expertise relevant to performing well at the International Mathematical Olympiad?,False
110,Is Guitar Hero Beatles inappropriate for a US third grader?,Is Guitar Hero Beatles unsuitable for a US third grader?,Is it inappropriate for a US third grader to play Guitar Hero Beatles?,Does Guitar Hero Beatles contain anything a US third grader shouldn't be exposed to?,False
111,"In American society, will a bachelor's degree often include a leap year?","In American society, does an undergraduate degree program usually encompass a leap year?",Is a leap year commonly experienced during the pursuit of a bachelor's degree in American society?,"Given its typical four-year duration, does a bachelor's degree in American society usually span a period that contains a year with an extra calendar day?",True
112,"At a presentation about post traumatic stress disorder, would Ariana Grande be a topic of relevance?","At a lecture concerning post-traumatic stress disorder, would Ariana Grande be a pertinent subject?",Could Ariana Grande be considered a relevant subject for a presentation focused on post-traumatic stress disorder?,Could Ariana Grande's situation serve as an example in a presentation concerning post-traumatic stress disorder?,True
113,Were plants crucial for The King of Rock'n Roll's snack with bananas?,Were plant-derived components essential for Elvis Presley's banana-based snack?,Did The King of Rock'n Roll's banana snack heavily depend on ingredients from plants?,Could Elvis Presley's snack with bananas have been made without plant-based ingredients?,True
114,Could you read The Atlantic magazine during the Games of the XXII Olympiad?,Could one peruse The Atlantic publication while the XXII Olympic Games were taking place?,"During the XXII Olympiad, was The Atlantic magazine available for reading?",Was The Atlantic magazine a publication accessible for reading at the time of the XXII Olympiad?,True
115,Can you find Bob Marley's face in most smoke shops?,Is Bob Marley's likeness frequently displayed in most smoke shops?,Do most smoke shops typically feature Bob Marley's face?,Is Bob Marley's likeness a commonly recurring motif in most establishments selling smoking accessories?,True
116,"Could Elizabeth I of England have seen the play Dido, Queen of Carthage ?","Was Elizabeth I of England able to witness the theatrical production Dido, Queen of Carthage?","Was the play Dido, Queen of Carthage seen by Elizabeth I of England?","Did Dido, Queen of Carthage premiere or have showings during Elizabeth I's reign?",True
117,Is Britney Spears' breakdown attributed to bipolar disorder?,Was Britney Spears' mental health crisis caused by bipolar disorder?,Did bipolar disorder cause Britney Spears' breakdown?,Is it widely believed that Britney Spears' breakdown was due to bipolar disorder?,True
118,Is week old chlorine water safe to drink?,Is chlorinated water that has sat for a week safe to consume?,Can one safely drink chlorine water that has been sitting for seven days?,Would consuming chlorine water that has been kept for a week pose any health risks?,True
119,Is the foot part of the metric system?,Does the foot belong to the metric system?,Does the metric system include the foot?,Is the foot a unit of measurement employed by the metric system?,False
120,Would it be typical for a Rede Globo anchor to say Konnichiwa to the viewers?,Would it be common for a presenter on Rede Globo to greet the audience with 'Konnichiwa'?,Is 'Konnichiwa' a typical greeting an anchor for Rede Globo would use for their viewers?,Is 'Konnichiwa' a greeting a Rede Globo anchor would customarily extend to their audience?,False
121,Does Hades appear in a Disney Channel musical movie?,Is Hades featured in a Disney Channel musical film?,Do any Disney Channel musical movies include Hades?,Can Hades be found as a character in a Disney Channel musical movie?,True
122,Were weather phenomena avoided when naming minor league baseball teams?,Were weather-related terms eschewed when minor league baseball teams were named?,Was there an avoidance of weather phenomena during the naming of minor league baseball teams?,Was it uncommon for minor league baseball teams to be named after weather-related occurrences?,False
123,Could a Hwasong-15 missile hypothetically reach Voyager 2?,Would a Hwasong-15 missile hypothetically be able to reach Voyager 2?,Would Voyager 2 hypothetically be within the range of a Hwasong-15 missile?,Is it hypothetically possible for a Hwasong-15 missile to traverse the distance to Voyager 2?,False
124,Could someone theoretically use an armadillo as a shield?,Is it hypothetically possible to employ an armadillo as a defensive barrier?,Could an armadillo theoretically serve as a shield?,Is an armadillo theoretically suitable for the role of a shield?,True
125,Does Linus Torvalds make money off of DirectX?,Does Linus Torvalds profit from DirectX?,Is DirectX a source of income for Linus Torvalds?,Does Linus Torvalds derive any income from DirectX?,False
126,Did a Mediterranean Sea creature kill Steve Irwin?,Did an aquatic organism from the Mediterranean Sea cause Steve Irwin's death?,Was Steve Irwin killed by a creature from the Mediterranean Sea?,Did the creature that took Steve Irwin's life typically inhabit the Mediterranean Sea?,True
