id,original_answer,lexical_answer,syntactic_answer,indirect_answer,target_answer
282,False,False,False,False,False
283,True,True,True,True,True
284,False,True,False,True,True
285,False,False,False,False,True
287,False,False,False,False,True
288,False,False,False,False,True
289,False,False,False,False,True
291,False,False,False,False,True
292,False,False,False,False,False
293,False,False,False,False,False
294,False,True,False,True,True
295,False,False,False,True,False
296,False,False,False,False,False
297,False,False,False,False,False
298,False,False,False,False,False
299,False,False,False,False,False
300,True,True,True,True,True
301,True,True,True,True,False
302,True,False,True,False,True
303,True,True,True,True,True
304,True,False,True,True,False
305,False,False,False,False,False
306,False,False,False,True,True
307,False,False,False,False,False
308,False,True,False,True,True
309,False,False,False,False,False
310,True,True,True,True,True
311,False,False,False,False,False
314,False,False,False,True,True
315,True,True,False,False,True
316,True,True,True,True,True
317,True,True,False,False,True
318,False,False,False,False,False
319,False,False,True,False,True
320,True,True,True,True,True
321,False,False,False,False,True
322,False,False,False,False,False
323,True,False,True,True,False
325,False,False,False,False,True
326,False,False,False,False,False
327,False,False,False,False,False
328,False,False,False,False,True
329,False,False,False,False,False
330,True,True,True,True,False
331,True,False,False,True,True
332,False,False,False,False,False
334,False,False,False,False,False
335,False,False,False,False,False
336,False,False,True,False,False
337,True,True,True,True,True
338,False,False,False,False,True
339,False,False,False,False,False
340,True,True,True,True,True
341,False,False,False,True,False
342,False,False,False,False,False
343,False,True,True,False,True
344,False,False,True,False,False
346,False,True,True,True,True
347,False,False,False,False,False
348,False,False,False,False,True
350,False,False,False,False,False
