id,original_answer,lexical_answer,syntactic_answer,indirect_answer,target_answer,gold_answer,original_accuracy,lexical_accuracy,syntactic_accuracy,indirect_accuracy,mean_accuracy
113,True,True,True,False,True,True,1,1,1,0,0.75
114,False,True,True,True,True,True,0,1,1,1,0.75
115,True,True,False,False,True,True,1,1,0,0,0.5
116,True,False,True,False,True,True,1,0,1,0,0.5
117,False,False,False,False,True,True,0,0,0,0,0.0
118,False,False,False,True,True,True,0,0,0,1,0.25
119,False,False,False,False,False,False,1,1,1,1,1.0
120,False,False,False,False,False,False,1,1,1,1,1.0
122,False,False,False,False,False,False,1,1,1,1,1.0
124,False,False,False,False,True,True,0,0,0,0,0.0
125,False,False,False,False,False,False,1,1,1,1,1.0
127,False,False,False,False,False,False,1,1,1,1,1.0
128,False,False,False,False,False,False,1,1,1,1,1.0
129,False,False,False,False,False,False,1,1,1,1,1.0
132,False,False,False,False,False,False,1,1,1,1,1.0
134,True,False,False,False,True,True,1,0,0,0,0.25
135,False,False,False,False,False,False,1,1,1,1,1.0
136,True,True,True,True,False,False,0,0,0,0,0.0
137,False,False,False,False,False,False,1,1,1,1,1.0
139,False,False,False,False,False,False,1,1,1,1,1.0
140,False,True,False,True,True,True,0,1,0,1,0.5
141,True,True,True,True,True,True,1,1,1,1,1.0
142,True,False,False,False,True,True,1,0,0,0,0.25
143,False,False,False,False,True,True,0,0,0,0,0.0
145,False,False,False,False,True,True,0,0,0,0,0.0
146,False,False,False,False,False,False,1,1,1,1,1.0
147,False,False,False,True,True,True,0,0,0,1,0.25
148,False,False,False,False,False,False,1,1,1,1,1.0
149,False,False,False,False,False,False,1,1,1,1,1.0
151,True,False,True,True,True,True,1,0,1,1,0.75
152,False,False,False,False,False,False,1,1,1,1,1.0
153,True,True,True,False,True,True,1,1,1,0,0.75
155,False,True,True,False,False,False,1,0,0,1,0.5
156,False,False,False,False,False,False,1,1,1,1,1.0
157,False,False,True,True,True,True,0,0,1,1,0.5
158,False,False,False,False,False,False,1,1,1,1,1.0
159,False,False,False,False,False,False,1,1,1,1,1.0
160,False,False,False,True,True,True,0,0,0,1,0.25
161,False,False,False,False,True,True,0,0,0,0,0.0
163,False,False,False,False,False,False,1,1,1,1,1.0
164,False,False,False,False,False,False,1,1,1,1,1.0
165,True,True,False,True,False,False,0,0,1,0,0.25
167,False,False,False,False,False,False,1,1,1,1,1.0
170,False,False,False,False,False,False,1,1,1,1,1.0
171,True,True,True,True,True,True,1,1,1,1,1.0
172,False,False,False,False,False,False,1,1,1,1,1.0
173,False,False,False,False,False,False,1,1,1,1,1.0
174,False,False,False,False,False,False,1,1,1,1,1.0
175,False,False,False,False,False,False,1,1,1,1,1.0
176,False,True,True,True,True,True,0,1,1,1,0.75
177,False,False,False,False,False,False,1,1,1,1,1.0
178,False,False,False,False,False,False,1,1,1,1,1.0
179,False,False,False,False,True,True,0,0,0,0,0.0
181,False,False,False,False,False,False,1,1,1,1,1.0
183,False,False,True,True,False,False,1,1,0,0,0.5
184,False,True,False,False,False,False,1,0,1,1,0.75
186,True,False,True,False,True,True,1,0,1,0,0.5
187,False,False,False,False,False,False,1,1,1,1,1.0
188,True,True,True,True,True,True,1,1,1,1,1.0
189,False,False,True,False,True,True,0,0,1,0,0.25
190,False,False,True,False,False,False,1,1,0,1,0.75
191,True,True,True,True,True,True,1,1,1,1,1.0
192,True,False,False,False,False,False,0,1,1,1,0.75
193,False,False,False,False,False,False,1,1,1,1,1.0
194,False,False,False,False,False,False,1,1,1,1,1.0
195,False,False,False,False,False,False,1,1,1,1,1.0
197,False,False,True,True,True,True,0,0,1,1,0.5
198,False,True,False,True,True,True,0,1,0,1,0.5
199,False,False,True,False,False,False,1,1,0,1,0.75
200,False,True,False,False,False,False,1,0,1,1,0.75
201,False,False,False,False,False,False,1,1,1,1,1.0
202,False,True,True,True,True,True,0,1,1,1,0.75
203,False,False,False,False,False,False,1,1,1,1,1.0
204,False,False,False,False,False,False,1,1,1,1,1.0
205,False,False,False,False,False,False,1,1,1,1,1.0
206,False,False,False,False,False,False,1,1,1,1,1.0
207,False,False,False,False,False,False,1,1,1,1,1.0
209,False,False,False,False,False,False,1,1,1,1,1.0
210,False,False,False,False,False,False,1,1,1,1,1.0
211,False,True,False,False,False,False,1,0,1,1,0.75
212,False,False,False,False,False,False,1,1,1,1,1.0
213,False,True,False,True,True,True,0,1,0,1,0.5
214,True,True,True,False,True,True,1,1,1,0,0.75
215,True,True,True,True,True,True,1,1,1,1,1.0
216,False,False,False,False,False,False,1,1,1,1,1.0
217,True,True,False,False,True,True,1,1,0,0,0.5
218,False,False,False,False,False,False,1,1,1,1,1.0
220,False,False,False,False,False,False,1,1,1,1,1.0
221,True,False,True,False,False,False,0,1,0,1,0.5
222,False,False,False,True,False,False,1,1,1,0,0.75
223,False,True,True,False,True,True,0,1,1,0,0.5
225,False,False,False,False,False,False,1,1,1,1,1.0
226,False,False,False,False,False,False,1,1,1,1,1.0
227,False,False,False,False,True,True,0,0,0,0,0.0
228,True,True,True,True,True,True,1,1,1,1,1.0
229,True,True,True,True,True,True,1,1,1,1,1.0
230,False,False,False,False,False,False,1,1,1,1,1.0
231,False,False,False,False,False,False,1,1,1,1,1.0
232,True,True,True,True,False,False,0,0,0,0,0.0
235,False,True,False,False,False,False,1,0,1,1,0.75
236,False,False,False,False,True,True,0,0,0,0,0.0
237,False,False,False,False,False,False,1,1,1,1,1.0
238,False,False,False,False,False,False,1,1,1,1,1.0
239,False,False,True,False,False,False,1,1,0,1,0.75
240,False,False,False,True,False,False,1,1,1,0,0.75
241,True,True,True,True,False,False,0,0,0,0,0.0
242,False,True,True,True,False,False,1,0,0,0,0.25
243,False,False,False,False,False,False,1,1,1,1,1.0
244,False,False,False,False,False,False,1,1,1,1,1.0
245,False,False,False,False,False,False,1,1,1,1,1.0
246,False,False,False,False,False,False,1,1,1,1,1.0
247,True,True,True,True,True,True,1,1,1,1,1.0
248,False,False,False,False,False,False,1,1,1,1,1.0
250,False,False,False,False,False,False,1,1,1,1,1.0
251,False,False,True,True,True,True,0,0,1,1,0.5
252,True,False,True,False,True,True,1,0,1,0,0.5
253,True,True,False,True,True,True,1,1,0,1,0.75
254,False,False,False,False,True,True,0,0,0,0,0.0
255,True,True,True,False,True,True,1,1,1,0,0.75
256,True,True,True,True,True,True,1,1,1,1,1.0
257,True,True,True,False,True,True,1,1,1,0,0.75
258,False,False,False,False,False,False,1,1,1,1,1.0
259,False,False,True,False,True,True,0,0,1,0,0.25
260,False,False,False,False,False,False,1,1,1,1,1.0
261,False,False,False,False,False,False,1,1,1,1,1.0
262,False,False,False,False,False,False,1,1,1,1,1.0
263,True,False,True,True,True,True,1,0,1,1,0.75
264,False,True,False,False,True,True,0,1,0,0,0.25
266,False,True,False,False,True,True,0,1,0,0,0.25
267,False,False,False,False,False,False,1,1,1,1,1.0
268,False,False,False,False,True,True,0,0,0,0,0.0
269,False,True,True,True,True,True,0,1,1,1,0.75
270,False,False,False,False,False,False,1,1,1,1,1.0
271,False,False,False,False,False,False,1,1,1,1,1.0
272,True,False,True,False,True,True,1,0,1,0,0.5
273,False,True,False,False,True,True,0,1,0,0,0.25
275,False,False,True,False,False,False,1,1,0,1,0.75
276,False,False,False,False,True,True,0,0,0,0,0.0
277,False,False,False,False,True,True,0,0,0,0,0.0
278,False,False,False,False,False,False,1,1,1,1,1.0
279,False,False,False,False,True,True,0,0,0,0,0.0
280,False,False,False,False,False,False,1,1,1,1,1.0
281,False,True,False,True,True,True,0,1,0,1,0.5
283,True,True,True,True,True,True,1,1,1,1,1.0
284,True,True,True,False,True,True,1,1,1,0,0.75
285,False,False,False,True,True,True,0,0,0,1,0.25
286,False,True,False,True,False,False,1,0,1,0,0.5
287,False,True,False,False,True,True,0,1,0,0,0.25
288,False,False,False,False,True,True,0,0,0,0,0.0
289,False,False,False,False,True,True,0,0,0,0,0.0
290,False,True,False,False,True,True,0,1,0,0,0.25
291,False,False,True,False,True,True,0,0,1,0,0.25
292,False,False,False,False,False,False,1,1,1,1,1.0
293,False,False,False,False,False,False,1,1,1,1,1.0
294,True,True,False,True,True,True,1,1,0,1,0.75
295,False,False,False,False,False,False,1,1,1,1,1.0
297,False,False,False,False,False,False,1,1,1,1,1.0
298,False,False,False,False,False,False,1,1,1,1,1.0
299,False,True,False,True,False,False,1,0,1,0,0.5
300,True,True,True,True,True,True,1,1,1,1,1.0
301,False,False,False,False,False,False,1,1,1,1,1.0
302,True,False,True,True,True,True,1,0,1,1,0.75
303,True,True,True,True,True,True,1,1,1,1,1.0
304,True,False,False,False,False,False,0,1,1,1,0.75
305,False,False,False,False,False,False,1,1,1,1,1.0
306,True,False,False,True,True,True,1,0,0,1,0.5
307,False,False,False,False,False,False,1,1,1,1,1.0
308,True,False,False,True,True,True,1,0,0,1,0.5
309,False,True,False,False,False,False,1,0,1,1,0.75
310,True,True,True,True,True,True,1,1,1,1,1.0
311,False,False,False,False,False,False,1,1,1,1,1.0
312,False,False,False,False,False,False,1,1,1,1,1.0
313,False,False,False,False,True,True,0,0,0,0,0.0
314,True,True,True,True,True,True,1,1,1,1,1.0
315,False,True,False,False,True,True,0,1,0,0,0.25
316,True,True,True,True,True,True,1,1,1,1,1.0
317,True,True,True,True,True,True,1,1,1,1,1.0
318,False,False,False,False,False,False,1,1,1,1,1.0
319,True,True,True,True,True,True,1,1,1,1,1.0
320,True,True,True,True,True,True,1,1,1,1,1.0
321,False,False,False,False,True,True,0,0,0,0,0.0
322,False,False,False,False,False,False,1,1,1,1,1.0
323,False,False,True,False,False,False,1,1,0,1,0.75
324,False,False,False,False,False,False,1,1,1,1,1.0
325,True,True,False,False,True,True,1,1,0,0,0.5
326,False,False,False,True,False,False,1,1,1,0,0.75
327,False,False,False,False,False,False,1,1,1,1,1.0
330,False,False,True,True,False,False,1,1,0,0,0.5
331,True,True,True,True,True,True,1,1,1,1,1.0
332,False,False,False,False,False,False,1,1,1,1,1.0
333,False,False,False,False,False,False,1,1,1,1,1.0
334,False,False,False,False,False,False,1,1,1,1,1.0
335,False,False,False,False,False,False,1,1,1,1,1.0
336,False,False,False,False,False,False,1,1,1,1,1.0
337,True,False,True,True,True,True,1,0,1,1,0.75
338,False,False,True,False,True,True,0,0,1,0,0.25
339,False,False,False,False,False,False,1,1,1,1,1.0
340,False,True,True,True,True,True,0,1,1,1,0.75
341,True,False,False,False,False,False,0,1,1,1,0.75
343,True,True,True,True,True,True,1,1,1,1,1.0
344,False,False,False,False,False,False,1,1,1,1,1.0
345,True,True,True,True,True,True,1,1,1,1,1.0
346,True,True,True,True,True,True,1,1,1,1,1.0
347,False,False,False,False,False,False,1,1,1,1,1.0
348,False,False,False,False,True,True,0,0,0,0,0.0
349,True,True,True,True,True,True,1,1,1,1,1.0
350,False,False,False,False,False,False,1,1,1,1,1.0
