id,original_answer,lexical_answer,syntactic_answer,indirect_answer,target_answer
279,False,False,False,False,True
280,False,False,False,False,False
281,False,True,False,True,True
283,True,True,True,True,True
284,True,True,True,False,True
285,False,False,False,True,True
286,False,True,False,True,False
287,False,True,False,False,True
288,False,False,False,False,True
289,False,False,False,False,True
290,False,True,False,False,True
291,False,False,True,False,True
292,False,False,False,False,False
293,False,False,False,False,False
294,True,True,False,True,True
295,False,False,False,False,False
297,False,False,False,False,False
298,False,False,False,False,False
299,False,True,False,True,False
300,True,True,True,True,True
301,False,False,False,False,False
302,True,False,True,True,True
303,True,True,True,True,True
304,True,False,False,False,False
305,False,False,False,False,False
306,True,False,False,True,True
307,False,False,False,False,False
308,True,False,False,True,True
309,False,True,False,False,False
310,True,True,True,True,True
311,False,False,False,False,False
312,False,False,False,False,False
313,False,False,False,False,True
314,True,True,True,True,True
315,False,True,False,False,True
316,True,True,True,True,True
317,True,True,True,True,True
318,False,False,False,False,False
319,True,True,True,True,True
320,True,True,True,True,True
321,False,False,False,False,True
322,False,False,False,False,False
323,False,False,True,False,False
324,False,False,False,False,False
325,True,True,False,False,True
326,False,False,False,True,False
327,False,False,False,False,False
330,False,False,True,True,False
331,True,True,True,True,True
332,False,False,False,False,False
333,False,False,False,False,False
334,False,False,False,False,False
335,False,False,False,False,False
336,False,False,False,False,False
337,True,False,True,True,True
338,False,False,True,False,True
339,False,False,False,False,False
340,False,True,True,True,True
341,True,False,False,False,False
343,True,True,True,True,True
344,False,False,False,False,False
345,True,True,True,True,True
346,True,True,True,True,True
347,False,False,False,False,False
348,False,False,False,False,True
349,True,True,True,True,True
350,False,False,False,False,False
