id,original_answer,lexical_answer,syntactic_answer,indirect_answer,gold_answer,row_accuracy
264,True,True,False,False,True,0.5
265,False,False,False,False,False,1.0
267,False,False,False,False,False,1.0
268,True,True,True,True,True,1.0
269,True,True,True,True,True,1.0
270,False,False,False,False,False,1.0
271,False,False,False,False,False,1.0
272,False,True,False,False,True,0.25
273,True,True,True,False,True,0.75
274,True,True,True,True,True,1.0
275,False,False,True,True,False,0.5
276,True,True,True,True,True,1.0
278,False,False,False,False,False,1.0
280,False,False,False,False,False,1.0
281,True,True,False,True,True,0.75
282,False,False,False,False,False,1.0
283,True,True,True,True,True,1.0
284,True,True,True,False,True,0.75
285,False,False,False,False,True,0.0
287,False,False,True,False,True,0.25
288,True,False,False,False,True,0.25
289,True,True,False,False,True,0.5
290,True,True,False,True,True,0.75
291,True,True,True,True,True,1.0
292,False,False,False,False,False,1.0
293,False,False,False,False,False,1.0
294,True,True,True,True,True,1.0
295,False,False,False,True,False,0.75
296,False,False,False,False,False,1.0
297,True,False,True,False,False,0.5
298,False,False,False,False,False,1.0
299,True,True,True,True,False,0.0
300,True,True,True,True,True,1.0
301,False,False,False,False,False,1.0
302,True,False,False,True,True,0.5
303,True,True,True,True,True,1.0
304,False,True,False,True,False,0.5
305,False,False,False,False,False,1.0
306,True,True,True,False,True,0.75
307,False,False,False,False,False,1.0
308,True,True,True,True,True,1.0
309,False,True,True,True,False,0.25
310,True,True,True,True,True,1.0
311,False,False,False,False,False,1.0
312,False,False,False,False,False,1.0
314,True,True,True,True,True,1.0
315,True,True,False,False,True,0.5
316,True,True,True,True,True,1.0
317,True,True,True,True,True,1.0
318,False,False,False,False,False,1.0
319,True,True,True,True,True,1.0
320,True,True,True,True,True,1.0
321,False,False,False,False,True,0.0
322,False,False,False,False,False,1.0
323,False,False,False,False,False,1.0
324,False,False,False,False,False,1.0
325,True,True,True,True,True,1.0
326,True,True,True,True,False,0.0
327,False,False,False,False,False,1.0
328,True,False,False,False,True,0.25
329,False,False,False,False,False,1.0
330,True,True,True,False,False,0.25
331,True,True,True,True,True,1.0
332,False,False,False,False,False,1.0
333,False,False,False,False,False,1.0
334,False,False,False,True,False,0.75
335,False,False,False,True,False,0.75
336,False,False,False,False,False,1.0
337,True,True,True,True,True,1.0
338,True,True,True,False,True,0.75
339,False,False,False,False,False,1.0
340,True,True,True,True,True,1.0
341,False,False,False,True,False,0.75
342,False,False,False,False,False,1.0
343,True,True,True,False,True,0.75
344,False,False,False,False,False,1.0
345,True,True,True,True,True,1.0
346,True,True,True,True,True,1.0
347,False,False,False,False,False,1.0
348,False,False,False,False,True,0.0
350,False,False,False,False,False,1.0
