id,Semantic_ECS,score_AB,score_AC,score_AD,score_BC,score_BD,score_CD,Logic_ECS
181,0.9276756743590036,1,1,1,1,1,1,1.0
182,0.9587448239326476,1,1,1,1,1,1,1.0
183,0.8476744890213013,1,1,1,1,1,1,1.0
185,0.8689958254496256,1,1,0,1,1,1,0.8333333333333334
186,0.8419290979703268,1,1,1,1,1,1,1.0
187,0.9208693901697794,1,1,1,1,1,1,1.0
189,0.8774566352367401,1,1,1,1,1,1,1.0
190,0.9281358122825624,1,1,0,1,0,0,0.5
192,0.9263174931208292,1,1,1,1,1,1,1.0
193,0.9282284080982208,1,1,1,1,1,1,1.0
194,0.9046083788077036,1,1,1,1,1,1,1.0
195,0.7715065677960714,1,0,0,0,0,0,0.16666666666666666
196,0.6866740584373474,1,1,1,1,1,1,1.0
198,0.8943005005518595,1,1,1,1,1,1,1.0
199,0.9165691137313844,1,1,1,1,1,1,1.0
201,0.9413990080356598,1,1,1,1,1,1,1.0
202,0.905771940946579,1,1,1,1,1,1,1.0
203,0.8562889099121094,0,0,0,1,1,1,0.5
204,0.9134483834107716,1,1,1,1,1,1,1.0
205,0.8775529464085897,1,1,1,1,1,1,1.0
206,0.9115076263745626,1,1,1,1,1,1,1.0
207,0.8485245505968729,1,1,1,1,1,1,1.0
208,0.9105213483174642,1,1,0,1,1,1,0.8333333333333334
209,0.9000398516654968,1,1,1,1,1,1,1.0
210,0.7998571892579397,1,1,1,1,1,1,1.0
211,0.902353733778,1,1,1,1,1,1,1.0
212,0.9205711781978608,1,1,1,1,1,1,1.0
213,0.8496394356091818,1,1,1,1,1,1,1.0
214,0.9270374576250712,1,1,1,1,0,0,0.6666666666666666
215,0.8887017766634623,1,1,1,1,1,1,1.0
216,0.8745825290679932,1,1,1,1,1,1,1.0
217,0.9179031352202096,1,1,1,1,1,1,1.0
218,0.7795089383920034,1,1,1,1,1,1,1.0
219,0.9522835314273834,1,1,1,1,1,1,1.0
220,0.8759881754716238,1,1,1,1,1,1,1.0
221,0.9088404874006908,1,1,1,1,1,1,1.0
222,0.8658666014671326,1,1,0,1,1,1,0.8333333333333334
223,0.927033563454946,1,1,1,1,1,1,1.0
224,0.8059649765491486,1,1,1,1,1,1,1.0
225,0.7183461387952169,1,1,1,1,1,1,1.0
226,0.8998094002405802,1,1,1,1,1,1,1.0
227,0.7981730699539185,0,1,0,0,0,1,0.3333333333333333
228,0.915954222281774,1,1,1,1,1,1,1.0
229,0.9317530691623688,1,1,1,1,1,1,1.0
230,0.8347849249839783,1,0,0,0,0,1,0.3333333333333333
231,0.9196301897366842,1,1,1,0,1,1,0.8333333333333334
232,0.9463169078032176,1,1,1,1,1,1,1.0
233,0.9182233611742656,0,1,1,0,0,0,0.3333333333333333
234,0.8717244764169058,1,1,0,1,0,0,0.5
236,0.8525997996330261,0,0,0,1,1,0,0.3333333333333333
237,0.8184929490089417,1,1,1,1,1,1,1.0
238,0.9301049709320068,1,1,1,1,1,1,1.0
240,0.8688413898150126,0,1,0,0,0,0,0.16666666666666666
241,0.9537406067053475,1,1,1,1,1,1,1.0
242,0.8477693994839987,1,1,1,1,1,1,1.0
243,0.937053253253301,1,1,1,1,1,1,1.0
244,0.8714645008246104,1,1,1,1,1,1,1.0
245,0.8812316358089447,1,1,1,1,1,1,1.0
246,0.7881249586741129,1,1,0,1,0,0,0.5
247,0.9036357502142588,1,1,1,1,1,1,1.0
248,0.8984573980172476,1,1,1,1,1,1,1.0
249,0.86805393298467,1,1,0,1,0,0,0.5
250,0.9036944011847178,1,1,1,1,1,1,1.0
251,0.8560081720352173,1,0,0,1,0,0,0.3333333333333333
252,0.8559232254823049,1,0,1,0,1,0,0.5
253,0.8666474223136902,1,1,1,1,1,1,1.0
254,0.8652336895465851,1,1,1,1,1,1,1.0
255,0.8639179468154907,1,1,1,1,1,1,1.0
256,0.9222655991713206,1,1,1,1,1,1,1.0
257,0.8873681227366129,0,1,1,1,1,1,0.8333333333333334
258,0.848639061053594,1,0,0,0,0,1,0.3333333333333333
260,0.894442061583201,1,1,1,1,1,1,1.0
261,0.8640122711658478,0,1,1,0,0,1,0.5
262,0.8623765607674917,1,1,1,1,1,1,1.0
263,0.9085196554660796,1,1,1,1,1,1,1.0
264,0.9120665192604064,1,0,0,0,1,0,0.3333333333333333
265,0.9021130502223969,1,1,1,1,1,1,1.0
267,0.8248551686604818,1,1,1,1,1,1,1.0
268,0.9315938452879589,1,1,1,1,1,1,1.0
269,0.9168969889481864,1,1,1,1,1,1,1.0
270,0.8906939526398977,1,1,1,1,1,1,1.0
271,0.891241043806076,1,1,1,1,1,1,1.0
272,0.8554929594198862,0,1,0,0,0,0,0.16666666666666666
273,0.8891360461711884,0,0,0,1,0,0,0.16666666666666666
274,0.9030442436536154,1,1,1,1,1,1,1.0
275,0.9049747486909232,1,1,0,1,0,1,0.6666666666666666
276,0.9015915294488271,1,1,1,1,1,1,1.0
278,0.9488413532574972,1,1,1,1,1,1,1.0
280,0.8997998833656311,1,1,1,1,1,1,1.0
281,0.7834282020727793,1,0,1,0,1,0,0.5
282,0.9428371886412302,1,1,1,1,1,1,1.0
283,0.9344014624754589,1,1,1,1,1,1,1.0
284,0.8478321234385172,1,1,0,1,0,1,0.6666666666666666
285,0.8666531046231588,1,1,1,1,1,1,1.0
287,0.8037444253762563,0,0,1,0,0,0,0.16666666666666666
288,0.9233188231786092,0,0,0,1,1,1,0.5
289,0.7940150400002798,1,0,0,0,0,1,0.3333333333333333
290,0.6754230062166849,1,0,0,0,0,0,0.16666666666666666
291,0.927347848812739,1,1,1,1,1,1,1.0
292,0.904312382141749,1,1,1,1,1,1,1.0
293,0.8407185177008311,1,1,1,1,1,1,1.0
294,0.8669547041257223,1,1,1,1,1,1,1.0
295,0.8385140001773834,1,1,0,1,1,1,0.8333333333333334
296,0.9027145902315776,1,1,1,1,1,1,1.0
297,0.8125194509824117,0,1,0,0,1,0,0.3333333333333333
298,0.8736353715260824,1,1,1,1,1,1,1.0
299,0.9083430071671804,1,1,1,1,1,1,1.0
300,0.8500757912794749,1,1,1,1,1,1,1.0
301,0.8561607201894125,1,1,1,1,1,1,1.0
302,0.8166829943656921,0,0,1,1,0,0,0.3333333333333333
303,0.7454889218012491,1,1,1,1,1,1,1.0
304,0.8395285407702128,0,1,0,0,1,0,0.3333333333333333
305,0.9049790104230244,1,1,1,1,1,1,1.0
306,0.8650797208150228,1,1,0,1,0,0,0.5
307,0.9187881449858348,1,1,1,1,1,1,1.0
308,0.8103453616301218,1,1,1,1,1,1,1.0
309,0.8352454205354055,0,0,0,1,1,1,0.5
310,0.8786550064881643,1,1,1,1,1,1,1.0
311,0.8360958198706309,1,1,1,1,1,1,1.0
312,0.9068075517813364,1,1,1,1,1,1,1.0
314,0.8844780623912811,1,0,1,1,1,0,0.6666666666666666
315,0.9190390507380168,1,0,0,1,1,1,0.6666666666666666
316,0.9155440628528596,1,1,1,1,1,1,1.0
317,0.8790296812852224,1,1,1,1,1,1,1.0
318,0.8234731157620748,1,1,1,1,1,1,1.0
319,0.8417976895968119,1,1,1,1,1,1,1.0
320,0.9210978945096334,1,1,1,1,1,1,1.0
321,0.8699784477551779,1,1,1,1,1,1,1.0
322,0.9118187129497528,1,1,1,1,1,1,1.0
323,0.9062225818634032,1,1,1,1,1,1,1.0
324,0.8744752705097198,1,1,1,1,1,1,1.0
325,0.8177273869514465,1,1,1,1,1,1,1.0
326,0.8392029205958048,1,1,1,0,1,1,0.8333333333333334
327,0.9049150049686432,1,1,1,1,1,1,1.0
328,0.6874186197916666,0,0,0,0,1,0,0.16666666666666666
329,0.9316201210021972,1,1,1,1,1,1,1.0
330,0.8198907971382141,1,1,0,1,0,0,0.5
331,0.8252110481262207,1,1,1,1,1,1,1.0
332,0.9214291870594024,1,1,1,1,1,1,1.0
333,0.880298932393392,1,1,1,1,1,1,1.0
334,0.8517745037873586,1,1,0,1,0,0,0.5
335,0.8212058345476786,1,1,0,1,0,0,0.5
336,0.8877891302108765,1,1,1,1,1,1,1.0
337,0.9006886680920919,1,1,1,1,1,1,1.0
338,0.9378251433372498,1,1,0,1,0,0,0.5
339,0.9487442672252656,1,1,1,1,1,1,1.0
340,0.8850291868050894,1,1,1,1,1,1,1.0
341,0.9003468056519827,1,1,0,1,1,0,0.6666666666666666
342,0.8142310182253519,1,1,0,1,1,1,0.8333333333333334
343,0.8232048352559408,1,1,1,1,0,1,0.8333333333333334
344,0.8376635313034058,1,1,0,1,0,0,0.5
345,0.8649022181828817,1,1,1,1,1,1,1.0
346,0.7795372903347015,1,1,1,0,1,1,0.8333333333333334
347,0.8109399875005087,1,1,1,1,1,1,1.0
348,0.9259533087412516,1,1,1,1,1,1,1.0
350,0.8823923567930857,1,1,1,1,1,1,1.0
