id,original_answer,lexical_answer,syntactic_answer,indirect_answer,gold_answer
309,False,True,True,True,False
310,True,True,True,True,True
311,False,False,False,False,False
312,False,False,False,False,False
314,True,True,True,True,True
315,True,True,False,False,True
316,True,True,True,True,True
317,True,True,True,True,True
318,False,False,False,False,False
319,True,True,True,True,True
320,True,True,True,True,True
321,False,False,False,False,True
322,False,False,False,False,False
323,False,False,False,False,False
324,False,False,False,False,False
325,True,True,True,True,True
326,True,True,True,True,False
327,False,False,False,False,False
328,True,False,False,False,True
329,False,False,False,False,False
330,True,True,True,False,False
331,True,True,True,True,True
332,False,False,False,False,False
333,False,False,False,False,False
334,False,False,False,True,False
335,False,False,False,True,False
336,False,False,False,False,False
337,True,True,True,True,True
338,True,True,True,False,True
339,False,False,False,False,False
340,True,True,True,True,True
341,False,False,False,True,False
342,False,False,False,False,False
343,True,True,True,False,True
344,False,False,False,False,False
345,True,True,True,True,True
346,True,True,True,True,True
347,False,False,False,False,False
348,False,False,False,False,True
350,False,False,False,False,False
