id,original,lexical,syntactic,contextual,Question_ECS
11,John buys cans of soup for buy 1 get one free. He gets 30 cans with a normal price of $0.60. How much does he pay?,"John purchases soup cans on a buy-one-get-one-free offer. The regular price per can is $0.60, and he ends up with 30 cans. How much does he spend?","If John gets 30 cans of soup during a buy-one-get-one-free sale where each can normally costs $0.60, how much does he pay?","At a local grocery store, John takes advantage of a buy-one-get-one-free deal on soup. The usual price is $0.60 per can, and he picks up 30 cans. How much does he pay?",0.9255731304486593
12,"Michael has 36 pets. 25% of them are dogs, 50% are cats, and the rest are bunnies. How many bunnies does he have?","Michael owns 36 pets in total. Of these, 25% are dogs and 50% are cats. The remainder are bunnies. How many bunnies does Michael have?","If Michael has 36 pets, with 25% being dogs and 50% being cats, how many of his pets are bunnies?","At home, Michael takes care of 36 pets. A quarter of them are dogs and half are cats, while the rest are bunnies. How many bunnies does he have?",0.9106309314568838
13,"Grant has four times as many vacations as Kelvin has classes. If Kelvin has 90 classes, how many vacations and classes do Grant and Kelvin have altogether?","Grant’s number of vacations is four times the number of classes Kelvin takes. Given that Kelvin has 90 classes, how many total vacations and classes do they have combined?","If Kelvin has 90 classes and Grant has four times that number in vacations, what is the total number of vacations and classes they have together?","During the school year, Kelvin has 90 classes while Grant has four times as many vacations. What’s the total number of vacations and classes they have between them?",0.9289263784885406
14,"Julie is making caesar salad for a family picnic. At the market, she spends $8 on green lettuce and $6 on red lettuce. If each type of lettuce costs $2 per pound, how many total pounds of lettuce did she buy?","Julie is preparing a caesar salad for a picnic. She paid $8 for green lettuce and $6 for red lettuce. Since both cost $2 per pound, how many pounds of lettuce did she purchase in total?","If Julie spends $8 on green lettuce and $6 on red lettuce, both priced at $2 per pound, how many pounds of lettuce did she buy for her family picnic?","At the farmers' market, Julie buys lettuce for a family picnic. She spends $8 on green lettuce and $6 on red lettuce, each costing $2 per pound. How many pounds of lettuce did she get?",0.9236719111601511
15,"Jimmy bought 3 pens for school for $1 each, 4 notebooks for $3 each and 2 folders for $5 each. If he paid with a $50 bill, how much change will he get back?","Jimmy purchased 3 pens at $1 each, 4 notebooks at $3 each, and 2 folders at $5 each. Paying with a $50 bill, how much change does he receive?","If Jimmy buys 3 pens for $1 each, 4 notebooks for $3 each, and 2 folders for $5 each, and pays with $50, how much change will he get?","For his new semester, Jimmy buys 3 pens at $1 each, 4 notebooks at $3 each, and 2 folders at $5 each. He pays with a $50 bill. What change does he receive?",0.940385639667511
16,Fern buys one pair of high heels for $60 and five pairs of ballet slippers for 2/3rds of the price of the high heels. How much does she pay total?,"Fern purchases a pair of high heels for $60 and five pairs of ballet slippers, each costing two-thirds of the price of the heels. What is her total cost?","If the high heels cost $60 and each of the five pairs of ballet slippers costs two-thirds as much, how much does Fern pay altogether?","While shopping at the mall, Fern spends $60 on high heels and buys five pairs of ballet slippers priced at two-thirds that amount each. What is the total cost?",0.9334205587704977
17,"The teacher divided the students into four groups. One group had 5 students, another 8 students, and the third 7 students. If there were 24 total students, how many students were in the fourth group?","A teacher split a class of 24 students into four groups. Three of the groups had 5, 8, and 7 students respectively. How many students were in the remaining group?","If a teacher divides 24 students into four groups, with three groups having 5, 8, and 7 students, how many students are in the fourth group?","In a classroom activity, a teacher organizes 24 students into four groups. The first three groups have 5, 8, and 7 students. How many students are in the last group?",0.9167912105719248
18,"Every hour past noon shadows from a building stretch an extra 5 feet, starting at zero at noon. How long are the shadows from the building 6 hours past noon in inches?","Each hour after noon, a building’s shadow becomes 5 feet longer, beginning at zero length at noon. What is the shadow’s length in inches after 6 hours?","If the building’s shadow starts at 0 feet at noon and grows 5 feet longer every hour, how many inches long is it 6 hours later?","On a sunny day, a building’s shadow grows by 5 feet each hour after noon, starting from zero at noon. How long is the shadow in inches 6 hours after noon?",0.9263796309630076
19,"A fox can run at the maximum speed of 50 kilometers per hour. Considering the fox would run at a constant speed, what distance would he make during 120 minutes?",A fox runs at a steady top speed of 50 kilometers per hour. How far does it travel in 120 minutes if it maintains this speed?,"If a fox maintains a constant speed of 50 kilometers per hour, what distance does it cover in 120 minutes?","While chasing prey, a fox maintains a speed of 50 kilometers per hour. After running for 120 minutes, how far has it traveled?",0.9066075384616852
20,"There were 40 kids on Lake Pleasant. A fourth of the kids went tubing, but only half of the tubers went rafting. How many of the kids who joined the rafting excursion were also on the tubing excursion?","Out of 40 kids at Lake Pleasant, one-fourth went tubing, and only half of those went rafting as well. How many kids participated in both tubing and rafting?","If 40 kids are on Lake Pleasant and a fourth go tubing, and half of those tubers also go rafting, how many joined both activities?","On a summer trip to Lake Pleasant, 40 kids take part in water activities. A fourth go tubing, and half of the tubers also go rafting. How many kids did both?",0.8933874865372976
21,"At a convention, 16 of 36 delegates arrived with pre-printed name badges. Half of the remaining delegates made their own, hand-written name badges. How many delegates were not wearing name badges?","At a conference, 16 out of 36 delegates brought pre-made name badges. Half of the rest created their own by hand. How many delegates didn’t have a name badge at all?","If 16 of the 36 delegates at a convention have pre-printed badges, and half of the others make hand-written ones, how many delegates end up without any name badge?","During a large business convention, 16 of the 36 attendees showed up with pre-printed name badges. Half of the remaining attendees made their own hand-written ones. How many people had no name badge?",0.8536182741324106
22,"Edward the plumber is replacing a pipe in a bathroom wall. He needs to use 40 feet of copper pipe to complete the job. For every 5 feet of pipe, Edward must use one tightening bolt, and for every bolt, he uses two washers. He buys a bag of 20 washers for the job. After he completes the bathroom job, how many washers will be remaining in the bag?","Edward, a plumber, is installing a 40-foot copper pipe in a bathroom wall. He needs one bolt for every 5 feet of pipe and two washers for each bolt. He purchases a pack of 20 washers. When he finishes, how many washers are left?","If Edward uses 40 feet of copper pipe, needing one bolt per 5 feet and two washers per bolt, and he starts with 20 washers, how many will remain after the job?","While fixing a bathroom pipe, Edward the plumber uses 40 feet of copper piping. For every 5 feet, he attaches one bolt, and each bolt requires two washers. He begins with 20 washers. After finishing, how many are left in the bag?",0.9070732394854227
23,Eric has 4 ninja throwing stars. His friend Chad has twice as many. Then Jeff bought 2 ninja stars from Chad. Jeff now has 6 throwing stars. How many ninja throwing stars do they have altogether?,"Eric owns 4 ninja stars, and Chad has double that number. After Jeff buys 2 stars from Chad, Jeff ends up with 6. How many ninja stars do Eric, Chad, and Jeff have in total?","If Eric has 4 ninja stars, Chad has twice as many, and Jeff purchases 2 from Chad to end up with 6, what is their total number of stars combined?","During martial arts practice, Eric has 4 ninja stars, Chad has twice that number, and Jeff buys 2 from Chad, ending up with 6 stars. How many stars do the three friends have altogether?",0.886985202630361
24,Each dandelion produces 300 seeds. 1/3rd of the seeds land in water and die. 1/6 of the starting number are eaten by insects. Half the remainder sprout and are immediately eaten. How many dandelions survive long enough to flower?,"A single dandelion generates 300 seeds. One-third fall into water and die, one-sixth are eaten by insects, and half of what remains sprout only to be eaten right away. How many manage to survive to bloom?","If each dandelion produces 300 seeds, with one-third dying in water, one-sixth eaten by insects, and half of the rest eaten after sprouting, how many survive to flower?","In a sunny field, each dandelion produces 300 seeds. A third fall into water and die, a sixth are eaten by bugs, and half of the rest sprout but get eaten. How many dandelions survive to bloom?",0.9078380763530731
25,"By the time Anne is two times as old as Emile, Emile will be six times as old as Maude. If Maude will be 8 years old, how old will Anne be?","When Anne’s age is double Emile’s, Emile’s age will be six times Maude’s. If Maude is 8 years old, how old is Anne at that time?","If Maude will be 8 years old and Emile will then be six times her age, while Anne will be twice Emile’s age, how old will Anne be?","In a few years, Maude will be 8 years old. At that time, Emile will be six times her age, and Anne will be twice as old as Emile. How old will Anne be?",0.9640653729438782
26,Mason is mixing up some salad dressing. He takes a bowl that holds 150 ml and fills it 2/3rds with oil and 1/3rd with vinegar. The oil weighs 5 g/ml and the vinegar weighs 4 g/ml. How many grams does the salad dressing weigh?,"Mason prepares salad dressing in a 150 ml bowl, filling two-thirds with oil and one-third with vinegar. Oil weighs 5 g/ml and vinegar weighs 4 g/ml. What is the total weight of the dressing?","If Mason fills a 150 ml bowl two-thirds full of oil weighing 5 g/ml and one-third full of vinegar weighing 4 g/ml, how many grams does the dressing weigh?","In his kitchen, Mason mixes salad dressing using a 150 ml bowl filled two-thirds with oil and one-third with vinegar. Oil has a weight of 5 g/ml, and vinegar 4 g/ml. How heavy is the mixture?",0.9101435840129852
27,TreShawn's mom needs to order pizza for her son and his two friends. She knows that TreShawn always eats 1/2 a pizza. His friend Michael eats 1/3 of a pizza and his other friend LaMar eats 1/6 of a pizza. How many pizzas does she need to order?,"TreShawn’s mother plans to order pizza for him and two of his friends. TreShawn eats half a pizza, Michael eats one-third, and LaMar eats one-sixth. How many pizzas should she order?","If TreShawn eats 1/2 of a pizza, Michael eats 1/3, and LaMar eats 1/6, how many pizzas should TreShawn’s mom order for all three of them?","At her son’s sleepover, TreShawn’s mom orders pizza. TreShawn eats 1/2, Michael eats 1/3, and LaMar eats 1/6 of a pizza. How many pizzas does she need in total?",0.9184047182401022
28,"Out of the 200 apples in an orchard, 40 percent were rotten. Also, 70 percent of the rotten apples smelled. How many rotten apples in the orchard did not smell?","In an orchard of 200 apples, 40% turned out to be rotten, and 70% of those rotten ones gave off a smell. How many rotten apples didn’t smell?","If there are 200 apples in total, with 40% rotten and 70% of those rotten ones smelling, how many rotten apples do not smell?","At a small orchard, there are 200 apples. 40% are rotten, and of those, 70% have a bad smell. How many rotten apples don’t smell at all?",0.9093929827213287
29,Tom and Elizabeth have a competition to climb a hill. Elizabeth takes 30 minutes to climb the hill. Tom takes four times as long as Elizabeth does to climb the hill. How many hours does it take Tom to climb up the hill?,"Elizabeth climbs a hill in 30 minutes, while Tom takes four times as long. How many hours does it take Tom to reach the top?","If Elizabeth takes 30 minutes to climb a hill and Tom takes four times her time, how long in hours does Tom take?","During a friendly race, Elizabeth climbs a hill in 30 minutes. Tom takes four times her time. How many hours does Tom spend climbing?",0.9027105271816254
30,"Barry stands on his head for 10 minutes at a time, but then he must sit for 5 minutes before he can take another turn standing on his head. How many turns can Barry take standing on his head during a single 2-hour period?","Barry can balance on his head for 10 minutes before resting for 5 minutes. In a 2-hour stretch, how many times can he do a headstand?","If Barry alternates between 10 minutes standing on his head and 5 minutes resting, how many headstands can he complete in 2 hours?","During a practice session lasting 2 hours, Barry performs headstands lasting 10 minutes each, with a 5-minute rest between turns. How many headstands can he take?",0.8638337850570679
31,"A few friends are making a small movie. They hire a few actors and that cost $1200. They also get food for the 50 people there. Each person gets $3 worth of food. Equipment rental costs twice as much as food and actors combined. They sold the movie for $10,000. How much profit did they make?","Some friends are producing a short film. They spend $1200 on hiring actors and buy $3 worth of food per person for 50 people. The equipment rental is twice the total cost of the food and actors. After selling the movie for $10,000, how much profit did they earn?","If a group of friends spends $1200 on actors and $3 per person for food for 50 people, and the equipment rental costs twice as much as both of those combined, then sells the movie for $10,000, what is their profit?","During a weekend film project, a group of friends pays $1200 for actors and buys $3 of food for each of the 50 crew members. Equipment rental costs twice as much as the combined cost of actors and food. After selling the film for $10,000, how much profit do they make?",0.9105626344680786
32,Cristine bought a dozen lemons and gave 1/4 of them to her neighbor. How many lemons does Cristine have left?,Cristine purchased 12 lemons and gave a quarter of them to her neighbor. How many lemons remain with her?,"If Cristine starts with a dozen lemons and gives 1/4 to her neighbor, how many does she keep?","At the farmers’ market, Cristine buys a dozen lemons and decides to give a fourth of them to her neighbor. How many lemons does she still have?",0.9063784976800283
33,"Giselle had 20 female doves in a birdhouse. After a month, the doves laid 3 eggs each. If 3/4 of the eggs hatched, calculate the total number of doves Giselle has now.","Giselle kept 20 female doves. Each laid 3 eggs in a month, and 3/4 of those eggs hatched. How many doves does she have in total now?","If 20 female doves each lay 3 eggs and 3/4 of all eggs hatch, how many doves does Giselle have altogether after a month?","In her backyard birdhouse, Giselle has 20 female doves. After a month, each lays 3 eggs, and 3/4 of the eggs hatch successfully. What’s the total number of doves now?",0.927775502204895
34,Macey saves to buy herself a shirt that costs $3. She was able to save $1.50 already. How many weeks does she need to save for the remaining amount if she saves $0.50 per week?,"Macey is saving to buy a $3 shirt. She’s already saved $1.50. If she saves $0.50 each week, how many more weeks will it take her?","If Macey has already saved $1.50 toward a $3 shirt and continues to save $0.50 weekly, how many weeks will she need to finish saving?",Macey wants to buy a $3 shirt. She’s saved $1.50 so far and plans to save $0.50 every week. After how many weeks will she have enough money?,0.9152071277300516
35,There are 360 balls in the ball pit. If a quarter of the balls in the ball pit are red and a fifth of the remaining balls are blue. How many of the balls are neither red nor blue?,"The ball pit contains 360 balls. One-fourth are red, and one-fifth of what’s left are blue. How many balls are neither red nor blue?","If 1/4 of 360 balls are red and 1/5 of the remaining balls are blue, how many are not red or blue?","At the children’s play area, there are 360 balls in the pit. 25% are red, and 1/5 of the remaining are blue. How many balls are neither red nor blue?",0.8388742903868357
36,"Johnny is a dog walker. He can walk 3 dogs at once. He gets paid $15 for a 30-minute walk and $20 for a 60-minute walk. Johnny works for 4 hours per day. If he always walks the maximum number of dogs possible and 6 dogs have 60-minute walks per day, how much money does he make in a week where he works 5 days?",Johnny walks dogs for a living and can handle 3 dogs at once. He earns $15 for a 30-minute walk and $20 for an hour-long walk. He works 4 hours daily and has 6 dogs that need 60-minute walks each day. How much does he earn in a 5-day week?,"If Johnny walks 3 dogs at once, earns $15 for 30 minutes or $20 for 60 minutes, works 4 hours a day, and walks 6 dogs for 60 minutes each day, how much does he make over 5 days?","Each weekday, Johnny the dog walker works 4 hours. He can walk 3 dogs at once, earning $15 per 30-minute walk or $20 per 60-minute walk. Six dogs get hour-long walks daily. How much does he make in 5 days?",0.9395551880200704
37,"If Lyn donates $240 to a private organization each year where 1/3 of it goes to the community pantry project, 1/2 goes to the local crisis fund, 1/4 of the remaining goes to livelihood project funds, and the rest is for contingency funds. How much goes to contingency fund?","Lyn donates $240 annually to an organization. Of that, 1/3 supports a community pantry, 1/2 goes to a crisis fund, 1/4 of what’s left goes to livelihood projects, and the remainder is set aside for contingency funds. How much is that?","If Lyn gives $240, with 1/3 to a pantry, 1/2 to a crisis fund, and 1/4 of what’s left to a livelihood project, how much remains for contingency funds?","Each year, Lyn contributes $240 to a private charity. One-third goes to a community pantry, half to a crisis fund, one-fourth of the rest to livelihood funds. How much is left for contingencies?",0.8786450525124868
38,"Jenny makes and freezes pans of lasagna all week so she can sell them at the market on the weekend. It costs Jenny $10.00 in ingredients to make 1 pan of lasagna. If she makes and sells 20 pans over the weekend at $25.00 apiece, how much does she make after factoring in expenses?","Jenny prepares pans of lasagna during the week to sell at the weekend market. Each pan costs her $10 to make, and she sells them for $25 each. If she sells 20 pans, what’s her profit after expenses?","If Jenny spends $10 to make each pan of lasagna and sells 20 of them for $25 each, how much money does she make after covering costs?","At the Saturday market, Jenny sells homemade lasagna pans for $25 each. Each one costs her $10 to prepare. She sells 20 pans. How much profit does she earn?",0.8797147671381632
39,Caleb bought 10 cartons of ice cream and 4 cartons of frozen yoghurt. Each carton of ice cream cost $4 and each carton of frozen yoghurt cost $1. How much more did Caleb spend on ice cream than on frozen yoghurt?,Caleb purchased 10 ice cream cartons at $4 each and 4 cartons of frozen yoghurt at $1 each. How much extra did he pay for ice cream compared to yoghurt?,"If ice cream cartons cost $4 each and frozen yoghurt cartons cost $1 each, and Caleb buys 10 of the former and 4 of the latter, how much more does he spend on ice cream?","During a grocery trip, Caleb buys 10 ice cream cartons for $4 apiece and 4 frozen yoghurt cartons for $1 apiece. How much more money goes to ice cream than to yoghurt?",0.92125403881073
40,"The school decided to add 20% to the gym budget. In a normal month, they could buy 15 dodgeballs for $5 each if they spent the entire budget on that. If they only buy softballs instead, which cost $9 each, how many can they buy with the new budget?","The school increased its gym budget by 20%. Normally, the budget allows them to buy 15 dodgeballs at $5 each. If they switch to softballs costing $9 each, how many can they purchase with the updated budget?","If the school’s gym budget is raised by 20% and previously bought 15 dodgeballs for $5 each, how many $9 softballs can it now afford?","After a 20% budget increase, the school plans to buy softballs for the gym. The old budget could buy 15 dodgeballs at $5 each. If softballs cost $9 each, how many can they buy now?",0.9307072261969248
41,Hakeem has always loved artichoke dip and plans to make it this weekend. He has $15 dollars to buy artichokes and can find the rest of the ingredients at home. It takes 3 artichokes to make 5 ounces of dip. How many ounces can he make if artichokes cost $1.25 each?,"Hakeem wants to make his favorite artichoke dip this weekend. He has $15 to spend on artichokes and already has the other ingredients at home. Since 3 artichokes produce 5 ounces of dip and each artichoke costs $1.25, how many ounces can he prepare?","If artichokes cost $1.25 each and Hakeem uses 3 of them to make 5 ounces of dip, how many ounces of dip can he make with $15, assuming he has the other ingredients at home?","On Saturday, Hakeem decides to make artichoke dip. He has $15 to buy artichokes, which cost $1.25 each. Since 3 artichokes make 5 ounces of dip, and he already has the rest of the ingredients, how many ounces can he make?",0.9572669764359792
42,"Sarah's age is equal to three times Mark's age minus 4. Mark is four years older than Billy. Billy is half Ana's age. If Ana will be 15 in 3 years, how old is Sarah?","Sarah’s age equals three times Mark’s age minus 4. Mark is 4 years older than Billy, and Billy is half Ana’s age. Ana will be 15 in three years. What is Sarah’s current age?","If Ana will be 15 in three years, and Billy is half her current age, while Mark is four years older than Billy, and Sarah’s age is three times Mark’s minus 4, how old is Sarah?","Right now, Ana is younger than she’ll be in three years when she turns 15. Billy is half her current age, Mark is four years older than Billy, and Sarah’s age is three times Mark’s minus 4. How old is Sarah?",0.9462899168332418
43,"Purple Valley has one-quarter as many skirts as Seafoam Valley, and Seafoam Valley has two-thirds as many skirts as Azure Valley. If Azure Valley has 60 skirts, how many skirts does Purple Valley have?","Purple Valley owns one-fourth the number of skirts that Seafoam Valley does, and Seafoam Valley has two-thirds as many as Azure Valley. If Azure Valley’s total is 60 skirts, how many are in Purple Valley?","If Azure Valley has 60 skirts, Seafoam Valley has two-thirds of that number, and Purple Valley has one-quarter as many as Seafoam Valley, how many skirts does Purple Valley have?","In a regional clothing fair, Azure Valley has 60 skirts on display. Seafoam Valley has two-thirds as many, while Purple Valley has one-fourth as many as Seafoam Valley. How many skirts does Purple Valley have?",0.9287627538045248
44,"After complaints from the residents of Tatoosh about the number of cats on the island, the wildlife service carried out a relocation mission that saw the number of cats on the island drastically reduced. On the first relocation mission, 600 cats were relocated from the island to a neighboring island. On the second mission, half of the remaining cats were relocated to a rescue center inland. If the number of cats originally on the island was 1800, how many cats remained on the island after the rescue mission?","Due to complaints from Tatoosh Island residents about too many cats, wildlife officials relocated some. First, 600 cats were moved to a nearby island, and then half of the remaining cats were sent to a rescue center. If there were originally 1800 cats, how many are left on Tatoosh?","If Tatoosh Island began with 1800 cats, 600 were relocated in the first mission, and half of those left were moved again to a rescue center, how many cats stayed on the island?","Following resident complaints, the wildlife service on Tatoosh Island conducted two cat relocations. Out of 1800 cats, 600 went to a nearby island first, and half the rest were sent inland. How many cats remained afterward?",0.9086384375890096
45,Remi wants to drink more water. He has a refillable water bottle that holds 20 ounces of water. That week Remi refills the bottle 3 times a day and drinks the whole bottle each time except for twice when he accidentally spills 5 ounces the first time and 8 ounces the second time. In 7 days how many ounces of water does Remi drink?,"Remi is trying to stay hydrated using his 20-ounce water bottle. He refills it three times daily and drinks all of it except when he spills 5 ounces once and 8 ounces another time. Over 7 days, how many ounces does he actually drink?","If Remi refills a 20-ounce bottle 3 times per day for 7 days, but spills 5 ounces once and 8 ounces another time, how many ounces of water does he end up drinking?","During a health challenge, Remi uses a 20-ounce bottle, refilling it 3 times per day for a week. He drinks all but spills 5 ounces once and 8 ounces another time. How much water does he drink in total?",0.9147872626781464
46,"Billy is reducing raspberry juice down to make syrup. He reduces 6 quarts of juice to 1/12 of its original volume, then adds 1 cup of sugar. What is the final volume of the syrup in cups? (There are 4 cups in a quart)","Billy boils 6 quarts of raspberry juice until it becomes 1/12 of its starting volume, then mixes in 1 cup of sugar. With 4 cups in a quart, what’s the total syrup volume in cups?","If 1 quart equals 4 cups, and Billy reduces 6 quarts of juice to 1/12 its volume before adding 1 cup of sugar, what is the syrup’s final volume in cups?","While making homemade raspberry syrup, Billy starts with 6 quarts of juice and boils it down to 1/12 of its volume. He then adds 1 cup of sugar. How many cups of syrup does he end up with?",0.9177117248376211
47,"John buys 2 packs of gum and 3 candy bars. Each stick of gum cost half as much as the candy bar. If the candy bar cost $1.5 each, how much did he pay in total?","John purchased 2 packs of gum and 3 candy bars. Every stick of gum costs half the price of a candy bar, and each candy bar is $1.50. How much did John spend altogether?","If candy bars cost $1.50 each and each stick of gum costs half that, how much does John pay for 2 gum packs and 3 candy bars?","At the store, John grabs 2 packs of gum and 3 candy bars. Each candy bar costs $1.50, and gum costs half that per stick. How much money does he spend in total?",0.9247503777345022
48,"My brother and I have thirty minutes to go to school, without being late. It takes us 15 minutes to arrive at the school gate, and another 6 minutes to get to the school building. How much time do we have to get to our room, without being late?",My brother and I have 30 minutes to reach school before the bell rings. It takes 15 minutes to get to the school gate and 6 more minutes to reach the building. How much time remains to get to our classroom?,"If the total time to reach school is 15 minutes to the gate plus 6 minutes to the building, and we have 30 minutes overall, how much time is left to reach our room?","On a typical morning, my brother and I have 30 minutes before school starts. It takes us 15 minutes to reach the gate and another 6 minutes to walk inside. How much time is left to get to class?",0.798528919617335
