id,original_question,original_answer,counterfactual_1_question,counterfactual_1_answer,counterfactual_2_question,counterfactual_2_answer,counterfactual_3_question,counterfactual_3_answer
11,John buys cans of soup for buy 1 get one free. He gets 30 cans with a normal price of $0.60. How much does he pay?,9,John buys cans of soup for buy 1 get one free. He gets 40 cans with a normal price of $0.60. How much does he pay?,12.0,John buys cans of soup for buy 1 get one free. He gets 30 cans with a normal price of $0.50. How much does he pay?,7.5,John buys cans of soup for buy 2 get one free. He gets 30 cans with a normal price of $0.60. How much does he pay?,12.0
12,"Michael has 36 pets. 25% of them are dogs, 50% are cats, and the rest are bunnies. How many bunnies does he have?",9,"Michael has 40 pets. 25% of them are dogs, 50% are cats, and the rest are bunnies. How many bunnies does he have?",10.0,"Michael has 36 pets. 30% of them are dogs, 50% are cats, and the rest are bunnies. How many bunnies does he have?",7.2,"Michael has 36 pets. 25% of them are dogs, 60% are cats, and the rest are bunnies. How many bunnies does he have?",5.4
13,"Grant has four times as many vacations as Kelvin has classes. If Kelvin has 90 classes, how many vacations and classes do Grant and Kelvin have altogether?",450,"Grant has three times as many vacations as Kelvin has classes. If Kelvin has 90 classes, how many vacations and classes do Grant and Kelvin have altogether?",360.0,"Grant has four times as many vacations as Kelvin has classes. If Kelvin has 80 classes, how many vacations and classes do Grant and Kelvin have altogether?",400.0,"Grant has five times as many vacations as Kelvin has classes. If Kelvin has 90 classes, how many vacations and classes do Grant and Kelvin have altogether?",540.0
14,"Julie is making caesar salad for a family picnic. At the market, she spends $8 on green lettuce and $6 on red lettuce. If each type of lettuce costs $2 per pound, how many total pounds of lettuce did she buy?",7,"Julie is making caesar salad for a family picnic. At the market, she spends $10 on green lettuce and $8 on red lettuce. If each type of lettuce costs $2 per pound, how many total pounds of lettuce did she buy?",9.0,"Julie is making caesar salad for a family picnic. At the market, she spends $8 on green lettuce and $6 on red lettuce. If each type of lettuce costs $3 per pound, how many total pounds of lettuce did she buy?",4.67,"Julie is making caesar salad for a family picnic. At the market, she spends $6 on green lettuce and $4 on red lettuce. If each type of lettuce costs $2 per pound, how many total pounds of lettuce did she buy?",5.0
15,"Jimmy bought 3 pens for school for $1 each, 4 notebooks for $3 each and 2 folders for $5 each. If he paid with a $50 bill, how much change will he get back?",25,"Jimmy bought 3 pens for $2 each, 4 notebooks for $3 each and 2 folders for $5 each. If he paid with a $50 bill, how much change will he get back?",22.0,"Jimmy bought 3 pens for $1 each, 4 notebooks for $4 each and 2 folders for $5 each. If he paid with a $50 bill, how much change will he get back?",21.0,"Jimmy bought 3 pens for $1 each, 4 notebooks for $3 each and 2 folders for $6 each. If he paid with a $50 bill, how much change will he get back?",23.0
16,Fern buys one pair of high heels for $60 and five pairs of ballet slippers for 2/3rds of the price of the high heels. How much does she pay total?,260,Fern buys one pair of high heels for $60 and four pairs of ballet slippers for 2/3rds of the price of the high heels. How much does she pay total?,220.0,Fern buys one pair of high heels for $75 and five pairs of ballet slippers for 2/3rds of the price of the high heels. How much does she pay total?,325.0,Fern buys one pair of high heels for $60 and five pairs of ballet slippers for half the price of the high heels. How much does she pay total?,210.0
17,"The teacher divided the students into four groups. One group had 5 students, another 8 students, and the third 7 students. If there were 24 total students, how many students were in the fourth group?",4,"The teacher divided the students into four groups. One group had 6 students, another 8 students, and the third 7 students. If there were 24 total students, how many students were in the fourth group?",3.0,"The teacher divided the students into four groups. One group had 5 students, another 8 students, and the third 7 students. If there were 26 total students, how many students were in the fourth group?",6.0,"The teacher divided the students into four groups. One group had 5 students, another 10 students, and the third 7 students. If there were 25 total students, how many students were in the fourth group?",3.0
18,"Every hour past noon shadows from a building stretch an extra 5 feet, starting at zero at noon. How long are the shadows from the building 6 hours past noon in inches?",360,"Every hour past noon shadows from a building stretch an extra 4 feet, starting at zero at noon. How long are the shadows from the building 6 hours past noon in inches?",288.0,"Every hour past noon shadows from a building stretch an extra 5 feet, starting at zero at noon. How long are the shadows from the building 8 hours past noon in inches?",480.0,"Every hour past noon shadows from a building stretch an extra 6 feet, starting at zero at noon. How long are the shadows from the building 5 hours past noon in inches?",360.0
19,"A fox can run at the maximum speed of 50 kilometers per hour. Considering the fox would run at a constant speed, what distance would he make during 120 minutes?",100,"A fox can run at the maximum speed of 40 kilometers per hour. Considering the fox would run at a constant speed, what distance would he make during 120 minutes?",80.0,"A fox can run at the maximum speed of 50 kilometers per hour. Considering the fox would run at a constant speed, what distance would he make during 90 minutes?",75.0,"A fox can run at the maximum speed of 60 kilometers per hour. Considering the fox would run at a constant speed, what distance would he make during 120 minutes?",120.0
20,"There were 40 kids on Lake Pleasant. A fourth of the kids went tubing, but only half of the tubers went rafting. How many of the kids who joined the rafting excursion were also on the tubing excursion?",5,"There were 48 kids on Lake Pleasant. A fourth of the kids went tubing, but only half of the tubers went rafting. How many of the kids who joined the rafting excursion were also on the tubing excursion?",6.0,"There were 40 kids on Lake Pleasant. A fifth of the kids went tubing, but only half of the tubers went rafting. How many of the kids who joined the rafting excursion were also on the tubing excursion?",4.0,"There were 40 kids on Lake Pleasant. A fourth of the kids went tubing, but only one-fourth of the tubers went rafting. How many of the kids who joined the rafting excursion were also on the tubing excursion?",2.5
21,"At a convention, 16 of 36 delegates arrived with pre-printed name badges. Half of the remaining delegates made their own, hand-written name badges. How many delegates were not wearing name badges?",10,"At a convention, 18 of 36 delegates arrived with pre-printed name badges. Half of the remaining delegates made their own, hand-written name badges. How many delegates were not wearing name badges?",9.0,"At a convention, 16 of 40 delegates arrived with pre-printed name badges. Half of the remaining delegates made their own, hand-written name badges. How many delegates were not wearing name badges?",12.0,"At a convention, 16 of 36 delegates arrived with pre-printed name badges. One-third of the remaining delegates made their own, hand-written name badges. How many delegates were not wearing name badges?",13.33
22,"Edward the plumber is replacing a pipe in a bathroom wall. He needs to use 40 feet of copper pipe to complete the job. For every 5 feet of pipe, Edward must use one tightening bolt, and for every bolt, he uses two washers. He buys a bag of 20 washers for the job. After he completes the bathroom job, how many washers will be remaining in the bag?",4,"Edward the plumber is replacing a pipe in a bathroom wall. He needs to use 45 feet of copper pipe to complete the job. For every 5 feet of pipe, Edward must use one tightening bolt, and for every bolt, he uses two washers. He buys a bag of 20 washers for the job. After he completes the bathroom job, how many washers will be remaining in the bag?",2.0,"Edward the plumber is replacing a pipe in a bathroom wall. He needs to use 40 feet of copper pipe to complete the job. For every 4 feet of pipe, Edward must use one tightening bolt, and for every bolt, he uses two washers. He buys a bag of 20 washers for the job. After he completes the bathroom job, how many washers will be remaining in the bag?",0.0,"Edward the plumber is replacing a pipe in a bathroom wall. He needs to use 40 feet of copper pipe to complete the job. For every 5 feet of pipe, Edward must use one tightening bolt, and for every bolt, he uses one washer. He buys a bag of 20 washers for the job. After he completes the bathroom job, how many washers will be remaining in the bag?",12.0
23,Eric has 4 ninja throwing stars. His friend Chad has twice as many. Then Jeff bought 2 ninja stars from Chad. Jeff now has 6 throwing stars. How many ninja throwing stars do they have altogether?,16,Eric has 5 ninja throwing stars. His friend Chad has twice as many. Then Jeff bought 2 ninja stars from Chad. Jeff now has 6 throwing stars. How many ninja throwing stars do they have altogether?,19.0,Eric has 4 ninja throwing stars. His friend Chad has twice as many. Then Jeff bought 3 ninja stars from Chad. Jeff now has 7 throwing stars. How many ninja throwing stars do they have altogether?,16.0,Eric has 4 ninja throwing stars. His friend Chad has three times as many. Then Jeff bought 2 ninja stars from Chad. Jeff now has 6 throwing stars. How many ninja throwing stars do they have altogether?,20.0
24,Each dandelion produces 300 seeds. 1/3rd of the seeds land in water and die. 1/6 of the starting number are eaten by insects. Half the remainder sprout and are immediately eaten. How many dandelions survive long enough to flower?,75,Each dandelion produces 240 seeds. 1/3rd of the seeds land in water and die. 1/6 of the starting number are eaten by insects. Half the remainder sprout and are immediately eaten. How many dandelions survive long enough to flower?,60.0,Each dandelion produces 300 seeds. 1/4 of the seeds land in water and die. 1/6 of the starting number are eaten by insects. Half the remainder sprout and are immediately eaten. How many dandelions survive long enough to flower?,94.0,Each dandelion produces 300 seeds. 1/3rd of the seeds land in water and die. 1/3 of the starting number are eaten by insects. Half the remainder sprout and are immediately eaten. How many dandelions survive long enough to flower?,50.0
25,"By the time Anne is two times as old as Emile, Emile will be six times as old as Maude. If Maude will be 8 years old, how old will Anne be?",96,"By the time Anne is two times as old as Emile, Emile will be five times as old as Maude. If Maude will be 8 years old, how old will Anne be?",80.0,"By the time Anne is three times as old as Emile, Emile will be six times as old as Maude. If Maude will be 8 years old, how old will Anne be?",144.0,"By the time Anne is two times as old as Emile, Emile will be six times as old as Maude. If Maude will be 10 years old, how old will Anne be?",120.0
26,Mason is mixing up some salad dressing. He takes a bowl that holds 150 ml and fills it 2/3rds with oil and 1/3rd with vinegar. The oil weighs 5 g/ml and the vinegar weighs 4 g/ml. How many grams does the salad dressing weigh?,700,Mason is mixing up some salad dressing. He takes a bowl that holds 120 ml and fills it 2/3rds with oil and 1/3rd with vinegar. The oil weighs 5 g/ml and the vinegar weighs 4 g/ml. How many grams does the salad dressing weigh?,560.0,Mason is mixing up some salad dressing. He takes a bowl that holds 150 ml and fills it 3/4ths with oil and 1/4th with vinegar. The oil weighs 5 g/ml and the vinegar weighs 4 g/ml. How many grams does the salad dressing weigh?,712.5,Mason is mixing up some salad dressing. He takes a bowl that holds 150 ml and fills it 2/3rds with oil and 1/3rd with vinegar. The oil weighs 4 g/ml and the vinegar weighs 3 g/ml. How many grams does the salad dressing weigh?,550.0
27,TreShawn's mom needs to order pizza for her son and his two friends. She knows that TreShawn always eats 1/2 a pizza. His friend Michael eats 1/3 of a pizza and his other friend LaMar eats 1/6 of a pizza. How many pizzas does she need to order?,1,TreShawn's mom needs to order pizza for her son and his two friends. She knows that TreShawn always eats 3/4 of a pizza. His friend Michael eats 1/2 of a pizza and his other friend LaMar eats 1/4 of a pizza. How many pizzas does she need to order?,1.5,TreShawn's mom needs to order pizza for her son and his two friends. She knows that TreShawn always eats 1/2 a pizza. His friend Michael eats 1/2 of a pizza and his other friend LaMar eats 1/4 of a pizza. How many pizzas does she need to order?,1.25,TreShawn's mom needs to order pizza for her son and his two friends. She knows that TreShawn always eats 1/3 of a pizza. His friend Michael eats 1/3 of a pizza and his other friend LaMar eats 1/3 of a pizza. How many pizzas does she need to order?,1.0
28,"Out of the 200 apples in an orchard, 40 percent were rotten. Also, 70 percent of the rotten apples smelled. How many rotten apples in the orchard did not smell?",24,"Out of the 250 apples in an orchard, 40 percent were rotten. Also, 70 percent of the rotten apples smelled. How many rotten apples in the orchard did not smell?",30.0,"Out of the 200 apples in an orchard, 50 percent were rotten. Also, 70 percent of the rotten apples smelled. How many rotten apples in the orchard did not smell?",30.0,"Out of the 200 apples in an orchard, 40 percent were rotten. Also, 60 percent of the rotten apples smelled. How many rotten apples in the orchard did not smell?",32.0
29,Tom and Elizabeth have a competition to climb a hill. Elizabeth takes 30 minutes to climb the hill. Tom takes four times as long as Elizabeth does to climb the hill. How many hours does it take Tom to climb up the hill?,2,Tom and Elizabeth have a competition to climb a hill. Elizabeth takes 20 minutes to climb the hill. Tom takes four times as long as Elizabeth does to climb the hill. How many hours does it take Tom to climb up the hill?,1.33,Tom and Elizabeth have a competition to climb a hill. Elizabeth takes 30 minutes to climb the hill. Tom takes three times as long as Elizabeth does to climb the hill. How many hours does it take Tom to climb up the hill?,1.5,Tom and Elizabeth have a competition to climb a hill. Elizabeth takes 45 minutes to climb the hill. Tom takes four times as long as Elizabeth does to climb the hill. How many hours does it take Tom to climb up the hill?,3.0
30,"Barry stands on his head for 10 minutes at a time, but then he must sit for 5 minutes before he can take another turn standing on his head. How many turns can Barry take standing on his head during a single 2-hour period?",8,"Barry stands on his head for 12 minutes at a time, but then he must sit for 6 minutes before he can take another turn standing on his head. How many turns can Barry take standing on his head during a single 2-hour period?",7.0,"Barry stands on his head for 10 minutes at a time, but then he must sit for 10 minutes before he can take another turn standing on his head. How many turns can Barry take standing on his head during a single 2-hour period?",6.0,"Barry stands on his head for 8 minutes at a time, but then he must sit for 4 minutes before he can take another turn standing on his head. How many turns can Barry take standing on his head during a single 2-hour period?",10.0
31,"A few friends are making a small movie. They hire a few actors and that cost $1200. They also get food for the 50 people there. Each person gets $3 worth of food. Equipment rental costs twice as much as food and actors combined. They sold the movie for $10,000. How much profit did they make?",5950,"A few friends are making a small movie. They hire a few actors and that cost $1200. They also get food for the 40 people there. Each person gets $3 worth of food. Equipment rental costs twice as much as food and actors combined. They sold the movie for $10,000. How much profit did they make?",6040.0,"A few friends are making a small movie. They hire a few actors and that cost $1500. They also get food for the 50 people there. Each person gets $3 worth of food. Equipment rental costs twice as much as food and actors combined. They sold the movie for $10,000. How much profit did they make?",5050.0,"A few friends are making a small movie. They hire a few actors and that cost $1200. They also get food for the 50 people there. Each person gets $4 worth of food. Equipment rental costs twice as much as food and actors combined. They sold the movie for $10,000. How much profit did they make?",5800.0
32,Cristine bought a dozen lemons and gave 1/4 of them to her neighbor. How many lemons does Cristine have left?,9,Cristine bought 16 lemons and gave 1/4 of them to her neighbor. How many lemons does Cristine have left?,12.0,Cristine bought a dozen lemons and gave 1/3 of them to her neighbor. How many lemons does Cristine have left?,8.0,Cristine bought 20 lemons and gave 1/5 of them to her neighbor. How many lemons does Cristine have left?,16.0
33,"Giselle had 20 female doves in a birdhouse. After a month, the doves laid 3 eggs each. If 3/4 of the eggs hatched, calculate the total number of doves Giselle has now.",65,"Giselle had 25 female doves in a birdhouse. After a month, the doves laid 3 eggs each. If 3/4 of the eggs hatched, calculate the total number of doves Giselle has now.",81.0,"Giselle had 20 female doves in a birdhouse. After a month, the doves laid 4 eggs each. If 3/4 of the eggs hatched, calculate the total number of doves Giselle has now.",80.0,"Giselle had 20 female doves in a birdhouse. After a month, the doves laid 3 eggs each. If 2/3 of the eggs hatched, calculate the total number of doves Giselle has now.",60.0
34,Macey saves to buy herself a shirt that costs $3. She was able to save $1.50 already. How many weeks does she need to save for the remaining amount if she saves $0.50 per week?,3,Macey saves to buy herself a shirt that costs $4. She was able to save $1.50 already. How many weeks does she need to save for the remaining amount if she saves $0.50 per week?,5.0,Macey saves to buy herself a shirt that costs $3. She was able to save $1 already. How many weeks does she need to save for the remaining amount if she saves $0.50 per week?,4.0,Macey saves to buy herself a shirt that costs $3. She was able to save $1.50 already. How many weeks does she need to save for the remaining amount if she saves $0.25 per week?,6.0
35,There are 360 balls in the ball pit. If a quarter of the balls in the ball pit are red and a fifth of the remaining balls are blue. How many of the balls are neither red nor blue?,216,There are 400 balls in the ball pit. If a quarter of the balls in the ball pit are red and a fifth of the remaining balls are blue. How many of the balls are neither red nor blue?,240.0,There are 360 balls in the ball pit. If a third of the balls in the ball pit are red and a fifth of the remaining balls are blue. How many of the balls are neither red nor blue?,192.0,There are 360 balls in the ball pit. If a quarter of the balls in the ball pit are red and a fourth of the remaining balls are blue. How many of the balls are neither red nor blue?,202.5
36,"Johnny is a dog walker. He can walk 3 dogs at once. He gets paid $15 for a 30-minute walk and $20 for a 60-minute walk. Johnny works for 4 hours per day. If he always walks the maximum number of dogs possible and 6 dogs have 60-minute walks per day, how much money does he make in a week where he works 5 days?",1500,"Johnny is a dog walker. He can walk 3 dogs at once. He gets paid $15 for a 30-minute walk and $25 for a 60-minute walk. Johnny works for 4 hours per day. If he always walks the maximum number of dogs possible and 6 dogs have 60-minute walks per day, how much money does he make in a week where he works 5 days?",1650.0,"Johnny is a dog walker. He can walk 4 dogs at once. He gets paid $15 for a 30-minute walk and $20 for a 60-minute walk. Johnny works for 4 hours per day. If he always walks the maximum number of dogs possible and 6 dogs have 60-minute walks per day, how much money does he make in a week where he works 5 days?",2000.0,"Johnny is a dog walker. He can walk 3 dogs at once. He gets paid $10 for a 30-minute walk and $15 for a 60-minute walk. Johnny works for 4 hours per day. If he always walks the maximum number of dogs possible and 6 dogs have 60-minute walks per day, how much money does he make in a week where he works 5 days?",1000.0
37,"If Lyn donates $240 to a private organization each year where 1/3 of it goes to the community pantry project, 1/2 goes to the local crisis fund, 1/4 of the remaining goes to livelihood project funds, and the rest is for contingency funds. How much goes to contingency fund?",30,"If Lyn donates $300 to a private organization each year where 1/3 of it goes to the community pantry project, 1/2 goes to the local crisis fund, 1/4 of the remaining goes to livelihood project funds, and the rest is for contingency funds. How much goes to contingency fund?",37.5,"If Lyn donates $240 to a private organization each year where 1/4 of it goes to the community pantry project, 1/2 goes to the local crisis fund, 1/4 of the remaining goes to livelihood project funds, and the rest is for contingency funds. How much goes to contingency fund?",45.0,"If Lyn donates $240 to a private organization each year where 1/3 of it goes to the community pantry project, 2/5 goes to the local crisis fund, 1/4 of the remaining goes to livelihood project funds, and the rest is for contingency funds. How much goes to contingency fund?",48.0
38,"Jenny makes and freezes pans of lasagna all week so she can sell them at the market on the weekend. It costs Jenny $10.00 in ingredients to make 1 pan of lasagna. If she makes and sells 20 pans over the weekend at $25.00 apiece, how much does she make after factoring in expenses?",300,"Jenny makes and freezes pans of lasagna all week so she can sell them at the market on the weekend. It costs Jenny $12.00 in ingredients to make 1 pan of lasagna. If she makes and sells 20 pans over the weekend at $25.00 apiece, how much does she make after factoring in expenses?",260.0,"Jenny makes and freezes pans of lasagna all week so she can sell them at the market on the weekend. It costs Jenny $10.00 in ingredients to make 1 pan of lasagna. If she makes and sells 25 pans over the weekend at $25.00 apiece, how much does she make after factoring in expenses?",375.0,"Jenny makes and freezes pans of lasagna all week so she can sell them at the market on the weekend. It costs Jenny $10.00 in ingredients to make 1 pan of lasagna. If she makes and sells 20 pans over the weekend at $30.00 apiece, how much does she make after factoring in expenses?",400.0
39,Caleb bought 10 cartons of ice cream and 4 cartons of frozen yoghurt. Each carton of ice cream cost $4 and each carton of frozen yoghurt cost $1. How much more did Caleb spend on ice cream than on frozen yoghurt?,36,Caleb bought 8 cartons of ice cream and 4 cartons of frozen yoghurt. Each carton of ice cream cost $4 and each carton of frozen yoghurt cost $1. How much more did Caleb spend on ice cream than on frozen yoghurt?,28.0,Caleb bought 10 cartons of ice cream and 4 cartons of frozen yoghurt. Each carton of ice cream cost $5 and each carton of frozen yoghurt cost $1. How much more did Caleb spend on ice cream than on frozen yoghurt?,46.0,Caleb bought 10 cartons of ice cream and 5 cartons of frozen yoghurt. Each carton of ice cream cost $4 and each carton of frozen yoghurt cost $2. How much more did Caleb spend on ice cream than on frozen yoghurt?,30.0
40,"The school decided to add 20% to the gym budget. In a normal month, they could buy 15 dodgeballs for $5 each if they spent the entire budget on that. If they only buy softballs instead, which cost $9 each, how many can they buy with the new budget?",10,"The school decided to add 30% to the gym budget. In a normal month, they could buy 15 dodgeballs for $5 each if they spent the entire budget on that. If they only buy softballs instead, which cost $9 each, how many can they buy with the new budget?",10.0,"The school decided to add 20% to the gym budget. In a normal month, they could buy 20 dodgeballs for $5 each if they spent the entire budget on that. If they only buy softballs instead, which cost $10 each, how many can they buy with the new budget?",12.0,"The school decided to add 10% to the gym budget. In a normal month, they could buy 15 dodgeballs for $5 each if they spent the entire budget on that. If they only buy softballs instead, which cost $9 each, how many can they buy with the new budget?",9.0
41,Hakeem has always loved artichoke dip and plans to make it this weekend. He has $15 dollars to buy artichokes and can find the rest of the ingredients at home. It takes 3 artichokes to make 5 ounces of dip. How many ounces can he make if artichokes cost $1.25 each?,20,Hakeem has $12 dollars to buy artichokes and can find the rest of the ingredients at home. It takes 3 artichokes to make 5 ounces of dip. How many ounces can he make if artichokes cost $1.25 each?,15.0,Hakeem has $15 dollars to buy artichokes and can find the rest of the ingredients at home. It takes 4 artichokes to make 5 ounces of dip. How many ounces can he make if artichokes cost $1.25 each?,15.0,Hakeem has $15 dollars to buy artichokes and can find the rest of the ingredients at home. It takes 3 artichokes to make 5 ounces of dip. How many ounces can he make if artichokes cost $1.50 each?,16.67
42,"Sarah's age is equal to three times Mark's age minus 4. Mark is four years older than Billy. Billy is half Ana's age. If Ana will be 15 in 3 years, how old is Sarah?",26,"Sarah's age is equal to twice Mark's age minus 4. Mark is four years older than Billy. Billy is half Ana's age. If Ana will be 15 in 3 years, how old is Sarah?",16.0,"Sarah's age is equal to three times Mark's age minus 4. Mark is six years older than Billy. Billy is half Ana's age. If Ana will be 15 in 3 years, how old is Sarah?",32.0,"Sarah's age is equal to three times Mark's age minus 4. Mark is four years older than Billy. Billy is half Ana's age. If Ana will be 18 in 3 years, how old is Sarah?",30.5
