id,plaus_original,plaus_lexical,plaus_syntactic,plaus_contextual
210,1,2,5,3
213,2,5,5,5
216,2,5,5,2
217,5,5,2,1
218,5,5,2,5
222,1,5,5,4
223,2,1,2,1
226,5,5,5,5
228,2,1,1,1
231,5,5,4,5
233,3,1,3,3
234,5,5,5,5
235,5,5,2,1
236,5,1,5,5
240,5,5,5,5
241,1,5,1,5
243,1,5,5,5
244,5,2,5,5
245,1,5,5,5
246,1,1,5,1
247,2,5,3,5
248,5,5,5,5
251,1,5,1,5
252,1,5,1,1
253,5,5,2,2
254,1,5,1,5
256,5,5,5,5
259,2,5,1,2
260,5,5,1,2
262,2,1,2,2
264,5,5,5,5
265,5,5,1,5
266,4,5,5,2
267,5,2,5,5
268,5,2,5,5
269,5,5,4,5
270,3,3,4,3
272,4,5,1,5
273,5,1,1,3
275,5,1,5,1
276,5,5,5,5
278,5,2,5,5
280,5,5,5,5
288,1,5,5,1
290,5,2,5,1
291,1,1,1,1
292,2,5,5,5
293,3,3,3,5
294,3,5,5,1
295,5,5,5,5
296,1,5,2,5
297,2,2,1,1
299,5,5,5,3
300,1,2,5,5
301,1,1,1,3
302,1,5,3,3
304,5,5,5,3
305,1,5,3,5
307,5,5,5,5
308,1,2,1,5
313,1,1,2,1
316,5,5,5,5
318,3,3,2,5
320,2,5,1,1
322,3,5,5,5
324,5,1,1,2
325,5,5,5,5
327,5,5,5,3
328,5,1,1,1
329,5,5,5,5
330,5,5,5,5
331,2,5,5,5
333,5,5,5,1
335,5,5,5,5
337,5,5,1,5
341,5,5,5,3
343,1,1,2,2
344,3,5,5,5
345,1,3,1,1
346,5,5,4,5
349,2,3,5,3
356,5,2,5,2
358,2,5,5,5
359,3,5,5,5
360,1,5,5,2
363,1,5,1,5
364,3,5,3,2
366,1,5,3,5
368,4,5,1,2
373,5,1,5,4
375,1,1,5,1
378,3,1,2,2
379,5,1,1,5
382,5,5,5,5
383,5,5,5,5
388,1,5,4,1
389,3,1,3,1
390,1,2,1,1
392,5,5,2,5
393,5,2,3,4
394,4,5,5,5
395,1,5,1,4
396,5,5,5,5
397,1,1,1,1
399,5,5,5,3
400,2,2,2,1
401,5,3,5,2
402,2,1,3,5
403,1,1,1,5
404,2,2,2,5
405,3,2,3,1
406,3,3,1,1
407,5,5,5,1
408,5,5,5,5
411,5,2,5,2
412,2,5,5,2
413,5,5,5,5
417,1,1,1,5
418,3,1,3,5
419,2,2,2,2
421,1,1,5,2
423,1,5,5,1
426,1,3,3,1
427,5,5,5,5
428,5,1,5,5
430,5,1,3,1
432,5,4,5,1
433,1,5,5,5
435,5,2,5,5
436,1,3,5,1
437,3,3,1,3
438,5,2,5,4
440,5,5,5,5
441,2,1,2,1
443,5,5,5,2
444,5,5,5,5
446,1,5,5,1
447,5,5,5,2
449,5,5,5,5
450,2,1,5,2
451,5,1,3,3
452,2,2,2,5
453,5,5,2,5
456,3,3,3,3
457,5,5,5,4
458,1,1,2,1
463,5,5,5,5
464,1,1,3,5
465,5,5,5,5
466,2,1,1,3
467,1,5,5,1
470,1,1,1,1
473,1,3,5,5
474,3,5,5,2
475,5,5,5,1
476,2,5,1,5
477,5,5,5,5
478,2,4,5,5
479,1,3,1,1
480,5,5,5,5
481,5,2,5,5
482,1,2,1,2
483,5,2,2,4
484,1,1,1,2
485,5,5,5,2
486,5,5,5,5
490,5,5,5,5
491,5,5,2,5
493,5,5,5,2
494,5,5,5,2
495,1,1,1,2
496,5,3,3,3
497,5,5,1,5
498,5,5,2,2
500,1,5,5,5
