id,correct_answer,cot_original_extracted,cot_lexical_extracted,cot_syntactic_extracted,cot_contextual_extracted,average_accuracy,answer_consistency,ECS
53,920,920,920,920,920,1.0,1.0,0.8915673096974691
54,23,23,23,23,23,1.0,1.0,0.9312307238578796
55,6,4,8,6,6,0.5,0.5,0.7959678371747335
56,322,322,322,322,322,1.0,1.0,0.9212226072947184
57,15,15,15,15,15,1.0,1.0,0.9300239980220796
58,50,50,50,50,50,1.0,1.0,0.9548462331295012
59,1440,1440,1440,1440,1440,1.0,1.0,0.8309681316216787
60,36,36,36,36,36,1.0,1.0,0.8289086023966471
61,66,66,66,96,96,0.5,0.5,0.9000702102979025
62,6000,6000,6000,1000.00,6000,0.75,0.75,0.9074122508366904
64,20000,20000,20000,20000,20000,1.0,1.0,0.957558145125707
65,19,19,19,19,19,1.0,1.0,0.8419795234998068
67,264,48,264,48,264,0.5,0.5,0.9068735937277476
68,72,72,72,72,72,1.0,1.0,0.9316667119661968
70,17,17,17,17.0,17.0,1.0,1.0,0.9128966430823008
71,198,198,198,198,198,1.0,1.0,0.8951429923375448
72,3400,3400,3400,3400.00,3400.00,1.0,1.0,0.9117544094721476
73,15,15,15,15,11,0.75,0.75,0.9194783767064412
74,67,67,67,67,67,1.0,1.0,0.9795850614706676
76,175,175,175,175,175,1.0,1.0,0.9096438785394032
77,38000,38000,38000,38000,38000,1.0,1.0,0.8727525075276693
78,100,100,100,100.0,100.0,1.0,1.0,0.9186027844746908
79,25,25,23,25,25,0.75,0.75,0.9156431357065836
80,20,20,20,20.0,7.20,0.75,0.75,0.8675253788630167
81,81,81,81,81,81,1.0,1.0,0.9549989203612008
83,5,5,5,5,5,1.0,1.0,0.8847499986489614
84,200,200,200,200,200,1.0,1.0,0.9372754593690236
86,5,30,5,5,0,0.5,0.5,0.9057707190513612
87,12,12,12,12,12,1.0,1.0,0.7940313716729482
88,40,40,40,40,40,1.0,1.0,0.8131969670454661
89,600,600,600,600,600,1.0,1.0,0.9661158124605814
90,5,5,5,6,5,0.75,0.75,0.9077556133270264
91,11,11,11,11,11,1.0,1.0,0.8864692846934
94,180,180.0,180,180,180,1.0,1.0,0.9199715753396353
95,16,16,16,16,16,1.0,1.0,0.8604161739349365
96,22,22,22,22,22,1.0,1.0,0.8497475981712341
97,700,700,700,700,700,1.0,1.0,0.9271529118220012
99,404,404,404,404,404,1.0,1.0,0.9318264822165172
101,2,2,2,2,2,1.0,1.0,0.8703012466430664
102,2,2,2,2,2,1.0,1.0,0.9450738032658896
104,2,2,2,2,2,1.0,1.0,0.902045875787735
105,12,12,12,12,12,1.0,1.0,0.9103006819883982
107,270,270,270,210,270,0.75,0.75,0.9015945295492808
108,3,3,3,3,3,1.0,1.0,0.9113334715366364
109,12,9,16,16,12,0.25,0.5,0.7978490889072418
113,21,21,21,2,21,0.75,0.75,0.8768656849861145
114,70,70.0,70.0,70.0,70.0,1.0,1.0,0.9676333864529928
117,50,50.00,50.00,50.0,50.00,1.0,1.0,0.9790766636530558
118,2,2,2,2,2,1.0,1.0,0.8585793375968933
119,50,50.0,50.0,50,50.0,1.0,1.0,0.8764705856641134
121,1000,900,1000,800,1000,0.5,0.5,0.7862352033456167
122,1685,1685,1685,1685,1685,1.0,1.0,0.92092165350914
124,11,11,11,11.0,11,1.0,1.0,0.9273746112982432
126,60,30,150,30,60,0.25,0.5,0.8437240024407705
129,19,19,19,19,19,1.0,1.0,0.8775928119818369
131,245,245,245,385,245,0.75,0.75,0.8286509911219279
132,2412,14472,2412,2412.00,1152.00,0.5,0.5,0.919410675764084
133,76,76,19,76,76,0.75,0.75,0.9655906160672506
134,74,74,74,74,74,1.0,1.0,0.9027230242888132
136,6,3,5,5,6,0.25,0.5,0.8665666182835897
137,8,8,13.33,8,8,0.75,0.75,0.9375300109386444
138,24,24,24,24,24,1.0,1.0,0.9518151680628458
139,1350,1350,1350,1350,1350,1.0,1.0,0.9396390517552694
140,31250,31250.00,6250.00,6250.00,31250,0.5,0.5,0.9148552715778352
141,15,15,15,15,15,1.0,1.0,0.8852468430995941
142,8,8,8,8,8,1.0,1.0,0.9000979959964752
144,60,60,60,60,60,1.0,1.0,0.9345631301403046
147,3,3,37.02,3,-3,0.5,0.5,0.8399563332398733
148,240,240,240,240,240,1.0,1.0,0.8895252446333567
151,20,20,20,20,20,1.0,1.0,0.81434898575147
152,14,14,14,14,14,1.0,1.0,0.8873482346534729
153,132,132,132,132,132,1.0,1.0,0.954696387052536
154,355,355.00,355.00,355.50,355.50,0.5,0.5,0.8547909557819366
155,84,60,84,84,39,0.5,0.5,0.8760416408379873
156,12,10,48,10,8,0.0,0.5,0.8794122238953909
157,770,770,770,770.00,770.0,1.0,1.0,0.9300547341505686
158,40,40,40,25,40,0.75,0.75,0.913970947265625
159,10,10,10,0,-1,0.5,0.5,0.897955079873403
161,5,5,5,5,0,0.75,0.75,0.8890399237473806
162,132000,132000,132000,132000,132000,1.0,1.0,0.8341513772805532
163,900,900,900,900,900,1.0,1.0,0.9380471110343932
164,15,0,15,1,7.5,0.25,0.0,0.8417075375715891
165,40000,40000,40000,40000,40000,1.0,1.0,0.8733731210231781
166,7,6.2,6.6,5.8,6.2,0.0,0.5,0.8816505273183187
167,6,6,6,6,6,1.0,1.0,0.924426426490148
169,9,9,9,9,9,1.0,1.0,0.9754341344038644
171,6,6,6,8,6,0.75,0.75,0.8230180044968923
172,2000,2000,2051,2000,2000,0.75,0.75,0.877677341302236
173,60,30,60,60,60,0.75,0.75,0.8315464854240417
174,936,936,936,936,936,1.0,1.0,0.8917131324609121
175,80,80.0,80.0,80,80,1.0,1.0,0.9361756443977356
176,3,3,1,3,1,0.5,0.5,0.8147003352642059
178,140,12,3,2.92,1,0.0,0.0,0.8808416922887167
179,15,15,15,15,50,0.75,0.75,0.8955880006154379
180,315,315,315,315,315,1.0,1.0,0.9475775758425394
181,4,0.27,-96,30,6,0.0,0.0,0.8716067771116892
182,6,11,5,9,9,0.0,0.5,0.8747936189174652
184,240,240,0,360,240,0.5,0.5,0.8509089350700378
185,60,60,60,60,60,1.0,1.0,0.9415596028168997
186,33,33,33,29,29.33,0.5,0.5,0.8450311720371246
187,39,39,39,39,39,1.0,1.0,0.9480364422003428
188,2,2,2,2,2,1.0,1.0,0.9176974296569824
189,94,94,94,94,94,1.0,1.0,0.8590066730976105
191,1316,1316,1316,1316,1316,1.0,1.0,0.9649698436260224
192,6,6,6,6,6,1.0,1.0,0.8588732679684957
193,6284,6284,6284,6284,6284,1.0,1.0,0.9071310758590698
194,200,200,200,200,200,1.0,1.0,0.964706540107727
195,5,5,5,5,5,1.0,1.0,0.8923330207665762
197,180,180,180.0,180,180,1.0,1.0,0.8915502826372782
198,17,17,17,17,17,1.0,1.0,0.8773984809716543
199,600,600,600,600,600,1.0,1.0,0.9242939452330272
200,25,25,23.75,23,25,0.5,0.5,0.8996603687604269
201,350,350,350,350,350,1.0,1.0,0.9252811173597972
202,400,1060,400,400,400,0.75,0.75,0.8437917232513428
203,270,270,270,270,270,1.0,1.0,0.9241020679473876
205,16,16,16,16,16,1.0,1.0,0.9423210620880128
206,12,12,12,12,12,1.0,1.0,0.913955181837082
208,100,100,100,100,100,1.0,1.0,0.9430295526981354
210,130,130,130,130,130,1.0,1.0,0.9119374652703603
211,1979,1979,1979,1979,1979,1.0,1.0,0.9272731145222982
213,40,40,40,40,40,1.0,1.0,0.7860592106978098
216,58,58,58,58,58,1.0,1.0,0.9138899048169454
217,30,30,30,50.0,30.0,0.75,0.75,0.9311676919460296
218,320,320,320,320,320,1.0,1.0,0.9037828743457794
220,24,24,24,24,24,1.0,1.0,0.9569635391235352
222,5,5.00,5,5.00,5.0,1.0,1.0,0.9029440780480704
223,2,2.50,1.89,3,1.89,0.0,0.5,0.9237001339594524
226,136,136,136,136,136,1.0,1.0,0.9240322808424632
227,50,15,150,37.5,150,0.0,0.5,0.91487384835879
228,112,112,112,168,336,0.5,0.5,0.8867766261100769
231,10,10,10,10,10,1.0,1.0,0.8509934941927592
232,56,56,56,56,56,1.0,1.0,0.9150459667046864
233,180,180,180,180,180,1.0,1.0,0.9425421158472695
234,12,12.0,12.0,12,12,1.0,1.0,0.9713281194368998
235,10,9.00,2.50,1.50,5,0.0,0.0,0.8893121778964996
236,8,8,8,8,8,1.0,1.0,0.9615988532702128
239,110,170,110,550,450,0.25,0.0,0.8508943120638529
240,4500,4500,4500,4500.00,4500,1.0,1.0,0.850155254205068
241,10,10,10,10.0,10.0,1.0,1.0,0.9276047547658284
242,266,266,266,266,266,1.0,1.0,0.9115365048249564
243,104,104,104,104,104,1.0,1.0,0.9351141850153604
244,9,9,9,9,9,1.0,1.0,0.9368366201718648
245,1280,1280,1280,1280,1280,1.0,1.0,0.8753428558508555
246,5,5,5,5,5,1.0,1.0,0.8813599050045013
247,16,16,16,40,16,0.75,0.75,0.9451486269632976
248,57,62,57,57,62,0.5,0.5,0.9016056259473164
249,84,84,84,84,1236,0.75,0.75,0.8147933483123779
250,7,7,7,7,7,1.0,1.0,0.907240649064382
251,295,295,290,295,295,0.75,0.75,0.8014186422030131
252,21,21.00,21.00,210,2.10,0.5,0.5,0.8921649754047394
253,32,32,32,32,32,1.0,1.0,0.908236175775528
254,42000,700,42000,70,42000,0.5,0.5,0.8451347748438517
255,3,3,3,3,3,1.0,1.0,0.9363901019096376
256,4,4,4,4,4,1.0,1.0,0.8120258947213491
258,468,468.00,468.00,468.00,468,1.0,1.0,0.8526591161886851
259,11,15,15,15,15,0.0,1.0,0.8999903003374735
260,53,53.0,53,53.0,68.0,0.75,0.75,0.8658730785051981
261,12,2,9,12,7,0.25,0.0,0.8491222759087881
262,8900,8547.56,8922.45,8922.45,8972.0,0.0,0.5,0.7807100117206573
264,83,83,83,83,83,1.0,1.0,0.91607066988945
266,800,800,800,800,800,1.0,1.0,0.93130557735761
267,16,16,16,6,16,0.75,0.75,0.9462444484233856
268,55,55,55,55,55,1.0,1.0,0.9625791807969412
269,240,120,240,240,240,0.75,0.75,0.9060039222240448
270,5,5,5,5,5,1.0,1.0,0.9319576919078828
272,5,5,5,5,5,1.0,1.0,0.9442396759986876
273,3,3,3,4,4,0.5,0.5,0.9316651622454324
274,200,200,30,200,30,0.5,0.5,0.8490202128887177
275,72000,72000,12000,72000,12000,0.5,0.5,0.9181360503037772
276,90,90,90,90,90,1.0,1.0,0.9287808934847512
278,234,234,190,234,234,0.75,0.75,0.84338907400767
279,4,4,4,4.00,4.00,1.0,1.0,0.8152222832043966
280,75,75,5,75,90,0.5,0.5,0.8723722696304321
281,11,11.0,4.5,11.00,11,0.75,0.75,0.8760198255379995
283,700,500,400,700,700,0.5,0.5,0.8518935342629751
284,70,23.33,23.33,50,70,0.25,0.5,0.8960172931353251
288,42,42,42,42,42,1.0,1.0,0.8859769205252329
290,100,500,500,100,625,0.25,0.5,0.9178474048773448
292,16000,16000,16000,16000,16000,1.0,1.0,0.8993806640307108
293,170,170,170,170,170,1.0,1.0,0.941320558389028
294,79,79,79,79.00,79,1.0,1.0,0.9763474861780802
295,35,35,35,35,35,1.0,1.0,0.9361456036567688
296,33,37.4,33,33,33,0.75,0.75,0.8240417738755544
297,100,200,100,100,200,0.5,0.5,0.8455481032530466
298,35,35,35,35,35,1.0,1.0,0.9039291143417358
299,12,12.00,12.00,12.00,12.00,1.0,1.0,0.8517455160617828
300,36,30,36,36,36,0.75,0.75,0.8651734888553619
301,250,125,125,250,250,0.5,0.5,0.9174565076828004
302,28,53,28,28,19,0.5,0.5,0.8463958203792572
304,3285,90.0,3285,3285,3285,0.75,0.75,0.8528826634089152
305,3600,3600,3600,3600,3600,1.0,1.0,0.8687860469023386
306,300,450,300,250,180,0.25,0.0,0.8936157723267873
307,28,28,28,28,28,1.0,1.0,0.9376518428325652
308,25,25,25,25,25,1.0,1.0,0.9138361712296804
310,2000,2000,2000,2000,1990,0.75,0.75,0.9227535426616668
312,640,640.00,896.00,640.0,640.0,0.75,0.75,0.9076897998650868
313,200,200,50,90,100,0.25,0.0,0.9179724355538686
316,220,220,220,220,220,1.0,1.0,0.925590048233668
318,200,200,200,200,200,1.0,1.0,0.916595627864202
319,25,25,25,25,25,1.0,1.0,0.8943010071913401
320,4,6,4,4,4,0.75,0.75,0.9420327047506968
321,60,50,60,60,60,0.75,0.75,0.8863095740477244
322,1124,1124,1124,1124,1124,1.0,1.0,0.8940838277339935
324,95,74.00,95,95,95.0,0.75,0.75,0.9309788246949514
325,19,19,19,19,19,1.0,1.0,0.832158237695694
327,13,13,13,13,13,1.0,1.0,0.9484159350395204
328,4,4,4,6,4,0.75,0.75,0.8444205224514008
329,8,8,8,8,8,1.0,1.0,0.9285035928090414
330,165,165.0,165.00,165.0,165.0,1.0,1.0,0.9246421555678048
331,600,600,600,600,600,1.0,1.0,0.8820757667223612
333,72,72,72,72,72,1.0,1.0,0.9504040976365408
334,28,28,28,28,28,1.0,1.0,0.9392552276452384
335,15,15,15,15,15,1.0,1.0,0.8855966031551361
337,3,3,3,3,3,1.0,1.0,0.9632669190565744
338,2,6,3/4,3/4,37,0.0,0.5,0.8694760700066885
341,300,300,300,300,300,1.0,1.0,0.9564431309700012
343,10,640.8,10,10,20,0.5,0.5,0.8505605161190033
344,33,33,33,33,41,0.75,0.75,0.8795466721057892
345,300,300,300,300,30,0.75,0.75,0.9499363601207732
346,1000,1000,1000,1000,1000,1.0,1.0,0.9222079912821451
349,1008,504,1008,1008,1008,0.75,0.75,0.927464654048284
351,144,144,144,144,144,1.0,1.0,0.9630739986896516
353,2600,2600,2600,2600,2600,1.0,1.0,0.8810418347517649
354,21,21,21,24.5,21,0.75,0.75,0.9114549060662588
356,15,15,15,15,15,1.0,1.0,0.9206934173901876
358,4,4,4.00,4,4.00,1.0,1.0,0.8795916040738424
359,720,720,720,720.0,720.0,1.0,1.0,0.9234257439772288
360,5,5,5,5,5,1.0,1.0,0.8775815665721893
361,14,14,14,14,14,1.0,1.0,0.9323551257451376
363,4,6.4,4,4,4,0.75,0.75,0.8437530100345612
364,250,250,250,250,250,1.0,1.0,0.9060945212841034
365,85,85,5,85,85,0.75,0.75,0.8816544016202291
366,7,7,7,3.5,70,0.5,0.5,0.9341711302598318
368,10,10,10,10,240,0.75,0.75,0.8252475460370382
370,7,7,7,7,7,1.0,1.0,0.9323588013648988
373,50,50.0,50.0,50,50.0,1.0,1.0,0.9398026069005332
375,43,49,43,43,43,0.75,0.75,0.823641041914622
377,50,50,50,50,50,1.0,1.0,0.9411217073599496
379,580,-580.00,580.0,580,180,0.5,0.5,0.9253119627634684
381,50,50,50,0,20,0.5,0.5,0.9091992576917012
382,41,14,14.00,41,41,0.5,0.5,0.8385521471500397
383,60,60,60,6,180,0.5,0.5,0.8962055345376333
386,41,41,41,41,41,1.0,1.0,0.7665450970331827
387,7,7,7,7,7,1.0,1.0,0.8722550968329111
388,15,15,15,15,15,1.0,1.0,0.8888514439264933
389,288,288,216,288,576,0.5,0.5,0.8899820744991302
390,5,0.83,14,15,15,0.0,0.5,0.833765963713328
391,46,46.0,46,46,46.0,1.0,1.0,0.9499256908893584
392,179,179.0,179.0,179,179,1.0,1.0,0.9537934164206188
393,195,195,235,235,235,0.25,0.75,0.939517339070638
394,9,9,9,9,9,1.0,1.0,0.89372385541598
395,5,11,10,10,5,0.25,0.5,0.9248995184898376
396,11,11,13,11,11,0.75,0.75,0.8543012936909994
397,22,1,1,1,5.0,0.0,0.75,0.867099275191625
399,48,48,48,48,48,1.0,1.0,0.82243812084198
400,9,9,9,21.33,9,0.75,0.75,0.8598242501417795
401,504,504.00,189.00,504.00,207.90,0.5,0.5,0.8998342752456665
402,5,5,5,5,5,1.0,1.0,0.8969323436419169
404,300,300,300,300,300,1.0,1.0,0.9592464764912924
405,5500,750,5500.0,5500,5500.0,0.75,0.75,0.881174236536026
406,202,202,202,202,202.00,1.0,1.0,0.937166174252828
407,720,720,720,720,720,1.0,1.0,0.9452776610851288
408,1450,1450,1450,1450,1450,1.0,1.0,0.8449497322241465
409,5,5,9,5,5,0.75,0.75,0.8979308406511942
410,100,100,100,100,100,1.0,1.0,0.93637349208196
411,75,75,75,75,75,1.0,1.0,0.9357179204622904
412,3,3,3,3,3,1.0,1.0,0.9353905816872916
413,9,9,9,9,9,1.0,1.0,0.9267930587132772
414,12,20,12,12,12,0.75,0.75,0.8838254809379578
415,45,45,45,45,45,1.0,1.0,0.927739401658376
417,4625,6300.00,3625,3625,3625,0.0,0.75,0.855982760588328
418,2900,2900.0,2900,2900.00,2900,1.0,1.0,0.8998765846093496
419,20,20,20,20,20,1.0,1.0,0.8921073873837789
421,134,134,134,134,134,1.0,1.0,0.9549871583779652
422,7,7,7,7,7,1.0,1.0,0.8816311955451965
423,25,25,25,25,25,1.0,1.0,0.8886042435963949
426,5122,5122.00,5122.00,5122.00,5122,1.0,1.0,0.9043910106023152
427,91,91,91,91,91,1.0,1.0,0.910036693016688
428,30,30,3,270,30,0.5,0.5,0.88518026471138
429,96,96,96,96,96,1.0,1.0,0.9504213829835256
430,370,370,370,370,240,0.75,0.75,0.8723948697249094
432,1,1,1,1,1,1.0,1.0,0.9845125277837118
433,60,12,102,10,12,0.0,0.5,0.8532979091008505
435,48,36,12,48,48,0.5,0.5,0.916364312171936
436,75,75,75,75,11,0.75,0.75,0.8729369938373566
437,8,8.00,8.00,8.00,8.00,1.0,1.0,0.92547673980395
438,50,50,50,50,50,1.0,1.0,0.8504842321077982
440,30,30,30,30,30,1.0,1.0,0.8491765260696411
441,15600,15600,15600,3600.00,19500,0.5,0.5,0.884516845146815
443,65,65,65,65,65,1.0,1.0,0.9390876491864524
444,1600,1600,1600,1600,1600,1.0,1.0,0.8696125547091166
446,50,50,50,50,50,1.0,1.0,0.8625637193520864
447,16,16,16,16,16,1.0,1.0,0.8630954722563425
448,70,70,65,70,70,0.75,0.75,0.874672919511795
449,210,210,210,210,210,1.0,1.0,0.843824565410614
450,30,28,30,30,28,0.5,0.5,0.9181585510571798
451,768,768,768,768,768,1.0,1.0,0.9522792299588522
452,420,420,420,420,420,1.0,1.0,0.9721303284168245
453,40,40,40,40.0,40,1.0,1.0,0.896420399347941
455,50,50,50,43,50,0.75,0.75,0.9006433486938477
456,18,18,18,18,18,1.0,1.0,0.8640409111976624
457,200,200.00,200.00,5,200.00,0.75,0.75,0.91139621535937
458,1680000,4800,1680000,840000000.00,2640000,0.25,0.0,0.8344351748625437
459,18,18,18.0,18.0,18,1.0,1.0,0.9366159737110138
461,60,60,60,60.0,60,1.0,1.0,0.9171662131945292
463,6,6,6,6,5,0.75,0.75,0.888318141301473
464,20,20,30,20,20,0.75,0.75,0.8977871735890707
465,18,18,18,10.00,18.0,0.75,0.75,0.915691981712977
466,81,96,81,81,81,0.75,0.75,0.8609121044476827
467,10,10,10,10,10,1.0,1.0,0.9255230824152628
469,6,6,6,6,6,1.0,1.0,0.8698159754276276
470,50,16.67,33.33,50,40,0.25,0.0,0.8437824050585429
472,673,673,673,666.0,673,0.75,0.75,0.8317257364590963
473,32,32,32,32,32,1.0,1.0,0.9319425026575724
474,100,100.00,100.00,100.00,100.00,1.0,1.0,0.9018588364124298
475,2250,2250,2250,2250,1750,0.75,0.75,0.9349623421827952
476,225,225,225,225,225,1.0,1.0,0.9238207638263702
477,840,840,1080,840,840.0,0.75,0.75,0.8951662083466848
478,110,110,92,1420,230,0.25,0.0,0.8380157152811686
479,324,324.00,108,324.00,216,0.5,0.5,0.9406123161315918
480,113,113,113,113,113,1.0,1.0,0.8337173064549764
481,20,20,20,20,20,1.0,1.0,0.9291547338167826
482,274,274,274,270,282,0.5,0.5,0.9133493602275848
483,24,24,90,20,5,0.25,0.0,0.8821011284987131
484,39,1,45,36,1,0.0,0.5,0.8566811084747314
485,44,44,44,44,44,1.0,1.0,0.8756077686945597
486,120,120.0,120.0,120,60,0.75,0.75,0.8845580220222473
490,3,3,3,3,3,1.0,1.0,0.9040144085884094
491,11,11,11,11,11,1.0,1.0,0.954761803150177
493,200,200.0,200.00,50.00,200.0,0.75,0.75,0.8575312693913778
494,7,7,7,7,13/4,0.75,0.75,0.8850200970967611
495,9,11,12,9,8,0.25,0.0,0.84140611688296
496,20,20,20,20,20,1.0,1.0,0.904814104239146
497,6,6,6,6,6,1.0,1.0,0.9486942986647288
498,1,1,1,1,1,1.0,1.0,0.9057780504226683
500,9,9,9,9,9,1.0,1.0,0.7955447832743326
