id,correct_answer,cot_original_extracted,cot_lexical_extracted,cot_syntactic_extracted,cot_contextual_extracted,average_accuracy
213,40,40,40,40,40,1.0
214,50,50,50,50,,0.75
215,20,20,20,20,20,1.0
216,58,58,58,58,58,1.0
217,30,30,30,30,30,1.0
218,320,320,320,320,320,1.0
219,8,8,8,8,13,0.75
220,24,24,24,24,24,1.0
221,12,12,12,12,12,1.0
222,5,5,5,5,5,1.0
223,2,2,2,2,2,1.0
224,5,5,5,5,5,1.0
225,624,624,312,312,312,0.25
226,136,136,136,136,136,1.0
227,50,50,50,50,50,1.0
228,112,112,112,112,112,1.0
229,27,27,27,27,27,1.0
230,220,220,220,220,220,1.0
231,10,10,10,10,10,1.0
232,56,56,56,56,56,1.0
233,180,175,180,180,180,0.75
234,12,12,12,12,12,1.0
235,10,10,10,1,10,0.75
236,8,8,8,8,8,1.0
237,6,12,12,12,12,0.0
238,20,20,20,20,20,1.0
239,110,110,110,110,110,1.0
240,4500,4500,4500,4500,4500,1.0
241,10,10,10,10,10,1.0
242,266,266,266,266,266,1.0
243,104,104,104,104,104,1.0
244,9,9,9,9,9,1.0
245,1280,1280,1280,1280,1280,1.0
246,5,5,5,5,5,1.0
247,16,16,16,16,16,1.0
248,57,57,57,57,57,1.0
249,84,84,84,84,84,1.0
250,7,7,7,7,7,1.0
251,295,295,295,295,295,1.0
252,21,21,21,21,21,1.0
253,32,32,32,32,32,1.0
254,42000,42000,42000,42000,42000,1.0
255,3,3,3,3,3,1.0
256,4,4,4,4,4,1.0
257,43,43,43,42.86,42.86,0.5
258,468,468,468,468,468,1.0
259,11,11,11,356,11,0.75
260,53,53,53,53,53,1.0
261,12,12,12,12,12,1.0
262,8900,8900,8900,8900,8900,1.0
263,93,93,93,93,,0.75
264,83,83,83,83,83,1.0
265,88,88,88,88,88,1.0
266,800,800,800,800,800,1.0
267,16,16,16,16,16,1.0
268,55,55,55,55,55,1.0
269,240,240,240,240,240,1.0
270,5,5,5,5,5,1.0
271,30,10,10,10,10,0.0
272,5,5,5,5,5,1.0
273,3,3,3,3,6,0.75
274,200,200,200,200,200,1.0
275,72000,72000,72000,72000,72000,1.0
276,90,90,90,90,90,1.0
277,4,4,4,4,4,1.0
278,234,234,234,234,234,1.0
279,4,4,4,4,4,1.0
280,75,75,75,75,75,1.0
281,11,11,11,11,11,1.0
282,70,70,70,70,70,1.0
283,700,700,700,700,700,1.0
284,70,70,70,,70,0.75
285,48,48,48,48,48,1.0
286,320,320,320,320,320,1.0
287,20,20,20,20,,0.75
288,42,,42,,,0.25
289,3000,3000,3000,3000,3000,1.0
290,100,100,100,100,100,1.0
291,1,1,1,1,1,1.0
292,16000,16000,16000,16000,16000,1.0
293,170,170,170,170,170,1.0
294,79,79,79,79,79,1.0
295,35,35,35,35,35,1.0
296,33,33,33,33,33,1.0
297,100,100,100,100,,0.75
298,35,35,35,35,35,1.0
299,12,12,12,12,12,1.0
300,36,36,36,36,36,1.0
301,250,250,250,250,250,1.0
302,28,28,28,28,28,1.0
303,5,4,5,,4,0.25
304,3285,3285,3285,3285,3285,1.0
305,3600,3600,3600,3600,3600,1.0
306,300,300,300,300,,0.75
307,28,28,28,28,28,1.0
308,25,25,25,25,25,1.0
309,55,55,579,135,,0.25
310,2000,2000,2000,2000,2000,1.0
311,19,19,19,16,16,0.5
312,640,640,640,640,640,1.0
313,200,200,200,200,200,1.0
314,7200,7200,7200,7200,7200,1.0
315,4,400,400,400,4,0.25
316,220,220,220,220,220,1.0
317,90,90,90,90,90,1.0
318,200,200,200,200,200,1.0
319,25,25,,25,,0.5
320,4,4,4,4,,0.75
321,60,60,60,60,60,1.0
322,1124,1124,1124,1124,1124,1.0
323,23,23,23,23,23,1.0
324,95,95,95,95,95,1.0
325,19,19,19,19,19,1.0
326,27,27,27,27,27,1.0
327,13,13,13,13,13,1.0
328,4,4,4,4,,0.75
329,8,8,8,8,8,1.0
330,165,165,165,165,165,1.0
331,600,600,600,600,600,1.0
332,61,61,61,61,61,1.0
333,72,72,72,72,72,1.0
334,28,,28,28,28,0.75
335,15,15,15,15,15,1.0
336,36,36,36,36,36,1.0
337,3,3,3,3,3,1.0
338,2,2,2,2,2,1.0
339,10,10,10,10,10,1.0
340,1100,1100,1100,1100,1100,1.0
341,300,300,300,300,300,1.0
342,15,15,15,15,15,1.0
343,10,10,10,10,10,1.0
344,33,33,33,33,33,1.0
345,300,300,,,300,0.5
346,1000,1000,1000,1000,1000,1.0
347,18,18,15,18,36,0.5
348,820,820,820,820,680,0.75
349,1008,1008,1008,1008,1008,1.0
350,40,39,39,39,39,0.0
351,144,144,144,144,144,1.0
352,720,720,720,720,720,1.0
353,2600,2600,2600,2600,2600,1.0
354,21,21,21,21,21,1.0
355,750,750,750,750,750,1.0
356,15,15,15,15,15,1.0
357,560,840,840,840,840,0.0
358,4,4,4,4,4,1.0
359,720,720,720,720,720,1.0
360,5,5,5,5,5,1.0
361,14,14,14,14,14,1.0
362,6,6,6,6,,0.75
363,4,4,4,4,4,1.0
364,250,250,250,250,200,0.75
365,85,85,85,85,85,1.0
366,7,7,7,7,7,1.0
367,57,47,47,57,25,0.25
368,10,10,10,10,10,1.0
369,23,23,23,23,43,0.75
370,7,7,7,7,7,1.0
371,900,3600,3600,3600,3600,0.0
372,259200,259200,259200,259200,259200,1.0
373,50,50,50,50,50,1.0
374,30,30,30,240,30,0.75
375,43,43,43,43,43,1.0
376,52,52,52,26,26,0.5
377,50,50,50,50,50,1.0
378,13,13,13,13,13,1.0
379,580,580,580,580,580,1.0
380,44,44,44,44,44,1.0
381,50,50,50,50,50,1.0
382,41,41,41,41,41,1.0
383,60,60,60,60,60,1.0
384,6000,6000,6000,6000,6000,1.0
385,650,650,650,650,650,1.0
386,41,41,41,41,41,1.0
387,7,7,7,7,7,1.0
388,15,15,15,15,15,1.0
389,288,288,288,288,288,1.0
390,5,5,5,5,5,1.0
391,46,46,46,46,46,1.0
392,179,179,179,179,179,1.0
393,195,195,195,195,195,1.0
394,9,9,9,9,9,1.0
395,5,5,5,5,5,1.0
396,11,11,11,11,11,1.0
397,22,22,22,22,22,1.0
398,2934,2934,2934,2934,2934,1.0
399,48,48,48,48,48,1.0
400,9,9,9,9,9,1.0
401,504,504,504,504,504,1.0
402,5,5,5,5,5,1.0
403,24,24,24,24,24,1.0
404,300,300,300,300,300,1.0
405,5500,5500,5500,5500,5500,1.0
406,202,202,202,202,202,1.0
407,720,720,720,720,720,1.0
408,1450,1450,1450,1450,1450,1.0
409,5,9,5,5,5,0.75
410,100,100,100,100,100,1.0
411,75,75,75,75,75,1.0
412,3,3,3,3,3,1.0
413,9,9,9,9,9,1.0
414,12,12,12,12,12,1.0
415,45,45,45,45,45,1.0
416,134400,134400,134400,134400,134400,1.0
417,4625,4625,4625,4625,4625,1.0
418,2900,2900,2900,2900,2900,1.0
419,20,20,20,20,20,1.0
420,36,36,36,36,36,1.0
421,134,134,134,134,134,1.0
422,7,7,7,7,7,1.0
423,25,25,25,25,25,1.0
424,310,310,310,310,310,1.0
425,70,70,70,70,70,1.0
426,5122,5122,5122,5122,5122,1.0
427,91,91,91,91,91,1.0
428,30,30,30,30,30,1.0
429,96,96,96,96,96,1.0
430,370,370,370,370,370,1.0
431,114,114,114,114,114,1.0
432,1,1,1,1,1,1.0
433,60,60,60,60,60,1.0
434,240,240,240,240,240,1.0
435,48,48,48,48,48,1.0
436,75,75,75,75,75,1.0
437,8,8,8,8,8,1.0
438,50,50,50,50,50,1.0
439,40,40,40,40,40,1.0
440,30,30,30,30,30,1.0
441,15600,15600,15600,15600,15600,1.0
442,140,140,140,140,140,1.0
443,65,65,65,65,65,1.0
444,1600,1600,1600,1600,1600,1.0
445,6,6,6,6,6,1.0
446,50,50,50,50,50,1.0
447,16,16,16,16,16,1.0
448,70,70,70,70,70,1.0
449,210,210,210,210,210,1.0
450,30,30,30,30,30,1.0
451,768,768,768,768,768,1.0
452,420,420,420,420,420,1.0
453,40,40,40,40,40,1.0
454,5,5,25,5,5,0.75
455,50,50,50,50,50,1.0
456,18,18,18,18,18,1.0
457,200,200,200,200,200,1.0
458,1680000,1680000,1680000,1680000,1680000,1.0
459,18,18,18,18,18,1.0
460,14,11,11,11,11,0.0
461,60,60,60,60,60,1.0
462,14,14,14,14,34,0.75
463,6,6,6,6,6,1.0
464,20,20,20,20,20,1.0
465,18,18,18,18,18,1.0
466,81,81,81,81,81,1.0
467,10,10,10,10,10,1.0
468,484,484,484,,484,0.75
469,6,6,6,6,6,1.0
470,50,50,50,50,50,1.0
471,360,360,,,360,0.5
472,673,673,673,673,673,1.0
473,32,32,32,32,32,1.0
474,100,100,100,100,100,1.0
475,2250,2250,,2250,1750,0.5
476,225,225,225,225,225,1.0
477,840,840,840,840,840,1.0
478,110,110,110,110,110,1.0
479,324,324,324,324,324,1.0
480,113,113,113,113,113,1.0
481,20,20,20,20,20,1.0
482,274,274,274,274,274,1.0
483,24,24,24,24,24,1.0
484,39,39,39,38,39,0.75
485,44,44,44,44,44,1.0
486,120,120,120,120,120,1.0
487,100,,,100,,0.25
488,10,10,30,,,0.25
489,1,50,50,50,50,0.0
490,3,3,3,3,3,1.0
491,11,11,11,11,11,1.0
492,96,96,96,96,96,1.0
493,200,200,200,200,200,1.0
494,7,7,7,7,7,1.0
495,9,9,9,9,9,1.0
496,20,20,20,20,20,1.0
497,6,6,6,6,6,1.0
498,1,1,1,1,1,1.0
499,5500,5500,5000,5000,5000,0.25
500,9,9,9,9,9,1.0
