id,plaus_original,plaus_lexical,plaus_syntactic,plaus_contextual
284,1,1,1,5
288,5,5,5,5
290,2,5,5,2
292,5,5,5,5
293,5,5,5,5
294,5,5,5,5
295,5,5,5,5
296,2,5,5,5
297,2,5,5,2
298,5,1,5,5
299,5,5,5,5
300,2,5,5,5
301,1,1,5,5
302,2,5,5,1
304,1,5,3,5
305,5,5,5,5
306,2,5,2,1
307,5,5,5,5
308,4,5,5,1
310,5,5,5,1
312,5,1,5,4
313,4,1,1,3
316,5,5,5,5
318,5,5,5,5
319,5,2,5,5
320,2,5,5,4
321,2,5,5,5
322,5,5,5,5
324,3,5,5,5
325,5,5,5,5
327,5,5,5,5
328,5,5,1,5
329,5,5,5,5
330,5,5,5,5
331,5,5,1,5
333,5,5,5,5
334,5,5,5,5
335,5,5,5,5
337,5,5,5,5
338,1,2,2,2
341,5,5,5,5
343,1,5,5,2
344,5,5,5,1
345,5,5,5,1
346,5,5,5,5
349,1,5,5,5
351,5,5,5,5
353,5,5,5,5
354,5,5,1,5
356,5,5,5,5
358,5,5,5,5
359,5,5,5,1
360,5,1,5,5
361,5,5,5,5
363,1,5,5,4
364,5,5,5,5
365,5,1,5,5
366,5,5,5,1
368,5,5,5,1
370,5,5,5,5
373,5,5,5,5
375,3,5,5,5
377,5,5,5,5
379,1,5,5,1
381,5,5,1,2
382,5,5,5,5
383,5,5,2,2
386,5,1,5,5
387,5,5,5,5
388,5,5,5,5
389,5,3,5,1
390,1,2,1,2
391,5,5,5,5
392,5,5,5,5
393,5,3,3,3
394,5,5,5,5
395,1,2,1,5
396,5,2,5,5
397,2,3,1,1
399,5,5,5,5
400,5,5,1,5
401,5,1,5,1
402,5,5,5,5
404,5,5,5,5
405,5,5,5,5
406,5,5,5,5
407,5,5,5,5
408,5,5,5,5
409,5,2,5,5
410,5,5,5,5
411,5,5,5,5
412,5,5,5,5
413,5,5,5,5
414,2,5,5,5
415,5,5,5,5
417,1,3,3,3
418,5,5,5,5
419,5,5,5,5
421,5,5,5,5
422,5,5,5,5
423,5,5,5,5
426,5,5,5,5
427,5,5,5,5
428,5,1,2,5
429,5,5,5,5
430,5,5,5,2
432,5,5,5,5
433,2,1,5,1
435,4,2,5,5
436,5,4,5,1
437,5,5,4,5
438,4,5,5,5
440,5,5,5,5
441,5,5,1,2
443,5,5,5,5
444,5,5,5,5
446,5,5,5,4
447,5,5,5,5
448,5,3,1,5
449,5,5,5,5
450,3,5,5,2
451,5,5,5,5
452,5,5,5,5
453,5,5,5,5
455,5,5,1,5
456,5,5,5,5
457,5,5,1,5
458,1,5,1,1
459,5,5,5,5
461,5,5,5,5
463,5,5,5,1
464,5,2,5,5
465,5,5,5,5
466,2,5,5,5
467,5,5,5,5
469,5,1,5,5
470,1,2,5,2
472,5,5,2,5
473,5,5,5,5
474,5,5,4,5
475,5,5,5,5
476,5,5,5,5
477,5,2,5,5
478,5,2,1,2
479,5,1,4,1
480,5,5,5,5
481,5,5,5,5
482,5,5,3,1
483,5,1,2,2
484,1,1,1,1
485,5,5,5,5
486,5,5,5,2
490,5,5,5,5
491,5,5,5,5
493,5,5,5,5
494,5,5,5,1
495,2,2,5,1
496,5,5,5,5
497,5,5,5,5
498,5,5,5,5
500,5,5,5,5
