id,plaus_original,plaus_lexical,plaus_syntactic,plaus_contextual,pmean
191,5,5,5,5,5.0
192,5,5,5,5,5.0
193,5,5,5,5,5.0
194,5,5,5,5,5.0
195,5,5,5,5,5.0
197,5,5,5,5,5.0
198,5,5,5,5,5.0
199,5,5,5,5,5.0
200,5,2,2,5,3.5
201,5,5,5,5,5.0
202,2,1,5,5,3.25
203,5,5,5,5,5.0
205,5,5,5,5,5.0
206,5,5,5,5,5.0
208,5,5,5,5,5.0
210,5,5,5,5,5.0
211,5,5,5,5,5.0
213,5,5,5,5,5.0
216,5,5,5,5,5.0
217,5,5,1,5,4.0
218,5,4,5,5,4.75
220,5,5,5,5,5.0
222,5,5,5,5,5.0
223,2,1,2,1,1.5
226,5,5,5,5,5.0
227,1,1,1,2,1.25
228,5,5,1,1,3.0
231,5,5,5,5,5.0
232,5,5,5,5,5.0
233,5,5,5,5,5.0
234,5,5,5,5,5.0
235,1,1,1,1,1.0
236,5,5,5,5,5.0
239,2,5,2,2,2.75
240,5,5,5,5,5.0
241,5,5,5,5,5.0
242,5,5,5,5,5.0
243,5,5,5,5,5.0
244,5,5,5,5,5.0
245,5,5,5,5,5.0
246,5,5,5,5,5.0
247,5,5,1,5,4.0
248,1,4,5,1,2.75
249,5,5,5,1,4.0
250,5,5,5,5,5.0
251,5,3,5,5,4.5
252,5,5,1,2,3.25
253,5,5,5,5,5.0
254,1,5,1,5,3.0
255,5,5,5,5,5.0
256,5,5,5,4,4.75
258,5,5,5,5,5.0
259,2,2,2,2,2.0
260,5,5,5,2,4.25
261,2,2,5,5,3.5
262,2,3,3,3,2.75
264,5,5,5,5,5.0
266,5,5,5,5,5.0
267,5,5,2,5,4.25
268,5,5,5,5,5.0
269,2,5,5,4,4.0
270,5,5,5,5,5.0
272,5,5,5,5,5.0
273,1,5,1,1,2.0
274,5,1,5,1,3.0
275,5,2,5,1,3.25
276,5,5,5,5,5.0
278,5,2,5,5,4.25
279,5,5,5,5,5.0
280,5,2,5,2,3.5
281,5,1,5,5,4.0
283,3,1,5,5,3.5
284,1,1,1,5,2.0
288,5,5,5,5,5.0
290,2,5,5,2,3.5
292,5,5,5,5,5.0
293,5,5,5,5,5.0
294,5,5,5,5,5.0
295,5,5,5,5,5.0
296,2,5,5,5,4.25
297,2,5,5,2,3.5
298,5,1,5,5,4.0
299,5,5,5,5,5.0
300,2,5,5,5,4.25
301,1,1,5,5,3.0
302,2,5,5,1,3.25
304,1,5,3,5,3.5
305,5,5,5,5,5.0
306,2,5,2,1,2.5
307,5,5,5,5,5.0
308,4,5,5,1,3.75
310,5,5,5,1,4.0
312,5,1,5,4,3.75
313,4,1,1,3,2.25
316,5,5,5,5,5.0
318,5,5,5,5,5.0
319,5,2,5,5,4.25
320,2,5,5,4,4.0
321,2,5,5,5,4.25
322,5,5,5,5,5.0
324,3,5,5,5,4.5
325,5,5,5,5,5.0
327,5,5,5,5,5.0
328,5,5,1,5,4.0
329,5,5,5,5,5.0
330,5,5,5,5,5.0
331,5,5,1,5,4.0
333,5,5,5,5,5.0
334,5,5,5,5,5.0
335,5,5,5,5,5.0
337,5,5,5,5,5.0
338,1,2,2,2,1.75
341,5,5,5,5,5.0
343,1,5,5,2,3.25
344,5,5,5,1,4.0
345,5,5,5,1,4.0
346,5,5,5,5,5.0
349,1,5,5,5,4.0
351,5,5,5,5,5.0
353,5,5,5,5,5.0
354,5,5,1,5,4.0
356,5,5,5,5,5.0
358,5,5,5,5,5.0
359,5,5,5,1,4.0
360,5,1,5,5,4.0
361,5,5,5,5,5.0
363,1,5,5,4,3.75
364,5,5,5,5,5.0
365,5,1,5,5,4.0
366,5,5,5,1,4.0
368,5,5,5,1,4.0
370,5,5,5,5,5.0
373,5,5,5,5,5.0
375,3,5,5,5,4.5
377,5,5,5,5,5.0
379,1,5,5,1,3.0
381,5,5,1,2,3.25
382,5,5,5,5,5.0
383,5,5,2,2,3.5
386,5,1,5,5,4.0
387,5,5,5,5,5.0
388,5,5,5,5,5.0
389,5,3,5,1,3.5
390,1,2,1,2,1.5
391,5,5,5,5,5.0
392,5,5,5,5,5.0
393,5,3,3,3,3.5
394,5,5,5,5,5.0
395,1,2,1,5,2.25
396,5,2,5,5,4.25
397,2,3,1,1,1.75
399,5,5,5,5,5.0
400,5,5,1,5,4.0
401,5,1,5,1,3.0
402,5,5,5,5,5.0
404,5,5,5,5,5.0
405,5,5,5,5,5.0
406,5,5,5,5,5.0
407,5,5,5,5,5.0
408,5,5,5,5,5.0
409,5,2,5,5,4.25
410,5,5,5,5,5.0
411,5,5,5,5,5.0
412,5,5,5,5,5.0
413,5,5,5,5,5.0
414,2,5,5,5,4.25
415,5,5,5,5,5.0
417,1,3,3,3,2.5
418,5,5,5,5,5.0
419,5,5,5,5,5.0
421,5,5,5,5,5.0
422,5,5,5,5,5.0
423,5,5,5,5,5.0
426,5,5,5,5,5.0
427,5,5,5,5,5.0
428,5,1,2,5,3.25
429,5,5,5,5,5.0
430,5,5,5,2,4.25
432,5,5,5,5,5.0
433,2,1,5,1,2.25
435,4,2,5,5,4.0
436,5,4,5,1,3.75
437,5,5,4,5,4.75
438,4,5,5,5,4.75
440,5,5,5,5,5.0
441,5,5,1,2,3.25
443,5,5,5,5,5.0
444,5,5,5,5,5.0
446,5,5,5,4,4.75
447,5,5,5,5,5.0
448,5,3,1,5,3.5
449,5,5,5,5,5.0
450,3,5,5,2,3.75
451,5,5,5,5,5.0
452,5,5,5,5,5.0
453,5,5,5,5,5.0
455,5,5,1,5,4.0
456,5,5,5,5,5.0
457,5,5,1,5,4.0
458,1,5,1,1,2.0
459,5,5,5,5,5.0
461,5,5,5,5,5.0
463,5,5,5,1,4.0
464,5,2,5,5,4.25
465,5,5,5,5,5.0
466,2,5,5,5,4.25
467,5,5,5,5,5.0
469,5,1,5,5,4.0
470,1,2,5,2,2.5
472,5,5,2,5,4.25
473,5,5,5,5,5.0
474,5,5,4,5,4.75
475,5,5,5,5,5.0
476,5,5,5,5,5.0
477,5,2,5,5,4.25
478,5,2,1,2,2.5
479,5,1,4,1,2.75
480,5,5,5,5,5.0
481,5,5,5,5,5.0
482,5,5,3,1,3.5
483,5,1,2,2,2.5
484,1,1,1,1,1.0
485,5,5,5,5,5.0
486,5,5,5,2,4.25
490,5,5,5,5,5.0
491,5,5,5,5,5.0
493,5,5,5,5,5.0
494,5,5,5,1,4.0
495,2,2,5,1,2.5
496,5,5,5,5,5.0
497,5,5,5,5,5.0
498,5,5,5,5,5.0
500,5,5,5,5,5.0
