id,correct_answer,cot_original_extracted,cot_lexical_extracted,cot_syntactic_extracted,cot_contextual_extracted,average_accuracy
137,8,8,13.33,8,8,0.75
84,200,200,200,200,200,1.0
406,202,202,202,202,202.00,1.0
244,9,9,9,9,9,1.0
459,18,18,18.0,18.0,18,1.0
255,3,3,3,3,3,1.0
410,100,100,100,100,100,1.0
175,80,80.0,80.0,80,80,1.0
295,35,35,35,35,35,1.0
5,14,14,14,14.0,14.0,1.0
411,75,75,75,75,75,1.0
412,3,3,3,3,3,1.0
243,104,104,104,104,104,1.0
475,2250,2250,2250,2250,1750,0.75
144,60,60,60,60,60,1.0
366,7,7,7,3.5,70,0.5
38,300,300.00,300,300.00,300.00,1.0
12,9,9,9,9,9,1.0
370,7,7,7,7,7,1.0
361,14,14,14,14,14,1.0
270,5,5,5,5,5,1.0
473,32,32,32,32,32,1.0
99,404,404,404,404,404,1.0
68,72,72,72,72,72,1.0
273,3,3,3,4,4,0.5
266,800,800,800,800,800,1.0
54,23,23,23,23,23,1.0
217,30,30,30,50.0,30.0,0.75
324,95,74.00,95,95,95.0,0.75
157,770,770,770,770.00,770.0,1.0
57,15,15,15,15,15,1.0
31,5950,900,4950,1950.00,4950,0.0
481,20,20,20,20,20,1.0
276,90,90,90,90,90,1.0
329,8,8,8,8,8,1.0
42,26,26,26,22,24,0.5
45,407,367,407,407,407,0.75
415,45,45,45,45,45,1.0
241,10,10,10,10.0,10.0,1.0
349,1008,504,1008,1008,1008,0.75
124,11,11,11,11.0,11,1.0
211,1979,1979,1979,1979,1979,1.0
97,700,700,700,700,700,1.0
413,9,9,9,9,9,1.0
316,220,220,220,220,220,1.0
35,216,216,126,216,216,0.75
467,10,10,10,10,10,1.0
437,8,8.00,8.00,8.00,8.00,1.0
379,580,-580.00,580.0,580,180,0.5
201,350,350,350,350,350,1.0
395,5,11,10,10,5,0.25
330,165,165.0,165.00,165.0,165.0,1.0
41,20,20,20,20,20,1.0
167,6,6,6,6,6,1.0
199,600,600,600,600,600,1.0
203,270,270,270,270,270,1.0
226,136,136,136,136,136,1.0
476,225,225,225,225,225,1.0
223,2,2.50,1.89,3,1.89,0.0
359,720,720,720,720.0,720.0,1.0
16,260,260,260,260.00,290,0.75
310,2000,2000,2000,2000,1990,0.75
346,1000,1000,1000,1000,1000,1.0
56,322,322,322,322,322,1.0
122,1685,1685,1685,1685,1685,1.0
356,15,15,15,15,15,1.0
94,180,180.0,180,180,180,1.0
73,15,15,15,15,11,0.75
132,2412,14472,2412,2412.00,1152.00,0.5
20,5,5,5,5,5,1.0
17,4,4,4,4,4,1.0
78,100,100,100,100.0,100.0,1.0
450,30,28,30,30,28,0.5
275,72000,72000,12000,72000,12000,0.5
313,200,200,50,90,100,0.25
290,100,500,500,100,625,0.25
188,2,2,2,2,2,1.0
301,250,125,125,250,250,0.5
461,60,60,60,60.0,60,1.0
318,200,200,200,200,200,1.0
435,48,36,12,48,48,0.5
264,83,83,83,83,83,1.0
465,18,18,18,10.00,18.0,0.75
79,25,25,23,25,25,0.75
232,56,56,56,56,56,1.0
227,50,15,150,37.5,150,0.0
140,31250,31250.00,6250.00,6250.00,31250,0.5
158,40,40,40,25,40,0.75
206,12,12,12,12,12,1.0
216,58,58,58,58,58,1.0
308,25,25,25,25,25,1.0
482,274,274,274,270,282,0.5
70,17,17,17,17.0,17.0,1.0
210,130,130,130,130,130,1.0
26,700,700,700,700,700,1.0
22,4,4,4,4,4,1.0
72,3400,3400,3400,3400.00,3400.00,1.0
242,266,266,266,266,266,1.0
354,21,21,21,24.5,21,0.75
457,200,200.00,200.00,5,200.00,0.75
108,3,3,3,3,3,1.0
105,12,12,12,12,12,1.0
427,91,91,91,91,91,1.0
76,175,175,175,175,175,1.0
381,50,50,50,0,20,0.5
253,32,32,32,32,32,1.0
90,5,5,5,6,5,0.75
312,640,640.00,896.00,640.0,640.0,0.75
14,7,7,7,7,7,1.0
62,6000,6000,6000,1000.00,6000,0.75
250,7,7,7,7,7,1.0
193,6284,6284,6284,6284,6284,1.0
67,264,48,264,48,264,0.5
364,250,250,250,250,250,1.0
269,240,120,240,240,240,0.75
498,1,1,1,1,1,1.0
86,5,30,5,5,0,0.5
496,20,20,20,20,20,1.0
426,5122,5122.00,5122.00,5122.00,5122,1.0
4,245,245,245,245,245,1.0
