id,correct_answer,final_original,final_lexical,final_syntactic,final_contextual,accuracy
86,5,5,40,75,75,25.0
393,195,195,180,160,161,25.0
82,1085,885 3 50,1060,885,945,0.0
316,220,220,220,220,220,100.0
97,700,900,1300,700,1300,25.0
272,5,5,5,5,5,100.0
26,700,700,700,700,700,100.0
403,24,24 24,2 12  12 2 24,96,12  24,75.0
421,134,128,522,134,138,25.0
95,16,16,16,26,16,75.0
293,170,190,190,190,170,25.0
467,10,12,10,10,14,50.0
304,3285,3285,3285,3285,3285,100.0
223,2,1.94,20.27,1.94,2,25.0
20,5,5,20,5,5,75.0
99,404,18544,16674,404,804,25.0
153,132,132 3,132.4,132 3,132,75.0
324,95,95,60,39,65,25.0
295,35,35,35,35,35 42,100.0
74,67,67,67,67,67,100.0
397,22,110,10,101,11,0.0
152,14,14,14,14,14,100.0
122,1685,1685,1685,1269,2114,50.0
254,42000,151200,42000,8688000 8688000,42000,50.0
104,2,10,2,2,2,75.0
493,200,200,200,200,240,75.0
290,100,100 5,62500,100 5,0.05975,50.0
368,10,10,10,240,240,50.0
200,25,25,25,24.50,25 25,75.0
453,40,40,40,0,40,75.0
364,250,270,250,270,100,25.0
412,3,12,5,3 5,1,25.0
490,3,3 4,3,3 4,3 4,100.0
379,580,580,700 200  1100,1400,580,50.0
172,2000,15915,20111,15614,5,0.0
236,8,8,8,8 4000,8,100.0
402,5,15,5 59000,0.5,5 54000,50.0
9,25,25,46,25,25,75.0
273,3,3,2,3.375,4,25.0
185,60,60 3 400,60,60,60,100.0
382,41,41,41,41,41,100.0
70,17,14,17,17,17,75.0
228,112,268 2,28,28 2,98 2,0.0
396,11,11,11,11,11,100.0
195,5,4,5,4,5,50.0
406,202,192,197,190,104 125 229,0.0
217,30,30,30,50,50,50.0
300,36,36,18,36,36,75.0
213,40,1000 5,40,40,40,75.0
136,6,8,8,9,7,0.0
16,260,260,312.00 312,260,260,75.0
268,55,55,20,55,55,75.0
1,12,12,9.5,12,12,75.0
90,5,9 9,4  5,8,9,25.0
276,90,90,90,90,90,100.0
451,768,768,260,778,778,25.0
124,11,11,11,11,11,100.0
10,584,486,486,536,550,0.0
184,240,240,240,240,240 240,100.0
