id,correct_answer,final_original,final_lexical,final_syntactic,final_contextual,accuracy
58,50,50,50,50,50,100.0
244,9,9,9,9,9,100.0
292,16000,16000,16000,16000,16000,100.0
144,60,60,60,60,60,100.0
34,3,3,3,3,3,100.0
483,24,24,24,24,24,100.0
429,96,96,96,96,96,100.0
46,3,3,3,3,3,100.0
236,8,8,8,8,8,100.0
323,23,23,23,23,23,100.0
26,700,700,700,700,700,100.0
377,50,50,50,50,50,100.0
99,404,404,404,404,404,100.0
283,700,700,700,700,700,100.0
31,5950,5950,5950,5950,5950,100.0
383,60,60,60,60,60,100.0
467,10,10,10,10,10,100.0
114,70,70,70,70,70,100.0
381,50,50,50,50,50,100.0
202,400,400,400,400,400,100.0
414,12,12,12,12,12,100.0
343,10,10,10,10,10,100.0
91,11,11,11,11,11,100.0
86,5,5,5,5,5,100.0
85,16,16,16,16,16,100.0
392,179,179,179,179,179,100.0
71,198,198,198,198,198,100.0
210,130,130,130,130,130,100.0
313,200,200,200,200,200,100.0
77,38000,38000,38000,38000,38000,100.0
74,67,67,67,67,67,100.0
479,324,324,324,324,324,100.0
8,30,30,30,30,30,100.0
64,20000,20000,20000,20000,20000,100.0
222,5,5.00,5,5,5,100.0
333,72,72,72,72,72,100.0
293,170,170,170,170,170,100.0
494,7,7,7,7,7,100.0
20,5,5,5,5,5,100.0
216,58,58,58,58,58,100.0
265,88,88,88,88,88,100.0
406,202,202,202,202,202,100.0
224,5,5,5,5,5,100.0
253,32,32,32,32,32,100.0
308,25,25,25,25,25,100.0
5,14,14,14,14,14,100.0
461,60,60,60,60,60,100.0
279,4,4,4,4,4,100.0
408,1450,1450,1450,1450,1450,100.0
459,18,18,18,18,18,100.0
45,407,407,407,407,407,100.0
386,41,41,41,41,41,100.0
191,1316,1316,1316,1316,1316,100.0
435,48,48,48,48,48,100.0
142,8,8,8,8,8,100.0
82,1085,1085,1085,1085,1085,100.0
421,134,134,134,134,134,100.0
226,136,136,136,136,136,100.0
434,240,240,240,240,240,100.0
491,11,11,11,11,11,100.0
52,8798,8798,8798,8798,8798,100.0
437,8,8.00,8.00,8.00,8.00,100.0
196,80,80,80,80,80,100.0
32,9,9,9,9,9,100.0
185,60,60,60,60,60,100.0
298,35,35,35,35,35,100.0
124,11,11,11,11,11,100.0
56,322,322,322,322,322,100.0
141,15,15,15,15,15,100.0
276,90,90,90,90,90,100.0
277,4,4,4,4,4,100.0
254,42000,42000,42000,42000,42000,100.0
349,1008,1008,1008,1008,1008,100.0
264,83,83,83,83,83,100.0
352,720,720,720,720,720,100.0
28,24,24,24,24,24,100.0
223,2,2,2,2,2,100.0
245,1280,1280,1280,1280,1280,100.0
182,6,6,6,6,6,100.0
431,114,114,114,114,114,100.0
372,259200,259200,259200,259200,259200,100.0
38,300,300.00,300,300,300,100.0
312,640,640,640,640,640,100.0
274,200,200,200,200,200,100.0
321,60,60,60,60,60,100.0
316,220,220,220,220,220,100.0
62,6000,6000,6000,6000,6000,100.0
233,180,175,180,180,180,75.0
102,2,2,2,2,2,100.0
463,6,6,6,6,6,100.0
443,65,65,65,65,65,100.0
68,72,72,72,72,72,100.0
139,1350,1350,1350,1350,1350,100.0
382,41,41,41,41,41,100.0
95,16,16,16,16,16,100.0
346,1000,1000,1000,1000,1000,100.0
294,79,79,79.00,79.00,79.00,100.0
282,70,70,70,70,70,100.0
495,9,9,9,9,9,100.0
280,75,75,75,75,75,100.0
147,3,3,3,3,3,100.0
332,61,61,61,61,61,100.0
481,20,20,20,20,20,100.0
11,9,9.00,9.00,9.00,9.00,100.0
238,20,20,20,20,20,100.0
378,13,13,13,13,13,100.0
304,3285,3285,3285,3285,3285,100.0
161,5,5.00,5.00,5,5.00,100.0
17,4,4,4,4,4,100.0
388,15,15,15,15,15,100.0
175,80,80,80,80,80,100.0
215,20,20,20,20,20,100.0
337,3,3,3,3,3,100.0
152,14,14,14,14,14,100.0
261,12,12,12,12,12,100.0
193,6284,6284,6284,6284,6284,100.0
419,20,20,20,20,20,100.0
410,100,100,100,100,100,100.0
204,24,24,24,24,24,100.0
3,160,160,160,160,160,100.0
199,600,600,600,600,600,100.0
384,6000,6000,6000,6000,6000,100.0
106,8,8,8,8,8,100.0
41,20,20,20,20,20,100.0
455,50,50,50,50,50,100.0
228,112,112,112,112,112,100.0
72,3400,3400,3400,3400,3400,100.0
290,100,100,100,100,100,100.0
94,180,180,180,180,180,100.0
474,100,100.00,100,100,100,100.0
169,9,9,9,9,9,100.0
164,15,15,15,15,15,100.0
171,6,6,6,6,6,100.0
379,580,580,580,580,580,100.0
78,100,100,100,100,100,100.0
326,27,27,27,27,27,100.0
