id,orig_correct_letter,orig_lp_neutral,orig_issue_neutral,orig_step_neutral,orig_lp_wrong,orig_issue_wrong,orig_step_wrong,lex_correct_letter,lex_lp_neutral,lex_issue_neutral,lex_step_neutral,lex_lp_wrong,lex_issue_wrong,lex_step_wrong,syn_correct_letter,syn_lp_neutral,syn_issue_neutral,syn_step_neutral,syn_lp_wrong,syn_issue_wrong,syn_step_wrong,ctx_correct_letter,ctx_lp_neutral,ctx_issue_neutral,ctx_step_neutral,ctx_lp_wrong,ctx_issue_wrong,ctx_step_wrong
12,B,-0.0002085747,OK,0,-0.00010525414,OK,0,B,-0.0025414359,OK,0,-6.8347826,OK,0,A,-0.6023602,OK,0,-0.15047044,OK,0,A,-0.0013846798,OK,0,-0.23489235,OK,0
13,D,-0.0005580906,OK,0,-0.010420338,OK,0,D,-0.0002326598,OK,0,-0.035327744,OK,0,A,-9.547812e-05,OK,0,-0.0528792,OK,0,A,-0.00030571313,OK,0,-0.029066466,OK,0
14,C,-0.0024692244,OK,0,-0.012488201,OK,0,D,-0.00152871,OK,0,-2.8928182,OK,0,B,-0.07801691,OK,0,-10.866741,OK,0,C,-0.001385394,OK,0,-0.29573858,OK,0
15,B,-0.010396636,OK,0,-0.8457931,OK,0,C,-0.6332743,OK,0,-7.003143,OK,0,C,-0.025203774,OK,0,-1.0833583,OK,0,D,-0.018068556,OK,0,-0.32146382,OK,0
16,D,-0.009873407,OK,0,-1.7904849,OK,0,D,-0.0016592677,OK,0,-1.5948825,OK,0,C,-0.002791417,OK,0,-4.1228504,OK,0,D,-0.023189496,OK,0,-0.6810929,OK,0
17,C,-0.0014771717,OK,0,-6.323281,OK,0,A,-0.00029487224,OK,0,-5.82069,OK,0,A,-0.000931187,OK,0,-10.042642,OK,0,C,-0.0011188125,OK,0,-0.0010969011,OK,0
18,D,-0.0002340908,OK,0,-0.011895134,OK,0,B,-0.00029308532,OK,0,-0.01359821,OK,0,D,-0.013476173,OK,0,-0.0052744993,OK,0,C,-0.002487546,OK,0,-0.098301224,OK,0
19,B,-0.00019510416,OK,0,-7.1611533,OK,0,C,-0.000119564815,OK,0,-0.8690283,OK,0,C,-0.00032537096,OK,0,-0.0025942498,OK,0,C,-0.0010515284,OK,0,-0.15915294,OK,0
20,A,-0.00034300477,OK,0,-0.09673058,OK,0,A,-0.00038375816,OK,0,-0.047962956,OK,0,D,-0.0005747659,OK,0,-0.4307404,OK,0,B,-0.0013064645,OK,0,-9.181057,OK,0
21,B,-0.73563486,OK,0,-0.615622,OK,0,A,-0.2751197,OK,0,-2.4882083,OK,0,D,-0.0002500843,OK,0,-0.033916883,OK,0,D,-0.00032846868,OK,0,-0.04020223,OK,0
22,C,-0.03939175,OK,0,-2.4258003,OK,0,B,-0.002813412,OK,0,-1.9075358,OK,0,C,-0.0029289578,OK,0,-1.9165052,OK,0,A,-0.0010248513,OK,0,-0.48694044,OK,0
23,B,-0.84016216,OK,0,-1.1842816,OK,0,B,-0.57667595,OK,0,-0.02071905,OK,0,B,-1.4550405,OK,0,-0.6345059,OK,0,A,-0.3196996,OK,0,-0.0026777408,OK,0
24,C,-0.01061314,OK,0,-0.18024951,OK,0,D,-0.29793048,OK,0,-0.053870212,OK,0,D,-0.0030832128,OK,0,-0.10318205,OK,0,D,-0.008478934,OK,0,-0.027912444,OK,0
25,C,-0.00013719188,OK,0,-3.2833562,OK,0,C,-0.00037112625,OK,0,-0.017677763,OK,0,C,-0.00025056073,OK,0,-0.026215397,OK,0,D,-0.0013631326,OK,0,-0.19202004,OK,0
26,A,-2.2964425,OK,0,-1.1727501,OK,0,B,-0.5149319,OK,0,-0.14313011,OK,0,A,-0.8330927,OK,0,-0.1164024,OK,0,B,-1.2365141,OK,0,-1.0982012,OK,0
27,C,-0.00038852508,OK,0,-0.02551715,OK,0,A,-6.699818e-05,OK,0,-0.0010951149,OK,0,A,-0.00013850223,OK,0,-5.4855814,OK,0,C,-0.00034991567,OK,0,-3.6260116,OK,0
28,A,-0.0001594706,OK,0,-0.3725865,OK,0,C,-0.0005649989,OK,0,-0.0065362686,OK,0,A,-0.0019305517,OK,0,-0.11006627,OK,0,C,-0.0002331368,OK,0,-1.3866508,OK,0
29,B,-0.0005796494,OK,0,-0.024522506,OK,0,A,-0.0009227281,OK,0,-0.21095413,OK,0,A,-0.0025974617,OK,0,-0.38259262,OK,0,D,-0.0070139775,OK,0,-2.9667888,OK,0
30,A,-0.059851907,OK,0,-6.5478816,OK,0,B,-0.0036047923,OK,0,-1.0260057,OK,0,B,-0.003271389,OK,0,-7.050265,OK,0,A,-0.009168482,OK,0,-0.12458397,OK,0
31,B,-0.044005096,OK,0,-0.00043047813,OK,0,D,-0.28952885,OK,0,-0.41359478,OK,0,D,-0.043622248,OK,0,-0.85968447,OK,0,D,-1.2397747,OK,0,-2.8508787,OK,0
32,C,-0.00038065968,OK,0,-1.2178508,OK,0,B,-0.00019128986,OK,0,-0.17566574,OK,0,A,-6.211454e-05,OK,0,-0.0041433284,OK,0,B,-0.0002650921,OK,0,-0.006404214,OK,0
33,D,-0.009206841,OK,0,-0.08970419,OK,0,A,-5.318264,OK,0,-1.4028699,OK,0,B,-0.0031028183,OK,0,-1.895142,OK,0,C,-0.0022376445,OK,0,-0.93956196,OK,0
34,B,-4.8872473e-05,OK,0,-0.9401885,OK,0,D,-0.0008971135,OK,0,-1.458931,OK,0,C,-0.00026640235,OK,0,-0.2207933,OK,0,A,-8.9637484e-05,OK,0,-0.04114646,OK,0
35,B,-0.00016650085,OK,0,-0.6179793,OK,0,C,-0.0007202065,OK,0,-0.007580501,OK,0,B,-0.00044788126,OK,0,-0.020836556,OK,0,C,-0.00041820135,OK,0,-1.8383104,OK,0
37,D,-0.5024761,OK,0,-3.0567434,OK,0,C,-0.002227646,OK,0,-0.047968842,OK,0,C,-0.01943432,OK,0,-3.387653,OK,0,A,-0.07665795,OK,0,-0.07951021,OK,0
38,A,-0.029680721,OK,0,-0.72960806,OK,0,B,-0.14753072,OK,0,-4.6736007,OK,0,B,-0.0012316946,OK,0,-0.42701077,OK,0,B,-0.00012480396,OK,0,-0.79167235,OK,0
39,B,-0.0022006242,OK,0,-0.23913115,OK,0,D,-0.00016352187,OK,0,-0.022697592,OK,0,D,-0.0001858071,OK,0,-0.14087775,OK,0,D,-9.0710186e-05,OK,0,-0.37895337,OK,0
40,C,-0.007234572,OK,0,-0.98392403,OK,0,C,-0.00072378013,OK,0,-0.06677279,OK,0,C,-0.00420365,OK,0,-5.5327353,OK,0,D,-0.001298964,OK,0,-2.0467815,OK,0
41,B,-0.0010234222,OK,0,-4.0608263,OK,0,B,-0.0044150986,OK,0,-0.20490907,OK,0,D,-2.2094886,OK,0,-0.043444626,OK,0,C,-0.50580674,OK,0,-0.021352027,OK,0
42,D,-0.09744682,OK,0,-1.0554328,OK,0,C,-1.2395763,OK,0,-1.2547225,OK,0,A,-4.8543544,OK,0,-0.031320613,OK,0,C,-1.9619632,OK,0,-0.4639085,OK,0
43,B,-0.72990096,OK,0,-0.06005009,OK,0,A,-5.910366,OK,0,-8.606099,OK,0,D,-0.0005153313,OK,0,-0.6055951,OK,0,B,-0.17682326,OK,0,-2.5737386,OK,0
44,A,-5.7458656e-05,OK,0,-0.025621468,OK,0,D,-0.0021413383,OK,0,-0.104681455,OK,0,B,-0.0006611232,OK,0,-0.048657205,OK,0,C,-0.0040782522,OK,0,-1.4816912,OK,0
45,D,-0.01853177,OK,0,-1.4449136,OK,0,B,-0.95323795,OK,0,-0.113128655,OK,0,D,-0.032326642,OK,0,-0.020702101,OK,0,B,-0.9602135,OK,0,-0.0027012865,OK,0
46,B,-0.012293643,OK,0,-2.485982,OK,0,B,-5.1139054,OK,0,-3.449316,OK,0,B,-0.032039072,OK,0,-3.6341858,OK,0,D,-0.009161401,OK,0,-6.700424,OK,0
48,A,-0.0032251833,OK,0,-3.2657492,OK,0,D,-0.006605426,OK,0,-0.46236557,OK,0,C,-0.0003926962,OK,0,-3.587574,OK,0,D,-0.009488773,OK,0,-0.15623724,OK,0
49,A,-0.26010123,OK,0,-4.9779797,OK,0,D,-0.009798139,OK,0,-0.23166253,OK,0,B,-0.0020148845,OK,0,-1.9044164,OK,0,A,-2.419399,OK,0,-1.245599,OK,0
50,A,-0.25244337,OK,0,-1.1593503,OK,0,A,-3.7915416,OK,0,-0.7919014,OK,0,D,-0.082971215,OK,0,-5.837647,OK,0,B,-0.35355103,OK,0,-1.5841827,OK,0
52,C,-5.1063085,OK,0,-1.5816755,OK,0,A,-3.046714,OK,0,-0.042877328,OK,0,A,-0.5924777,OK,0,-0.15499635,OK,0,B,-0.07033246,OK,0,-0.059073016,OK,0
53,C,-0.49969688,OK,0,-0.4627721,OK,0,B,-0.001225265,OK,0,-0.11124961,OK,0,A,-0.063206606,OK,0,-0.014002972,OK,0,D,-0.004854692,OK,0,-0.19460261,OK,0
54,C,-0.0006835174,OK,0,-0.076300934,OK,0,A,-0.00021405888,OK,0,-0.43864122,OK,0,C,-0.118873104,OK,0,-0.29195586,OK,0,A,-0.0352043,OK,0,-0.07273815,OK,0
55,A,-6.704319,OK,0,-7.8596973,OK,0,A,-0.0031489169,OK,0,-0.017709766,OK,0,C,-0.019986624,OK,0,-7.9784374,OK,0,D,-0.022797104,OK,0,-1.145812,OK,0
56,D,-0.0067618378,OK,0,-2.5725975,OK,0,C,-0.6695144,OK,0,-1.4297028,OK,0,B,-0.012227797,OK,0,-1.1091698,OK,0,C,-0.03822542,OK,0,-0.14658108,OK,0
57,A,-1.3920314,OK,0,-1.9657855,OK,0,D,-0.37346774,OK,0,-2.2101727,OK,0,B,-2.4200752,OK,0,-1.6231189,OK,0,C,-0.60324275,OK,0,-0.2395195,OK,0
58,D,-0.0093702935,OK,0,-0.43748754,OK,0,A,-2.6147954,OK,0,-0.48535448,OK,0,D,-0.013581028,OK,0,-0.027099116,OK,0,B,-0.004488102,OK,0,-0.7811771,OK,0
59,D,-0.00027521694,OK,0,-0.088223696,OK,0,C,-0.0031821814,OK,0,-0.2572642,OK,0,D,-0.0019016428,OK,0,-0.0061500003,OK,0,B,-1.7165198,OK,0,-0.15898775,OK,0
60,C,-0.0018730898,OK,0,-0.401267,OK,0,B,-0.0011069042,OK,0,-0.1556182,OK,0,B,-0.00137968,OK,0,-2.8097825,OK,0,C,-0.0002069057,OK,0,-3.9966962,OK,0
62,D,-0.0011821617,OK,0,-2.8277497,OK,0,B,-0.0015026437,OK,0,-2.872938,OK,0,D,-0.001062842,OK,0,-1.1779844,OK,0,C,-0.00057690986,OK,0,-0.4055996,OK,0
64,C,-0.0005235495,OK,0,-2.1897027,OK,0,C,-2.9800863,OK,0,-0.048001163,OK,0,B,-6.1682205,OK,0,-3.747347,OK,0,D,-0.0015193073,OK,0,-0.04298092,OK,0
65,B,-0.0020709713,OK,0,-2.5294173,OK,0,A,-5.8770795e-05,OK,0,-0.17620945,OK,0,B,-1.0501236,OK,0,-0.025593568,OK,0,C,-0.001422773,OK,0,-0.05654841,OK,0
67,A,-0.018977307,OK,0,-0.73442495,OK,0,D,-0.00044311315,OK,0,-0.009558862,OK,0,B,-0.0031710134,OK,0,-0.017635107,OK,0,A,-0.22169362,OK,0,-0.033789337,OK,0
68,C,-0.00051652227,OK,0,-0.043872166,OK,0,B,-0.00016066212,OK,0,-0.035858557,OK,0,C,-0.0003339494,OK,0,-0.08246373,OK,0,B,-0.014084501,OK,0,-1.2093399,OK,0
70,C,-0.0013821799,OK,0,-0.12799841,OK,0,C,-0.13315585,OK,0,-0.9316174,OK,0,B,-0.044172086,OK,0,-0.5773889,OK,0,C,-0.3010799,OK,0,-3.1891701,OK,0
71,B,-0.2812862,OK,0,-0.0069734985,OK,0,B,-1.3220224,OK,0,-3.2183912,OK,0,D,-0.96827567,OK,0,-0.20223919,OK,0,A,-0.5128082,OK,0,-0.8374278,OK,0
72,C,-0.0025747425,OK,0,-0.016799359,OK,0,D,-0.1845999,OK,0,-0.7539395,OK,0,D,-0.0015393031,OK,0,-0.15523998,OK,0,C,-0.17732923,OK,0,-0.096278965,OK,0
73,B,-0.30998433,OK,0,-1.5743878,OK,0,A,-0.06414335,OK,0,-0.33486006,OK,0,B,-0.18385485,OK,0,-2.032024,OK,0,C,-0.03261056,OK,0,-0.8388402,OK,0
74,A,-1.114415,OK,0,-2.434903,OK,0,A,-1.3224237,OK,0,-0.16812094,OK,0,A,-3.3538065,OK,0,-1.5394332,OK,0,C,-0.08143392,OK,0,-0.2416396,OK,0
76,D,-0.047092393,OK,0,-1.5268853,OK,0,C,-0.008557101,OK,0,-0.31905976,OK,0,D,-0.00663941,OK,0,-0.026879685,OK,0,A,-0.029294044,OK,0,-2.8707173,OK,0
77,D,-0.011632036,OK,0,-0.34940535,OK,0,B,-0.04772258,OK,0,-0.16804495,OK,0,A,-0.00037315208,OK,0,-0.46923825,OK,0,B,-0.0012893204,OK,0,-1.5019763,OK,0
78,A,-0.018008454,OK,0,-0.97645336,OK,0,A,-0.2867807,OK,0,-2.2479012,OK,0,D,-5.5547705,OK,0,-3.7159982,OK,0,B,-0.012416013,OK,0,-1.8980718,OK,0
79,C,-0.0053149387,OK,0,-0.28895083,OK,0,B,-0.018589616,OK,0,-1.825675,OK,0,B,-0.0004365572,OK,0,-0.6245656,OK,0,D,-0.10845773,OK,0,-0.17136873,OK,0
80,A,-0.0069009387,OK,0,-0.042883363,OK,0,D,-0.00075117854,OK,0,-0.0064941067,OK,0,D,-0.00065695413,OK,0,-0.0049766568,OK,0,C,-0.0013839656,OK,0,-0.021433841,OK,0
81,D,-0.25595105,OK,0,-3.1876414,OK,0,B,-0.35320276,OK,0,-0.16535816,OK,0,C,-0.0107713705,OK,0,-1.2527364,OK,0,C,-0.12157832,OK,0,-2.6666684,OK,0
82,B,-0.41478246,OK,0,-1.6348002,OK,0,C,-1.1924398,OK,0,-1.9179082,OK,0,D,-0.5034758,OK,0,-0.3337828,OK,0,A,-0.09745746,OK,0,-1.0571735,OK,0
83,C,-0.0065217013,OK,0,-0.3067568,OK,0,A,-0.03032641,OK,0,-0.0028930604,OK,0,A,-0.0031065014,OK,0,-1.7467192,OK,0,A,-0.0006820879,OK,0,-1.7846204,OK,0
84,C,-0.0042703785,OK,0,-5.3479424,OK,0,C,-0.045029767,OK,0,-0.068351045,OK,0,A,-0.0019893993,OK,0,-1.846707,OK,0,A,-0.0024367431,OK,0,-0.31230438,OK,0
85,C,-0.0015490628,OK,0,-0.0010121079,OK,0,C,-0.00036183148,OK,0,-2.2901545,OK,0,A,-0.032830622,OK,0,-0.004047257,OK,0,D,-0.0014481277,OK,0,-4.3545933,OK,0
86,D,-2.19362,OK,0,-0.07275131,OK,0,A,-0.06225583,OK,0,-5.9172034,OK,0,B,-0.016185338,OK,0,-0.7193552,OK,0,A,-1.7684989,OK,0,-2.6859078,OK,0
87,A,-0.0011070232,OK,0,-0.019692441,OK,0,C,-0.0008419543,OK,0,-2.4026957,OK,0,A,-0.02243312,OK,0,-0.31751096,OK,0,D,-0.005612546,OK,0,-0.48114583,OK,0
88,C,-0.59975445,OK,0,-4.370096,OK,0,B,-0.9170767,OK,0,-4.355608,OK,0,B,-7.337424,OK,0,-3.8483024,OK,0,A,-0.07783114,OK,0,-1.7051454,OK,0
89,B,-1.6739657,OK,0,-0.02539157,OK,0,B,-1.6390767,OK,0,-0.002211814,OK,0,C,-0.00038054053,OK,0,-0.028187742,OK,0,B,-0.00093738217,OK,0,-1.4131048,OK,0
91,B,-0.0005484428,OK,0,-1.443021,OK,0,C,-0.0034693454,OK,0,-0.23160043,OK,0,B,-0.000303807,OK,0,-0.53411055,OK,0,C,-0.0037390136,OK,0,-3.7588992,OK,0
94,B,-0.00017150577,OK,0,-0.56795216,OK,0,A,-0.042062294,OK,0,-0.008573395,OK,0,C,-0.0007177049,OK,0,-1.028017,OK,0,B,-0.10173301,OK,0,-0.015078003,OK,0
95,D,-1.5133047,OK,0,-5.3465195,OK,0,B,-0.006058771,OK,0,-0.48543245,OK,0,B,-0.034623306,OK,0,-0.677269,OK,0,A,-0.05631077,OK,0,-1.3345283,OK,0
96,C,-0.028504347,OK,0,-2.3007379,OK,0,A,-0.0018829645,OK,0,-0.023155833,OK,0,D,-8.576809,OK,0,-0.011739379,OK,0,C,-6.4685006,OK,0,-0.4688433,OK,0
97,D,-0.018535059,OK,0,-0.60455275,OK,0,C,-0.16040866,OK,0,-1.1968051,OK,0,D,-0.16855131,OK,0,-2.6118383,OK,0,B,-2.1532257,OK,0,-2.4911857,OK,0
98,B,-0.1675161,OK,0,-0.12797284,OK,0,D,-0.009610544,OK,0,-0.0072055818,OK,0,C,-0.0463773,OK,0,-0.13370413,OK,0,C,-0.00014338647,OK,0,-0.103132226,OK,0
99,A,-0.0014270582,OK,0,-3.0714219,OK,0,D,-0.0020994288,OK,0,-0.08990926,OK,0,C,-0.071461484,OK,0,-1.6933602,OK,0,B,-5.9864154,OK,0,-3.4432943,OK,0
101,C,-0.0006157403,OK,0,-0.8342358,OK,0,A,-0.004557896,OK,0,-0.32921365,OK,0,C,-0.030339146,OK,0,-2.7304304,OK,0,B,-0.002454352,OK,0,-7.044731,OK,0
102,C,-0.11599201,OK,0,-0.1496145,OK,0,B,-0.001849176,OK,0,-0.19970971,OK,0,B,-0.00049293967,OK,0,-1.9370971,OK,0,A,-0.008710943,OK,0,-0.46509746,OK,0
104,B,-0.00014255257,OK,0,-0.54810387,OK,0,D,-0.0023572564,OK,0,-0.005585399,OK,0,B,-0.0011606092,OK,0,-1.2052358,OK,0,C,-0.0017993232,OK,0,-0.006858795,OK,0
105,A,-0.015638087,OK,0,-0.23780307,OK,0,B,-0.00020177959,OK,0,-4.290269,OK,0,C,-0.0007312849,OK,0,-1.8719658,OK,0,A,-0.0019940438,OK,0,-0.071164474,OK,0
106,D,-0.16428721,OK,0,-0.09545715,OK,0,D,-1.7967284,OK,0,-0.030547677,OK,0,D,-0.8059144,OK,0,-0.27542108,OK,0,C,-2.7472744,OK,0,-2.0335891,OK,0
108,A,-4.155694,OK,0,-0.062141076,OK,0,A,-0.38262814,OK,0,-1.6378765,OK,0,B,-0.004746476,OK,0,-0.95628893,OK,0,B,-4.752071,OK,0,-5.5210524,OK,0
109,A,-1.2641442,OK,0,-4.6724277,OK,0,D,-0.012348877,OK,0,-3.8188956,OK,0,C,-0.02015226,OK,0,-1.4609007,OK,0,B,-0.00907996,OK,0,-1.7312062,OK,0
110,A,-0.00024615385,OK,0,-0.04899135,OK,0,A,-9.0591006e-05,OK,0,-0.16073327,OK,0,D,-0.0009855488,OK,0,-4.784763,OK,0,B,-0.00043667638,OK,0,-0.70456034,OK,0
113,C,-0.0029148129,OK,0,-0.18228658,OK,0,A,-0.031107627,OK,0,-0.51314634,OK,0,D,-0.036477476,OK,0,-0.6349141,OK,0,A,-0.0626605,OK,0,-0.073707804,OK,0
114,A,-0.28493455,OK,0,-0.57299924,OK,0,A,-3.6526222,OK,0,-3.1319096,OK,0,B,-0.0058484264,OK,0,-1.4224907,OK,0,A,-2.6004117,OK,0,-1.6077731,OK,0
117,B,-0.0033167598,OK,0,-2.2975626,OK,0,C,-0.001280034,OK,0,-0.03742536,OK,0,B,-0.0023737976,OK,0,-2.7454634,OK,0,D,-0.0149875935,OK,0,-0.13834137,OK,0
118,C,-0.0011940689,OK,0,-2.4453464,OK,0,B,-0.0006446851,OK,0,-7.168448,OK,0,B,-0.00044716604,OK,0,-0.023200326,OK,0,D,-0.00044764287,OK,0,-0.00082742027,OK,0
119,A,-0.017879916,OK,0,-0.83711106,OK,0,D,-0.06005404,OK,0,-0.027737712,OK,0,A,-0.06541297,OK,0,-0.27557552,OK,0,D,-0.0733194,OK,0,-0.5863332,OK,0
120,B,-0.03888008,OK,0,-5.0961304,OK,0,B,-0.0060172975,OK,0,-0.60641104,OK,0,A,-0.1430503,OK,0,-3.372285,OK,0,C,-0.00052009546,OK,0,-0.018086242,OK,0
121,B,-0.14408621,OK,0,-1.5388415,OK,0,B,-0.49602795,OK,0,-4.6896453,OK,0,C,-0.9562301,OK,0,-0.7648259,OK,0,B,-0.013441687,OK,0,-1.9032259,OK,0
122,C,-0.91893333,OK,0,-0.20691201,OK,0,C,-0.6237825,OK,0,-0.66338885,OK,0,C,-1.1170572,OK,0,-4.7593393,OK,0,D,-0.27781546,OK,0,-0.6068449,OK,0
124,D,-0.00019879943,OK,0,-0.025330318,OK,0,C,-0.00024615385,OK,0,-0.003641229,OK,0,D,-0.00038542657,OK,0,-0.01617559,OK,0,A,-0.00017114828,OK,0,-0.0058359834,OK,0
126,B,-0.021116333,OK,0,-0.65914714,OK,0,B,-0.0022064573,OK,0,-2.0189974,OK,0,D,-0.00067517906,OK,0,-0.0033971549,OK,0,A,-0.5917292,OK,0,-0.6568005,OK,0
127,D,-0.4216756,OK,0,-0.8813378,OK,0,D,-0.025741654,OK,0,-1.6520822,OK,0,C,-4.4619746,OK,0,-3.0773795,OK,0,B,-3.855322,OK,0,-2.5839179,OK,0
128,B,-1.4189059,OK,0,-5.8380423,OK,0,B,-2.509768,OK,0,-6.607115,OK,0,D,-0.04735324,OK,0,-3.4104922,OK,0,A,-0.21423738,OK,0,-4.2651014,OK,0
129,B,-0.006062679,OK,0,-1.5344957,OK,0,B,-0.0016110697,OK,0,-5.0591245,OK,0,B,-0.0014308675,OK,0,-0.36766472,OK,0,D,-0.00033668982,OK,0,-0.2021371,OK,0
131,B,-0.010385079,OK,0,-0.039668556,OK,0,D,-0.015316635,OK,0,-0.03318956,OK,0,D,-0.0035225314,OK,0,-0.11465028,OK,0,A,-0.14992651,OK,0,-0.016496861,OK,0
133,C,-0.0008742395,OK,0,-0.11617618,OK,0,C,-0.0018789195,OK,0,-0.14236623,OK,0,B,-0.0063012834,OK,0,-0.2394348,OK,0,A,-0.016327966,OK,0,-0.8357293,OK,0
134,B,-0.003003121,OK,0,-2.0049467,OK,0,C,-0.00066755555,OK,0,-2.6556036,OK,0,C,-0.002675838,OK,0,-1.9652122,OK,0,C,-0.00033049413,OK,0,-0.06199723,OK,0
135,B,-3.209886,OK,0,-0.8490857,OK,0,D,-0.83920383,OK,0,-0.060208403,OK,0,D,-1.8889742,OK,0,-0.20711815,OK,0,C,-0.040673263,OK,0,-0.09928444,OK,0
136,B,-0.0030467336,OK,0,-4.728823,OK,0,B,-0.089790255,OK,0,-3.8571782,OK,0,D,-0.008944807,OK,0,-6.573871,OK,0,D,-0.010259829,OK,0,-0.5926084,OK,0
137,D,-0.14588358,OK,0,-0.09472013,OK,0,D,-1.3615937,OK,0,-0.851102,OK,0,C,-0.022239584,OK,0,-1.9042468,OK,0,C,-0.97998637,OK,0,-3.9694638,OK,0
138,B,-0.00013028302,OK,0,-0.29605734,OK,0,C,-0.000107519656,OK,0,-0.09036917,OK,0,D,-0.0003830431,OK,0,-1.3328824,OK,0,D,-0.00012635236,OK,0,-0.020903235,OK,0
139,C,-0.0003052366,OK,0,-0.00991918,OK,0,A,-0.0037443535,OK,0,-0.022896286,OK,0,D,-0.0001070427,OK,0,-0.008820855,OK,0,D,-0.00045944433,OK,0,-0.0024310318,OK,0
140,D,-0.0005979925,OK,0,-7.768558,OK,0,D,-0.06940766,OK,0,-1.6294181,OK,0,D,-0.0011462009,OK,0,-0.43074766,OK,0,B,-0.0017207903,OK,0,-7.519116,OK,0
141,B,-0.16090418,OK,0,-1.5924289,OK,0,B,-0.0023106055,OK,0,-3.043108,OK,0,B,-0.028244035,OK,0,-2.1723354,OK,0,D,-0.3064472,OK,0,-2.853827,OK,0
142,C,-0.01381637,OK,0,-1.5398489,OK,0,C,-0.0033748304,OK,0,-0.5314414,OK,0,D,-0.0005513014,OK,0,-3.5361943,OK,0,C,-0.007309353,OK,0,-9.417603,OK,0
144,C,-0.021883275,OK,0,-2.3557513,OK,0,A,-1.4164903,OK,0,-0.88872844,OK,0,C,-0.3517781,OK,0,-2.1314917,OK,0,A,-1.5052148,OK,0,-1.6779175,OK,0
145,D,-0.005327864,OK,0,-0.019135758,OK,0,C,-0.0010846352,OK,0,-0.31573653,OK,0,D,-0.06336852,OK,0,-0.17349389,OK,0,D,-0.0692857,OK,0,-0.26514176,OK,0
147,B,-0.006492093,OK,0,-2.2133472,OK,0,B,-0.8746457,OK,0,-2.9950511,OK,0,C,-0.015921969,OK,0,-1.2367117,OK,0,B,-0.023560302,OK,0,-2.2149577,OK,0
148,C,-0.0046895146,OK,0,-0.0904478,OK,0,C,-0.00019796501,OK,0,-0.004560745,OK,0,C,-0.00027331105,OK,0,-0.0041745584,OK,0,C,-0.0001614962,OK,0,-0.043875054,OK,0
149,D,-0.00034622187,OK,0,-0.0079516135,OK,0,D,-0.35930833,OK,0,-0.17620374,OK,0,A,-0.002577003,OK,0,-2.4888592,OK,0,A,-0.040593147,OK,0,-0.00045586805,OK,0
151,D,-0.3267732,OK,0,-4.343653,OK,0,D,-2.1382353,OK,0,-0.986535,OK,0,A,-3.085498,OK,0,-1.1621656,OK,0,C,-0.49609476,OK,0,-0.6866278,OK,0
