id,correct_answer,cot_original_extracted,cot_lexical_extracted,cot_syntactic_extracted,cot_contextual_extracted,average_accuracy
129,19,19,19,19,19,1.0
172,2000,2000,2051,2000,2000,0.75
1,12,12.00,12.00,12.00,12.00,1.0
156,12,10,48,10,8,0.0
344,33,33,33,33,41,0.75
358,4,4,4.00,4,4.00,1.0
178,140,12,3,2.92,1,0.0
353,2600,2600,2600,2600,2600,1.0
405,5500,750,5500.0,5500,5500.0,0.75
246,5,5,5,5,5,1.0
422,7,7,7,7,7,1.0
166,7,6.2,6.6,5.8,6.2,0.0
365,85,85,5,85,85,0.75
331,600,600,600,600,600,1.0
483,24,24,90,20,5,0.25
50,1500,1500,1500.00,300,1500,0.75
414,12,20,12,12,12,0.75
441,15600,15600,15600,3600.00,19500,0.5
486,120,120.0,120.0,120,60,0.75
83,5,5,5,5,5,1.0
494,7,7,7,7,13/4,0.75
428,30,30,3,270,30,0.5
141,15,15,15,15,15,1.0
335,15,15,15,15,15,1.0
288,42,42,42,42,42,1.0
321,60,50,60,60,60,0.75
91,11,11,11,11,11,1.0
228,112,112,112,168,336,0.5
152,14,14,14,14,14,1.0
25,96,96,96,96,96,1.0
463,6,6,6,6,5,0.75
423,25,25,25,25,25,1.0
388,15,15,15,15,15,1.0
161,5,5,5,5,0,0.75
235,10,9.00,2.50,1.50,5,0.0
148,240,240,240,240,240,1.0
389,288,288,216,288,576,0.5
197,180,180,180.0,180,180,1.0
53,920,920,920,920,920,1.0
174,936,936,936,936,936,1.0
419,20,20,20,20,20,1.0
252,21,21.00,21.00,210,2.10,0.5
195,5,5,5,5,5,1.0
49,20,55,45,20,-55,0.25
306,300,450,300,250,180,0.25
32,9,9,9,9,9,1.0
394,9,9,9,9,9,1.0
322,1124,1124,1124,1124,1124,1.0
319,25,25,25,25,25,1.0
71,198,198,198,198,198,1.0
477,840,840,1080,840,840.0,0.75
179,15,15,15,15,50,0.75
284,70,23.33,23.33,50,70,0.25
383,60,60,60,6,180,0.5
453,40,40,40,40.0,40,1.0
402,5,5,5,5,5,1.0
37,30,30,10,30,30.0,0.75
464,20,20,30,20,20,0.75
409,5,5,9,5,5,0.75
159,10,10,10,0,-1,0.5
292,16000,16000,16000,16000,16000,1.0
200,25,25,23.75,23,25,0.5
401,504,504.00,189.00,504.00,207.90,0.5
418,2900,2900.0,2900,2900.00,2900,1.0
259,11,15,15,15,15,0.0
61,66,66,66,96,96,0.5
142,8,8,8,8,8,1.0
455,50,50,50,43,50,0.75
107,270,270,270,210,270,0.75
248,57,62,57,57,62,0.5
474,100,100.00,100.00,100.00,100.00,1.0
104,2,2,2,2,2,1.0
134,74,74,74,74,74,1.0
222,5,5.00,5,5.00,5.0,1.0
218,320,320,320,320,320,1.0
298,35,35,35,35,35,1.0
490,3,3,3,3,3,1.0
4,245,245,245,245,245,1.0
