id,correct_answer,cot_original_extracted,cot_lexical_extracted,cot_syntactic_extracted,cot_contextual_extracted,average_accuracy,answer_consistency,ECS,ECS_decile
191,1316,1316,1316,1316,1316,1.0,1.0,0.9649698436260224,9
192,6,6,6,6,6,1.0,1.0,0.8588732679684957,2
193,6284,6284,6284,6284,6284,1.0,1.0,0.9071310758590698,5
194,200,200,200,200,200,1.0,1.0,0.964706540107727,9
195,5,5,5,5,5,1.0,1.0,0.8923330207665762,4
196,80,80.0,80.0,80.0,1,0.75,0.75,0.9046477377414704,5
197,180,180,180.0,180,180,1.0,1.0,0.8915502826372782,4
198,17,17,17,17,17,1.0,1.0,0.8773984809716543,3
199,600,600,600,600,600,1.0,1.0,0.9242939452330272,7
200,25,25,23.75,23,25,0.5,0.5,0.8996603687604269,5
201,350,350,350,350,350,1.0,1.0,0.9252811173597972,7
202,400,1060,400,400,400,0.75,0.75,0.8437917232513428,1
203,270,270,270,270,270,1.0,1.0,0.9241020679473876,7
204,24,24,24,24,24,1.0,1.0,0.8393776416778564,1
205,16,16,16,16,16,1.0,1.0,0.9423210620880128,8
206,12,12,12,12,12,1.0,1.0,0.913955181837082,6
207,6,5.2,6.5,6.5,25/4,0.0,0.5,0.8645154237747192,2
208,100,100,100,100,100,1.0,1.0,0.9430295526981354,8
209,17,8.45,38.45,,,0.0,0.0,0.8511794805526733,2
210,130,130,130,130,130,1.0,1.0,0.9119374652703603,6
211,1979,1979,1979,1979,1979,1.0,1.0,0.9272731145222982,7
212,305,265.00,265.00,305.00,82.50,0.25,0.5,0.905213197072347,5
213,40,40,40,40,40,1.0,1.0,0.7860592106978098,0
214,50,50,50.00,50,700,0.75,0.75,0.813419371843338,0
215,20,20,20,20,20,1.0,1.0,0.9556659758090972,9
216,58,58,58,58,58,1.0,1.0,0.9138899048169454,6
217,30,30,30,50.0,30.0,0.75,0.75,0.9311676919460296,7
218,320,320,320,320,320,1.0,1.0,0.9037828743457794,5
219,8,,-2,2,38,0.0,0.0,0.8507164319356283,2
220,24,24,24,24,24,1.0,1.0,0.9569635391235352,9
221,12,12,12,24.74,12,0.75,0.75,0.8153345386187235,0
222,5,5.00,5,5.00,5.0,1.0,1.0,0.9029440780480704,5
223,2,2.50,1.89,3,1.89,0.0,0.5,0.9237001339594524,7
224,5,4.44,5,5.0,1,0.5,0.5,0.901673843463262,5
225,624,624,312,312,312,0.25,0.75,0.9280038674672444,7
226,136,136,136,136,136,1.0,1.0,0.9240322808424632,7
227,50,15,150,37.5,150,0.0,0.5,0.91487384835879,6
228,112,112,112,168,336,0.5,0.5,0.8867766261100769,4
229,27,27.0,27.00,18,27,0.75,0.75,0.922314445177714,7
230,220,110,,140,220,0.25,0.0,0.8585320810476939,2
231,10,10,10,10,10,1.0,1.0,0.8509934941927592,2
232,56,56,56,56,56,1.0,1.0,0.9150459667046864,6
233,180,180,180,180,180,1.0,1.0,0.9425421158472695,8
234,12,12.0,12.0,12,12,1.0,1.0,0.9713281194368998,9
235,10,9.00,2.50,1.50,5,0.0,0.0,0.8893121778964996,4
236,8,8,8,8,8,1.0,1.0,0.9615988532702128,9
237,6,12,12,12,12,0.0,1.0,0.8536241253217062,2
238,20,1,20,1,20,0.5,0.5,0.8423800567785898,1
239,110,170,110,550,450,0.25,0.0,0.8508943120638529,2
240,4500,4500,4500,4500.00,4500,1.0,1.0,0.850155254205068,1
241,10,10,10,10.0,10.0,1.0,1.0,0.9276047547658284,7
242,266,266,266,266,266,1.0,1.0,0.9115365048249564,6
243,104,104,104,104,104,1.0,1.0,0.9351141850153604,8
244,9,9,9,9,9,1.0,1.0,0.9368366201718648,8
245,1280,1280,1280,1280,1280,1.0,1.0,0.8753428558508555,3
246,5,5,5,5,5,1.0,1.0,0.8813599050045013,3
247,16,16,16,40,16,0.75,0.75,0.9451486269632976,8
248,57,62,57,57,62,0.5,0.5,0.9016056259473164,5
249,84,84,84,84,1236,0.75,0.75,0.8147933483123779,0
250,7,7,7,7,7,1.0,1.0,0.907240649064382,5
251,295,295,290,295,295,0.75,0.75,0.8014186422030131,0
252,21,21.00,21.00,210,2.10,0.5,0.5,0.8921649754047394,4
253,32,32,32,32,32,1.0,1.0,0.908236175775528,6
254,42000,700,42000,70,42000,0.5,0.5,0.8451347748438517,1
255,3,3,3,3,3,1.0,1.0,0.9363901019096376,8
256,4,4,4,4,4,1.0,1.0,0.8120258947213491,0
257,43,43,43,42.86,8.5,0.5,0.5,0.9195424914360046,6
258,468,468.00,468.00,468.00,468,1.0,1.0,0.8526591161886851,2
259,11,15,15,15,15,0.0,1.0,0.8999903003374735,5
260,53,53.0,53,53.0,68.0,0.75,0.75,0.8658730785051981,2
261,12,2,9,12,7,0.25,0.0,0.8491222759087881,1
262,8900,8547.56,8922.45,8922.45,8972.0,0.0,0.5,0.7807100117206573,0
263,93,93,93,279,279,0.5,0.5,0.8987738788127899,5
264,83,83,83,83,83,1.0,1.0,0.91607066988945,6
265,88,55,88,,88,0.5,0.5,0.8674429357051849,2
266,800,800,800,800,800,1.0,1.0,0.93130557735761,7
267,16,16,16,6,16,0.75,0.75,0.9462444484233856,9
268,55,55,55,55,55,1.0,1.0,0.9625791807969412,9
269,240,120,240,240,240,0.75,0.75,0.9060039222240448,5
270,5,5,5,5,5,1.0,1.0,0.9319576919078828,8
271,30,10,10,10,30,0.25,0.75,0.9022649427254996,5
272,5,5,5,5,5,1.0,1.0,0.9442396759986876,8
273,3,3,3,4,4,0.5,0.5,0.9316651622454324,7
274,200,200,30,200,30,0.5,0.5,0.8490202128887177,1
275,72000,72000,12000,72000,12000,0.5,0.5,0.9181360503037772,6
276,90,90,90,90,90,1.0,1.0,0.9287808934847512,7
277,4,4,4,4,4,1.0,1.0,0.8172691365083059,0
278,234,234,190,234,234,0.75,0.75,0.84338907400767,1
279,4,4,4,4.00,4.00,1.0,1.0,0.8152222832043966,0
280,75,75,5,75,90,0.5,0.5,0.8723722696304321,3
281,11,11.0,4.5,11.00,11,0.75,0.75,0.8760198255379995,3
282,70,70,103.33,70.0,103.33,0.5,0.5,0.8802864650885264,3
283,700,500,400,700,700,0.5,0.5,0.8518935342629751,2
284,70,23.33,23.33,50,70,0.25,0.5,0.8960172931353251,5
285,48,24,48,24,1,0.25,0.5,0.8696892956892649,3
286,320,320.00,40,240,320.00,0.5,0.5,0.5799106409152349,0
287,20,5,,5,17.5,0.0,0.5,0.8763867119948069,3
288,42,42,42,42,42,1.0,1.0,0.8859769205252329,4
289,3000,3300.00,3000,1800.00,3000,0.5,0.5,0.7911511361598969,0
290,100,500,500,100,625,0.25,0.5,0.9178474048773448,6
291,1,0.05,,,3,0.0,0.0,0.8271088401476542,0
292,16000,16000,16000,16000,16000,1.0,1.0,0.8993806640307108,5
293,170,170,170,170,170,1.0,1.0,0.941320558389028,8
294,79,79,79,79.00,79,1.0,1.0,0.9763474861780802,9
295,35,35,35,35,35,1.0,1.0,0.9361456036567688,8
296,33,37.4,33,33,33,0.75,0.75,0.8240417738755544,0
297,100,200,100,100,200,0.5,0.5,0.8455481032530466,1
298,35,35,35,35,35,1.0,1.0,0.9039291143417358,5
299,12,12.00,12.00,12.00,12.00,1.0,1.0,0.8517455160617828,2
300,36,30,36,36,36,0.75,0.75,0.8651734888553619,2
301,250,125,125,250,250,0.5,0.5,0.9174565076828004,6
302,28,53,28,28,19,0.5,0.5,0.8463958203792572,1
303,5,4,2.25,4,4,0.0,0.75,0.8255302906036377,0
304,3285,90.0,3285,3285,3285,0.75,0.75,0.8528826634089152,2
305,3600,3600,3600,3600,3600,1.0,1.0,0.8687860469023386,3
306,300,450,300,250,180,0.25,0.0,0.8936157723267873,4
307,28,28,28,28,28,1.0,1.0,0.9376518428325652,8
308,25,25,25,25,25,1.0,1.0,0.9138361712296804,6
309,55,155,483,135,,0.0,0.0,0.7880373299121857,0
310,2000,2000,2000,2000,1990,0.75,0.75,0.9227535426616668,7
311,19,24,10,16,16,0.0,0.5,0.9164388279120128,6
312,640,640.00,896.00,640.0,640.0,0.75,0.75,0.9076897998650868,5
313,200,200,50,90,100,0.25,0.0,0.9179724355538686,6
314,7200,7200.00,1,1,1,0.25,0.75,0.9114776154359182,6
315,4,4,400,400,400,0.25,0.75,0.923205425341924,7
316,220,220,220,220,220,1.0,1.0,0.925590048233668,7
317,90,90,40,80,90,0.5,0.5,0.877986878156662,3
318,200,200,200,200,200,1.0,1.0,0.916595627864202,6
319,25,25,25,25,25,1.0,1.0,0.8943010071913401,4
320,4,6,4,4,4,0.75,0.75,0.9420327047506968,8
321,60,50,60,60,60,0.75,0.75,0.8863095740477244,4
322,1124,1124,1124,1124,1124,1.0,1.0,0.8940838277339935,4
323,23,23,23,17,23,0.75,0.75,0.8905227879683176,4
324,95,74.00,95,95,95.0,0.75,0.75,0.9309788246949514,7
325,19,19,19,19,19,1.0,1.0,0.832158237695694,1
326,27,27.00,1,27,27,0.75,0.75,0.862435648838679,2
327,13,13,13,13,13,1.0,1.0,0.9484159350395204,9
328,4,4,4,6,4,0.75,0.75,0.8444205224514008,1
329,8,8,8,8,8,1.0,1.0,0.9285035928090414,7
330,165,165.0,165.00,165.0,165.0,1.0,1.0,0.9246421555678048,7
331,600,600,600,600,600,1.0,1.0,0.8820757667223612,4
332,61,85.67,61,61,0.61,0.5,0.5,0.933402826388677,8
333,72,72,72,72,72,1.0,1.0,0.9504040976365408,9
334,28,28,28,28,28,1.0,1.0,0.9392552276452384,8
335,15,15,15,15,15,1.0,1.0,0.8855966031551361,4
336,36,36,36,36,1,0.75,0.75,0.8802975714206696,3
337,3,3,3,3,3,1.0,1.0,0.9632669190565744,9
338,2,6,3/4,3/4,37,0.0,0.5,0.8694760700066885,3
339,10,10,2.5,1200,1.5,0.25,0.0,0.937154750029246,8
340,1100,1100,1,1100,1500,0.5,0.5,0.8519390126069387,2
341,300,300,300,300,300,1.0,1.0,0.9564431309700012,9
342,15,15,14.50,15.0,35,0.5,0.5,0.8474182983239492,1
343,10,640.8,10,10,20,0.5,0.5,0.8505605161190033,1
344,33,33,33,33,41,0.75,0.75,0.8795466721057892,3
345,300,300,300,300,30,0.75,0.75,0.9499363601207732,9
346,1000,1000,1000,1000,1000,1.0,1.0,0.9222079912821451,7
347,18,26/3,6,24,36,0.0,0.0,0.8476054469744364,1
348,820,1,820.00,820.0,630,0.5,0.5,0.8936014374097189,4
349,1008,504,1008,1008,1008,0.75,0.75,0.927464654048284,7
350,40,20,23.33,20,20,0.0,0.75,0.9260871609052024,7
351,144,144,144,144,144,1.0,1.0,0.9630739986896516,9
352,720,720.0,1,720,1,0.5,0.5,0.8887878855069479,4
353,2600,2600,2600,2600,2600,1.0,1.0,0.8810418347517649,3
354,21,21,21,24.5,21,0.75,0.75,0.9114549060662588,6
355,750,749.96,750.96,749,512,0.0,0.0,0.8616475959618887,2
356,15,15,15,15,15,1.0,1.0,0.9206934173901876,6
357,560,5,40,,,0.0,0.0,0.7921505471070608,0
358,4,4,4.00,4,4.00,1.0,1.0,0.8795916040738424,3
359,720,720,720,720.0,720.0,1.0,1.0,0.9234257439772288,7
360,5,5,5,5,5,1.0,1.0,0.8775815665721893,3
361,14,14,14,14,14,1.0,1.0,0.9323551257451376,8
362,6,5.00,6.00,6.00,13.50,0.5,0.5,0.8954056004683176,5
363,4,6.4,4,4,4,0.75,0.75,0.8437530100345612,1
364,250,250,250,250,250,1.0,1.0,0.9060945212841034,5
365,85,85,5,85,85,0.75,0.75,0.8816544016202291,3
366,7,7,7,3.5,70,0.5,0.5,0.9341711302598318,8
367,57,47,47,33,,0.0,0.5,0.8565137585004171,2
368,10,10,10,10,240,0.75,0.75,0.8252475460370382,0
369,23,23,23,23,,0.75,0.75,0.8595003485679626,2
370,7,7,7,7,7,1.0,1.0,0.9323588013648988,8
371,900,3600,3600,3600,3600,0.0,1.0,0.9253830313682556,7
372,259200,187200.00,280800,280800,233600.00,0.0,0.5,0.7643465002377828,0
373,50,50.0,50.0,50,50.0,1.0,1.0,0.9398026069005332,8
374,30,50.0,30.0,230.00,30.0,0.5,0.5,0.8476025660832723,1
375,43,49,43,43,43,0.75,0.75,0.823641041914622,0
376,52,52,52,66,52,0.75,0.75,0.7509173353513082,0
377,50,50,50,50,50,1.0,1.0,0.9411217073599496,8
378,13,48,,13,55,0.25,0.0,0.8282880187034607,1
379,580,-580.00,580.0,580,180,0.5,0.5,0.9253119627634684,7
380,44,44,36,1,44,0.5,0.5,0.5974743316570917,0
381,50,50,50,0,20,0.5,0.5,0.9091992576917012,6
382,41,14,14.00,41,41,0.5,0.5,0.8385521471500397,1
383,60,60,60,6,180,0.5,0.5,0.8962055345376333,5
384,6000,18000.00,1,1,,0.0,0.5,0.5485237613320351,0
385,650,650.00,650.00,1,650.00,0.75,0.75,0.8749935925006866,3
386,41,41,41,41,41,1.0,1.0,0.7665450970331827,0
387,7,7,7,7,7,1.0,1.0,0.8722550968329111,3
388,15,15,15,15,15,1.0,1.0,0.8888514439264933,4
389,288,288,216,288,576,0.5,0.5,0.8899820744991302,4
390,5,0.83,14,15,15,0.0,0.5,0.833765963713328,1
391,46,46.0,46,46,46.0,1.0,1.0,0.9499256908893584,9
392,179,179.0,179.0,179,179,1.0,1.0,0.9537934164206188,9
393,195,195,235,235,235,0.25,0.75,0.939517339070638,8
394,9,9,9,9,9,1.0,1.0,0.89372385541598,4
395,5,11,10,10,5,0.25,0.5,0.9248995184898376,7
396,11,11,13,11,11,0.75,0.75,0.8543012936909994,2
397,22,1,1,1,5.0,0.0,0.75,0.867099275191625,2
398,2934,1956,1956,2934,2934,0.5,0.5,0.6891753176848093,0
399,48,48,48,48,48,1.0,1.0,0.82243812084198,0
400,9,9,9,21.33,9,0.75,0.75,0.8598242501417795,2
401,504,504.00,189.00,504.00,207.90,0.5,0.5,0.8998342752456665,5
402,5,5,5,5,5,1.0,1.0,0.8969323436419169,5
403,24,24,24,12,,0.5,0.5,0.7397045493125916,0
404,300,300,300,300,300,1.0,1.0,0.9592464764912924,9
405,5500,750,5500.0,5500,5500.0,0.75,0.75,0.881174236536026,3
406,202,202,202,202,202.00,1.0,1.0,0.937166174252828,8
407,720,720,720,720,720,1.0,1.0,0.9452776610851288,8
408,1450,1450,1450,1450,1450,1.0,1.0,0.8449497322241465,1
409,5,5,9,5,5,0.75,0.75,0.8979308406511942,5
410,100,100,100,100,100,1.0,1.0,0.93637349208196,8
411,75,75,75,75,75,1.0,1.0,0.9357179204622904,8
412,3,3,3,3,3,1.0,1.0,0.9353905816872916,8
413,9,9,9,9,9,1.0,1.0,0.9267930587132772,7
414,12,20,12,12,12,0.75,0.75,0.8838254809379578,4
415,45,45,45,45,45,1.0,1.0,0.927739401658376,7
416,134400,134400,134400,134400,1,0.75,0.75,0.8422825336456299,1
417,4625,6300.00,3625,3625,3625,0.0,0.75,0.855982760588328,2
418,2900,2900.0,2900,2900.00,2900,1.0,1.0,0.8998765846093496,5
419,20,20,20,20,20,1.0,1.0,0.8921073873837789,4
420,36,24.00,1,9.6,,0.0,0.0,0.5766134659449259,0
421,134,134,134,134,134,1.0,1.0,0.9549871583779652,9
422,7,7,7,7,7,1.0,1.0,0.8816311955451965,3
423,25,25,25,25,25,1.0,1.0,0.8886042435963949,4
424,310,1,1,310.00,310.00,0.5,0.5,0.8518413205941519,2
425,70,55,1,70,55,0.25,0.5,0.8622358540693918,2
