id,gsm8k_original_answer,gemini_original_answer,gsm8k_counterfactual_1_answer,gemini_counterfactual_1_answer,gsm8k_counterfactual_2_answer,gemini_counterfactual_2_answer,gsm8k_counterfactual_3_answer,gemini_counterfactual_3_answer,average_accuracy
126,60,60,60,60,50,50,55,55,1.0
127,69000,69000,57300,57300,64500,64500,57300,57300,1.0
128,3,3,4.5,4.5,3.33,3.33,2.67,2.67,1.0
129,19,19,24,24,15,15,14,14,1.0
130,20,20,27.78,27.78,15,15,27.27,27.27,1.0
131,245,245,245,245,245,245,175,175,1.0
132,2412,2412,3216,3216,2232,2232,2592,2592,1.0
133,76,76,64,0,104,104,70,70,0.75
134,74,74,75,75,73,73,72,72,1.0
135,300,300,225,225,333.5,333.5,300,300,1.0
136,6,6,6,6,7,7,5,5,1.0
137,8,8,9.6,9.6,9.67,9.67,6.67,6.67,1.0
138,24,24,40,40,30,30,36,36,1.0
139,1350,1350,1800,1800,1800,1800,1800,1800,1.0
140,31250,31250,20000,20000,37500,37500,25000,25000,1.0
141,15,15,18,18,18,18,20,20,1.0
142,8,8,6,6,10,10,7,7,1.0
144,60,60,95,95,45,45,30,30,1.0
145,1500,1500,2000,2000,1000,1000,2500,2500,1.0
146,7,7,3,3,10,10,2,2,1.0
147,3,3,1,1,8.33,8.33,4,4,1.0
148,240,240,288,288,200,200,360,360,1.0
149,120,120,120,120,180,180,60,60,1.0
151,20,20,22,22,17,17,20.5,20.5,1.0
152,14,14,16,16,14,14,18,18,1.0
153,132,132,165,165,156,156,120,120,1.0
154,355,355,440,440,365,365,365,365,1.0
155,84,84,112,112,72,72,108,108,1.0
156,12,12,14,14,14,14,18,18,1.0
157,770,770,920,920,790,790,822.5,822.5,1.0
158,40,40,42,42,30,30,50,50,1.0
160,7,7,8,8,8,8,8,8,1.0
161,5,5,0,0,0,0,8,8,1.0
162,132000,132000,140000,140000,99000,99000,108000,108000,1.0
163,900,900,1000,1000,800,800,1000,1000,1.0
164,15,15,7.5,7.5,25,25,10,10,1.0
165,40000,40000,43000,43000,41000,41000,32500,32500,1.0
166,7,7,7,7,8,8,8.32,8.32,1.0
167,6,6,3,3,12,12,29,29,1.0
168,35,35,38,38,37,37,30,30,1.0
169,9,9,8,8,11,11,11,11,1.0
170,12,12,12,12,16,16,15,15,1.0
173,60,60,75,75,76,76,80,80,1.0
174,936,936,1000,1000,1872,1872,1170,1170,1.0
175,80,80,100,100,160,160,240,240,1.0
177,26,26,28,28,29,29,22,22,1.0
179,15,15,18,18,11.54,11.54,21.43,21.43,1.0
180,315,315,300,300,231,231,285,285,1.0
181,4,4,3,3,6,6,2.1,2.1,1.0
183,78400,78400,98000,98000,58800,58800,67200,67200,1.0
184,240,240,120,120,195,195,120,120,1.0
185,60,60,48,48,40,40,45,45,1.0
188,2,2,2,2,5,5,2,2,1.0
189,94,94,100,100,84,84,135,135,1.0
190,45,45,60,75,60,60,90,90,0.75
191,1316,1316,1330,1330,1386,1386,940,940,1.0
192,6,6,4.5,4.5,4,4,7.5,7.5,1.0
193,6284,6284,6516,6516,6268,6268,5759,5759,1.0
195,5,5,0,0,15,15,12,12,1.0
196,80,80,60,60,96,96,100,100,1.0
197,180,180,200,200,90,90,130,130,1.0
198,17,17,19,19,19,19,19,19,1.0
199,600,600,450,450,800,800,400,400,1.0
200,25,25,23.5,23.5,20,20,26.5,26.5,1.0
201,350,350,360,360,320,320,370,370,1.0
202,400,400,600,600,500,500,300,300,1.0
203,270,270,240,240,240,240,240,240,1.0
204,24,24,22,22,26,26,22.5,22.5,1.0
205,16,16,13.33,13.33,12,12,24,24,1.0
206,12,12,15,15,20,20,14,14,1.0
208,100,100,120,120,80,80,50,50,1.0
210,130,130,156,156,150,150,132,132,1.0
211,1979,1979,1981,1981,1978,1978,1978,1978,1.0
213,40,40,32,32,30,30,50,50,1.0
214,50,50,100,100,0,0,0,0,1.0
215,20,20,16.67,16.67,25,25,30,30,1.0
216,58,58,66,66,51,51,61,61,1.0
217,30,30,40,40,40,40,40,40,1.0
218,320,320,384,384,400,400,280,280,1.0
220,24,24,24,24,32,32,30,30,1.0
221,12,12,12,12,8,8,9,9,1.0
222,5,5,6,6,7.5,7.5,5,5,1.0
224,5,5,5,5,6,6,4.5,4.5,1.0
226,136,136,152,152,124,124,146,146,1.0
228,112,112,84,84,56,56,56,56,1.0
229,27,27,25.2,25.2,28.8,28.8,30,30,1.0
230,220,220,180,180,210,210,300,300,1.0
231,10,10,12,12,7.5,7.5,8,8,1.0
232,56,56,50,50,46,46,48,48,1.0
233,180,180,216,216,206.67,206.67,170,170,1.0
234,12,12,16,16,13.5,13.5,14.4,14.4,1.0
235,10,10,9,9,9.5,9.5,12.5,12.5,1.0
236,8,8,5,5,10,10,10,10,1.0
238,20,20,20,20,20,20,30,30,1.0
239,110,110,106,106,95,95,80,80,1.0
240,4500,4500,6000,6000,3750,3750,3600,3600,1.0
241,10,10,10,10,10,10,11.67,11.67,1.0
242,266,266,216,216,251,251,285,285,1.0
243,104,104,96,96,78,78,112,112,1.0
244,9,9,10,10,2,2,14,14,1.0
245,1280,1280,1920,1920,800,800,1600,1600,1.0
246,5,5,7.5,7.5,6,6,7.5,7.5,1.0
247,16,16,19,19,15,15,14,14,1.0
248,57,57,56,56,55,55,57,57,1.0
250,7,7,6.67,6.67,10.5,10.5,8.33,8.33,1.0
251,295,295,275,275,310,310,290,290,1.0
252,21,21,23.5,23.5,23,23,21.5,21.5,1.0
253,32,32,48,48,48,48,24,24,1.0
254,42000,42000,50400,50400,63000,63000,30000,30000,1.0
255,3,3,6,6,1,1,5,5,1.0
256,4,4,5,5,6.86,6.86,1.52,1.52,1.0
257,43,43,33,33,50,50,41,41,1.0
258,468,468,396,396,465,465,612,612,1.0
259,11,11,8.5,8.5,9,9,15,15,1.0
260,53,53,49.5,49.5,58,58,57,57,1.0
261,12,12,11,11,9,9,7,7,1.0
264,83,83,82,82,89,89,78,78,1.0
265,88,88,69,69,72,72,112,112,1.0
266,12,12,11,11,9,9,7,7,1.0
268,93,93,92.67,92.67,93,93,91.67,91.67,1.0
269,83,83,82,82,89,89,78,78,1.0
270,88,88,69,69,72,72,112,112,1.0
271,10,10,30,30,10,10,30,30,1.0
272,5,5,8,8,5,5,8,8,1.0
273,3,3,3,3,3,3,4,4,1.0
274,200,200,150,150,180,180,280,280,1.0
275,72000,72000,60000,60000,90000,90000,48000,48000,1.0
276,90,90,84,84,96,96,78,78,1.0
277,4,4,8,8,9,9,3,3,1.0
278,234,234,200,200,272,272,226,226,1.0
279,4,4,4,4,5,5,4.2,4.2,1.0
280,75,75,60,60,100,100,60,60,1.0
281,11,11,15,15,8,8,9,9,1.0
282,70,70,60,60,70,70,90,90,1.0
283,700,700,750,750,720,720,600,600,1.0
284,70,70,100,100,100,100,150,150,1.0
285,48,48,60,60,64,64,42,42,1.0
286,320,320,330,330,280,280,340,340,1.0
289,3000,3000,4000,4000,3300,3300,2700,2700,1.0
290,100,100,80,80,100,100,150,150,1.0
291,1,1,0.5,0.5,0.38,0.38,2,2,1.0
292,16000,16000,12800,12800,15000,15000,20000,20000,1.0
293,170,170,150,150,200,200,140,140,1.0
294,79,79,87,87,59,59,87,87,1.0
295,35,35,30,30,42,42,20,20,1.0
296,33,33,44,44,22,22,45,45,1.0
297,100,100,80,80,80,80,120,120,1.0
298,35,35,60,60,10,10,35,35,1.0
299,12,12,12.65,12.65,10.5,10.5,8.5,8.5,1.0
300,36,36,30,30,44,44,45,45,1.0
301,250,250,300,300,200,200,290,290,1.0
302,28,28,33,33,33,33,23,23,1.0
304,3285,3285,3942,3942,3102.5,3102.5,3294,3294,1.0
306,300,300,400,400,360,360,450,450,1.0
307,28,28,33,33,27,27,26,26,1.0
309,55,55,48,48,61,61,82,82,1.0
310,2000,2000,2005,2005,2010,2010,1995,1995,1.0
311,19,19,19,19,14,14,24,24,1.0
312,640,640,800,800,800,800,480,480,1.0
313,200,200,170,170,210,210,250,250,1.0
314,7200,7200,7200,7200,7950,7950,6500,6500,1.0
316,220,220,200,200,154,154,286,286,1.0
317,90,90,65,65,95,95,70,70,1.0
318,200,200,182,182,189,189,203,203,1.0
321,60,60,90,90,48,48,72,72,1.0
322,1124,1124,1248,1248,1312,1312,1400,1400,1.0
323,23,23,26,26,28,28,23,23,1.0
324,95,95,75,75,75,75,140,140,1.0
325,19,19,22,22,24,24,30,30,1.0
326,27,27,30,30,30,30,29,29,1.0
327,13,13,12,12,12,12,11,11,1.0
328,4,4,3,3,4,4,4,4,1.0
329,8,8,10,10,9,9,6,6,1.0
330,165,165,198,198,176,176,162,162,1.0
331,600,600,900,900,500,500,480,480,1.0
332,61,61,60,60,58.67,58.67,60.6,60.6,1.0
333,72,74,76,76,76,76,76,76,0.75
334,28,35,21,21,32,40,30,30,0.5
335,15,15,12,12,18,18,12,12,1.0
336,36,36,34,34,39,39,35,35,1.0
337,3,3,3.5,3.5,3.4,3.4,3,3,1.0
338,2,2,2,2,1.5,1.5,1,1,1.0
339,10,10,6.67,6.67,6.67,6.67,12,12,1.0
340,1100,1100,1100,1100,1800,1800,900,900,1.0
341,300,300,350,350,350,350,330,330,1.0
342,15,15,30,30,12,12,35,35,1.0
343,10,10,12.5,12.5,13.33,13.33,7.5,7.5,1.0
344,33,33,39,39,43,43,34,34,1.0
345,300,300,400,400,192,192,200,200,1.0
346,1000,1000,800,800,1200,1200,1250,1250,1.0
347,18,18,16,16,15,15,6,6,1.0
348,820,820,910,910,800,800,960,960,1.0
349,1008,1008,1512,1512,840,840,840,840,1.0
350,39,39,29,29,39,39,31,31,1.0
351,144,144,192,192,135,135,192,192,1.0
352,720,720,480,480,960,960,864,864,1.0
353,2600,2600,3100,3100,2700,2700,2100,2100,1.0
354,21,21,35,35,18,18,14,14,1.0
355,750,750,600,600,800,800,666.67,666.67,1.0
356,15,15,18,18,5,5,10,10,1.0
357,840,840,1050,1050,560,560,1080,1080,1.0
358,4,4,3,3,5,5,3,3,1.0
359,720,720,860,860,560,560,1840,1840,1.0
361,14,14,12,12,17.5,17.5,9.33,9.33,1.0
362,6,6,5,5,5.5,5.5,5,5,1.0
363,4,4,3,3,8,8,6,6,1.0
364,250,250,225,225,200,200,300,300,1.0
365,85,85,100,100,120,120,80,80,1.0
366,7,7,8.75,8.75,8.4,8.4,10.5,10.5,1.0
368,10,10,7.5,7.5,5,5,12.5,12.5,1.0
369,23,23,27,27,24.33,24.33,25,25,1.0
371,3600,3600,2400,2400,750,750,4320,4320,1.0
372,259200,259200,216000,216000,244800,244800,165600,165600,1.0
374,30,30,20,20,20,20,40,40,1.0
375,43,43,47,47,48,48,45,45,1.0
376,52,52,51,51,49,49,54,54,1.0
377,50,50,56,56,40,40,46.67,46.67,1.0
379,580,580,600,600,680,680,530,530,1.0
380,44,44,36,36,42,42,56,56,1.0
381,50,50,60,60,22,22,30,30,1.0
382,41,41,37,37,36,36,36,36,1.0
383,60,60,72,72,70,70,70,70,1.0
384,6000,6000,6000,6000,7000,7000,6000,6000,1.0
385,650,650,600,600,700,700,575,575,1.0
386,41,41,40,40,43,43,47,47,1.0
387,7,7,8,8,6,6,7,7,1.0
388,15,15,16,16,12.5,12.5,16,16,1.0
389,288,288,360,360,256,256,360,360,1.0
391,46,46,56,56,44,44,36,36,1.0
392,179,179,190,190,181,181,195,195,1.0
393,195,195,157.5,157.5,202.5,202.5,235,235,1.0
394,9,9,7.5,7.5,12,12,10.5,10.5,1.0
395,5,5,3,3,3,3,3,3,1.0
396,11,11,13,13,12,12,14,14,1.0
397,22,22,22,22,22,22,28,28,1.0
398,2934,2934,2700,2700,2608,2608,3333.33,3333.33,1.0
399,48,48,32,32,24,24,81,81,1.0
400,9,9,12,12,12,12,6,6,1.0
401,504,504,462,462,510.3,510.3,518.4,518.4,1.0
402,5,5,3.33,3.33,3.75,3.75,8.33,8.33,1.0
403,24,24,32,32,30,30,36,36,1.0
404,300,300,250,250,360,360,240,240,1.0
405,5500,5500,6250,6250,5750,5750,4400,4400,1.0
406,202,202,187,187,210,210,206,206,1.0
407,720,720,1120,1120,880,880,400,400,1.0
408,1450,1450,1540,1540,1600,1600,1250,1250,1.0
409,5,9,8,12,7,9,2,6,0.0
410,100,100,130,130,105,105,80,80,1.0
411,75,75,80,80,100,100,72,72,1.0
412,3,3,2.4,2.4,2.5,2.5,3.75,3.75,1.0
413,9,9,6,6,6,6,12,12,1.0
414,12,12,10,10,14,14,18,18,1.0
415,45,45,55,55,60,60,60,60,1.0
416,134400,134400,128800,128800,124800,124800,122500,122500,1.0
417,4625,4625,5525,5525,4925,4925,4750,4750,1.0
418,2900,2900,2700,2700,3000,3000,3550,3550,1.0
419,20,20,25,25,15,15,15,15,1.0
420,36,36,45,45,34.67,34.67,45,45,1.0
421,134,134,206,206,111,111,128,128,1.0
422,7,7,6,6,7,7,8,8,1.0
423,25,25,20,20,35,35,24,24,1.0
424,310,310,295,295,373,373,331,331,1.0
425,70,70,56,56,50,50,85,85,1.0
426,5122,5122,5910,5910,5000.67,5000.67,4550,4550,1.0
427,91,91,70,70,71.5,71.5,65,65,1.0
429,96,96,64,64,120,120,120,120,1.0
430,370,370,420,420,350,350,326.67,326.67,1.0
432,1,1,20,20,0,0,0,0,1.0
433,60,60,90,90,50,50,48,48,1.0
434,240,240,300,300,360,360,192,192,1.0
435,48,48,56,56,44,44,60,60,1.0
436,75,75,90,90,100,100,60,60,1.0
437,8,8,8,8,6.6,6.6,7,7,1.0
438,50,50,60,60,37.5,37.5,40,40,1.0
439,40,40,50,50,40,40,32,32,1.0
440,30,30,36,36,20,20,45,45,1.0
441,15600,15600,14400,14400,18720,18720,19500,19500,1.0
443,65,65,50,50,80,80,60,60,1.0
444,1600,1600,1800,1800,2000,2000,1800,1800,1.0
445,6,6,7,7,7,7,7,7,1.0
446,50,50,60,60,37.5,37.5,37.5,37.5,1.0
447,16,16,20,20,12,12,20,20,1.0
448,70,70,85,85,72,72,65,65,1.0
449,210,210,220,220,220,220,230,230,1.0
450,30,30,28,28,31,31,32,32,1.0
451,768,768,798,798,620,620,679.5,679.5,1.0
452,420,420,350,350,432,432,630,630,1.0
453,40,40,35,35,38,38,34,34,1.0
454,5,5,0,0,10,10,0,0,1.0
455,50,50,45,45,32.5,32.5,62.5,62.5,1.0
456,18,18,16.2,16.2,20.25,20.25,20,20,1.0
457,200,200,275,275,140,140,150,150,1.0
458,1680000,1680000,2100000,2100000,1344000,1344000,2016000,2016000,1.0
459,18,18,20.67,20.67,17.33,17.33,13.5,13.5,1.0
460,11,11,10,10,13,13,15,15,1.0
461,60,60,52,52,54.29,54.29,58,58,1.0
462,14,14,12,12,15,15,12,12,1.0
463,6,6,7,7,7,7,4,4,1.0
464,20,20,20,20,13.33,13.33,16,16,1.0
465,18,18,18.67,18.67,21.6,21.6,21.33,21.33,1.0
466,81,81,93,93,79,79,83,83,1.0
467,10,10,10,10,15,15,15,15,1.0
468,484,484,404,404,584,584,488,488,1.0
469,6,6,6.67,6.67,4,4,5,5,1.0
471,360,360,320,320,434,434,350,350,1.0
472,673,673,685,685,676,676,655,655,1.0
473,32,32,30,30,38,38,40,40,1.0
474,100,100,125,125,80,80,100,100,1.0
475,2250,2250,1800,1800,2100,2100,1500,1500,1.0
476,225,225,180,180,235,235,220,220,1.0
477,840,840,1050,1050,825,825,1120,1120,1.0
478,110,110,100,100,130,130,104,104,1.0
479,324,324,432,432,216,216,360,360,1.0
480,113,113,163,163,103,103,133,133,1.0
481,20,20,25,25,21,21,13.33,13.33,1.0
483,24,24,20,20,24,24,21.6,21.6,1.0
485,44,44,38,38,55,55,51,51,1.0
486,120,120,180,180,180,180,112,112,1.0
490,3,3,3,3,4,4,5,5,1.0
491,11,11,12,12,13,13,10,10,1.0
492,96,96,114,114,80,80,92,92,1.0
493,200,200,240,240,150,150,300,300,1.0
494,7,7,8.5,8.5,9,9,8,8,1.0
495,9,9,7,7,10,10,8,8,1.0
496,20,20,21,21,23,23,21,21,1.0
497,6,6,8,8,9,9,4,4,1.0
498,1,1,3,3,6,6,0,0,1.0
499,5500,5500,4500,4500,4400,4400,6000,6000,1.0
500,9,9,10,10,8.14,8.14,10,10,1.0
