id,final_original,final_lexical,final_syntactic,final_contextual,correct_answer,accuracy,answer_consistency
198,  14,9,10,13,17,0.0,0.0
199,600,600,600,600,600,100.0,1.0
200,25,25,24.50,25 25,25,75.0,0.75
201,450,350,400 50 350,350,350,75.0,0.75
202,185180,400,410.44,400,400,50.0,0.5
203,120,270,270,390,270,50.0,0.5
205,16,16,26.67,16,16,75.0,0.75
206,12,12,12,12,12,100.0,1.0
208,800,800,800,800,100,0.0,1.0
210,115,105,130,70,130,25.0,0.0
213,1000 5,40,40,40,40,75.0,0.75
216,11,58,58,54,58,50.0,0.5
217,30,30,50,50,30,50.0,0.5
218,320,320,640,320,320,75.0,0.75
222,12.50,5,5,5,5,75.0,0.75
223,1.94,20.27,1.94,2,2,25.0,0.5
226,136,136,136,136,136,100.0,1.0
228,268 2,28,28 2,98 2,112,0.0,0.75
231,10,10,10,10,10,100.0,1.0
233,4 175,170,157.81,170,180,0.0,0.5
234,12,12.00 12.00 5,12,12.00 12.00,12,100.0,1.0
235,10,10,8,9.50 10.50,10,50.0,0.5
236,8,8,8 4000,8,8,100.0,1.0
240,4500,4500,4500,900 5 4500,4500,100.0,1.0
241,10,10,5,10,10,75.0,0.75
243,72,104,104,104,104,75.0,0.75
244,19 10 9,85,9,45,9,50.0,0.5
245,160,1280,1280,1280,1280,75.0,0.75
246,12,22,5,3 2,5,25.0,0.0
247,27.97,16,13,16,16,50.0,0.5
248,57,57,57,57,57,100.0,1.0
251,50  60  55  70,295,211,295,295,50.0,0.5
252,405.05,21.00,111.50,1.10,21,25.0,0.0
253,32,32,16,2,32,50.0,0.5
254,151200,42000,8688000 8688000,42000,42000,50.0,0.5
256,4 60 50,4 60 50,4,4,4,100.0,1.0
259,30,11,358,15,11,25.0,0.0
260,53,53,40,83,53,50.0,0.5
262,8538 2,8981.76,8481.23,8547.56,8900,0.0,0.0
264,83,83,83,83,83,100.0,1.0
265,88,88,14,88,88,75.0,0.75
266,800,800,800,1000,800,75.0,0.75
267,16,10,16,16,16,75.0,0.75
268,55,20,55,55,55,75.0,0.75
269,240 80 160,240,240,240,240,100.0,1.0
270,4,4.25,4 5,4,5,25.0,0.75
272,5,5,5,5,5,100.0,1.0
273,3,2,3.375,4,3,25.0,0.0
275,72000,24000,72000,24,72000,50.0,0.5
276,90,90,90,90,90,100.0,1.0
278,234,190,234,234,234,75.0,0.75
280,75,75,75,75,75,100.0,1.0
288,85 17 26 42,42,42 ,42,42,100.0,1.0
290,100 5,62500,100 5,0.05975,100,50.0,0.5
291,8 25,2.73,6912,4.25,1,0.0,0.0
292,160000,16000,16000,16000,16000,75.0,0.75
293,190,190,190,170,170,25.0,0.75
294,89,79,79,29.80,79,50.0,0.5
295,35,35,35,35 42,35,100.0,1.0
296,11 3 33,33,55,33,33,75.0,0.75
297,200,200,200,192,100,0.0,0.75
299,12.00,12.00,12.00,11.50,12,75.0,0.75
300,36,18,36,36,36,75.0,0.75
301,115,140,5 3 8,230,250,0.0,0.0
302,57,29,24,29,28,0.0,0.5
304,3285,3285,3285,3285,3285,100.0,1.0
305,6400,3600,3600,3600,3600,75.0,0.75
307,28,28,28,28,28,100.0,1.0
308,50,50,16.67,25,25,25.0,0.5
313,7070,33.20,20 70 90,4.26,200,0.0,0.0
316,220,220,220,220,220,100.0,1.0
318,210,210,244,200,200,25.0,0.5
320,6,20 5 4,39,3,4,25.0,0.0
322,1124.40,1124,1124,1124,1124,75.0,0.75
324,95,60,39,65,95,25.0,0.0
325,19,19,19,19,19,100.0,1.0
327,13,13,13,14,13,75.0,0.75
328,4,2 2 4 1,6,6,4,50.0,0.5
329,8,8,8,8,8,100.0,1.0
330,165.00,165,165,165,165,100.0,1.0
331,300,600,600,600,600,75.0,0.75
333,72,72,72,52,72,75.0,0.75
335,15 6,15,15 6,15 6,15,100.0,1.0
337,3,3,5,3,3,75.0,0.75
341,300,300,150 150 300,150 150 3 150 450 500,300,75.0,0.75
343,15,40,20,20,10,0.0,0.5
344,23,33,33,33,33,75.0,0.75
345,375,375,375,127,300,0.0,0.75
346,1000,1000,1000,1000,1000,100.0,1.0
349,432,2304,1008,992,1008,25.0,0.0
356,15,2,15,25,15,50.0,0.5
358,0.64,4.00,4.00,4.00,4,75.0,0.75
359,496,720,720,720,720,75.0,0.75
360,125,5,5,65,5,50.0,0.5
363,1,4,4.5,4,4,50.0,0.5
364,270,250,270,100,250,25.0,0.5
366,7,7,70,7,7,75.0,0.75
368,10,10,240,240,10,50.0,0.5
373,50.00,2,50,50,50,75.0,0.75
375,55,22 9 24 55,43,55,43,25.0,0.75
378,14,64 ,4 64,23 48 64,13,0.0,0.75
379,580,700 200  1100,1400,580,580,50.0,0.5
382,41,41,41,41,41,100.0,1.0
383,60,60,60,60,60,100.0,1.0
388,11,15,15,40,15,50.0,0.5
389,1345,192,591,1 785 2 67.21 4 269.04   270  270,288,0.0,0.0
390,21,15,5,15,5,25.0,0.5
392,179,179,102,179,179,75.0,0.75
393,195,180,160,161,195,25.0,0.0
394,9,9,9,9,9,100.0,1.0
395,8,11,5,5,5,50.0,0.5
396,11,11,11,11,11,100.0,1.0
397,110,10,101,11,22,0.0,0.0
399,48 4,48 4,48 4,84,48,75.0,0.75
400,3,32,2,75,9,0.0,0.0
401,504,484.00,504,481.012,504,50.0,0.5
402,15,5 59000,0.5,5 54000,5,50.0,0.5
403,24 24,2 12  12 2 24,96,12  24,24,75.0,0.75
404,420,420 5,420 5,300 5,300,25.0,0.75
405,5145,5250,5450,2630,5500,0.0,0.0
406,192,197,190,104 125 229,202,0.0,0.0
407,720,720,720,1680,720,75.0,0.75
408,1450,1450,1450,1450,1450,100.0,1.0
411,75,75,60 15 75,60 30 90,75,75.0,0.75
412,12,5,3 5,1,3,25.0,0.5
413,9 6,9 6,9,9,9,100.0,1.0
417,5255,4825,5750,4625,4625,25.0,0.0
418,2930,6030,2930,2900,2900,25.0,0.5
419,0.2,0.2,1200 12,120,20,0.0,0.5
421,128,522,134,138,134,25.0,0.0
423,30,25,25,30,25,50.0,0.5
426,5166,5164,5166,5550,5122,0.0,0.5
427,91,91,91,91,91,100.0,1.0
428,30,30,30,30,30,100.0,1.0
430,370,240,350,130,370,25.0,0.0
432,1,1,1,1,1,100.0,1.0
433,96,60,1,60,60,50.0,0.5
435,48,12 4,48,12 20 16 48,48,75.0,0.75
436,38 50,76 50,75 50,76,75,25.0,0.75
437,8.95 8.95  ,7.95 7.95,30.84,7.55,8,0.0,0.0
438,50,100,50,50 100,50,75.0,0.75
440,30,30,30 4,30,30,100.0,1.0
441,19520,25120,19520,19520,15600,0.0,0.75
443,65,65,65,10,65,75.0,0.75
444,1600,1600,1600,1600,1600,100.0,1.0
446,42,50,20000 50,100,50,50.0,0.5
447,16,16,16,20,16,75.0,0.75
449,210,210,210,210,210,100.0,1.0
450,28,36,27,27,30,0.0,0.5
451,768,260,778,778,768,25.0,0.5
452,240,240,210,180  30  420,420,25.0,0.5
453,40,40,0,40,40,75.0,0.75
456,19,18.44,19,17.85,18,0.0,0.5
457,200,200,200,200,200,100.0,1.0
458,12480000,16800000,12000000,16800000,1680000,0.0,0.5
463,6,6,6 84,6 84,6,100.0,1.0
464,16,22,30,20,20,25.0,0.0
465,18,18,18,18,18,100.0,1.0
466,105,74,85,77,81,0.0,0.0
467,12,10,10,14,10,50.0,0.5
470,42.86,42.86  64.29  0,42.86,42.86,50,0.0,1.0
473,  26,26,32,22,32,25.0,0.5
474,101.00,100,100,16.67,100,50.0,0.5
475,2250,2250,1500 750 2250,3500,2250,75.0,0.75
476,450,225,450,225,225,50.0,0.5
477,840,840,840,840,840,100.0,1.0
478,47,770,110,110 10,110,50.0,0.5
479,135,270,110200,324,324,25.0,0.0
480,113,113,113,113,113,100.0,1.0
481,20,25,20,20,20,75.0,0.75
482,155,165 175,165 175,175,274,0.0,0.75
483,154,120,20,24,24,25.0,0.0
484,40,43,38,39,39,25.0,0.0
485,44,44,44,44,44,100.0,1.0
486,120,120,120,120,120,100.0,1.0
490,3 4,3,3 4,3 4,3,100.0,1.0
491,11,11,19,11,11,75.0,0.75
493,200,200,200,240,200,75.0,0.75
494,7,7,7,6.5,7,75.0,0.75
495,7,2,2,12,9,0.0,0.5
496,20,18,9 11 18,29,20,25.0,0.5
497,6,6,2,6,6,75.0,0.75
498,1,1,4,1,1,75.0,0.75
500,17.68,9.0,9,9.0,9,75.0,0.75
