id,llama_original_answer,gsm8k_original_answer,llama_counterfactual_1_answer,gsm8k_counterfactual_1_answer,llama_counterfactual_2_answer,gsm8k_counterfactual_2_answer,llama_counterfactual_3_answer,gsm8k_counterfactual_3_answer,average_accuracy
99,404,404,420,420.0,450,450.0,400,400.0,1.0
100,3,3,4,4.0,4,4.0,2.4,2.4,1.0
101,2,2,1.2,1.8,1,1.0,2,2.0,0.75
102,2,2,2.67,2.67,2.4,2.4,2,1.8,1.0
104,2,2,2.5,2.5,2.4,2.4,2,2.0,1.0
105,12,12,15,15.0,16,16.0,9,9.0,1.0
106,8,8,6,7.0,2,6.0,10,9.0,0.25
107,270,270,330,390.0,285,285.0,180,210.0,0.5
108,3,3,4,4.0,2,2.0,2,2.0,1.0
109,9,12,11,15.0,9,9.6,12,11.5,0.25
110,4,4,4,4.0,8,8.0,6,6.0,1.0
112,118,118,100,100.0,140,140.0,142,142.0,1.0
113,21,21,21,21.0,16,16.0,10,22.0,0.75
114,70.0,70,92.0,92.0,58.0,58.0,36.0,36.0,1.0
115,44,44,26,52.0,8,46.0,27,54.0,0.25
116,50,48,48,48.0,45,45.0,60,60.0,0.75
117,50.00,50,140,140.0,100.00,100.0,60.00,60.0,1.0
118,2,2,3,3.0,4,4.0,2,2.0,1.0
119,50.0,50,40,60.0,100,0.0,60.0,40.0,0.25
121,900,1000,700,700.0,900,900.0,1150,1150.0,0.75
122,1685,1685,1193,1193.0,1575.25,1576.25,1993,1993.0,0.75
123,40,55.0,60,60.0,55,55.0,50,50.0,0.75
124,11,11,8,8.0,9,9.0,7.0,7.0,1.0
125,66,66,32,44.0,78,78.0,78,78.0,0.75
126,30,60,30,60.0,40,50.0,70,55.0,0.0
127,33000.00,69000,27300,57300.0,61800.00,64500.0,27300,57300.0,0.0
128,3,3,4.5,4.5,3.33,3.33,2.67,2.67,1.0
129,19,19,24,24.0,15,15.0,14,14.0,1.0
130,20,20,27.78,27.78,15,15.0,27.27,27.27,1.0
131,245,245,588,245.0,245,245.0,25,175.0,0.5
132,14472,2412,3216,3216.0,13392,2232.0,2412.00,2592.0,0.25
133,76,76,64,64.0,104,104.0,70,70.0,1.0
134,74,74,75,75.0,73,73.0,72,72.0,1.0
135,300,300,224.875,225.0,333.33,333.5,299.8,300.0,1.0
136,3,6,7,6.0,-7,7.0,7,5.0,0.0
137,8,8,9.6,9.6,3,9.67,6.67,6.67,0.75
138,24,24,40,40.0,30,30.0,36.0,36.0,1.0
139,1350,1350,1800,1800.0,1800,1800.0,1800,1800.0,1.0
140,31250.00,31250,800.00,20000.0,697.50,37500.0,1250000.00,25000.0,0.25
141,15,15,18,18.0,18,18.0,64,20.0,0.75
142,8,8,6,6.0,10,10.0,7.5,7.0,1.0
144,60,60,95,95.0,45,45.0,30,30.0,1.0
145,1500,1500,2000,2000.0,1000,1000.0,2500,2500.0,1.0
146,7,7,3,3.0,10,10.0,2,2.0,1.0
147,3,3,12,1.0,11.67,8.33,9.6,4.0,0.25
148,240,240,288,288.0,200,200.0,360,360.0,1.0
149,120.00,120,120.00,120.0,180.00,180.0,60.00,60.0,1.0
150,1320,660,1480,720.0,640,640.0,1650,825.0,0.25
151,20,20,22,22.0,17,17.0,20.5,20.5,1.0
152,14,14,16,16.0,14,14.0,18,18.0,1.0
153,132,132,165,165.0,156,156.0,120,120.0,1.0
154,355.00,355,440.00,440.0,365.00,365.0,365.00,365.0,1.0
155,60,84,48,112.0,72,72.0,108,108.0,0.5
156,10,12,28,14.0,10,14.0,15,18.0,0.0
157,770,770,920,920.0,790,790.0,822.50,822.5,1.0
158,40,40,42,42.0,30,30.0,50,50.0,1.0
159,10,10,10,10.0,11,11.0,13,13.0,1.0
160,7,7,8,8.0,8,8.0,8,8.0,1.0
161,5,5,0,0,0,0,8,8.0,1.0
162,132000,"132,000",140000,140000.0,99000,"99,000",60000,108000.0,0.75
163,900,900,1000,1000,400,800,600,1000,0.5
164,0,15,35,7.5,157.5,25,5,10,0.0
165,40000,"40,000",43000,"43,000",41000,"41,000",32500,"32,500",1.0
166,6.2,7,6.25,7,7,8,8,8.32,0.0
167,6,6,3,3,12,12,21,29,0.75
168,37.4,35,44,38,38.6,37,31.2,30,0.0
169,9,9,8,8,11,11,11.25,11,1.0
170,12,12,12,12,16,16,15,15,1.0
171,6,6,7,7,8,7,3,5,0.5
172,2000,2000,2000,2000,2000,1600,2400,2400,0.75
173,30,60,99,75,88,76.0,80,80,0.25
174,936,936,1000,1000,1872,1872,1170,1170,1.0
175,80.0,80,100.0,100,160.0,160,240.0,240,1.0
176,3,3,4,4,3,2,3,2,0.5
177,40,26,44,28,19,29,34,22,0.0
178,12,140,3.25,160,2.75,134.4,23,105,0.0
179,15,15,18,18,11.54,11.54,21,21.43,1.0
180,315,315,300,300.0,231,231.0,285,285.0,1.0
183,78400,78400,98000,98000,58800,58800,67200,67200,1.0
184,240,240,120,120,195,195,120,120,1.0
185,60,60,48,48,40,40,45,45,1.0
186,33,33,60,30,100,37.5,44,44,0.5
187,39,39,41.34,40,38.66,38.67,35,35,0.75
188,2,2,2,2,5,5,2,2,1.0
189,94,94,100,100,84,84,135,135,1.0
190,1,45,1,60,1,60,1,90,0.0
191,1316,1316,1330,1330,1386,1386,940,940,1.0
192,6,6,4.5,4.5,4,4,7.5,7.5,1.0
193,6284,6284,6516,6516,6268,6268,5769,5759,0.75
194,200,200,225,225,240,240,155,170,0.75
195,5,5,0,0,15,15,12,12,1.0
196,80.0,80,60.0,60,96.00,96,100.0,100,1.0
197,180,180,200,200,90,90,130,130,1.0
198,17,17,19,19,19,19,19,19.0,1.0
199,600,600,450,450,800,800,400,400,1.0
200,25,25,1.50,23.5,20.0,20.0,26.50,26.5,0.75
201,350,350,360,360,320,320,370,370,1.0
202,1060,400,1590,600,1325,500,795,300,0.0
203,270,270,240,240,240,240,240,240,1.0
204,24,24,22.00,22,26.00,26,22.50,22.5,1.0
205,16,16,13.33,13.33,12,12,24,24,1.0
206,12,12,15,15,20,20,14,14,1.0
208,100,100,120,120,80,80,50,50,1.0
210,130,130,156,156.0,150,150.0,132,132,1.0
211,1979,1979,1981,1981,1978,1978,1978,1978,1.0
213,40,40,32,32,30,30,50,50,1.0
214,50,50,100,100,0.00,0,0,0,1.0
215,20,20,16.67,16.67,25,25,30,30,1.0
216,58,58,66,66,51,51,61,61,1.0
217,30,30,40,40,40.0,40,40,40,1.0
218,320,320,384,384,400,400,280,280,1.0
220,24,24,24,24,32,32,30,30,1.0
221,12,12,12,12,8,8,9,9,1.0
222,5.00,5,6.00,6,7.50,7.5,5.00,5,1.0
223,2.50,2,3.00,3,1.75,1.41,2.50,1.89,0.25
224,4.44,5,5,5,6.00,6,4.50,4.5,0.75
225,624,624,832,832,936,936,936,936,1.0
226,136,136,152,152,124,124.0,146,146.0,1.0
227,15,50,90,54,12,75.0,20,60,0.0
228,112,112,10,84,16,56,56,56,0.5
229,27.0,27,30.0,25.2,45,28.8,30.0,30,0.5
230,110,220,170,180.0,210,210.0,120,300.0,0.25
231,10,10,12,12,7.5,7.5,8,8,1.0
232,56,56,50,50,46,46,48,48,1.0
233,180,180,216,216,206.67,206.67,170.00,170.0,1.0
234,12.0,12,16.0,16,13.50,13.5,14.40,14.4,1.0
235,9.00,10,4.0,9,4,9.5,11.25,12.5,0.0
236,8,8,5,5,10,10,10,10,1.0
237,12,12.0,15,8,10,10.0,12,9,0.5
238,1,20,1,20,1,20,1,30,0.0
240,4500,4500,6000,6000,3750.0,3750,3600,3600,1.0
241,10,10,10,10,10,10,11.65,11.67,1.0
242,266,266,216,216.0,251,251,285,285.0,1.0
243,104,104,96,96.0,78,78,112,112.0,1.0
244,9,9,10,10,2,2,14,14,1.0
245,1280,1280,80,1920,800,800,1600,1600,0.75
246,5,5,7.5,7.5,6,6,7.5,7.5,1.0
247,16,16,19,19,15,15.0,14,14,1.0
249,84,84,212,212,-16,-52,144,144,0.75
250,7,7,7,6.67,11,10.5,25/3,8.33,0.75
251,295,295,275,275,310,310.0,290,290.0,1.0
252,21.00,21,23.50,23.5,23.00,23.0,21.50,21.5,1.0
253,32,32,5,48,48,48,24,24,0.75
254,700,42000,50400,50400,63000,63000,30000,30000,0.75
255,3,3,6,6,1,1,5,5,1.0
256,4,4,5,5,7,6.86,1.51,1.52,1.0
257,43,43,33,33,64,50.0,41,41.0,0.75
258,468.00,468,396.00,396,465.00,465,612,612,1.0
259,11,11,550,8.5,13,9,364,15,0.25
260,53.0,53,49.50,49.5,58,58.0,57,57,1.0
261,2,12,11,11,5,9,7,7,0.5
262,8547.56,8900,4984,8992,10000,10000,8122.5,9000,0.25
263,93,93,92.67,92,93,93.0,91.67,91.67,1.0
264,83,83,82,82,89,89,78,78.0,1.0
265,55,88,19,69.0,33,72,24,112,0.0
266,2,12,11,11,5,9,7,7,0.5
267,8547.56,8900,4984,8992,10000,10000,8122.5,9000,0.25
268,93,93,92.67,92.67,93,93.0,91.67,91.67,1.0
269,83,83,82,82,89,89,78,78.0,1.0
270,55,88,19,69.0,33,72,24,112,0.0
271,10,10.0,60,30,10,10,10,30,0.5
272,5,5,8,8,5,5,8,8,1.0
273,3,3,3,3,3,3.0,4,4,1.0
274,200,200,150,150.0,180,180.0,280,280.0,1.0
275,72000,72000,60000,60000,90000,90000,288,48000,0.75
276,90,90,84,84,96,96,78,78,1.0
277,4,4,8,8,9,9,3,3,1.0
278,234,234,200,200,272,272,226,226,1.0
279,4,4,4,4,5,5,4,4.2,1.0
280,75,75,60,60,5,100,60,60,0.75
281,11.0,11,15.0,15,8.0,8,9.00,9,1.0
282,70,70,60,60,70.0,70,90,90,1.0
283,500,700,750,750,720,720.0,600,600,0.75
284,23.33,70,26.67,100,100,100.0,50,150,0.25
285,24,48,60,60,64,64,30,42,0.5
286,320.00,320,330.00,330.0,280.00,280,340.00,340.0,1.0
287,5,20,16,21.33,30,22,35,31.25,0.0
289,3300.00,3000,4400,4000,3660.00,3300.0,3000,2700.0,0.0
290,100,100,80,80,100,100,150,150,1.0
291,3,1,0.41,0.5,0.4,0.375,0.4,2,0.25
292,16000,16000,12800,12800,15000,15000,20000,20000,1.0
293,170,170,150,150,200,200,140,140,1.0
294,79,79,87.0,87,59,59,87.0,87,1.0
295,35,35,30,30,42,42,20,20,1.0
296,37.4,33,22,44,22,22,45,45,0.5
297,200,100,160,80,130,80,240,120,0.0
298,35,35,2,60,10,10,35,35,0.75
299,12.00,12,12.65,12.65,10.50,10.5,8.50,8.5,1.0
300,8,36,24,30.0,44,44,38,45,0.25
301,125,250,42,300,200,200,145,290.0,0.25
302,53,28,33,33,25,33.0,23,23.0,0.5
304,90.0,3285,9.72,3942,3107.5,3102.5,3294,3294,0.25
305,3600,3600,3300,3200.0,3966,4000,3800,3800.0,0.5
306,450,300,300,400.0,450,360.0,337.5,450,0.0
307,28,28,33,33,27,27,26,26,1.0
308,25,25,31.25,31.25,37.5,40,0,10,0.5
309,155,55,339,48,-44,61.0,44,82.0,0.0
310,2000,2000,2005,2005,2010,2010,1995,1995,1.0
311,10,19,28.5,19,8,14,22.5,24.0,0.0
312,640.00,640,800.0,800,800.0,800,480,480,1.0
313,200,200,400,170,210,210,250,250.0,0.75
314,7200.00,7200,5400.00,7200,7950.00,7950.0,6500.00,6500.0,0.75
316,220,220,200,200.0,154,154,286,286,1.0
317,136,90,65,65,95,95.0,70,70.0,0.75
318,200,200,182,182,189,189,203,203,1.0
320,6,4,4.4,5,8,6,2,2,0.5
321,50,60,90,90,24,48,24,72,0.25
322,1124,1124,1248,1248.0,1312,1312.0,1400.00,1400,1.0
323,23,23,26,26,28,28,23,23,1.0
324,74.00,95,75,75,231.00,75.0,110.00,140.0,0.25
325,19,19,22,22,24,24,30,30,1.0
326,27.00,27,30.0,30,30.0,30,29.00,29.0,1.0
327,13,13,12,12,12,12,11,11,1.0
328,4,4,3,3,4,4,4,4,1.0
329,8,8,10,10,9,9,6,6,1.0
330,165.0,165,198,198,176.0,176,162.0,162,1.0
331,600,600,900,900,500,500,480,480,1.0
332,85.67,61,26.67,60.0,83.33,58.67,20.4,60.6,0.0
333,72,72,76,76,76,76,76,76.0,1.0
334,28,28,21,21,32,32,30,30,1.0
335,15,15,12,12,18,18,12,12,1.0
336,36,36,34,34,39,39,35,35,1.0
337,3,3,3.5,3.5,3.4,3.4,2.33,3.0,1.0
338,6,2,2,2,2/3,1.5,1,1.0,0.5
339,1.5,10,6.67,6.67,6.67,6.67,12,12,0.75
340,1100,1100,1100,1100.0,1800,1800.0,900,900,1.0
341,300,300,350.00,350,350,350,330,330,1.0
342,15,15,30,30,11.68,12,35,35,0.75
343,640.8,10,37.5,12.5,80,13.33,480,7.5,0.0
344,33,33,39,39.0,22,43,34,34,0.75
345,300,300,400,400,192,192,200,200,1.0
346,1000,1000,800,800,1200,1200,1250,1250,1.0
347,26/3,18,11.67,16.0,15,15.0,6,6.0,0.5
348,1,820,1,910,1,800.0,1,960.0,0.0
349,504,1008,252,1512,1680,840,840,840,0.25
350,20,39.0,15,29.0,20,39.0,16,31.0,0.0
351,144,144,192,192,135,135,192,192.0,1.0
352,720.0,720,480.0,480,960.0,960,864.0,864,1.0
353,2600,2600,3100,3100,2700,2700,2100,2100,1.0
354,21,21,35,35,18,18,14,14,1.0
355,749.96,750,600,600,800,800.0,583.32,666.67,0.75
356,15,15,24,18,5,5,10,10,0.75
357,10.5,840.0,5,1050.0,320,560.0,120,1080.0,0.0
358,4,4,3.00,3,5.00,5,3.00,3,1.0
359,720,720,860.0,860,560,560,1840,1840,1.0
360,5,5,7,7,12.5,12.5,-5,-5,1.0
361,14,14,12,12,17.5,17.5,9,9.33,1.0
362,6.00,6,5.00,5,4.50,5.50,5.00,5.0,0.75
363,4,4,3,3,8,8,9.6,6,0.75
364,250,250,225,225,200,200,300,300,1.0
365,85,85,100,100,120,120,80,80.0,1.0
366,7,7,8.75,8.75,8.4,8.4,10.5,10.5,1.0
368,10,10,7.5,7.5,5,5,12.5,12.5,1.0
369,23,23,27,27,24,24.33,25,25,1.0
371,3600,3600.0,2400,2400.0,3000,750,4320,4320.0,0.75
372,187200.00,259200,156000,216000,259200,244800.0,187200,165600.0,0.0
374,50.0,30,220,20,40.0,20,60.0,40,0.0
375,49,43,53,47,40,48,45,45.0,0.25
376,52,52,51,51,49,49.0,54,54,1.0
377,50,50,56,56,30,40,47,46.67,0.75
378,48,13,48.75,18,45,11,45,10,0.0
379,-580,580,-600,600,680,680,-530.00,530,0.25
380,44,44,18,36,21,42,56,56,0.5
381,50,50,60,60,22,22.0,30,30,1.0
382,14,41,10,37,14,36,10,36,0.0
383,60,60,72,72,70,70,70,70,1.0
384,18000.00,6000,6000.00,6000,7000,7000,6000.00,6000,0.75
385,650.00,650,600.00,600,700.00,700,575.00,575.0,1.0
386,41,41,40,40.0,43,43,47,47,1.0
387,7,7,8,8,6,6,7,7,1.0
388,15,15,16,16,12,12.5,16,16,1.0
389,288,288,360,360,256,256,360,360,1.0
391,46,46,56.0,56.0,44.0,44,36,36.0,1.0
392,179.0,179,190.0,190,181.0,181,195.0,195.0,1.0
393,195,195,157.5,157.5,202.5,202.5,235,235,1.0
394,9,9,7.5,7.5,12,12,10.5,10.5,1.0
396,11,11,13,13,12,12,14,14,1.0
397,1,22,17,22,22,22,14,28,0.25
398,1956,2934,2400,2700,2436,2608,2400.00,3333.33,0.0
399,48,48,65536,32,24,24,27,81,0.5
400,9,9,12,12,12,12,6,6,1.0
401,504.00,504,462.00,462.0,510.30,510.3,518.40,518.4,1.0
402,5,5,3.33,3.33,3.75,3.75,8.33,8.33,1.0
403,24,24,32,32,30,30,12,36,0.75
404,300,300,250,250,360,360,240,240,1.0
405,750,5500,400,6250.0,350,5750.0,350,4400.0,0.0
406,202,202,187,187,210,210,206,206,1.0
407,720,720,1120,1120.0,880,880.0,400,400,1.0
408,1450,1450,1540,1540.0,1600,1600.0,1250.0,1250.0,1.0
409,5,5,8,8,7,7,2,2,1.0
410,100,100,130,130,105,105,80,80,1.0
411,75,75,80,80,100,100,72,72,1.0
412,3,3,2.4,2.4,2.5,2.5,3.75,3.75,1.0
413,3,9,6,6,6,6,12,12,0.75
414,20,12,10,10,23,14,18,18.0,0.5
415,45,45,55,55.0,60,60,60,60,1.0
416,134400,134400,128800,128800.0,124800,124800,122000,122500,0.75
417,6300.00,4625,1,5525,5400.00,4925,6300.00,4750.0,0.0
418,2900.0,2900,2600,2700,3000,3000,3550.0,3550,0.75
419,20,20,25,25,15,15,1500,15,0.75
420,24.00,36,45.00,45,24.00,34.67,30.00,45,0.25
421,134,134,206,206,111,111.0,128,128,1.0
422,7,7,6,6,7,7,8,8,1.0
423,25,25,20,20,35,35.0,24,24.0,1.0
424,1,310,1,295,1,373.0,1,331.0,0.0
425,70,70,44,56,50.0,50.0,85,85,0.75
426,5122.00,5122,5910.00,5910,5001.96,5000.67,4550,4550,0.75
427,91,91,70,70,71.5,71.5,52,65,0.75
428,30,30,80,20,5,10,0,20,0.25
429,96,96,64,64,120,120,120,120,1.0
430,370,370,420,420,350,350,240,326.67,0.75
431,114,114,108,108.0,107,106,116.25,117,0.75
432,1,1,20,20.0,0,0.0,0,0.0,1.0
433,12,60,90,90,50,50,12,48,0.5
434,1,240,150.00,300,240.00,360,1,192,0.0
435,36,48,56,56,44,44,45,60,0.5
436,75,75,45,90,100,100,60,60,0.75
437,8.00,8,8.00,8,6.60,6.60,7.00,7,1.0
438,50,50,60,60,37,37.5,40,40,1.0
439,1,40,1,50,1,40,1,32,0.0
440,30,30,36,36,20,20,45,45,1.0
441,15600,15600,14400,14400,18720.00,18720,19500.00,19500.0,1.0
442,140,140,96,151.0,142.5,145,112,172.0,0.25
443,65,65,50,50,80,80,60,60,1.0
444,1600,1600,1800,1800,2000,2000,1800,1800,1.0
445,6,6,7,7,7,7,7,7,1.0
447,16,16,20,20,12,12,20,20,1.0
448,70,70,85,85,52,72.0,65,65.0,0.75
449,210,210,220,220,220,220,230,230,1.0
450,28,30,28,28,31,31,32,32,0.75
451,768,768,798,798.0,620,620.0,679.5,679.5,1.0
452,420,420,350,350,432,432,630,630,1.0
453,40,40,35,35.0,38,38,34.0,34,1.0
454,5,5,0,0,10,10,0,0,1.0
455,50,50,45,45,32.5,32.5,62.5,62.5,1.0
456,18,18,16.2,16.2,20.25,20.25,20,20,1.0
457,200.00,200,275.00,275,140.00,140,150.00,150,1.0
458,4800,1680000,6000,2100000,3840,1344000,5760.00,2016000,0.0
459,18,18,20.67,20.67,17.33,17.33,13.50,13.5,1.0
460,11,11.0,10,10.0,13,13.0,15,15,1.0
461,60,60,52,52.0,54.29,54.29,58.00,58.0,1.0
462,14,14,12,12,15,15.0,12,12,1.0
463,6,6,7,7,7,7,4,4,1.0
464,20,20,20,20,26.67,13.33,24,16,0.5
465,18,18,1,18.67,1,21.6,1,21.33,0.25
466,96,81,93,93,94,79,83,83,0.5
467,10,10,10,10,15,15,15,15,1.0
468,484,484,404,404,584,584,483,488.0,0.75
469,6,6,6.67,6.67,4,4,5,5,1.0
470,16.67,50,36.36,57.14,5,41.67,4,53.85,0.0
471,240,360,220,320.0,290,434.0,230,350,0.0
472,673,673,685,685.0,676.00,676.0,655,655,1.0
473,32,32,30,30,38,38,40,40,1.0
474,100.00,100,125.00,125,80.00,80,150.00,100,0.75
475,2250,2250,1200,1800,1560,2100,1500,1500,0.5
476,225,225,180,180,235,235,220,220.0,1.0
477,840,840,1050.00,1050,825.00,825,1120,1120,1.0
478,110,110,100,100.0,130,130.0,80,104.0,0.75
479,324.00,324,432,432.0,216,216.0,96.80,360,0.75
480,113,113,143,163,143,103,133,133,0.5
481,20,20,25,25,21,21,13,13.33,1.0
482,274,274,290,290,276,276.0,257.5,255,0.75
483,24,24,100,20,16,24,22,21.6,0.5
484,1,39,38,38,4,39,38.6,39,0.5
485,44,44,38,38,55,55,51,51,1.0
486,120.0,120,180.0,180,180.0,180,112.0,112,1.0
487,0.008,100,100,900,2,256,2,100,0.0
488,20,10,24,12,20,10,8,7.5,0.25
489,0.50,1,1.00,1,1.00,1,5.00,1,0.5
490,3,3,3,3.0,4,4,5,5.0,1.0
491,11,11,12,12,13,13,10,10,1.0
492,96,96,114,114.0,80,80,92.0,92.0,1.0
493,200.0,200,240.0,240,150.0,150,300.0,300,1.0
494,7,7,8.5,8.5,9,9.0,8,8,1.0
496,20,20,21,21,23,23.0,21,21,1.0
497,6,6,8,8,9,9,4,4,1.0
498,1,1,3,3,6,6.0,0,0,1.0
499,5500,5500,4500,4500,4400,4400,11400,6000,0.75
500,9,9,10,10,4.42,8.14,10,10,0.75
