id,plaus_original,plaus_lexical,plaus_syntactic,plaus_contextual,pmean
267,5,2,5,5,4.25
268,5,2,5,5,4.25
269,5,5,4,5,4.75
270,3,3,4,3,3.25
272,4,5,1,5,3.75
273,5,1,1,3,2.5
275,5,1,5,1,3.0
276,5,5,5,5,5.0
278,5,2,5,5,4.25
280,5,5,5,5,5.0
288,1,5,5,1,3.0
290,5,2,5,1,3.25
291,1,1,1,1,1.0
292,2,5,5,5,4.25
293,3,3,3,5,3.5
294,3,5,5,1,3.5
295,5,5,5,5,5.0
296,1,5,2,5,3.25
297,2,2,1,1,1.5
299,5,5,5,3,4.5
300,1,2,5,5,3.25
301,1,1,1,3,1.5
302,1,5,3,3,3.0
304,5,5,5,3,4.5
305,1,5,3,5,3.5
307,5,5,5,5,5.0
308,1,2,1,5,2.25
313,1,1,2,1,1.25
316,5,5,5,5,5.0
318,3,3,2,5,3.25
320,2,5,1,1,2.25
322,3,5,5,5,4.5
324,5,1,1,2,2.25
325,5,5,5,5,5.0
327,5,5,5,3,4.5
328,5,1,1,1,2.0
329,5,5,5,5,5.0
330,5,5,5,5,5.0
331,2,5,5,5,4.25
333,5,5,5,1,4.0
335,5,5,5,5,5.0
337,5,5,1,5,4.0
341,5,5,5,3,4.5
343,1,1,2,2,1.5
344,3,5,5,5,4.5
345,1,3,1,1,1.5
346,5,5,4,5,4.75
349,2,3,5,3,3.25
356,5,2,5,2,3.5
358,2,5,5,5,4.25
359,3,5,5,5,4.5
360,1,5,5,2,3.25
363,1,5,1,5,3.0
364,3,5,3,2,3.25
366,1,5,3,5,3.5
368,4,5,1,2,3.0
373,5,1,5,4,3.75
375,1,1,5,1,2.0
378,3,1,2,2,2.0
379,5,1,1,5,3.0
382,5,5,5,5,5.0
383,5,5,5,5,5.0
388,1,5,4,1,2.75
389,3,1,3,1,2.0
390,1,2,1,1,1.25
392,5,5,2,5,4.25
393,5,2,3,4,3.5
394,4,5,5,5,4.75
395,1,5,1,4,2.75
396,5,5,5,5,5.0
397,1,1,1,1,1.0
399,5,5,5,3,4.5
400,2,2,2,1,1.75
401,5,3,5,2,3.75
402,2,1,3,5,2.75
403,1,1,1,5,2.0
404,2,2,2,5,2.75
405,3,2,3,1,2.25
406,3,3,1,1,2.0
407,5,5,5,1,4.0
408,5,5,5,5,5.0
411,5,2,5,2,3.5
412,2,5,5,2,3.5
413,5,5,5,5,5.0
417,1,1,1,5,2.0
418,3,1,3,5,3.0
419,2,2,2,2,2.0
421,1,1,5,2,2.25
423,1,5,5,1,3.0
426,1,3,3,1,2.0
427,5,5,5,5,5.0
428,5,1,5,5,4.0
430,5,1,3,1,2.5
432,5,4,5,1,3.75
433,1,5,5,5,4.0
435,5,2,5,5,4.25
436,1,3,5,1,2.5
437,3,3,1,3,2.5
438,5,2,5,4,4.0
440,5,5,5,5,5.0
441,2,1,2,1,1.5
443,5,5,5,2,4.25
444,5,5,5,5,5.0
446,1,5,5,1,3.0
447,5,5,5,2,4.25
449,5,5,5,5,5.0
450,2,1,5,2,2.5
451,5,1,3,3,3.0
452,2,2,2,5,2.75
453,5,5,2,5,4.25
456,3,3,3,3,3.0
457,5,5,5,4,4.75
458,1,1,2,1,1.25
463,5,5,5,5,5.0
464,1,1,3,5,2.5
465,5,5,5,5,5.0
466,2,1,1,3,1.75
467,1,5,5,1,3.0
470,1,1,1,1,1.0
473,1,3,5,5,3.5
474,3,5,5,2,3.75
475,5,5,5,1,4.0
476,2,5,1,5,3.25
477,5,5,5,5,5.0
478,2,4,5,5,4.0
479,1,3,1,1,1.5
480,5,5,5,5,5.0
481,5,2,5,5,4.25
482,1,2,1,2,1.5
483,5,2,2,4,3.25
484,1,1,1,2,1.25
485,5,5,5,2,4.25
486,5,5,5,5,5.0
490,5,5,5,5,5.0
491,5,5,2,5,4.25
493,5,5,5,2,4.25
494,5,5,5,2,4.25
495,1,1,1,2,1.25
496,5,3,3,3,3.5
497,5,5,1,5,4.0
498,5,5,2,2,3.5
500,1,5,5,5,4.0
