id,mistral_original_answer,gsm8k_original_answer,mistral_counterfactual_1_answer,gsm8k_counterfactual_1_answer,mistral_counterfactual_2_answer,gsm8k_counterfactual_2_answer,mistral_counterfactual_3_answer,gsm8k_counterfactual_3_answer,average_accuracy
215,20,20,16.67,16.67,25,25,30,30,1.0
216,11,58,11,66,10,51,14,61,0.0
217,30,30,50,40,40,40,20 20,40,0.5
218,320,320,384,384,400,400,280,280,1.0
221,12,12,12,12,8,8,9,9,1.0
222,12.50,5,15.00,6,7.50,7.5,5.00,5,0.5
223,1.94,2,2.32,3,0.14,1.41,17,1.89,0.0
224,6.5,5,5,5,6,6,4.5,4.5,0.75
225,312,624,416,832,312,936,504,936,0.0
226,136,136,152,152,124,124.0,146,146.0,1.0
228,268 2,112,28 2,84,22 2,56,14,56,0.0
229,18,27,13.07,25.2,27.6,28.8,30 30,30,0.25
230,140,220,460,180.0,250,210.0,180,300.0,0.0
233,4 175,180,4 216,216,220.0,206.67,4 163,170.0,0.25
234,12,12,16,16,12,13.5,14.4,14.4,0.75
236,8,8,5,5,10,10,10,10,1.0
239,90,110,1,106,12.5,95.0,120,80.0,0.0
240,4500,4500,6000,6000,3750,3750,3600,3600,1.0
241,10,10,10,10,10,10,11.35,11.67,0.75
242,591,266,433,216.0,90,251,285,285.0,0.25
243,72,104,96,96.0,78,78,112,112.0,0.75
244,19 10 9,9,50,10,1 1 10  1 15,2,13,14,0.25
247,27.97,16,12.94,19,16.96,15.0,14,14,0.25
248,57,57,54,56,55,55,55,57,0.5
249,1.17 14.17 3,84,112,212,3440,-52,144,144,0.25
251,50  60  55  70,295,3 30,275,4 56,310.0,3 25 3 25,290.0,0.0
252,405.05,21,1210.50,23.5,225.50,23.0,85.045,21.5,0.0
253,32,32,48,48,48 3,48,24,24,1.0
254,151200,42000,840,50400,63000,63000,6000 5,30000,0.25
255,3,3,6,6,1,1,5,5,1.0
256,4 60 50,4,75 60 45,5,60 70 50,6.86,981.35 41.3 60 55,1.52,0.25
257,29,43,43,33,35,50.0,27,41.0,0.0
258,468,468,526.20,396,321.00,465,582.00,612,0.25
260,53,53,49.50,49.5,58,58.0,57,57,1.0
262,8538 2,8900,9033.15,8992,9656,10000,9019.62,9000,0.0
264,83,83,82,82,89,89,78,78.0,1.0
265,88,88,51,69.0,27,72,96,112,0.25
267,8538 2,8900,9033.15,8992,9656,10000,9019.62,9000,0.0
269,83,83,82,82,89,89,78,78.0,1.0
270,88,88,51,69.0,27,72,96,112,0.25
271,11,10.0,30,30,400,10,300,30,0.25
272,5,5,9,8,5,5,8,8,0.75
273,4,3,3,3,3 ,3.0,2,4,0.5
274,  180,200,110,150.0,  13 25 14,180.0,60,280.0,0.0
275,72000,72000,600000,60000,90000,90000,48000,48000,0.75
276,90,90,84,84,96,96,78,78,1.0
277,20,4,40,8,60,9,33,3,0.0
278,234,234,200,200,272,272,226,226,1.0
279,4,4,4,4,5,5,4.20,4.2,1.0
280,75,75,60,60,100,100,60,60,1.0
281,13,11,19,15,16,8,15,9,0.0
282,88.33,70,240,60,100,70,180,90,0.0
283,300,700,395,750,720,720.0,200,600,0.25
285,48,48,60,60,64,64,42,42,1.0
286,320,320,330,330.0,280,280,340,340.0,1.0
289,3000,3000,2400,4000,1844,3300.0,1450,2700.0,0.25
290,100 5,100,80 5,80,100 5,100,150 5,150,1.0
292,160000,16000,12800,12800,150000,15000,200000,20000,0.25
293,190,170,190,150,210,200,140,140,0.25
294,89,79,87,87,69,59,87,87,0.5
295,35,35,30,30,42,42,20,20,1.0
297,200,100,160,80,160,80,240,120,0.0
299,12.00,12,14.65,12.65,6.45,10.5,8.50,8.5,0.5
300,80,36,24,30.0,36,44,115,45,0.0
301,115,250,3620,300,90,200,445,290.0,0.0
302,57,28,29,33,30,33.0,24,23.0,0.0
305,6400,3600,6800,3200.0,6000,4000,  10020,3800.0,0.0
306,450,300,500,400.0,204,360.0,675,450,0.0
307,28,28,33,33,27,27,26,26,1.0
308,50,25,50,31.25,16.67,40,33.33,10,0.0
309,113,55,48,48,123,61.0,82,82.0,0.5
310,20,2000,2015,2005,20,2010,15,1995,0.0
311,16,19,19,19,8,14,20,24.0,0.25
313,7070,200,220,170,350.5,210,900,250.0,0.0
316,220,220,180,200.0,154,154,330,286,0.5
317,190,90,65,65,85,95.0,70,70.0,0.5
318,210,200,198,182,189,189,227,203,0.25
321,3,60,90,90,3,48,36,72,0.25
323,23,23,26,26,28,28,21,23,0.75
325,19,19,22,22,24,24,30,30,1.0
326,27,27,30,30,30,30,29,29.0,1.0
327,13,13,12,12,12,12,11,11,1.0
328,4,4,45,3,4,4,4,4,0.75
329,8,8,10,10,6,9,4,6,0.5
330,165.00,165,198.00,198,176,176,162,162,1.0
331,300,600,300,900,250,500,240,480,0.0
332,60,61,180 400,60.0,42,58.67,38,60.6,0.0
333,72,72,70,76,72,76,70,76.0,0.25
334,4,28,3,21,4 ,32,5,30,0.0
335,15 6,15,12,12,18 6,18,12 4,12,1.0
336,36,36,34,34,14 25 39,39,35,35,1.0
339,10,10,400 6 40,6.67,5,6.67,2,12,0.25
340,5999 5999,1100,5600,1100.0,17800 17800,1800.0,700 700,900,0.0
341,300,300,350,350,350,350,330,330,1.0
342,115,15,425.50,30,108,12,45,35,0.0
343,15,10,100,12.5,27,13.33,30,7.5,0.0
344,23,33,39,39.0,43,43,34,34,0.75
346,1000,1000,800,800,1200,1200,1250,1250,1.0
347,1.8,18,59,16.0,33,15.0,8,6.0,0.0
348,4590,820,825,910,770,800.0,960,960.0,0.25
349,432,1008,1503,1512,1680,840,360,840,0.0
350,20,39.0,15,29.0,20,39.0,16,31.0,0.0
351,75,144,192,192,135,135,240,192.0,0.5
352,720,720,480,480,960,960,864,864,1.0
353,2500,2600,2450,3100,4000,2700,2000,2100,0.0
354,2 14 28,21,3 14 42,35,18,18,14 1 13,14,0.5
355,18122.84 551.1,750,8.085,600,1270.62 1.27,800.0,87930,666.67,0.0
356,15,15,18,18,10,5,10,10,0.75
357,5,840.0,10,1050.0,5 5 5 3 3 2 1 5 5 4 125,560.0,23 23,1080.0,0.0
358,0.64,4,0.12,3,20,5,0.12,3,0.0
359,496,720,790 790,860,560 560,560,1840,1840,0.5
364,270,250,225,225,200,200,300,300,0.75
365,85,85,72,100,120,120,80,80.0,0.75
369,33,23,51,27,13,24.33,35,25,0.0
371,3600,3600.0,2400,2400.0,3000,750,4320,4320.0,0.75
372,379584,259200,1234800,216000,233760,244800.0,187200,165600.0,0.0
374,202,30,240,20,130,20,140,40,0.0
375,55,43,47,47,10,48,50,45.0,0.25
376,34,52,33,51,34,49.0,34,54,0.0
379,580,580,600,600,968,680,530,530,0.75
380,5,44,44,36,7,42,32,56,0.0
382,41,41,37,37,36,36,36,36,1.0
383,60,60,72,72,70,70,70,70,1.0
384,18000,6000,6000,6000,7000,7000,6005.29,6000,0.5
385,1825.00,650,1150.00,600,700.00,700,575.00,575.0,0.5
386,37,41,36,40.0,38,43,43,47,0.0
387,7,7,6,8,6,6,6,7,0.5
388,11,15,16,16,1 2,12.5,2,16,0.25
389,1345,288,480,360,288,256,267,360,0.0
392,179,179,113,190,181,181,195,195.0,0.75
393,195,195,45  65  32.5,157.5,202.5,202.5,235,235,0.75
394,9,9,2.5,7.5,12,12,10.5,10.5,0.75
395,18 2,5,3,3,3,3.0,3,3,0.75
396,11,11,13,13,12,12,14,14,1.0
398,2934,2934,2700,2700,2604.67,2608,5333.33,3333.33,0.5
399,48 4,48,32 4,32,24,24,81,81,1.0
400,3,9,4,12,24 4 28,12,6,6,0.25
401,504,504,462,462.0,500.30,510.3,518.40,518.4,0.75
403,24 24,24,16,32,450,30,48,36,0.25
404,420,300,350,250,420,360,336,240,0.0
405,5145,5500,6290,6250.0,5150,5750.0,6570.00,4400.0,0.0
406,192,202,187,187,230,210,186,206,0.25
407,720,720,1120,1120.0,880,880.0,400,400,1.0
408,1450,1450,1540,1540.0,1600,1600.0,1250,1250.0,1.0
409,9,5,8,8,7,7,2,2,0.75
410,130 30,100,130,130,135 30,105,110 30,80,0.25
411,75,75,80,80,100,100,72,72,1.0
412,12,3,11,2.4,3 3,2.5,5,3.75,0.0
413,9 6,9,6 6,6,3.5 3 10.5,6,6 6,12,0.5
414,8,12,10,10,9,14,12,18.0,0.25
415,40,45,55,55.0,80,60,60,60,0.5
416,134400,134400,128800,128800.0,124800,124800,122500,122500,1.0
417,5255,4625,6155,5525,5555,4925,4555,4750.0,0.0
418,2930,2900,2700,2700,2640,3000,3550,3550,0.5
419,0.2,20,0.25,25,0.15,15,0.15,15,0.0
421,128,134,202,206,104,111.0,132 4 128,128,0.25
422,7,7,6,6,7,7,8,8,1.0
423,30,25,20,20,15,35.0,18 18,24.0,0.25
424,310,310,393,295,373.8,373.0,371.30,331.0,0.25
425,13 5 65,70,52,56,60,50.0,70,85,0.0
426,5176,5122,5923,5910,5153.68,5000.67,4550,4550,0.25
427,91,91,70,70,73,71.5,52,65,0.5
429,3,96,64,64,3,120,120,120,0.5
430,370,370,240 240,420,150,350,826.67 826.7,326.67,0.25
431,114,114,108,108.0,63,106,156,117,0.5
432,1,1,20,20.0,150,0.0,120,0.0,0.5
433,96,60,90,90,50,50,48,48,0.75
434,240,240,150,300,180.00,360,192,192,0.5
435,48,48,12 4,56,44,44,60 5,60,0.75
436,38 50,75,60 60,90,100,100,61,60,0.25
437,8.95 8.95  ,8,7.04,8,2.85 2.85  ,6.60,6.95 6.95  ,7,0.0
439,40,40,50.00,50,40 40,40,32.00,32,1.0
441,19520,15600,21600,14400,97056,18720,19520,19500.0,0.0
443,65,65,50,50,80,80,60,60,1.0
444,1600,1600,1800,1800,2000,2000,1800,1800,1.0
445,6,6,7,7,7,7,7,7,1.0
446,42,50,60,60,2,37.5,232,37.5,0.25
447,16,16,20,20,12,12,20,20,1.0
448,60,70,50 10 60,85,52 20  40  12,72.0,65,65.0,0.25
449,210,210,220,220,220,220,230,230,1.0
450,28,30,26,28,15,31,32,32,0.25
452,240,420,200,350,252,432,630,630,0.25
453,40,40,6 6,35.0,38,38,34 34,34,0.75
455,75,50,56,45,130,32.5,58,62.5,0.0
456,19,18,16 12,16.2,20 15,20.25,20,20,0.25
457,200,200,10,275,140,140,150,150,0.75
458,12480000,1680000,21000000,2100000,672000,1344000,2016000 2016000,2016000,0.25
460,11,11.0,12,10.0,13,13.0,18,15,0.5
462,72,14,37.2,12,37,15.0,168 14,12,0.0
463,6,6,7,7,7,7,5,4,0.75
464,16,20,30,20,27,13.33,16,16,0.25
466,105,81,83,93,86,79,91,83,0.0
467,12,10,10,10,15,15,2 7 8 2 2 15 2 15 1.5 22.5   23 7 8 2 7 8 15 15 2 15 30 45,15,0.75
468,887,484,822,404,5261165,584,553,488.0,0.0
470,42.86,50,36.36,57.14,41.67,41.67,36.84,53.85,0.25
471,360,360,240,320.0,432,434.0,360,350,0.25
472,5 3 85,673,5 4 85,685.0,676,676.0,151 47,655,0.25
473,  26,32,24,30,38,38,4.25 8,40,0.25
474,101.00,100,125.00 125.00,125,81.00,80,100.00 100.00,100,0.5
475,2250,2250,1800,1800,2100,2100,2250,1500,0.75
476,450,225,360,180,470,235,220,220.0,0.25
477,840,840,1050,1050,825,825,1120,1120,1.0
478,47,110,46,100.0,130,130.0,13,104.0,0.25
479,135,324,90,432.0,135.60,216.0,125.00,360,0.0
480,113,113,163,163,103,103,133,133,1.0
483,154,24,10,20,4,24,3,21.6,0.0
484,40,39,51,38,37,39,10,39,0.0
485,44,44,41,38,55,55,47,51,0.5
486,120,120,180,180,180,180,112.00,112,1.0
487,100,100,900,900,256,256,100,100,1.0
488,20,10,18,12,30,10,30,7.5,0.0
490,3 4,3,3,3.0,3,4,5 4,5.0,0.75
491,11,11,20,12,13,13,4,10,0.5
492,96,96,114,114.0,80,80,92,92.0,1.0
493,200,200,294 360 654,240,150,150,800,300,0.5
494,7,7,8.5,8.5,8.5,9.0,8,8,0.75
495,7,9,6,7.0,9,10,4,8,0.0
497,6,6,8,8,9,9,4,4,1.0
499,5000,5500,4000,4500,4000,4400,5400 600 9,6000,0.0
500,17.68,9,10.89,10,16.25,8.14,18.22,10,0.0
