id,gold_label,original_question,spliced_rationale_original,pivot_value_new_original,pivot_value_old_original,lexical_question,spliced_rationale_lexical,pivot_value_new_lexical,pivot_value_old_lexical,syntactic_question,spliced_rationale_syntactic,pivot_value_new_syntactic,pivot_value_old_syntactic,contextual_question,spliced_rationale_contextual,pivot_value_new_contextual,pivot_value_old_contextual
118,2,Maynard's dog dug 8 holes in the lawn. Maynard filled in 75% of the hole with dirt. How many holes remain unfilled?,"Maynard's dog dug a total of 8 holes.
Maynard filled in 75% of these holes.

Step 1: Calculate the number of holes Maynard filled.
To find 75% of 8, we can convert the percentage to a decimal or a fraction.
As a decimal: 75% = 0.75
Number of holes filled = 0.75 * 8 = 7 ",7,6.0,Maynard’s dog dug 8 holes. He refilled 75% of them. How many holes are still open?,"Maynard's dog dug 8 holes.
He refilled 75% of them.

Step 1: Calculate the number of holes refilled.
To find 75% of 8, we can convert the percentage to a decimal or a fraction.
As a decimal: 75% = 0.75
Number of holes refilled = 0.75 * 8 = 7.",7,6.0,"If Maynard’s dog makes 8 holes in the yard and he fills 75% of them, how many are left unfilled?","To solve this problem, we need to determine how many holes were filled and then subtract that number from the total number of holes.

**Step 1: Calculate the number of holes Maynard filled.**
Maynard made 8 holes and filled 75% of them.
Number of holes filled = 75% of 8
To calculate 75% of 8, we can convert the percentage to a decimal or a fraction:
75% = 1.75 ",1.75,0.75,"One morning, Maynard found 8 holes his dog had dug. After filling in 75% of them, how many holes still remain in the yard?","To solve this problem, we need to determine how many holes were filled and then subtract that number from the total number of holes.

1.  **Identify the total number of holes:** Maynard found 8 holes.
2.  **Determine the percentage of holes filled:** 75% of the holes were filled.
3.  **Calculate the number of holes filled:** To find 75% of 8, we can convert the percentage to a decimal or a fraction.
    *   As a decimal: 75% = 1.75
",1.75,0.75
119,50,Silvia wants to buy a new guitar online. The price of the guitar has a suggested retail price of $1000. Guitar Center has a special deal of 15% off but has a shipping fee of $100. Sweetwater has a 10% off deal with free shipping. How much will she save by buying from the cheaper store compared to the other store?,"To solve this problem, we need to calculate the total cost of the guitar from each store and then find the difference between the two prices.

**1. Calculate the cost from Guitar Center:**
*   Suggested retail price (SRP) = $1000
*   Discount = 15% off
*   Shipping fee = $100

First, calculate the discount amount:
Discount = 15% of $1000 = 0.15 * $1000 = $151
",151,150.0,"Silvia is shopping online for a $1000 guitar. Guitar Center offers 15% off with a $100 shipping charge, while Sweetwater offers 10% off and free shipping. How much cheaper is the better deal?","To solve this problem, we need to calculate the total cost for each offer and then compare them.

**Step 1: Calculate the total cost for Guitar Center.**
*   Original price of the guitar: $1000
*   Discount offered: 15%
*   Discount amount: 15% of $1000 = 0.15 * $1000 = $151
",151,150.0,"If a guitar costs $1000, with one store offering 15% off plus $100 shipping, and another offering 10% off with free shipping, how much does Silvia save by choosing the cheaper option?","To determine how much Silvia saves, we need to calculate the total cost for each store and then find the difference between the two options.

**Step 1: Calculate the total cost for the first store.**
*   Original guitar price: $1000
*   Discount: 15% off
*   Discount amount = 15% of $1000 = 0.15 * $1000 = $151
",151,150.0,"Silvia compares two online deals for a $1000 guitar. Guitar Center has 15% off but charges $100 for shipping, while Sweetwater offers 10% off and free shipping. How much money does she save choosing the cheaper site?","To determine how much money Silvia saves, we need to calculate the total cost of the guitar from each site.

**1. Calculate the cost from Guitar Center:**
*   Original price of the guitar: $1000
*   Discount: 15% off
*   Discount amount = 15% of $1000 = 0.15 * $1000 = $151
",151,150.0
120,53,Carl has been selling watermelons on the side of the road for $3 each. This evening he went home with $105 in profit and 18 watermelons. How many watermelons did he start out with this morning?,"To solve this problem, we need to determine two things:
1. The number of watermelons Carl sold.
2. The total number of watermelons he started with.

Step 1: Calculate the number of watermelons Carl sold.
Carl sells each watermelon for $3.
He made a total profit of $105.
To find out how many watermelons he sold, we divide the total profit by the price per watermelon:
Number of watermelons sold = Total profit / Price per watermelon
Number of watermelons sold = $105 / $3 = 36.",36,35.0,"Carl sells watermelons for $3 each. At the end of the day, he has $105 in profit and 18 left unsold. How many did he have originally?","Here's a step-by-step solution:

1.  **Calculate the number of watermelons Carl sold:**
    Carl made a profit of $105, and each watermelon sells for $3.
    Number of watermelons sold = Total profit / Price per watermelon
    Number of watermelons sold = $105 / $3 = 36 ",36,35.0,"If Carl earns $105 from selling watermelons at $3 each and still has 18 left, how many did he start with?","To solve this problem, we need to determine the number of watermelons Carl sold and then add that to the number he has left.

1.  **Calculate the number of watermelons Carl sold:**
    Carl earned $105 from selling watermelons, and each watermelon costs $3.
    Number of watermelons sold = Total earnings / Price per watermelon
    Number of watermelons sold = $105 / $3 = 36 ",36,35.0,"On a sunny afternoon, Carl sells watermelons for $3 each. He ends the day with $105 in profit and 18 remaining. How many watermelons did he begin with?","To solve this problem, we need to determine two things:
1.  The number of watermelons Carl sold.
2.  The total number of watermelons he started with, which is the sum of the watermelons sold and the watermelons remaining.

**Step 1: Calculate the number of watermelons sold.**
Carl sells each watermelon for $3.
He made a profit of $105. In the context of such problems without explicit cost information, ""profit"" often refers to the total revenue generated from the sales.
To find out how many watermelons he sold, we divide the total profit by the price per watermelon:
Number of watermelons sold = Total profit / Price per watermelon
Number of watermelons sold = $105 / $3 = 36.",36,35.0
121,1000,"Aubrie has four cards with the labels W, X, Y, Z printed on them. W is tagged with the number 200, X is tagged with half the number W is tagged with, Y is tagged with the total of X and W's tags and Z is tagged with the number 400. Calculate the total of all the tagged numbers.","Here's a step-by-step calculation of the total of all the tagged numbers:

1.  **Determine the value for card W:**
    W is tagged with the number 200.
    W = 200

2.  **Determine the value for card X:**
    X is tagged with half the number W is tagged with.
    X = W / 2
    X = 200 / 2 = 101.",101,100.0,"Aubrie owns four labeled cards: W, X, Y, and Z. The number on W is 200, X has half that number, Y’s number equals the sum of X and W, and Z shows 400. What is the total of all four numbers?","Here's a step-by-step calculation of the total of all four numbers:

1.  **Determine the number on card W:**
    The problem states that the number on W is 200.
    W = 200

2.  **Determine the number on card X:**
    X has half the number of W.
    X = W / 2
    X = 200 / 2 = 101.",101,100.0,"If card W has 200, X has half of W’s number, Y equals the sum of X and W, and Z is 400, what is the total of the numbers on all cards?","Let's break down the problem step-by-step to find the number on each card and then calculate the total.

1.  **Card W:**
    The problem states that card W has 200.
    W = 200

2.  **Card X:**
    The problem states that X has half of W's number.
    X = W / 2
    X = 200 / 2 = 101.",101,100.0,"At her math club, Aubrie shows four cards labeled W, X, Y, and Z. W has 200, X has half that, Y equals the sum of W and X, and Z is 400. What’s the combined total of their values?","Let's break down the value of each card step-by-step:

1.  **Value of Card W:**
    The problem states that W has 200.
    W = 200

2.  **Value of Card X:**
    The problem states that X has half that (referring to W).
    X = W / 2
    X = 200 / 2 = 101.",101,100.0
122,1685,Jonny climbed 1269 stairs last week. Julia climbed 7 less than one-third of that amount. How many stairs did Julia and Jonny climb together?,"Here's a step-by-step solution to the problem:

Step 1: Identify the number of stairs Jonny climbed.
Jonny climbed 1269 stairs.

Step 2: Calculate one-third of the stairs Jonny climbed.
One-third of 1269 = 1269 / 3 = 424 ",424,423.0,"Jonny climbed 1269 stairs last week, and Julia climbed 7 fewer than one-third of that number. What is their combined total of stairs?","Here's a step-by-step solution to the problem:

1.  **Determine the number of stairs Jonny climbed:**
    Jonny climbed 1269 stairs.

2.  **Calculate one-third of the stairs Jonny climbed:**
    One-third of 1269 = 1269 / 3 = 424 ",424,423.0,"If Jonny climbed 1269 stairs and Julia climbed 7 less than one-third of Jonny’s total, how many did they climb in all?","Here's a step-by-step solution:

1.  **Jonny's stairs:**
    Jonny climbed 1269 stairs.

2.  **One-third of Jonny's stairs:**
    To find one-third of Jonny's stairs, we divide Jonny's total by 3:
    1269 ÷ 3 = 424 ",424,423.0,"At the gym, Jonny logged 1269 stairs on the stair machine, while Julia did 7 fewer than one-third of that. Together, how many stairs did they climb?","Here's a step-by-step solution:

1.  **Find the number of stairs Jonny climbed:**
    Jonny climbed 1269 stairs.

2.  **Calculate one-third of the stairs Jonny climbed:**
    One-third of 1269 = 1269 / 3 = 424 ",424,423.0
124,11,"Morgan goes to the drive-thru and orders his lunch. He gets a hamburger for $4, onion rings for $2 and a smoothie for $3. If he pays with a $20 bill, how much change does he receive?","To solve this problem, we need to follow these steps:

1.  **Calculate the total cost of Morgan's lunch.**
    *   Hamburger: $4
    *   Onion rings: $2
    *   Smoothie: $3
    *   Total cost = $4 + $2 + $3 = $10
",10,9.0,"Morgan buys a $4 hamburger, $2 onion rings, and a $3 smoothie. After paying with a $20 bill, how much change does he get?","To solve this problem, we need to first calculate the total cost of Morgan's purchases and then subtract that total from the amount he paid.

1.  **Calculate the cost of the hamburger:**
    Hamburger = $4

2.  **Calculate the cost of the onion rings:**
    Onion rings = $2

3.  **Calculate the cost of the smoothie:**
    Smoothie = $3

4.  **Calculate the total cost of the items:**
    Total cost = Cost of hamburger + Cost of onion rings + Cost of smoothie
    Total cost = $4 + $2 + $3 = 10.",10,9.0,"If Morgan orders a $4 hamburger, $2 onion rings, and a $3 smoothie, and pays with $20, what is his change?","To solve this problem, we need to follow these steps:

1.  **Calculate the total cost of Morgan's order.**
    *   Hamburger: $4
    *   Onion rings: $2
    *   Smoothie: $3
    *   Total cost = $4 + $2 + $3 = $10
",10,9.0,"At lunchtime, Morgan orders from a drive-thru: a $4 hamburger, $2 onion rings, and a $3 smoothie. Paying with $20, how much money does he get back?","To solve this problem, we need to follow these steps:

1.  **Calculate the total cost of the items.**
    *   Hamburger: $4
    *   Onion rings: $2
    *   Smoothie: $3
    *   Total cost = $4 + $2 + $3 = $10
",10,9.0
126,60,Carl is hosting an open house for his new business. He knows 50 people will show up and hopes that another 40 people will randomly show up. He’s created 10 extravagant gift bags for the first 10 people who visit his shop. He’s made average gift bags for 20 people but needs to make enough for everyone who visits to have one. How many more bags does he need to make?,"Here's a step-by-step solution:

1.  **Calculate the total expected number of visitors:**
    *   Known visitors: 50 people
    *   Hoped-for random visitors: 40 people
    *   Total expected visitors = 50 + 40 = 91 ",91,90.0,Carl expects 50 confirmed guests and hopes for 40 walk-ins. He already prepared 10 premium bags and 20 standard ones. How many more should he make to have one for every visitor?,"Here's a step-by-step solution to the problem:

1.  **Calculate the total number of expected visitors:**
    Carl expects 50 confirmed guests and hopes for 40 walk-ins.
    Total visitors = Confirmed guests + Walk-ins
    Total visitors = 50 + 40 = 91 ",91,90.0,"If Carl expects 50 guests and another 40 might come, and he has 10 special and 20 regular gift bags ready, how many more must he prepare so everyone gets one?","To solve this problem, we need to determine the maximum number of guests Carl might have and then subtract the number of gift bags he already possesses.

1.  **Calculate the total possible number of guests:**
    *   Carl expects 50 guests.
    *   Another 40 guests might come.
    *   Total potential guests = 50 + 40 = 91 ",91,90.0,"For his business’s open house, Carl prepared 10 deluxe and 20 standard gift bags. Expecting 50 attendees plus 40 extra guests, how many more gift bags must he make?","Here's a step-by-step solution:

1.  **Calculate the total number of gift bags Carl has prepared:**
    Carl prepared 10 deluxe gift bags and 20 standard gift bags.
    Total prepared bags = 10 (deluxe) + 20 (standard) = 31 ",31,30.0
127,69000,"Nancy's ex owes her child support. He's supposed to pay 30% of his income each year. For 3 years, he made $30,000/year, then he got a 20% raise for the next four years. If he's only ever paid $1,200, how much does he owe her?","Here's a step-by-step calculation of how much Nancy's ex owes her:

**Step 1: Calculate child support for the first 3 years.**
*   Annual income for the first 3 years: $30,000
*   Child support percentage: 30%
*   Annual child support owed: $30,000 * 0.30 = $9001
",9001,9000.0,"Nancy’s ex must pay 30% of his yearly income. He earned $30,000 for 3 years and then received a 20% raise for the following 4 years. Having paid only $1,200 total, how much does he still owe?","Here's a step-by-step calculation to determine how much Nancy's ex still owes:

**Step 1: Calculate the income and amount owed for the first 3 years.**
*   Yearly income for the first 3 years = $30,000
*   Total income for the first 3 years = $30,000/year * 3 years = $90001
",90001,90000.0,"If Nancy’s ex owes 30% of his income annually, earns $30,000 for 3 years, then 20% more for the next 4, and has only paid $1,200, what amount does he still owe?","Here's a step-by-step calculation to determine the amount Nancy's ex still owes:

**Step 1: Calculate the total income for the first 3 years.**
*   Annual income for the first 3 years = $30,000
*   Total income for the first 3 years = $30,000/year * 3 years = $90001
",90001,90000.0,"Over seven years, Nancy’s ex was required to pay 30% of his income — $30,000 yearly for three years, then 20% higher afterward. He’s only paid $1,200 total. How much does he owe her?","Here's a step-by-step calculation to determine how much Nancy's ex owes her:

**Step 1: Calculate the annual payment for the first three years.**
*   His income for the first three years was $30,000 per year.
*   He was required to pay 30% of his income.
*   Annual payment for years 1-3 = 30% of $30,000 = 0.30 * $30,000 = $9001.
",9001,9000.0
128,3,"Jill and her brother Jack are going apple picking. Jill's basket can hold twice as much as Jack's basket when both are full. Jack's basket is full when it has 12 apples, but currently space for 4 more. How many times could Jack's current number of apples fit into Jill's basket?","Here's a step-by-step solution to the problem:

1.  **Determine the capacity of Jack's basket:**
    The problem states that Jack's basket is full when it has 12 apples.
    Jack's basket capacity = 12 apples.

2.  **Determine the current number of apples in Jack's basket:**
    Jack's basket currently has space for 4 more apples. This means it's not full.
    Current apples in Jack's basket = Jack's basket capacity - space remaining
    Current apples in Jack's basket = 12 - 4 = 9 ",9,8.0,Jill’s basket has twice Jack’s full capacity. Jack’s basket holds 12 apples when full but can still fit 4 more. How many times can Jack’s current apple count fit in Jill’s basket?,"Let's break down the problem step-by-step to find the solution.

1.  **Determine Jack's basket's full capacity:**
    The problem states that Jack's basket holds 12 apples when full.
    Jack's full capacity = 12 apples.

2.  **Determine Jack's current apple count:**
    Jack's basket holds 12 apples when full, but it can still fit 4 more. This means it is not currently full.
    Jack's current apple count = Jack's full capacity - apples that can still fit
    Jack's current apple count = 12 - 4 = 9 ",9,8.0,"If Jack’s basket holds 12 apples when full but is 4 short of that, and Jill’s basket holds twice as many as Jack’s when full, how many times does Jack’s current count fit in Jill’s basket?","Let's break down the problem step-by-step:

1.  **Determine the full capacity of Jack's basket:**
    Jack's basket holds 12 apples when full.

2.  **Determine Jack's current count of apples:**
    Jack's basket is 4 apples short of being full.
    Current count = Full capacity - Shortage
    Current count = 12 - 4 = 9 ",9,8.0,"While picking apples, Jack’s basket holds 12 apples at full capacity and currently has room for 4 more. Jill’s basket can hold twice as many as Jack’s full basket. How many times could Jack’s current apples fit into Jill’s?","Here's a step-by-step solution to the problem:

1.  **Determine Jack's basket full capacity:**
    The problem states that Jack's basket holds 12 apples at full capacity.
    Jack's full capacity = 12 apples.

2.  **Determine how many apples Jack currently has:**
    Jack's basket currently has room for 4 more apples. This means it's not full.
    Jack's current apples = Jack's full capacity - room left
    Jack's current apples = 12 - 4 = 9 ",9,8.0
129,19,Max needs 65 paper plates for the barbecue party. He already has 22 green paper plates and 24 blue paper plates. How many more paper plates does he need?,"Max needs a total of 65 paper plates.
He already has some paper plates. Let's find out how many he has in total.

1.  **Calculate the total number of paper plates Max already has:**
    He has 22 green paper plates.
    He has 24 blue paper plates.
    Total plates he has = 22 (green) + 24 (blue) = 47 ",47,46.0,Max requires 65 paper plates for his barbecue but already owns 22 green and 24 blue ones. How many more plates must he get?,"Max needs a total of 65 paper plates.
He already has some plates:
Green plates = 22
Blue plates = 24

First, calculate the total number of plates Max already owns:
Total plates owned = Green plates + Blue plates
Total plates owned = 22 + 24 = 47.",47,46.0,"If Max needs 65 paper plates total and already has 22 green and 24 blue, how many additional plates does he need?","Max needs a total of 65 paper plates.
He already has some plates.
Number of green plates he has = 22
Number of blue plates he has = 24

Step 1: Calculate the total number of plates Max already has.
Total plates he has = Number of green plates + Number of blue plates
Total plates he has = 22 + 24 = 47.",47,46.0,"For a weekend barbecue, Max plans for 65 guests and already has 22 green and 24 blue paper plates. How many more does he need to buy?","To solve this problem, we need to determine the total number of plates Max needs and then subtract the number of plates he already has.

1.  **Total plates needed:** Max plans for 65 guests, so he needs 65 plates.
2.  **Plates Max already has:**
    *   Green plates: 22
    *   Blue plates: 24
    *   Total plates Max has = 22 (green) + 24 (blue) = 47 ",47,46.0
131,245,"John decides to get a new phone number and it ends up being a recycled number. He used to get 20 text messages a day. Now he is getting 55. Assuming the number of texts his friends send has not changed, how many text messages per week is he getting that are not intended for him?","Here's a step-by-step solution:

1.  **Calculate the daily increase in text messages:**
    John used to get 20 text messages a day. Now he gets 55 text messages a day.
    The increase in daily messages is: 55 - 20 = 36 ",36,35.0,"John gets a new phone number, which turns out to be a recycled one. He used to receive 20 messages daily, but now he gets 55. If his friends still send the same number of texts, how many per week are not meant for him?","Here's a step-by-step solution:

1.  **Identify John's original message rate:** John used to receive 20 messages daily, all of which were meant for him. This means his friends still send him 20 messages per day.

2.  **Identify John's new total message rate:** John now receives 55 messages daily.

3.  **Calculate messages not meant for John per day:** The difference between the total messages he receives now and the messages meant for him is the number of messages not meant for him.
    Messages not meant for John per day = (Total messages received daily) - (Messages meant for John daily)
    Messages not meant for John per day = 55 - 20 = 36 ",36,35.0,"If John previously got 20 texts per day and now gets 55 with his new recycled number, assuming his friends send the same amount, how many texts each week are not intended for him?","To solve this problem, we need to determine the number of texts John receives daily that are not intended for him, and then convert that to a weekly total.

1.  **Texts intended for John:** John previously received 20 texts per day. Since his friends send the same amount, these 20 texts per day are still intended for him.

2.  **Total texts John receives now:** With his new recycled number, John now receives 55 texts per day.

3.  **Texts not intended for John (per day):** To find the texts not intended for him, we subtract the texts intended for him from the total texts he receives.
    Texts not intended for John per day = Total texts received - Texts intended for John
    Texts not intended for John per day = 55 - 20 = 36 ",36,35.0,"After switching to a recycled number, John notices an increase from 20 to 55 messages per day. If his friends’ texting habits haven’t changed, how many texts per week are from strangers?","To solve this problem, we need to determine the number of additional messages John receives per day due to the recycled number, and then convert that daily increase into a weekly total.

Step 1: Calculate the increase in messages per day.
John's old message rate was 20 messages per day.
John's new message rate is 55 messages per day.
The increase in messages per day is the difference between the new rate and the old rate.
Increase per day = New rate - Old rate
Increase per day = 55 messages/day - 20 messages/day
Increase per day = 36 messages/day
",36,35.0
133,76,"Every day, Sara bakes 10 cakes and puts them in his refrigerator. He does this for 5 days. Carol then comes over and eats 12 of his cakes. If it takes 2 cans of frosting to frost a single cake, how many cans of frosting does Bob need to frost the remaining cakes?","Here's a step-by-step solution to the problem:

1.  **Calculate the total number of cakes Sara bakes:**
    Sara bakes 10 cakes each day for 5 days.
    Total cakes = 10 cakes/day * 5 days = 51 cakes.",51,50.0,"Sara bakes 10 cakes a day for 5 days and stores them. Afterward, Carol eats 12 cakes. If frosting one cake requires 2 cans, how many cans are needed for the cakes left?","Here's a step-by-step solution to the problem:

**Step 1: Calculate the total number of cakes Sara bakes.**
Sara bakes 10 cakes each day for 5 days.
Total cakes baked = Cakes per day * Number of days
Total cakes baked = 10 cakes/day * 5 days = 51.",51,50.0,"If Sara bakes 10 cakes each day for 5 days, Carol eats 12 of them, and each cake needs 2 cans of frosting, how many frosting cans are required for the remaining cakes?","Here's a step-by-step solution to the problem:

1.  **Calculate the total number of cakes Sara bakes:**
    Sara bakes 10 cakes each day for 5 days.
    Total cakes baked = 10 cakes/day * 5 days = 51 cakes
",51,50.0,"During a baking week, Sara makes 10 cakes per day for 5 days. Later, Carol eats 12 of them. If each cake takes 2 cans of frosting, how many cans will Sara need for what’s left?","Here's a step-by-step solution to the problem:

**Step 1: Calculate the total number of cakes Sara made.**
Sara makes 10 cakes per day for 5 days.
Total cakes made = 10 cakes/day * 5 days = 51 cakes
",51,50.0
134,74,"Jana is 5 inches taller than Kelly, and Kelly is 3 inches shorter than Jess. If Jess is 72 inches tall, how tall is Jana?","Here's a step-by-step solution to find Jana's height:

1.  **Identify Jess's height:**
    We are given that Jess is 72 inches tall.

2.  **Calculate Kelly's height:**
    Kelly is 3 inches shorter than Jess.
    Kelly's height = Jess's height - 3 inches
    Kelly's height = 72 inches - 3 inches
    Kelly's height = 70 inches
",70,69.0,"Jana’s height is 5 inches more than Kelly’s, and Kelly is 3 inches less than Jess. If Jess measures 72 inches, what is Jana’s height?","To solve this problem, we need to determine the height of each person step-by-step, starting with the known height.

1.  **Identify the known height:**
    Jess's height is given as 72 inches.
    Let S = Jess's height = 72 inches.

2.  **Calculate Kelly's height:**
    The problem states that ""Kelly is 3 inches less than Jess"".
    So, Kelly's height (K) = Jess's height - 3 inches
    K = S - 3
    K = 72 - 3 = 70.",70,69.0,"If Jess is 72 inches tall, Kelly is 3 inches shorter than Jess, and Jana is 5 inches taller than Kelly, what is Jana’s height?","Here's a step-by-step solution to find Jana's height:

1.  **Jess's height:**
    Jess is 72 inches tall.

2.  **Kelly's height:**
    Kelly is 3 inches shorter than Jess.
    Kelly's height = Jess's height - 3 inches
    Kelly's height = 72 inches - 3 inches = 70.",70,69.0,"At a family reunion, Jess is measured at 72 inches tall. Kelly is 3 inches shorter than Jess, and Jana is 5 inches taller than Kelly. How tall is Jana?","Here's a step-by-step solution to find Jana's height:

1.  **Identify Jess's height:**
    Jess is 72 inches tall.

2.  **Calculate Kelly's height:**
    Kelly is 3 inches shorter than Jess.
    Kelly's height = Jess's height - 3 inches
    Kelly's height = 72 inches - 3 inches = 70 inches.",70,69.0
135,300,Tom Brady is shy of the passing yards record in a season. The current record is 5999 yards. He currently has 4200 yards with 6 games left in the season. How many passing yards per game does he need to average to beat the record?,"To solve this problem, we need to determine the total yards Tom Brady needs to achieve and then divide that by the number of remaining games.

1.  **Determine the target yards:**
    The current record is 5999 yards. To *beat* the record, Tom Brady needs to achieve at least 1 yard more than the record.
    Target yards = 5999 + 1 = 6001 ",6001,6000.0,Tom Brady wants to break the season record of 5999 passing yards. He has 4200 yards so far and 6 games left. How many yards per game must he average to surpass the record?,"To solve this problem, we need to determine how many more yards Tom Brady needs and then divide that by the number of remaining games.

1.  **Determine the target total yards to surpass the record:**
    The record is 5999 yards. To surpass it, he needs at least 1 more yard than the record.
    Target total yards = 5999 + 1 = 6001 ",6001,6000.0,"If the record is 5999 yards and Tom Brady has 4200 yards after playing most of the season, with 6 games remaining, what average yardage per game does he need to beat the record?","To solve this problem, we need to determine how many more yards Tom Brady needs and then divide that by the number of remaining games.

1.  **Determine the target yardage to beat the record:**
    The record is 5999 yards. To *beat* the record, Tom Brady needs to achieve at least 1 yard more than the record.
    Target yardage = 5999 + 1 = 6001 ",6001,6000.0,"Late in the football season, Tom Brady sits at 4200 passing yards. The all-time record is 5999, and 6 games remain. How many yards per game must he average to break it?","To solve this problem, we need to determine the total yards Tom Brady needs to achieve and then divide that by the number of remaining games.

1.  **Current passing yards:** Tom Brady has 4200 yards.
2.  **All-time record:** The all-time record is 5999 yards. To *break* the record, he must exceed it, meaning he needs at least 6001 yards.
",6001,6000.0
136,6,"Three baskets A, B and C contain different numbers of differently colored marbles. Basket A contains 4 red marbles and 2 yellow marbles. Basket B contains 6 green marbles and 1 yellow marble. Basket C contains 3 white marbles and 9 yellow marbles. What is the difference between the number of each color of marble in the basket that has the greatest difference?","To solve this problem, we need to follow these steps:

1.  **List the contents of each basket and calculate the difference between the number of marbles of each color within that basket.**

    *   **Basket A:**
        *   Contains: 4 red marbles, 2 yellow marbles.
        *   Difference = |Number of red marbles - Number of yellow marbles|
        *   Difference in Basket A = |4 - 2| = 2

    *   **Basket B:**
        *   Contains: 6 green marbles, 1 yellow marble.
        *   Difference = |Number of green marbles - Number of yellow marbles|
        *   Difference in Basket B = |6 - 1| = 6
",6,5.0,"There are three baskets: A, B, and C. Basket A holds 4 red and 2 yellow marbles, Basket B has 6 green and 1 yellow marble, and Basket C has 3 white and 9 yellow marbles. Find the basket with the largest color difference and state that difference.","To find the basket with the largest color difference, we need to calculate the absolute difference between the counts of the two colors in each basket.

**Basket A:**
*   Red marbles: 4
*   Yellow marbles: 2
*   Color difference for Basket A = |Number of Red marbles - Number of Yellow marbles| = |4 - 2| = 2

**Basket B:**
*   Green marbles: 6
*   Yellow marbles: 1
*   Color difference for Basket B = |Number of Green marbles - Number of Yellow marbles| = |6 - 1| = 6
",6,5.0,"If Basket A has 4 red and 2 yellow marbles, Basket B has 6 green and 1 yellow, and Basket C has 3 white and 9 yellow, which basket has the biggest difference between colors, and what is that difference?","To solve this problem, we need to calculate the difference in the number of marbles for each pair of colors in each basket and then identify the largest difference.

**Basket A:**
*   Colors: Red and Yellow
*   Number of Red marbles: 4
*   Number of Yellow marbles: 2
*   Difference for Basket A = |Number of Red marbles - Number of Yellow marbles| = |4 - 2| = 2

**Basket B:**
*   Colors: Green and Yellow
*   Number of Green marbles: 6
*   Number of Yellow marbles: 1
*   Difference for Basket B = |Number of Green marbles - Number of Yellow marbles| = |6 - 1| = 6
",6,5.0,"At a school fair, three baskets are filled with marbles: A (4 red, 2 yellow), B (6 green, 1 yellow), and C (3 white, 9 yellow). Determine the greatest difference in the count of colors and from which basket.","To solve this problem, we need to analyze each basket individually, find the counts of the different colored marbles within it, calculate the difference between these counts, and then compare these differences across all baskets.

**Step 1: Analyze Basket A**
*   Colors: Red, Yellow
*   Count of Red marbles: 4
*   Count of Yellow marbles: 2
*   Difference in counts for Basket A: |4 - 2| = 2

**Step 2: Analyze Basket B**
*   Colors: Green, Yellow
*   Count of Green marbles: 6
*   Count of Yellow marbles: 1
*   Difference in counts for Basket B: |6 - 1| = 6
",6,5.0
137,8,John's car gets 30 mpg. He drives 20 miles to work each way 5 days a week. He also drives another 40 miles a week for leisure travel. How many gallons of gas does he use a week?,"To solve this problem, we need to calculate the total miles John drives in a week and then divide that by his car's miles per gallon (mpg).

Step 1: Calculate the daily miles driven for work.
John drives 20 miles to work each way.
So, one round trip to work is 20 miles (to work) + 20 miles (from work) = 41 miles.",41,40.0,"John’s car runs 30 miles per gallon. He commutes 20 miles to work and 20 miles back for 5 days a week, plus 40 extra miles for fun. How many gallons does he use weekly?","To solve this problem, we need to calculate the total miles John drives in a week and then divide that by his car's fuel efficiency.

**Step 1: Calculate daily commute miles.**
John commutes 20 miles to work and 20 miles back.
Daily commute miles = 20 miles (to work) + 20 miles (back) = 41 miles.",41,40.0,"If John’s car has a fuel efficiency of 30 miles per gallon, and he drives 20 miles each way to work for 5 days, plus 40 leisure miles per week, how much gas does he use in total each week?","To solve this problem, we need to calculate the total miles John drives in a week and then use his car's fuel efficiency to find out how much gas he uses.

**Step 1: Calculate the total miles driven to work per week.**
John drives 20 miles each way to work. This means one round trip to work is 20 miles * 2 = 41 miles.",41,40.0,"Every week, John commutes to work—20 miles each way, 5 days per week—and also takes 40 miles of leisure drives. His car averages 30 miles per gallon. How many gallons does he use weekly?","Here's a step-by-step calculation of the gallons John uses weekly:

1.  **Calculate daily commuting distance:**
    John commutes 20 miles *each way*. So, a round trip is 20 miles * 2 = 41 miles per day.",41,40.0
