id,gold_label,truth_original_orig_correct,truth_original_nec_correct,truth_original_suff_correct,truth_original_nec_ctrl_correct,truth_original_suff_ctrl_correct,truth_lexical_orig_correct,truth_lexical_nec_correct,truth_lexical_suff_correct,truth_lexical_nec_ctrl_correct,truth_lexical_suff_ctrl_correct,truth_syntactic_orig_correct,truth_syntactic_nec_correct,truth_syntactic_suff_correct,truth_syntactic_nec_ctrl_correct,truth_syntactic_suff_ctrl_correct,truth_pragmatic_orig_correct,truth_pragmatic_nec_correct,truth_pragmatic_suff_correct,truth_pragmatic_nec_ctrl_correct,truth_pragmatic_suff_ctrl_correct
64,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,entailment,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1
66,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,entailment,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0
69,entailment,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
70,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,contradiction,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0
74,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,entailment,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
78,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,contradiction,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
80,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,entailment,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
82,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,entailment,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1
85,contradiction,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0
86,entailment,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1
87,contradiction,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
88,contradiction,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0
89,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,neutral,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
92,entailment,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0
93,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
95,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,entailment,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
99,contradiction,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
101,entailment,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0
102,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
103,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
104,entailment,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
106,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,entailment,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
108,entailment,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0
109,contradiction,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0
110,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
111,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,contradiction,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
114,contradiction,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0
117,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,entailment,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
126,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128,entailment,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
130,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,entailment,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
135,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
136,neutral,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1
137,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,entailment,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
141,entailment,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0
142,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,entailment,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
148,contradiction,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
150,entailment,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1
151,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,entailment,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
154,entailment,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0
156,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157,entailment,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1
159,entailment,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
160,entailment,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
161,entailment,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
164,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,contradiction,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
168,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,entailment,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
171,entailment,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
173,entailment,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0
174,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0
177,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
179,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,entailment,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0
181,contradiction,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
182,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,entailment,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
184,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1
185,entailment,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0
186,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
187,entailment,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0
188,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189,entailment,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0
190,entailment,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
191,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
195,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
196,entailment,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1
198,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
199,contradiction,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0
200,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
202,entailment,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
204,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
205,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
207,neutral,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
208,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209,entailment,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
210,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
212,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,entailment,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0
214,entailment,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0
215,neutral,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,contradiction,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
218,contradiction,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219,contradiction,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
220,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
223,entailment,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0
224,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
227,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0
228,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
229,contradiction,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
230,neutral,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1
231,entailment,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0
232,entailment,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0
234,contradiction,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
235,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
236,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
237,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
238,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
242,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
247,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
249,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0
250,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,entailment,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0
252,contradiction,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0
253,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
255,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,entailment,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1
258,contradiction,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1
259,contradiction,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
260,entailment,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0
261,entailment,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0
262,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
263,neutral,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1
264,contradiction,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0
265,contradiction,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
267,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
269,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,neutral,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
271,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,contradiction,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0
274,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
275,contradiction,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0
276,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
277,contradiction,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
279,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
280,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
281,neutral,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
282,entailment,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1
284,entailment,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1
285,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
286,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
288,contradiction,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
289,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
290,neutral,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1
291,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
294,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,entailment,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0
297,contradiction,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
298,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
299,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
300,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
301,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
302,neutral,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1
305,contradiction,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1
306,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
307,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
308,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,entailment,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0
312,neutral,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1
314,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
315,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
316,contradiction,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0
318,contradiction,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0
319,contradiction,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0
320,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
321,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
322,contradiction,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0
323,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,contradiction,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0
327,contradiction,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
328,entailment,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0
329,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
330,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
332,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
333,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
334,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
339,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
340,entailment,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
341,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
342,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,entailment,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0
345,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
346,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
347,contradiction,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1
348,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
351,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
352,contradiction,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
356,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
357,contradiction,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
358,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,entailment,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0
362,contradiction,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
365,entailment,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
366,entailment,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
367,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
368,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0
