id,premise_text,evidence_original,evidence_lexical,evidence_syntactic,evidence_pragmatic
25,A person with a bag walking in a big city.,"[""A person with a bag walking in a big city""]","[""A person"", ""with a bag"", ""walking"", ""in a big city""]","[""A person with a bag walking in a big city""]","[""A person with a bag walking in a big city""]"
26,14 men standing on a stairway outside almost all wearing the same shirt.,"[""men standing on a stairway"", ""wearing the same shirt""]","[""men standing on a stairway"", ""wearing the same shirt""]","[""men standing on a stairway"", ""wearing the same shirt""]","[""men standing"", ""on a stairway"", ""almost all wearing the same shirt""]"
27,Two children walking down a path in the woods.,"[""children"", ""walking"", ""in the woods""]","[""in the woods""]","[""children"", ""woods""]","[""in the woods""]"
28,Young people are playing in the snow while an older person seems to be taking pictures.,"[""Young people"", ""playing"", ""in the snow""]","[""Young people"", ""playing"", ""in the snow""]","[""Young people"", ""are playing"", ""in the snow""]","[""Young people are playing in the snow""]"
29,Person in blue jacket on a bike on a dirt course with people looking from behind a red and white barrier.,"[""Person in blue jacket on a bike"", ""dirt course"", ""people looking"", ""behind a red and white barrier""]","[""Person"", ""on a bike"", ""on a dirt course"", ""people looking"", ""from behind a red and white barrier""]","[""Person in blue jacket"", ""on a bike"", ""on a dirt course"", ""people looking from behind a red and white barrier""]","[""Person in blue jacket on a bike on a dirt course"", ""people looking from behind a red and white barrier""]"
30,A band is practicing their routine.,"[""practicing"", ""their routine""]","[""practicing"", ""their routine""]","[""A band"", ""practicing their routine""]","[""A band"", ""is practicing their routine""]"
31,A laboratory worker making a phone call.,"[""laboratory worker"", ""making a phone call""]","[""laboratory worker"", ""making a phone call""]","[""laboratory worker"", ""making a phone call""]","[""laboratory worker"", ""making a phone call""]"
32,A man in a yellow shirt is on a roof hammering in shingles.,"[""on a roof"", ""hammering in shingles""]","[""A man"", ""on a roof"", ""hammering in shingles""]","[""A man"", ""on a roof"", ""hammering in shingles""]","[""man"", ""on a roof"", ""hammering in shingles""]"
33,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,"[""Three"", ""women"", ""lean against a metal fence"", ""staring to the left""]","[""Three brown-haired women"", ""lean against a metal fence"", ""staring to the left""]","[""Three brown-haired women"", ""lean against a metal fence"", ""staring to the left""]","[""Three brown-haired women"", ""lean against a metal fence"", ""staring to the left""]"
34,Man on a motorcycle performing a trick high in the air.,"[""motorcycle""]","[""Man"", ""on a motorcycle"", ""performing a trick"", ""high in the air""]","[""Man"", ""motorcycle"", ""performing a trick"", ""high in the air""]","[""Man on a motorcycle performing a trick""]"
35,Two dogs playing in a yard.,"[""in a yard""]","[""in a yard""]","[""in a yard""]","[""in a yard""]"
36,"A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.","[""man"", ""plays"", ""bagpipes""]","[""man"", ""plays"", ""bagpipes""]","[""man"", ""plays"", ""bagpipes""]","[""man"", ""plays bagpipes""]"
37,A guy wearing protective pants is carving an owl on a perch out of wood using a chainsaw.,"[""protective pants""]","[""protective pants"", ""carving"", ""chainsaw""]","[""A guy"", ""protective pants"", ""carving an owl""]","[""protective pants""]"
38,A man in orange is demonstrating the use of a peeler.,"[""man in orange"", ""demonstrating the use of a peeler""]","[""A man in orange"", ""demonstrating the use of a peeler""]","[""man in orange"", ""demonstrating the use of a peeler""]","[""man"", ""demonstrating the use of a peeler""]"
39,A guy in a blue polo shirt and shorts addresses an audience in an auditorium.,"[""A guy"", ""addresses an audience"", ""in an auditorium""]","[""A guy"", ""addresses an audience"", ""in an auditorium""]","[""A guy"", ""addresses an audience"", ""in an auditorium""]","[""A guy"", ""addresses an audience"", ""in an auditorium""]"
41,A young girl stands barefoot on a driveway and uses a hula-hoop.,"[""young girl"", ""hula-hoop""]","[""hula-hoop""]","[""a hula-hoop""]","[""hula-hoop""]"
42,Shirtless men in their underwear are running with a blond in red underwear.,"[""Shirtless men"", ""in their underwear"", ""running"", ""a blond"", ""in red underwear""]","[""Shirtless men"", ""underwear"", ""running"", ""blond"", ""red underwear""]","[""Shirtless men in their underwear"", ""a blond in red underwear"", ""running""]","[""Shirtless men"", ""in their underwear"", ""running"", ""a blond"", ""in red underwear""]"
44,A native person doing a dance.,"[""native"", ""person"", ""doing"", ""a"", ""dance""]","[""native person"", ""doing a dance""]","[""person"", ""doing a dance""]","[""native person"", ""doing a dance""]"
45,A person in a red hat is walking past a building that is in need of a paint job.,"[""A person"", ""walking"", ""past a building""]","[""walking past a building""]","[""A person"", ""walking"", ""past a building"", ""in need of a paint job""]","[""A person"", ""walking"", ""past a building""]"
46,A man is laughing with his hand up in the air and a little boy is watching him and laughing.,"[""A man"", ""laughing"", ""his hand up in the air"", ""a little boy"", ""watching him""]","[""man"", ""laughing"", ""hand up in the air"", ""boy"", ""watching him""]","[""a little boy is watching him and laughing""]","[""a little boy"", ""is watching him and laughing""]"
48,A mountain biker is jumping his bike over a rock as another cyclist stands on the trail watching.,"[""mountain biker"", ""jumping his bike"", ""another cyclist"", ""on the trail"", ""watching""]","[""mountain biker"", ""cyclist stands on the trail watching""]","[""mountain biker"", ""bike"", ""trail""]","[""mountain biker"", ""jumping his bike"", ""over a rock"", ""another cyclist"", ""stands on the trail"", ""watching""]"
50,Young skateboarding boy flips his board while performing a stunt.,"[""skateboarding boy"", ""flips his board"", ""performing a stunt""]","[""performing a stunt""]","[""skateboarding boy"", ""stunt""]","[""skateboarding boy"", ""flips his board"", ""performing a stunt""]"
51,five hikers walk down the hillside.,"[""five hikers walk down the hillside""]","[""hikers"", ""walk down the hillside""]","[""five hikers walk down the hillside""]","[""five hikers walk down the hillside""]"
52,Toe women sitting on the concrete ledge of a graffiti covered wall.,"[""sitting"", ""concrete ledge"", ""graffiti covered wall""]","[""women sitting on the concrete ledge"", ""graffiti covered wall""]","[""women sitting"", ""concrete ledge"", ""graffiti covered wall""]","[""women sitting on the concrete ledge"", ""wall""]"
53,A man plays an acoustic guitar on a subway platform.,"[""plays an acoustic guitar""]","[""plays an acoustic guitar""]","[""plays an acoustic guitar""]","[""A man"", ""plays an acoustic guitar""]"
54,Man in black shirt holding a short-haired woman.,"[""Man in black shirt"", ""holding"", ""short-haired woman""]","[""Man"", ""black shirt"", ""holding"", ""woman""]","[""Man"", ""black shirt"", ""holding"", ""short-haired woman""]","[""Man"", ""in black shirt"", ""holding"", ""a short-haired woman""]"
55,Woman in blue shirt blowing very large bubble,"[""Woman"", ""blowing"", ""very large bubble""]","[""Woman"", ""blowing very large bubble""]","[""Woman in blue shirt"", ""blowing very large bubble""]","[""Woman"", ""blowing"", ""very large bubble""]"
56,A black and white dog looks at a man about to throw something.,"[""dog"", ""man"", ""about to throw something""]","[""dog"", ""looks at"", ""a man"", ""about to throw something""]","[""dog"", ""looks at a man"", ""about to throw something""]","[""dog"", ""looks at"", ""a man"", ""about to throw something""]"
58,A young boy in a black jacket is running towards a woman with outstretched arms.,"[""outstretched arms""]","[""outstretched arms""]","[""A young boy"", ""running towards a woman"", ""with outstretched arms""]","[""running towards a woman"", ""with outstretched arms""]"
59,A small dog and a large dog with a rope in its mouth.,"[""dog"", ""a rope""]","[""dog"", ""dog"", ""rope""]","[""dog"", ""dog"", ""rope""]","[""dog"", ""rope"", ""in its mouth""]"
63,Group of men in blue shirts drying off a red car at a car wash.,"[""men in blue shirts""]","[""drying off""]","[""men"", ""drying off"", ""a red car"", ""at a car wash"", ""blue shirts""]","[""men"", ""blue shirts""]"
64,Three guys sitting at the table together drinking beers and taking pictures.,"[""drinking beers""]","[""drinking beers""]","[""drinking beers""]","[""drinking beers""]"
65,three people standing on the side of a snowy grassy hill,"[""three people"", ""standing"", ""hill""]","[""three people"", ""standing"", ""snowy grassy hill""]","[""three people standing"", ""hill""]","[""three people"", ""standing"", ""hill""]"
66,A woman realigns her sock in a messy park.,"[""realigns her sock"", ""in a messy park""]","[""realigns her sock""]","[""A woman realigns her sock"", ""in a messy park""]","[""A woman"", ""realigns her sock""]"
67,Children and adults in bright colored clothes are dancing.,"[""Children and adults"", ""dancing""]","[""dancing""]","[""Children and adults"", ""bright colored clothes"", ""dancing""]","[""dancing"", ""bright colored clothes""]"
68,A dog playing in the grass.,"[""dog"", ""playing"", ""in the grass""]","[""dog"", ""playing"", ""in the grass""]","[""A dog"", ""playing"", ""in the grass""]","[""dog"", ""playing"", ""in the grass""]"
69,A man wearing a green shirt is trying to comfort his crying child by holding the child and giving him a kiss on the cheek.,"[""A man"", ""crying child"", ""holding the child""]","[""A man"", ""comfort"", ""crying child"", ""holding the child"", ""kiss on the cheek""]","[""holding the child""]","[""man"", ""crying child"", ""holding the child""]"
70,Three people on a boat are laughing and smiling.,"[""Three people on a boat"", ""laughing and smiling""]","[""laughing and smiling""]","[""laughing and smiling""]","[""Three people"", ""on a boat"", ""laughing and smiling""]"
71,Man is laying down on red lounge chair.,"[""Man"", ""laying down"", ""lounge chair""]","[""laying down"", ""lounge chair""]","[""laying down"", ""lounge chair""]","[""Man"", ""laying down"", ""lounge chair""]"
74,A woman organizing lettuce in a market.,"[""woman"", ""organizing"", ""lettuce""]","[""woman""]","[""woman"", ""organizing"", ""lettuce""]","[""woman"", ""organizing lettuce""]"
75,A hitter is swinging a bat at a baseball during a game while the catcher and umpire look on.,"[""hitter"", ""swinging a bat"", ""baseball""]","[""A hitter"", ""swinging a bat"", ""at a baseball""]","[""A hitter is swinging a bat at a baseball""]","[""hitter is swinging a bat at a baseball"", ""umpire look on""]"
77,A boy and a girl playing on the beach.,"[""on the beach""]","[""playing on the beach""]","[""the beach""]","[""on the beach""]"
78,A little boy splashing in a blue inflatable pool.,"[""splashing""]","[""splashing""]","[""A little boy"", ""splashing"", ""in a blue inflatable pool""]","[""A little boy"", ""splashing"", ""in a blue inflatable pool""]"
79,The person wearing earrings is wearing a feathered hat.,"[""wearing earrings""]","[""wearing earrings"", ""feathered hat""]","[""earrings""]","[""wearing earrings""]"
80,A young man walks through Grand Central Station with his shadow cast by the light cascading down from the windows behind.,"[""young man"", ""walks through"", ""Grand Central Station""]","[""A young man"", ""walks through"", ""Grand Central Station""]","[""A young man"", ""walks through"", ""Grand Central Station""]","[""A young man walks"", ""with his shadow"", ""Grand Central Station""]"
81,A man is swinging on a rope over water.,"[""swinging on a rope""]","[""swinging on a rope""]","[""A man"", ""is swinging""]","[""man"", ""swinging""]"
82,A young woman rests her head on a man's shoulder.,"[""rests her head on a man's shoulder""]","[""rests her head on a man's shoulder""]","[""rests her head on a man's shoulder""]","[""woman"", ""rests her head on"", ""man's shoulder""]"
83,A crane operates amidst piles of rubble.,"[""A crane"", ""operates"", ""amidst piles of rubble""]","[""A crane operates amidst piles of rubble""]","[""crane operates amidst piles of rubble""]","[""crane"", ""piles of rubble""]"
84,A woman is grating cheese.,"[""A woman is grating cheese.""]","[""A woman"", ""grating"", ""cheese""]","[""woman"", ""grating cheese""]",[]
85,The boy in the red shirt is holding a rock.,"[""red shirt"", ""holding a rock""]","[""red shirt"", ""holding a rock""]","[""red shirt""]","[""red shirt"", ""holding a rock""]"
86,A kicker launches the football forward while the holder checks his fingers.,"[""kicker"", ""launches the football forward""]","[""launches the football forward""]","[""A kicker"", ""launches the football forward""]","[""kicker"", ""launches the football forward""]"
87,A man with tattoos and the Confederate flag is standing with his hands in his pants pockets.,"[""tattoos""]","[""tattoos""]","[""tattoos"", ""the Confederate flag""]","[""tattoos"", ""the Confederate flag""]"
88,Two women are standing in the snow looking towards a tower with a orange cone shaped light.,"[""women are standing in the snow"", ""looking towards a tower""]","[""standing in the snow""]","[""women are standing in the snow"", ""looking towards a tower""]","[""women are standing in the snow"", ""looking towards a tower""]"
89,Children playing on a playground.,"[""Children"", ""playing"", ""on a playground""]","[""playing"", ""on a playground""]","[""Children"", ""playing"", ""on a playground""]","[""Children playing on a playground""]"
90,A man in a tuxedo plays a brass instrument in accompaniment with a female piano player.,"[""A man in a tuxedo"", ""plays a brass instrument"", ""a female piano player""]","[""A man in a tuxedo"", ""plays a brass instrument"", ""a female piano player""]","[""man in a tuxedo"", ""plays a brass instrument"", ""in accompaniment with a female piano player""]","[""man in a tuxedo"", ""plays a brass instrument"", ""female piano player""]"
91,A woman wearing a red blouse and a short is standing looking far ahead,"[""looking far ahead""]","[""looking far ahead""]","[""looking far ahead""]","[""looking far ahead""]"
92,Three people are being silly in the woods.,"[""Three people"", ""in the woods""]","[""woods""]","[""Three people"", ""in the woods""]","[""Three people"", ""in the woods""]"
93,a young man wearing a blue striped shirt standing in front of a floral patterened couch,"[""a young man"", ""standing in front of"", ""couch""]","[""young man"", ""standing in front of"", ""couch""]","[""young man"", ""standing in front of"", ""couch""]","[""young man"", ""standing in front of"", ""couch""]"
95,A man standing on a green post watching a train go by.,"[""train""]","[""watching a train""]","[""train""]","[""watching a train""]"
97,A baseball player in mid-swing.,"[""in mid-swing""]","[""in mid-swing""]","[""in mid-swing""]","[""in mid-swing""]"
99,five little boys playing soccer.,"[""playing soccer""]","[""playing soccer""]","[""playing soccer""]","[""playing soccer""]"
101,The teenagers are fighting over a basketball during a game.,"[""teenagers"", ""fighting over a basketball"", ""game""]","[""teenagers"", ""fighting over a basketball during a game""]","[""teenagers"", ""basketball"", ""game""]","[""teenagers"", ""fighting over a basketball during a game""]"
102,A boy getting his hair buzzed off by another boy.,"[""A boy getting his hair buzzed off by another boy""]","[""getting his hair buzzed off""]","[""A boy"", ""getting his hair buzzed off"", ""by another boy""]","[""A boy getting his hair buzzed off by another boy""]"
103,A man with stretched earlobes wearing a black hat stands in front of a display of food for sale.,"[""A man"", ""stands"", ""in front of a display of food""]","[""man"", ""stands in front of"", ""display of food for sale""]","[""A man"", ""stands"", ""in front of"", ""a display of food""]","[""A man"", ""stands in front of"", ""a display of food""]"
104,Man in an orange shirt with tattoos walking two large poodles.,"[""orange shirt""]","[""orange shirt""]","[""orange shirt""]","[""orange shirt""]"
106,two women are sitting on a park bench talking to each other.,"[""two women"", ""on a park bench"", ""talking to each other""]","[""two women"", ""sitting"", ""park bench"", ""talking""]","[""two women"", ""sitting"", ""on a park bench"", ""talking to each other""]","[""two women"", ""park bench"", ""talking to each other""]"
107,A male on Rollerblades skating down a railing next to stairs.,"[""skating down a railing""]","[""male"", ""on Rollerblades"", ""skating down a railing""]","[""male"", ""skating down a railing""]","[""Rollerblades"", ""skating down a railing""]"
108,Young boy with a white shirt and jeans singing into a microphone with three other boys in the background.,"[""Young boy"", ""singing""]","[""singing""]","[""Young boy"", ""singing"", ""microphone""]","[""Young boy"", ""singing into a microphone""]"
109,"Three people, two males and a female, are sitting in front of a tall tree on the ground during a rest from a hike.","[""two males"", ""a female""]","[""two males and a female""]","[""two males and a female""]","[""two males"", ""a female""]"
110,A man wearing an Alaska sweatshirt and a baseball cap is buying lottery tickets.,"[""lottery tickets""]","[""lottery tickets""]","[""A man"", ""is buying"", ""lottery tickets""]","[""lottery tickets""]"
111,A woman with long dark hair sitting with her legs crossed.,"[""A woman with long dark hair"", ""sitting with her legs crossed""]","[""A woman with long dark hair"", ""sitting with her legs crossed""]","[""A woman"", ""long dark hair"", ""sitting with her legs crossed""]","[""A woman"", ""long dark hair"", ""sitting with her legs crossed""]"
112,"Kite surfers are surfing in a shipping harbor on a clear windy day, in the background is a snowcapped mountain.","[""Kite surfers""]","[""Kite surfers""]","[""Kite surfers""]","[""Kite surfers""]"
114,One dog with an object in its mouth is met by another dog nearby a fence.,"[""One dog"", ""with an object in its mouth"", ""another dog"", ""nearby a fence""]","[""One dog"", ""with an object in its mouth"", ""another dog"", ""nearby a fence""]","[""dog"", ""object in its mouth"", ""nearby a fence""]","[""with an object in its mouth"", ""nearby a fence""]"
117,An older lady in a black shirt is adding ingredients to a KitchenAid mixing bowl as a crowd looks on.,"[""adding ingredients"", ""KitchenAid mixing bowl""]","[""adding ingredients"", ""KitchenAid mixing bowl""]","[""older lady"", ""adding ingredients"", ""KitchenAid mixing bowl""]","[""older lady"", ""adding ingredients"", ""KitchenAid mixing bowl""]"
119,Two women with stethoscopes and a man with a blue hairnet on working tedious over an unknown object or person.,"[""stethoscopes""]","[""stethoscopes""]","[""Two women with stethoscopes"", ""a man with a blue hairnet""]","[""Two women with stethoscopes""]"
120,Hispanic man holding a very large basket while standing in the street.,"[""holding a very large basket""]","[""man holding a very large basket"", ""in the street""]","[""man"", ""holding a very large basket"", ""the street""]","[""man"", ""holding a very large basket"", ""in the street""]"
122,A woman is looking on the food she kept in the glass box.,"[""looking on the food""]","[""A woman"", ""looking on the food""]","[""looking on the food""]","[""looking on the food""]"
123,"A group of people are standing outside at a carnival, near a ride called the Green Jungle.","[""people"", ""standing"", ""near a ride""]","[""standing"", ""near a ride""]","[""people"", ""standing"", ""near a ride""]","[""standing"", ""near a ride""]"
124,A young girl sitting on a small chair surrounded by what looks like handmade fabrics and bags.,"[""A young girl"", ""sitting"", ""handmade fabrics and bags""]","[""A young girl"", ""sitting"", ""surrounded by"", ""handmade fabrics and bags""]","[""sitting"", ""surrounded by what looks like handmade fabrics and bags""]","[""young girl"", ""fabrics"", ""bags""]"
125,Two women are standing in the snow looking towards a tower with a orange cone shaped light.,"[""tower"", ""orange cone shaped light"", ""looking towards""]","[""women"", ""looking towards a tower"", ""orange cone shaped light""]","[""tower"", ""orange cone shaped light""]","[""a tower"", ""orange cone shaped light""]"
126,Female performers wearing white stage makeup and costumes with a dark background.,"[""performers"", ""white stage makeup"", ""costumes"", ""dark background""]","[""Female performers"", ""wearing white stage makeup and costumes"", ""dark background""]","[""Female performers"", ""wearing white stage makeup and costumes"", ""dark background""]","[""Female performers"", ""white stage makeup"", ""costumes"", ""dark background""]"
127,Walkers at an event in a park.,"[""Walkers"", ""at an event"", ""in a park""]","[""Walkers"", ""at an event"", ""in a park""]","[""Walkers"", ""event"", ""park""]","[""Walkers"", ""at an event"", ""in a park""]"
128,Two people making funny faces at each other.,"[""making funny faces at each other""]","[""making funny faces"", ""at each other""]","[""making funny faces"", ""at each other""]","[""making funny faces at each other""]"
130,A man standing in the water.,"[""man"", ""standing"", ""in the water""]","[""A man standing in the water"", ""water""]","[""in the water""]","[""the water""]"
131,A woman wearing a black coat and sunglasses is standing in front of a man walking away with a backpack.,"[""wearing a black coat"", ""sunglasses"", ""with a backpack""]","[""wearing a black coat and sunglasses"", ""walking away with a backpack""]","[""wearing a black coat and sunglasses"", ""with a backpack""]","[""wearing a black coat and sunglasses"", ""with a backpack""]"
132,A little boy is playing on a playground rocking toy.,"[""A little boy"", ""is playing"", ""playground rocking toy""]","[""A little boy"", ""playing"", ""on a playground rocking toy""]","[""a little boy"", ""is playing"", ""on a playground rocking toy""]","[""little boy"", ""playing"", ""playground"", ""rocking toy""]"
133,A man plays guitar in an outside theater.,"[""plays guitar in an outside theater""]","[""man"", ""plays guitar"", ""outside theater""]","[""plays guitar"", ""an outside theater""]","[""plays guitar"", ""in an outside theater""]"
134,A woman stands on the curb next to a busy street.,"[""A woman"", ""stands on the curb next to a busy street""]","[""A woman"", ""stands"", ""on the curb next to a busy street""]",[],"[""on the curb"", ""next to a busy street""]"
135,Two men in a kitchen holding an object.,"[""holding an object""]","[""holding an object""]","[""Two men"", ""in a kitchen"", ""holding an object""]","[""Two men"", ""in a kitchen"", ""holding an object""]"
136,"Runners, some in costume, in a St Paddy's day Marathon run in the streets as people watch.","[""Runners"", ""St Paddy's day Marathon"", ""people watch""]","[""Runners"", ""St Paddy's day Marathon"", ""run""]","[""Runners"", ""St Paddy's day Marathon"", ""run""]","[""Runners"", ""St Paddy's day Marathon"", ""run"", ""people watch""]"
137,People look upon a monument where a speed is being given.,"[""monument""]","[""monument""]","[""People look upon a monument""]","[""monument""]"
138,Two people converse in the middle of beautiful apartment buildings.,"[""Two people"", ""converse"", ""in the middle of"", ""beautiful apartment buildings""]","[""Two people converse"", ""apartment buildings""]","[""Two people"", ""converse"", ""in the middle of beautiful apartment buildings""]","[""Two people"", ""converse"", ""in the middle of"", ""apartment buildings""]"
141,A man watching as one woman in a brown coat is talking to another woman in a gray coat.,"[""one woman"", ""talking to"", ""another woman""]","[""one woman"", ""talking"", ""another woman""]","[""one woman"", ""talking to"", ""another woman""]","[""one woman"", ""talking to"", ""another woman""]"
142,"Two children, a boy and a girl, running across the dirt.","[""a boy and a girl"", ""running""]","[""Two children"", ""a boy and a girl"", ""running""]","[""a boy and a girl"", ""running""]","[""Two children"", ""a boy"", ""a girl""]"
143,A man in a green jacket plays a clown-themed carnival game while others watch.,"[""plays a clown-themed carnival game""]","[""plays a clown-themed carnival game""]","[""A man"", ""plays"", ""a clown-themed carnival game"", ""others watch""]","[""A man"", ""plays"", ""a clown-themed carnival game""]"
144,A boy poses for a picture and in the background a man is hanging by a rope.,"[""a man is hanging by a rope""]","[""in the background"", ""a man"", ""hanging by a rope""]","[""a man is hanging by a rope""]","[""a man is hanging by a rope""]"
146,Young brown children watching something on the internet.,"[""Young"", ""brown"", ""children"", ""watching something on the internet""]","[""Young brown children"", ""watching something on the internet""]","[""Young brown children watching something on the internet""]","[""Young brown children"", ""watching something on the internet""]"
148,A man with a tool belt talks to another man in a basement.,"[""in a basement""]","[""basement""]","[""basement""]","[""in a basement""]"
150,Two women sitting down next to a river.,"[""Two women"", ""sitting down next to a river""]","[""Two women"", ""sitting"", ""next to"", ""river""]","[""Two women"", ""next to a river""]","[""Two women"", ""sitting down"", ""next to a river""]"
151,A woman is excited and about to pop a bottle of wine as a young boy stands behind her looking quite anxious.,"[""A woman"", ""young boy"", ""looking quite anxious""]","[""boy"", ""anxious""]","[""anxious""]","[""looking quite anxious""]"
152,a young male playing with bubbled outside of a business,"[""a young male"", ""playing with bubbled""]","[""young male"", ""playing with bubbled""]","[""a young male"", ""playing with bubbled"", ""outside of a business""]","[""a young male"", ""playing with bubbled""]"
154,A bellhop is pushing a cart.,"[""bellhop"", ""pushing a cart""]","[""bellhop"", ""pushing a cart""]","[""bellhop"", ""pushing a cart""]","[""bellhop"", ""pushing a cart""]"
156,Five guys burying themselves in the sand with a dog behind them.,"[""a dog""]","[""a dog""]","[""a dog"", ""behind them""]","[""dog""]"
157,Man on skis attempting to jump over a snow pile,"[""on skis""]","[""Man"", ""on skis""]","[""Man"", ""on skis"", ""attempting to jump over a snow pile""]","[""Man"", ""on skis""]"
159,A balding man sits on the sidewalk leaned against a bunch of woven blankets.,"[""man"", ""sits"", ""on the sidewalk""]","[""man"", ""sits"", ""on the sidewalk""]","[""man"", ""sits"", ""on the sidewalk""]","[""man"", ""sits"", ""on the sidewalk""]"
