id,premise_text,evidence_original,evidence_lexical,evidence_syntactic,evidence_pragmatic
17,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat by the pool.,"[""by the pool"", ""holding hands""]","[""by the pool""]","[""by the pool"", ""holding hands""]","[""by the pool"", ""holding hands""]"
18,two man in the army with a small boy from the area.,"[""two man in the army"", ""a small boy""]","[""in the army"", ""boy"", ""with a small boy""]","[""two man"", ""in the army"", ""a small boy""]","[""two man"", ""in the army"", ""a small boy""]"
19,A street vendor sitting on a sidewalk with eggs and live chickens.,"[""sitting""]","[""sitting""]","[""A street vendor"", ""sitting""]","[""sitting""]"
20,A man painted in gold with cycle stands in the street.,"[""in the street"", ""painted in gold""]","[""painted in gold"", ""stands in the street""]","[""in the street""]","[""in the street""]"
21,"With a beautiful blue sky and green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear waters carry something white.","[""man in blue shorts and a blue shirt"", ""wades through the shallow, clear waters"", ""beautiful blue sky and green mountains in the background""]","[""a man"", ""blue shorts and a blue shirt"", ""green mountains in the background"", ""beautiful blue sky""]","[""a man"", ""blue shorts and a blue shirt"", ""wades through the shallow, clear waters"", ""green mountains"", ""in the background""]","[""a man in blue shorts and a blue shirt"", ""wades through the shallow, clear waters"", ""beautiful blue sky and green mountains in the background""]"
22,A large crowd of people are walking.,"[""are walking""]","[""walking""]","[""large crowd"", ""walking""]","[""walking""]"
23,Two elderly people sit in handicapped chairs on a train.,"[""Two elderly people"", ""on a train""]","[""Two elderly people"", ""on a train""]","[""on a train""]","[""on a train""]"
24,A woman cuts a cake while the woman next to her holds out a plate.,"[""cuts a cake"", ""holds out a plate""]","[""cuts a cake"", ""holds out a plate""]","[""cuts a cake"", ""holds out a plate""]","[""cuts a cake"", ""holds out a plate""]"
25,A person with a bag walking in a big city.,"[""person"", ""bag"", ""walking""]","[""bag"", ""walking""]","[""walking"", ""with a bag""]","[""A person"", ""with a bag"", ""walking""]"
26,14 men standing on a stairway outside almost all wearing the same shirt.,"[""standing""]","[""standing"", ""almost all wearing the same shirt""]","[""standing""]","[""standing on a stairway"", ""wearing the same shirt""]"
27,Two children walking down a path in the woods.,"[""children"", ""woods""]","[""in the woods""]","[""Two children"", ""woods""]","[""in the woods""]"
28,Young people are playing in the snow while an older person seems to be taking pictures.,"[""playing in the snow""]","[""playing in the snow""]","[""playing in the snow""]","[""Young people are playing in the snow""]"
29,Person in blue jacket on a bike on a dirt course with people looking from behind a red and white barrier.,"[""Person"", ""looking""]","[""Person""]","[""Person""]","[""Person"", ""on a bike"", ""people looking""]"
30,A band is practicing their routine.,"[""practicing their routine""]","[""practicing"", ""their routine""]","[""practicing""]","[""practicing their routine""]"
31,A laboratory worker making a phone call.,"[""laboratory worker"", ""making a phone call""]","[""A laboratory worker"", ""making a phone call""]","[""worker"", ""making a phone call""]","[""making a phone call"", ""A laboratory worker""]"
32,A man in a yellow shirt is on a roof hammering in shingles.,"[""A man"", ""on a roof"", ""hammering in shingles""]","[""hammering in shingles""]","[""on a roof"", ""hammering in shingles""]","[""man"", ""on a roof"", ""hammering in shingles""]"
33,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,"[""staring to the left""]","[""lean against"", ""metal fence"", ""staring to the left""]","[""lean against a metal fence"", ""staring to the left""]","[""staring to the left""]"
34,Man on a motorcycle performing a trick high in the air.,"[""motorcycle""]","[""motorcycle""]","[""motorcycle""]","[""a motorcycle""]"
35,Two dogs playing in a yard.,"[""dogs"", ""in a yard""]","[""in a yard""]","[""in a yard""]","[""in a yard""]"
36,"A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.","[""man"", ""plays"", ""bagpipes""]","[""man"", ""plays bagpipes""]","[""man"", ""plays"", ""bagpipes""]","[""man"", ""plays bagpipes""]"
37,A guy wearing protective pants is carving an owl on a perch out of wood using a chainsaw.,"[""guy"", ""protective pants""]","[""guy"", ""carving"", ""protective pants""]","[""A guy"", ""carving an owl"", ""protective pants""]","[""protective pants""]"
38,A man in orange is demonstrating the use of a peeler.,"[""man"", ""demonstrating the use of a peeler""]","[""A man"", ""demonstrating the use of a peeler""]","[""man"", ""in orange"", ""demonstrating the use of a peeler""]","[""A man"", ""demonstrating the use of a peeler""]"
39,A guy in a blue polo shirt and shorts addresses an audience in an auditorium.,"[""A guy"", ""addresses an audience""]","[""A guy"", ""addresses an audience""]","[""A guy"", ""addresses an audience"", ""in an auditorium""]","[""addresses an audience""]"
41,A young girl stands barefoot on a driveway and uses a hula-hoop.,"[""a hula-hoop"", ""uses a hula-hoop""]","[""uses a hula-hoop""]","[""hula-hoop""]","[""hula-hoop"", ""uses""]"
42,Shirtless men in their underwear are running with a blond in red underwear.,"[""running""]","[""men"", ""underwear"", ""running"", ""blond"", ""shirtless""]","[""running""]","[""Shirtless men"", ""in their underwear"", ""running"", ""a blond"", ""in red underwear""]"
44,A native person doing a dance.,"[""native person"", ""doing a dance""]","[""native person"", ""doing a dance""]","[""person"", ""doing a dance""]","[""native person"", ""doing a dance""]"
45,A person in a red hat is walking past a building that is in need of a paint job.,"[""A person"", ""walking"", ""past a building""]","[""walking past a building""]","[""person"", ""walking"", ""walking past a building""]","[""person"", ""walking"", ""past a building""]"
46,A man is laughing with his hand up in the air and a little boy is watching him and laughing.,"[""a little boy"", ""watching him"", ""laughing""]","[""a little boy is watching him and laughing""]","[""A man is laughing with his hand up in the air and a little boy is watching him and laughing.""]","[""a little boy is watching him and laughing""]"
48,A mountain biker is jumping his bike over a rock as another cyclist stands on the trail watching.,"[""mountain biker"", ""bike"", ""jumping"", ""cyclist"", ""stands""]","[""mountain biker"", ""bike"", ""jumping"", ""cyclist"", ""stands"", ""watching""]","[""mountain biker"", ""rock"", ""cyclist"", ""trail""]","[""mountain biker"", ""cyclist"", ""trail""]"
50,Young skateboarding boy flips his board while performing a stunt.,"[""skateboarding boy"", ""performing a stunt""]","[""performing a stunt""]","[""skateboarding boy"", ""performing a stunt""]","[""skateboarding boy"", ""performing a stunt""]"
51,five hikers walk down the hillside.,"[""five hikers walk down the hillside""]","[""hikers"", ""walk down"", ""hillside""]","[""five hikers"", ""walk down"", ""the hillside""]","[""five hikers walk down the hillside""]"
52,Toe women sitting on the concrete ledge of a graffiti covered wall.,"[""sitting on the concrete ledge""]","[""on the concrete ledge of a graffiti covered wall""]","[""on the concrete ledge""]","[""sitting on the concrete ledge""]"
53,A man plays an acoustic guitar on a subway platform.,"[""plays an acoustic guitar""]","[""plays an acoustic guitar""]","[""A man"", ""plays an acoustic guitar""]","[""plays an acoustic guitar""]"
54,Man in black shirt holding a short-haired woman.,"[""Man"", ""shirt"", ""holding"", ""woman""]","[""Man"", ""black shirt"", ""holding"", ""woman""]","[""Man"", ""holding"", ""woman""]","[""Man"", ""black shirt"", ""holding"", ""short-haired woman""]"
55,Woman in blue shirt blowing very large bubble,"[""Woman in blue shirt"", ""blowing very large bubble""]","[""blowing"", ""bubble""]","[""Woman"", ""blowing"", ""bubble""]","[""Woman"", ""blowing"", ""bubble""]"
56,A black and white dog looks at a man about to throw something.,"[""dog"", ""looks at"", ""a man"", ""about to throw something""]","[""dog"", ""looks at"", ""man"", ""about to throw something""]","[""dog"", ""looks at"", ""man"", ""about to throw something""]","[""dog"", ""looks at a man"", ""about to throw something""]"
58,A young boy in a black jacket is running towards a woman with outstretched arms.,"[""outstretched arms""]","[""outstretched arms""]","[""outstretched arms""]","[""outstretched arms""]"
59,A small dog and a large dog with a rope in its mouth.,"[""small dog"", ""large dog"", ""rope"", ""in its mouth""]","[""A small dog"", ""a large dog"", ""with a rope in its mouth""]","[""dog"", ""rope""]","[""dog"", ""dog""]"
63,Group of men in blue shirts drying off a red car at a car wash.,"[""blue shirts""]","[""blue shirts""]","[""men in blue shirts""]","[""blue shirts""]"
64,Three guys sitting at the table together drinking beers and taking pictures.,"[""drinking beers""]","[""drinking beers""]","[""drinking beers""]","[""drinking beers""]"
65,three people standing on the side of a snowy grassy hill,"[""on the side of a snowy grassy hill""]","[""three"", ""people"", ""standing"", ""hill""]","[""three people"", ""standing"", ""on the side of a snowy grassy hill""]","[""three people"", ""standing"", ""on the side of a snowy grassy hill""]"
66,A woman realigns her sock in a messy park.,"[""realigns her sock""]","[""realigns her sock""]","[""realigns her sock""]","[""realigns her sock""]"
67,Children and adults in bright colored clothes are dancing.,"[""dancing""]","[""dancing"", ""bright colored clothes""]","[""Children and adults"", ""dancing""]","[""Children and adults"", ""bright colored clothes"", ""dancing""]"
68,A dog playing in the grass.,"[""dog"", ""playing"", ""in the grass""]","[""dog"", ""playing"", ""in the grass""]","[""dog"", ""playing in the grass""]","[""dog"", ""playing"", ""in the grass""]"
69,A man wearing a green shirt is trying to comfort his crying child by holding the child and giving him a kiss on the cheek.,"[""crying child"", ""A man"", ""holding the child""]","[""crying child"", ""holding the child""]","[""crying"", ""holding the child""]","[""man"", ""holding"", ""crying child""]"
70,Three people on a boat are laughing and smiling.,"[""laughing"", ""smiling""]","[""laughing and smiling""]","[""laughing and smiling""]","[""laughing and smiling""]"
71,Man is laying down on red lounge chair.,"[""red lounge chair""]","[""on red lounge chair""]","[""red lounge chair""]","[""on red lounge chair""]"
74,A woman organizing lettuce in a market.,"[""woman"", ""organizing lettuce""]","[""A woman"", ""organizing lettuce in a market""]","[""A woman"", ""organizing lettuce""]","[""A woman"", ""organizing lettuce""]"
75,A hitter is swinging a bat at a baseball during a game while the catcher and umpire look on.,"[""swinging a bat at a baseball""]","[""swinging a bat at a baseball""]","[""swinging a bat at a baseball""]","[""hitter"", ""swinging a bat at a baseball""]"
77,A boy and a girl playing on the beach.,"[""the beach""]","[""beach""]","[""the beach""]","[""beach""]"
78,A little boy splashing in a blue inflatable pool.,"[""splashing""]","[""splashing""]","[""splashing""]","[""splashing""]"
79,The person wearing earrings is wearing a feathered hat.,"[""wearing earrings""]","[""wearing earrings""]","[""wearing earrings"", ""is wearing a feathered hat""]","[""wearing earrings""]"
80,A young man walks through Grand Central Station with his shadow cast by the light cascading down from the windows behind.,"[""walks"", ""Grand Central Station""]","[""walks through Grand Central Station""]","[""A young man"", ""walks through"", ""Grand Central Station""]","[""walks through"", ""Grand Central Station""]"
81,A man is swinging on a rope over water.,"[""A man is swinging""]","[""swinging""]","[""man"", ""is swinging""]","[""is swinging""]"
82,A young woman rests her head on a man's shoulder.,"[""rests her head on a man's shoulder""]","[""rests her head on a man's shoulder""]","[""rests her head on a man's shoulder""]","[""rests her head on a man's shoulder""]"
83,A crane operates amidst piles of rubble.,"[""crane"", ""operates"", ""piles of rubble""]","[""crane"", ""piles of rubble""]","[""A crane operates amidst piles of rubble""]","[""crane"", ""piles of rubble""]"
84,A woman is grating cheese.,"[""A woman is grating cheese.""]","[""woman"", ""grating cheese""]","[""A woman"", ""is grating"", ""cheese""]","[""A woman is grating cheese""]"
85,The boy in the red shirt is holding a rock.,"[""red shirt""]","[""red shirt""]","[""red shirt""]","[""red shirt""]"
86,A kicker launches the football forward while the holder checks his fingers.,"[""kicker"", ""launches the football forward""]","[""kicker"", ""launches the football forward""]","[""A kicker"", ""launches the football""]","[""kicker launches the football forward""]"
87,A man with tattoos and the Confederate flag is standing with his hands in his pants pockets.,"[""tattoos"", ""Confederate flag""]","[""tattoos"", ""the Confederate flag""]","[""tattoos"", ""the Confederate flag""]","[""tattoos""]"
88,Two women are standing in the snow looking towards a tower with a orange cone shaped light.,"[""standing in the snow""]","[""in the snow""]","[""in the snow""]","[""standing in the snow""]"
89,Children playing on a playground.,"[""playing on a playground""]","[""playing"", ""on a playground""]","[""playing"", ""playground""]","[""playing on a playground""]"
90,A man in a tuxedo plays a brass instrument in accompaniment with a female piano player.,"[""A man in a tuxedo"", ""brass instrument"", ""piano"", ""in accompaniment with a female piano player""]","[""a man in a tuxedo"", ""a brass instrument"", ""in accompaniment"", ""a female piano player""]","[""a tuxedo"", ""a brass instrument"", ""a female piano player""]","[""A man"", ""a brass instrument"", ""female piano player""]"
91,A woman wearing a red blouse and a short is standing looking far ahead,"[""looking far ahead""]","[""looking far ahead""]","[""looking far ahead""]","[""looking far ahead""]"
92,Three people are being silly in the woods.,"[""Three people"", ""in the woods""]","[""Three"", ""people"", ""woods""]","[""Three people"", ""in the woods""]","[""Three people"", ""in the woods""]"
93,a young man wearing a blue striped shirt standing in front of a floral patterened couch,"[""young man"", ""standing in front of"", ""couch""]","[""young man"", ""standing in front of"", ""couch""]","[""young man"", ""standing"", ""in front of"", ""floral patterened couch""]","[""young man"", ""standing"", ""in front of"", ""couch""]"
95,A man standing on a green post watching a train go by.,"[""train""]","[""watching a train""]","[""train""]","[""watching a train""]"
97,A baseball player in mid-swing.,"[""mid-swing""]","[""in mid-swing""]","[""in mid-swing""]","[""in mid-swing""]"
99,five little boys playing soccer.,"[""playing soccer""]","[""playing soccer""]","[""playing soccer""]","[""playing soccer""]"
101,The teenagers are fighting over a basketball during a game.,"[""teenagers"", ""basketball"", ""a game""]","[""teenagers"", ""fighting over a basketball during a game""]","[""teenagers"", ""fighting over a basketball during a game""]","[""teenagers"", ""basketball"", ""game""]"
102,A boy getting his hair buzzed off by another boy.,"[""getting his hair buzzed off""]","[""getting his hair buzzed off""]","[""getting his hair buzzed off""]","[""A boy"", ""getting his hair buzzed off""]"
103,A man with stretched earlobes wearing a black hat stands in front of a display of food for sale.,"[""A man"", ""stands"", ""in front of"", ""a display of food""]","[""man"", ""stands in front of"", ""a display of food for sale""]","[""A man"", ""stands"", ""in front of a display of food""]","[""A man"", ""stands"", ""in front of a display of food""]"
104,Man in an orange shirt with tattoos walking two large poodles.,"[""orange shirt""]","[""orange shirt""]","[""in an orange shirt""]","[""orange shirt""]"
106,two women are sitting on a park bench talking to each other.,"[""two women""]","[""two women"", ""sitting on a park bench talking to each other""]","[""two women"", ""sitting on a park bench"", ""talking to each other""]","[""two women"", ""are sitting on a park bench talking to each other""]"
107,A male on Rollerblades skating down a railing next to stairs.,"[""male"", ""Rollerblades"", ""skating down a railing""]","[""male"", ""Rollerblades"", ""skating down a railing""]","[""male"", ""skating down a railing""]","[""skating down a railing""]"
108,Young boy with a white shirt and jeans singing into a microphone with three other boys in the background.,"[""Young boy"", ""singing""]","[""Young boy"", ""singing""]","[""Young boy"", ""singing""]","[""singing into a microphone""]"
109,"Three people, two males and a female, are sitting in front of a tall tree on the ground during a rest from a hike.","[""Three people"", ""two males"", ""a female""]","[""a female""]","[""two males and a female""]","[""Three people"", ""a female""]"
110,A man wearing an Alaska sweatshirt and a baseball cap is buying lottery tickets.,"[""is buying lottery tickets""]","[""lottery tickets""]","[""lottery tickets""]","[""A man wearing an Alaska sweatshirt and a baseball cap"", ""buying lottery tickets""]"
111,A woman with long dark hair sitting with her legs crossed.,"[""sitting with her legs crossed""]","[""sitting with her legs crossed""]","[""sitting with her legs crossed""]","[""sitting with her legs crossed""]"
112,"Kite surfers are surfing in a shipping harbor on a clear windy day, in the background is a snowcapped mountain.","[""Kite surfers""]","[""Kite surfers""]","[""Kite surfers""]","[""Kite surfers""]"
114,One dog with an object in its mouth is met by another dog nearby a fence.,"[""an object in its mouth"", ""is met by"", ""nearby a fence""]","[""One dog"", ""with an object in its mouth"", ""is met by"", ""another dog"", ""a fence""]","[""with an object in its mouth"", ""is met by another dog""]","[""with an object in its mouth"", ""is met""]"
117,An older lady in a black shirt is adding ingredients to a KitchenAid mixing bowl as a crowd looks on.,"[""adding ingredients"", ""mixing bowl""]","[""adding ingredients to a KitchenAid mixing bowl""]","[""An older lady"", ""adding ingredients"", ""KitchenAid mixing bowl""]","[""adding ingredients to a KitchenAid mixing bowl""]"
119,Two women with stethoscopes and a man with a blue hairnet on working tedious over an unknown object or person.,"[""Two women"", ""stethoscopes"", ""working tedious over an unknown object or person""]","[""Two women"", ""stethoscopes"", ""working""]","[""stethoscopes"", ""working tedious""]","[""Two women"", ""stethoscopes"", ""working tedious""]"
120,Hispanic man holding a very large basket while standing in the street.,"[""holding a very large basket"", ""standing in the street""]","[""holding a very large basket""]","[""holding a very large basket""]","[""holding a very large basket""]"
122,A woman is looking on the food she kept in the glass box.,"[""looking on""]","[""looking""]","[""looking""]","[""looking on""]"
123,"A group of people are standing outside at a carnival, near a ride called the Green Jungle.","[""standing"", ""near a ride""]","[""standing"", ""near a ride""]","[""near a ride""]","[""standing"", ""near a ride""]"
124,A young girl sitting on a small chair surrounded by what looks like handmade fabrics and bags.,"[""sitting"", ""surrounded by what looks like handmade fabrics and bags""]","[""A young girl"", ""sitting"", ""surrounded by"", ""handmade fabrics and bags""]","[""sitting"", ""surrounded by"", ""handmade fabrics and bags""]","[""sitting"", ""surrounded by"", ""fabrics""]"
125,Two women are standing in the snow looking towards a tower with a orange cone shaped light.,"[""tower with a orange cone shaped light""]","[""a tower"", ""a orange cone shaped light""]","[""tower"", ""orange cone shaped light""]","[""a tower"", ""a orange cone shaped light""]"
126,Female performers wearing white stage makeup and costumes with a dark background.,"[""Female performers"", ""wearing white stage makeup and costumes with a dark background""]","[""Female performers"", ""wearing white stage makeup and costumes"", ""with a dark background""]","[""Female performers"", ""white stage makeup"", ""costumes"", ""dark background""]","[""Female performers"", ""white stage makeup and costumes with a dark background""]"
127,Walkers at an event in a park.,"[""Walkers"", ""at an event""]","[""Walkers"", ""event"", ""park""]","[""Walkers"", ""event"", ""park""]","[""Walkers"", ""at an event"", ""in a park""]"
128,Two people making funny faces at each other.,"[""at each other""]","[""at each other""]","[""at each other""]","[""making funny faces at each other""]"
130,A man standing in the water.,"[""water""]","[""standing in the water"", ""water""]","[""standing in the water""]","[""standing in the water""]"
131,A woman wearing a black coat and sunglasses is standing in front of a man walking away with a backpack.,"[""wearing a black coat and sunglasses"", ""walking away with a backpack""]","[""wearing a black coat"", ""walking away with a backpack""]","[""woman"", ""wearing a black coat"", ""man"", ""with a backpack""]","[""wearing a black coat"", ""walking away with a backpack""]"
132,A little boy is playing on a playground rocking toy.,"[""A little boy"", ""playing on a playground rocking toy""]","[""A little boy"", ""playing on a playground rocking toy""]","[""little boy"", ""playing"", ""playground""]","[""little boy"", ""playing"", ""playground rocking toy""]"
133,A man plays guitar in an outside theater.,"[""plays guitar"", ""in an outside theater""]","[""plays guitar"", ""outside theater""]","[""plays guitar"", ""in an outside theater""]","[""plays guitar"", ""in an outside theater""]"
134,A woman stands on the curb next to a busy street.,"[""A woman stands on the curb next to a busy street""]","[""stands on the curb next to a busy street""]","[""A woman"", ""stands on the curb"", ""next to a busy street""]","[""A woman"", ""stands"", ""on the curb next to a busy street""]"
135,Two men in a kitchen holding an object.,"[""Two men"", ""in a kitchen"", ""holding an object""]","[""men"", ""in a kitchen"", ""holding an object""]","[""Two men"", ""in a kitchen"", ""holding an object""]","[""holding an object"", ""in a kitchen""]"
136,"Runners, some in costume, in a St Paddy's day Marathon run in the streets as people watch.","[""Runners"", ""St Paddy's day Marathon run""]","[""Runners"", ""Marathon run""]","[""Runners"", ""Marathon""]","[""Runners"", ""Marathon run""]"
137,People look upon a monument where a speed is being given.,"[""People"", ""monument""]","[""monument""]","[""People"", ""monument""]","[""a monument""]"
138,Two people converse in the middle of beautiful apartment buildings.,"[""Two people"", ""converse"", ""in the middle of beautiful apartment buildings""]","[""Two"", ""people"", ""converse"", ""in the middle of"", ""apartment buildings""]","[""Two people"", ""converse"", ""in the middle of beautiful apartment buildings""]","[""Two people"", ""converse"", ""in the middle of beautiful apartment buildings""]"
141,A man watching as one woman in a brown coat is talking to another woman in a gray coat.,"[""one woman"", ""is talking to"", ""another woman""]","[""one woman"", ""is talking to"", ""another woman""]","[""one woman"", ""talking to another woman""]","[""one woman"", ""another woman"", ""is talking""]"
142,"Two children, a boy and a girl, running across the dirt.","[""a boy"", ""a girl""]","[""Two children"", ""a boy and a girl""]","[""a boy"", ""a girl""]","[""boy"", ""girl""]"
143,A man in a green jacket plays a clown-themed carnival game while others watch.,"[""plays a clown-themed carnival game""]","[""plays a clown-themed carnival game""]","[""plays a clown-themed carnival game""]","[""plays a clown-themed carnival game""]"
144,A boy poses for a picture and in the background a man is hanging by a rope.,"[""hanging by a rope""]","[""hanging by a rope""]","[""hanging by a rope""]","[""a man is hanging by a rope""]"
146,Young brown children watching something on the internet.,"[""Young children"", ""watching something on the internet""]","[""Young"", ""brown"", ""children"", ""watching"", ""something on the internet""]","[""Young brown children"", ""watching"", ""something on the internet""]","[""Young brown children watching something on the internet""]"
148,A man with a tool belt talks to another man in a basement.,"[""basement""]","[""in a basement""]","[""in a basement""]","[""in a basement""]"
150,Two women sitting down next to a river.,"[""Two women"", ""sitting down"", ""next to a river""]","[""women"", ""next to"", ""river""]","[""next to a river""]","[""Two women"", ""sitting"", ""next to a river""]"
151,A woman is excited and about to pop a bottle of wine as a young boy stands behind her looking quite anxious.,"[""stands behind her"", ""anxious""]","[""anxious""]","[""excited"", ""about to pop a bottle of wine"", ""stands behind her"", ""looking quite anxious""]","[""a young boy"", ""anxious""]"
152,a young male playing with bubbled outside of a business,"[""playing with bubbled""]","[""young male"", ""playing"", ""bubbled""]","[""a young male"", ""playing with bubbled""]","[""playing with bubbled""]"
154,A bellhop is pushing a cart.,"[""bellhop"", ""pushing"", ""cart""]","[""bellhop"", ""pushing"", ""cart""]","[""bellhop"", ""pushing"", ""cart""]","[""bellhop"", ""cart""]"
156,Five guys burying themselves in the sand with a dog behind them.,"[""a dog""]","[""guys"", ""a dog""]","[""a dog""]","[""a dog""]"
157,Man on skis attempting to jump over a snow pile,"[""on skis"", ""attempting to jump over a snow pile""]","[""Man"", ""on skis"", ""attempting to jump""]","[""Man"", ""on skis"", ""attempting to jump over a snow pile""]","[""on skis"", ""attempting to jump""]"
159,A balding man sits on the sidewalk leaned against a bunch of woven blankets.,"[""sits""]","[""sits"", ""on the sidewalk""]","[""sits"", ""on the sidewalk""]","[""sits""]"
160,A vietnamese man driving a tractor through a dirt ravine while a woman rides on the back.,"[""man driving a tractor""]","[""driving"", ""tractor""]","[""man"", ""driving a tractor""]","[""driving a tractor""]"
161,Drummers march down the street past onlookers.,"[""march down the street""]","[""down the street""]","[""street""]","[""march down the street""]"
164,Truck driver driving a eighteen wheeler truck.,"[""Truck driver"", ""driving a eighteen wheeler truck""]","[""Truck driver""]","[""Truck driver"", ""driving""]","[""Truck driver""]"
165,The child has his mouth open and is surrounded by adults dancing.,"[""mouth open"", ""surrounded by adults dancing""]","[""mouth open""]","[""mouth open"", ""adults dancing""]","[""mouth open""]"
167,We see a shot of a Korean historical drama with a man in bright red and yellow costume is in the foreground.,"[""in bright red and yellow costume""]","[""man"", ""in bright red and yellow costume""]","[""in bright red and yellow costume""]","[""costume""]"
168,People are checking out at target.,"[""checking out"", ""at target""]","[""checking out"", ""at target""]","[""People"", ""checking out"", ""at target""]","[""checking out"", ""at target""]"
169,A motorcyclist speeds down the road.,"[""road""]","[""road""]","[""road""]","[""road""]"
170,A man with a beard& glasses is sleeping on public transportation while wearing a funny cap.,"[""man"", ""sleeping"", ""on public transportation""]","[""sleeping"", ""public transportation""]","[""man"", ""is sleeping"", ""public transportation""]","[""is sleeping"", ""public transportation""]"
171,A baseball player swings at an oncoming ball while the catcher gets ready and the umpire looks on.,"[""baseball player"", ""swings at an oncoming ball"", ""catcher"", ""umpire""]","[""baseball player"", ""swings at an oncoming ball"", ""catcher"", ""umpire""]","[""baseball player"", ""swings at an oncoming ball"", ""catcher"", ""umpire""]","[""A baseball player"", ""swings at an oncoming ball"", ""the catcher"", ""the umpire""]"
173,"Eleven people gather in lake, group on left are male and conversing, group on right, male and female, walking further out into lake.","[""in lake""]","[""in lake"", ""walking further out into lake""]","[""in lake""]","[""in lake"", ""walking further out into lake""]"
174,A group of men finish a fund raising run for Haiti in 28:24.,"[""run"", ""28:24""]","[""28:24""]","[""run"", ""28:24""]","[""28:24""]"
175,Three guys sitting on a sandy beach near the water and one is talking to the two little girls.,"[""Three guys"", ""sitting on a sandy beach"", ""near the water""]","[""guys"", ""sitting"", ""sandy beach near the water""]","[""guys"", ""sitting"", ""on a sandy beach"", ""near the water""]","[""sitting""]"
177,Two young barefooted girls are climbing an old lava flow with their father and mother following close behind.,"[""girls"", ""father"", ""mother"", ""climbing"", ""old lava flow""]","[""girls"", ""father and mother"", ""climbing"", ""lava flow""]","[""girls"", ""father"", ""mother"", ""climbing"", ""old lava flow""]","[""girls"", ""father"", ""mother"", ""old lava flow"", ""climbing""]"
179,Two girls are carrying a shoe each in their hands while walking down the road wearing a sports costume.,"[""Two girls"", ""carrying a shoe"", ""walking down the road"", ""wearing a sports costume""]","[""Two girls"", ""carrying a shoe each in their hands"", ""walking down the road"", ""wearing a sports costume""]","[""Two girls"", ""carrying a shoe"", ""walking down the road"", ""wearing a sports costume""]","[""Two girls"", ""down the road""]"
