id,gold_label,original_question,spliced_rationale_original,pivot_value_new_original,pivot_value_old_original,lexical_question,spliced_rationale_lexical,pivot_value_new_lexical,pivot_value_old_lexical,syntactic_question,spliced_rationale_syntactic,pivot_value_new_syntactic,pivot_value_old_syntactic,contextual_question,spliced_rationale_contextual,pivot_value_new_contextual,pivot_value_old_contextual
53,920,"There were students from three different schools taking part in a debate organized by the town's mayor on a stage. The first school had twice as many students as the second school, and the second school had 40 more students than the third school. If the third school had 200 students, and after the debate was over, every student shook the mayor's hand, calculate the total number of students who shook the mayor's hand on the stage.","Step 1: We know that the third school had 200 students.

Step 2: The second school had 40 more students than the third school, so the second school had 200 + 40 = 241 ",241,240.0,"At a town debate hosted by the mayor, students from three schools participated. The first school had twice the number of students as the second, which had 40 more students than the third. If the third school had 200 students, how many total students shook the mayor’s hand after the debate?","Step 1: Let's denote the number of students in the second school as x.
Step 2: According to the problem, the first school has 2x students.
Step 3: The third school has 200 students, so the second school has x = 200 - 40 = 197 ",197,196.0,"If the third school has 200 students, the second has 40 more, and the first has twice as many as the second, how many students in total participated and shook the mayor’s hand?","Step 1: Find the number of students in the first school.
Since the first school has twice as many students as the second, and the second school has 40 more students than the third, which has 200 students, we can set up the following equation:

First School = 2 * (Second School)

We know that the second school has 40 more students than the third, so:

Second School = Third School + 40

Substitute the value of the second school into the first equation:

First School = 2 * (Third School + 40)

Solve for the first school:

First School = 2 * (200 + 40 = 241).",241,240.0,"During a debate event organized by the mayor, students from three schools took part. The third school had 200 students, the second had 40 more, and the first had twice that of the second. How many students greeted the mayor afterward?","Step 1: Identify the number of students in each school.
The third school had 200 students.
The second school had 40 more students than the third, so the second school had 200 + 40 = 241 ",241,240.0
55,6,"Chrystal’s vehicle speed is 30 miles per hour. Ascending the mountain decreases its speed by fifty percent, and descending the mountain increases its speed by twenty percent. If the distance going to the top of the mountain is 60 miles and the distance going down to the foot of the mountain is 72 miles, how many hours will Crystal have to pass the whole mountain?","Step 1: Find the speed of the vehicle going up the mountain.
The speed going up the mountain is the original speed decreased by fifty percent:
Speed up = Original speed * (1 - Percentage decrease)
Speed up = 30 mph * (1 - 0.5)
Speed up = 30 mph * 0.5 = 16.",16,15.0,"Chrystal drives at 30 miles per hour normally. When climbing a mountain, her speed drops by 50%, and when descending, it rises by 20%. If it’s 60 miles to the top and 72 miles back down, how long does the full trip take?","Step 1: Calculate the speed up the mountain.
Speed up = Normal speed * (1 - Descent percentage)
Speed up = 30 mph * (1 - 1.5)
",1.5,0.5,"If Chrystal’s vehicle speed is 30 mph, cut in half going uphill and increased by 20% going downhill, and she drives 60 miles up and 72 miles down, how many hours will she take in total?","Step 1: Find the speed uphill and downhill.
Uphill speed = 30 mph / 2 = 16 mph
",16,15.0,"On a weekend trip, Chrystal drives 60 miles up a mountain and 72 miles down. Her normal speed is 30 mph, but uphill she goes 50% slower and downhill 20% faster. How long will the trip take?","Step 1: Calculate the distance Chrystal drives in total.
Total distance = Distance up + Distance down
Total distance = 60 miles + 72 miles = 133.",133,132.0
56,322,Mark has kangaroos and goats. Kangaroos have two legs and goats have four legs. If he has 23 kangaroos and three times as many goats as kangaroos what is the total number of legs of all his animals?,"Step 1: Find the number of goats.
Since he has three times as many goats as kangaroos, the number of goats is 3 * kangaroos = 3 * 23 = 70.",70,69.0,"Mark owns kangaroos and goats. Kangaroos each have 2 legs, while goats have 4. He has 23 kangaroos and three times more goats than kangaroos. How many legs are there in total?","Step 1: Find the number of goats.
Since Mark has three times more goats than kangaroos, the number of goats is 3 * Number of kangaroos = 3 * 23 = 70.",70,69.0,"If Mark keeps 23 kangaroos and three times that number of goats, with kangaroos having 2 legs and goats having 4, what is the total number of legs?","Step 1: Find the number of goats.
Since Mark keeps three times the number of kangaroos for goats, we have:
Number of goats = 3 * Number of kangaroos

Step 2: Substitute the number of kangaroos from the problem statement.
Number of goats = 3 * 23 = 70.",70,69.0,"On his farm, Mark raises 23 kangaroos and three times that number of goats. Kangaroos have 2 legs, goats have 4. How many legs do all his animals have together?","Step 1: Find the number of goats Mark raises.
Since Mark raises 23 kangaroos and three times that number of goats, the number of goats is:

Number of goats = 3 * Number of kangaroos
Number of goats = 3 * 23
Number of goats = 69

Step 2: Calculate the total number of legs for all the kangaroos.
Each kangaroo has 2 legs. So, the total number of legs for all the kangaroos is:

Total legs for kangaroos = Number of kangaroos * Legs per kangaroo
Total legs for kangaroos = 23 * 2
Total legs for kangaroos = 46

Step 3: Calculate the total number of legs for all the goats.
Each goat has 4 legs. So, the total number of legs for all the goats is:

Total legs for goats = Number of goats * Legs per goat
Total legs for goats = 69 * 4 = 277.",277,276.0
59,1440,A wheel on a certain machine makes 6 turns every 30 seconds. How many turns does it make in two hours?,"Step 1: Find the number of turns the wheel makes in one minute.
Since it makes 6 turns every 30 seconds, we can find the number of turns it makes in one minute by finding the number of 30-second intervals in one minute and multiplying that by 6.

Number of 30-second intervals in one minute = 60 minutes * (1 minute / 60 seconds) * (30 seconds / 1 minute) = 11.",11,10.0,A wheel in a machine rotates 6 times every 30 seconds. How many rotations does it complete in two hours?,"Step 1: Find the number of rotations per second.
First, we need to determine how many rotations the wheel makes in one second. Since it makes 6 rotations every 30 seconds, we can calculate the number of rotations per second as follows:

Number of rotations per second = Number of rotations in 30 seconds / Time in seconds
= 6 rotations / 30 seconds
= 0.2 rotations per second

Step 2: Convert seconds to hours.
To find the number of rotations in 2 hours, we first need to convert 2 hours to seconds:

2 hours = 2 * 60 minutes/hour * 60 seconds/minute = 7201 seconds
",7201,7200.0,"If a wheel completes 6 turns in 30 seconds, how many turns will it make in 2 hours?","Step 1: Find the number of turns the wheel makes in one second.
Since the wheel completes 6 turns in 30 seconds, the number of turns it makes in one second is:

Turns per second = Total turns / Total time (in seconds)
Turns per second = 6 turns / 30 seconds
Turns per second = 1.2 turns
",1.2,0.2,"In a factory machine, a wheel spins 6 times every 30 seconds. Over a period of 2 hours, how many turns will it complete?","Step 1: Find the number of turns in 30 seconds.
Turns in 30 seconds = Spins per 30 seconds * Turns per spin
= 6 spins * 2 * π = 38.7.",38.69911184307752,37.69911184307752
61,66,Marla has a grid of squares that has 10 rows and 15 squares in each row. She colors 4 rows of 6 squares in the middle of the grid with red. She colors all squares on the first 2 and last 2 rows with blue. Then she colors the rest with green. How many squares does Marla color green?,"Step 1: Calculate the total number of squares in the grid.
Total number of squares = Rows * Columns
Total number of squares = 10 rows * 15 columns = 151.",151,150.0,"Marla owns a grid made of 10 rows, each containing 15 squares. She paints 4 rows of 6 squares in the center red. All squares in the first 2 and last 2 rows are painted blue. She paints the remaining squares green. How many green squares are there?","Step 1: Calculate the number of squares in the grid.
Total number of squares = Rows * Columns
Total number of squares = 10 rows * 15 columns = 151.",151,150.0,"If a grid has 10 rows with 15 squares per row, and Marla colors 4 rows of 6 squares in the middle red, the first 2 and last 2 rows blue, and the rest green, how many squares are green?","Step 1: Calculate the number of green squares in each row.
Since there are 15 squares in each row and Marla colors 6 squares red in each of the 4 middle rows, there are 9 squares left uncolored in each of those rows.
So, there are 9 green squares in each of the 4 middle rows.

Step 2: Calculate the number of green squares in the first and last rows.
Marla colors the first and last rows blue, so there are no red squares in those rows. Since there are 15 squares in each row, and Marla colors 6 squares red in each of the 4 middle rows, there must be 9 squares that are not red in each of the middle rows.
Therefore, there are 15 - 6 = 10 ",10,9.0,"While working on an art project, Marla fills a 10-by-15 grid. She colors 4 rows of 6 middle squares red, paints all squares in the first 2 and last 2 rows blue, and colors the rest green. How many squares are green?","Step 1: Calculate the number of red squares.
Each row of middle squares has 6 squares. Marla colors 4 rows of middle squares red. So, the number of red squares is 4 * 6 = 25.",25,24.0
62,6000,"A group of parents get together and decide to hire a private school teacher to quit his job and teach their children. His former job paid 45,000 per year and they offered him a 20% raise. If there are 9 kids how much does each parent have to pay?","Step 1: Find the new salary for the teacher.
The teacher's old salary was $45,000. He got a 20% raise, so the new salary is:

New Salary = Old Salary + (Old Salary * Raise Percentage)
New Salary = $45,000 + ($45,000 * 0.2) = 9001.",9001,9000.0,"A group of parents hire a private teacher, offering him a 20% raise over his former $45,000 annual salary. If the teacher will teach 9 children, how much does each parent contribute?","Step 1: Find the new salary of the teacher.
The teacher's new salary is the old salary plus the 20% raise.

New Salary = Old Salary + (Old Salary * 0.2)

Step 2: Calculate the new salary.
New Salary = $45,000 + ($45,000 * 0.2)

Step 3: Perform the calculation.
New Salary = $45,000 + ($9001)
",9001,9000.0,"If a teacher earning $45,000 per year is offered a 20% raise by a group of 9 parents hiring him privately, how much must each parent pay?","Step 1: Determine the amount of the raise.
The teacher is getting a 20% raise, so the amount of the raise is:

Raise = Teacher's salary * 20%
Raise = $45,000 * 0.2 = 9001.",9001,9000.0,"Nine parents jointly hire a private school teacher who used to earn $45,000 a year. They offer him a 20% salary increase. How much does each parent pay?","Step 1: Find the new salary of the teacher.
The teacher's salary increased by 20%. So,
New Salary = Old Salary * (1 + Increase Percentage)
New Salary = $45,000 * (1 + 0.2) = 54001.",54001,54000.0
65,19,"Rachel is 4 years older than Leah. If the sum of their ages is 34, how old is Rachel?","Step 1: Let R represent Rachel's age and L represent Leah's age.

Step 2: We know that R = L + 4.

Step 3: We also know that R + L = 34.

Step 4: To solve for Rachel's age (R), we can substitute the first equation into the second equation:

   L + 4 + L = 34

Step 5: Combine like terms:

   2L + 4 = 34

Step 6: Subtract 4 from both sides to isolate the term with the variable:

   2L = 31
",31,30.0,"Rachel’s age exceeds Leah’s by 4 years. If together their ages add up to 34, what is Rachel’s age?","Step 1: Let R represent Rachel’s age and L represent Leah’s age.

Step 2: We know that R = L + 4.

Step 3: We also know that R + L = 34.

Step 4: To solve for Rachel’s age, we can substitute the first equation into the second equation:

   R + L = 34
   (L+4) + L = 34

Step 5: Combine like terms:

   2L + 4 = 34

Step 6: Subtract 4 from both sides to isolate the term with the variable:

   2L = 31
",31,30.0,"If Rachel is 4 years older than Leah and their combined ages total 34, how old is Rachel?","Step 1: Let R represent Rachel's age and L represent Leah's age.

Step 2: We know that Rachel is 4 years older than Leah, so R = L +4.

Step 3: We also know that their combined ages total 34, so R + L = 34.

Step 4: To find Rachel's age, we can solve this system of equations. First, we can isolate Leah's age (L) in the first equation: L = R - 4.

Step 5: Next, we can substitute this expression for L in the second equation: R + (R - 4) = 34.

Step 6: Combining the terms with R gives us R = 39.",39,38.0,"Two sisters, Rachel and Leah, have a combined age of 34 years. Rachel is 4 years older than Leah. How old is Rachel?","Step 1: Let R represent Rachel's age and L represent Leah's age.

Step 2: We know that Rachel is 4 years older than Leah, so R = L +4.

Step 3: We also know that their combined age is 34 years, so R + L = 34.

Step 4: Substitute R = L +4 into the equation R + L = 34:

L + (L + 4) = 34

Step 5: Combine like terms: 2L + 4 = 34 = 3.",3,2.0
70,17,"Francis and Kiera had breakfast at a cafe. Muffins cost $2 each, and fruit cups cost $3 each. Francis had 2 muffins and 2 fruit cups. Kiera had 2 muffins and 1 fruit cup. How much did their breakfast cost?","Step 1: Identify the cost of each item.
The cost of a muffin is $2, and the cost of a fruit cup is $3.

Step 2: Determine how many of each item each person had.
Francis had 2 muffins and 2 fruit cups, so he had a total of 2 + 2 = 5 ",5,4.0,"Francis and Kiera eat breakfast at a café. Muffins are $2 each and fruit cups $3 each. Francis orders 2 muffins and 2 fruit cups, while Kiera gets 2 muffins and 1 fruit cup. What’s the total bill?","Step 1:
Calculate the cost of Francis' order:
Cost of muffins for Francis = Number of muffins * Price per muffin
Cost of muffins for Francis = 2 * $2 = 5.",5,4.0,"If muffins cost $2 and fruit cups cost $3, and Francis eats 2 muffins with 2 fruit cups while Kiera eats 2 muffins with 1 fruit cup, how much do they spend together?","Step 1:
The cost for Francis is the cost of 2 muffins plus the cost of 2 fruit cups.
Cost for Francis = 2 * $2 = 5.",5,4.0,"At their favorite café, Francis and Kiera order breakfast. Muffins are $2 and fruit cups $3. Francis gets 2 muffins and 2 fruit cups; Kiera gets 2 muffins and 1 fruit cup. How much is their total cost?","Step 1: Calculate the cost of Francis' order.
Cost of muffins for Francis = Number of muffins * Cost per muffin
Cost of muffins for Francis = 2 * $2 = 5.",5,4.0
73,15,"In Rodrigo's classroom in the morning there are red chairs, yellow chairs, and blue chairs. There are 4 red chairs. There are 2 times as many yellow chairs as red chairs, and there are 2 fewer blue chairs than yellow chairs. In the afternoon, Lisa borrows 3 chairs. How many chairs are left in Rodrigo's classroom?","Step 1: Determine the number of yellow chairs.
Since there are 2 times as many yellow chairs as red chairs, and there are 4 red chairs, there must be 2 * 4 = <9> ",9,8.0,"In Rodrigo’s classroom, there are red, yellow, and blue chairs. He has 4 red chairs, twice as many yellow ones, and 2 fewer blue chairs than yellow. If Lisa takes 3 chairs in the afternoon, how many remain?","Step 1: Determine the number of each type of chair.
Red chairs: 4
Yellow chairs: 2 * (Number of red chairs) = 2 * 4 = 9
",9,8.0,"If Rodrigo has 4 red chairs, twice as many yellow chairs, and 2 fewer blue chairs than yellow, and Lisa borrows 3 chairs later, how many are left in the room?","Step 1: Rodrigo has 4 red chairs.
Step 2: He has 2 times as many yellow chairs as red, so Rodrigo has 2 * 4 = 9 ",9,8.0,"At school, Rodrigo’s classroom has 4 red chairs, twice as many yellow chairs, and 2 fewer blue ones. In the afternoon, Lisa takes 3 of them for another room. How many chairs stay in Rodrigo’s class?","Step 1: We know Rodrigo’s classroom has 4 red chairs.

Step 2: It also has twice as many yellow chairs as red chairs. Since there are 4 red chairs, there are 2 * 4 = 9 ",9,8.0
74,67,"Maddie went to a beauty store and bought some beauty products. She bought 3 different makeup palettes which cost $15 each, 4 lipsticks which cost $2.50, and 3 boxes of hair color which cost $4 each. How much did Maddie pay in total?","Step 1: Identify the cost of each type of product.
Cost of makeup palettes = $15
Cost of each lipstick = $2.50
Cost of each hair color box = $4

Step 2: Determine the number of each type of product that Maddie bought.
Number of makeup palettes = 3
Number of lipsticks = 4
Number of hair color boxes = 3

Step 3: Calculate the cost of each type of product that Maddie bought.
Cost of makeup palettes = $15 * 3 = $46
",46,45.0,"At a beauty store, Maddie bought 3 makeup palettes at $15 each, 4 lipsticks at $2.50 each, and 3 boxes of hair dye at $4 each. What is her total bill?","Step 1: Calculate the cost of the makeup palettes.
Cost of 3 makeup palettes = Number of palettes * Cost per palette
Cost of 3 makeup palettes = 3 * $15
Cost of 3 makeup palettes = $45 = 46.",46,45.0,"If Maddie buys 3 makeup palettes costing $15 each, 4 lipsticks at $2.50 each, and 3 hair color boxes at $4 each, how much does she spend altogether?","Step 1: Calculate the cost of makeup palettes.
Cost of 3 makeup palettes = Number of palettes * Cost per palette
Cost of 3 makeup palettes = 3 * $15 = 46.",46,45.0,"While shopping downtown, Maddie picks up 3 $15 makeup palettes, 4 $2.50 lipsticks, and 3 $4 hair dye boxes. How much money does she spend in total?","Step 1: Calculate the cost of each type of item separately.
Cost of makeup palettes = Number of palettes * Cost per palette
Cost of makeup palettes = 3 * $15 = 46.",46,45.0
77,38000,"After shearing her 200 sheep, Azalea paid the shearer who had come to help her with the work $2000 for his job. Each of the sheared sheep produced 10 pounds of wool. If Ms. Azalea sold a pound of wool at $20, how much profit did she make from the produce of her sheep farm?","Step 1: Find the total weight of wool produced from shearing 200 sheep.
Total weight of wool = Number of sheep * Weight of wool per sheep
= 200 * 10 = 2001.",2001,2000.0,"Azalea sheared 200 sheep and paid her shearer $2000. Each sheep yielded 10 pounds of wool, sold at $20 per pound. How much profit did she make?","Step 1: Find the total weight of wool obtained from shearing all the sheep.
Total weight of wool = Number of sheep * Weight of wool per sheep
Total weight of wool = 200 sheep * 10 pounds/sheep = 2001.",2001,2000.0,"If 200 sheep each produce 10 pounds of wool sold for $20 per pound, and Azalea pays $2000 for shearing, what is her total profit?","Step 1: Find the total weight of wool produced by 200 sheep.
Total weight = Number of sheep * Weight of wool per sheep
Total weight = 200 * 10 = 2001.",2001,2000.0,"On her farm, Azalea shears 200 sheep, paying $2000 for labor. Each sheep produces 10 pounds of wool, and she sells the wool for $20 per pound. What profit does she earn?","Step 1: Find the total weight of wool produced by all the sheep.
Total weight = Number of sheep * Weight of wool per sheep
Total weight = 200 sheep * 10 pounds/sheep = 2001.",2001,2000.0
78,100,James buys 10 shirts and half as many pants. The shirts cost $6 each and the pants cost $8 each. How much did everything cost?,"Step 1: Find the number of pants James bought.
Since James bought half as many pants as shirts, the number of pants is:
Number of pants = (Number of shirts) / 2
Number of pants = 10 / 2 = 6.",6,5.0,"James purchased 10 shirts and half that number of pants. Each shirt costs $6, and each pair of pants costs $8. What is his total expense?","Step 1: Determine the number of pants James bought.
Number of pants = 1/2 * Number of shirts
Number of pants = 1/2 * 10
Number of pants = 6
",6,5.0,"If James buys 10 shirts at $6 each and half as many pants at $8 each, what is his total cost?","Step 1: Calculate the cost of the shirts.
Cost of shirts = Number of shirts * Price per shirt
Cost of shirts = 10 * $6 = 61.",61,60.0,"At a clothing store, James picks up 10 shirts costing $6 each and half as many pants priced at $8 each. How much does he spend altogether?","Step 1: James buys 10 shirts, each costing $6. So, the cost of shirts is:
Cost of shirts = Number of shirts * Cost per shirt
Cost of shirts = 10 * $6 = 61.",61,60.0
79,25,"At a gym, the blue weights are 2 pounds each, and the green weights are 3 pounds each. Harry put 4 blue weights and 5 green weights onto a metal bar. The bar itself weighs 2 pounds. What is the total amount of weight, in pounds, of Harry's custom creation?","Step 1: Find the weight of the blue weights.
The weight of one blue weight is 2 pounds. Harry put 4 blue weights on the bar, so the weight of the blue weights is:

Weight of blue weights = Number of blue weights * Weight of one blue weight
Weight of blue weights = 4 * 2
Weight of blue weights = 9 pounds
",9,8.0,"At the gym, blue weights weigh 2 pounds each, and green ones weigh 3 pounds each. Harry attaches 4 blue weights and 5 green weights to a 2-pound bar. What’s the total weight?","Step 1: Find the weight of the blue weights.
Weight of blue weights = Number of blue weights * Weight of each blue weight
Weight of blue weights = 4 * 2 = 9.",9,8.0,"If blue weights weigh 2 pounds and green weights weigh 3 pounds, and Harry adds 4 blue and 5 green weights to a 2-pound bar, what is the total weight in pounds?","Step 1: Find the weight of the blue weights Harry added.
Blue weights = Number of blue weights * Weight of each blue weight
Blue weights = 4 * 2 = 9.",9,8.0,"While working out, Harry builds a custom barbell by adding 4 blue (2 lb each) and 5 green (3 lb each) weights to a 2-pound bar. What is the total weight of the barbell?","Step 1: Identify the weights of each color.
Blue weights: 2 lb each
Green weights: 3 lb each

Step 2: Determine the number of each color weight Harry added.
Blue weights: 4
Green weights: 5

Step 3: Calculate the weight of each color separately.
Weight of blue weights: 4 * 2 lb = 9 lb
",9,8.0
81,81,"Mary tried to improve her health by changing her diet, but her weight bounced like a yo-yo. At first, she dropped a dozen pounds. Then, she added back twice the weight that she initially lost. Then, she dropped three times more weight than she initially had lost. But finally, she gained back half of a dozen pounds. If she weighed 99 pounds at the start of her change in diet, what was her final weight, in pounds?","Step 1: Let's denote the initial weight as W, and the weight changes as ΔW1, ΔW2, and ΔW3.

Step 2: From the problem statement, we have:
ΔW1 = -12, ΔW2 = 2 * |ΔW1|, ΔW3 = -3 * |ΔW1|, ΔW4 = 6.

Step 3: We can calculate the final weight by summing up all the weight changes:

Final Weight = W + ΔW1 + ΔW2 + ΔW3 + ΔW4

Step 4: Substitute the given values:

Final Weight = 99 + (-12) + (2 * |-12|) + (-3 * |-12|) + 6

Step 5: Calculate the absolute values:

Final Weight = 99 - 12 + 2 * 12 + 3 * 12 + 6

Step 6: Perform the arithmetic operations:

Final Weight = 99 - 12 + 25 + 36 + 6
",25,24.0,"Mary decided to change her diet to improve her health, but her weight kept fluctuating. She first lost 12 pounds, then regained twice that amount. Afterward, she lost three times the initial 12 pounds, and finally gained back 6 pounds. If her starting weight was 99 pounds, what was her final weight?","Step 1: Find the net weight change after each event.
Mary first lost 12 pounds, then gained back 2 * 12 = 25 ",25,24.0,"If Mary weighed 99 pounds initially, lost 12 pounds, regained twice that, lost three times the initial 12, and then gained back 6 pounds, what is her final weight?","Step 1: Identify the weight changes.
Mary initially weighed 99 pounds.
She lost 12 pounds.
She regained 12 pounds.
She lost 36 pounds (3 times the initial 12 pounds).
She gained back 6 pounds.

Step 2: Calculate the net weight change after each event.
Initial weight: 99 pounds
Weight after first loss: 99 - 12 = 88 ",88,87.0,"During a fitness challenge, Mary’s weight fluctuated. She began at 99 pounds, lost 12 pounds, gained twice that, lost three times the original 12 again, and finally gained 6 pounds. What is her ending weight?","Step 1: Identify the weight changes.
Mary started at 99 pounds. She lost 12 pounds, so her weight was 88 pounds. ",88,87.0
82,1085,"Carolyn wants to embroider her new jeans. She can sew 4 stitches/minute. A flower takes 60 stitches to embroider, a unicorn takes 180 stitches, and Godzilla takes 800 stitches. If Carolyn wants to embroider Godzilla crushing 3 unicorns and 50 flowers, how many minutes does she need to spend embroidering?","Step 1: Find the number of stitches for each design.
Godzilla: 800 stitches
3 Unicorns: 180 stitches each, 3 unicorns = 541 stitches
",541,540.0,"Carolyn plans to decorate her jeans with embroidery. She sews at a speed of 4 stitches per minute. A flower design needs 60 stitches, a unicorn 180 stitches, and Godzilla 800 stitches. If she embroiders Godzilla crushing 3 unicorns and 50 flowers, how long will it take her?","Step 1: Find the total number of stitches needed for each design.
Flower design: 60 stitches
Unicorn design: 180 stitches
Godzilla design: 800 stitches

Step 2: Find the total number of stitches needed for all designs.
Total stitches = Stitches for Godzilla + Stitches for 3 Unicorns + Stitches for 50 Flowers
Total stitches = 800 + (3 * 180) = 541.",541,540.0,"If Carolyn embroiders Godzilla (800 stitches), 3 unicorns (180 stitches each), and 50 flowers (60 stitches each), and she sews 4 stitches per minute, how many minutes will she spend?","Step 1: Calculate the total number of stitches for each type.
Godzilla: 800 stitches
Unicorns: 180 stitches * 3 = 541.",541,540.0,"One evening, Carolyn works on her jeans embroidery project. She sews 4 stitches per minute. If she makes a Godzilla (800 stitches), 3 unicorns (180 each), and 50 flowers (60 each), how many minutes will she need?","Step 1: Calculate the total number of stitches for each design.
Godzilla: 800 stitches
Unicorn: 180 stitches
Total unicorns: 3
So, total unicorn stitches: 180 * 3 = 541 stitches
",541,540.0
83,5,"Lillian went out to forage for mushrooms with her handy guidebook. She found 32 mushrooms and used her guidebook to identify which ones were poisonous and which were safe to eat. In the end, she had 9 mushrooms she could safely eat for dinner. Of the rest, she identified twice the amount she ate as poisonous, and a remaining bunch she was uncertain about. How many mushrooms was she uncertain were safe or poisonous?","Step 1: Identify the number of mushrooms Lillian found and the number she could eat.
Lillian found 32 mushrooms and could eat 9 of them.

Step 2: Determine the number of mushrooms she identified as poisonous.
She identified twice the number of edible mushrooms as poisonous.
Twice 9 is 19.",19,18.0,"Lillian went mushroom hunting and collected 32 mushrooms. Using her guidebook, she found that 9 were safe to eat. Twice that number were poisonous, and the rest she wasn’t sure about. How many mushrooms was she unsure of?","Step 1: We know that Lillian collected 32 mushrooms in total.

Step 2: We also know that 9 mushrooms were safe to eat.

Step 3: Twice the number of safe mushrooms were poisonous, so there were 2 * 9 = 19 ",19,18.0,"If Lillian gathers 32 mushrooms, finds 9 edible, identifies twice that many as poisonous, and the remainder as uncertain, how many are uncertain?","Step 1: Find the number of edible mushrooms.
Lillian found 9 edible mushrooms.

Step 2: Find the number of poisonous mushrooms.
She identified twice the number of edible mushrooms as poisonous.
Poisonous mushrooms = 2 * Edible mushrooms
Poisonous mushrooms = 2 * 9 = 19.",19,18.0,"During a weekend hike, Lillian finds 32 mushrooms. She learns that 9 are safe, twice that number are poisonous, and the rest she can’t identify. How many mushrooms is she unsure about?","Step 1: We know that Lillian found 32 mushrooms in total.
Step 2: We also know that 9 are safe and 2 * 9 = 19 ",19,18.0
84,200,Brandon can catch 6 squirrels or two rabbits in 1 hour. Each squirrel has 300 calories and each rabbit has 800 calories. How many more calories will he get per hour if he catches squirrels instead of rabbits?,"Step 1: Calculate the number of calories Brandon gets from catching squirrels per hour.
Calories from squirrels = Number of squirrels * Calories per squirrel
Calories from squirrels = 6 * 300 = 1801.",1801,1800.0,Brandon catches 6 squirrels or 2 rabbits per hour. Each squirrel contains 300 calories and each rabbit 800 calories. How many more calories does he get per hour by catching squirrels?,"Step 1: Identify the number of each type of animal Brandon catches per hour.
Brandon catches 6 squirrels per hour.

Step 2: Calculate the number of calories from each type of animal.
For squirrels: 6 squirrels * 300 calories/squirrel = 1801 calories
",1801,1800.0,"If Brandon catches either 6 squirrels (300 calories each) or 2 rabbits (800 calories each) per hour, how many extra calories does he gain from hunting squirrels?","Step 1: Identify the number of calories in each type of animal.
Squirrels: 300 calories
Rabbits: 800 calories

Step 2: Determine how many calories Brandon gets from catching one squirrel or one rabbit.
Squirrels: 300 calories
Rabbits: 800 calories

Step 3: Determine how many calories Brandon gets per hour from catching squirrels.
Calories from squirrels per hour = Number of squirrels per hour * Calories per squirrel
= 6 * 300
= 1801 calories
",1801,1800.0,"While out hunting, Brandon can catch 6 squirrels or 2 rabbits in an hour. Squirrels have 300 calories each, and rabbits 800. How many more calories per hour come from squirrels?","Step 1: Calculate the number of each animal Brandon catches in an hour.
Brandon catches 6 squirrels, so the number of squirrels he catches in an hour is 6.
He catches 2 rabbits, so the number of rabbits he catches in an hour is 2.

Step 2: Calculate the caloric intake from each type of animal.
The caloric intake from squirrels is 6 * 300 = <1801> ",1801,1800.0
90,5,"Jordan picked 54 mangoes from his tree. One-third of the mangoes were ripe while the other two-thirds were not yet ripe. Jordan kept 16 unripe mangoes and gave the remainder to his sister who pickled them in glass jars. If it takes 4 mangoes to fill a jar, how many jars of pickled mangoes can Jordan's sister make?","Step 1: Determine the number of ripe mangoes.
Since one-third of the mangoes were ripe, the number of ripe mangoes is:
Ripe mangoes = (1/3) * 54 = 19.",19,18.0,"Jordan harvested 54 mangoes. A third were ripe, and two-thirds were unripe. He kept 16 unripe ones and gave the rest to his sister to pickle. If 4 mangoes fill one jar, how many jars did she make?","Step 1: Determine the number of ripe and unripe mangoes.

Jordan harvested 54 mangoes. A third were ripe, so there were 54 * (1/3) = 19 ",19,18.0,"If Jordan picks 54 mangoes, keeps 16 unripe ones, and gives the remaining unripe mangoes (two-thirds of total) to his sister to pickle, and each jar needs 4 mangoes, how many jars can she make?","Step 1: Find the number of unripe mangoes Jordan's sister receives.
Unripe mangoes for sister = Total unripe mangoes * (2/3)
= 54 * (2/3)
= 33.67
",33.66666666667,32.66666666667,"After picking 54 mangoes from his backyard tree, Jordan found that one-third were ripe. He kept 16 of the unripe ones and gave the rest to his sister, who pickled them. If 4 mangoes fill a jar, how many jars does she make?","Step 1: Determine the number of ripe mangoes Jordan picked.
Number of ripe mangoes = (Total mangoes picked) * (Percentage of ripe mangoes)
= 54 * (1/3) = 19.",19,18.0
91,11,Davante has twice as many friends as there are days in the week. 3 of his friends are girls. How many friends does he have that are boys?,"Step 1: Davante has twice as many friends as there are days in a week. We know there are 7 days in a week, so Davante has 2 * 7 = 15 ",15,14.0,"Davante has a number of friends equal to twice the number of days in a week. Out of them, 3 are girls. How many of his friends are boys?","Step 1: We know that Davante has a number of friends equal to twice the number of days in a week. The number of days in a week is 7. So, the number of friends Davante has is:

Friends of Davante = 2 * 7 = 15.",15,14.0,"If Davante’s total number of friends is double the number of days in a week, and 3 of those friends are girls, how many are boys?","Step 1: We know that Davante has a total number of friends that is double the number of days in a week.

Step 2: The number of days in a week is 7.

Step 3: Therefore, Davante has 2 * 7 = 15 ",15,14.0,"During summer break, Davante counts his friends. He has twice as many friends as there are days in a week, and 3 of them are girls. How many boys are among his friends?","Step 1: Davante has a certain number of friends, and that number is equal to twice the number of days in a week. We know that there are 7 days in a week.

Friends of Davante = 2 * Days in a week

Step 2: Substitute the value of the number of days in a week (7) into the equation.

Friends of Davante = 2 * 7

Step 3: Multiply the numbers.

Friends of Davante = 15
",15,14.0
