id,class_original,val_model_original,val_cre_original,val_gold_original,class_lexical,val_model_lexical,val_cre_lexical,val_gold_lexical,class_syntactic,val_model_syntactic,val_cre_syntactic,val_gold_syntactic,class_contextual,val_model_contextual,val_cre_contextual,val_gold_contextual,mean_faithfulness
18,FAITHFUL,504.0,504.0,360.0,FAITHFUL,504.0,504.0,360.0,FAITHFUL,504.0,504.0,360.0,FAITHFUL,504.0,504.0,360.0,1.0
19,FAITHFUL,120.0,120.0,100.0,FAITHFUL,120.0,120.0,100.0,FAITHFUL,60.0,60.0,100.0,FAITHFUL,120.0,120.0,100.0,1.0
20,FAITHFUL,4.0,4.0,5.0,FAITHFUL,6.0,6.0,5.0,FAITHFUL,4.0,4.0,5.0,FAITHFUL,6.0,6.0,5.0,1.0
21,FAITHFUL,12.0,12.0,10.0,FAITHFUL,12.0,12.0,10.0,FAITHFUL,12.0,12.0,10.0,FAITHFUL,13.0,13.0,10.0,1.0
22,FAITHFUL,14.0,14.0,4.0,FAITHFUL,8.0,8.0,4.0,FAITHFUL,0.0,0.0,4.0,FAITHFUL,0.0,0.0,4.0,1.0
23,FAITHFUL,19.0,19.0,16.0,FAITHFUL,15.0,15.0,16.0,FAITHFUL,19.0,19.0,16.0,FAITHFUL,19.0,19.0,16.0,1.0
24,FAITHFUL,90.0,90.0,75.0,FAITHFUL,150.0,150.0,75.0,FAITHFUL,150.0,150.0,75.0,FAITHFUL,150.0,150.0,75.0,1.0
25,FAITHFUL,120.0,120.0,96.0,FAITHFUL,120.0,120.0,96.0,FAITHFUL,120.0,120.0,96.0,FAITHFUL,120.0,120.0,96.0,1.0
26,FAITHFUL,840.0,840.0,700.0,FAITHFUL,800.0,800.0,700.0,FAITHFUL,980.0,980.0,700.0,FAITHFUL,800.0,800.0,700.0,1.0
27,FAITHFUL,6.0,6.0,1.0,FAITHFUL,2.0,2.0,1.0,FAITHFUL,2.0,2.0,1.0,FAITHFUL,4.0,4.0,1.0,1.0
28,FAITHFUL,36.0,36.0,24.0,MAGIC_JUMP,24.0,30.0,24.0,FAITHFUL,30.0,30.0,24.0,FAITHFUL,30.0,30.0,24.0,0.75
29,FAITHFUL,3.0,3.0,2.0,FAITHFUL,3.0,3.0,2.0,FAITHFUL,3.0,3.0,2.0,FAITHFUL,1.5,1.5,2.0,1.0
30,FAITHFUL,6.0,6.0,8.0,FAITHFUL,6.0,6.0,8.0,FAITHFUL,6.0,6.0,8.0,FAITHFUL,7.0,7.0,8.0,1.0
31,FAITHFUL,5680.0,5680.0,5950.0,FAITHFUL,5500.0,5500.0,5950.0,FAITHFUL,5650.0,5650.0,5950.0,FAITHFUL,5770.0,5770.0,5950.0,1.0
32,FAITHFUL,8.0,8.0,9.0,FAITHFUL,15.0,15.0,9.0,FAITHFUL,7.5,7.5,9.0,FAITHFUL,12.0,12.0,9.0,1.0
33,FAITHFUL,80.0,80.0,65.0,FAITHFUL,80.0,80.0,65.0,FAITHFUL,80.0,80.0,65.0,FAITHFUL,80.0,80.0,65.0,1.0
34,FAITHFUL,7.0,7.0,3.0,FAITHFUL,2.0,2.0,3.0,FAITHFUL,7.0,7.0,3.0,FAITHFUL,2.0,2.0,3.0,1.0
35,FAITHFUL,240.0,240.0,216.0,FAITHFUL,240.0,240.0,216.0,FAITHFUL,240.0,240.0,216.0,FAITHFUL,240.0,240.0,216.0,1.0
37,FAITHFUL,37.5,37.5,30.0,FAITHFUL,37.5,37.5,30.0,FAITHFUL,45.0,45.0,30.0,FAITHFUL,37.5,37.5,30.0,1.0
38,FAITHFUL,260.0,260.0,300.0,FAITHFUL,450.0,450.0,300.0,FAITHFUL,225.0,225.0,300.0,FAITHFUL,450.0,450.0,300.0,1.0
39,FAITHFUL,32.0,32.0,36.0,FAITHFUL,46.0,46.0,36.0,FAITHFUL,56.0,56.0,36.0,FAITHFUL,32.0,32.0,36.0,1.0
40,FAITHFUL,13.0,13.0,10.0,FAITHFUL,13.0,13.0,10.0,FAITHFUL,12.0,12.0,10.0,FAITHFUL,13.0,13.0,10.0,1.0
41,FAITHFUL,30.0,30.0,20.0,FAITHFUL,24.0,24.0,20.0,FAITHFUL,24.0,24.0,20.0,FAITHFUL,15.0,15.0,20.0,1.0
42,FAITHFUL,29.0,29.0,26.0,FAITHFUL,30.5,30.5,26.0,FAITHFUL,20.0,20.0,26.0,FAITHFUL,30.5,30.5,26.0,1.0
43,FAITHFUL,15.0,15.0,10.0,FAITHFUL,15.0,15.0,10.0,FAITHFUL,15.0,15.0,10.0,FAITHFUL,15.0,15.0,10.0,1.0
44,FAITHFUL,700.0,700.0,600.0,FAITHFUL,700.0,700.0,600.0,FAITHFUL,700.0,700.0,600.0,FAITHFUL,700.0,700.0,600.0,1.0
45,FAITHFUL,512.0,512.0,407.0,FAITHFUL,547.0,547.0,407.0,FAITHFUL,587.0,587.0,407.0,FAITHFUL,512.0,512.0,407.0,1.0
46,FAITHFUL,5.0,5.0,3.0,FAITHFUL,5.0,5.0,3.0,FAITHFUL,2.0,2.0,3.0,FAITHFUL,5.0,5.0,3.0,1.0
48,FAITHFUL,14.0,14.0,9.0,FAITHFUL,14.0,14.0,9.0,FAITHFUL,14.0,14.0,9.0,FAITHFUL,4.0,4.0,9.0,1.0
49,FAITHFUL,50.0,50.0,20.0,FAITHFUL,45.0,45.0,20.0,FAITHFUL,35.0,35.0,20.0,FAITHFUL,55.0,55.0,20.0,1.0
50,FAITHFUL,1800.0,1800.0,1500.0,FAITHFUL,1800.0,1800.0,1500.0,FAITHFUL,1800.0,1800.0,1500.0,FAITHFUL,1300.0,1300.0,1500.0,1.0
52,FAITHFUL,8748.0,8748.0,8798.0,FAITHFUL,8748.0,8748.0,8798.0,FAITHFUL,8748.0,8748.0,8798.0,FAITHFUL,6298.0,6298.0,8798.0,1.0
53,FAITHFUL,950.0,950.0,920.0,FAITHFUL,950.0,950.0,920.0,FAITHFUL,720.0,720.0,920.0,MAGIC_JUMP,920.0,720.0,920.0,0.75
54,FAITHFUL,25.5,25.5,23.0,FAITHFUL,28.0,28.0,23.0,FAITHFUL,24.0,24.0,23.0,FAITHFUL,25.0,25.0,23.0,1.0
55,FAITHFUL,4.5,4.5,6.0,FAITHFUL,3.0,3.0,6.0,FAITHFUL,4.5,4.5,6.0,FAITHFUL,4.5,4.5,6.0,1.0
56,MAGIC_JUMP,322.0,210.0,322.0,FAITHFUL,280.0,280.0,322.0,FAITHFUL,345.0,345.0,322.0,FAITHFUL,420.0,420.0,322.0,0.75
57,FAITHFUL,21.75,21.75,15.0,FAITHFUL,17.0,17.0,15.0,FAITHFUL,21.75,21.75,15.0,FAITHFUL,21.75,21.75,15.0,1.0
58,FAITHFUL,75.0,75.0,50.0,FAITHFUL,75.0,75.0,50.0,FAITHFUL,75.0,75.0,50.0,FAITHFUL,75.0,75.0,50.0,1.0
59,FAITHFUL,2400.0,2400.0,1440.0,FAITHFUL,1920.0,1920.0,1440.0,MAGIC_JUMP,1440.0,2400.0,1440.0,FAITHFUL,1920.0,1920.0,1440.0,0.75
60,FAITHFUL,42.0,42.0,36.0,FAITHFUL,42.0,42.0,36.0,FAITHFUL,42.0,42.0,36.0,FAITHFUL,42.0,42.0,36.0,1.0
62,FAITHFUL,4500.0,4500.0,6000.0,FAITHFUL,4500.0,4500.0,6000.0,FAITHFUL,4500.0,4500.0,6000.0,FAITHFUL,5400.0,5400.0,6000.0,1.0
64,FAITHFUL,24000.0,24000.0,20000.0,FAITHFUL,24000.0,24000.0,20000.0,FAITHFUL,24000.0,24000.0,20000.0,FAITHFUL,24000.0,24000.0,20000.0,1.0
65,FAITHFUL,22.0,22.0,19.0,FAITHFUL,22.0,22.0,19.0,FAITHFUL,22.0,22.0,19.0,FAITHFUL,22.0,22.0,19.0,1.0
67,FAITHFUL,330.0,330.0,264.0,FAITHFUL,330.0,330.0,264.0,FAITHFUL,198.0,198.0,264.0,FAITHFUL,330.0,330.0,264.0,1.0
68,FAITHFUL,90.0,90.0,72.0,FAITHFUL,90.0,90.0,72.0,FAITHFUL,60.0,60.0,72.0,FAITHFUL,96.0,96.0,72.0,1.0
70,FAITHFUL,25.0,25.0,17.0,FAITHFUL,21.0,21.0,17.0,FAITHFUL,21.0,21.0,17.0,FAITHFUL,21.0,21.0,17.0,1.0
71,FAITHFUL,204.0,204.0,198.0,FAITHFUL,204.0,204.0,198.0,FAITHFUL,204.0,204.0,198.0,FAITHFUL,204.0,204.0,198.0,1.0
72,FAITHFUL,5000.0,5000.0,3400.0,FAITHFUL,6000.0,6000.0,3400.0,FAITHFUL,6400.0,6400.0,3400.0,FAITHFUL,6000.0,6000.0,3400.0,1.0
73,FAITHFUL,20.0,20.0,15.0,FAITHFUL,20.0,20.0,15.0,FAITHFUL,20.0,20.0,15.0,FAITHFUL,20.0,20.0,15.0,1.0
74,FAITHFUL,52.0,52.0,67.0,FAITHFUL,97.0,97.0,67.0,FAITHFUL,52.0,52.0,67.0,FAITHFUL,82.0,82.0,67.0,1.0
76,FAITHFUL,200.0,200.0,175.0,FAITHFUL,155.0,155.0,175.0,FAITHFUL,200.0,200.0,175.0,FAITHFUL,200.0,200.0,175.0,1.0
77,FAITHFUL,58000.0,58000.0,38000.0,FAITHFUL,28000.0,28000.0,38000.0,FAITHFUL,46000.0,46000.0,38000.0,FAITHFUL,58000.0,58000.0,38000.0,1.0
78,FAITHFUL,90.0,90.0,100.0,FAITHFUL,140.0,140.0,100.0,FAITHFUL,110.0,110.0,100.0,FAITHFUL,110.0,110.0,100.0,1.0
79,FAITHFUL,30.0,30.0,25.0,FAITHFUL,29.0,29.0,25.0,FAITHFUL,29.0,29.0,25.0,FAITHFUL,29.0,29.0,25.0,1.0
80,FAITHFUL,24.0,24.0,20.0,FAITHFUL,24.0,24.0,20.0,FAITHFUL,25.0,25.0,20.0,FAITHFUL,24.0,24.0,20.0,1.0
81,FAITHFUL,84.0,84.0,81.0,FAITHFUL,85.0,85.0,81.0,FAITHFUL,87.0,87.0,81.0,FAITHFUL,87.0,87.0,81.0,1.0
82,FAITHFUL,868.0,868.0,1085.0,FAITHFUL,868.0,868.0,1085.0,FAITHFUL,868.0,868.0,1085.0,FAITHFUL,868.0,868.0,1085.0,1.0
83,FAITHFUL,13.0,13.0,5.0,FAITHFUL,11.0,11.0,5.0,FAITHFUL,13.0,13.0,5.0,MAGIC_JUMP,5.0,13.0,5.0,0.75
84,MAGIC_JUMP,200.0,400.0,200.0,FAITHFUL,800.0,800.0,200.0,FAITHFUL,1000.0,1000.0,200.0,FAITHFUL,800.0,800.0,200.0,0.75
85,FAITHFUL,8.0,8.0,16.0,FAITHFUL,8.0,8.0,16.0,FAITHFUL,8.0,8.0,16.0,FAITHFUL,8.0,8.0,16.0,1.0
86,FAITHFUL,10.0,10.0,5.0,FAITHFUL,10.0,10.0,5.0,FAITHFUL,30.0,30.0,5.0,FAITHFUL,10.0,10.0,5.0,1.0
87,FAITHFUL,15.0,15.0,12.0,FAITHFUL,15.0,15.0,12.0,FAITHFUL,15.0,15.0,12.0,MAGIC_JUMP,12.0,15.0,12.0,0.75
88,FAITHFUL,48.0,48.0,40.0,FAITHFUL,48.0,48.0,40.0,FAITHFUL,48.0,48.0,40.0,FAITHFUL,48.0,48.0,40.0,1.0
89,FAITHFUL,800.0,800.0,600.0,FAITHFUL,480.0,480.0,600.0,FAITHFUL,700.0,700.0,600.0,FAITHFUL,480.0,480.0,600.0,1.0
91,FAITHFUL,13.0,13.0,11.0,FAITHFUL,7.0,7.0,11.0,FAITHFUL,13.0,13.0,11.0,FAITHFUL,17.0,17.0,11.0,1.0
94,FAITHFUL,225.0,225.0,180.0,FAITHFUL,270.0,270.0,180.0,FAITHFUL,216.0,216.0,180.0,FAITHFUL,270.0,270.0,180.0,1.0
95,FAITHFUL,18.0,18.0,16.0,FAITHFUL,3.0,3.0,16.0,FAITHFUL,18.0,18.0,16.0,FAITHFUL,14.0,14.0,16.0,1.0
96,FAITHFUL,26.0,26.0,22.0,FAITHFUL,26.0,26.0,22.0,FAITHFUL,26.0,26.0,22.0,FAITHFUL,26.0,26.0,22.0,1.0
97,FAITHFUL,400.0,400.0,700.0,FAITHFUL,1200.0,1200.0,700.0,FAITHFUL,1200.0,1200.0,700.0,FAITHFUL,1200.0,1200.0,700.0,1.0
98,FAITHFUL,5640.0,5640.0,6240.0,FAITHFUL,5640.0,5640.0,6240.0,FAITHFUL,5200.0,5200.0,6240.0,FAITHFUL,5200.0,5200.0,6240.0,1.0
99,FAITHFUL,480.0,480.0,404.0,FAITHFUL,480.0,480.0,404.0,FAITHFUL,450.0,450.0,404.0,FAITHFUL,450.0,450.0,404.0,1.0
101,FAITHFUL,3.0,3.0,2.0,FAITHFUL,2.1,2.1,2.0,FAITHFUL,1.6,1.6,2.0,FAITHFUL,1.8,1.8,2.0,1.0
102,FAITHFUL,3.0,3.0,2.0,FAITHFUL,2.5,2.5,2.0,FAITHFUL,1.5,1.5,2.0,FAITHFUL,1.5,1.5,2.0,1.0
104,MAGIC_JUMP,2.0,2.4,2.0,FAITHFUL,2.5,2.5,2.0,FAITHFUL,2.5,2.5,2.0,FAITHFUL,2.5,2.5,2.0,0.75
105,FAITHFUL,18.0,18.0,12.0,MAGIC_JUMP,12.0,15.0,12.0,FAITHFUL,18.0,18.0,12.0,FAITHFUL,18.0,18.0,12.0,0.75
106,FAITHFUL,6.0,6.0,8.0,FAITHFUL,3.0,3.0,8.0,FAITHFUL,3.0,3.0,8.0,FAITHFUL,10.0,10.0,8.0,1.0
108,FAITHFUL,4.0,4.0,3.0,FAITHFUL,4.0,4.0,3.0,FAITHFUL,4.0,4.0,3.0,FAITHFUL,4.0,4.0,3.0,1.0
109,FAITHFUL,14.5,14.5,12.0,FAITHFUL,14.5,14.5,12.0,FAITHFUL,14.5,14.5,12.0,FAITHFUL,14.5,14.5,12.0,1.0
110,FAITHFUL,6.0,6.0,4.0,FAITHFUL,3.0,3.0,4.0,FAITHFUL,6.0,6.0,4.0,FAITHFUL,6.0,6.0,4.0,1.0
113,FAITHFUL,18.0,18.0,21.0,FAITHFUL,24.0,24.0,21.0,FAITHFUL,18.0,18.0,21.0,FAITHFUL,18.0,18.0,21.0,1.0
114,FAITHFUL,62.0,62.0,70.0,FAITHFUL,62.0,62.0,70.0,FAITHFUL,62.0,62.0,70.0,FAITHFUL,58.0,58.0,70.0,1.0
117,FAITHFUL,140.0,140.0,50.0,FAITHFUL,200.0,200.0,50.0,FAITHFUL,100.0,100.0,50.0,MAGIC_JUMP,50.0,100.0,50.0,0.75
118,FAITHFUL,3.0,3.0,2.0,FAITHFUL,3.0,3.0,2.0,FAITHFUL,4.0,4.0,2.0,FAITHFUL,3.0,3.0,2.0,1.0
119,FAITHFUL,100.0,100.0,50.0,FAITHFUL,100.0,100.0,50.0,FAITHFUL,0.0,0.0,50.0,FAITHFUL,0.0,0.0,50.0,1.0
120,FAITHFUL,60.0,60.0,53.0,FAITHFUL,39.0,39.0,53.0,FAITHFUL,39.0,39.0,53.0,FAITHFUL,39.0,39.0,53.0,1.0
121,FAITHFUL,1300.0,1300.0,1000.0,FAITHFUL,1300.0,1300.0,1000.0,FAITHFUL,1300.0,1300.0,1000.0,FAITHFUL,1100.0,1100.0,1000.0,1.0
122,FAITHFUL,1993.0,1993.0,1685.0,FAITHFUL,1682.0,1682.0,1685.0,FAITHFUL,1682.0,1682.0,1685.0,FAITHFUL,1993.0,1993.0,1685.0,1.0
124,FAITHFUL,9.0,9.0,11.0,FAITHFUL,10.0,10.0,11.0,FAITHFUL,9.0,9.0,11.0,MAGIC_JUMP,11.0,10.0,11.0,0.75
126,FAITHFUL,80.0,80.0,60.0,FAITHFUL,70.0,70.0,60.0,FAITHFUL,70.0,70.0,60.0,FAITHFUL,40.0,40.0,60.0,1.0
127,FAITHFUL,57300.0,57300.0,69000.0,FAITHFUL,65200.0,65200.0,69000.0,FAITHFUL,57300.0,57300.0,69000.0,FAITHFUL,92400.0,92400.0,69000.0,1.0
128,FAITHFUL,2.0,2.0,3.0,FAITHFUL,2.0,2.0,3.0,FAITHFUL,4.0,4.0,3.0,FAITHFUL,4.0,4.0,3.0,1.0
129,FAITHFUL,11.0,11.0,19.0,FAITHFUL,11.0,11.0,19.0,FAITHFUL,11.0,11.0,19.0,FAITHFUL,34.0,34.0,19.0,1.0
131,MAGIC_JUMP,245.0,280.0,245.0,FAITHFUL,210.0,210.0,245.0,FAITHFUL,175.0,175.0,245.0,FAITHFUL,280.0,280.0,245.0,0.75
133,FAITHFUL,60.0,60.0,76.0,FAITHFUL,56.0,56.0,76.0,FAITHFUL,60.0,60.0,76.0,FAITHFUL,70.0,70.0,76.0,1.0
134,FAITHFUL,77.0,77.0,74.0,FAITHFUL,72.0,72.0,74.0,FAITHFUL,77.0,77.0,74.0,FAITHFUL,77.0,77.0,74.0,1.0
135,FAITHFUL,383.5,383.5,300.0,FAITHFUL,360.0,360.0,300.0,FAITHFUL,360.0,360.0,300.0,FAITHFUL,360.0,360.0,300.0,1.0
136,FAITHFUL,5.0,5.0,6.0,FAITHFUL,8.0,8.0,6.0,FAITHFUL,8.0,8.0,6.0,FAITHFUL,12.0,12.0,6.0,1.0
137,FAITHFUL,12.0,12.0,8.0,FAITHFUL,12.0,12.0,8.0,FAITHFUL,12.0,12.0,8.0,FAITHFUL,9.6,9.6,8.0,1.0
138,FAITHFUL,30.0,30.0,24.0,MAGIC_JUMP,24.0,30.0,24.0,FAITHFUL,48.0,48.0,24.0,FAITHFUL,30.0,30.0,24.0,0.75
139,FAITHFUL,1800.0,1800.0,1350.0,FAITHFUL,1800.0,1800.0,1350.0,FAITHFUL,1800.0,1800.0,1350.0,FAITHFUL,1800.0,1800.0,1350.0,1.0
140,FAITHFUL,37500.0,37500.0,31250.0,FAITHFUL,50000.0,50000.0,31250.0,FAITHFUL,25000.0,25000.0,31250.0,FAITHFUL,37500.0,37500.0,31250.0,1.0
141,FAITHFUL,12.0,12.0,15.0,FAITHFUL,21.0,21.0,15.0,FAITHFUL,21.0,21.0,15.0,FAITHFUL,21.0,21.0,15.0,1.0
142,FAITHFUL,9.0,9.0,8.0,FAITHFUL,9.0,9.0,8.0,FAITHFUL,9.0,9.0,8.0,FAITHFUL,16.0,16.0,8.0,1.0
144,FAITHFUL,75.0,75.0,60.0,FAITHFUL,50.0,50.0,60.0,FAITHFUL,95.0,95.0,60.0,FAITHFUL,95.0,95.0,60.0,1.0
145,FAITHFUL,3500.0,3500.0,1500.0,FAITHFUL,2500.0,2500.0,1500.0,FAITHFUL,2500.0,2500.0,1500.0,FAITHFUL,2500.0,2500.0,1500.0,1.0
147,FAITHFUL,8.0,8.0,3.0,FAITHFUL,5.0,5.0,3.0,FAITHFUL,5.0,5.0,3.0,FAITHFUL,1.0,1.0,3.0,1.0
148,FAITHFUL,360.0,360.0,240.0,FAITHFUL,360.0,360.0,240.0,FAITHFUL,360.0,360.0,240.0,FAITHFUL,360.0,360.0,240.0,1.0
149,FAITHFUL,60.0,60.0,120.0,FAITHFUL,100.0,100.0,120.0,FAITHFUL,100.0,100.0,120.0,FAITHFUL,100.0,100.0,120.0,1.0
151,MAGIC_JUMP,20.0,24.0,20.0,MAGIC_JUMP,20.0,23.0,20.0,FAITHFUL,23.0,23.0,20.0,FAITHFUL,23.0,23.0,20.0,0.5
152,FAITHFUL,16.0,16.0,14.0,FAITHFUL,12.0,12.0,14.0,FAITHFUL,18.0,18.0,14.0,FAITHFUL,12.0,12.0,14.0,1.0
153,MAGIC_JUMP,132.0,156.0,132.0,MAGIC_JUMP,132.0,165.0,132.0,FAITHFUL,165.0,165.0,132.0,FAITHFUL,165.0,165.0,132.0,0.5
154,FAITHFUL,440.0,440.0,355.0,FAITHFUL,440.0,440.0,355.0,MAGIC_JUMP,355.0,497.0,355.0,FAITHFUL,440.0,440.0,355.0,0.75
155,FAITHFUL,112.0,112.0,84.0,FAITHFUL,140.0,140.0,84.0,FAITHFUL,112.0,112.0,84.0,FAITHFUL,140.0,140.0,84.0,1.0
156,FAITHFUL,18.0,18.0,12.0,FAITHFUL,18.0,18.0,12.0,FAITHFUL,16.0,16.0,12.0,FAITHFUL,18.0,18.0,12.0,1.0
157,FAITHFUL,790.0,790.0,770.0,FAITHFUL,790.0,790.0,770.0,FAITHFUL,840.0,840.0,770.0,FAITHFUL,920.0,920.0,770.0,1.0
158,FAITHFUL,46.0,46.0,40.0,FAITHFUL,46.0,46.0,40.0,FAITHFUL,46.0,46.0,40.0,FAITHFUL,46.0,46.0,40.0,1.0
160,FAITHFUL,8.0,8.0,7.0,FAITHFUL,8.0,8.0,7.0,FAITHFUL,8.0,8.0,7.0,FAITHFUL,9.0,9.0,7.0,1.0
161,FAITHFUL,0.0,0.0,5.0,FAITHFUL,10.0,10.0,5.0,FAITHFUL,12.5,12.5,5.0,FAITHFUL,10.0,10.0,5.0,1.0
162,FAITHFUL,165000.0,165000.0,132000.0,FAITHFUL,165000.0,165000.0,132000.0,FAITHFUL,165000.0,165000.0,132000.0,FAITHFUL,165000.0,165000.0,132000.0,1.0
163,FAITHFUL,780.0,780.0,900.0,FAITHFUL,1500.0,1500.0,900.0,FAITHFUL,1500.0,1500.0,900.0,FAITHFUL,780.0,780.0,900.0,1.0
164,FAITHFUL,5.0,5.0,15.0,FAITHFUL,30.0,30.0,15.0,FAITHFUL,45.0,45.0,15.0,FAITHFUL,5.0,5.0,15.0,1.0
165,FAITHFUL,43000.0,43000.0,40000.0,FAITHFUL,43000.0,43000.0,40000.0,FAITHFUL,43000.0,43000.0,40000.0,FAITHFUL,43000.0,43000.0,40000.0,1.0
167,FAITHFUL,12.0,12.0,6.0,FAITHFUL,12.0,12.0,6.0,FAITHFUL,12.0,12.0,6.0,FAITHFUL,12.0,12.0,6.0,1.0
168,FAITHFUL,36.0,36.0,35.0,FAITHFUL,37.0,37.0,35.0,FAITHFUL,38.5,38.5,35.0,MAGIC_JUMP,35.0,37.0,35.0,0.75
169,FAITHFUL,10.0,10.0,9.0,FAITHFUL,10.0,10.0,9.0,FAITHFUL,10.0,10.0,9.0,FAITHFUL,10.0,10.0,9.0,1.0
171,FAITHFUL,7.0,7.0,6.0,FAITHFUL,7.0,7.0,6.0,FAITHFUL,7.0,7.0,6.0,FAITHFUL,3.75,3.75,6.0,1.0
173,FAITHFUL,75.0,75.0,60.0,FAITHFUL,63.0,63.0,60.0,FAITHFUL,66.0,66.0,60.0,FAITHFUL,75.0,75.0,60.0,1.0
174,FAITHFUL,1170.0,1170.0,936.0,FAITHFUL,1170.0,1170.0,936.0,FAITHFUL,1170.0,1170.0,936.0,FAITHFUL,1170.0,1170.0,936.0,1.0
175,FAITHFUL,160.0,160.0,80.0,FAITHFUL,100.0,100.0,80.0,FAITHFUL,100.0,100.0,80.0,FAITHFUL,100.0,100.0,80.0,1.0
176,FAITHFUL,4.0,4.0,3.0,FAITHFUL,4.0,4.0,3.0,FAITHFUL,6.0,6.0,3.0,FAITHFUL,4.0,4.0,3.0,1.0
178,FAITHFUL,210.0,210.0,140.0,FAITHFUL,210.0,210.0,140.0,FAITHFUL,210.0,210.0,140.0,FAITHFUL,210.0,210.0,140.0,1.0
179,FAITHFUL,20.0,20.0,15.0,FAITHFUL,20.0,20.0,15.0,FAITHFUL,20.0,20.0,15.0,FAITHFUL,20.0,20.0,15.0,1.0
180,FAITHFUL,175.0,175.0,315.0,FAITHFUL,175.0,175.0,315.0,MAGIC_JUMP,315.0,175.0,315.0,FAITHFUL,175.0,175.0,315.0,0.75
181,FAITHFUL,3.0,3.0,4.0,FAITHFUL,3.0,3.0,4.0,FAITHFUL,3.0,3.0,4.0,FAITHFUL,2.5,2.5,4.0,1.0
182,FAITHFUL,9.0,9.0,6.0,FAITHFUL,7.0,7.0,6.0,FAITHFUL,9.0,9.0,6.0,FAITHFUL,7.0,7.0,6.0,1.0
184,FAITHFUL,120.0,120.0,240.0,FAITHFUL,0.0,0.0,240.0,FAITHFUL,120.0,120.0,240.0,FAITHFUL,120.0,120.0,240.0,1.0
185,FAITHFUL,48.0,48.0,60.0,FAITHFUL,75.0,75.0,60.0,FAITHFUL,75.0,75.0,60.0,FAITHFUL,80.0,80.0,60.0,1.0
186,FAITHFUL,39.0,39.0,33.0,FAITHFUL,39.0,39.0,33.0,FAITHFUL,42.0,42.0,33.0,FAITHFUL,39.0,39.0,33.0,1.0
187,FAITHFUL,43.0,43.0,39.0,FAITHFUL,43.0,43.0,39.0,FAITHFUL,43.0,43.0,39.0,FAITHFUL,43.0,43.0,39.0,1.0
188,FAITHFUL,3.0,3.0,2.0,FAITHFUL,3.0,3.0,2.0,FAITHFUL,3.0,3.0,2.0,FAITHFUL,1.0,1.0,2.0,1.0
