id,Premise,Hypothesis,gold_label,Explanation
29,Person in blue jacket on a bike on a dirt course with people looking from behind a red and white barrier.,The people behind the barrier are watching a guy on a bike.,entailment,If they are looking from behind that indicates they are watching.
30,A band is practicing their routine.,A band rehearses for the battle of the band competiton.,neutral,"We can't infer that they are practicing for the battle of the band competition, it could be for anything."
31,A laboratory worker making a phone call.,A woman is doing lab experiments with a telephone,contradiction,A laboratory worker can't be making a phone call and doing lab experiments with a telephone at the same time.
32,A man in a yellow shirt is on a roof hammering in shingles.,A man fixes his roof after a storm.,neutral,Roof damage can be caused by more than just a storm.
33,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,Three woman are leaning on a fence watching a concert,neutral,Just because the women are leaning on a fence does not mean they are watching a concert.
34,Man on a motorcycle performing a trick high in the air.,A man on a Kawasaki is performing a trick high in the air.,neutral,Man on a motorcycle performing a trick high in the air does not indicate man is on a Kawasaki performing
35,Two dogs playing in a yard.,The dogs are inside the house.,contradiction,Dogs are either playing in a yard or are inside the house.
36,"A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.",There is a person playing an instrument.,entailment,A balding man is a person.
37,A guy wearing protective pants is carving an owl on a perch out of wood using a chainsaw.,A man wearing yellow pants is carving an owl.,neutral,Not all protective pants are yellow.
38,A man in orange is demonstrating the use of a peeler.,a chef teaching how to cook,neutral,Not all man is chef.
39,A guy in a blue polo shirt and shorts addresses an audience in an auditorium.,A rock band is playing on a stage.,contradiction,one is about a guy addressing an audience while the other is about a band playing on a stage
40,A young man on an indoor stage stands before a microphone while holding a guitar.,a young man sits alone in his apartment,contradiction,The man would not be on an indoor stage while in his apartment.
41,A young girl stands barefoot on a driveway and uses a hula-hoop.,The hula-hoop is pink.,neutral,Not all hula-hoops are pink.
42,Shirtless men in their underwear are running with a blond in red underwear.,Men wearing very little clothing are jogging around the yard with a blond person wearing very little clothing.,neutral,"Although they are running with a blond, it does not imply they are in the yard."
43,A boy is kicking a ball across the street.,it  was  kicked  acrossed the  street,neutral,it could mean any object besides a ball.
44,A native person doing a dance.,a person dancing,entailment,doing a dance implies dancing
45,A person in a red hat is walking past a building that is in need of a paint job.,Someone is taking a walk outside.,entailment,"A person in a red hat is someone, and buildings are outside."
46,A man is laughing with his hand up in the air and a little boy is watching him and laughing.,The boy is wearing socks.,neutral,Cannot assume that the little boy is wearing socks.
47,Some people are gathered on a sidewalk next to some colorful umbrellas and bags.,The umbrellas are black.,contradiction,Colorful umbrellas are different then black umbrellas
48,A mountain biker is jumping his bike over a rock as another cyclist stands on the trail watching.,Skateboarder shreds the street course.,contradiction,A trail is not a street.
49,"Three male students, one in red peering through a microscope.",Three boys are looking into a science instrument.,entailment,"The three boys are working on a science project, while one in red is looking through the science instrument."
50,Young skateboarding boy flips his board while performing a stunt.,A skateboarding boy does stunts.,entailment,A boy flips his board while skateboarding implies he does stunts.
51,five hikers walk down the hillside.,Five hikers walk down the hillside,entailment,if five hikers are walking down a hillside then five hikers walk down a hillside.
52,Toe women sitting on the concrete ledge of a graffiti covered wall.,The toe women are inside sleeping.,contradiction,"The women are either sitting on the concrete ledge or they are inside sleeping, it can't be both."
53,A man plays an acoustic guitar on a subway platform.,A man is playing music.,entailment,Playing an acoustic guitar is a type of music.
54,Man in black shirt holding a short-haired woman.,Man in shirt is holding a woman.,entailment,"The second sentence doesn't describe how the man is holding the woman, or the provided details about her."
55,Woman in blue shirt blowing very large bubble,A woman blows a bubble.,entailment,Woman in blue shirt is a type of woman.
56,A black and white dog looks at a man about to throw something.,The man is his owner.,neutral,Only because a dog looks at a man doesn't necessarily mean the man is his owner.
57,a young child throwing stones into a shallow stream.,A child sits next to a stream.,neutral,A child throwing stones into a stream may not be sitting next to it.
58,A young boy in a black jacket is running towards a woman with outstretched arms.,A boy is running towards an eagerly waiting woman,entailment,A young boy running towards a woman with outstretched arms simply means a boy is running towards an eagerly waiting woman
59,A small dog and a large dog with a rope in its mouth.,One cat nibbles on a mouse given by his owner.,contradiction,Dog and cat are different.
60,An old woman is knitting with blue yarn.,A teenager knits a scarf.,contradiction,An old woman cannot be a teenager.
61,"Runners, some in costume, in a St Paddy's day Marathon run in the streets as people watch.",Runners butt naked running a marathon,neutral,Runners without or with butt naked can run
62,A black and white dog is going through an obstacle course.,The animal is on a course.,entailment,Dog is animal.
63,Group of men in blue shirts drying off a red car at a car wash.,Group of men in blue shirts and black pants drying off a red car at a car wash.,neutral,We do not know they are in black pants.
64,Three guys sitting at the table together drinking beers and taking pictures.,Three guys are getting drunk,neutral,just because three guys are sitting at the table together drinking beers and taking pictures doesn't mean they are getting drunk
65,three people standing on the side of a snowy grassy hill,Three people are standing on a hill.,entailment,People are standing on a hill that is snowy and grassy.
66,A woman realigns her sock in a messy park.,A women stopped running to fix her sock.,neutral,A woman realigning her sock in a park does not mean that she is running.
67,Children and adults in bright colored clothes are dancing.,The people are dancing at a party.,neutral,Dancing does not only happen at parties - it could be occurring in another setting
68,A dog playing in the grass.,An animal enjoying its time outdoors.,entailment,A dog is an animal.
69,A man wearing a green shirt is trying to comfort his crying child by holding the child and giving him a kiss on the cheek.,There is a kid crying and being held by a man.,entailment,"A crying child is a rephrasing of a kid crying. When someone is holding a child, the child, or kid, is being held."
70,Three people on a boat are laughing and smiling.,Three people are making jokes about the sea.,neutral,"People laughing may not be telling jokes. Perhaps something amusing happened nearby. Even if they are telling jokes, just because they are on a boat the jokes might not have been about the sea."
71,Man is laying down on red lounge chair.,The man sleeping in his bed.,contradiction,A lounge chair is not a bed.
72,A person sitting on a hill outside.,A person sits on a hill to have a picnic,neutral,A person sitting on a hill outside is not necessarily a person who sits on a hill to have a picnic.
73,a woman trying on open toed shoes while shopping.,The woman is at home.,contradiction,The woman can be either shopping or at home.
74,A woman organizing lettuce in a market.,A man picks through some lettuce,contradiction,A man picking through lettuce is different from a woman organizing lettuce
75,A hitter is swinging a bat at a baseball during a game while the catcher and umpire look on.,The pitcher has just thrown a strike.,neutral,It cannot be assumed that the pitcher threw a strike.
76,Woman balances a pie on her head and looks up into camera,A woman is standing up.,entailment,There is a woman standing up with a pie on her head.
77,A boy and a girl playing on the beach.,The boy and girl are outside.,entailment,A beach is always found outside.
78,A little boy splashing in a blue inflatable pool.,The little boy was having fun splashing in the pool,neutral,Splashing in a pool does not imply he is having fun.
79,The person wearing earrings is wearing a feathered hat.,The person is sleep without her earrings.,contradiction,The person can either be wearing or not wearing earrings.
80,A young man walks through Grand Central Station with his shadow cast by the light cascading down from the windows behind.,A man is waiting for a bus at the terminal.,contradiction,"Waiting implies being still, not walking.  There are no buses at Grand Central Station.  Terminal is different from station."
81,A man is swinging on a rope over water.,a man is swinging,entailment,A man is swinging is the same as a man is swinging
82,A young woman rests her head on a man's shoulder.,The man and woman are dating.,neutral,Resting her head may not imply that they are dating.
83,A crane operates amidst piles of rubble.,Gardeners tend to a flower bed.,contradiction,A flower bed is not the same thing as piles of rubble.
84,A woman is grating cheese.,A woman is grating cheese.,entailment,both sentences refer to the same woman grating cheese
85,The boy in the red shirt is holding a rock.,The boy's red shoes are the only red thing he is wearing.,contradiction,The boy cannot be wearing only one red thing if he is wearing a red shirt and red shoes.
86,A kicker launches the football forward while the holder checks his fingers.,kicker kicks ball,entailment,A kicker launches the football forward definitely kicks the ball.
87,A man with tattoos and the Confederate flag is standing with his hands in his pants pockets.,a man with a confederate flag has no tattoos,contradiction,A person can't be said to have tattoos and no tattoos at the same time.
88,Two women are standing in the snow looking towards a tower with a orange cone shaped light.,The women are cooking dinner inside.,contradiction,Snow happens outside while dinner happens inside.
89,Children playing on a playground.,The children are playing on the swings in the playground.,neutral,Not all children playing on a playground are playing on the swings.
90,A man in a tuxedo plays a brass instrument in accompaniment with a female piano player.,The couple are playing a jazz tune.,neutral,A man with a brass instrument and a female piano player aren't restricted to being able to play a jazz tune only.
91,A woman wearing a red blouse and a short is standing looking far ahead,Her gaze goes off into the distance.,entailment,When a woman is looking far ahead her gaze goes off into the distance.
92,Three people are being silly in the woods.,three people are in the woods,entailment,If there are three people being silly they can be in the woods.
93,a young man wearing a blue striped shirt standing in front of a floral patterened couch,A person stands before a piece of furniture.,entailment,That a person stands before a piece of furniture is a short version of a young man wearing a blue shirt is standing in front of a floral patterened couch
94,Two men and a woman walking together.,Two girls and three men are running together.,contradiction,Woman and men are different.
95,A man standing on a green post watching a train go by.,A man is watching a bus,contradiction,A bus and a train are different modes of transportation.
96,A girl sitting on a trampoline tossing a water bottle in the air,The girl is playing on a trampoline,entailment,trampoline tossing a water refers to playing on a trampoline
97,A baseball player in mid-swing.,A baseball player in swing.,entailment,The player swings.
98,Two men in safety harnesses work together.,Two men are co-workers.,entailment,Men are co-workers so they will be working together.
99,five little boys playing soccer.,The boys are playing basketball,contradiction,Soccer and basketball are two different sports.
100,A woman and her daughter seated at a table in the library reading a book together.,Two females rest in a library.,entailment,A woman and daughter constitute two females. Being seated at a table is resting.
101,The teenagers are fighting over a basketball during a game.,Some kids playing a sport.,entailment,"Teenagers are kids, and basketball is a sport."
102,A boy getting his hair buzzed off by another boy.,A boy getting a haircut because he has gum in his hair.,neutral,You can get a haircut for other reasons then having gum in your hair
103,A man with stretched earlobes wearing a black hat stands in front of a display of food for sale.,A man is standing in front of a food display.,entailment,Standing is a rephrasing of stands.
104,Man in an orange shirt with tattoos walking two large poodles.,The man's shirt is orange.,entailment,there is a man in orange shirt
105,Some kind of convention with booths set up and many people wearing tuxedos.,People at the movies,contradiction,Conventions are different then a movies
106,two women are sitting on a park bench talking to each other.,the child is black,neutral,The two women may not have a child.
107,A male on Rollerblades skating down a railing next to stairs.,A guy does a rollerblading trick.,entailment,a guy does rollerblading trick is a rephrasing of male on rollerblades skating
108,Young boy with a white shirt and jeans singing into a microphone with three other boys in the background.,A young boy is singing,entailment,He is singing.
109,"Three people, two males and a female, are sitting in front of a tall tree on the ground during a rest from a hike.",The three women hike.,contradiction,Two males and a female is not the same as three women.
110,A man wearing an Alaska sweatshirt and a baseball cap is buying lottery tickets.,After a game a man wearing an Alaska shirt and baseball cap is buying scratchers to win money,neutral,A man doesn't necessarily have to buy the scratchers to win lottery.
111,A woman with long dark hair sitting with her legs crossed.,"The long-haired woman is relaxing, enjoying her rest",neutral,"It cannot be inferred from sentence 1 that the woman is relaxing, enjoying her rest."
112,"Kite surfers are surfing in a shipping harbor on a clear windy day, in the background is a snowcapped mountain.",There is only one person present.,contradiction,If only one person is present then surfers cannot be present also.
113,"American soldiers play in a marching band with drums labeled Fort Lewis, Washington.",Some men in uniform are playing in a marching band,neutral,Not all American soldiers are men in uniform. They could be women.
114,One dog with an object in its mouth is met by another dog nearby a fence.,One dog lies napping next to another dog in a field.,contradiction,A dog cannot be napping with an object in its mouth simultaneously.
115,Lots of people in different costumes at some kind of party.,There are lots of people who are wishing they were at a party.,contradiction,"If people are wishing they were at a party, they are not at some kind of party, but rather doing something else."
116,A naked woman with pink hair and tattoos is standing in a crowd in front of a cloth barrier.,A naked woman with blue hair and tattoos is sitting in a crowd behind a cloth barrier.,contradiction,Pink is not blue. Standing is not sitting. In front is not behind.
117,An older lady in a black shirt is adding ingredients to a KitchenAid mixing bowl as a crowd looks on.,A person is making a chocolate cake.,neutral,Someone can use a mixing bowl for something other than making a chocolate cake.
118,Man playing a tune on his flute.,A man is playing a trumpet.,contradiction,Flute is not a trumpet.
119,Two women with stethoscopes and a man with a blue hairnet on working tedious over an unknown object or person.,The women are wearing crosses.,contradiction,"If someone is wearing a stethoscope, they are likely at work and not wearing jewelry, such as crosses."
120,Hispanic man holding a very large basket while standing in the street.,A man is playing an instrument.,contradiction,Holding something is different than playing something
121,A dirt dog runs down a muddy shore.,A dog is running down the shore.,entailment,A dog being on the shore implies that he is muddy.
122,A woman is looking on the food she kept in the glass box.,The woman is cleaning,contradiction,cleaning is different from looking on the food
123,"A group of people are standing outside at a carnival, near a ride called the Green Jungle.",They are preparing to take the ride.,neutral,Standing near a ride does not mean they are preparing to take the ride.
124,A young girl sitting on a small chair surrounded by what looks like handmade fabrics and bags.,A young girl is picking out her favorite fabric.,neutral,That a girl is surrounded by fabrics doesn´t mean she is picking out her favorite fabric.
125,Two women are standing in the snow looking towards a tower with a orange cone shaped light.,A tower shines its orange light.,entailment,Two women looking towards a orange light tower in snow
126,Female performers wearing white stage makeup and costumes with a dark background.,fish sleeps,contradiction,The subjects can be either female performers or a fish that sleeps.
127,Walkers at an event in a park.,People are walking to raise money for charity,neutral,"Just because people are walking in a park for an event, it doesn't mean that they are raising money for charity."
128,Two people making funny faces at each other.,Two people are facing each other,entailment,Not all the people are are facing are making funny faces
129,Students sitting outside in a forest with books and pencils.,The students had their books and pencils ready as they sat outside in the forest.,entailment,Both say that the students say outside in the forest.
130,A man standing in the water.,The man is standing in a pool.,neutral,We don't know if the water is a pool.
131,A woman wearing a black coat and sunglasses is standing in front of a man walking away with a backpack.,A woman and a man are clothed.,entailment,Wearing a coat is being clothed.
132,A little boy is playing on a playground rocking toy.,a young blonde boy plays outside,neutral,NOT ALL BOYS ARE BLONDE AND HE MAY NOT BE PLAYING OUTSIDE ON THE TOY.
133,A man plays guitar in an outside theater.,A man is scuba diving at the reef.,contradiction,Someone playing guitar is not a scuba diver.
134,A woman stands on the curb next to a busy street.,the woman is white,neutral,Not all women are white.
135,Two men in a kitchen holding an object.,There are men making cupcakes.,neutral,The object not necessarily be cupcakes
136,"Runners, some in costume, in a St Paddy's day Marathon run in the streets as people watch.",people are racing in a st paddys day marathon,neutral,It cannot be inferred that the people are racing in a marathon.
137,People look upon a monument where a speed is being given.,People at a national monument,neutral,The monument doesn't have to be a national monument.
138,Two people converse in the middle of beautiful apartment buildings.,A couple of people are talking around some buildings.,entailment,"If you converse with someone then you are, by definition, talking to them."
139,A small child in a blue outfit is looking off at some trees in the distance.,A small child in red outfit looks at the cat in front of him.,contradiction,The child can either be wearing a blue outfit or a red outfit. The child can either be looking at some trees in the distance or at the cat in front of him.
140,A man stands looking out to sea on a raised platform between two large columns that hold a huge bell,There is a man on a watchtower.,neutral,A raised platform doesn't necessarily mean watchtower.
141,A man watching as one woman in a brown coat is talking to another woman in a gray coat.,Two women are talking,entailment,One woman talking to another woman indicates two women are talking.
142,"Two children, a boy and a girl, running across the dirt.",A brother and sister are running.,neutral,"Just because two children, a boy and a girl, running across the dirt doesn't necessarily mean that they are brother and sister."
143,A man in a green jacket plays a clown-themed carnival game while others watch.,The man is playing rock music.,contradiction,Is he playing clown-themed carnival game or rock music
144,A boy poses for a picture and in the background a man is hanging by a rope.,The man has been lynched.,neutral,Hanging does not implicitly mean the man had been lynched.
145,A group of men in jumpsuits walk along the dock of the Bumi Jaya.,Men walking along a dock.,entailment,walking is another form of walk.
146,Young brown children watching something on the internet.,Young children watching something on the internet.,entailment,THEY ARE ON THE INTERNET.
147,a violist playing next to an advertising sign,A violinist plays the flute next to an advertising sign.,contradiction,A violist is not a violinist.
148,A man with a tool belt talks to another man in a basement.,Two men are talking in the car.,contradiction,Two men is more than one man. Cars aren't in basements.
149,A man in a red jacket standing in a doorway.,A man wearing a jacket is in a doorway.,entailment,The man in the red jacket standing in the doorway must be the man wearing a jacket in the door way.
150,Two women sitting down next to a river.,A river with two women next to them.,entailment,"If the river was next to the women, then the women would be next to the river."
151,A woman is excited and about to pop a bottle of wine as a young boy stands behind her looking quite anxious.,The boy thinks the woman is pretty.,neutral,You can look anxious and not think a woman is pretty.
152,a young male playing with bubbled outside of a business,a young male is playing with bubbles,entailment,A male playing with bubbled must be playing with bubbles.
153,The wet dog leaped toward the basketball.,The dog leaped to the ball.,entailment,The dog leaped towards the basketball which is a type of ball.
154,A bellhop is pushing a cart.,A person is pushing something,entailment,"In a both sentence,a person is pushing."
155,A man wearing a red had that says NYC looks into the distance.,The man is wearing a souvenir from NYC.,entailment,"Sentence one states the man is wearing a red hat that says NYC Sentence two says the man is wearing a souvenir from NYC, this could be the red hat"
156,Five guys burying themselves in the sand with a dog behind them.,Five guys burying themselves in the sand with a black and white dog behind them.,neutral,There is no indication that the dog is black and white.
157,Man on skis attempting to jump over a snow pile,A man is skiing.,entailment,Mans skiing to jump over a snow pile.
158,An asian man throwing a dart with a group of other men.,A group of students sit at their desks in a classroom.,contradiction,The group cannot be throwing darts in a classroom.
159,A balding man sits on the sidewalk leaned against a bunch of woven blankets.,The man sat on the sidewalk.,entailment,A man could be balding.
160,A vietnamese man driving a tractor through a dirt ravine while a woman rides on the back.,the man is driving a tractor.,entailment,A Vietnamese man is a man.
161,Drummers march down the street past onlookers.,Drummers are outside.,entailment,If people march down the street then they are outside.
162,An old lady in a big black coat holds the hand of a young boy in a blue jacket in the subway.,A old lady looks through her cabinets for her favorite mug.,contradiction,An old lady cannot look through her cabinets while being on the subway simultaneously.
163,A man wearing a blue shirt and matching helmet is jumping his bike over a hill.,A man in a green shirt rides his motorcycle.,contradiction,He can't have two shirts on that is a blue shirt and a green shirt and  happen to match the helmet unless it's talking about a different man.
164,Truck driver driving a eighteen wheeler truck.,The driver is a man,neutral,"The driver need not necessarily be a man, it may be a female driver too."
165,The child has his mouth open and is surrounded by adults dancing.,The child is in awe of the grown ups dancing.,entailment,the boy has his mouth open because he wants to dance like the adults.
166,An old Asian man is playing a Asian Tradition Guitar.,The youth is a very good musician.,contradiction,Old means older and youth means younger.
167,We see a shot of a Korean historical drama with a man in bright red and yellow costume is in the foreground.,The man is naked.,contradiction,One cannot be naked and costumed at the same time
168,People are checking out at target.,Women run outside.,contradiction,One cannot run and check out simultaneously.
169,A motorcyclist speeds down the road.,The motorcyclist is kicking up dirt on the dirt road.,neutral,Speeding down the road doesn't imply the road is a dirt road.
170,A man with a beard& glasses is sleeping on public transportation while wearing a funny cap.,A man is sleeping in public.,entailment,Both sentences have a man sleeping in public but the first sentence is more specific.
171,A baseball player swings at an oncoming ball while the catcher gets ready and the umpire looks on.,A baseball player is playing baseball.,entailment,A baseball player and a catcher are positions needed in playing baseball.
172,A person in jeans and a blue sweatshirt aims a camera while standing near a crowd of people.,a boy plays with a toy camera,contradiction,"The person isn't necessarily a boy and if he is aiming the camera near a crowd, it is unlikely that it is a toy camera."
173,"Eleven people gather in lake, group on left are male and conversing, group on right, male and female, walking further out into lake.",People are by the water.,entailment,The people are walking further into the lake so they must be by the water.
174,A group of men finish a fund raising run for Haiti in 28:24.,A group of men finish a marathon.,entailment,The fund raising run is a marathon.
175,Three guys sitting on a sandy beach near the water and one is talking to the two little girls.,The guys sat on the beach near the water.,entailment,Three guys sitting is rephrased as 'the guys sat'
176,A man is panting a piece of wood.,A man is painting a nature scene on a piece of wood.,neutral,"A man can paint anything on a piece of wood, it does not have to be a nature scene."
177,Two young barefooted girls are climbing an old lava flow with their father and mother following close behind.,A family is climbing in the outdoors.,entailment,OLD LAVA FLOW S ARE OUTDOORS.
178,Several people are gathered on the steps in front of a brick building.,People on steps in front of a park.,contradiction,brick building is not a park.
179,Two girls are carrying a shoe each in their hands while walking down the road wearing a sports costume.,The boy is at school working on homework alone,contradiction,"a girl is referred to in the 1st sentence, not a boy"
180,A warmly dressed man stands with a carving station on the street in front of his rotisserie machine.,A man dressed for the winter is by a rotisserie machine,entailment,"If the man stands in front of his rotisserie machine, he is by a rotisserie machine."
181,A man is sitting outside a cafe on a stepladder,A man is climbing up a telephone pole.,contradiction,Climbing and sitting are different.
182,Person dressed in black with a blue hat next to several cats outside.,A person standing next to some dogs outside.,contradiction,The person is standing next to cats in one sentence and dogs in the other sentence.
183,A fireman begins to cross the street towards the fire.,There is a fire.,entailment,A fireman responds to a fire as his duty.
184,A lot of people gathered in a park.,A large group of people are present.,entailment,A lot of people is a large group. Gathering at a location makes them present.
185,A young woman in a bikini holding a bottle is goofing around and kicking a man in a straw hat.,A woman playfull kicks a man.,entailment,A woman is kicking a man.
186,A couple in black coats is looking at the camera with pleasant expressions on their faces.,There is a couple in black coats looking at the camera so they can have their 15 minutes of fame.,neutral,A couple in black coats is looking at the camera with pleasant expressions on their faces does not mean couple in black coats looking at the camera so they can have their 15 minutes of fame
187,A smiling middle-aged man wearing over-sized red sunglasses and a colorful patterned shirt sits in the grass in front of a blue-green backdrop.,A human smiling,entailment,a man is a human.
188,Some people are swimming in water; one has goggles on.,The water is cold.,neutral,Not all water that is swam in is cold.
189,"A gentleman is hanging from a window, cleaning the outside of the window, while a gentleman on the inside watches.",A human hanging,entailment,A Human refers gentleman is hanging from a window
190,A man in a colorful t-shirt is standing at an outside food stall.,A man stands by a food stall.,entailment,A man standing at an outside food stall implies the man stands by a food stall as part of the original description of the man in a colorful t-shirt.
191,Two women are sitting at a makeshift table.,Two men on a bed.,contradiction,Two women at a table are not at all the same as two men on a bed.
192,A girl dancing with four boys watching.,A girl is dancing with one of the four,contradiction,There can be either a girl dancing with four boys watching or a girl is dancing with one of the four boys.
193,A man and two small children laying on a tiled floor.,a guy and two kids play inside,entailment,A man is also a guy.  Children are also called kids.  A tile floor would be located inside.
194,a number of people standing on the sidewalk along side the front doors of a transit bus,people are waiting for a bus.,neutral,"They may not be waiting for the bus, they may be exiting the bus"
195,A small child bangs a metal pan with a red and tan wooden hammer.,The child is wearing a blue shirt and brown pants.,neutral,A small child banging a metal pan is not necessarily  wearing a blue shirt and brown pants.
196,Snow is being kicked up by the board.,There is snow on the ground.,entailment,Snow cannot be kicked up unless it is on the ground.
197,A baseball pitcher in a circle with a symbol to his right.,He is good at sports.,neutral,A person playing doesn't mean they are good at sports.
198,Two people in lawn chairs reading books.,A man and a woman are in lawn chairs reading books,neutral,The two people don't necessarily need to be one of each gender. It could be two men or two woman instead.
199,"Two male clowns, one in a plaid suit and the other in black, performing a musical number in a theater setting.",The clowns are in the dressing room.,contradiction,The clowns cannot be in the theater setting and dressing room at the same time.
200,Father and daughter sitting down on bench and talking peacefully at a beautiful park.,People sitting and talking.,entailment,the people are father and daughter
201,Two horses are neck to neck at a race.,Two cows are neck to neck at a race.,contradiction,Horses and cows are different species of animals.
202,People are standing watching something and taking pictures.,People are observing something.,entailment,Watching something is observing something.
203,"The man, who is wearing the handkerchief, is performing a task with the tub while the woman watches.",A man performs open heart surgery,contradiction,Performing open heart surgery is not normally done with a tub.
204,A man in a red shirt sits atop a mountain.,The man is a mountain climber.,neutral,Sitting atop a mountain does not indicate that the person is necessarily a mountain climber.
205,A policeman stands at the corner of an office building while keeping watch on a red fire hydrant.,The person is waiting to catch a bank robber.,neutral,keeping watch does not imply he is waiting for a bank robber.
206,People are on stage playing music to a group of people.,A group on stage is playing rock music to people who are gathered.,neutral,The genre of the music being rock cannot be assumed.
207,A man in a hat riding a bucking horse.,A man is performing in a rodeo.,neutral,"Not all men in hats riding bucking horses are performing, and not all are performing in rodeos specifically"
208,A portly man in an orange jumpsuit standing next to a woman in gray on the highway with a motorcycle laying on its side in the middle of the highway.,A man and woman gaze at their motorcycle after crashing it on the highway.,neutral,"The motorcycle does not have to be their motorcycle for them to be near it, and it also does not have to be on its side because of crashing it on the highway."
209,A girl in a red and black striped shirt sits on a brick wall in front of a tropical plant.,A girl sitting on a wall.,entailment,"If someone sits, they will be sitting."
210,A woman wearing glasses holds a young child.,The woman is smiling and looking down at the child.,neutral,"We have no idea she is smiling and looking down, she could be looking anywhere and she might not be smiling at all."
211,"An older individual crosses the street on what seems to be an overcast day, traffic approaches in the background.",Old person crosses street,entailment,individual almost the same as  person
212,A man playing a guitar on stage while a man plays drums in the background.,"A man playing a guitar on stage, singing in an alien language.",contradiction,The man is either playing drums or singing.
213,The two dogs are running toward the camera.,There are two dogs.,entailment,The two dogs are running shows that There are two dogs
214,The red skirt of a female dancer swirls while her feet and her male partner's feet dance on concrete.,Two people are dancing.,entailment,female dancer is dancing with her male partner
