id,premise_text,evidence_original,evidence_lexical,evidence_syntactic,evidence_pragmatic
25,A person with a bag walking in a big city.,"[""A person"", ""with a bag"", ""walking""]","[""person"", ""walking"", ""with a bag""]",[],"[""A person"", ""walking"", ""a bag""]"
26,14 men standing on a stairway outside almost all wearing the same shirt.,"[""standing"", ""stairway"", ""almost all wearing the same shirt""]","[""standing"", ""stairway"", ""almost all wearing the same shirt""]","[""standing"", ""stairway"", ""almost all wearing the same shirt""]","[""standing"", ""stairway"", ""almost all wearing the same shirt""]"
27,Two children walking down a path in the woods.,"[""woods""]","[""path in the woods""]","[""children"", ""woods""]","[""woods"", ""walking down a path""]"
28,Young people are playing in the snow while an older person seems to be taking pictures.,"[""Young people"", ""playing in the snow""]","[""Young people"", ""playing in the snow""]","[""Young people"", ""playing in the snow""]","[""Young people are playing in the snow""]"
29,Person in blue jacket on a bike on a dirt course with people looking from behind a red and white barrier.,"[""people looking"", ""behind a red and white barrier"", ""red and white barrier"", ""bike""]","[""people"", ""behind a red and white barrier"", ""looking"", ""Person"", ""on a bike"", ""blue jacket""]","[""Person"", ""on a bike"", ""people looking"", ""behind a red and white barrier""]","[""people"", ""behind a red and white barrier"", ""Person"", ""on a bike"", ""looking""]"
30,A band is practicing their routine.,"[""A band"", ""practicing"", ""routine""]","[""practicing"", ""band""]","[""A band"", ""practicing their routine""]","[""practicing their routine""]"
31,A laboratory worker making a phone call.,"[""laboratory worker"", ""making a phone call""]","[""laboratory worker"", ""making a phone call""]","[""laboratory worker"", ""making a phone call""]","[""laboratory worker"", ""making a phone call""]"
32,A man in a yellow shirt is on a roof hammering in shingles.,"[""man"", ""roof"", ""hammering in shingles""]","[""hammering in shingles"", ""roof""]","[""man"", ""on a roof"", ""hammering in shingles""]","[""A man in a yellow shirt"", ""on a roof"", ""hammering in shingles""]"
33,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,"[""Three brown-haired women"", ""lean against a metal fence""]","[""Three women"", ""lean against"", ""a metal fence"", ""staring to the left""]","[""brown-haired"", ""brown and green skirts"", ""lean against a metal fence"", ""staring to the left""]","[""Three brown-haired women"", ""lean against a metal fence""]"
34,Man on a motorcycle performing a trick high in the air.,"[""Man on a motorcycle"", ""performing a trick""]","[""Man"", ""on a motorcycle"", ""a trick"", ""high in the air""]","[""Man on a motorcycle"", ""performing a trick"", ""high in the air""]","[""Man"", ""motorcycle"", ""performing a trick"", ""high in the air""]"
35,Two dogs playing in a yard.,"[""playing"", ""in a yard""]","[""playing"", ""in a yard""]","[""playing"", ""in a yard""]","[""playing"", ""in a yard""]"
36,"A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.","[""man"", ""plays bagpipes""]","[""plays bagpipes""]","[""man"", ""bagpipes""]","[""A balding man"", ""plays bagpipes""]"
37,A guy wearing protective pants is carving an owl on a perch out of wood using a chainsaw.,"[""guy wearing protective pants"", ""carving an owl""]","[""guy wearing protective pants"", ""carving an owl on a perch out of wood using a chainsaw""]","[""owl"", ""protective pants""]","[""guy"", ""protective pants"", ""carving an owl""]"
38,A man in orange is demonstrating the use of a peeler.,"[""man in orange"", ""demonstrating the use of a peeler""]","[""demonstrating the use of a peeler""]","[""A man in orange"", ""demonstrating the use of a peeler""]","[""man"", ""demonstrating the use of a peeler""]"
39,A guy in a blue polo shirt and shorts addresses an audience in an auditorium.,"[""guy"", ""blue polo shirt"", ""shorts"", ""addresses an audience"", ""auditorium""]","[""A guy in a blue polo shirt and shorts"", ""addresses an audience"", ""an audience"", ""an auditorium""]","[""A guy in a blue polo shirt and shorts"", ""addresses an audience in an auditorium""]","[""A guy in a blue polo shirt and shorts"", ""addresses an audience in an auditorium""]"
41,A young girl stands barefoot on a driveway and uses a hula-hoop.,"[""a hula-hoop""]","[""a hula-hoop""]","[""hula-hoop""]","[""uses a hula-hoop""]"
42,Shirtless men in their underwear are running with a blond in red underwear.,"[""men"", ""in their underwear"", ""running"", ""a blond"", ""in red underwear""]","[""Shirtless men in their underwear"", ""blond in red underwear"", ""running""]","[""men"", ""in their underwear"", ""running"", ""a blond"", ""in red underwear""]","[""Shirtless men"", ""in their underwear"", ""running"", ""blond"", ""in red underwear""]"
44,A native person doing a dance.,"[""native person"", ""dance""]","[""native person"", ""doing a dance""]","[""native person"", ""doing a dance""]","[""native person"", ""doing a dance""]"
45,A person in a red hat is walking past a building that is in need of a paint job.,"[""person"", ""walking""]","[""walking past a building""]","[""walking"", ""past a building""]","[""walking"", ""past a building""]"
46,A man is laughing with his hand up in the air and a little boy is watching him and laughing.,"[""a little boy is watching him and laughing""]",[],"[""laughing"", ""laughing""]",[]
48,A mountain biker is jumping his bike over a rock as another cyclist stands on the trail watching.,"[""mountain biker"", ""bike"", ""cyclist""]","[""mountain biker"", ""bike"", ""rock"", ""trail"", ""cyclist""]","[""mountain biker"", ""jumping his bike"", ""over a rock"", ""on the trail"", ""watching""]","[""mountain biker"", ""bike"", ""jumping his bike over a rock"", ""another cyclist"", ""trail""]"
50,Young skateboarding boy flips his board while performing a stunt.,"[""flips his board"", ""stunt""]","[""flips""]","[""skateboarding boy"", ""flips his board"", ""stunt""]","[""flips his board"", ""stunt""]"
51,five hikers walk down the hillside.,"[""five hikers"", ""walk down"", ""the hillside""]","[""hikers"", ""walk down the hillside""]","[""five hikers"", ""walk down the hillside""]","[""five hikers walk down the hillside""]"
52,Toe women sitting on the concrete ledge of a graffiti covered wall.,"[""sitting"", ""concrete ledge of a graffiti covered wall""]","[""concrete ledge"", ""sitting""]","[""on the concrete ledge of a graffiti covered wall"", ""sitting""]","[""sitting"", ""concrete ledge"", ""graffiti covered wall""]"
53,A man plays an acoustic guitar on a subway platform.,"[""plays an acoustic guitar""]","[""plays an acoustic guitar""]","[""man"", ""plays an acoustic guitar""]","[""plays an acoustic guitar""]"
54,Man in black shirt holding a short-haired woman.,"[""Man in black shirt"", ""holding"", ""woman""]","[""Man in black shirt"", ""holding"", ""woman""]","[""Man"", ""holding"", ""shirt"", ""woman""]","[""Man"", ""black shirt"", ""holding"", ""woman""]"
55,Woman in blue shirt blowing very large bubble,"[""Woman"", ""blowing"", ""bubble""]","[""Woman"", ""blowing very large bubble""]","[""Woman"", ""blowing"", ""bubble""]","[""Woman"", ""blowing"", ""bubble""]"
56,A black and white dog looks at a man about to throw something.,"[""dog"", ""man""]","[""dog"", ""looks at"", ""man""]","[""dog"", ""looks at"", ""man""]","[""dog"", ""man""]"
58,A young boy in a black jacket is running towards a woman with outstretched arms.,"[""young boy"", ""boy"", ""running towards"", ""woman"", ""outstretched arms""]","[""young boy in a black jacket"", ""running towards"", ""woman with outstretched arms""]","[""boy"", ""running towards a woman"", ""outstretched arms""]","[""A young boy in a black jacket"", ""running towards a woman with outstretched arms""]"
59,A small dog and a large dog with a rope in its mouth.,"[""dog"", ""rope""]","[""small dog"", ""large dog"", ""rope"", ""in its mouth""]","[""small dog"", ""large dog"", ""rope"", ""its mouth""]","[""small dog"", ""large dog"", ""rope"", ""in its mouth""]"
63,Group of men in blue shirts drying off a red car at a car wash.,"[""blue shirts""]","[""blue shirts"", ""red car"", ""drying off""]","[""red car"", ""drying off"", ""at a car wash"", ""Group of men"", ""in blue shirts""]","[""blue shirts"", ""red car""]"
64,Three guys sitting at the table together drinking beers and taking pictures.,"[""drinking beers"", ""taking pictures""]","[""drinking beers""]","[""drinking beers""]","[""drinking beers""]"
65,three people standing on the side of a snowy grassy hill,"[""people"", ""standing"", ""snowy grassy hill""]","[""people"", ""side of a snowy grassy hill""]","[""three people"", ""standing"", ""hill""]","[""three people"", ""standing"", ""hill""]"
66,A woman realigns her sock in a messy park.,"[""realigns her sock"", ""park""]","[""realigns her sock""]","[""realigns her sock""]","[""realigns her sock""]"
67,Children and adults in bright colored clothes are dancing.,"[""Children and adults"", ""bright colored clothes"", ""dancing""]","[""dancing"", ""Children and adults"", ""bright colored clothes""]","[""dancing"", ""Children and adults"", ""bright colored clothes""]","[""dancing"", ""bright colored clothes""]"
68,A dog playing in the grass.,"[""dog"", ""playing""]","[""dog"", ""playing""]","[""dog"", ""playing""]","[""dog"", ""playing""]"
69,A man wearing a green shirt is trying to comfort his crying child by holding the child and giving him a kiss on the cheek.,"[""A man"", ""crying"", ""child"", ""holding"", ""kiss""]","[""crying child"", ""trying to comfort"", ""holding the child"", ""giving him a kiss on the cheek""]","[""A man wearing a green shirt"", ""trying to comfort"", ""crying child"", ""holding the child"", ""giving him a kiss on the cheek""]","[""A man"", ""wearing a green shirt"", ""trying to comfort"", ""crying child"", ""holding"", ""kiss on the cheek""]"
70,Three people on a boat are laughing and smiling.,"[""laughing"", ""smiling""]","[""laughing"", ""smiling""]","[""laughing"", ""smiling""]","[""laughing"", ""smiling""]"
71,Man is laying down on red lounge chair.,"[""Man"", ""laying down"", ""lounge chair""]","[""on red lounge chair""]","[""laying down"", ""red lounge chair""]","[""laying down"", ""red lounge chair""]"
74,A woman organizing lettuce in a market.,"[""woman"", ""organizing"", ""market""]","[""woman"", ""organizing""]","[""woman"", ""organizing""]","[""organizing"", ""woman""]"
75,A hitter is swinging a bat at a baseball during a game while the catcher and umpire look on.,"[""hitter"", ""swinging a bat"", ""baseball""]","[""hitter"", ""swinging a bat""]","[""swinging a bat"", ""hitter"", ""catcher"", ""umpire"", ""at a baseball""]","[""hitter"", ""swinging a bat"", ""baseball"", ""catcher"", ""umpire""]"
77,A boy and a girl playing on the beach.,"[""beach""]","[""beach""]","[""beach""]","[""beach""]"
78,A little boy splashing in a blue inflatable pool.,"[""splashing"", ""pool""]","[""boy"", ""splashing"", ""pool""]","[""splashing"", ""pool""]","[""splashing"", ""in"", ""a"", ""pool""]"
79,The person wearing earrings is wearing a feathered hat.,"[""wearing earrings"", ""feathered hat""]","[""earrings"", ""feathered hat"", ""person""]","[""earrings"", ""feathered hat"", ""person""]","[""earrings"", ""feathered hat""]"
80,A young man walks through Grand Central Station with his shadow cast by the light cascading down from the windows behind.,"[""walks through Grand Central Station"", ""light cascading down from the windows""]","[""walks through"", ""light cascading down from the windows""]","[""Grand Central Station"", ""walks through""]","[""A young man walks through Grand Central Station"", ""light cascading down from the windows""]"
81,A man is swinging on a rope over water.,"[""man"", ""swinging""]","[""swinging""]","[""man"", ""swinging""]","[""swinging on a rope""]"
82,A young woman rests her head on a man's shoulder.,"[""rests her head on a man's shoulder""]","[""A young woman"", ""rests her head on a man's shoulder"", ""a man""]","[""rests her head on a man's shoulder""]","[""rests her head on a man's shoulder""]"
83,A crane operates amidst piles of rubble.,"[""crane"", ""operates amidst piles of rubble""]","[""crane"", ""operates amidst piles of rubble""]","[""crane"", ""operates amidst piles of rubble""]","[""crane"", ""operates amidst piles of rubble""]"
84,A woman is grating cheese.,"[""A woman"", ""grating cheese""]","[""woman"", ""grating cheese""]","[""woman"", ""grating"", ""cheese""]","[""grating cheese""]"
85,The boy in the red shirt is holding a rock.,"[""red shirt"", ""holding a rock""]","[""boy"", ""shirt"", ""holding a rock""]","[""The boy in the red shirt"", ""red shirt"", ""rock""]","[""The boy in the red shirt"", ""holding a rock""]"
86,A kicker launches the football forward while the holder checks his fingers.,"[""launches the football forward""]","[""launches the football forward""]","[""kicker"", ""launches the football forward""]","[""launches the football forward""]"
87,A man with tattoos and the Confederate flag is standing with his hands in his pants pockets.,"[""tattoos"", ""the Confederate flag""]","[""A man"", ""tattoos"", ""the Confederate flag""]","[""tattoos"", ""the Confederate flag""]","[""tattoos"", ""the Confederate flag""]"
88,Two women are standing in the snow looking towards a tower with a orange cone shaped light.,"[""standing in the snow"", ""tower with a orange cone shaped light""]","[""standing"", ""in the snow"", ""looking towards a tower""]","[""standing in the snow"", ""tower with a orange cone shaped light""]","[""standing in the snow"", ""tower with a orange cone shaped light""]"
89,Children playing on a playground.,"[""Children"", ""playing"", ""playground""]","[""Children"", ""playing"", ""playground""]","[""Children playing"", ""on a playground""]","[""Children"", ""playing"", ""playground""]"
90,A man in a tuxedo plays a brass instrument in accompaniment with a female piano player.,"[""man"", ""plays a brass instrument"", ""a female piano player""]","[""brass instrument"", ""plays a brass instrument in accompaniment with a female piano player""]","[""A man"", ""plays a brass instrument"", ""in accompaniment"", ""female piano player""]","[""A man in a tuxedo"", ""a brass instrument"", ""a female piano player""]"
91,A woman wearing a red blouse and a short is standing looking far ahead,"[""standing"", ""looking far ahead""]","[""standing"", ""looking far ahead""]","[""looking far ahead""]","[""standing"", ""looking far ahead""]"
92,Three people are being silly in the woods.,"[""Three people"", ""being silly"", ""in the woods""]","[""people"", ""being silly"", ""woods""]","[""Three people"", ""in the woods""]","[""Three people"", ""in the woods""]"
93,a young man wearing a blue striped shirt standing in front of a floral patterened couch,"[""young man"", ""standing"", ""in front of""]","[""young man"", ""standing"", ""floral patterened couch""]","[""young man"", ""standing"", ""couch""]","[""young man"", ""standing"", ""couch""]"
95,A man standing on a green post watching a train go by.,"[""watching a train""]","[""watching a train""]","[""man"", ""watching"", ""train""]","[""watching"", ""standing on a green post""]"
97,A baseball player in mid-swing.,"[""mid-swing""]","[""baseball player"", ""mid-swing""]","[""baseball player"", ""mid-swing""]","[""mid-swing""]"
99,five little boys playing soccer.,"[""boys"", ""playing soccer""]","[""little boys"", ""playing soccer""]","[""soccer""]","[""soccer""]"
101,The teenagers are fighting over a basketball during a game.,"[""teenagers"", ""fighting"", ""basketball"", ""game""]","[""teenagers"", ""fighting"", ""game""]","[""teenagers"", ""fighting"", ""basketball"", ""game""]","[""teenagers"", ""fighting"", ""basketball"", ""game""]"
102,A boy getting his hair buzzed off by another boy.,"[""getting his hair buzzed off""]","[""getting his hair buzzed off""]","[""A boy getting his hair buzzed off by another boy""]","[""getting his hair buzzed off""]"
103,A man with stretched earlobes wearing a black hat stands in front of a display of food for sale.,"[""A man"", ""stands in front of"", ""a display of food""]","[""man"", ""stands in front of"", ""display of food for sale""]","[""A man"", ""stands"", ""in front of a display of food""]","[""A man"", ""stands in front of"", ""a display of food for sale""]"
104,Man in an orange shirt with tattoos walking two large poodles.,"[""orange shirt""]","[""orange shirt""]","[""orange shirt""]","[""orange shirt""]"
106,two women are sitting on a park bench talking to each other.,"[""two women""]","[""two women""]","[""two women"", ""sitting"", ""park bench"", ""talking to each other""]","[""two women""]"
107,A male on Rollerblades skating down a railing next to stairs.,"[""Rollerblades"", ""skating down a railing""]","[""male"", ""Rollerblades"", ""skating down a railing""]","[""A male"", ""Rollerblades"", ""skating down a railing next to stairs""]","[""skating down a railing""]"
108,Young boy with a white shirt and jeans singing into a microphone with three other boys in the background.,"[""singing into a microphone""]","[""Young boy"", ""singing""]","[""Young boy"", ""singing""]","[""Young boy"", ""singing"", ""microphone""]"
109,"Three people, two males and a female, are sitting in front of a tall tree on the ground during a rest from a hike.","[""Three people"", ""two males and a female"", ""sitting"", ""rest from a hike""]","[""Three people"", ""two males and a female"", ""sitting in front of a tall tree on the ground"", ""from a hike""]","[""Three people"", ""two males and a female"", ""sitting"", ""rest from a hike""]","[""Three people"", ""two males"", ""a female"", ""a hike""]"
110,A man wearing an Alaska sweatshirt and a baseball cap is buying lottery tickets.,"[""buying lottery tickets"", ""Alaska sweatshirt"", ""baseball cap""]","[""buying lottery tickets"", ""Alaska sweatshirt"", ""baseball cap""]","[""A man wearing an Alaska sweatshirt and a baseball cap"", ""buying lottery tickets""]","[""buying lottery tickets"", ""Alaska sweatshirt"", ""baseball cap""]"
111,A woman with long dark hair sitting with her legs crossed.,"[""sitting with her legs crossed""]","[""sitting with her legs crossed""]","[""sitting with her legs crossed""]","[""sitting with her legs crossed"", ""long dark hair""]"
112,"Kite surfers are surfing in a shipping harbor on a clear windy day, in the background is a snowcapped mountain.","[""Kite surfers"", ""snowcapped mountain"", ""background""]","[""Kite surfers"", ""snowcapped mountain""]","[""Kite surfers"", ""are surfing"", ""snowcapped mountain""]","[""Kite surfers""]"
114,One dog with an object in its mouth is met by another dog nearby a fence.,[],"[""One dog"", ""another dog"", ""an object in its mouth"", ""a fence""]","[""One dog"", ""another dog"", ""with an object in its mouth"", ""nearby a fence""]","[""One dog"", ""with an object in its mouth"", ""is met by"", ""another dog"", ""nearby a fence""]"
117,An older lady in a black shirt is adding ingredients to a KitchenAid mixing bowl as a crowd looks on.,"[""adding ingredients"", ""KitchenAid mixing bowl"", ""crowd""]","[""adding ingredients"", ""a crowd looks on""]","[""adding ingredients"", ""KitchenAid mixing bowl"", ""crowd"", ""older lady""]","[""adding ingredients"", ""KitchenAid mixing bowl"", ""a crowd""]"
119,Two women with stethoscopes and a man with a blue hairnet on working tedious over an unknown object or person.,"[""Two women"", ""stethoscopes"", ""blue hairnet""]","[""stethoscopes"", ""blue hairnet""]","[""stethoscopes"", ""blue hairnet""]","[""stethoscopes"", ""blue hairnet""]"
120,Hispanic man holding a very large basket while standing in the street.,"[""Hispanic man"", ""holding a very large basket""]","[""holding a very large basket"", ""standing in the street""]","[""Hispanic man"", ""holding a very large basket""]","[""holding a very large basket"", ""standing in the street""]"
122,A woman is looking on the food she kept in the glass box.,"[""looking"", ""food""]","[""looking"", ""food""]","[""looking"", ""food""]","[""looking"", ""food""]"
123,"A group of people are standing outside at a carnival, near a ride called the Green Jungle.","[""standing"", ""near a ride"", ""the Green Jungle""]","[""standing outside at a carnival, near a ride"", ""a ride called the Green Jungle""]","[""standing"", ""outside at a carnival, near a ride called the Green Jungle""]","[""standing"", ""near"", ""ride"", ""Green Jungle""]"
124,A young girl sitting on a small chair surrounded by what looks like handmade fabrics and bags.,"[""A young girl sitting"", ""surrounded by"", ""fabrics and bags""]","[""young girl"", ""sitting"", ""surrounded by"", ""fabrics and bags""]","[""A young girl sitting"", ""surrounded by"", ""fabrics and bags""]","[""A young girl"", ""sitting"", ""surrounded by"", ""fabrics and bags""]"
125,Two women are standing in the snow looking towards a tower with a orange cone shaped light.,"[""tower"", ""orange cone shaped light""]","[""a tower with a orange cone shaped light""]","[""a tower with a orange cone shaped light""]","[""tower"", ""orange cone shaped light""]"
126,Female performers wearing white stage makeup and costumes with a dark background.,"[""Female performers"", ""white stage makeup"", ""costumes"", ""dark background""]","[""Female performers"", ""white stage makeup"", ""costumes""]","[""Female performers"", ""white stage makeup"", ""costumes"", ""dark background""]","[""Female performers"", ""white stage makeup"", ""costumes"", ""dark background""]"
127,Walkers at an event in a park.,"[""walkers""]","[""Walkers"", ""event"", ""park""]","[""Walkers"", ""an event"", ""in a park""]","[""Walkers"", ""event""]"
128,Two people making funny faces at each other.,"[""making funny faces"", ""at each other""]","[""making funny faces"", ""at each other""]","[""making funny faces"", ""at each other""]","[""making funny faces"", ""at each other""]"
130,A man standing in the water.,"[""water"", ""standing in the water""]","[""water""]","[""water""]","[""water"", ""standing in the water""]"
131,A woman wearing a black coat and sunglasses is standing in front of a man walking away with a backpack.,"[""A woman"", ""wearing a black coat and sunglasses"", ""a man"", ""with a backpack""]","[""A woman"", ""wearing a black coat and sunglasses"", ""a man"", ""walking away with a backpack""]","[""A woman"", ""black coat"", ""a man"", ""backpack""]","[""woman"", ""wearing a black coat"", ""man"", ""with a backpack""]"
132,A little boy is playing on a playground rocking toy.,"[""little boy"", ""playing on a playground rocking toy""]","[""little boy"", ""playing on a playground rocking toy""]","[""playground"", ""little boy""]","[""little boy"", ""playing on a playground rocking toy""]"
133,A man plays guitar in an outside theater.,"[""plays guitar"", ""outside theater""]","[""man"", ""plays guitar"", ""outside theater""]","[""plays guitar"", ""outside theater""]","[""plays guitar"", ""outside theater""]"
134,A woman stands on the curb next to a busy street.,"[""woman"", ""on the curb next to a busy street""]","[""A woman""]",[],"[""woman"", ""on the curb next to a busy street""]"
135,Two men in a kitchen holding an object.,"[""men"", ""holding an object""]","[""an object"", ""holding an object""]","[""men"", ""an object""]","[""holding an object""]"
136,"Runners, some in costume, in a St Paddy's day Marathon run in the streets as people watch.","[""Runners"", ""St Paddy's day Marathon run""]","[""St Paddy's day Marathon"", ""Runners"", ""some in costume""]","[""Runners"", ""Marathon"", ""run""]","[""Runners"", ""St Paddy's day Marathon"", ""run"", ""watch""]"
137,People look upon a monument where a speed is being given.,"[""People"", ""look upon"", ""monument""]","[""monument"", ""look upon"", ""a speed is being given""]","[""People"", ""look upon"", ""monument""]","[""monument"", ""look upon""]"
138,Two people converse in the middle of beautiful apartment buildings.,"[""converse"", ""in the middle"", ""apartment buildings""]","[""apartment buildings"", ""converse in the middle""]","[""in the middle of"", ""apartment buildings""]","[""converse"", ""in the middle of"", ""beautiful apartment buildings""]"
141,A man watching as one woman in a brown coat is talking to another woman in a gray coat.,"[""one woman"", ""brown coat"", ""talking"", ""another woman"", ""gray coat""]","[""one woman"", ""another woman"", ""talking""]","[""one woman"", ""talking to"", ""another woman""]","[""one woman"", ""another woman"", ""is talking""]"
142,"Two children, a boy and a girl, running across the dirt.","[""children"", ""boy"", ""girl"", ""running""]","[""children"", ""boy"", ""girl"", ""running""]","[""boy"", ""girl"", ""running""]","[""Two children"", ""boy"", ""girl""]"
143,A man in a green jacket plays a clown-themed carnival game while others watch.,"[""plays a clown-themed carnival game""]","[""plays a clown-themed carnival game""]","[""plays a clown-themed carnival game""]","[""plays a clown-themed carnival game""]"
144,A boy poses for a picture and in the background a man is hanging by a rope.,"[""poses for a picture"", ""a man is hanging by a rope""]","[""poses for a picture"", ""a man is hanging by a rope""]","[""poses for a picture""]","[""poses for a picture"", ""man is hanging by a rope""]"
146,Young brown children watching something on the internet.,"[""Young brown children"", ""watching something on the internet""]","[""Young brown children"", ""watching something on the internet""]","[""Young brown children"", ""watching"", ""something on the internet""]","[""Young brown children watching something on the internet""]"
148,A man with a tool belt talks to another man in a basement.,"[""tool belt"", ""in a basement""]","[""basement"", ""tool belt""]","[""tool belt"", ""in a basement""]","[""tool belt"", ""basement""]"
150,Two women sitting down next to a river.,"[""Two women"", ""sitting down next to"", ""a river""]","[""Two women"", ""sitting down next to"", ""river""]","[""sitting down"", ""next to a river""]","[""Two women"", ""next to"", ""river""]"
151,A woman is excited and about to pop a bottle of wine as a young boy stands behind her looking quite anxious.,"[""excited"", ""pop a bottle of wine"", ""anxious""]","[""excited"", ""anxious""]","[""excited"", ""anxious""]","[""excited"", ""pop a bottle of wine"", ""looking quite anxious""]"
152,a young male playing with bubbled outside of a business,"[""a young male"", ""playing with bubbled""]","[""young male"", ""playing with bubbled""]","[""a young male"", ""playing with bubbled""]","[""playing with bubbled"", ""outside of a business""]"
154,A bellhop is pushing a cart.,"[""bellhop"", ""pushing a cart""]","[""bellhop"", ""pushing a cart""]","[""bellhop"", ""pushing"", ""cart""]","[""bellhop"", ""pushing a cart""]"
156,Five guys burying themselves in the sand with a dog behind them.,"[""Five guys"", ""burying themselves in the sand"", ""with a dog behind them""]","[""guys"", ""dog""]","[""Five guys"", ""burying themselves in the sand"", ""a dog"", ""behind them""]","[""Five guys"", ""burying themselves"", ""in the sand"", ""a dog""]"
157,Man on skis attempting to jump over a snow pile,"[""on skis"", ""attempting to jump over a snow pile""]","[""Man on skis""]","[""Man on skis""]","[""attempting to jump over a snow pile""]"
