id,cre_target_original,model_response_original,model_answer_original,cre_target_lexical,model_response_lexical,model_answer_lexical,cre_target_syntactic,model_response_syntactic,model_answer_syntactic,cre_target_contextual,model_response_contextual,model_answer_contextual
37,37.50,Final Answer: 37.50,37.50,37.50,Final Answer: 37.50,37.50,45,Final Answer: 45,45,37.50,Final Answer: 37.50,37.50
38,260.00,Final Answer: 260,260,450,Final Answer: 450,450,225,Final Answer: 225,225,450,Final Answer: 450,450
39,32,Final Answer: 32,32,46,Final Answer: 46,46,56,Final Answer: 56,56,32,Final Answer: 32,32
40,13,Final Answer: 13,13,13,Final Answer: 13,13,12,Final Answer: 12,12,13,Final Answer: 13,13
41,30,Final Answer: 30,30,24,Final Answer: 24,24,24,Final Answer: 24,24,15,Final Answer: 15,15
42,29,Final Answer: 29,29,30.5,Final Answer: 30.5,30.5,20,Final Answer: 20,20,30.5,Final Answer: 30.5,30.5
43,15,Final Answer: 15,15,15,Final Answer: 15,15,15,Final Answer: 15,15,15,Final Answer: 15,15
44,700,Final Answer: 700,700,700,Final Answer: 700,700,700,Final Answer: 700,700,700,Final Answer: 700,700
45,512,Final Answer: 512,512,547,Final Answer: 547,547,587,Final Answer: 587,587,512,Final Answer: 512,512
46,5,Final Answer: 5,5,5,Final Answer: 5,5,2,Final Answer: 2,2,5,Final Answer: 5,5
48,14,Final Answer: 14,14,14,Final Answer: 14,14,14,Final Answer: 14,14,4,Final Answer: 4,4
49,50,Final Answer: 50,50,45,Final Answer: 45,45,35,Final Answer: 35,35,55,Final Answer: 55,55
50,1800,Final Answer: 1800,1800,1800,Final Answer: 1800,1800,1800,Final Answer: 1800,1800,1300,Final Answer: 1300,1300
52,8748,Final Answer: 8748,8748,8748,Final Answer: 8748,8748,8748,Final Answer: 8748.00,8748.00,6298,Final Answer: 6298,6298
53,950,Final Answer: 950,950,950,Final Answer: 950,950,720,Final Answer: 720,720,720,Final Answer: 920,920
54,25.5,Final Answer: 25.5,25.5,28,Final Answer: 28,28,24,Final Answer: 24,24,25,Final Answer: 25,25
55,4.5,Final Answer: 4.5,4.5,16/3,Final Answer: 16/3,16/3,4.5,Final Answer: 4.5,4.5,4.5,Final Answer: 4.5,4.5
56,210,Final Answer: 322,322,280,Final Answer: 280,280,345,Final Answer: 345,345,420,Final Answer: 420,420
57,21.75,Final Answer: 21.75,21.75,17,Final Answer: 17,17,21.75,Final Answer: 21.75,21.75,21.75,Final Answer: 21.75,21.75
58,75,Final Answer: 75,75,75,Final Answer: 75,75,75,Final Answer: 75,75,75,Final Answer: 75,75
59,2400,Final Answer: 2400,2400,1920,Final Answer: 1920,1920,2400,Final Answer: 1440,1440,1920,Final Answer: 1920,1920
60,42,Final Answer: 42,42,42,Final Answer: 42,42,42,Final Answer: 42,42,42,Final Answer: 42,42
62,4500,Final Answer: 4500,4500,4500,Final Answer: 4500,4500,4500,Final Answer: 4500,4500,5400,Final Answer: 5400,5400
64,24000,Final Answer: 24000,24000,24000,Final Answer: 24000,24000,24000,Final Answer: 24000,24000,24000,Final Answer: 24000,24000
65,22,Final Answer: 22,22,22,Final Answer: 22,22,22,Final Answer: 22,22,22,Final Answer: 22,22
67,330,Final Answer: 330,330,330,Final Answer: 330,330,198,Final Answer: 198,198,330,Final Answer: 330,330
68,90,Final Answer: 90,90,90,Final Answer: 90,90,60,Final Answer: 60,60,96,Final Answer: 96,96
70,25,Final Answer: 25,25,21,Final Answer: 21,21,21,Final Answer: 21,21,21,Final Answer: 21,21
71,204,Final Answer: 204,204,204,Final Answer: 204,204,204,Final Answer: 204,204,204,Final Answer: 204,204
72,5000,Final Answer: 5000,5000,6000,Final Answer: 6000,6000,6400,Final Answer: 6400,6400,6000,Final Answer: 6000,6000
73,20,Final Answer: 20,20,20,Final Answer: 20,20,20,Final Answer: 20,20,20,Final Answer: 20,20
74,52,Final Answer: 52,52,97,Final Answer: 97,97,52,Final Answer: 52,52,82,Final Answer: 82,82
76,200,Final Answer: 200,200,155,Final Answer: 155,155,200,Final Answer: 200,200,200,Final Answer: 200,200
77,58000,Final Answer: 58000,58000,28000,Final Answer: 28000,28000,46000,Final Answer: 46000,46000,58000,Final Answer: 58000,58000
78,90,Final Answer: 90,90,140,Final Answer: 140,140,110,Final Answer: 110,110,110,Final Answer: 110,110
79,30,Final Answer: 30,30,29,Final Answer: 29,29,29,Final Answer: 29,29,29,Final Answer: 29,29
80,24,Final Answer: 24,24,24,Final Answer: 24,24,25,Final Answer: 25,25,24,Final Answer: 24,24
81,84,Final Answer: 84,84,85,Final Answer: 85,85,87,Final Answer: 87,87,87,Final Answer: 87,87
82,868,Final Answer: 868,868,868,Final Answer: 868,868,868,Final Answer: 868,868,868,Final Answer: 868,868
83,13,Final Answer: 13,13,11,Final Answer: 11,11,13,Final Answer: 13,13,13,Final Answer: 5,5
84,400,Final Answer: 200,200,800,Final Answer: 800,800,1000,Final Answer: 1000,1000,800,Final Answer: 800,800
85,8,Final Answer: 8,8,8,Final Answer: 8,8,8,Final Answer: 8,8,8,Final Answer: 8,8
86,10,Final Answer: 10,10,10,Final Answer: 10,10,30,Final Answer: 30,30,10,Final Answer: 10,10
87,15,Final Answer: 15,15,15,Final Answer: 15,15,15,Final Answer: 15,15,15,Final Answer: 12,12
88,48,Final Answer: 48,48,48,Final Answer: 48,48,48,Final Answer: 48,48,48,Final Answer: 48,48
89,800,Final Answer: 800,800,480,Final Answer: 480,480,700,Final Answer: 700,700,480,Final Answer: 480,480
91,13,Final Answer: 13,13,7,Final Answer: 7,7,13,Final Answer: 13,13,17,Final Answer: 17,17
94,225,Final Answer: 225,225,270,Final Answer: 270,270,216,Final Answer: 216,216,270,Final Answer: 270,270
95,18,Final Answer: 18,18,38/3,Final Answer: 38/3,38/3,18,Final Answer: 18,18,14,Final Answer: 14,14
96,26,Final Answer: 26,26,26,Final Answer: 26,26,26,Final Answer: 26,26,26,Final Answer: 26,26
97,400,Final Answer: 400,400,1200,Final Answer: 1200,1200,1200,Final Answer: 1200,1200,1200,Final Answer: 1200,1200
98,5640,Final Answer: 5640,5640,5640,Final Answer: 5640,5640,5200,Final Answer: 5200,5200,5200,Final Answer: 5200,5200
99,480,Final Answer: 480,480,480,Final Answer: 480,480,"Toby, 450",Final Answer: 450,450,450,Final Answer: 450,450
101,3,Final Answer: 3,3,2.1,Final Answer: 2.1,2.1,1.6,Final Answer: 1.6,1.6,1.8,Final Answer: 1.8,1.8
102,3,Final Answer: 3,3,2.5,Final Answer: 2.5,2.5,1.5,Final Answer: 1.5,1.5,1.5,Final Answer: 1.5,1.5
104,2.4,Final Answer: 2,2,2.5,Final Answer: 2.5,2.5,2.5,Final Answer: 2.5,2.5,2.5,Final Answer: 2.5,2.5
105,18,Final Answer: 18,18,15,Final Answer: 12,12,18,Final Answer: 18,18,18,Final Answer: 18,18
106,6,Final Answer: 6,6,3,Final Answer: 3,3,3,Final Answer: 3,3,10,Final Answer: 10,10
108,4,Final Answer: 4,4,4,Final Answer: 4,4,4,Final Answer: 4,4,4,Final Answer: 4,4
109,14.5,Final Answer: 14.5,14.5,14.5,Final Answer: 14.5,14.5,14.5,Final Answer: 14.5,14.5,14.5,Final Answer: 14.5,14.5
110,6,Final Answer: 6,6,3,Final Answer: 3,3,6,Final Answer: 6,6,6,Final Answer: 6,6
113,18,Final Answer: 18,18,24,Final Answer: 24,24,18,Final Answer: 18,18,18,Final Answer: 18,18
114,62,Final Answer: 62,62,62,Final Answer: 62,62,62,Final Answer: 62,62,58,Final Answer: 58,58
117,140,Final Answer: 140,140,200,Final Answer: 200,200,100,Final Answer: 100,100,100,Final Answer: 50,50
118,3,Final Answer: 3,3,3,Final Answer: 3,3,4,Final Answer: 4,4,3,Final Answer: 3,3
119,100,Final Answer: 100,100,100,Final Answer: 100,100,0,Final Answer: 0,0,0,Final Answer: 0,0
120,60,Final Answer: 60,60,39,Final Answer: 39,39,39,Final Answer: 39,39,39,Final Answer: 39,39
121,1300,Final Answer: 1300,1300,1300,Final Answer: 1300,1300,1300,Final Answer: 1300,1300,1100,Final Answer: 1100,1100
122,1993,Final Answer: 1993,1993,1682,Final Answer: 1682,1682,1682,Final Answer: 1682,1682,1993,Final Answer: 1993,1993
124,9,Final Answer: 9,9,10,Final Answer: 10,10,9,Final Answer: 9,9,10,Final Answer: 11,11
126,80,Final Answer: 80,80,70,Final Answer: 70,70,70,Final Answer: 70,70,40,Final Answer: 40,40
127,57300,Final Answer: 57300,57300,65200,Final Answer: 65200,65200,57300,Final Answer: 57300,57300,92400,Final Answer: 92400,92400
128,2,Final Answer: 2,2,2,Final Answer: 2,2,4,Final Answer: 4,4,4,Final Answer: 4,4
129,11,Final Answer: 11,11,11,Final Answer: 11,11,11,Final Answer: 11,11,34,Final Answer: 34,34
131,280,Final Answer: 245,245,210,Final Answer: 210,210,175,Final Answer: 175,175,280,Final Answer: 280,280
133,60,Final Answer: 60,60,56,Final Answer: 56,56,60,Final Answer: 60,60,70,Final Answer: 70,70
134,77,Final Answer: 77,77,72,Final Answer: 72,72,77,Final Answer: 77,77,77,Final Answer: 77,77
135,383.5,Final Answer: 383.5,383.5,360,Final Answer: 360,360,360,Final Answer: 360,360,360,Final Answer: 360,360
136,5,Final Answer: 5,5,"Basket A, 8",Final Answer: 8,8,"Basket A, 8",Final Answer: 8,8,12 from Basket C,Final Answer: 12,12
137,12,Final Answer: 12,12,12,Final Answer: 12,12,12,Final Answer: 12,12,9.6,Final Answer: 9.6,9.6
138,30,Final Answer: 30,30,30,Final Answer: 24,24,48,Final Answer: 48,48,30,Final Answer: 30,30
139,1800,Final Answer: 1800,1800,1800,Final Answer: 1800,1800,1800,Final Answer: 1800,1800,1800,Final Answer: 1800,1800
140,37500,Final Answer: 37500,37500,50000,Final Answer: 50000,50000,25000,Final Answer: 25000,25000,37500,Final Answer: 37500,37500
141,12,Final Answer: 12,12,21,Final Answer: 21,21,21,Final Answer: 21,21,21,Final Answer: 21,21
142,9,Final Answer: 9,9,9,Final Answer: 9,9,9,Final Answer: 9,9,16,Final Answer: 16,16
144,75,Final Answer: 75,75,50,Final Answer: 50,50,95,Final Answer: 95,95,95,Final Answer: 95,95
145,3500,Final Answer: 3500,3500,2500,Final Answer: 2500,2500,2500,Final Answer: 2500,2500,2500,Final Answer: 2500,2500
147,8,Final Answer: 8,8,5,Final Answer: 5,5,5,Final Answer: 5,5,-1,Final Answer: -1,-1
148,360,Final Answer: 360,360,360,Final Answer: 360,360,360,Final Answer: 360,360,360,Final Answer: 360,360
149,60,Final Answer: 60,60,100,Final Answer: 100,100,100,Final Answer: 100,100,100,Final Answer: 100,100
151,24,Final Answer: 20,20,23,Final Answer: 20,20,23,Final Answer: 23,23,23,Final Answer: 23,23
152,16,Final Answer: 16,16,12,Final Answer: 12,12,18,Final Answer: 18,18,12,Final Answer: 12,12
153,156,Final Answer: 132,132,165,Final Answer: 132,132,165,Final Answer: 165,165,165,Final Answer: 165,165
154,440,Final Answer: 440,440,440,Final Answer: 440,440,497,Final Answer: 355,355,440,Final Answer: 440,440
155,112,Final Answer: 112,112,140,Final Answer: 140,140,112,Final Answer: 112,112,140,Final Answer: 140,140
156,18,Final Answer: 18,18,18,Final Answer: 18,18,16,Final Answer: 16,16,18,Final Answer: 18,18
157,790,Final Answer: 790,790,790,Final Answer: 790,790,840,Final Answer: 840,840,920,Final Answer: 920,920
158,46,Final Answer: 46,46,46,Final Answer: 46,46,46,Final Answer: 46,46,46,Final Answer: 46,46
160,8,Final Answer: 8,8,8,Final Answer: 8,8,8,Final Answer: 8,8,9,Final Answer: 9,9
161,0.00,Final Answer: 0,0,10.00,Final Answer: 10,10,12.50,Final Answer: 12.50,12.50,10.00,Final Answer: 10,10
162,165000,Final Answer: 165000,165000,165000,Final Answer: 165000,165000,165000,Final Answer: 165000,165000,165000,Final Answer: 165000,165000
163,780,Final Answer: 780,780,1500,Final Answer: 1500,1500,1500,Final Answer: 1500,1500,780,Final Answer: 780,780
164,5,Final Answer: 5,5,30 minutes,Final Answer: 30,30,45,Final Answer: 45,45,5,Final Answer: 5,5
165,43000,Final Answer: 43000,43000,43000,Final Answer: 43000,43000,43000,Final Answer: 43000,43000,43000,Final Answer: 43000,43000
167,12,Final Answer: 12,12,12,Final Answer: 12,12,12,Final Answer: 12,12,12,Final Answer: 12,12
168,36,Final Answer: 36,36,37,Final Answer: 37,37,38.5,Final Answer: 38.5,38.5,37,Final Answer: 35,35
169,10,Final Answer: 10,10,10,Final Answer: 10,10,10,Final Answer: 10,10,10,Final Answer: 10,10
171,7,Final Answer: 7,7,7,Final Answer: 7,7,7,Final Answer: 7,7,3.75,Final Answer: 3.75,3.75
173,75,Final Answer: 75,75,63,Final Answer: 63,63,66,Final Answer: 66,66,75,Final Answer: 75,75
174,1170,Final Answer: 1170,1170,1170,Final Answer: 1170,1170,1170,Final Answer: 1170,1170,1170,Final Answer: 1170,1170
175,160,Final Answer: 160,160,100,Final Answer: 100,100,100,Final Answer: 100,100,100,Final Answer: 100,100
176,4,Final Answer: 4,4,4,Final Answer: 4,4,6,Final Answer: 6,6,4,Final Answer: 4,4
178,210,Final Answer: 210,210,210,Final Answer: 210,210,210,Final Answer: 210,210,210,Final Answer: 210,210
179,20,Final Answer: 20,20,20,Final Answer: 20,20,20,Final Answer: 20,20,20,Final Answer: 20,20
180,175,Final Answer: 175,175,175,Final Answer: 175,175,175,Final Answer: 315,315,175,Final Answer: 175,175
181,3,Final Answer: 3,3,3,Final Answer: 3,3,10/3,Final Answer: 10/3,10/3,2.5,Final Answer: 2.5,2.5
182,9,Final Answer: 9,9,7,Final Answer: 7,7,9,Final Answer: 9,9,7,Final Answer: 7,7
184,120,Final Answer: 120,120,0,Final Answer: 0,0,120,Final Answer: 120,120,120,Final Answer: 120,120
185,48,Final Answer: 48,48,75,Final Answer: 75,75,75,Final Answer: 75,75,80,Final Answer: 80,80
186,39,Final Answer: 39,39,39,Final Answer: 39,39,42,Final Answer: 42,42,39,Final Answer: 39,39
187,43,Final Answer: 43,43,43,Final Answer: 43,43,43,Final Answer: 43,43,43,Final Answer: 43,43
188,3,Final Answer: 3,3,3,Final Answer: 3,3,3,Final Answer: 3,3,1,Final Answer: 1,1
189,114,Final Answer: 114,114,124,Final Answer: 124,124,124,Final Answer: 124,124,124,Final Answer: 124,124
190,60,Final Answer: 60,60,90,Final Answer: 90,90,60,60,60,60,Final Answer: 60,60
191,1050,Final Answer: 1316,1316,940,Final Answer: 940,940,1386,Final Answer: 1386,1386,1400,Final Answer: 1400,1400
192,8,Final Answer: 8,8,8,Final Answer: 8,8,4,Final Answer: 4,4,8,Final Answer: 8,8
193,6793,Final Answer: 6793,6793,6793,Final Answer: 6793,6793,6793,Final Answer: 6793,6793,6793,Final Answer: 6793,6793
194,250,Final Answer: 250,250,140,Final Answer: 140,140,280,Final Answer: 280,280,320,Final Answer: 320,320
195,15,Final Answer: 15,15,15,Final Answer: 15,15,15,Final Answer: 15,15,25,Final Answer: 5,5
196,60,Final Answer: 60,60,120,Final Answer: 120,120,100,Final Answer: 80,80,120,Final Answer: 120,120
197,70,Final Answer: 70,70,70,Final Answer: 70,70,200,Final Answer: 200,200,300,Final Answer: 300,300
198,21,Final Answer: 21,21,21,Final Answer: 21,21,20,Final Answer: 20,20,21,Final Answer: 21,21
199,800,Final Answer: 800,800,800,Final Answer: 600,600,800,Final Answer: 800,800,400,Final Answer: 400,400
200,35,Final Answer: 35,35,35,Final Answer: 35,35,35,Final Answer: 35,35,35,Final Answer: 35,35
201,320,Final Answer: 320,320,325,Final Answer: 325,325,325,Final Answer: 325,325,325,Final Answer: 325,325
202,600,Final Answer: 600,600,600,Final Answer: 400,400,300,Final Answer: 400,400,300,Final Answer: 300,300
203,225,Final Answer: 225,225,225,Final Answer: 225,225,225,Final Answer: 225,225,225,Final Answer: 225,225
204,30,Final Answer: 30,30,38,Final Answer: 38,38,30,Final Answer: 30,30,38,Final Answer: 38,38
205,24,Final Answer: 24,24,24,Final Answer: 24,24,24,Final Answer: 24,24,24,Final Answer: 24,24
206,15,Final Answer: 15,15,15,Final Answer: 15,15,15,Final Answer: 15,15,15,Final Answer: 15,15
208,80,Final Answer: 80,80,75,Final Answer: 75,75,140,Final Answer: 140,140,125,Final Answer: 100,100
210,150,Final Answer: 150,150,190,Final Answer: 190,190,190,Final Answer: 190,190,190,Final Answer: 190,190
211,1976,Final Answer: 1976,1976,1976,Final Answer: 1976,1976,1976,Final Answer: 1976,1976,1977,Final Answer: 1977,1977
213,32,Final Answer: 32,32,25,Final Answer: 25,25,32,Final Answer: 32,32,32,Final Answer: 32,32
215,16,Final Answer: 16,16,24,Final Answer: 24,24,24%,Final Answer: 24,24,30,Final Answer: 30,30
216,66,Final Answer: 66,66,66,Final Answer: 66,66,65,Final Answer: 65,65,65,Final Answer: 65,65
217,40,Final Answer: 40,40,40,Final Answer: 40,40,40,Final Answer: 40,40,40,Final Answer: 40,40
218,384,Final Answer: 384,384,280,Final Answer: 280,280,400,Final Answer: 400,400,384,Final Answer: 384,384
220,30,Final Answer: 30,30,30%,Final Answer: 30,30,32%,Final Answer: 32,32,32%,Final Answer: 32,32
221,8√3,Final Answer: 8√3,8√3,6,Final Answer: 6,6,6√5,Final Answer: 6√5,6√5,5\sqrt{6},Final Answer: 5√6,5√6
222,6.00,Final Answer: 6.00,6.00,6,Final Answer: 6,6,2,Final Answer: 2,2,6,Final Answer: 6,6
223,3,Final Answer: 3,3,2.125,Final Answer: 2.125,2.125,3,Final Answer: 3,3,3,Final Answer: 3,3
224,6,Final Answer: 6,6,4,Final Answer: 4,4,4,Final Answer: 4,4,4,Final Answer: 4,4
226,112,Final Answer: 112,112,160,Final Answer: 160,160,112,Final Answer: 112,112,112,Final Answer: 112,112
227,60,Final Answer: 60,60,100,Final Answer: 100,100,60,Final Answer: 60,60,25,Final Answer: 25,25
228,168,Final Answer: 168,168,168,Final Answer: 168,168,168,Final Answer: 168,168,168,Final Answer: 168,168
229,30,Final Answer: 30,30,22.50,Final Answer: 22.50,22.50,22.50,Final Answer: 22.50,22.50,22.50,Final Answer: 22.50,22.50
230,140,Final Answer: 140,140,200,Final Answer: 200,200,200,Final Answer: 200,200,300,Final Answer: 300,300
231,12,Final Answer: 12,12,8,Final Answer: 8,8,15,Final Answer: 15,15,12,Final Answer: 12,12
232,62,Final Answer: 62,62,62,Final Answer: 62,62,50,Final Answer: 50,50,50,Final Answer: 50,50
233,216,Final Answer: 216,216,216,Final Answer: 216,216,216,Final Answer: 216,216,177.5,Final Answer: 177.5,177.5
234,19.20,Final Answer: 19.20,19.20,16,Final Answer: 16,16,16.80,Final Answer: 16.80,16.80,16,Final Answer: 16,16
236,10,Final Answer: 10,10,5,Final Answer: 5,5,10,Final Answer: 10,10,10,Final Answer: 10,10
238,30,Final Answer: 30,30,25,Final Answer: 20,20,30,Final Answer: 30,30,30,Final Answer: 30,30
239,100,Final Answer: 100,100,80,Final Answer: 80,80,100,Final Answer: 100,100,80,Final Answer: 80,80
240,7200,Final Answer: 4500,4500,3750,Final Answer: 3750,3750,7200,Final Answer: 7200,7200,6000,Final Answer: 4500,4500
241,12,Final Answer: 12,12,12,Final Answer: 12,12,7.50,Final Answer: 7.50,7.50,12,Final Answer: 12,12
242,281,Final Answer: 281,281,216,Final Answer: 216,216,366,Final Answer: 366,366,366,Final Answer: 366,366
243,156,Final Answer: 156,156,78,Final Answer: 78,78,156,Final Answer: 156,156,156,Final Answer: 156,156
244,0,Final Answer: 0,0,14,Final Answer: 14,14,14,Final Answer: 14,14,10,Final Answer: 10,10
245,1600,Final Answer: 1600,1600,1600,Final Answer: 1280,1280,800,Final Answer: 800,800,800,Final Answer: 800,800
246,6,Final Answer: 6,6,10,Final Answer: 10,10,10,Final Answer: 10,10,6,Final Answer: 6,6
247,24,Final Answer: 24,24,19,Final Answer: 19,19,24,Final Answer: 24,24,19,Final Answer: 19,19
248,59,Final Answer: 57,57,59,Final Answer: 59,59,54,Final Answer: 54,54,59,Final Answer: 59,59
249,144,Final Answer: 144,144,0,Final Answer: 84,84,134,Final Answer: 134,134,204,Final Answer: 204,204
250,8,Final Answer: 8,8,23/3,Final Answer: 23/3,23/3,9,Final Answer: 9,9,9,Final Answer: 9,9
251,315,Final Answer: 315,315,235,Final Answer: 235,235,235,Final Answer: 235,235,235,Final Answer: 235,235
252,25.20,Final Answer: 25.20,25.20,25.20,Final Answer: 25.20,25.20,25.20,Final Answer: 25.20,25.20,25.20,Final Answer: 25.20,25.20
253,48,Final Answer: 48,48,40,Final Answer: 40,40,20,Final Answer: 20,20,40,Final Answer: 40,40
254,35000,Final Answer: 35000,35000,63000,Final Answer: 63000,63000,63000 L,Final Answer: 63000,63000,63000,Final Answer: 63000,63000
255,8,Final Answer: 8,8,8,Final Answer: 8,8,8,Final Answer: 8,8,6,Final Answer: 6,6
256,5,Final Answer: 5,5,5,Final Answer: 5,5,5 hours,Final Answer: 5,5,5,Final Answer: 5,5
258,780,Final Answer: 468,468,780,Final Answer: 780,780,624,Final Answer: 468,468,624,Final Answer: 624,624
261,10,Final Answer: 10,10,10,Final Answer: 10,10,17,Final Answer: 17,17,10,Final Answer: 10,10
262,9800,Final Answer: 9800,9800,10000,Final Answer: 10000,10000,9181.05,Final Answer: 9181.05,9181.05,9000,Final Answer: 9000,9000
264,115,Final Answer: 115,115,115,Final Answer: 115,115,95,Final Answer: 95,95,95,Final Answer: 95,95
265,94,Final Answer: 94,94,94,Final Answer: 94,94,104,Final Answer: 104,104,104,Final Answer: 104,104
266,400,Final Answer: 400,400,1200,Final Answer: 1200,1200,400,Final Answer: 400,400,1300,Final Answer: 1300,1300
267,18,Final Answer: 16,16,14,Final Answer: 14,14,18,Final Answer: 18,18,18,Final Answer: 18,18
268,34,Final Answer: 34,34,34,Final Answer: 34,34,45,Final Answer: 45,45,50,Final Answer: 50,50
269,300,Final Answer: 300,300,300,Final Answer: 300,300,210,Final Answer: 210,210,180,Final Answer: 180,180
270,7.5,Final Answer: 7.5,7.5,7.5,Final Answer: 7.5,7.5,7.5,Final Answer: 7.5,7.5,7.5,Final Answer: 7.5,7.5
272,10,Final Answer: 5,5,10,Final Answer: 10,10,2,Final Answer: 2,2,10,Final Answer: 5,5
274,150,Final Answer: 150,150,280,Final Answer: 280,280,280,Final Answer: 280,280,280,Final Answer: 280,280
275,90000,Final Answer: 72000,72000,36000,Final Answer: 36000,36000,120000,Final Answer: 120000,120000,90000,Final Answer: 90000,90000
276,75,Final Answer: 75,75,75,Final Answer: 75,75,75,Final Answer: 75,75,75,Final Answer: 75,75
277,9,Final Answer: 9,9,9,Final Answer: 9,9,5,Final Answer: 5,5,5,Final Answer: 5,5
278,258,Final Answer: 258,258,208,Final Answer: 208,208,258,Final Answer: 258,258,298,Final Answer: 298,298
279,6.50,Final Answer: 6.50,6.50,2.50,Final Answer: 2.50,2.50,3.20,Final Answer: 3.20,3.20,6.50,Final Answer: 6.50,6.50
280,100,Final Answer: 100,100,100,Final Answer: 100,100,100,Final Answer: 100,100,100,Final Answer: 100,100
281,15,Final Answer: 15,15,15,Final Answer: 15,15,15,Final Answer: 15,15,8,Final Answer: 8,8
282,80,Final Answer: 70,70,52.50,Final Answer: 52.50,52.50,60,Final Answer: 60,60,60,Final Answer: 60,60
283,720,Final Answer: 720,720,720,Final Answer: 720,720,675,Final Answer: 675,675,750,Final Answer: 750,750
285,64,Final Answer: 64,64,60,Final Answer: 60,60,64,Final Answer: 64,64,64,Final Answer: 64,64
286,300,Final Answer: 300,300,400,Final Answer: 400,400,480,Final Answer: 480,480,480,Final Answer: 480,480
