id,rationale_original_final,rationale_pert1_final,rationale_pert2_final,rationale_pert3_final,gold_label,row_accuracy
51,entailment,entailment,entailment,entailment,entailment,1.0
52,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
53,entailment,entailment,entailment,entailment,entailment,1.0
54,entailment,entailment,entailment,entailment,entailment,1.0
55,entailment,entailment,entailment,entailment,entailment,1.0
56,neutral,neutral,neutral,neutral,neutral,1.0
58,neutral,neutral,neutral,neutral,entailment,0.0
59,neutral,neutral,neutral,neutral,contradiction,0.0
63,neutral,neutral,neutral,neutral,neutral,1.0
64,neutral,neutral,neutral,neutral,neutral,1.0
65,entailment,entailment,entailment,entailment,entailment,1.0
66,neutral,neutral,neutral,neutral,neutral,1.0
67,neutral,neutral,neutral,neutral,neutral,1.0
68,entailment,neutral,entailment,entailment,entailment,0.75
69,entailment,entailment,entailment,entailment,entailment,1.0
70,neutral,neutral,neutral,neutral,neutral,1.0
71,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
74,neutral,neutral,neutral,neutral,contradiction,0.0
75,neutral,neutral,neutral,neutral,neutral,1.0
77,entailment,entailment,entailment,entailment,entailment,1.0
78,neutral,neutral,neutral,neutral,neutral,1.0
79,contradiction,contradiction,neutral,contradiction,contradiction,0.75
80,neutral,neutral,neutral,neutral,contradiction,0.0
81,entailment,entailment,entailment,entailment,entailment,1.0
82,neutral,neutral,neutral,neutral,neutral,1.0
83,neutral,neutral,neutral,neutral,contradiction,0.0
84,entailment,entailment,entailment,entailment,entailment,1.0
85,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
86,entailment,entailment,entailment,entailment,entailment,1.0
87,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
88,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
89,neutral,neutral,neutral,neutral,neutral,1.0
90,neutral,neutral,neutral,neutral,neutral,1.0
91,entailment,entailment,entailment,entailment,entailment,1.0
92,entailment,entailment,entailment,entailment,entailment,1.0
93,entailment,entailment,entailment,entailment,entailment,1.0
95,neutral,neutral,neutral,neutral,contradiction,0.0
97,entailment,entailment,entailment,entailment,entailment,1.0
99,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
101,entailment,entailment,entailment,entailment,entailment,1.0
102,neutral,neutral,neutral,neutral,neutral,1.0
103,entailment,entailment,entailment,entailment,entailment,1.0
104,entailment,entailment,entailment,entailment,entailment,1.0
106,neutral,neutral,neutral,neutral,neutral,1.0
107,entailment,entailment,entailment,entailment,entailment,1.0
108,entailment,entailment,entailment,entailment,entailment,1.0
109,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
110,neutral,neutral,neutral,neutral,neutral,1.0
111,neutral,neutral,neutral,neutral,neutral,1.0
112,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
114,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
117,neutral,neutral,neutral,neutral,neutral,1.0
119,neutral,neutral,neutral,neutral,contradiction,0.0
120,neutral,neutral,neutral,neutral,contradiction,0.0
122,neutral,neutral,neutral,neutral,contradiction,0.0
123,neutral,neutral,neutral,neutral,neutral,1.0
124,neutral,neutral,neutral,neutral,neutral,1.0
125,neutral,neutral,neutral,neutral,entailment,0.0
126,neutral,neutral,neutral,neutral,contradiction,0.0
127,neutral,neutral,neutral,neutral,neutral,1.0
128,entailment,entailment,entailment,entailment,entailment,1.0
130,neutral,neutral,neutral,neutral,neutral,1.0
131,neutral,neutral,neutral,neutral,entailment,0.0
132,neutral,neutral,neutral,neutral,neutral,1.0
133,neutral,neutral,neutral,neutral,contradiction,0.0
134,neutral,neutral,neutral,neutral,neutral,1.0
135,neutral,neutral,neutral,neutral,neutral,1.0
136,entailment,entailment,entailment,entailment,neutral,0.0
137,neutral,neutral,neutral,neutral,neutral,1.0
138,entailment,entailment,entailment,entailment,entailment,1.0
141,entailment,entailment,entailment,entailment,entailment,1.0
142,neutral,neutral,neutral,neutral,neutral,1.0
143,neutral,neutral,neutral,neutral,contradiction,0.0
144,neutral,neutral,neutral,neutral,neutral,1.0
146,entailment,entailment,entailment,entailment,entailment,1.0
148,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
150,entailment,entailment,entailment,entailment,entailment,1.0
151,neutral,neutral,neutral,neutral,neutral,1.0
152,entailment,entailment,entailment,entailment,entailment,1.0
154,entailment,entailment,entailment,entailment,entailment,1.0
156,neutral,neutral,neutral,neutral,neutral,1.0
157,entailment,entailment,entailment,entailment,entailment,1.0
159,entailment,entailment,entailment,entailment,entailment,1.0
160,entailment,entailment,entailment,entailment,entailment,1.0
161,entailment,entailment,entailment,entailment,entailment,1.0
164,neutral,neutral,neutral,neutral,neutral,1.0
165,neutral,neutral,neutral,neutral,entailment,0.0
167,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
168,neutral,neutral,neutral,neutral,contradiction,0.0
169,neutral,neutral,neutral,neutral,neutral,1.0
170,entailment,entailment,entailment,entailment,entailment,1.0
171,entailment,entailment,entailment,entailment,entailment,1.0
173,entailment,entailment,entailment,entailment,entailment,1.0
174,contradiction,contradiction,contradiction,contradiction,entailment,0.0
175,entailment,entailment,entailment,entailment,entailment,1.0
177,entailment,entailment,entailment,entailment,entailment,1.0
179,neutral,neutral,neutral,neutral,contradiction,0.0
180,entailment,entailment,entailment,entailment,entailment,1.0
181,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
182,neutral,neutral,neutral,neutral,contradiction,0.0
183,entailment,entailment,entailment,entailment,entailment,1.0
184,entailment,entailment,entailment,entailment,entailment,1.0
185,entailment,entailment,entailment,entailment,entailment,1.0
186,neutral,neutral,neutral,neutral,neutral,1.0
187,entailment,entailment,entailment,entailment,entailment,1.0
188,neutral,neutral,neutral,neutral,neutral,1.0
189,entailment,entailment,entailment,entailment,entailment,1.0
190,entailment,entailment,entailment,entailment,entailment,1.0
191,neutral,neutral,neutral,neutral,contradiction,0.0
193,neutral,neutral,neutral,neutral,entailment,0.0
194,neutral,neutral,neutral,neutral,neutral,1.0
195,neutral,neutral,neutral,neutral,neutral,1.0
196,entailment,entailment,entailment,entailment,entailment,1.0
198,neutral,neutral,neutral,neutral,neutral,1.0
199,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
200,entailment,entailment,entailment,entailment,entailment,1.0
202,entailment,entailment,entailment,entailment,entailment,1.0
204,neutral,neutral,neutral,neutral,neutral,1.0
205,neutral,neutral,neutral,neutral,neutral,1.0
206,neutral,neutral,neutral,neutral,neutral,1.0
207,neutral,neutral,neutral,neutral,neutral,1.0
208,neutral,neutral,neutral,neutral,neutral,1.0
209,entailment,entailment,entailment,entailment,entailment,1.0
210,neutral,neutral,neutral,neutral,neutral,1.0
211,entailment,entailment,entailment,entailment,entailment,1.0
212,neutral,neutral,neutral,neutral,contradiction,0.0
213,entailment,entailment,entailment,entailment,entailment,1.0
214,entailment,entailment,entailment,entailment,entailment,1.0
215,neutral,neutral,neutral,neutral,neutral,1.0
217,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
218,neutral,neutral,neutral,neutral,contradiction,0.0
219,neutral,neutral,neutral,neutral,contradiction,0.0
220,neutral,neutral,neutral,neutral,neutral,1.0
223,entailment,entailment,entailment,entailment,entailment,1.0
224,neutral,neutral,neutral,neutral,contradiction,0.0
225,neutral,neutral,neutral,neutral,neutral,1.0
227,entailment,entailment,entailment,entailment,entailment,1.0
228,neutral,neutral,neutral,neutral,neutral,1.0
229,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
230,contradiction,contradiction,contradiction,contradiction,neutral,0.0
231,entailment,entailment,entailment,entailment,entailment,1.0
232,entailment,entailment,entailment,entailment,entailment,1.0
234,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
235,neutral,neutral,neutral,neutral,neutral,1.0
236,neutral,neutral,neutral,neutral,neutral,1.0
237,neutral,neutral,neutral,neutral,neutral,1.0
238,neutral,neutral,neutral,neutral,neutral,1.0
242,neutral,neutral,neutral,neutral,neutral,1.0
243,neutral,neutral,neutral,neutral,contradiction,0.0
245,entailment,entailment,entailment,entailment,entailment,1.0
247,neutral,neutral,neutral,neutral,neutral,1.0
249,entailment,entailment,entailment,entailment,entailment,1.0
250,neutral,neutral,neutral,neutral,contradiction,0.0
251,entailment,entailment,entailment,entailment,entailment,1.0
252,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
253,neutral,neutral,neutral,neutral,neutral,1.0
255,neutral,neutral,neutral,neutral,contradiction,0.0
256,entailment,entailment,entailment,entailment,entailment,1.0
258,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
259,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
260,entailment,entailment,entailment,entailment,entailment,1.0
261,entailment,entailment,entailment,entailment,entailment,1.0
262,neutral,neutral,neutral,neutral,neutral,1.0
263,entailment,entailment,entailment,entailment,neutral,0.0
264,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
265,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
267,neutral,neutral,neutral,neutral,neutral,1.0
269,neutral,neutral,neutral,neutral,contradiction,0.0
270,neutral,neutral,neutral,neutral,neutral,1.0
271,neutral,neutral,neutral,neutral,contradiction,0.0
272,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
274,entailment,entailment,entailment,entailment,entailment,1.0
275,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
276,neutral,neutral,neutral,neutral,contradiction,0.0
277,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
279,neutral,neutral,neutral,neutral,neutral,1.0
280,neutral,neutral,neutral,neutral,neutral,1.0
281,neutral,neutral,neutral,neutral,neutral,1.0
282,entailment,entailment,entailment,entailment,entailment,1.0
284,entailment,entailment,entailment,entailment,entailment,1.0
285,neutral,neutral,neutral,neutral,neutral,1.0
286,neutral,neutral,neutral,neutral,neutral,1.0
288,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
289,neutral,neutral,neutral,neutral,neutral,1.0
290,entailment,entailment,entailment,entailment,neutral,0.0
291,neutral,neutral,neutral,neutral,neutral,1.0
294,neutral,neutral,neutral,neutral,contradiction,0.0
295,entailment,entailment,entailment,entailment,entailment,1.0
297,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
298,neutral,neutral,neutral,neutral,neutral,1.0
299,neutral,neutral,neutral,neutral,neutral,1.0
300,neutral,neutral,neutral,neutral,neutral,1.0
301,neutral,neutral,neutral,neutral,contradiction,0.0
302,entailment,entailment,entailment,entailment,neutral,0.0
305,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
306,neutral,neutral,neutral,neutral,neutral,1.0
307,neutral,neutral,neutral,neutral,neutral,1.0
308,contradiction,contradiction,contradiction,contradiction,entailment,0.0
310,neutral,neutral,neutral,neutral,contradiction,0.0
311,entailment,entailment,entailment,entailment,entailment,1.0
312,entailment,neutral,neutral,entailment,neutral,0.5
314,neutral,neutral,neutral,neutral,neutral,1.0
315,neutral,neutral,neutral,neutral,contradiction,0.0
316,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
318,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
319,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
320,neutral,neutral,neutral,neutral,neutral,1.0
321,entailment,entailment,entailment,entailment,entailment,1.0
322,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
323,neutral,neutral,neutral,neutral,entailment,0.0
324,neutral,neutral,neutral,neutral,contradiction,0.0
326,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
327,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
328,entailment,entailment,entailment,entailment,entailment,1.0
329,neutral,neutral,neutral,neutral,neutral,1.0
330,neutral,neutral,neutral,neutral,neutral,1.0
332,neutral,neutral,neutral,neutral,neutral,1.0
333,neutral,neutral,neutral,neutral,neutral,1.0
334,neutral,neutral,neutral,neutral,entailment,0.0
335,neutral,neutral,neutral,neutral,entailment,0.0
337,neutral,neutral,neutral,neutral,contradiction,0.0
338,neutral,neutral,neutral,neutral,neutral,1.0
339,neutral,neutral,neutral,neutral,neutral,1.0
340,entailment,entailment,entailment,entailment,entailment,1.0
341,neutral,neutral,neutral,neutral,neutral,1.0
342,neutral,neutral,neutral,neutral,contradiction,0.0
343,entailment,entailment,entailment,entailment,entailment,1.0
345,neutral,neutral,neutral,neutral,neutral,1.0
346,neutral,neutral,neutral,neutral,neutral,1.0
347,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
348,neutral,neutral,neutral,neutral,contradiction,0.0
349,entailment,entailment,entailment,entailment,entailment,1.0
351,entailment,entailment,entailment,entailment,entailment,1.0
352,neutral,neutral,neutral,neutral,contradiction,0.0
353,neutral,neutral,neutral,neutral,entailment,0.0
355,neutral,neutral,neutral,neutral,neutral,1.0
356,entailment,entailment,entailment,entailment,entailment,1.0
357,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
358,neutral,neutral,neutral,neutral,contradiction,0.0
360,neutral,neutral,neutral,neutral,entailment,0.0
361,entailment,entailment,entailment,entailment,entailment,1.0
362,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
365,entailment,entailment,entailment,entailment,entailment,1.0
366,entailment,entailment,entailment,entailment,entailment,1.0
367,neutral,neutral,neutral,neutral,neutral,1.0
368,entailment,entailment,entailment,entailment,entailment,1.0
369,neutral,neutral,neutral,neutral,neutral,1.0
370,neutral,neutral,neutral,neutral,neutral,1.0
371,entailment,entailment,entailment,entailment,entailment,1.0
372,entailment,entailment,entailment,entailment,entailment,1.0
373,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
374,entailment,entailment,entailment,entailment,entailment,1.0
375,neutral,neutral,neutral,neutral,contradiction,0.0
376,entailment,entailment,entailment,entailment,entailment,1.0
377,neutral,neutral,neutral,neutral,neutral,1.0
378,entailment,entailment,entailment,entailment,entailment,1.0
379,entailment,entailment,entailment,entailment,entailment,1.0
381,entailment,entailment,entailment,entailment,entailment,1.0
382,entailment,entailment,entailment,entailment,entailment,1.0
383,neutral,neutral,neutral,neutral,neutral,1.0
384,entailment,entailment,entailment,entailment,entailment,1.0
385,entailment,entailment,entailment,entailment,entailment,1.0
386,neutral,neutral,neutral,neutral,neutral,1.0
387,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
388,entailment,entailment,entailment,entailment,entailment,1.0
389,entailment,entailment,entailment,entailment,entailment,1.0
390,neutral,neutral,neutral,neutral,neutral,1.0
393,neutral,neutral,neutral,neutral,neutral,1.0
394,neutral,neutral,neutral,neutral,neutral,1.0
395,entailment,entailment,entailment,entailment,entailment,1.0
397,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
399,neutral,neutral,neutral,neutral,neutral,1.0
400,entailment,entailment,entailment,entailment,neutral,0.0
401,entailment,entailment,entailment,entailment,entailment,1.0
402,entailment,entailment,entailment,entailment,entailment,1.0
403,neutral,neutral,neutral,neutral,entailment,0.0
404,neutral,neutral,neutral,neutral,neutral,1.0
405,neutral,neutral,neutral,neutral,entailment,0.0
407,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
409,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
410,entailment,entailment,entailment,entailment,entailment,1.0
411,entailment,entailment,entailment,entailment,entailment,1.0
412,entailment,entailment,entailment,entailment,entailment,1.0
413,entailment,entailment,entailment,entailment,entailment,1.0
414,neutral,neutral,neutral,neutral,contradiction,0.0
415,entailment,entailment,entailment,entailment,entailment,1.0
416,neutral,neutral,neutral,neutral,contradiction,0.0
417,entailment,entailment,entailment,entailment,entailment,1.0
420,neutral,neutral,entailment,neutral,neutral,0.75
421,neutral,neutral,neutral,neutral,neutral,1.0
422,neutral,neutral,neutral,neutral,neutral,1.0
424,neutral,neutral,neutral,neutral,contradiction,0.0
425,neutral,neutral,neutral,neutral,contradiction,0.0
429,neutral,neutral,neutral,neutral,neutral,1.0
430,neutral,neutral,neutral,neutral,contradiction,0.0
431,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
432,neutral,neutral,neutral,neutral,neutral,1.0
433,neutral,neutral,neutral,neutral,contradiction,0.0
434,neutral,neutral,neutral,neutral,contradiction,0.0
435,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
437,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
442,neutral,neutral,neutral,neutral,neutral,1.0
443,entailment,entailment,entailment,entailment,entailment,1.0
444,neutral,neutral,neutral,neutral,neutral,1.0
445,entailment,entailment,entailment,entailment,entailment,1.0
446,neutral,neutral,neutral,neutral,entailment,0.0
447,entailment,entailment,entailment,entailment,entailment,1.0
448,contradiction,contradiction,neutral,contradiction,neutral,0.25
449,neutral,neutral,neutral,neutral,neutral,1.0
450,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
452,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
453,neutral,neutral,neutral,neutral,neutral,1.0
454,neutral,neutral,neutral,neutral,neutral,1.0
456,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
457,neutral,neutral,neutral,neutral,contradiction,0.0
458,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
459,neutral,neutral,neutral,neutral,neutral,1.0
460,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
461,neutral,neutral,neutral,neutral,neutral,1.0
462,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
463,entailment,entailment,entailment,entailment,neutral,0.0
467,neutral,neutral,neutral,neutral,neutral,1.0
468,neutral,neutral,neutral,neutral,neutral,1.0
470,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
472,entailment,entailment,entailment,entailment,entailment,1.0
473,neutral,neutral,neutral,neutral,neutral,1.0
474,entailment,entailment,entailment,entailment,entailment,1.0
475,entailment,entailment,entailment,entailment,entailment,1.0
476,neutral,neutral,neutral,neutral,neutral,1.0
479,neutral,neutral,neutral,neutral,neutral,1.0
481,entailment,entailment,entailment,entailment,entailment,1.0
483,entailment,entailment,entailment,entailment,entailment,1.0
484,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
485,neutral,neutral,neutral,neutral,neutral,1.0
486,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
487,contradiction,contradiction,neutral,neutral,contradiction,0.5
489,neutral,neutral,neutral,neutral,neutral,1.0
490,neutral,neutral,neutral,neutral,contradiction,0.0
491,entailment,entailment,entailment,entailment,entailment,1.0
492,entailment,entailment,entailment,entailment,entailment,1.0
493,contradiction,contradiction,contradiction,neutral,contradiction,0.75
495,neutral,neutral,neutral,neutral,neutral,1.0
496,neutral,neutral,neutral,neutral,contradiction,0.0
497,neutral,neutral,neutral,neutral,neutral,1.0
499,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
500,neutral,neutral,neutral,neutral,contradiction,0.0
501,neutral,neutral,neutral,neutral,neutral,1.0
502,neutral,neutral,neutral,neutral,neutral,1.0
503,entailment,entailment,entailment,entailment,entailment,1.0
504,neutral,neutral,neutral,neutral,neutral,1.0
505,neutral,neutral,neutral,neutral,contradiction,0.0
506,entailment,entailment,entailment,entailment,entailment,1.0
507,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
508,neutral,neutral,neutral,neutral,contradiction,0.0
509,neutral,neutral,neutral,neutral,neutral,1.0
510,neutral,neutral,neutral,neutral,neutral,1.0
511,entailment,entailment,entailment,entailment,entailment,1.0
512,entailment,entailment,entailment,entailment,entailment,1.0
513,neutral,neutral,neutral,neutral,neutral,1.0
514,neutral,neutral,neutral,neutral,neutral,1.0
516,entailment,entailment,entailment,entailment,entailment,1.0
517,neutral,neutral,neutral,neutral,contradiction,0.0
519,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
524,entailment,entailment,entailment,entailment,entailment,1.0
526,neutral,neutral,neutral,neutral,contradiction,0.0
529,neutral,neutral,neutral,neutral,neutral,1.0
530,neutral,neutral,neutral,neutral,neutral,1.0
531,entailment,entailment,entailment,entailment,entailment,1.0
532,entailment,entailment,entailment,entailment,entailment,1.0
535,neutral,neutral,neutral,neutral,contradiction,0.0
538,entailment,entailment,entailment,entailment,entailment,1.0
539,neutral,neutral,neutral,neutral,neutral,1.0
540,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
541,neutral,neutral,neutral,neutral,neutral,1.0
542,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
543,neutral,neutral,neutral,neutral,contradiction,0.0
544,neutral,neutral,neutral,neutral,neutral,1.0
545,neutral,neutral,neutral,neutral,contradiction,0.0
546,neutral,neutral,neutral,neutral,neutral,1.0
547,entailment,entailment,entailment,entailment,entailment,1.0
548,neutral,neutral,neutral,neutral,neutral,1.0
549,neutral,neutral,neutral,neutral,entailment,0.0
550,entailment,entailment,entailment,entailment,entailment,1.0
551,entailment,entailment,entailment,entailment,entailment,1.0
553,entailment,entailment,entailment,entailment,entailment,1.0
555,neutral,neutral,neutral,neutral,neutral,1.0
556,neutral,neutral,neutral,neutral,neutral,1.0
557,neutral,neutral,neutral,neutral,contradiction,0.0
558,neutral,neutral,neutral,neutral,neutral,1.0
559,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
560,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
561,entailment,entailment,entailment,entailment,entailment,1.0
562,neutral,neutral,neutral,neutral,neutral,1.0
563,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
564,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
565,neutral,neutral,neutral,neutral,neutral,1.0
567,entailment,entailment,entailment,entailment,entailment,1.0
568,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
569,neutral,neutral,neutral,neutral,neutral,1.0
570,neutral,neutral,neutral,neutral,contradiction,0.0
573,neutral,neutral,neutral,neutral,neutral,1.0
574,neutral,neutral,neutral,neutral,neutral,1.0
575,entailment,entailment,entailment,entailment,entailment,1.0
577,neutral,neutral,neutral,neutral,neutral,1.0
578,neutral,neutral,neutral,neutral,neutral,1.0
579,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
580,neutral,neutral,neutral,neutral,contradiction,0.0
581,entailment,entailment,entailment,entailment,entailment,1.0
583,entailment,entailment,entailment,entailment,entailment,1.0
584,neutral,neutral,neutral,neutral,neutral,1.0
586,entailment,entailment,entailment,entailment,entailment,1.0
587,neutral,neutral,neutral,neutral,contradiction,0.0
588,neutral,neutral,neutral,neutral,neutral,1.0
589,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
590,neutral,neutral,neutral,neutral,neutral,1.0
591,neutral,neutral,neutral,neutral,contradiction,0.0
592,entailment,entailment,entailment,entailment,entailment,1.0
593,neutral,neutral,neutral,neutral,neutral,1.0
594,neutral,neutral,neutral,neutral,neutral,1.0
596,entailment,entailment,entailment,entailment,entailment,1.0
597,neutral,neutral,neutral,neutral,neutral,1.0
598,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
599,neutral,neutral,neutral,neutral,neutral,1.0
600,entailment,entailment,entailment,entailment,entailment,1.0
602,entailment,entailment,entailment,entailment,entailment,1.0
603,entailment,entailment,entailment,entailment,entailment,1.0
604,contradiction,contradiction,contradiction,contradiction,neutral,0.0
605,neutral,neutral,neutral,neutral,neutral,1.0
606,neutral,neutral,neutral,neutral,neutral,1.0
607,neutral,neutral,neutral,neutral,entailment,0.0
609,neutral,neutral,neutral,neutral,neutral,1.0
610,entailment,entailment,entailment,entailment,entailment,1.0
611,entailment,entailment,entailment,entailment,entailment,1.0
612,neutral,neutral,neutral,neutral,neutral,1.0
613,entailment,entailment,entailment,entailment,entailment,1.0
614,neutral,neutral,neutral,neutral,neutral,1.0
615,neutral,neutral,neutral,neutral,neutral,1.0
616,neutral,neutral,neutral,neutral,contradiction,0.0
617,neutral,neutral,neutral,neutral,neutral,1.0
618,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
619,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
620,neutral,neutral,neutral,neutral,neutral,1.0
622,entailment,entailment,entailment,entailment,entailment,1.0
623,neutral,neutral,neutral,neutral,neutral,1.0
624,neutral,neutral,neutral,neutral,neutral,1.0
625,entailment,entailment,entailment,entailment,entailment,1.0
626,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
627,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
628,neutral,neutral,neutral,neutral,neutral,1.0
629,neutral,neutral,neutral,neutral,contradiction,0.0
631,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
632,neutral,neutral,neutral,neutral,entailment,0.0
633,neutral,neutral,neutral,neutral,neutral,1.0
634,entailment,entailment,entailment,entailment,entailment,1.0
635,entailment,entailment,entailment,entailment,entailment,1.0
636,neutral,neutral,neutral,neutral,neutral,1.0
637,neutral,neutral,neutral,neutral,contradiction,0.0
639,neutral,neutral,neutral,neutral,neutral,1.0
640,neutral,neutral,neutral,neutral,neutral,1.0
641,entailment,entailment,entailment,entailment,entailment,1.0
642,entailment,entailment,entailment,entailment,entailment,1.0
643,neutral,neutral,neutral,neutral,neutral,1.0
644,entailment,entailment,entailment,entailment,entailment,1.0
646,entailment,entailment,entailment,entailment,entailment,1.0
647,neutral,neutral,neutral,neutral,contradiction,0.0
648,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
649,neutral,neutral,neutral,neutral,contradiction,0.0
650,neutral,neutral,neutral,neutral,neutral,1.0
652,neutral,neutral,neutral,neutral,neutral,1.0
654,neutral,neutral,neutral,neutral,neutral,1.0
655,entailment,entailment,entailment,entailment,entailment,1.0
656,neutral,neutral,neutral,neutral,contradiction,0.0
657,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
