id,premise_raw,premise_original_necessity,premise_original_sufficiency,premise_original_ghost,coverage_original,premise_lexical_necessity,premise_lexical_sufficiency,premise_lexical_ghost,coverage_lexical,premise_syntactic_necessity,premise_syntactic_sufficiency,premise_syntactic_ghost,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_sufficiency,premise_pragmatic_ghost,coverage_pragmatic
16,A pair of black women on the street where one of them is walking past.,A _____ of black women on the street where one of them is _____ _____,_____ pair _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ walking past.,A pair _____ black _____ _____ the street where one of them is walking past.,0.2000,A _____ of _____ _____ on the street where one of them is _____ _____,_____ pair _____ black women _____ _____ _____ _____ _____ _____ _____ _____ walking past.,A pair of black women on _____ street _____ one _____ _____ _____ walking past.,0.3333,A _____ of black women on the street where _____ _____ _____ _____ _____ past.,_____ pair _____ _____ _____ _____ _____ _____ _____ one of them is walking _____,A pair _____ _____ women _____ the _____ _____ one of them is walking _____,0.4000,A _____ of black women on the street where one of them is _____ _____,_____ pair _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ walking past.,A pair of black women on the street where _____ of _____ _____ walking past.,0.2000
17,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat by the pool.,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the pool.,We see the backs of a young Asian girl with a green shirt and a red _____ holding hands with a young Asian girl with _____ striped _____ shirt and a pink hat by the pool.,0.0833,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the pool.,We see the backs of a young Asian _____ with a green shirt and _____ red hat holding hands with a young Asian _____ with a striped pink shirt and a pink hat by the pool.,0.0833,We see the backs of a _____ _____ _____ with a _____ _____ and a _____ _____ holding hands with a _____ _____ _____ with a _____ _____ _____ and a _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ young Asian girl _____ _____ green shirt _____ _____ red hat _____ _____ _____ _____ young Asian girl _____ _____ striped pink shirt _____ _____ pink hat by the pool.,_____ _____ _____ _____ _____ _____ young Asian girl _____ _____ green shirt _____ _____ red hat _____ _____ _____ _____ young Asian girl _____ _____ striped pink shirt _____ _____ pink hat by the pool.,0.5000,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the pool.,We see the backs of a young _____ girl with a green shirt and a red hat _____ hands with a _____ Asian girl with a striped pink shirt and a pink hat by the pool.,0.0833
18,two man in the army with a small boy from the area.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,two man in the army with a small boy from the area.,two man in the army with a small boy from the area.,1.0000,_____ _____ _____ _____ _____ with _____ _____ _____ _____ _____ _____,two man in the army _____ a small boy from the area.,two man in the army _____ a small boy from the area.,0.9167,_____ _____ _____ _____ _____ with a _____ _____ _____ _____ _____,two man in the army _____ _____ small boy from the area.,two man in the army _____ _____ small boy from the area.,0.8333,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,two man in the army with a small boy from the area.,two man in the army with a small boy from the area.,1.0000
19,A street vendor sitting on a sidewalk with eggs and live chickens.,A _____ _____ _____ on a sidewalk with eggs and live chickens.,_____ street vendor sitting _____ _____ _____ _____ _____ _____ _____ _____,A street vendor sitting _____ a _____ _____ eggs and live chickens.,0.2500,A _____ _____ _____ on a sidewalk with eggs and live chickens.,_____ street vendor sitting _____ _____ _____ _____ _____ _____ _____ _____,_____ street vendor sitting on _____ sidewalk with eggs and _____ chickens.,0.2500,A _____ _____ sitting on a sidewalk with eggs and live chickens.,_____ street vendor _____ _____ _____ _____ _____ _____ _____ _____ _____,A street vendor sitting on a _____ with eggs and _____ chickens.,0.1667,A _____ _____ _____ on a sidewalk with eggs and live chickens.,_____ street vendor sitting _____ _____ _____ _____ _____ _____ _____ _____,A street vendor sitting _____ _____ sidewalk with eggs _____ live chickens.,0.2500
20,A man painted in gold with cycle stands in the street.,A man painted in gold with cycle stands _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ in the street.,A man painted in _____ _____ _____ stands in the street.,0.2727,_____ _____ _____ _____ _____ with cycle _____ _____ _____ _____,A man painted in gold _____ _____ stands in the street.,A man painted in gold _____ _____ stands in the street.,0.8182,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A man painted in gold with cycle stands in the street.,A man painted in gold with cycle stands in the street.,1.0000,_____ _____ _____ _____ _____ with cycle _____ _____ _____ _____,A man painted in gold _____ _____ stands in the street.,A man painted in gold _____ _____ stands in the street.,0.8182
21,"With a beautiful blue sky and green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear waters carry something white.",With a beautiful blue sky and _____ _____ _____ _____ _____ _____ _____ in blue shorts and a blue shirt _____ _____ _____ _____ _____ _____ carry something white.,"_____ _____ _____ _____ _____ _____ green mountains in the background, a man _____ _____ _____ _____ _____ _____ _____ wades through the shallow, clear waters _____ _____ _____","_____ a _____ _____ sky _____ green mountains in the background, a man _____ _____ _____ _____ _____ _____ _____ wades through the shallow, clear waters _____ _____ white.",0.4483,"With a _____ _____ _____ and _____ _____ in the _____ a _____ in _____ _____ and a _____ _____ _____ _____ the shallow, clear _____ carry something white.","_____ _____ beautiful blue sky _____ green mountains _____ _____ background, _____ man _____ blue shorts _____ _____ blue shirt wades through _____ _____ _____ waters _____ _____ _____","_____ _____ beautiful blue sky _____ green mountains _____ _____ background, _____ man _____ blue shorts and _____ blue shirt wades through _____ _____ _____ waters _____ _____ _____",0.4828,"With a _____ _____ _____ and _____ _____ _____ _____ _____ _____ _____ in blue shorts and a blue shirt _____ _____ the shallow, clear _____ carry something white.","_____ _____ beautiful blue sky _____ green mountains in the background, a man _____ _____ _____ _____ _____ _____ _____ wades through _____ _____ _____ waters _____ _____ _____","With _____ beautiful blue sky _____ green mountains in the background, a man _____ _____ _____ _____ _____ _____ shirt wades through _____ _____ _____ waters carry _____ _____",0.4483,With a beautiful blue sky and _____ _____ _____ _____ _____ _____ _____ in blue shorts and a blue shirt _____ _____ _____ _____ _____ _____ carry something white.,"_____ _____ _____ _____ _____ _____ green mountains in the background, a man _____ _____ _____ _____ _____ _____ _____ wades through the shallow, clear waters _____ _____ _____","_____ _____ _____ _____ sky _____ green mountains in the background, a man in _____ _____ and _____ _____ _____ wades through the shallow, clear waters _____ _____ _____",0.4483
22,A large crowd of people are walking.,A _____ _____ of people are _____,_____ large crowd _____ _____ _____ walking.,_____ large crowd _____ _____ are walking.,0.4286,A _____ _____ _____ _____ are _____,_____ large crowd of people _____ walking.,_____ large crowd of people _____ walking.,0.7143,A _____ _____ of people are _____,_____ large crowd _____ _____ _____ walking.,_____ large crowd of _____ _____ walking.,0.4286,A _____ _____ of people are _____,_____ large crowd _____ _____ _____ walking.,_____ large crowd _____ _____ are walking.,0.4286
23,Two elderly people sit in handicapped chairs on a train.,Two _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ elderly people sit in handicapped chairs on a train.,_____ elderly people sit in handicapped chairs on a train.,0.9000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Two elderly people sit in handicapped chairs on a train.,Two elderly people sit in handicapped chairs on a train.,1.0000,_____ _____ _____ sit in handicapped chairs on a _____,Two elderly people _____ _____ _____ _____ _____ _____ train.,Two elderly people _____ _____ _____ _____ on a train.,0.4000,_____ _____ _____ _____ _____ _____ _____ on a _____,Two elderly people sit in handicapped chairs _____ _____ train.,Two elderly people sit in handicapped chairs _____ _____ train.,0.8000
24,A woman cuts a cake while the woman next to her holds out a plate.,A woman _____ _____ _____ while the woman next to her holds out a plate.,_____ _____ cuts a cake _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A woman cuts a cake while _____ woman next to _____ holds out _____ plate.,0.2000,A woman _____ _____ _____ while the woman next to her holds out a plate.,_____ _____ cuts a cake _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A woman cuts a cake _____ the woman next to her _____ _____ a plate.,0.2000,A woman _____ _____ _____ while the woman next to her holds out a plate.,_____ _____ cuts a cake _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A woman cuts a cake while _____ woman next to _____ holds _____ a plate.,0.2000,A woman _____ _____ _____ while the _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ cuts a cake _____ _____ woman next to her holds out a plate.,_____ _____ cuts a cake _____ _____ woman next to her holds out a plate.,0.7333
25,A person with a bag walking in a big city.,_____ _____ _____ _____ _____ _____ in a big city.,A person with a bag walking _____ _____ _____ _____,A person with a bag walking _____ _____ _____ _____,0.6000,A _____ _____ _____ _____ _____ in a big city.,_____ person with a bag walking _____ _____ _____ _____,_____ person with a bag walking _____ _____ _____ _____,0.5000,A person with a bag walking in a big city.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A person with a bag walking in a big city.,0.0000,_____ _____ with _____ _____ _____ in a big city.,A person _____ a bag walking _____ _____ _____ _____,A person _____ a bag walking _____ _____ _____ _____,0.5000
26,14 men standing on a stairway outside almost all wearing the same shirt.,14 men _____ on a _____ outside _____ _____ _____ _____ _____ _____,_____ _____ standing _____ _____ stairway _____ almost all wearing the same shirt.,_____ _____ standing _____ _____ stairway _____ almost all wearing the same shirt.,0.6154,14 men _____ on a _____ outside _____ _____ _____ _____ _____ _____,_____ _____ standing _____ _____ stairway _____ almost all wearing the same shirt.,_____ _____ standing _____ _____ stairway _____ almost all wearing the same shirt.,0.6154,14 men _____ on a _____ outside _____ _____ _____ _____ _____ _____,_____ _____ standing _____ _____ stairway _____ almost all wearing the same shirt.,_____ _____ standing _____ _____ stairway _____ almost all wearing the same shirt.,0.6154,14 men _____ on a _____ outside _____ _____ _____ _____ _____ _____,_____ _____ standing _____ _____ stairway _____ almost all wearing the same shirt.,_____ _____ standing _____ _____ stairway _____ almost all wearing the same shirt.,0.6154
27,Two children walking down a path in the woods.,Two children walking down a path in the _____,_____ _____ _____ _____ _____ _____ _____ _____ woods.,_____ children walking down a path in the woods.,0.1111,Two children walking down a _____ _____ _____ _____,_____ _____ _____ _____ _____ path in the woods.,_____ _____ _____ down _____ path in the woods.,0.4444,Two _____ walking down a path in the _____,_____ children _____ _____ _____ _____ _____ _____ woods.,_____ children walking down a path in _____ woods.,0.2222,Two children _____ _____ _____ _____ in the _____,_____ _____ walking down a path _____ _____ woods.,_____ _____ walking down a path _____ _____ woods.,0.5556
28,Young people are playing in the snow while an older person seems to be taking pictures.,_____ _____ are _____ _____ _____ _____ while an older person seems to be taking pictures.,Young people _____ playing in the snow _____ _____ _____ _____ _____ _____ _____ _____ _____,Young people are playing in the snow _____ an _____ _____ seems to _____ _____ _____,0.3750,_____ _____ are _____ _____ _____ _____ while an older person seems to be taking pictures.,Young people _____ playing in the snow _____ _____ _____ _____ _____ _____ _____ _____ _____,Young people _____ playing in the snow _____ _____ _____ _____ seems _____ be taking pictures.,0.3750,_____ _____ are _____ _____ _____ _____ while an older person seems to be taking pictures.,Young people _____ playing in the snow _____ _____ _____ _____ _____ _____ _____ _____ _____,Young people _____ playing in the snow _____ an older _____ _____ to _____ _____ pictures.,0.3750,_____ _____ _____ _____ _____ _____ _____ while an older person seems to be taking pictures.,Young people are playing in the snow _____ _____ _____ _____ _____ _____ _____ _____ _____,Young people are playing in the snow _____ _____ older _____ _____ _____ _____ _____ pictures.,0.4375
29,Person in blue jacket on a bike on a dirt course with people looking from behind a red and white barrier.,Person in blue jacket on a _____ on a dirt course with _____ _____ from _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ bike _____ _____ _____ _____ _____ people looking _____ behind a red and white barrier.,_____ in _____ _____ on a bike _____ _____ _____ _____ _____ people looking _____ behind a red and white barrier.,0.4286,_____ in _____ _____ _____ _____ _____ on a dirt course with _____ _____ from _____ _____ _____ _____ _____ _____,Person _____ blue jacket on a bike _____ _____ _____ _____ _____ people looking _____ behind a red and white barrier.,Person _____ blue jacket on a bike _____ _____ _____ _____ _____ people looking _____ behind a red and white barrier.,0.6667,_____ in blue jacket _____ _____ _____ on a dirt course with _____ _____ from _____ _____ _____ _____ _____ _____,Person _____ _____ _____ on a bike _____ _____ _____ _____ _____ people looking _____ behind a red and white barrier.,Person _____ _____ _____ on a bike _____ _____ _____ _____ _____ people looking _____ behind a red and white barrier.,0.5714,_____ in blue jacket _____ _____ _____ on a dirt course with _____ _____ from _____ _____ _____ _____ _____ _____,Person _____ _____ _____ on a bike _____ _____ _____ _____ _____ people looking _____ behind a red and white barrier.,Person _____ _____ _____ on a bike _____ _____ _____ _____ _____ people looking _____ behind a red and white barrier.,0.5714
30,A band is practicing their routine.,_____ _____ is _____ their _____,A band _____ practicing _____ routine.,A band _____ practicing _____ routine.,0.6667,A _____ is _____ their routine.,_____ band _____ practicing _____ _____,A band _____ practicing their _____,0.3333,_____ _____ is _____ _____ _____,A band _____ practicing their routine.,A band _____ practicing their routine.,0.8333,A band is _____ _____ _____,_____ _____ _____ practicing their routine.,_____ _____ _____ practicing their routine.,0.5000
31,A laboratory worker making a phone call.,A _____ _____ _____ _____ _____ _____,_____ laboratory worker making a phone call.,_____ laboratory worker making a phone call.,0.8571,A _____ _____ _____ _____ _____ _____,_____ laboratory worker making a phone call.,_____ laboratory worker making a phone call.,0.8571,A _____ _____ _____ _____ _____ _____,_____ laboratory worker making a phone call.,_____ laboratory worker making a phone call.,0.8571,A _____ _____ _____ _____ _____ _____,_____ laboratory worker making a phone call.,_____ laboratory worker making a phone call.,0.8571
32,A man in a yellow shirt is on a roof hammering in shingles.,A _____ in a yellow shirt is on a _____ _____ _____ _____,_____ man _____ _____ _____ _____ _____ _____ _____ roof hammering in shingles.,_____ man _____ _____ _____ _____ is on a roof hammering in shingles.,0.3846,A man in a yellow shirt is on a _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ roof hammering in shingles.,_____ man in a _____ _____ is _____ a roof hammering in shingles.,0.3077,A _____ in a yellow shirt is _____ _____ _____ _____ _____ _____,_____ man _____ _____ _____ _____ _____ on a roof hammering in shingles.,_____ man _____ _____ _____ _____ _____ on a roof hammering in shingles.,0.5385,_____ _____ _____ _____ _____ _____ is _____ _____ _____ _____ _____ _____,A man in a yellow shirt _____ on a roof hammering in shingles.,A man in a yellow shirt _____ on a roof hammering in shingles.,0.9231
33,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,_____ _____ _____ in brown and green skirts _____ _____ _____ _____ _____ staring to the left.,Three brown-haired women _____ _____ _____ _____ _____ lean against a metal fence _____ _____ _____ _____,Three brown-haired women _____ _____ _____ green _____ lean against a metal fence _____ _____ _____ _____,0.4706,_____ brown-haired _____ in brown and green skirts _____ _____ _____ _____ _____ _____ _____ _____ _____,Three _____ women _____ _____ _____ _____ _____ lean against a metal fence staring to the left.,Three _____ women _____ _____ _____ _____ _____ lean against a metal fence staring to the left.,0.6471,Three _____ women in _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ brown-haired _____ _____ brown and green skirts lean against a metal fence staring to the left.,_____ brown-haired _____ _____ brown and green skirts lean against a metal fence staring to the left.,0.8235,_____ _____ _____ in brown and green skirts _____ _____ _____ _____ _____ staring to the left.,Three brown-haired women _____ _____ _____ _____ _____ lean against a metal fence _____ _____ _____ _____,Three brown-haired women _____ _____ _____ _____ _____ lean against a metal fence staring _____ _____ _____,0.4706
34,Man on a motorcycle performing a trick high in the air.,_____ _____ _____ _____ _____ _____ _____ high in the air.,Man on a motorcycle performing a trick _____ _____ _____ _____,Man on a motorcycle performing a trick _____ _____ _____ _____,0.6364,_____ _____ _____ _____ performing _____ _____ _____ _____ _____ _____,Man on a motorcycle _____ a trick high in the air.,Man on a motorcycle _____ a trick high in the air.,0.9091,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Man on a motorcycle performing a trick high in the air.,Man on a motorcycle performing a trick high in the air.,1.0000,_____ on a _____ _____ _____ _____ _____ _____ _____ _____,Man _____ _____ motorcycle performing a trick high in the air.,Man _____ _____ motorcycle performing a trick high in the air.,0.8182
35,Two dogs playing in a yard.,Two dogs _____ _____ _____ _____,_____ _____ playing in a yard.,_____ _____ playing in a yard.,0.6667,Two dogs _____ _____ _____ _____,_____ _____ playing in a yard.,_____ _____ playing in a yard.,0.6667,Two dogs _____ _____ _____ _____,_____ _____ playing in a yard.,_____ _____ playing in a yard.,0.6667,Two dogs _____ _____ _____ _____,_____ _____ playing in a yard.,_____ _____ playing in a yard.,0.6667
