id,premise_raw,premise_original_necessity,premise_original_sufficiency,premise_original_ghost,coverage_original,premise_lexical_necessity,premise_lexical_sufficiency,premise_lexical_ghost,coverage_lexical,premise_syntactic_necessity,premise_syntactic_sufficiency,premise_syntactic_ghost,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_sufficiency,premise_pragmatic_ghost,coverage_pragmatic
15,Pink shirted woman sleeping in a car with blue and white blanket on her.,Pink shirted _____ _____ _____ _____ _____ with blue and white blanket on her.,_____ _____ woman sleeping in a car _____ _____ _____ _____ _____ _____ _____,Pink _____ woman sleeping in a car _____ blue _____ _____ blanket on _____,0.3571,Pink shirted _____ _____ _____ _____ _____ with blue and white blanket on her.,_____ _____ woman sleeping in a car _____ _____ _____ _____ _____ _____ _____,Pink shirted woman sleeping in a car _____ _____ _____ white blanket _____ _____,0.3571,Pink shirted _____ _____ _____ _____ _____ with blue and white blanket on her.,_____ _____ woman sleeping in a car _____ _____ _____ _____ _____ _____ _____,_____ _____ woman sleeping in a car with _____ and _____ _____ on her.,0.3571,Pink shirted woman _____ in a car with blue and white blanket on her.,_____ _____ _____ sleeping _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ shirted woman sleeping in a car with blue and white blanket on her.,0.0714
16,A pair of black women on the street where one of them is walking past.,_____ _____ _____ _____ _____ on the street where _____ _____ _____ _____ _____ past.,A pair of black women _____ _____ _____ _____ one of them is walking _____,A pair of black women _____ _____ _____ _____ one of them is walking _____,0.6667,_____ _____ _____ _____ _____ on the street where one of them is _____ _____,A pair of black women _____ _____ _____ _____ _____ _____ _____ _____ walking past.,A pair of black women _____ _____ _____ _____ one _____ _____ _____ walking past.,0.4667,_____ _____ _____ _____ _____ on the street where _____ _____ _____ _____ _____ _____,A pair of black women _____ _____ _____ _____ one of them is walking past.,A pair of black women _____ _____ _____ _____ one of them is walking past.,0.7333,_____ _____ _____ _____ _____ on the street where _____ _____ _____ _____ _____ _____,A pair of black women _____ _____ _____ _____ one of them is walking past.,A pair of black women _____ _____ _____ _____ one of them is walking past.,0.7333
17,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat by the pool.,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the pool.,We see the backs of a young Asian girl with a green shirt _____ a red hat holding hands with a young Asian girl with _____ striped pink shirt and a _____ hat by the pool.,0.0833,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the pool.,We see the backs of a young Asian girl _____ a green shirt and a red _____ holding hands with a young Asian girl with a striped pink shirt _____ a pink hat by the pool.,0.0833,We see the backs of _____ _____ _____ _____ with a green shirt and a red hat holding hands with _____ _____ _____ _____ with a striped pink shirt and a pink hat _____ _____ _____,_____ _____ _____ _____ _____ a young Asian girl _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ a young Asian girl _____ _____ _____ _____ _____ _____ _____ _____ _____ by the pool.,We see _____ backs _____ a young Asian girl with a _____ _____ and a _____ _____ _____ hands with a young Asian girl with _____ _____ pink shirt and _____ _____ hat by the pool.,0.3056,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the pool.,We see the backs of _____ young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a _____ _____ by the pool.,0.0833
18,two man in the army with a small boy from the area.,_____ _____ in the _____ with a _____ _____ from the area.,two man _____ _____ army _____ _____ small boy _____ _____ _____,two man _____ _____ army _____ a small boy from _____ _____,0.4167,_____ _____ _____ _____ _____ with _____ _____ _____ from the area.,two man in the army _____ a small boy _____ _____ _____,two man in the army _____ a small boy _____ _____ _____,0.6667,_____ _____ _____ _____ _____ with _____ _____ _____ from the area.,two man in the army _____ a small boy _____ _____ _____,two man in the army _____ a small boy _____ _____ _____,0.6667,_____ _____ _____ _____ _____ with _____ _____ _____ from the area.,two man in the army _____ a small boy _____ _____ _____,two man in the army _____ a small boy _____ _____ _____,0.6667
19,A street vendor sitting on a sidewalk with eggs and live chickens.,_____ _____ _____ _____ on a sidewalk with _____ _____ _____ _____,A street vendor sitting _____ _____ _____ _____ eggs and live chickens.,A street vendor sitting _____ _____ _____ _____ eggs and live chickens.,0.6667,A street vendor _____ on a sidewalk with _____ _____ _____ _____,_____ _____ _____ sitting _____ _____ _____ _____ eggs and live chickens.,_____ _____ vendor sitting _____ a _____ _____ eggs and live chickens.,0.4167,A _____ _____ _____ on a sidewalk with eggs and live chickens.,_____ street vendor sitting _____ _____ _____ _____ _____ _____ _____ _____,A street vendor sitting on a sidewalk _____ eggs _____ _____ chickens.,0.2500,_____ _____ _____ _____ on a sidewalk with eggs and live chickens.,A street vendor sitting _____ _____ _____ _____ _____ _____ _____ _____,A street vendor sitting _____ a sidewalk with _____ _____ live _____,0.3333
20,A man painted in gold with cycle stands in the street.,A man _____ _____ _____ with cycle _____ _____ _____ _____,_____ _____ painted in gold _____ _____ stands in the street.,_____ _____ painted in gold _____ _____ stands in the street.,0.6364,A man _____ _____ _____ with cycle _____ _____ _____ _____,_____ _____ painted in gold _____ _____ stands in the street.,_____ _____ painted in gold _____ _____ stands in the street.,0.6364,_____ _____ _____ _____ _____ with cycle stands _____ _____ _____,A man painted in gold _____ _____ _____ in the street.,A man painted in gold _____ _____ _____ in the street.,0.7273,A _____ _____ _____ _____ with cycle stands _____ _____ _____,_____ man painted in gold _____ _____ _____ in the street.,_____ man painted in gold _____ _____ _____ in the street.,0.6364
21,"With a beautiful blue sky and green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear waters carry something white.","With a _____ _____ _____ _____ _____ _____ in the background, _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ carry something white.","_____ _____ beautiful blue sky and green mountains _____ _____ _____ a man in blue shorts and a blue shirt wades through the shallow, clear waters _____ _____ _____","_____ _____ beautiful blue sky and green mountains _____ _____ _____ a man in blue shorts and a blue shirt wades through the shallow, clear waters _____ _____ _____",0.7241,With a _____ _____ _____ and _____ _____ _____ _____ _____ _____ _____ in _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ carry something white.,"_____ _____ beautiful blue sky _____ green mountains in the background, a man _____ blue shorts and a blue shirt wades through the shallow, clear waters _____ _____ _____","_____ _____ beautiful blue sky _____ green mountains in the background, a man _____ blue shorts and a blue shirt wades through the shallow, clear waters _____ _____ _____",0.7586,With a _____ blue sky and _____ _____ _____ _____ _____ a man in blue shorts and a blue shirt _____ _____ _____ _____ _____ _____ carry something white.,"_____ _____ beautiful _____ _____ _____ green mountains in the background, _____ _____ _____ _____ _____ _____ _____ _____ _____ wades through the shallow, clear waters _____ _____ _____","_____ _____ beautiful _____ sky _____ green mountains in the background, a _____ _____ _____ _____ _____ _____ blue _____ wades through the shallow, clear waters carry something _____",0.4138,"With a _____ _____ _____ and _____ _____ in the background, _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ carry something white.","_____ _____ beautiful blue sky _____ green mountains _____ _____ _____ a man in blue shorts and a blue shirt wades through the shallow, clear waters _____ _____ _____","_____ _____ beautiful blue sky _____ green mountains _____ _____ _____ a man in blue shorts and a blue shirt wades through the shallow, clear waters _____ _____ _____",0.6897
22,A large crowd of people are walking.,A large _____ of people are _____,_____ _____ crowd _____ _____ _____ walking.,A _____ crowd _____ people are walking.,0.2857,A _____ _____ _____ _____ are _____,_____ large crowd of people _____ walking.,_____ large crowd of people _____ walking.,0.7143,A large crowd of people are _____,_____ _____ _____ _____ _____ _____ walking.,A _____ crowd of people are walking.,0.1429,_____ _____ _____ _____ _____ are _____,A large crowd of people _____ walking.,A large crowd of people _____ walking.,0.8571
23,Two elderly people sit in handicapped chairs on a train.,Two elderly people sit in handicapped chairs _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ on a train.,Two _____ _____ sit _____ handicapped chairs on a train.,0.3000,Two elderly people sit in _____ _____ on a _____,_____ _____ _____ _____ _____ handicapped chairs _____ _____ train.,_____ elderly people sit _____ handicapped chairs on _____ train.,0.3000,_____ _____ _____ sit in _____ _____ on a train.,Two elderly people _____ _____ handicapped chairs _____ _____ _____,Two elderly people _____ _____ handicapped chairs _____ _____ _____,0.5000,_____ _____ _____ sit in handicapped chairs on _____ _____,Two elderly people _____ _____ _____ _____ _____ a train.,Two elderly people _____ _____ _____ _____ _____ a train.,0.5000
24,A woman cuts a cake while the woman next to her holds out a plate.,A woman _____ _____ _____ while the woman next to her _____ _____ _____ _____,_____ _____ cuts a cake _____ _____ _____ _____ _____ _____ holds out a plate.,_____ _____ cuts a cake _____ _____ _____ _____ _____ her holds out a plate.,0.4667,A woman _____ _____ _____ while the woman next to her _____ _____ _____ _____,_____ _____ cuts a cake _____ _____ _____ _____ _____ _____ holds out a plate.,A _____ cuts a cake _____ _____ _____ _____ _____ _____ holds out a plate.,0.4667,A woman _____ _____ _____ while the woman next to her _____ _____ _____ _____,_____ _____ cuts a cake _____ _____ _____ _____ _____ _____ holds out a plate.,A _____ cuts a cake _____ _____ _____ _____ _____ _____ holds out a plate.,0.4667,A woman _____ _____ _____ while the woman next to her _____ _____ _____ _____,_____ _____ cuts a cake _____ _____ _____ _____ _____ _____ holds out a plate.,_____ _____ cuts a cake _____ _____ _____ next _____ _____ holds out a plate.,0.4667
25,A person with a bag walking in a big city.,_____ _____ _____ _____ _____ _____ in a big city.,A person with a bag walking _____ _____ _____ _____,A person with a bag walking _____ _____ _____ _____,0.6000,A _____ with a _____ _____ in a big city.,_____ person _____ _____ bag walking _____ _____ _____ _____,_____ person with _____ bag walking in _____ big city.,0.3000,_____ _____ _____ _____ _____ walking in a big city.,A person with a bag _____ _____ _____ _____ _____,A person with a bag _____ _____ _____ _____ _____,0.5000,_____ _____ with _____ _____ walking in a big city.,A person _____ a bag _____ _____ _____ _____ _____,A person _____ a bag _____ in a _____ _____,0.4000
26,14 men standing on a stairway outside almost all wearing the same shirt.,_____ _____ standing on a _____ outside _____ _____ _____ _____ _____ _____,14 men _____ _____ _____ stairway _____ almost all wearing the same shirt.,14 men _____ _____ _____ stairway _____ almost all wearing the same shirt.,0.6923,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,14 men standing on a stairway outside almost all wearing the same shirt.,14 men standing on a stairway outside almost all wearing the same shirt.,1.0000,_____ _____ _____ _____ _____ _____ outside _____ _____ _____ _____ _____ _____,14 men standing on a stairway _____ almost all wearing the same shirt.,14 men standing on a stairway _____ almost all wearing the same shirt.,0.9231,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,14 men standing on a stairway outside almost all wearing the same shirt.,14 men standing on a stairway outside almost all wearing the same shirt.,1.0000
27,Two children walking down a path in the woods.,Two children walking down a path in the _____,_____ _____ _____ _____ _____ _____ _____ _____ woods.,_____ children walking down a path in the woods.,0.1111,Two children walking down a path in the _____,_____ _____ _____ _____ _____ _____ _____ _____ woods.,Two children walking down a _____ in the woods.,0.1111,Two children walking down a path in the _____,_____ _____ _____ _____ _____ _____ _____ _____ woods.,Two _____ walking down a path in the woods.,0.1111,_____ _____ _____ down _____ _____ in the _____,Two children walking _____ a path _____ _____ woods.,Two children walking _____ a path _____ _____ woods.,0.6667
28,Young people are playing in the snow while an older person seems to be taking pictures.,_____ _____ _____ _____ _____ _____ _____ while an older person seems to be taking pictures.,Young people are playing in the snow _____ _____ _____ _____ _____ _____ _____ _____ _____,Young people are playing in the snow while _____ _____ _____ seems _____ _____ _____ _____,0.4375,_____ _____ are _____ _____ _____ _____ while an older person seems to be taking pictures.,Young people _____ playing in the snow _____ _____ _____ _____ _____ _____ _____ _____ _____,Young people are playing in the snow while _____ _____ person _____ _____ _____ _____ pictures.,0.3750,_____ _____ are _____ _____ _____ _____ while an older person seems to be taking pictures.,Young people _____ playing in the snow _____ _____ _____ _____ _____ _____ _____ _____ _____,Young people are playing in the snow _____ _____ _____ person _____ to be _____ _____,0.3750,_____ _____ _____ _____ _____ _____ _____ while an older person seems to be taking pictures.,Young people are playing in the snow _____ _____ _____ _____ _____ _____ _____ _____ _____,Young people are playing in the snow _____ an older _____ _____ _____ _____ _____ _____,0.4375
29,Person in blue jacket on a bike on a dirt course with people looking from behind a red and white barrier.,_____ _____ _____ _____ _____ _____ _____ on a dirt course with _____ _____ from behind a red and white barrier.,Person in blue jacket on a bike _____ _____ _____ _____ _____ people looking _____ _____ _____ _____ _____ _____ _____,Person in blue jacket on a bike on _____ dirt _____ _____ people looking _____ _____ _____ _____ _____ white _____,0.4286,_____ in blue jacket _____ _____ _____ on a dirt course with _____ _____ from behind a red and white barrier.,Person _____ _____ _____ on a bike _____ _____ _____ _____ _____ people looking _____ _____ _____ _____ _____ _____ _____,Person in _____ _____ on a bike _____ _____ dirt _____ _____ people looking from behind a red and white barrier.,0.2857,_____ in blue jacket _____ _____ _____ on a dirt course with _____ _____ from _____ _____ _____ _____ _____ _____,Person _____ _____ _____ on a bike _____ _____ _____ _____ _____ people looking _____ behind a red and white barrier.,Person _____ _____ _____ on a bike _____ _____ _____ _____ _____ people looking _____ behind a red and white barrier.,0.5714,_____ _____ _____ _____ _____ _____ _____ on a dirt course with _____ _____ from behind a red and white barrier.,Person in blue jacket on a bike _____ _____ _____ _____ _____ people looking _____ _____ _____ _____ _____ _____ _____,Person in blue jacket on a bike _____ _____ dirt _____ with people looking _____ behind _____ _____ _____ _____ _____,0.4286
30,A band is practicing their routine.,A band is _____ their routine.,_____ _____ _____ practicing _____ _____,A band is practicing _____ routine.,0.1667,A band is _____ _____ _____,_____ _____ _____ practicing their routine.,_____ _____ _____ practicing their routine.,0.5000,A _____ is _____ their routine.,_____ band _____ practicing _____ _____,_____ band is practicing their _____,0.3333,A _____ is _____ _____ _____,_____ band _____ practicing their routine.,_____ band _____ practicing their routine.,0.6667
31,A laboratory worker making a phone call.,A _____ _____ _____ _____ _____ _____,_____ laboratory worker making a phone call.,_____ laboratory worker making a phone call.,0.8571,_____ _____ _____ _____ _____ _____ _____,A laboratory worker making a phone call.,A laboratory worker making a phone call.,1.0000,_____ _____ _____ _____ _____ _____ _____,A laboratory worker making a phone call.,A laboratory worker making a phone call.,1.0000,_____ _____ _____ _____ _____ _____ _____,A laboratory worker making a phone call.,A laboratory worker making a phone call.,1.0000
32,A man in a yellow shirt is on a roof hammering in shingles.,A man in a yellow shirt is on a _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ roof hammering in shingles.,_____ man _____ _____ yellow shirt _____ on a roof hammering in shingles.,0.3077,A man in a yellow shirt is on a roof _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ hammering in shingles.,A man in a _____ shirt _____ _____ a roof hammering in shingles.,0.2308,A man in a yellow shirt is on a _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ roof hammering in shingles.,A _____ in a yellow shirt _____ _____ _____ roof hammering in shingles.,0.3077,A man in a yellow shirt is on a roof _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ hammering in shingles.,_____ man in _____ _____ shirt is on a roof hammering in shingles.,0.2308
33,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,_____ _____ _____ in brown and green skirts lean against _____ _____ _____ _____ _____ _____ _____,Three brown-haired women _____ _____ _____ _____ _____ _____ _____ a metal fence staring to the left.,Three brown-haired women _____ _____ _____ _____ _____ _____ _____ a metal fence staring to the left.,0.5882,Three brown-haired women in brown and green skirts _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ lean against a metal fence staring to the left.,_____ _____ _____ _____ _____ _____ _____ _____ lean against a metal fence staring to the left.,0.5294,_____ _____ _____ in brown and green skirts lean against a _____ _____ _____ _____ _____ _____,Three brown-haired women _____ _____ _____ _____ _____ _____ _____ _____ metal fence staring to the left.,Three brown-haired women _____ _____ _____ _____ _____ _____ _____ _____ metal fence staring to the left.,0.5294,_____ _____ _____ in _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Three brown-haired women _____ brown and green skirts lean against a metal fence staring to the left.,Three brown-haired women _____ brown and green skirts lean against a metal fence staring to the left.,0.9412
34,Man on a motorcycle performing a trick high in the air.,_____ _____ _____ _____ performing a trick high in the air.,Man on a motorcycle _____ _____ _____ _____ _____ _____ _____,Man on a motorcycle _____ a trick high _____ _____ _____,0.3636,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Man on a motorcycle performing a trick high in the air.,Man on a motorcycle performing a trick high in the air.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Man on a motorcycle performing a trick high in the air.,Man on a motorcycle performing a trick high in the air.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Man on a motorcycle performing a trick high in the air.,Man on a motorcycle performing a trick high in the air.,1.0000
35,Two dogs playing in a yard.,Two dogs playing _____ _____ _____,_____ _____ _____ in a yard.,_____ _____ _____ in a yard.,0.5000,Two dogs playing _____ _____ _____,_____ _____ _____ in a yard.,_____ _____ _____ in a yard.,0.5000,Two _____ playing _____ _____ _____,_____ dogs _____ in a yard.,_____ dogs _____ in a yard.,0.6667,Two _____ playing in a _____,_____ dogs _____ _____ _____ yard.,_____ dogs playing _____ a yard.,0.3333
