id,rationale_original_final,rationale_lexical_final,rationale_syntactic_final,rationale_pragmatic_final,gold_label,row_accuracy
79,neutral,neutral,neutral,neutral,contradiction,0.0
80,neutral,neutral,neutral,neutral,contradiction,0.0
81,entailment,entailment,entailment,entailment,entailment,1.0
82,neutral,neutral,neutral,neutral,neutral,1.0
83,neutral,neutral,neutral,neutral,contradiction,0.0
84,entailment,entailment,entailment,neutral,entailment,0.75
85,neutral,neutral,contradiction,neutral,contradiction,0.25
86,entailment,entailment,entailment,entailment,entailment,1.0
87,neutral,contradiction,neutral,neutral,contradiction,0.25
88,contradiction,neutral,neutral,contradiction,contradiction,0.5
89,neutral,entailment,neutral,neutral,neutral,0.75
90,neutral,neutral,neutral,neutral,neutral,1.0
91,neutral,neutral,neutral,entailment,entailment,0.25
92,entailment,entailment,entailment,entailment,entailment,1.0
93,entailment,entailment,entailment,entailment,entailment,1.0
95,neutral,neutral,neutral,neutral,contradiction,0.0
97,entailment,entailment,entailment,entailment,entailment,1.0
99,neutral,neutral,neutral,neutral,contradiction,0.0
101,entailment,entailment,entailment,entailment,entailment,1.0
102,neutral,neutral,neutral,neutral,neutral,1.0
103,entailment,entailment,entailment,entailment,entailment,1.0
104,entailment,entailment,entailment,entailment,entailment,1.0
106,neutral,neutral,neutral,neutral,neutral,1.0
107,neutral,entailment,entailment,neutral,entailment,0.5
108,entailment,entailment,entailment,entailment,entailment,1.0
109,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
110,entailment,neutral,neutral,neutral,neutral,0.75
111,neutral,entailment,entailment,entailment,neutral,0.25
112,contradiction,neutral,neutral,neutral,contradiction,0.25
114,neutral,neutral,neutral,neutral,contradiction,0.0
117,neutral,neutral,neutral,neutral,neutral,1.0
119,neutral,neutral,neutral,neutral,contradiction,0.0
120,neutral,neutral,neutral,neutral,contradiction,0.0
122,neutral,neutral,neutral,neutral,contradiction,0.0
123,neutral,neutral,neutral,neutral,neutral,1.0
124,neutral,neutral,neutral,neutral,neutral,1.0
125,entailment,entailment,entailment,entailment,entailment,1.0
126,neutral,neutral,neutral,neutral,contradiction,0.0
127,neutral,neutral,neutral,neutral,neutral,1.0
128,entailment,entailment,entailment,entailment,entailment,1.0
130,neutral,neutral,entailment,neutral,neutral,0.75
131,entailment,neutral,entailment,entailment,entailment,0.75
132,neutral,neutral,neutral,entailment,neutral,0.75
133,neutral,neutral,neutral,neutral,contradiction,0.0
134,neutral,neutral,neutral,neutral,neutral,1.0
135,neutral,neutral,neutral,neutral,neutral,1.0
136,entailment,entailment,entailment,entailment,neutral,0.0
137,neutral,neutral,neutral,entailment,neutral,0.75
138,entailment,neutral,neutral,entailment,entailment,0.5
141,entailment,entailment,entailment,entailment,entailment,1.0
142,entailment,entailment,entailment,entailment,neutral,0.0
143,neutral,neutral,neutral,neutral,contradiction,0.0
144,neutral,neutral,entailment,neutral,neutral,0.75
146,entailment,entailment,entailment,entailment,entailment,1.0
148,contradiction,neutral,neutral,contradiction,contradiction,0.5
150,entailment,entailment,entailment,entailment,entailment,1.0
151,neutral,neutral,neutral,neutral,neutral,1.0
152,entailment,entailment,entailment,entailment,entailment,1.0
154,entailment,entailment,entailment,entailment,entailment,1.0
156,neutral,neutral,entailment,neutral,neutral,0.75
157,entailment,entailment,entailment,entailment,entailment,1.0
159,entailment,entailment,entailment,entailment,entailment,1.0
160,entailment,entailment,entailment,entailment,entailment,1.0
161,entailment,entailment,entailment,entailment,entailment,1.0
164,neutral,neutral,neutral,neutral,neutral,1.0
165,neutral,neutral,neutral,neutral,entailment,0.0
167,neutral,contradiction,neutral,neutral,contradiction,0.25
168,neutral,neutral,neutral,neutral,contradiction,0.0
169,neutral,contradiction,neutral,entailment,neutral,0.5
170,entailment,entailment,entailment,entailment,entailment,1.0
171,entailment,entailment,entailment,entailment,entailment,1.0
173,entailment,entailment,entailment,entailment,entailment,1.0
174,entailment,entailment,entailment,entailment,entailment,1.0
175,entailment,entailment,entailment,entailment,entailment,1.0
177,entailment,entailment,entailment,entailment,entailment,1.0
179,neutral,neutral,neutral,neutral,contradiction,0.0
180,entailment,contradiction,entailment,entailment,entailment,0.75
181,contradiction,neutral,neutral,neutral,contradiction,0.25
182,neutral,neutral,neutral,neutral,contradiction,0.0
183,entailment,entailment,entailment,entailment,entailment,1.0
184,entailment,entailment,entailment,entailment,entailment,1.0
185,entailment,neutral,entailment,entailment,entailment,0.75
186,neutral,neutral,entailment,neutral,neutral,0.75
187,entailment,entailment,entailment,entailment,entailment,1.0
188,neutral,neutral,neutral,neutral,neutral,1.0
189,entailment,entailment,entailment,entailment,entailment,1.0
190,entailment,entailment,entailment,entailment,entailment,1.0
191,neutral,neutral,neutral,neutral,contradiction,0.0
193,neutral,neutral,entailment,neutral,entailment,0.25
194,entailment,entailment,entailment,entailment,neutral,0.0
195,neutral,neutral,neutral,neutral,neutral,1.0
196,entailment,entailment,entailment,entailment,entailment,1.0
198,neutral,neutral,entailment,entailment,neutral,0.5
199,neutral,neutral,neutral,neutral,contradiction,0.0
200,entailment,entailment,entailment,entailment,entailment,1.0
202,entailment,entailment,entailment,entailment,entailment,1.0
204,neutral,neutral,entailment,entailment,neutral,0.5
205,neutral,neutral,neutral,neutral,neutral,1.0
206,entailment,entailment,neutral,neutral,neutral,0.5
207,entailment,entailment,entailment,entailment,neutral,0.0
208,entailment,entailment,entailment,entailment,neutral,0.0
209,entailment,entailment,entailment,entailment,entailment,1.0
210,neutral,neutral,neutral,neutral,neutral,1.0
211,entailment,entailment,entailment,entailment,entailment,1.0
212,neutral,entailment,neutral,neutral,contradiction,0.0
213,entailment,entailment,entailment,entailment,entailment,1.0
214,entailment,entailment,entailment,entailment,entailment,1.0
215,neutral,neutral,neutral,neutral,neutral,1.0
217,contradiction,contradiction,neutral,neutral,contradiction,0.5
218,neutral,neutral,neutral,neutral,contradiction,0.0
219,neutral,contradiction,neutral,neutral,contradiction,0.25
220,entailment,neutral,entailment,entailment,neutral,0.25
223,entailment,entailment,entailment,entailment,entailment,1.0
224,neutral,neutral,neutral,neutral,contradiction,0.0
225,neutral,neutral,entailment,neutral,neutral,0.75
227,entailment,entailment,entailment,entailment,entailment,1.0
228,neutral,neutral,neutral,neutral,neutral,1.0
229,neutral,neutral,neutral,neutral,contradiction,0.0
230,neutral,neutral,neutral,neutral,neutral,1.0
231,entailment,neutral,entailment,entailment,entailment,0.75
232,entailment,entailment,entailment,entailment,entailment,1.0
234,contradiction,contradiction,contradiction,neutral,contradiction,0.75
235,neutral,neutral,neutral,neutral,neutral,1.0
236,neutral,neutral,neutral,neutral,neutral,1.0
237,entailment,entailment,entailment,entailment,neutral,0.0
238,neutral,neutral,neutral,neutral,neutral,1.0
242,neutral,neutral,neutral,neutral,neutral,1.0
243,neutral,neutral,neutral,neutral,contradiction,0.0
245,entailment,entailment,entailment,entailment,entailment,1.0
247,entailment,entailment,neutral,entailment,neutral,0.25
249,entailment,entailment,entailment,entailment,entailment,1.0
250,neutral,neutral,neutral,neutral,contradiction,0.0
251,entailment,entailment,entailment,entailment,entailment,1.0
252,neutral,neutral,neutral,neutral,contradiction,0.0
253,entailment,entailment,entailment,entailment,neutral,0.0
255,neutral,neutral,neutral,neutral,contradiction,0.0
256,entailment,entailment,entailment,entailment,entailment,1.0
258,neutral,contradiction,neutral,contradiction,contradiction,0.5
259,neutral,neutral,neutral,neutral,contradiction,0.0
260,entailment,entailment,entailment,entailment,entailment,1.0
261,entailment,entailment,entailment,entailment,entailment,1.0
262,neutral,neutral,neutral,entailment,neutral,0.75
263,entailment,entailment,entailment,entailment,neutral,0.0
264,contradiction,neutral,neutral,contradiction,contradiction,0.5
265,contradiction,neutral,contradiction,contradiction,contradiction,0.75
267,neutral,neutral,neutral,neutral,neutral,1.0
269,neutral,neutral,neutral,neutral,contradiction,0.0
270,neutral,neutral,entailment,neutral,neutral,0.75
271,neutral,neutral,neutral,neutral,contradiction,0.0
272,neutral,contradiction,neutral,neutral,contradiction,0.25
274,entailment,entailment,entailment,entailment,entailment,1.0
275,neutral,neutral,neutral,neutral,contradiction,0.0
276,neutral,neutral,neutral,neutral,contradiction,0.0
277,contradiction,contradiction,contradiction,neutral,contradiction,0.75
279,neutral,neutral,neutral,neutral,neutral,1.0
280,neutral,entailment,entailment,entailment,neutral,0.25
281,neutral,neutral,neutral,neutral,neutral,1.0
282,entailment,entailment,entailment,entailment,entailment,1.0
284,entailment,entailment,entailment,entailment,entailment,1.0
285,neutral,neutral,neutral,neutral,neutral,1.0
286,neutral,neutral,neutral,entailment,neutral,0.75
288,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
289,entailment,entailment,entailment,entailment,neutral,0.0
290,entailment,entailment,entailment,entailment,neutral,0.0
291,entailment,entailment,entailment,neutral,neutral,0.25
294,neutral,neutral,neutral,neutral,contradiction,0.0
295,entailment,entailment,entailment,entailment,entailment,1.0
297,neutral,neutral,neutral,neutral,contradiction,0.0
298,entailment,entailment,neutral,entailment,neutral,0.25
299,entailment,entailment,entailment,entailment,neutral,0.0
300,entailment,neutral,entailment,entailment,neutral,0.25
301,neutral,neutral,neutral,neutral,contradiction,0.0
302,neutral,entailment,entailment,entailment,neutral,0.25
305,neutral,neutral,neutral,neutral,contradiction,0.0
306,entailment,entailment,entailment,entailment,neutral,0.0
307,entailment,entailment,neutral,entailment,neutral,0.25
308,neutral,neutral,neutral,neutral,entailment,0.0
310,contradiction,neutral,neutral,neutral,contradiction,0.25
311,entailment,entailment,entailment,entailment,entailment,1.0
312,entailment,entailment,entailment,entailment,neutral,0.0
314,entailment,entailment,entailment,entailment,neutral,0.0
315,neutral,neutral,neutral,neutral,contradiction,0.0
316,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
318,neutral,neutral,neutral,neutral,contradiction,0.0
319,neutral,neutral,neutral,neutral,contradiction,0.0
320,neutral,neutral,neutral,neutral,neutral,1.0
321,entailment,entailment,entailment,entailment,entailment,1.0
322,contradiction,contradiction,neutral,neutral,contradiction,0.5
323,neutral,neutral,neutral,neutral,entailment,0.0
324,neutral,neutral,contradiction,neutral,contradiction,0.25
326,contradiction,neutral,contradiction,contradiction,contradiction,0.75
327,neutral,neutral,neutral,neutral,contradiction,0.0
328,entailment,entailment,entailment,entailment,entailment,1.0
329,neutral,neutral,neutral,neutral,neutral,1.0
330,neutral,neutral,entailment,neutral,neutral,0.75
332,neutral,neutral,neutral,neutral,neutral,1.0
333,neutral,neutral,neutral,neutral,neutral,1.0
334,entailment,entailment,entailment,entailment,entailment,1.0
335,neutral,neutral,entailment,neutral,entailment,0.25
337,neutral,neutral,neutral,neutral,contradiction,0.0
338,entailment,entailment,entailment,entailment,neutral,0.0
339,neutral,entailment,entailment,entailment,neutral,0.25
340,entailment,entailment,entailment,entailment,entailment,1.0
341,neutral,neutral,neutral,neutral,neutral,1.0
342,neutral,neutral,neutral,neutral,contradiction,0.0
343,entailment,entailment,entailment,entailment,entailment,1.0
345,neutral,neutral,neutral,neutral,neutral,1.0
346,neutral,neutral,neutral,neutral,neutral,1.0
347,neutral,neutral,neutral,contradiction,contradiction,0.25
348,neutral,entailment,neutral,neutral,contradiction,0.0
349,entailment,entailment,neutral,entailment,entailment,0.75
351,entailment,entailment,entailment,entailment,entailment,1.0
352,neutral,neutral,neutral,neutral,contradiction,0.0
353,contradiction,neutral,neutral,contradiction,entailment,0.0
355,neutral,neutral,neutral,neutral,neutral,1.0
356,entailment,entailment,entailment,entailment,entailment,1.0
357,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
358,contradiction,neutral,neutral,neutral,contradiction,0.25
360,entailment,neutral,entailment,neutral,entailment,0.5
361,entailment,entailment,entailment,entailment,entailment,1.0
362,contradiction,contradiction,contradiction,neutral,contradiction,0.75
365,entailment,entailment,entailment,entailment,entailment,1.0
366,entailment,entailment,entailment,neutral,entailment,0.75
367,neutral,neutral,entailment,contradiction,neutral,0.5
368,entailment,entailment,entailment,entailment,entailment,1.0
369,entailment,entailment,entailment,entailment,neutral,0.0
370,neutral,neutral,neutral,neutral,neutral,1.0
371,entailment,entailment,entailment,entailment,entailment,1.0
372,entailment,entailment,entailment,entailment,entailment,1.0
373,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
374,entailment,entailment,entailment,entailment,entailment,1.0
375,neutral,neutral,neutral,neutral,contradiction,0.0
376,entailment,entailment,entailment,entailment,entailment,1.0
377,entailment,neutral,entailment,neutral,neutral,0.5
378,entailment,entailment,entailment,neutral,entailment,0.75
379,entailment,entailment,entailment,neutral,entailment,0.75
381,entailment,entailment,entailment,entailment,entailment,1.0
382,entailment,entailment,entailment,entailment,entailment,1.0
383,neutral,neutral,neutral,neutral,neutral,1.0
384,entailment,entailment,entailment,entailment,entailment,1.0
385,entailment,entailment,entailment,entailment,entailment,1.0
386,neutral,neutral,neutral,neutral,neutral,1.0
387,neutral,contradiction,neutral,contradiction,contradiction,0.5
388,entailment,entailment,entailment,entailment,entailment,1.0
389,entailment,entailment,entailment,entailment,entailment,1.0
390,neutral,neutral,neutral,neutral,neutral,1.0
393,neutral,neutral,neutral,neutral,neutral,1.0
394,entailment,neutral,entailment,entailment,neutral,0.25
395,entailment,entailment,entailment,entailment,entailment,1.0
397,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
399,entailment,entailment,entailment,entailment,neutral,0.0
400,entailment,entailment,entailment,entailment,neutral,0.0
401,entailment,entailment,entailment,entailment,entailment,1.0
402,entailment,entailment,entailment,entailment,entailment,1.0
403,neutral,neutral,neutral,entailment,entailment,0.25
404,neutral,neutral,neutral,neutral,neutral,1.0
405,entailment,entailment,entailment,entailment,entailment,1.0
407,contradiction,contradiction,neutral,contradiction,contradiction,0.75
409,contradiction,contradiction,neutral,contradiction,contradiction,0.75
410,entailment,entailment,entailment,entailment,entailment,1.0
411,entailment,entailment,entailment,entailment,entailment,1.0
412,entailment,entailment,entailment,entailment,entailment,1.0
413,entailment,entailment,entailment,entailment,entailment,1.0
414,neutral,neutral,neutral,neutral,contradiction,0.0
415,entailment,entailment,entailment,neutral,entailment,0.75
416,neutral,neutral,neutral,neutral,contradiction,0.0
417,neutral,entailment,entailment,entailment,entailment,0.75
420,entailment,entailment,entailment,entailment,neutral,0.0
421,neutral,neutral,neutral,contradiction,neutral,0.75
422,neutral,neutral,neutral,neutral,neutral,1.0
424,neutral,neutral,neutral,neutral,contradiction,0.0
425,neutral,neutral,neutral,neutral,contradiction,0.0
429,neutral,neutral,entailment,entailment,neutral,0.5
430,neutral,neutral,neutral,neutral,contradiction,0.0
431,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
432,neutral,neutral,neutral,neutral,neutral,1.0
433,neutral,neutral,neutral,neutral,contradiction,0.0
434,neutral,neutral,neutral,neutral,contradiction,0.0
435,neutral,entailment,contradiction,neutral,contradiction,0.25
437,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
442,neutral,neutral,neutral,neutral,neutral,1.0
443,entailment,entailment,entailment,entailment,entailment,1.0
444,neutral,neutral,neutral,neutral,neutral,1.0
445,entailment,entailment,entailment,entailment,entailment,1.0
446,entailment,entailment,neutral,neutral,entailment,0.5
447,entailment,entailment,entailment,entailment,entailment,1.0
448,neutral,neutral,neutral,neutral,neutral,1.0
449,neutral,neutral,neutral,neutral,neutral,1.0
450,neutral,neutral,neutral,contradiction,contradiction,0.25
452,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
453,neutral,neutral,neutral,neutral,neutral,1.0
454,neutral,neutral,neutral,neutral,neutral,1.0
456,neutral,neutral,neutral,neutral,contradiction,0.0
457,neutral,contradiction,neutral,neutral,contradiction,0.25
458,contradiction,neutral,contradiction,contradiction,contradiction,0.75
459,neutral,neutral,neutral,neutral,neutral,1.0
460,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
461,entailment,entailment,entailment,neutral,neutral,0.25
462,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
463,entailment,entailment,entailment,entailment,neutral,0.0
467,neutral,entailment,entailment,entailment,neutral,0.25
468,neutral,entailment,neutral,neutral,neutral,0.75
470,contradiction,contradiction,neutral,neutral,contradiction,0.5
472,entailment,entailment,entailment,entailment,entailment,1.0
473,neutral,neutral,neutral,neutral,neutral,1.0
474,entailment,entailment,entailment,entailment,entailment,1.0
475,entailment,entailment,entailment,entailment,entailment,1.0
476,neutral,entailment,entailment,neutral,neutral,0.5
479,neutral,neutral,neutral,neutral,neutral,1.0
481,entailment,entailment,entailment,entailment,entailment,1.0
483,entailment,entailment,entailment,entailment,entailment,1.0
484,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
485,entailment,entailment,entailment,neutral,neutral,0.25
486,neutral,neutral,neutral,neutral,contradiction,0.0
487,neutral,neutral,neutral,neutral,contradiction,0.0
489,neutral,neutral,neutral,neutral,neutral,1.0
490,neutral,contradiction,neutral,neutral,contradiction,0.25
491,entailment,entailment,entailment,entailment,entailment,1.0
492,entailment,entailment,entailment,entailment,entailment,1.0
493,neutral,contradiction,neutral,neutral,contradiction,0.25
495,neutral,neutral,neutral,neutral,neutral,1.0
496,neutral,neutral,neutral,neutral,contradiction,0.0
497,neutral,neutral,neutral,neutral,neutral,1.0
499,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
500,neutral,neutral,neutral,neutral,contradiction,0.0
501,entailment,entailment,neutral,entailment,neutral,0.25
502,neutral,neutral,neutral,neutral,neutral,1.0
503,entailment,entailment,entailment,entailment,entailment,1.0
504,neutral,neutral,neutral,neutral,neutral,1.0
505,neutral,entailment,neutral,neutral,contradiction,0.0
506,entailment,entailment,entailment,entailment,entailment,1.0
507,contradiction,contradiction,neutral,neutral,contradiction,0.5
508,neutral,neutral,neutral,neutral,contradiction,0.0
509,entailment,neutral,entailment,neutral,neutral,0.5
510,neutral,neutral,neutral,neutral,neutral,1.0
511,entailment,entailment,entailment,entailment,entailment,1.0
512,entailment,entailment,entailment,entailment,entailment,1.0
513,neutral,neutral,neutral,neutral,neutral,1.0
514,neutral,neutral,neutral,neutral,neutral,1.0
516,entailment,entailment,entailment,entailment,entailment,1.0
517,neutral,neutral,neutral,neutral,contradiction,0.0
519,neutral,neutral,neutral,neutral,contradiction,0.0
524,entailment,entailment,entailment,entailment,entailment,1.0
526,neutral,neutral,contradiction,neutral,contradiction,0.25
529,neutral,entailment,entailment,entailment,neutral,0.25
530,neutral,neutral,neutral,neutral,neutral,1.0
531,entailment,entailment,entailment,entailment,entailment,1.0
532,entailment,entailment,entailment,entailment,entailment,1.0
535,neutral,neutral,neutral,neutral,contradiction,0.0
538,entailment,entailment,neutral,entailment,entailment,0.75
539,neutral,neutral,neutral,neutral,neutral,1.0
540,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
541,neutral,neutral,entailment,neutral,neutral,0.75
542,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
543,neutral,neutral,neutral,neutral,contradiction,0.0
544,neutral,entailment,entailment,neutral,neutral,0.5
545,neutral,neutral,neutral,contradiction,contradiction,0.25
546,neutral,neutral,neutral,neutral,neutral,1.0
547,entailment,entailment,entailment,entailment,entailment,1.0
548,neutral,neutral,neutral,neutral,neutral,1.0
549,neutral,neutral,neutral,neutral,entailment,0.0
550,entailment,entailment,entailment,entailment,entailment,1.0
551,entailment,entailment,entailment,entailment,entailment,1.0
553,entailment,entailment,entailment,entailment,entailment,1.0
555,neutral,neutral,entailment,neutral,neutral,0.75
556,entailment,entailment,neutral,entailment,neutral,0.25
557,neutral,neutral,neutral,neutral,contradiction,0.0
558,neutral,entailment,entailment,entailment,neutral,0.25
559,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
560,neutral,neutral,neutral,neutral,contradiction,0.0
561,entailment,entailment,entailment,entailment,entailment,1.0
562,neutral,neutral,neutral,neutral,neutral,1.0
563,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
564,contradiction,contradiction,neutral,neutral,contradiction,0.5
565,neutral,entailment,entailment,neutral,neutral,0.5
567,entailment,entailment,entailment,entailment,entailment,1.0
568,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
569,neutral,entailment,neutral,neutral,neutral,0.75
570,neutral,neutral,entailment,neutral,contradiction,0.0
573,neutral,neutral,neutral,neutral,neutral,1.0
574,neutral,entailment,neutral,neutral,neutral,0.75
575,entailment,entailment,entailment,entailment,entailment,1.0
577,neutral,entailment,neutral,neutral,neutral,0.75
578,entailment,entailment,entailment,entailment,neutral,0.0
579,neutral,neutral,neutral,neutral,contradiction,0.0
580,neutral,neutral,neutral,neutral,contradiction,0.0
581,entailment,entailment,entailment,entailment,entailment,1.0
583,entailment,entailment,entailment,entailment,entailment,1.0
584,neutral,neutral,entailment,neutral,neutral,0.75
586,entailment,entailment,entailment,entailment,entailment,1.0
587,neutral,neutral,neutral,neutral,contradiction,0.0
588,entailment,entailment,entailment,neutral,neutral,0.25
589,neutral,neutral,neutral,neutral,contradiction,0.0
590,neutral,neutral,neutral,neutral,neutral,1.0
591,neutral,neutral,entailment,neutral,contradiction,0.0
592,entailment,entailment,entailment,entailment,entailment,1.0
593,neutral,neutral,neutral,neutral,neutral,1.0
594,neutral,entailment,neutral,entailment,neutral,0.5
596,entailment,entailment,entailment,entailment,entailment,1.0
597,entailment,entailment,neutral,entailment,neutral,0.25
598,neutral,neutral,contradiction,neutral,contradiction,0.25
599,neutral,neutral,neutral,entailment,neutral,0.75
600,entailment,entailment,entailment,entailment,entailment,1.0
602,entailment,entailment,entailment,entailment,entailment,1.0
603,entailment,entailment,entailment,entailment,entailment,1.0
604,neutral,contradiction,contradiction,contradiction,neutral,0.25
605,neutral,entailment,neutral,entailment,neutral,0.5
606,entailment,entailment,entailment,entailment,neutral,0.0
607,entailment,entailment,neutral,neutral,entailment,0.5
609,neutral,entailment,neutral,neutral,neutral,0.75
610,entailment,entailment,entailment,entailment,entailment,1.0
611,entailment,entailment,entailment,entailment,entailment,1.0
612,neutral,neutral,neutral,neutral,neutral,1.0
613,entailment,entailment,entailment,entailment,entailment,1.0
614,neutral,neutral,neutral,neutral,neutral,1.0
615,neutral,neutral,neutral,neutral,neutral,1.0
616,neutral,neutral,neutral,neutral,contradiction,0.0
617,neutral,neutral,neutral,neutral,neutral,1.0
618,neutral,neutral,neutral,entailment,contradiction,0.0
619,contradiction,neutral,contradiction,neutral,contradiction,0.5
620,entailment,entailment,entailment,entailment,neutral,0.0
622,entailment,entailment,entailment,entailment,entailment,1.0
623,entailment,entailment,entailment,entailment,neutral,0.0
624,neutral,neutral,entailment,neutral,neutral,0.75
625,entailment,entailment,neutral,neutral,entailment,0.5
626,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
627,neutral,contradiction,neutral,neutral,contradiction,0.25
628,neutral,neutral,neutral,neutral,neutral,1.0
629,neutral,neutral,neutral,neutral,contradiction,0.0
631,neutral,neutral,neutral,neutral,contradiction,0.0
632,entailment,entailment,entailment,entailment,entailment,1.0
633,entailment,entailment,entailment,entailment,neutral,0.0
634,entailment,entailment,entailment,entailment,entailment,1.0
635,entailment,entailment,entailment,entailment,entailment,1.0
636,neutral,neutral,neutral,neutral,neutral,1.0
637,neutral,neutral,neutral,neutral,contradiction,0.0
639,entailment,entailment,entailment,entailment,neutral,0.0
640,neutral,entailment,neutral,neutral,neutral,0.75
641,entailment,entailment,entailment,entailment,entailment,1.0
642,entailment,entailment,entailment,entailment,entailment,1.0
643,entailment,neutral,neutral,entailment,neutral,0.5
644,entailment,entailment,entailment,entailment,entailment,1.0
646,entailment,entailment,entailment,entailment,entailment,1.0
647,neutral,neutral,neutral,neutral,contradiction,0.0
648,neutral,neutral,contradiction,contradiction,contradiction,0.5
649,neutral,neutral,neutral,neutral,contradiction,0.0
650,neutral,neutral,neutral,neutral,neutral,1.0
652,entailment,entailment,entailment,entailment,neutral,0.0
654,neutral,neutral,neutral,neutral,neutral,1.0
655,entailment,entailment,entailment,entailment,entailment,1.0
656,neutral,neutral,neutral,neutral,contradiction,0.0
657,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
659,neutral,neutral,entailment,neutral,contradiction,0.0
660,neutral,neutral,neutral,neutral,contradiction,0.0
661,neutral,neutral,neutral,neutral,contradiction,0.0
662,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
664,neutral,neutral,neutral,neutral,neutral,1.0
665,neutral,neutral,neutral,neutral,contradiction,0.0
