id,premise_raw,premise_original_necessity,premise_original_sufficiency,premise_original_ghost,coverage_original,premise_lexical_necessity,premise_lexical_sufficiency,premise_lexical_ghost,coverage_lexical,premise_syntactic_necessity,premise_syntactic_sufficiency,premise_syntactic_ghost,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_sufficiency,premise_pragmatic_ghost,coverage_pragmatic,premise_original_noise,premise_lexical_noise,premise_syntactic_noise,premise_pragmatic_noise
15,Pink shirted woman sleeping in a car with blue and white blanket on her.,Pink shirted woman _____ _____ _____ _____ with blue and white blanket on her.,_____ _____ _____ sleeping in a car _____ _____ _____ _____ _____ _____ _____,Pink shirted woman sleeping in a car with _____ _____ white blanket _____ _____,0.2857,Pink shirted _____ _____ _____ _____ _____ with blue and white _____ on her.,_____ _____ woman sleeping in a car _____ _____ _____ _____ blanket _____ _____,_____ _____ woman sleeping in a car with _____ and _____ blanket _____ _____,0.4286,Pink shirted _____ _____ _____ _____ _____ with blue and white _____ on her.,_____ _____ woman sleeping in a car _____ _____ _____ _____ blanket _____ _____,_____ _____ woman sleeping in a car with _____ and _____ blanket _____ _____,0.4286,Pink shirted _____ _____ _____ _____ _____ with _____ _____ _____ _____ _____ _____,_____ _____ woman sleeping in a car _____ blue and white blanket on her.,_____ _____ woman sleeping in a car _____ blue and white blanket on her.,0.7857,_____ _____ _____ _____ _____ _____ _____ _____ blue _____ white blanket _____ her.,_____ _____ woman sleeping in _____ _____ with _____ _____ white blanket _____ _____,Pink _____ _____ _____ _____ a _____ _____ blue and _____ blanket _____ her.,Pink shirted woman _____ in _____ car with blue and _____ blanket on her.
16,A pair of black women on the street where one of them is walking past.,_____ _____ _____ _____ _____ on the street where _____ _____ _____ _____ _____ _____,A pair of black women _____ _____ _____ _____ one of them is walking past.,A pair of black women _____ _____ _____ _____ one of them is walking past.,0.7333,A pair of black women _____ _____ _____ where _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ on the street _____ one of them is walking past.,_____ _____ _____ _____ _____ on the street _____ one of them is walking past.,0.6000,_____ _____ _____ _____ _____ on the street where _____ _____ _____ _____ _____ _____,A pair of black women _____ _____ _____ _____ one of them is walking past.,A pair of black women _____ _____ _____ _____ one of them is walking past.,0.7333,_____ _____ _____ _____ _____ on the street where _____ _____ _____ _____ _____ _____,A pair of black women _____ _____ _____ _____ one of them is walking past.,A pair of black women _____ _____ _____ _____ one of them is walking past.,0.7333,A pair _____ black women _____ the _____ _____ one of them is walking past.,_____ pair of _____ _____ on the _____ where one of them _____ _____ past.,_____ _____ of black women on the street where _____ of them is _____ past.,A pair _____ _____ women on the street where one _____ them is _____ past.
17,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat by the pool.,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the pool.,We see the backs of a young Asian girl with _____ green shirt and a red hat holding hands with a young Asian _____ with a striped pink shirt _____ a pink hat by the pool.,0.0833,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the pool.,We see the backs of a young Asian girl with a green shirt _____ a red hat holding hands with a young _____ _____ with a striped pink shirt and a pink hat by the pool.,0.0833,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the pool.,We see the backs _____ a young Asian girl with _____ green shirt and a red hat _____ hands with a young Asian girl with a striped pink shirt and a pink hat by the pool.,0.0833,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the pool.,We see the backs of a young Asian girl with _____ green shirt and a _____ hat holding hands with a young Asian girl with a striped pink shirt _____ a pink hat by the pool.,0.0833,_____ _____ _____ _____ _____ _____ _____ _____ girl _____ _____ _____ _____ _____ _____ _____ hat _____ _____ _____ _____ _____ Asian _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ of _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ red _____ _____ _____ _____ _____ _____ _____ girl _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ a _____ _____ _____ _____ _____ _____ _____ hands _____ _____ _____ _____ _____ _____ _____ _____ _____ shirt _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ with _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the _____
18,two man in the army with a small boy from the area.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,two man in the army with a small boy from the area.,two man in the army with a small boy from the area.,1.0000,_____ _____ _____ _____ _____ with _____ _____ _____ _____ _____ _____,two man in the army _____ a small boy from the area.,two man in the army _____ a small boy from the area.,0.9167,_____ _____ _____ _____ _____ with _____ _____ _____ _____ _____ _____,two man in the army _____ a small boy from the area.,two man in the army _____ a small boy from the area.,0.9167,_____ _____ _____ _____ _____ with _____ _____ _____ _____ _____ _____,two man in the army _____ a small boy from the area.,two man in the army _____ a small boy from the area.,0.9167,two man in the army with a small boy from the area.,two man in the army with _____ small boy from the area.,two man in the army with a small boy from _____ area.,two man in _____ army with a small boy from the area.
19,A street vendor sitting on a sidewalk with eggs and live chickens.,_____ _____ _____ _____ on a sidewalk with eggs and live chickens.,A street vendor sitting _____ _____ _____ _____ _____ _____ _____ _____,A street vendor sitting on a _____ with _____ _____ _____ chickens.,0.3333,A _____ _____ _____ on a sidewalk with eggs and live chickens.,_____ street vendor sitting _____ _____ _____ _____ _____ _____ _____ _____,A street vendor sitting on a _____ with _____ _____ live chickens.,0.2500,_____ _____ _____ _____ on a sidewalk with eggs and live chickens.,A street vendor sitting _____ _____ _____ _____ _____ _____ _____ _____,A street vendor sitting _____ _____ _____ with eggs and live _____,0.3333,A street vendor _____ on a sidewalk with eggs and live chickens.,_____ _____ _____ sitting _____ _____ _____ _____ _____ _____ _____ _____,A street vendor sitting on a sidewalk _____ eggs and live chickens.,0.0833,A _____ _____ _____ _____ _____ sidewalk _____ eggs _____ _____ chickens.,_____ street vendor _____ _____ _____ _____ _____ _____ _____ _____ chickens.,A _____ _____ _____ _____ a _____ _____ eggs _____ _____ chickens.,_____ _____ vendor _____ _____ _____ _____ _____ _____ _____ _____ _____
20,A man painted in gold with cycle stands in the street.,A _____ _____ _____ _____ with cycle _____ _____ _____ _____,_____ man painted in gold _____ _____ stands in the street.,_____ man painted in gold _____ _____ stands in the street.,0.7273,A _____ _____ _____ _____ with cycle _____ _____ _____ _____,_____ man painted in gold _____ _____ stands in the street.,_____ man painted in gold _____ _____ stands in the street.,0.7273,_____ _____ _____ _____ _____ with cycle _____ _____ _____ _____,A man painted in gold _____ _____ stands in the street.,A man painted in gold _____ _____ stands in the street.,0.8182,_____ _____ _____ _____ _____ with cycle _____ _____ _____ _____,A man painted in gold _____ _____ stands in the street.,A man painted in gold _____ _____ stands in the street.,0.8182,A man painted _____ gold _____ cycle _____ in the street.,_____ man _____ in gold with cycle _____ in the street.,A man painted in gold _____ cycle _____ in the street.,A man painted in gold with cycle stands _____ _____ street.
21,"With a beautiful blue sky and green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear waters carry something white.",With a _____ _____ _____ and _____ _____ _____ _____ _____ _____ _____ in blue shorts and a blue shirt _____ _____ _____ _____ _____ _____ carry something white.,"_____ _____ beautiful blue sky _____ green mountains in the background, a man _____ _____ _____ _____ _____ _____ _____ wades through the shallow, clear waters _____ _____ _____","_____ _____ beautiful blue sky _____ green mountains in the background, a man _____ _____ _____ _____ _____ _____ _____ wades through the shallow, clear waters _____ _____ _____",0.5517,"With a _____ _____ _____ and _____ _____ _____ _____ _____ _____ _____ in _____ _____ and a _____ _____ _____ _____ the shallow, clear _____ carry something white.","_____ _____ beautiful blue sky _____ green mountains in the background, a man _____ blue shorts _____ _____ blue shirt wades through _____ _____ _____ waters _____ _____ _____","_____ _____ beautiful blue sky _____ green mountains in the background, a man _____ blue shorts _____ _____ blue shirt wades through _____ _____ _____ waters _____ _____ _____",0.5862,With a beautiful blue sky and _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ carry something white.,"_____ _____ _____ _____ _____ _____ green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear waters _____ _____ _____","_____ _____ _____ _____ _____ _____ green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear waters _____ _____ _____",0.6897,With a _____ _____ _____ and _____ _____ _____ _____ _____ _____ _____ in blue shorts and a blue shirt _____ _____ _____ _____ _____ _____ carry something white.,"_____ _____ beautiful blue sky _____ green mountains in the background, a man _____ _____ _____ _____ _____ _____ _____ wades through the shallow, clear waters _____ _____ _____","_____ _____ beautiful blue sky _____ green mountains in the background, a man _____ _____ _____ _____ _____ _____ _____ wades through the shallow, clear waters _____ _____ _____",0.5517,"With _____ beautiful _____ _____ and green mountains in the background, a man _____ blue _____ _____ a blue _____ _____ through _____ _____ clear _____ carry _____ _____","With a _____ blue _____ and _____ _____ in _____ background, a man in _____ _____ and a blue _____ wades through the _____ _____ _____ carry something _____","With a _____ blue _____ and green _____ in the background, _____ man in blue shorts and _____ blue shirt _____ through _____ _____ _____ waters carry something white.","_____ _____ _____ blue sky _____ green _____ _____ the background, _____ man in _____ shorts and _____ _____ shirt _____ through the shallow, clear _____ _____ something white."
22,A large crowd of people are walking.,A _____ _____ _____ _____ are _____,_____ large crowd of people _____ walking.,_____ large crowd of people _____ walking.,0.7143,_____ _____ _____ _____ _____ _____ _____,A large crowd of people are walking.,A large crowd of people are walking.,1.0000,_____ _____ _____ _____ _____ _____ _____,A large crowd of people are walking.,A large crowd of people are walking.,1.0000,A _____ _____ _____ _____ are _____,_____ large crowd of people _____ walking.,_____ large crowd of people _____ walking.,0.7143,_____ large crowd of people are _____,A large crowd of people are walking.,A large crowd of people are walking.,A _____ crowd _____ people are walking.
23,Two elderly people sit in handicapped chairs on a train.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Two elderly people sit in handicapped chairs on a train.,Two elderly people sit in handicapped chairs on a train.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Two elderly people sit in handicapped chairs on a train.,Two elderly people sit in handicapped chairs on a train.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Two elderly people sit in handicapped chairs on a train.,Two elderly people sit in handicapped chairs on a train.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Two elderly people sit in handicapped chairs on a train.,Two elderly people sit in handicapped chairs on a train.,1.0000,Two elderly people sit in handicapped chairs on a train.,Two elderly people sit in handicapped chairs on a train.,Two elderly people sit in handicapped chairs on a train.,Two elderly people sit in handicapped chairs on a train.
24,A woman cuts a cake while the woman next to her holds out a plate.,A woman _____ _____ _____ while the woman next to her _____ _____ _____ _____,_____ _____ cuts a cake _____ _____ _____ _____ _____ _____ holds out a plate.,_____ _____ cuts a cake _____ the _____ _____ _____ _____ holds out a plate.,0.4667,A woman _____ _____ _____ while the woman next to her _____ _____ _____ _____,_____ _____ cuts a cake _____ _____ _____ _____ _____ _____ holds out a plate.,_____ _____ cuts a cake _____ _____ woman _____ _____ _____ holds out a plate.,0.4667,A woman _____ _____ _____ while the woman next to her _____ _____ _____ _____,_____ _____ cuts a cake _____ _____ _____ _____ _____ _____ holds out a plate.,_____ _____ cuts a cake while _____ _____ _____ _____ _____ holds out a plate.,0.4667,A woman _____ _____ _____ while the woman next to her _____ _____ _____ _____,_____ _____ cuts a cake _____ _____ _____ _____ _____ _____ holds out a plate.,_____ woman cuts a cake _____ _____ _____ _____ _____ _____ holds out a plate.,0.4667,_____ _____ _____ _____ _____ while the woman _____ to her _____ out a _____,_____ _____ cuts a _____ _____ _____ woman next _____ her _____ _____ a plate.,_____ woman _____ _____ cake while _____ _____ next to her _____ _____ _____ plate.,_____ woman _____ a cake _____ _____ _____ _____ _____ her holds out a _____
25,A person with a bag walking in a big city.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A person with a bag walking in a big city.,A person with a bag walking in a big city.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A person with a bag walking in a big city.,A person with a bag walking in a big city.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A person with a bag walking in a big city.,A person with a bag walking in a big city.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A person with a bag walking in a big city.,A person with a bag walking in a big city.,1.0000,A person with a bag walking in a big city.,A person with a bag walking in a big city.,A person with a bag walking in a big city.,A person with a bag walking in a big city.
26,14 men standing on a stairway outside almost all wearing the same shirt.,14 _____ _____ _____ _____ _____ outside almost all _____ _____ _____ _____,_____ men standing on a stairway _____ _____ _____ wearing the same shirt.,_____ men standing on a stairway _____ _____ _____ wearing the same shirt.,0.6923,14 _____ _____ _____ _____ _____ outside almost all _____ _____ _____ _____,_____ men standing on a stairway _____ _____ _____ wearing the same shirt.,_____ men standing on a stairway _____ _____ _____ wearing the same shirt.,0.6923,14 _____ _____ _____ _____ _____ outside almost all _____ _____ _____ _____,_____ men standing on a stairway _____ _____ _____ wearing the same shirt.,_____ men standing on a stairway _____ _____ _____ wearing the same shirt.,0.6923,14 _____ _____ _____ _____ _____ outside _____ _____ _____ _____ _____ _____,_____ men standing on a stairway _____ almost all wearing the same shirt.,_____ men standing on a stairway _____ almost all wearing the same shirt.,0.8462,14 _____ standing on a _____ _____ almost all wearing _____ same shirt.,_____ men _____ on _____ _____ outside almost all wearing the same shirt.,14 men standing on a stairway outside _____ _____ wearing the _____ _____,14 men standing on a _____ outside almost all wearing the _____ shirt.
27,Two children walking down a path in the woods.,Two _____ _____ down a path _____ _____ _____,_____ children walking _____ _____ _____ in the woods.,_____ children walking _____ _____ _____ in the woods.,0.5556,Two children walking down a path _____ _____ _____,_____ _____ _____ _____ _____ _____ in the woods.,Two _____ walking _____ a _____ in the woods.,0.3333,Two _____ walking down a path in the _____,_____ children _____ _____ _____ _____ _____ _____ woods.,_____ children walking down a _____ in the woods.,0.2222,Two children walking down a path _____ _____ _____,_____ _____ _____ _____ _____ _____ in the woods.,Two children walking _____ _____ _____ in the woods.,0.3333,_____ _____ _____ down a _____ in the woods.,_____ _____ walking down _____ _____ _____ the _____,_____ _____ _____ down a _____ _____ _____ _____,_____ _____ _____ _____ a path _____ the _____
