id,Premise,Hypothesis,perturbation_1_lexical,perturbation_2_syntactic,perturbation_3_pragmatic,gold_label,Explanation
35,Two dogs playing in a yard.,The dogs are inside the house.,The dogs are within the house.,Inside the house are the dogs.,The dogs appear to be inside the house.,contradiction,Dogs are either playing in a yard or are inside the house.
36,"A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.",There is a person playing an instrument.,There is an individual performing a musical instrument.,An instrument is being played by a person.,It appears that there is a person playing an instrument.,entailment,A balding man is a person.
37,A guy wearing protective pants is carving an owl on a perch out of wood using a chainsaw.,A man wearing yellow pants is carving an owl.,A man dressed in yellow pants is shaping an owl.,An owl is being carved by a man wearing yellow pants.,A man wearing yellow pants appears to be carving an owl.,neutral,Not all protective pants are yellow.
38,A man in orange is demonstrating the use of a peeler.,a chef teaching how to cook,a cook instructing on food preparation,instruction in cooking provided by a chef,it seems to be a chef teaching how to cook,neutral,Not all man is chef.
39,A guy in a blue polo shirt and shorts addresses an audience in an auditorium.,A rock band is playing on a stage.,A musical group of the rock genre is performing on an elevated platform.,"On a stage, there is a rock band playing.",It seems that a rock band is playing on a stage.,contradiction,one is about a guy addressing an audience while the other is about a band playing on a stage
40,A young man on an indoor stage stands before a microphone while holding a guitar.,a young man sits alone in his apartment,A young man is seated by himself in his dwelling.,"Alone in his apartment, a young man is seated.",It seems that a young man is seated alone in his apartment.,contradiction,The man would not be on an indoor stage while in his apartment.
41,A young girl stands barefoot on a driveway and uses a hula-hoop.,The hula-hoop is pink.,The hula-hoop is rose-colored.,The color of the hula-hoop is pink.,The hula-hoop seems pink.,neutral,Not all hula-hoops are pink.
42,Shirtless men in their underwear are running with a blond in red underwear.,Men wearing very little clothing are jogging around the yard with a blond person wearing very little clothing.,Males in scant clothing are running about the grounds with a fair-haired individual in scant clothing.,"Men and a blond person, both wearing very little clothing, are jogging around the yard.",It appears that men wearing very little clothing are jogging around the yard with a blond person wearing very little clothing.,neutral,"Although they are running with a blond, it does not imply they are in the yard."
43,A boy is kicking a ball across the street.,it  was  kicked  acrossed the  street,It was booted across the street.,"Across the street, it was kicked.",It seems to have been kicked across the street.,neutral,it could mean any object besides a ball.
44,A native person doing a dance.,a person dancing,an individual dancing,a dancing person,it appears to be a person dancing,entailment,doing a dance implies dancing
45,A person in a red hat is walking past a building that is in need of a paint job.,Someone is taking a walk outside.,A person is walking outdoors.,"Outdoors, someone is walking.",It appears that someone is taking a walk outside.,entailment,"A person in a red hat is someone, and buildings are outside."
46,A man is laughing with his hand up in the air and a little boy is watching him and laughing.,The boy is wearing socks.,The boy has on socks.,Socks are being worn by the boy.,It seems that the boy is wearing socks.,neutral,Cannot assume that the little boy is wearing socks.
47,Some people are gathered on a sidewalk next to some colorful umbrellas and bags.,The umbrellas are black.,The umbrellas exhibit a black coloration.,The color of the umbrellas is black.,The umbrellas appear to be black.,contradiction,Colorful umbrellas are different then black umbrellas
48,A mountain biker is jumping his bike over a rock as another cyclist stands on the trail watching.,Skateboarder shreds the street course.,A skateboarder masters the street course.,The street course is being shredded by a skateboarder.,It seems that a skateboarder shreds the street course.,contradiction,A trail is not a street.
49,"Three male students, one in red peering through a microscope.",Three boys are looking into a science instrument.,Three youths are observing a scientific device.,A science instrument is being looked into by three boys.,Three boys appear to be looking into a science instrument.,entailment,"The three boys are working on a science project, while one in red is looking through the science instrument."
50,Young skateboarding boy flips his board while performing a stunt.,A skateboarding boy does stunts.,A skateboarding boy performs tricks.,Stunts are done by a skateboarding boy.,A skateboarding boy apparently does stunts.,entailment,A boy flips his board while skateboarding implies he does stunts.
51,five hikers walk down the hillside.,Five hikers walk down the hillside,Five trekkers descend the slope.,Walking down the hillside are five hikers.,It appears that five hikers walk down the hillside.,entailment,if five hikers are walking down a hillside then five hikers walk down a hillside.
52,Toe women sitting on the concrete ledge of a graffiti covered wall.,The toe women are inside sleeping.,The toe women are indoors slumbering.,"Inside, the toe women are sleeping.",It appears that the toe women are inside sleeping.,contradiction,"The women are either sitting on the concrete ledge or they are inside sleeping, it can't be both."
53,A man plays an acoustic guitar on a subway platform.,A man is playing music.,A man is performing music.,Music is being played by a man.,It appears that a man is playing music.,entailment,Playing an acoustic guitar is a type of music.
54,Man in black shirt holding a short-haired woman.,Man in shirt is holding a woman.,A male clothed in a top is grasping a female.,A woman is being held by a man in a shirt.,It seems that a man in a shirt is holding a woman.,entailment,"The second sentence doesn't describe how the man is holding the woman, or the provided details about her."
55,Woman in blue shirt blowing very large bubble,A woman blows a bubble.,A woman inflates a bubble.,A bubble is blown by a woman.,A woman appears to blow a bubble.,entailment,Woman in blue shirt is a type of woman.
56,A black and white dog looks at a man about to throw something.,The man is his owner.,The man is his master.,The man owns him.,The man appears to be his owner.,neutral,Only because a dog looks at a man doesn't necessarily mean the man is his owner.
57,a young child throwing stones into a shallow stream.,A child sits next to a stream.,A young person is seated beside a waterway.,"Beside a stream, a child is seated.",A child appears to be sitting next to a stream.,neutral,A child throwing stones into a stream may not be sitting next to it.
58,A young boy in a black jacket is running towards a woman with outstretched arms.,A boy is running towards an eagerly waiting woman,A boy is running towards an expectantly waiting woman.,A boy is running towards a woman who is waiting eagerly.,It seems that a boy is running towards an eagerly waiting woman.,entailment,A young boy running towards a woman with outstretched arms simply means a boy is running towards an eagerly waiting woman
59,A small dog and a large dog with a rope in its mouth.,One cat nibbles on a mouse given by his owner.,A single cat gently bites a mouse provided by its owner.,"A mouse, provided by its owner, is being nibbled on by one cat.",One cat seems to be nibbling on a mouse provided by its owner.,contradiction,Dog and cat are different.
60,An old woman is knitting with blue yarn.,A teenager knits a scarf.,A young person is crafting a neck accessory.,A scarf is knitted by a teenager.,It seems that a teenager knits a scarf.,contradiction,An old woman cannot be a teenager.
61,"Runners, some in costume, in a St Paddy's day Marathon run in the streets as people watch.",Runners butt naked running a marathon,Athletes completely unclothed participating in a marathon.,A marathon is being run by runners who are butt naked.,It seems that runners are butt naked running a marathon.,neutral,Runners without or with butt naked can run
62,A black and white dog is going through an obstacle course.,The animal is on a course.,The creature is on a circuit.,A course is the location of the animal.,The animal appears to be on a course.,entailment,Dog is animal.
63,Group of men in blue shirts drying off a red car at a car wash.,Group of men in blue shirts and black pants drying off a red car at a car wash.,A gathering of men in blue shirts and black pants wiping down a red car at a car wash.,A red car is being dried off at a car wash by a group of men in blue shirts and black pants.,It seems that a group of men in blue shirts and black pants is drying off a red car at a car wash.,neutral,We do not know they are in black pants.
64,Three guys sitting at the table together drinking beers and taking pictures.,Three guys are getting drunk,Three guys are becoming intoxicated.,Three guys are in the process of getting drunk.,Three guys seem to be getting drunk.,neutral,just because three guys are sitting at the table together drinking beers and taking pictures doesn't mean they are getting drunk
65,three people standing on the side of a snowy grassy hill,Three people are standing on a hill.,Three individuals are standing on a hill.,There are three people standing on a hill.,It appears that three people are standing on a hill.,entailment,People are standing on a hill that is snowy and grassy.
66,A woman realigns her sock in a messy park.,A women stopped running to fix her sock.,A woman halted her run to adjust her sock.,"To fix her sock, a woman stopped running.",A woman appears to have stopped running to fix her sock.,neutral,A woman realigning her sock in a park does not mean that she is running.
67,Children and adults in bright colored clothes are dancing.,The people are dancing at a party.,The individuals are dancing at a celebration.,The dancing of the people is taking place at a party.,It appears that the people are dancing at a party.,neutral,Dancing does not only happen at parties - it could be occurring in another setting
68,A dog playing in the grass.,An animal enjoying its time outdoors.,A creature relishing its moment outside.,The time outdoors is being enjoyed by an animal.,An animal seems to be enjoying its time outdoors.,entailment,A dog is an animal.
69,A man wearing a green shirt is trying to comfort his crying child by holding the child and giving him a kiss on the cheek.,There is a kid crying and being held by a man.,There is a child weeping and being embraced by a man.,A man is holding a crying child.,It appears there is a kid crying and being held by a man.,entailment,"A crying child is a rephrasing of a kid crying. When someone is holding a child, the child, or kid, is being held."
70,Three people on a boat are laughing and smiling.,Three people are making jokes about the sea.,Three individuals are cracking jokes about the ocean.,Jokes concerning the sea are being made by three people.,Three people appear to be making jokes about the sea.,neutral,"People laughing may not be telling jokes. Perhaps something amusing happened nearby. Even if they are telling jokes, just because they are on a boat the jokes might not have been about the sea."
71,Man is laying down on red lounge chair.,The man sleeping in his bed.,The man slumbering in his bed.,The man is sleeping in his bed.,The man appears to be sleeping in his bed.,contradiction,A lounge chair is not a bed.
72,A person sitting on a hill outside.,A person sits on a hill to have a picnic,A person rests on a knoll to enjoy a picnic.,"To have a picnic, a person sits on a hill.",A person is potentially sitting on a hill to have a picnic.,neutral,A person sitting on a hill outside is not necessarily a person who sits on a hill to have a picnic.
73,a woman trying on open toed shoes while shopping.,The woman is at home.,The woman is in her house.,Her dwelling is where the woman is situated.,It seems that the woman is at home.,contradiction,The woman can be either shopping or at home.
74,A woman organizing lettuce in a market.,A man picks through some lettuce,A male sorts through some lettuce.,Some lettuce is picked through by a man.,"Apparently, a man picks through some lettuce.",contradiction,A man picking through lettuce is different from a woman organizing lettuce
75,A hitter is swinging a bat at a baseball during a game while the catcher and umpire look on.,The pitcher has just thrown a strike.,The pitcher has recently delivered a strike.,A strike has just been thrown by the pitcher.,It appears the pitcher has just thrown a strike.,neutral,It cannot be assumed that the pitcher threw a strike.
76,Woman balances a pie on her head and looks up into camera,A woman is standing up.,A female is standing.,A woman is in a standing position.,A woman appears to be standing up.,entailment,There is a woman standing up with a pie on her head.
77,A boy and a girl playing on the beach.,The boy and girl are outside.,The boy and girl are outdoors.,The location of the boy and girl is outside.,It seems that the boy and girl are outside.,entailment,A beach is always found outside.
78,A little boy splashing in a blue inflatable pool.,The little boy was having fun splashing in the pool,The small boy was enjoying himself splashing in the pool.,"Splashing in the pool, the little boy was having fun.",The little boy seemed to be having fun splashing in the pool.,neutral,Splashing in a pool does not imply he is having fun.
79,The person wearing earrings is wearing a feathered hat.,The person is sleep without her earrings.,The individual is slumbering without her earrings.,"Without her earrings, the person is asleep.","Apparently, the person is asleep without her earrings.",contradiction,The person can either be wearing or not wearing earrings.
80,A young man walks through Grand Central Station with his shadow cast by the light cascading down from the windows behind.,A man is waiting for a bus at the terminal.,A man is awaiting a coach at the station.,"At the terminal, a man is waiting for a bus.",It seems that a man is waiting for a bus at the terminal.,contradiction,"Waiting implies being still, not walking.  There are no buses at Grand Central Station.  Terminal is different from station."
81,A man is swinging on a rope over water.,a man is swinging,a man is swaying,There is a man who is swinging.,A man seems to be swinging.,entailment,A man is swinging is the same as a man is swinging
82,A young woman rests her head on a man's shoulder.,The man and woman are dating.,The man and woman are romantically involved.,There is a romantic relationship between the man and woman.,It seems that the man and woman are dating.,neutral,Resting her head may not imply that they are dating.
83,A crane operates amidst piles of rubble.,Gardeners tend to a flower bed.,Horticulturalists care for a floral display.,A flower bed is tended to by gardeners.,It seems that gardeners are tending to a flower bed.,contradiction,A flower bed is not the same thing as piles of rubble.
84,A woman is grating cheese.,A woman is grating cheese.,A lady is shredding cheese.,Cheese is being grated by a woman.,It seems a woman is grating cheese.,entailment,both sentences refer to the same woman grating cheese
85,The boy in the red shirt is holding a rock.,The boy's red shoes are the only red thing he is wearing.,The boy's red footwear is the sole red item he is donning.,The only red item worn by the boy consists of his red shoes.,It appears that the boy's red shoes are the only red thing he is wearing.,contradiction,The boy cannot be wearing only one red thing if he is wearing a red shirt and red shoes.
86,A kicker launches the football forward while the holder checks his fingers.,kicker kicks ball,A kicker boots the ball.,The ball is kicked by a kicker.,It appears that a kicker kicks the ball.,entailment,A kicker launches the football forward definitely kicks the ball.
87,A man with tattoos and the Confederate flag is standing with his hands in his pants pockets.,a man with a confederate flag has no tattoos,a man with a confederate flag is without tattoos.,A man who possesses a confederate flag does not have tattoos.,A man with a confederate flag appears to have no tattoos.,contradiction,A person can't be said to have tattoos and no tattoos at the same time.
88,Two women are standing in the snow looking towards a tower with a orange cone shaped light.,The women are cooking dinner inside.,The females are preparing supper indoors.,Dinner is being cooked by the women inside.,The women appear to be cooking dinner inside.,contradiction,Snow happens outside while dinner happens inside.
89,Children playing on a playground.,The children are playing on the swings in the playground.,The kids are enjoying themselves on the swing set within the recreation area.,It is on the swings in the playground that the children are playing.,It appears that the children are playing on the swings in the playground.,neutral,Not all children playing on a playground are playing on the swings.
90,A man in a tuxedo plays a brass instrument in accompaniment with a female piano player.,The couple are playing a jazz tune.,The duo are performing a jazz piece.,A jazz tune is being played by the couple.,The couple seem to be playing a jazz tune.,neutral,A man with a brass instrument and a female piano player aren't restricted to being able to play a jazz tune only.
91,A woman wearing a red blouse and a short is standing looking far ahead,Her gaze goes off into the distance.,Her gaze extends far into the distance.,Her gaze is directed toward the distance.,Her gaze appears to go off into the distance.,entailment,When a woman is looking far ahead her gaze goes off into the distance.
92,Three people are being silly in the woods.,three people are in the woods,Three individuals are in the forest.,"In the woods, there are three people.",It appears that three people are in the woods.,entailment,If there are three people being silly they can be in the woods.
93,a young man wearing a blue striped shirt standing in front of a floral patterened couch,A person stands before a piece of furniture.,An individual is positioned in front of an item of furniture.,Standing before a piece of furniture is a person.,A person appears to stand before a piece of furniture.,entailment,That a person stands before a piece of furniture is a short version of a young man wearing a blue shirt is standing in front of a floral patterened couch
94,Two men and a woman walking together.,Two girls and three men are running together.,Two girls and three men are sprinting in concert.,It is two girls and three men who are running together.,"Apparently, two girls and three men are running together.",contradiction,Woman and men are different.
95,A man standing on a green post watching a train go by.,A man is watching a bus,A man is observing a bus.,A bus is being watched by a man.,A man appears to be watching a bus.,contradiction,A bus and a train are different modes of transportation.
96,A girl sitting on a trampoline tossing a water bottle in the air,The girl is playing on a trampoline,The girl is having fun on a trampoline.,"On a trampoline, the girl is playing.",The girl seems to be playing on a trampoline.,entailment,trampoline tossing a water refers to playing on a trampoline
97,A baseball player in mid-swing.,A baseball player in swing.,A baseball player taking a swing.,A swinging baseball player.,A baseball player is seemingly in swing.,entailment,The player swings.
98,Two men in safety harnesses work together.,Two men are co-workers.,Two men are colleagues.,The two men are employed together.,The two men appear to be co-workers.,entailment,Men are co-workers so they will be working together.
99,five little boys playing soccer.,The boys are playing basketball,The children are playing basketball.,Basketball is being played by the boys.,It seems the boys are playing basketball.,contradiction,Soccer and basketball are two different sports.
100,A woman and her daughter seated at a table in the library reading a book together.,Two females rest in a library.,Two women are relaxing within a library.,"In a library, two females are resting.",It seems that two females are resting in a library.,entailment,A woman and daughter constitute two females. Being seated at a table is resting.
101,The teenagers are fighting over a basketball during a game.,Some kids playing a sport.,A few young people engaging in an athletic activity.,There are children participating in a sport.,It appears that some kids are playing a sport.,entailment,"Teenagers are kids, and basketball is a sport."
102,A boy getting his hair buzzed off by another boy.,A boy getting a haircut because he has gum in his hair.,A boy having his hair cut because he has gum in his hair.,"On account of gum in his hair, a boy is getting a haircut.",It appears a boy is getting a haircut due to having gum in his hair.,neutral,You can get a haircut for other reasons then having gum in your hair
103,A man with stretched earlobes wearing a black hat stands in front of a display of food for sale.,A man is standing in front of a food display.,A male is positioned before a food exhibit.,"In front of a food display, a man is standing.",A man appears to be standing in front of a food display.,entailment,Standing is a rephrasing of stands.
104,Man in an orange shirt with tattoos walking two large poodles.,The man's shirt is orange.,The man's top is orange.,The man wears an orange shirt.,The man's shirt appears to be orange.,entailment,there is a man in orange shirt
105,Some kind of convention with booths set up and many people wearing tuxedos.,People at the movies,Individuals at the cinema,Moviegoers are present,It seems people are at the movies,contradiction,Conventions are different then a movies
106,two women are sitting on a park bench talking to each other.,the child is black,The youngster is dark-skinned.,The skin color of the child is black.,It seems the child is black.,neutral,The two women may not have a child.
107,A male on Rollerblades skating down a railing next to stairs.,A guy does a rollerblading trick.,A man performs an inline skating stunt.,A rollerblading trick is done by a guy.,It appears that a guy does a rollerblading trick.,entailment,a guy does rollerblading trick is a rephrasing of male on rollerblades skating
108,Young boy with a white shirt and jeans singing into a microphone with three other boys in the background.,A young boy is singing,A youthful boy is vocalizing.,There is a young boy who is singing.,A young boy seems to be singing.,entailment,He is singing.
109,"Three people, two males and a female, are sitting in front of a tall tree on the ground during a rest from a hike.",The three women hike.,The three females trek.,Three women are engaged in hiking.,The three women seem to hike.,contradiction,Two males and a female is not the same as three women.
110,A man wearing an Alaska sweatshirt and a baseball cap is buying lottery tickets.,After a game a man wearing an Alaska shirt and baseball cap is buying scratchers to win money,"Following a match, a guy sporting an Alaska shirt and a baseball hat is purchasing scratch-off tickets in order to acquire money.","After a game, scratchers are being bought by a man wearing an Alaska shirt and a baseball cap, with the aim of winning money.","It appears that after a game, a man wearing an Alaska shirt and baseball cap is in the process of buying scratchers, likely to win money.",neutral,A man doesn't necessarily have to buy the scratchers to win lottery.
111,A woman with long dark hair sitting with her legs crossed.,"The long-haired woman is relaxing, enjoying her rest","The long-haired woman is unwinding, relishing her repose.","Enjoying her rest, the long-haired woman is relaxing.","The long-haired woman appears to be relaxing, possibly enjoying her rest.",neutral,"It cannot be inferred from sentence 1 that the woman is relaxing, enjoying her rest."
112,"Kite surfers are surfing in a shipping harbor on a clear windy day, in the background is a snowcapped mountain.",There is only one person present.,There is just one individual present.,Only one person is present.,It seems there is only one person present.,contradiction,If only one person is present then surfers cannot be present also.
113,"American soldiers play in a marching band with drums labeled Fort Lewis, Washington.",Some men in uniform are playing in a marching band,A few uniformed males are performing within a marching ensemble.,Playing in a marching band are some uniformed men.,It seems that some men in uniform are playing in a marching band.,neutral,Not all American soldiers are men in uniform. They could be women.
114,One dog with an object in its mouth is met by another dog nearby a fence.,One dog lies napping next to another dog in a field.,A single dog is snoozing beside a second dog in a meadow.,"Napping in a field, one dog is positioned alongside another.","Apparently, one dog is napping alongside another dog in a field.",contradiction,A dog cannot be napping with an object in its mouth simultaneously.
115,Lots of people in different costumes at some kind of party.,There are lots of people who are wishing they were at a party.,Many people are hoping they were at a party.,Many people wish they were at a party.,It seems that there are lots of people who are wishing they were at a party.,contradiction,"If people are wishing they were at a party, they are not at some kind of party, but rather doing something else."
116,A naked woman with pink hair and tattoos is standing in a crowd in front of a cloth barrier.,A naked woman with blue hair and tattoos is sitting in a crowd behind a cloth barrier.,A nude female with blue hair and body art is seated in a multitude to the back of a cloth barrier.,Sitting in a crowd behind a cloth barrier is a naked woman with blue hair and tattoos.,It seems that a naked woman with blue hair and tattoos is sitting in a crowd behind a cloth barrier.,contradiction,Pink is not blue. Standing is not sitting. In front is not behind.
117,An older lady in a black shirt is adding ingredients to a KitchenAid mixing bowl as a crowd looks on.,A person is making a chocolate cake.,An individual is preparing a chocolate cake.,A chocolate cake is being made by a person.,A person seems to be making a chocolate cake.,neutral,Someone can use a mixing bowl for something other than making a chocolate cake.
118,Man playing a tune on his flute.,A man is playing a trumpet.,A male is performing on a trumpet.,A trumpet is being played by a man.,It seems that a man is playing a trumpet.,contradiction,Flute is not a trumpet.
119,Two women with stethoscopes and a man with a blue hairnet on working tedious over an unknown object or person.,The women are wearing crosses.,The females are wearing crosses.,Crosses are being worn by the women.,The women appear to be wearing crosses.,contradiction,"If someone is wearing a stethoscope, they are likely at work and not wearing jewelry, such as crosses."
120,Hispanic man holding a very large basket while standing in the street.,A man is playing an instrument.,A man is performing on an instrument.,An instrument is being played by a man.,A man seems to be playing an instrument.,contradiction,Holding something is different than playing something
