id,gold_label_value,mean_faithfulness,valid_variant_count,score_original,score_lexical,score_syntactic,score_contextual,raw_answer_original,raw_answer_lexical,raw_answer_syntactic,raw_answer_contextual
82,1085.0,0.75,4,1.0,1.0,0.0,1.0,3001,541,1085,1085.25
83,5.0,1.0,4,1.0,1.0,1.0,1.0,23,4,19,19
84,200.0,1.0,4,1.0,1.0,1.0,1.0,1801,201,1801,1801
85,16.0,1.0,4,1.0,1.0,1.0,1.0,18,18,18,18
86,5.0,1.0,4,1.0,1.0,1.0,1.0,31,31,31,31
87,12.0,1.0,4,1.0,1.0,1.0,1.0,25,25,25,25
88,40.0,1.0,4,1.0,1.0,1.0,1.0,6,6,46,46
89,600.0,1.0,4,1.0,1.0,1.0,1.0,605,605,121,121
91,11.0,1.0,4,1.0,1.0,1.0,1.0,15,12,12,12
94,180.0,1.0,4,1.0,1.0,1.0,1.0,37,37,189,37
95,16.0,1.0,4,1.0,1.0,1.0,1.0,32/3,3,3,3
96,22.0,1.0,4,1.0,1.0,1.0,1.0,13,13,23,23
97,700.0,1.0,4,1.0,1.0,1.0,1.0,201,201,699,699
98,6240.0,1.0,4,1.0,1.0,1.0,1.0,6760,13,6760,6760
99,404.0,1.0,4,1.0,1.0,1.0,1.0,401,401,401,401
101,2.0,1.0,4,1.0,1.0,1.0,1.0,73,2.1,73,72
102,2.0,1.0,4,1.0,1.0,1.0,1.0,25,25,24,25
104,2.0,1.0,4,1.0,1.0,1.0,1.0,11,11,11,11
105,12.0,1.0,4,1.0,1.0,1.0,1.0,13,13,9,9
106,8.0,1.0,4,1.0,1.0,1.0,1.0,91,91,91,91
108,3.0,1.0,4,1.0,1.0,1.0,1.0,13,13,4,13
109,12.0,0.0,4,0.0,0.0,0.0,0.0,12,12,12,12
110,4.0,0.5,4,0.0,0.0,1.0,1.0,4,4,9,9
113,21.0,0.75,4,0.0,1.0,1.0,1.0,21,22,36,36
114,70.0,1.0,4,1.0,1.0,1.0,1.0,33,33,69,33
117,50.0,1.0,4,1.0,1.0,1.0,1.0,451,451,451,451
118,2.0,1.0,4,1.0,1.0,1.0,1.0,7,1,-6,-6
119,50.0,1.0,4,1.0,1.0,1.0,1.0,150,150,49,151
120,53.0,1.0,4,1.0,1.0,1.0,1.0,36,54,54,54
121,1000.0,1.0,4,1.0,1.0,1.0,1.0,101,1002,101,1002
122,1685.0,1.0,4,1.0,1.0,1.0,1.0,424,424,424,424
124,11.0,1.0,4,1.0,1.0,1.0,1.0,10,10,10,10
126,60.0,1.0,4,1.0,1.0,1.0,1.0,91,91,91,31
127,69000.0,1.0,4,1.0,1.0,1.0,1.0,9001,90001,90001,9001
128,3.0,0.75,4,1.0,1.0,0.0,1.0,9,9,3,9
129,19.0,1.0,4,1.0,1.0,1.0,1.0,47,47,47,18
131,245.0,0.75,4,1.0,1.0,0.0,1.0,36,36,245,252
133,76.0,1.0,4,1.0,1.0,1.0,1.0,51,51,51,51
134,74.0,1.0,4,1.0,1.0,1.0,1.0,75,69,70,75
135,300.0,1.0,4,1.0,1.0,1.0,1.0,6001,6001,6001,1801/6
136,6.0,0.5,4,0.0,1.0,0.0,1.0,6,5,6,5
137,8.0,1.0,4,1.0,1.0,1.0,1.0,41,49/6,41,41
138,24.0,1.0,4,1.0,1.0,1.0,1.0,32,32,4,32
139,1350.0,1.0,4,1.0,1.0,1.0,1.0,451,451,1500,451
140,31250.0,1.0,4,1.0,1.0,1.0,1.0,250001,250001,250001,31250.125
141,15.0,1.0,4,1.0,1.0,1.0,1.0,16.5,11,11,11
142,8.0,1.0,4,1.0,1.0,1.0,1.0,81,7,1.2,81
144,60.0,0.75,4,1.0,1.0,1.0,0.0,526,526,526,60
147,3.0,1.0,4,1.0,1.0,1.0,1.0,1.33,1.33,1.33,1.33
148,240.0,1.0,4,1.0,1.0,1.0,1.0,360,3,360,3
149,120.0,1.0,4,1.0,1.0,1.0,1.0,241,241,241,241
151,20.0,0.0,4,0.0,0.0,0.0,0.0,20,20,20,20
152,14.0,1.0,4,1.0,1.0,1.0,1.0,6,6,6,6
153,132.0,1.0,4,1.0,1.0,1.0,1.0,9,9,9,9
154,355.0,1.0,4,1.0,1.0,1.0,1.0,41,361,41,361
155,84.0,1.0,4,1.0,1.0,1.0,1.0,10,7,10,7
156,12.0,0.6666666666666666,3,0.0,1.0,1.0,,12,9,9,"I cannot provide a final number yet, as the calculation for gallons has not been completed in the provided steps."
157,770.0,1.0,4,1.0,1.0,1.0,1.0,351,351,351,351
158,40.0,1.0,4,1.0,1.0,1.0,1.0,11,11,11,41
160,7.0,1.0,4,1.0,1.0,1.0,1.0,6,6,6,4
161,5.0,1.0,4,1.0,1.0,1.0,1.0,301,301,301,301
162,132000.0,1.0,4,1.0,1.0,1.0,1.0,132013,8001,132013,8001
163,900.0,1.0,4,1.0,1.0,1.0,1.0,401,401,401,901
164,15.0,0.25,4,0.0,0.0,0.0,1.0,15,15,15,0.25
165,40000.0,1.0,4,1.0,1.0,1.0,1.0,45001,40001,45001,45001
167,6.0,1.0,4,1.0,1.0,1.0,1.0,145,145,145,145
168,35.0,0.5,4,1.0,0.0,1.0,0.0,36,35,36,35
169,9.0,0.75,4,1.0,1.0,0.0,1.0,251,251,9,251
171,6.0,0.0,4,0.0,0.0,0.0,0.0,6,6,6,6
173,60.0,1.0,4,1.0,1.0,1.0,1.0,16,16,16,16
174,936.0,1.0,4,1.0,1.0,1.0,1.0,469,469,469,469
175,80.0,1.0,4,1.0,1.0,1.0,1.0,1201,1201,1201,1201
176,3.0,0.75,4,0.0,1.0,1.0,1.0,3,21,21,21
178,140.0,1.0,4,1.0,1.0,1.0,1.0,141,141,73,73
179,15.0,0.5,4,0.0,1.0,0.0,1.0,15,7/6,15,7/6
180,315.0,1.0,4,1.0,1.0,1.0,1.0,166,316,166,166
181,4.0,1.0,4,1.0,1.0,1.0,1.0,119/30,61/15,119/30,3
182,6.0,1.0,4,1.0,1.0,1.0,1.0,19,19,19,19
184,240.0,1.0,4,1.0,1.0,1.0,1.0,121,121,596.55,121
185,60.0,1.0,4,1.0,1.0,1.0,1.0,1201,1201,1201,1201
186,33.0,1.0,4,1.0,1.0,1.0,1.0,34.5,23,34.5,23
188,2.0,1.0,4,1.0,1.0,1.0,1.0,7,7,1,7
189,94.0,0.75,4,0.0,1.0,1.0,1.0,94,1.45,92,54
190,45.0,1.0,4,1.0,1.0,1.0,1.0,50,50,50,50
191,1316.0,1.0,4,1.0,1.0,1.0,1.0,1323,1323,189,1323
192,6.0,1.0,4,1.0,1.0,1.0,1.0,14,14,1.75,1.75
193,6284.0,0.0,4,0.0,0.0,0.0,0.0,6284,6284,6284,6284
194,200.0,0.75,4,1.0,1.0,0.0,1.0,215,9,200,215
195,5.0,1.0,4,1.0,1.0,1.0,1.0,4,29,29,4
196,80.0,1.0,4,1.0,1.0,1.0,1.0,120,90,120,90
197,180.0,1.0,4,1.0,1.0,1.0,1.0,181,481,481,481
198,17.0,1.0,4,1.0,1.0,1.0,1.0,7,7,7,7
199,600.0,1.0,4,1.0,1.0,1.0,1.0,604,604,151,604
200,25.0,1.0,4,1.0,1.0,1.0,1.0,21,21,21,21
201,350.0,1.0,4,1.0,1.0,1.0,1.0,51,51,349,51
202,400.0,0.75,4,1.0,1.0,0.0,1.0,2400,2400,400,1.4
203,270.0,1.0,4,1.0,1.0,1.0,1.0,5,5,5,5
204,24.0,1.0,4,1.0,1.0,1.0,1.0,61,61,61,61
205,16.0,1.0,4,1.0,1.0,1.0,1.0,13,13,52/3,13
206,12.0,1.0,4,1.0,1.0,1.0,1.0,17,17,13,17
208,100.0,1.0,4,1.0,1.0,1.0,1.0,41,100.25,401,401
210,130.0,1.0,4,1.0,1.0,1.0,1.0,141,141,141,141
211,1979.0,1.0,4,1.0,1.0,1.0,1.0,41,1985,41,41
213,40.0,0.5,4,0.0,1.0,0.0,1.0,40,101,40,101
215,20.0,1.0,4,1.0,1.0,1.0,1.0,251,251,251,251
216,58.0,1.0,4,1.0,1.0,1.0,1.0,64,64,59,59
217,30.0,1.0,4,1.0,1.0,1.0,1.0,19,29,29,29
218,320.0,1.0,4,1.0,1.0,1.0,1.0,401,401,401,401
220,24.0,1.0,4,1.0,1.0,1.0,1.0,241,242,241,241
222,5.0,1.0,4,1.0,1.0,1.0,1.0,41,41,41,41
223,2.0,1.0,3,,1.0,1.0,1.0,The final answer cannot be determined from the steps provided so far.,19,19,19
224,5.0,0.75,4,1.0,0.0,1.0,1.0,4.44,5,41,41
226,136.0,1.0,4,1.0,1.0,1.0,1.0,65,137,65,65
227,50.0,0.6666666666666666,3,1.0,1.0,0.0,,1.33,1.33,50,Not enough information to determine from the provided steps.
228,112.0,1.0,4,1.0,1.0,1.0,1.0,120,5,3,5
229,27.0,0.75,4,1.0,0.0,1.0,1.0,28,27,9,10
230,220.0,1.0,4,1.0,1.0,1.0,1.0,91,91,91,91
231,10.0,1.0,4,1.0,1.0,1.0,1.0,21,21,21,21
232,56.0,1.0,4,1.0,1.0,1.0,1.0,55,1.4,55,25
233,180.0,1.0,4,1.0,1.0,1.0,1.0,51,51,181.6,51
234,12.0,1.0,4,1.0,1.0,1.0,1.0,16,16,12.80,16
236,8.0,1.0,4,1.0,1.0,1.0,1.0,501,501,501,501
238,20.0,0.75,4,1.0,1.0,0.0,1.0,120/7,120/7,20,120/7
239,110.0,0.75,4,1.0,0.0,1.0,1.0,170,$\boxed{110}$.,3.5,751
240,4500.0,0.75,4,1.0,1.0,1.0,0.0,901,901,901,4500
241,10.0,1.0,4,1.0,1.0,1.0,1.0,37,9.73,25,37
242,266.0,1.0,4,1.0,1.0,1.0,1.0,601,601,636,601
243,104.0,1.0,4,1.0,1.0,1.0,1.0,41,41,41,41
245,1280.0,1.0,4,1.0,1.0,1.0,1.0,641,641,1282,641
246,5.0,1.0,4,1.0,1.0,1.0,1.0,17,17,85/16,85/16
247,16.0,1.0,4,1.0,1.0,1.0,1.0,11,11,11,11
248,57.0,0.75,4,1.0,1.0,0.0,1.0,8,58,57,8
249,84.0,1.0,4,1.0,1.0,1.0,1.0,51,51,385,51
250,7.0,0.75,4,1.0,1.0,1.0,0.0,22,22/3,22/3,$\boxed{7}$
251,295.0,1.0,4,1.0,1.0,1.0,1.0,76,141,76,76
252,21.0,1.0,4,1.0,1.0,1.0,1.0,41,21.25,41,41
253,32.0,1.0,4,1.0,1.0,1.0,1.0,17,34,17,17
254,42000.0,0.75,4,1.0,0.0,1.0,1.0,601,42000,42070,601
255,3.0,1.0,4,1.0,1.0,1.0,1.0,23,23,23,23
256,4.0,1.0,4,1.0,1.0,1.0,1.0,25,25,21,25
258,468.0,1.0,4,1.0,1.0,1.0,1.0,49,49,49,49
261,12.0,0.75,4,1.0,1.0,1.0,0.0,16,16,16,12
262,8900.0,0.25,4,1.0,0.0,0.0,0.0,4405.05,8900,8900,8900
264,83.0,1.0,4,1.0,1.0,1.0,1.0,49,49,49,49
267,16.0,1.0,4,1.0,1.0,1.0,1.0,18,18,18,9
268,55.0,1.0,4,1.0,1.0,1.0,1.0,54,26,26,26
269,240.0,0.75,4,1.0,1.0,0.0,1.0,241,161,240,161
270,5.0,1.0,4,1.0,1.0,1.0,1.0,6,5.5,5.5,6
272,5.0,1.0,4,1.0,1.0,1.0,1.0,11,11,11,4
274,200.0,1.0,4,1.0,1.0,1.0,1.0,21,204,21,21
275,72000.0,1.0,4,1.0,1.0,1.0,1.0,9001,9001,9001,9001
276,90.0,1.0,4,1.0,1.0,1.0,1.0,91,31,91,31
277,4.0,1.0,4,1.0,1.0,1.0,1.0,20,20,3,20
278,234.0,1.0,4,1.0,1.0,1.0,1.0,213,213,213,213
279,4.0,0.75,4,0.0,1.0,1.0,1.0,4,49,49,49
281,11.0,1.0,4,1.0,1.0,1.0,1.0,31,31,31,10.80
282,70.0,1.0,4,1.0,1.0,1.0,1.0,211,211,211,211
283,700.0,1.0,4,1.0,1.0,1.0,1.0,1601,1601,700.5,1601
285,48.0,1.0,4,1.0,1.0,1.0,1.0,9,9,25,9
286,320.0,1.0,4,1.0,1.0,1.0,1.0,41,41,322,41
289,3000.0,0.75,4,1.0,0.0,1.0,1.0,501,3000,301,3003
290,100.0,1.0,4,1.0,1.0,1.0,1.0,100.2,501,501,100.2
291,1.0,0.3333333333333333,3,0.0,,1.0,0.0,1,The provided steps are incomplete and do not lead to the final answer.,0.25,1
292,16000.0,0.75,4,1.0,1.0,0.0,1.0,200001,200001,16000,200001
293,170.0,1.0,4,1.0,1.0,1.0,1.0,61,61,61,171
294,79.0,1.0,4,1.0,1.0,1.0,1.0,33,33,33,33
295,35.0,1.0,4,1.0,1.0,1.0,1.0,85,8,1.7,1.7
296,33.0,0.75,4,0.0,1.0,1.0,1.0,33,44,44,44
298,35.0,1.0,4,1.0,1.0,1.0,1.0,126,126,36,126
299,12.0,1.0,4,1.0,1.0,1.0,1.0,19.5,6.85,19.5,6.85
300,36.0,1.0,4,1.0,1.0,1.0,1.0,5,5,42,7
301,250.0,1.0,4,1.0,1.0,1.0,1.0,11,11,21,11
302,28.0,0.5,4,0.0,1.0,0.0,1.0,28,23,28,54
304,3285.0,1.0,4,1.0,1.0,1.0,1.0,3651,3651,3651,3651
305,3600.0,1.0,4,1.0,1.0,1.0,1.0,3602,3602,1001,3602
307,28.0,1.0,4,1.0,1.0,1.0,1.0,27,27,18,18
308,25.0,1.0,4,1.0,1.0,1.0,1.0,11,11,11,11
312,640.0,1.0,4,1.0,1.0,1.0,1.0,672,21,21,21
313,200.0,1.0,4,1.0,1.0,1.0,1.0,251,21,251,251
314,7200.0,0.6666666666666666,3,1.0,,0.0,1.0,13,The provided steps are incomplete and do not allow for the calculation of the final answer.,7200,13
316,220.0,1.0,4,1.0,1.0,1.0,1.0,221,133,133,221
317,90.0,0.75,4,1.0,0.0,1.0,1.0,90.5,90,121,121
318,200.0,1.0,4,1.0,1.0,1.0,1.0,23,23,23,220.9
321,60.0,1.0,4,1.0,1.0,1.0,1.0,21,62,62,21
322,1124.0,1.0,4,1.0,1.0,1.0,1.0,63,63,753,753
323,23.0,0.0,4,0.0,0.0,0.0,0.0,23,23,23,23
324,95.0,1.0,3,1.0,,1.0,1.0,1235/14,The provided steps are insufficient to calculate the final answer.,14,14
325,19.0,1.0,4,1.0,1.0,1.0,1.0,13,13,13,13
326,27.0,1.0,4,1.0,1.0,1.0,1.0,19,19,19,19
327,13.0,1.0,4,1.0,1.0,1.0,1.0,7,14,14,14
329,8.0,1.0,4,1.0,1.0,1.0,1.0,9,9,9,9
330,165.0,1.0,4,1.0,1.0,1.0,1.0,51,50,51,51
331,600.0,1.0,4,1.0,1.0,1.0,1.0,602,301,602,301
332,61.0,1.0,4,1.0,1.0,1.0,1.0,127,127,127,127
333,72.0,1.0,4,1.0,1.0,1.0,1.0,9,9,9,9
335,15.0,1.0,4,1.0,1.0,1.0,1.0,3.5,18,3.5,21
336,36.0,1.0,4,1.0,1.0,1.0,1.0,37,37,15,37
337,3.0,0.75,4,1.0,1.0,0.0,1.0,1201,4,3,1201
338,2.0,1.0,4,1.0,1.0,1.0,1.0,24,121,121,121
339,10.0,0.75,4,1.0,1.0,0.0,1.0,1.33,1.33,10,61
340,1100.0,0.75,4,1.0,1.0,1.0,0.0,1201,1201,1201,1100
341,300.0,1.0,4,1.0,1.0,1.0,1.0,301,301,301,301
342,15.0,1.0,4,1.0,1.0,1.0,1.0,18,6,6,6
343,10.0,1.0,4,1.0,1.0,1.0,1.0,241,241,241,241
344,33.0,1.0,4,1.0,1.0,1.0,1.0,34,34,34,34
346,1000.0,1.0,4,1.0,1.0,1.0,1.0,1004,251,251,1004
349,1008.0,1.0,4,1.0,1.0,1.0,1.0,73,1022,1022,1022
351,144.0,1.0,4,1.0,1.0,1.0,1.0,361,61,145.6,61
352,720.0,1.0,4,1.0,1.0,1.0,1.0,760,760,19,760
353,2600.0,1.0,4,1.0,1.0,1.0,1.0,1501,1501,1501,1501
354,21.0,1.0,4,1.0,1.0,1.0,1.0,7,29,35,29
355,750.0,0.75,4,1.0,1.0,1.0,0.0,20.83,751,21.83,750
356,15.0,1.0,4,1.0,1.0,1.0,1.0,31,31,16,31
358,4.0,1.0,4,1.0,1.0,1.0,1.0,17,17,4.25,17
359,720.0,1.0,4,1.0,1.0,1.0,1.0,724,281,281,281
360,5.0,1.0,4,1.0,1.0,1.0,1.0,121,6,96,121
361,14.0,1.0,4,1.0,1.0,1.0,1.0,25,25,25,25
363,4.0,1.0,2,1.0,,1.0,,9,"I cannot provide a final answer based strictly on the steps above, as the provided steps are incomplete and do not lead to the final solution of the problem.",9,"I cannot provide the final answer based strictly on the single step provided. The step only calculates the number of participants, not the third-place player's earnings."
365,85.0,1.0,4,1.0,1.0,1.0,1.0,56,56,141,56
366,7.0,1.0,4,1.0,1.0,1.0,1.0,7.7,11,7.7,11
368,10.0,0.75,4,1.0,0.0,1.0,1.0,24001,10,241/24,241
370,7.0,1.0,4,1.0,1.0,1.0,1.0,51,51,6,51
372,259200.0,1.0,4,1.0,1.0,1.0,1.0,72001,72001,72000,72001
373,50.0,1.0,4,1.0,1.0,1.0,1.0,161,161,161,161
375,43.0,1.0,4,1.0,1.0,1.0,1.0,23,42,42,23
377,50.0,1.0,4,1.0,1.0,1.0,1.0,51,11,11,11
378,13.0,1.0,4,1.0,1.0,1.0,1.0,76,76,76,76
379,580.0,1.0,4,1.0,1.0,1.0,1.0,901,81,901,901
380,44.0,1.0,4,1.0,1.0,1.0,1.0,21,21,21,45
381,50.0,1.0,4,1.0,1.0,1.0,1.0,301,301,301,301
382,41.0,1.0,4,1.0,1.0,1.0,1.0,26,40,26,26
383,60.0,1.0,4,1.0,1.0,1.0,1.0,31,31,31,31
384,6000.0,0.5,4,0.0,1.0,0.0,1.0,6000,5921.05,6000,5921.05
385,650.0,1.0,4,1.0,1.0,1.0,1.0,151,649.50,151,151
386,41.0,1.0,4,1.0,1.0,1.0,1.0,15,15,43,15
387,7.0,0.75,4,1.0,0.0,1.0,1.0,7/3,7,7/3,22/3
388,15.0,1.0,4,1.0,1.0,1.0,1.0,6,5,6,6
389,288.0,1.0,4,1.0,1.0,1.0,1.0,193,193,192,192
390,5.0,0.5,4,1.0,1.0,0.0,0.0,10,8,5,5
391,46.0,1.0,4,1.0,1.0,1.0,1.0,101,101,101,46.4
392,179.0,1.0,4,1.0,1.0,1.0,1.0,190,17,17,17
393,195.0,1.0,4,1.0,1.0,1.0,1.0,61,61,197.5,61
394,9.0,1.0,4,1.0,1.0,1.0,1.0,10,10,10,10
395,5.0,1.0,4,1.0,1.0,1.0,1.0,97,6,97,97
396,11.0,0.75,4,1.0,0.0,1.0,1.0,12,11,12,9
397,22.0,1.0,4,1.0,1.0,1.0,1.0,168,168,168,167
398,2934.0,1.0,4,1.0,1.0,1.0,1.0,2935,2935,2935,978
400,9.0,1.0,4,1.0,1.0,1.0,1.0,9.125,73,73/8,73
401,504.0,0.75,4,1.0,1.0,1.0,0.0,49,49,49,504
402,5.0,0.75,4,1.0,0.0,1.0,1.0,18000,5,5.0002777777777775,18001
404,300.0,1.0,4,1.0,1.0,1.0,1.0,360,61,360,360
405,5500.0,0.75,4,1.0,0.0,1.0,1.0,5505,5500,701,701
406,202.0,1.0,4,1.0,1.0,1.0,1.0,73,73,73,73
407,720.0,1.0,4,1.0,1.0,1.0,1.0,321,321,321,321
408,1450.0,1.0,4,1.0,1.0,1.0,1.0,451,451,451,451
410,100.0,1.0,4,1.0,1.0,1.0,1.0,151,151,151,151
411,75.0,0.75,4,1.0,0.0,1.0,1.0,15,75,76,16
412,3.0,0.6666666666666666,3,1.0,0.0,1.0,,6,3,6,The provided steps are incomplete to determine the final answer.
413,9.0,0.5,4,0.0,0.0,1.0,1.0,9,9,9.5,12
414,12.0,1.0,4,1.0,1.0,1.0,1.0,25,25,12.2,25
415,45.0,1.0,4,1.0,1.0,1.0,1.0,44,44,44,26
416,134400.0,1.0,4,1.0,1.0,1.0,1.0,32001,32001,112000,192000
417,4625.0,1.0,4,1.0,1.0,1.0,1.0,2701,2701,2701,2701
418,2900.0,1.0,4,1.0,1.0,1.0,1.0,601,2901,601,601
419,20.0,1.0,4,1.0,1.0,1.0,1.0,61,61,19.67,61
420,36.0,1.0,4,1.0,1.0,1.0,1.0,21,21,21,21
421,134.0,1.0,4,1.0,1.0,1.0,1.0,25,13,140,140
422,7.0,0.5,4,0.0,1.0,1.0,0.0,7,8,4,7
423,25.0,1.0,4,1.0,1.0,1.0,1.0,11,24,11,11
424,310.0,1.0,4,1.0,1.0,1.0,1.0,421,421,421,421
425,70.0,0.75,4,0.0,1.0,1.0,1.0,70,7,75,4
426,5122.0,1.0,4,1.0,1.0,1.0,1.0,5150,5150,14,5150
427,91.0,1.0,4,1.0,1.0,1.0,1.0,92,27,27,94
428,30.0,1.0,4,1.0,1.0,1.0,1.0,29,29,29,29
429,96.0,1.0,4,1.0,1.0,1.0,1.0,240.2,241,241,241
430,370.0,1.0,4,1.0,1.0,1.0,1.0,261,261,261,261
431,114.0,1.0,4,1.0,1.0,1.0,1.0,16,16,46,46
432,1.0,1.0,4,1.0,1.0,1.0,1.0,126,126,2,126
433,60.0,0.75,4,0.0,1.0,1.0,1.0,60,6,6,62
434,240.0,1.0,4,1.0,1.0,1.0,1.0,246,41,246,41
435,48.0,1.0,4,1.0,1.0,1.0,1.0,13,13,13,52
436,75.0,0.75,4,1.0,0.0,1.0,1.0,74,75,74,74
437,8.0,1.0,4,1.0,1.0,1.0,1.0,9,18.00,7.15,19
438,50.0,1.0,4,1.0,1.0,1.0,1.0,151,151,151,151
439,40.0,1.0,4,1.0,1.0,1.0,1.0,38,38,38,38
440,30.0,1.0,4,1.0,1.0,1.0,1.0,41,41,41,41
441,15600.0,1.0,4,1.0,1.0,1.0,1.0,37,37,37,37
442,140.0,0.75,4,1.0,1.0,0.0,1.0,82.2,51,140,51
443,65.0,1.0,4,1.0,1.0,1.0,1.0,76,76,76,76
444,1600.0,1.0,4,1.0,1.0,1.0,1.0,601,601,601,1601
445,6.0,0.75,4,1.0,1.0,1.0,0.0,3.2,5.2,5.2,6
446,50.0,0.75,4,0.0,1.0,1.0,1.0,50,20001,20001,20001
447,16.0,1.0,4,1.0,1.0,1.0,1.0,16.2,81,16.2,81
448,70.0,1.0,4,1.0,1.0,1.0,1.0,41,41,41,69
449,210.0,0.75,4,1.0,1.0,1.0,0.0,81,211,211,210
450,30.0,1.0,4,1.0,1.0,1.0,1.0,32,14,14,14
