id,rationale_original_final,rationale_pert1_final,rationale_pert2_final,rationale_pert3_final
80,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
81,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
82,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
83,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
84,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
85,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
86,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
87,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
88,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
89,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
90,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
91,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
92,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
93,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
95,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
97,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
99,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
101,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
102,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
103,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
104,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
106,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
107,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
108,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
109,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
110,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
111,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
112,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
114,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
117,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
119,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
120,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
122,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
123,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
124,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
125,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
126,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
127,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
128,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
130,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
131,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
132,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
133,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
134,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
135,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
136,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
137,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
138,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
141,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
142,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
143,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
144,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
146,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
148,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
150,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
151,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
152,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
154,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
156,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
157,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
159,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
160,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
161,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
164,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
165,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
167,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
168,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
169,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
170,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
171,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
173,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
174,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
175,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
177,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
179,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
180,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
181,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
182,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
183,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
184,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
185,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
186,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
187,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
188,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
189,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
190,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
191,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
193,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
194,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
195,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
196,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
198,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
199,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
200,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
202,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
204,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
205,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
206,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
207,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
208,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
209,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
210,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
211,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
212,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
213,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
214,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
215,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
217,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
218,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
219,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
220,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
223,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
224,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
225,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
227,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
228,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
229,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
230,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
231,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
232,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
234,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
235,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
236,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
237,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
238,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
242,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
243,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
245,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
247,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
249,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
250,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
251,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
252,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
253,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
255,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
256,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
258,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
259,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
260,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
261,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
262,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
263,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
264,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
265,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
267,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
269,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
270,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
271,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
272,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
274,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
275,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
276,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
277,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
279,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
280,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
281,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
282,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
284,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
285,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
286,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
288,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
289,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
290,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
291,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
294,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
295,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
297,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
298,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
299,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
300,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
301,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
302,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
305,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
306,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
307,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
308,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
310,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
311,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
312,ENTAILMENT,NEUTRAL,NEUTRAL,ENTAILMENT
314,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
315,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
316,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
318,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
319,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
320,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
321,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
322,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
323,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
324,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
326,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
327,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
328,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
329,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
330,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
333,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
334,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
335,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
337,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
338,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
339,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
340,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
341,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
342,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
343,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
345,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
346,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
347,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
348,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
349,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
351,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
352,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
353,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
355,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
356,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
357,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
358,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
360,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
361,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
362,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
365,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
366,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
367,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
368,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
369,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
370,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
371,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
372,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
373,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
374,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
375,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
376,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
377,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
378,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
379,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
381,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
382,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
383,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
384,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
385,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
386,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
387,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
388,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
389,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
390,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
393,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
394,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
395,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
397,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
399,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
400,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
401,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
402,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
403,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
404,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
405,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
407,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
409,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
410,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
411,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
412,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
413,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
414,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
415,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
416,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
417,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
420,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
421,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
422,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
424,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
425,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
429,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
430,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
431,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
432,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
433,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
434,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
435,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
437,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
442,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
443,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
444,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
445,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
446,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
447,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
448,CONTRADICTION,CONTRADICTION,NEUTRAL,CONTRADICTION
449,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
450,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
452,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
453,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
454,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
456,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
457,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
458,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
459,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
460,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
461,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
462,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
463,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
467,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
468,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
470,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
472,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
473,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
474,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
475,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
476,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
479,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
481,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
483,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
484,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
485,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
486,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
487,CONTRADICTION,CONTRADICTION,NEUTRAL,NEUTRAL
489,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
490,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
491,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
492,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
493,CONTRADICTION,CONTRADICTION,CONTRADICTION,NEUTRAL
495,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
496,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
497,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
499,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
