id,rationale_original_final,rationale_lexical_final,rationale_syntactic_final,rationale_pragmatic_final
170,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
171,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
173,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
174,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
175,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
177,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
179,CONTRADICTION,CONTRADICTION,NEUTRAL,NEUTRAL
180,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
181,CONTRADICTION,CONTRADICTION,NEUTRAL,CONTRADICTION
182,NEUTRAL,NEUTRAL,CONTRADICTION,CONTRADICTION
183,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
184,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
185,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
186,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
187,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
188,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
189,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
190,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
191,CONTRADICTION,NEUTRAL,NEUTRAL,NEUTRAL
193,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
194,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
195,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
196,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
198,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
199,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
200,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
202,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
204,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
205,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
207,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
208,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
209,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
210,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
211,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
212,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
213,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
214,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
215,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
217,CONTRADICTION,CONTRADICTION,NEUTRAL,NEUTRAL
218,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
219,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
220,NEUTRAL,CONTRADICTION,NEUTRAL,CONTRADICTION
223,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
224,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
225,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
227,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
228,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
229,CONTRADICTION,NEUTRAL,NEUTRAL,NEUTRAL
230,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
231,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
232,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
234,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
235,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
236,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
237,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
238,NEUTRAL,NEUTRAL,ENTAILMENT,ENTAILMENT
242,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
243,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
245,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
247,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
249,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
250,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
251,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
252,NEUTRAL,CONTRADICTION,CONTRADICTION,CONTRADICTION
253,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
255,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
256,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
258,CONTRADICTION,CONTRADICTION,CONTRADICTION,NEUTRAL
259,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
260,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
261,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
262,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
263,ENTAILMENT,ENTAILMENT,CONTRADICTION,ENTAILMENT
264,NEUTRAL,NEUTRAL,CONTRADICTION,CONTRADICTION
265,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
267,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
269,NEUTRAL,CONTRADICTION,NEUTRAL,NEUTRAL
270,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
271,NEUTRAL,CONTRADICTION,NEUTRAL,CONTRADICTION
272,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
274,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
275,CONTRADICTION,CONTRADICTION,CONTRADICTION,NEUTRAL
276,CONTRADICTION,NEUTRAL,NEUTRAL,NEUTRAL
277,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
279,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
280,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
281,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
282,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
284,ENTAILMENT,CONTRADICTION,ENTAILMENT,ENTAILMENT
285,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
286,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
288,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
289,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
290,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
291,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
294,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
295,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
297,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
298,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
299,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
300,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
301,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
302,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
305,CONTRADICTION,NEUTRAL,CONTRADICTION,CONTRADICTION
306,ENTAILMENT,NEUTRAL,ENTAILMENT,ENTAILMENT
307,NEUTRAL,ENTAILMENT,NEUTRAL,ENTAILMENT
308,NEUTRAL,NEUTRAL,CONTRADICTION,NEUTRAL
310,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
311,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
312,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
314,ENTAILMENT,ENTAILMENT,ENTAILMENT,NEUTRAL
315,NEUTRAL,NEUTRAL,NEUTRAL,CONTRADICTION
316,CONTRADICTION,NEUTRAL,CONTRADICTION,NEUTRAL
318,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
319,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
320,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
321,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
322,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
323,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
324,NEUTRAL,CONTRADICTION,NEUTRAL,CONTRADICTION
326,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
327,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
328,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
329,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
330,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
332,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
333,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
334,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
335,CONTRADICTION,CONTRADICTION,NEUTRAL,NEUTRAL
337,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
339,NEUTRAL,ENTAILMENT,ENTAILMENT,NEUTRAL
340,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
341,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
342,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
343,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
345,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
346,NEUTRAL,ENTAILMENT,NEUTRAL,ENTAILMENT
347,NEUTRAL,NEUTRAL,CONTRADICTION,NEUTRAL
348,NEUTRAL,NEUTRAL,CONTRADICTION,NEUTRAL
349,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
351,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
352,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
353,ENTAILMENT,CONTRADICTION,ENTAILMENT,ENTAILMENT
355,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
356,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
357,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
358,NEUTRAL,NEUTRAL,CONTRADICTION,NEUTRAL
360,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
361,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
362,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
365,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
366,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
367,ENTAILMENT,ENTAILMENT,NEUTRAL,NEUTRAL
368,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
369,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
370,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
371,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
372,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
373,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
374,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
375,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
376,ENTAILMENT,NEUTRAL,ENTAILMENT,ENTAILMENT
377,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
378,ENTAILMENT,ENTAILMENT,ENTAILMENT,NEUTRAL
379,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
381,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
382,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
383,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
384,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
385,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
386,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
387,CONTRADICTION,CONTRADICTION,CONTRADICTION,NEUTRAL
388,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
389,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
390,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
393,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
394,ENTAILMENT,NEUTRAL,ENTAILMENT,ENTAILMENT
395,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
397,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
399,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
400,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
401,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
402,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
403,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
404,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
405,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
407,CONTRADICTION,CONTRADICTION,NEUTRAL,CONTRADICTION
409,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
410,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
411,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
412,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
413,NEUTRAL,NEUTRAL,ENTAILMENT,ENTAILMENT
414,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
415,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
416,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
417,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
420,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
421,NEUTRAL,NEUTRAL,NEUTRAL,CONTRADICTION
422,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
424,CONTRADICTION,CONTRADICTION,NEUTRAL,CONTRADICTION
425,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
429,ENTAILMENT,NEUTRAL,NEUTRAL,NEUTRAL
430,NEUTRAL,CONTRADICTION,NEUTRAL,CONTRADICTION
431,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
432,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
433,NEUTRAL,CONTRADICTION,NEUTRAL,NEUTRAL
434,NEUTRAL,CONTRADICTION,NEUTRAL,NEUTRAL
435,NEUTRAL,NEUTRAL,CONTRADICTION,ENTAILMENT
437,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
442,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
443,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
444,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
445,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
446,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
447,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
448,CONTRADICTION,NEUTRAL,NEUTRAL,NEUTRAL
449,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
450,NEUTRAL,CONTRADICTION,CONTRADICTION,NEUTRAL
452,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
453,CONTRADICTION,NEUTRAL,NEUTRAL,NEUTRAL
454,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
456,NEUTRAL,CONTRADICTION,CONTRADICTION,CONTRADICTION
457,NEUTRAL,CONTRADICTION,NEUTRAL,NEUTRAL
458,NEUTRAL,CONTRADICTION,CONTRADICTION,CONTRADICTION
459,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
460,NEUTRAL,NEUTRAL,CONTRADICTION,CONTRADICTION
461,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
462,CONTRADICTION,NEUTRAL,NEUTRAL,CONTRADICTION
463,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
467,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
468,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
470,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
472,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
473,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
474,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
475,ENTAILMENT,CONTRADICTION,NEUTRAL,ENTAILMENT
476,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
479,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
481,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
483,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
484,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
485,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
486,NEUTRAL,CONTRADICTION,CONTRADICTION,NEUTRAL
487,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
489,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
490,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
491,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
492,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
493,NEUTRAL,CONTRADICTION,CONTRADICTION,NEUTRAL
495,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
496,CONTRADICTION,NEUTRAL,NEUTRAL,NEUTRAL
497,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
