id,rationale_original_final,rationale_perturbation_1_lexical_final,rationale_perturbation_2_syntactic_final,rationale_perturbation_3_pragmatic_final,gold_label,row_accuracy
138,entailment,entailment,entailment,entailment,entailment,1.0
141,entailment,entailment,entailment,entailment,entailment,1.0
142,neutral,neutral,neutral,neutral,neutral,1.0
143,neutral,contradiction,neutral,neutral,contradiction,0.25
144,neutral,neutral,neutral,neutral,neutral,1.0
146,entailment,entailment,entailment,entailment,entailment,1.0
148,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
150,entailment,entailment,entailment,entailment,entailment,1.0
151,neutral,neutral,neutral,neutral,neutral,1.0
152,entailment,entailment,entailment,entailment,entailment,1.0
154,entailment,entailment,entailment,entailment,entailment,1.0
156,neutral,neutral,neutral,neutral,neutral,1.0
157,entailment,entailment,entailment,entailment,entailment,1.0
159,entailment,entailment,entailment,entailment,entailment,1.0
160,entailment,entailment,entailment,entailment,entailment,1.0
161,entailment,entailment,entailment,entailment,entailment,1.0
164,neutral,neutral,neutral,neutral,neutral,1.0
165,neutral,neutral,neutral,neutral,entailment,0.0
167,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
168,neutral,neutral,neutral,neutral,contradiction,0.0
169,neutral,neutral,neutral,neutral,neutral,1.0
170,entailment,entailment,entailment,entailment,entailment,1.0
171,entailment,entailment,entailment,entailment,entailment,1.0
173,entailment,entailment,entailment,entailment,entailment,1.0
174,contradiction,neutral,neutral,contradiction,entailment,0.0
175,entailment,entailment,entailment,entailment,entailment,1.0
177,entailment,entailment,entailment,entailment,entailment,1.0
179,neutral,contradiction,neutral,contradiction,contradiction,0.5
180,entailment,entailment,entailment,entailment,entailment,1.0
181,contradiction,contradiction,neutral,contradiction,contradiction,0.75
182,neutral,contradiction,contradiction,contradiction,contradiction,0.75
183,entailment,entailment,entailment,entailment,entailment,1.0
184,entailment,entailment,entailment,entailment,entailment,1.0
185,entailment,entailment,entailment,entailment,entailment,1.0
186,neutral,neutral,neutral,neutral,neutral,1.0
187,entailment,entailment,entailment,entailment,entailment,1.0
188,neutral,neutral,neutral,neutral,neutral,1.0
189,entailment,entailment,entailment,entailment,entailment,1.0
190,entailment,entailment,entailment,entailment,entailment,1.0
191,contradiction,contradiction,neutral,neutral,contradiction,0.5
193,neutral,neutral,neutral,neutral,entailment,0.0
194,neutral,entailment,entailment,entailment,neutral,0.25
195,neutral,neutral,neutral,neutral,neutral,1.0
196,entailment,entailment,entailment,entailment,entailment,1.0
198,neutral,neutral,neutral,neutral,neutral,1.0
199,contradiction,contradiction,neutral,contradiction,contradiction,0.75
200,entailment,entailment,entailment,entailment,entailment,1.0
202,entailment,entailment,entailment,entailment,entailment,1.0
204,neutral,neutral,neutral,neutral,neutral,1.0
205,neutral,neutral,neutral,neutral,neutral,1.0
206,neutral,neutral,neutral,neutral,neutral,1.0
207,neutral,neutral,neutral,neutral,neutral,1.0
208,neutral,neutral,neutral,neutral,neutral,1.0
209,entailment,entailment,entailment,entailment,entailment,1.0
210,neutral,neutral,neutral,neutral,neutral,1.0
211,entailment,entailment,entailment,entailment,entailment,1.0
212,neutral,neutral,neutral,neutral,contradiction,0.0
213,entailment,entailment,entailment,entailment,entailment,1.0
214,entailment,entailment,entailment,entailment,entailment,1.0
215,neutral,neutral,neutral,neutral,neutral,1.0
217,contradiction,contradiction,neutral,neutral,contradiction,0.5
218,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
219,contradiction,contradiction,contradiction,neutral,contradiction,0.75
220,neutral,neutral,neutral,entailment,neutral,0.75
223,entailment,entailment,entailment,entailment,entailment,1.0
224,neutral,neutral,contradiction,contradiction,contradiction,0.5
225,neutral,neutral,neutral,neutral,neutral,1.0
227,entailment,entailment,entailment,entailment,entailment,1.0
228,neutral,neutral,neutral,neutral,neutral,1.0
229,contradiction,neutral,contradiction,neutral,contradiction,0.5
230,contradiction,contradiction,contradiction,contradiction,neutral,0.0
231,entailment,neutral,entailment,entailment,entailment,0.75
232,entailment,entailment,entailment,entailment,entailment,1.0
234,contradiction,contradiction,neutral,contradiction,contradiction,0.75
235,neutral,neutral,neutral,neutral,neutral,1.0
236,neutral,neutral,neutral,neutral,neutral,1.0
237,neutral,neutral,neutral,neutral,neutral,1.0
238,neutral,neutral,neutral,neutral,neutral,1.0
242,neutral,neutral,neutral,neutral,neutral,1.0
243,neutral,neutral,neutral,neutral,contradiction,0.0
245,entailment,entailment,entailment,entailment,entailment,1.0
247,neutral,neutral,neutral,neutral,neutral,1.0
249,entailment,entailment,entailment,entailment,entailment,1.0
250,neutral,neutral,neutral,neutral,contradiction,0.0
251,entailment,entailment,entailment,entailment,entailment,1.0
252,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
253,neutral,neutral,neutral,neutral,neutral,1.0
255,contradiction,contradiction,neutral,contradiction,contradiction,0.75
256,entailment,entailment,entailment,entailment,entailment,1.0
258,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
259,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
260,entailment,entailment,entailment,entailment,entailment,1.0
261,entailment,entailment,entailment,entailment,entailment,1.0
262,neutral,neutral,neutral,neutral,neutral,1.0
263,entailment,entailment,entailment,entailment,neutral,0.0
264,neutral,neutral,neutral,neutral,contradiction,0.0
265,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
267,neutral,neutral,neutral,neutral,neutral,1.0
269,neutral,neutral,neutral,neutral,contradiction,0.0
270,neutral,neutral,neutral,neutral,neutral,1.0
271,contradiction,neutral,neutral,contradiction,contradiction,0.5
272,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
274,entailment,entailment,entailment,entailment,entailment,1.0
275,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
276,contradiction,neutral,contradiction,contradiction,contradiction,0.75
277,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
279,neutral,neutral,neutral,neutral,neutral,1.0
280,neutral,neutral,neutral,neutral,neutral,1.0
281,neutral,neutral,neutral,neutral,neutral,1.0
282,entailment,entailment,entailment,entailment,entailment,1.0
284,entailment,entailment,entailment,entailment,entailment,1.0
285,neutral,neutral,neutral,neutral,neutral,1.0
286,neutral,neutral,neutral,neutral,neutral,1.0
288,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
289,neutral,neutral,neutral,neutral,neutral,1.0
290,entailment,entailment,entailment,entailment,neutral,0.0
291,neutral,neutral,neutral,neutral,neutral,1.0
294,neutral,neutral,neutral,neutral,contradiction,0.0
295,entailment,entailment,entailment,entailment,entailment,1.0
297,neutral,neutral,neutral,neutral,contradiction,0.0
298,neutral,neutral,neutral,neutral,neutral,1.0
299,neutral,neutral,neutral,neutral,neutral,1.0
300,neutral,neutral,neutral,neutral,neutral,1.0
301,neutral,neutral,contradiction,neutral,contradiction,0.25
302,entailment,entailment,entailment,entailment,neutral,0.0
305,contradiction,contradiction,contradiction,neutral,contradiction,0.75
306,neutral,neutral,neutral,neutral,neutral,1.0
307,neutral,neutral,neutral,neutral,neutral,1.0
308,contradiction,contradiction,contradiction,neutral,entailment,0.0
310,neutral,contradiction,neutral,neutral,contradiction,0.25
311,entailment,entailment,entailment,entailment,entailment,1.0
312,entailment,entailment,entailment,entailment,neutral,0.0
314,neutral,neutral,neutral,neutral,neutral,1.0
315,contradiction,contradiction,neutral,contradiction,contradiction,0.75
316,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
318,contradiction,contradiction,neutral,neutral,contradiction,0.5
319,neutral,contradiction,contradiction,neutral,contradiction,0.5
320,neutral,neutral,neutral,neutral,neutral,1.0
321,entailment,entailment,entailment,entailment,entailment,1.0
322,neutral,contradiction,neutral,neutral,contradiction,0.25
323,neutral,neutral,neutral,neutral,entailment,0.0
324,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
326,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
327,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
328,entailment,entailment,entailment,entailment,entailment,1.0
329,neutral,neutral,neutral,neutral,neutral,1.0
330,neutral,neutral,neutral,neutral,neutral,1.0
332,neutral,neutral,neutral,neutral,neutral,1.0
333,neutral,neutral,neutral,neutral,neutral,1.0
334,neutral,entailment,neutral,entailment,entailment,0.5
335,entailment,entailment,neutral,entailment,entailment,0.75
337,neutral,neutral,neutral,neutral,contradiction,0.0
338,neutral,neutral,neutral,neutral,neutral,1.0
339,neutral,neutral,neutral,neutral,neutral,1.0
340,entailment,entailment,entailment,entailment,entailment,1.0
341,neutral,neutral,neutral,neutral,neutral,1.0
342,neutral,neutral,neutral,neutral,contradiction,0.0
343,entailment,entailment,entailment,entailment,entailment,1.0
345,neutral,neutral,neutral,neutral,neutral,1.0
346,neutral,neutral,neutral,neutral,neutral,1.0
347,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
348,neutral,neutral,neutral,neutral,contradiction,0.0
349,entailment,entailment,entailment,entailment,entailment,1.0
351,entailment,entailment,entailment,entailment,entailment,1.0
352,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
353,entailment,neutral,neutral,entailment,entailment,0.5
355,neutral,neutral,neutral,neutral,neutral,1.0
356,entailment,entailment,entailment,entailment,entailment,1.0
357,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
358,neutral,neutral,neutral,neutral,contradiction,0.0
360,neutral,neutral,neutral,neutral,entailment,0.0
361,entailment,entailment,entailment,entailment,entailment,1.0
362,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
365,entailment,entailment,entailment,entailment,entailment,1.0
366,entailment,entailment,entailment,entailment,entailment,1.0
367,neutral,neutral,neutral,neutral,neutral,1.0
368,entailment,entailment,entailment,entailment,entailment,1.0
369,neutral,neutral,neutral,neutral,neutral,1.0
370,neutral,neutral,neutral,neutral,neutral,1.0
371,entailment,entailment,entailment,entailment,entailment,1.0
372,entailment,entailment,neutral,entailment,entailment,0.75
373,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
374,entailment,entailment,entailment,entailment,entailment,1.0
375,neutral,neutral,neutral,neutral,contradiction,0.0
376,entailment,entailment,entailment,entailment,entailment,1.0
377,neutral,neutral,neutral,neutral,neutral,1.0
378,entailment,entailment,entailment,entailment,entailment,1.0
379,entailment,entailment,entailment,entailment,entailment,1.0
381,entailment,entailment,entailment,entailment,entailment,1.0
382,entailment,entailment,entailment,entailment,entailment,1.0
383,neutral,neutral,neutral,neutral,neutral,1.0
384,entailment,entailment,entailment,entailment,entailment,1.0
385,entailment,entailment,entailment,entailment,entailment,1.0
386,neutral,neutral,neutral,neutral,neutral,1.0
387,contradiction,contradiction,contradiction,neutral,contradiction,0.75
388,entailment,entailment,entailment,entailment,entailment,1.0
389,entailment,entailment,entailment,entailment,entailment,1.0
390,neutral,neutral,neutral,neutral,neutral,1.0
393,neutral,neutral,neutral,neutral,neutral,1.0
394,neutral,neutral,neutral,entailment,neutral,0.75
395,entailment,entailment,entailment,entailment,entailment,1.0
397,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
399,neutral,neutral,neutral,neutral,neutral,1.0
400,neutral,neutral,neutral,neutral,neutral,1.0
401,entailment,entailment,entailment,entailment,entailment,1.0
402,entailment,entailment,entailment,entailment,entailment,1.0
403,neutral,neutral,entailment,neutral,entailment,0.25
404,neutral,neutral,neutral,neutral,neutral,1.0
405,neutral,neutral,entailment,neutral,entailment,0.25
407,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
409,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
410,entailment,neutral,entailment,entailment,entailment,0.75
411,entailment,entailment,entailment,entailment,entailment,1.0
412,entailment,entailment,entailment,entailment,entailment,1.0
413,entailment,entailment,entailment,entailment,entailment,1.0
414,neutral,neutral,neutral,neutral,contradiction,0.0
415,entailment,entailment,entailment,neutral,entailment,0.75
416,neutral,neutral,neutral,neutral,contradiction,0.0
417,entailment,entailment,entailment,entailment,entailment,1.0
420,neutral,neutral,neutral,neutral,neutral,1.0
421,neutral,neutral,neutral,neutral,neutral,1.0
422,neutral,neutral,neutral,neutral,neutral,1.0
424,neutral,contradiction,neutral,neutral,contradiction,0.25
425,neutral,neutral,neutral,neutral,contradiction,0.0
429,entailment,entailment,neutral,entailment,neutral,0.25
430,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
431,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
432,neutral,neutral,neutral,neutral,neutral,1.0
433,neutral,neutral,neutral,neutral,contradiction,0.0
434,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
435,contradiction,contradiction,contradiction,neutral,contradiction,0.75
437,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
442,neutral,neutral,neutral,neutral,neutral,1.0
443,entailment,entailment,entailment,entailment,entailment,1.0
444,neutral,neutral,neutral,neutral,neutral,1.0
445,entailment,entailment,entailment,entailment,entailment,1.0
446,neutral,neutral,neutral,entailment,entailment,0.25
447,entailment,entailment,entailment,entailment,entailment,1.0
448,contradiction,contradiction,contradiction,contradiction,neutral,0.0
449,neutral,neutral,neutral,neutral,neutral,1.0
450,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
452,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
453,neutral,neutral,neutral,neutral,neutral,1.0
454,neutral,neutral,neutral,neutral,neutral,1.0
456,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
457,contradiction,contradiction,neutral,contradiction,contradiction,0.75
458,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
459,neutral,neutral,neutral,neutral,neutral,1.0
460,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
461,neutral,neutral,neutral,neutral,neutral,1.0
462,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
463,entailment,entailment,entailment,neutral,neutral,0.25
467,neutral,neutral,entailment,neutral,neutral,0.75
468,neutral,neutral,neutral,neutral,neutral,1.0
470,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
472,entailment,entailment,entailment,entailment,entailment,1.0
473,neutral,neutral,neutral,neutral,neutral,1.0
474,entailment,entailment,entailment,entailment,entailment,1.0
475,entailment,entailment,entailment,entailment,entailment,1.0
476,neutral,neutral,neutral,neutral,neutral,1.0
479,neutral,neutral,neutral,neutral,neutral,1.0
481,entailment,neutral,entailment,entailment,entailment,0.75
483,entailment,entailment,entailment,entailment,entailment,1.0
484,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
485,neutral,neutral,neutral,neutral,neutral,1.0
486,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
487,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
489,neutral,neutral,neutral,neutral,neutral,1.0
490,neutral,contradiction,neutral,neutral,contradiction,0.25
491,entailment,entailment,entailment,entailment,entailment,1.0
492,entailment,entailment,entailment,entailment,entailment,1.0
493,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
495,neutral,neutral,neutral,neutral,neutral,1.0
496,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
497,neutral,neutral,neutral,neutral,neutral,1.0
499,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
500,neutral,contradiction,neutral,neutral,contradiction,0.25
501,neutral,neutral,entailment,neutral,neutral,0.75
502,neutral,neutral,neutral,neutral,neutral,1.0
503,entailment,entailment,entailment,entailment,entailment,1.0
504,neutral,neutral,neutral,neutral,neutral,1.0
505,neutral,neutral,neutral,neutral,contradiction,0.0
506,entailment,entailment,entailment,entailment,entailment,1.0
507,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
508,neutral,neutral,neutral,neutral,contradiction,0.0
509,neutral,neutral,neutral,neutral,neutral,1.0
510,neutral,neutral,neutral,neutral,neutral,1.0
511,entailment,entailment,entailment,entailment,entailment,1.0
512,entailment,entailment,entailment,entailment,entailment,1.0
513,neutral,neutral,neutral,neutral,neutral,1.0
514,contradiction,neutral,neutral,neutral,neutral,0.75
516,entailment,entailment,entailment,entailment,entailment,1.0
517,neutral,neutral,neutral,neutral,contradiction,0.0
519,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
524,neutral,entailment,entailment,entailment,entailment,0.75
526,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
529,entailment,entailment,entailment,entailment,neutral,0.0
530,neutral,neutral,neutral,neutral,neutral,1.0
531,entailment,entailment,entailment,entailment,entailment,1.0
532,entailment,entailment,neutral,entailment,entailment,0.75
535,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
538,entailment,entailment,entailment,entailment,entailment,1.0
539,neutral,neutral,neutral,neutral,neutral,1.0
540,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
541,neutral,neutral,neutral,neutral,neutral,1.0
542,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
543,neutral,contradiction,neutral,neutral,contradiction,0.25
544,neutral,neutral,neutral,neutral,neutral,1.0
545,neutral,neutral,neutral,neutral,contradiction,0.0
546,neutral,neutral,neutral,neutral,neutral,1.0
547,entailment,entailment,entailment,entailment,entailment,1.0
548,neutral,neutral,neutral,neutral,neutral,1.0
549,neutral,neutral,neutral,neutral,entailment,0.0
550,entailment,entailment,entailment,entailment,entailment,1.0
551,entailment,entailment,entailment,entailment,entailment,1.0
553,entailment,entailment,entailment,entailment,entailment,1.0
555,neutral,neutral,neutral,neutral,neutral,1.0
556,neutral,neutral,neutral,neutral,neutral,1.0
557,neutral,neutral,neutral,neutral,contradiction,0.0
558,neutral,neutral,neutral,neutral,neutral,1.0
559,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
560,contradiction,contradiction,contradiction,neutral,contradiction,0.75
561,entailment,entailment,entailment,entailment,entailment,1.0
562,neutral,neutral,neutral,neutral,neutral,1.0
563,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
564,contradiction,contradiction,neutral,contradiction,contradiction,0.75
565,neutral,neutral,neutral,neutral,neutral,1.0
567,entailment,entailment,entailment,neutral,entailment,0.75
568,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
569,neutral,neutral,neutral,neutral,neutral,1.0
570,neutral,neutral,neutral,neutral,contradiction,0.0
573,neutral,neutral,neutral,neutral,neutral,1.0
574,neutral,entailment,neutral,neutral,neutral,0.75
575,entailment,entailment,entailment,entailment,entailment,1.0
577,neutral,neutral,neutral,neutral,neutral,1.0
578,neutral,neutral,neutral,neutral,neutral,1.0
579,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
580,neutral,neutral,contradiction,neutral,contradiction,0.25
581,entailment,entailment,entailment,entailment,entailment,1.0
583,entailment,entailment,entailment,entailment,entailment,1.0
584,neutral,neutral,neutral,neutral,neutral,1.0
586,entailment,entailment,entailment,neutral,entailment,0.75
587,neutral,neutral,neutral,neutral,contradiction,0.0
588,entailment,neutral,entailment,neutral,neutral,0.5
589,contradiction,contradiction,neutral,contradiction,contradiction,0.75
590,neutral,neutral,neutral,neutral,neutral,1.0
591,neutral,neutral,neutral,neutral,contradiction,0.0
592,entailment,entailment,entailment,entailment,entailment,1.0
593,neutral,neutral,neutral,neutral,neutral,1.0
594,neutral,entailment,neutral,neutral,neutral,0.75
596,entailment,entailment,entailment,entailment,entailment,1.0
597,neutral,neutral,neutral,neutral,neutral,1.0
598,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
599,neutral,neutral,neutral,neutral,neutral,1.0
600,entailment,entailment,entailment,neutral,entailment,0.75
602,entailment,entailment,entailment,entailment,entailment,1.0
603,entailment,entailment,entailment,entailment,entailment,1.0
604,contradiction,contradiction,contradiction,contradiction,neutral,0.0
605,neutral,neutral,neutral,neutral,neutral,1.0
606,neutral,neutral,neutral,neutral,neutral,1.0
607,neutral,neutral,neutral,neutral,entailment,0.0
609,neutral,neutral,neutral,neutral,neutral,1.0
610,entailment,entailment,entailment,entailment,entailment,1.0
611,entailment,entailment,entailment,entailment,entailment,1.0
612,neutral,neutral,neutral,neutral,neutral,1.0
613,entailment,entailment,entailment,entailment,entailment,1.0
614,neutral,neutral,neutral,neutral,neutral,1.0
615,neutral,neutral,neutral,neutral,neutral,1.0
616,neutral,neutral,neutral,neutral,contradiction,0.0
617,neutral,neutral,neutral,neutral,neutral,1.0
618,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
619,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
620,neutral,entailment,neutral,neutral,neutral,0.75
622,entailment,entailment,entailment,entailment,entailment,1.0
623,entailment,entailment,neutral,entailment,neutral,0.25
624,neutral,neutral,neutral,neutral,neutral,1.0
625,entailment,entailment,entailment,entailment,entailment,1.0
626,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
627,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
628,neutral,neutral,neutral,neutral,neutral,1.0
629,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
631,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
632,entailment,entailment,entailment,entailment,entailment,1.0
633,entailment,neutral,entailment,entailment,neutral,0.25
634,entailment,entailment,entailment,entailment,entailment,1.0
635,entailment,entailment,entailment,entailment,entailment,1.0
636,contradiction,neutral,neutral,neutral,neutral,0.75
637,neutral,neutral,neutral,neutral,contradiction,0.0
639,neutral,neutral,neutral,neutral,neutral,1.0
640,neutral,neutral,neutral,neutral,neutral,1.0
641,entailment,entailment,entailment,entailment,entailment,1.0
642,entailment,entailment,entailment,entailment,entailment,1.0
643,neutral,neutral,neutral,neutral,neutral,1.0
644,entailment,entailment,entailment,entailment,entailment,1.0
646,entailment,entailment,entailment,entailment,entailment,1.0
647,contradiction,contradiction,contradiction,neutral,contradiction,0.75
648,contradiction,neutral,contradiction,contradiction,contradiction,0.75
649,neutral,contradiction,neutral,neutral,contradiction,0.25
650,neutral,neutral,neutral,neutral,neutral,1.0
652,neutral,neutral,neutral,neutral,neutral,1.0
