id,plaus_original,plaus_lexical,plaus_syntactic,plaus_pragmatic,Pmean
420,1,1,1,1,1.0
421,5,5,5,1,4.0
422,5,5,5,5,5.0
424,5,2,1,1,2.25
425,1,2,1,1,1.25
429,4,5,2,1,3.0
430,1,1,2,1,1.25
431,5,5,5,5,5.0
432,5,5,5,5,5.0
433,1,1,2,1,1.25
434,1,1,1,1,1.0
435,1,1,5,2,2.25
437,5,5,5,5,5.0
442,5,5,5,5,5.0
443,5,5,4,5,4.75
444,5,5,5,5,5.0
445,5,5,5,5,5.0
446,5,3,1,5,3.5
447,5,5,5,5,5.0
448,5,5,5,5,5.0
449,5,5,5,4,4.75
450,1,4,2,5,3.0
452,5,5,5,5,5.0
453,5,5,5,5,5.0
454,4,5,5,5,4.75
456,2,1,3,5,2.75
457,2,5,2,1,2.5
458,5,3,5,5,4.5
459,5,5,5,5,5.0
460,3,5,5,5,4.5
461,1,1,1,5,2.0
462,5,5,5,5,5.0
463,1,1,2,1,1.25
467,5,1,1,1,2.0
468,5,1,5,5,4.0
470,5,5,2,1,3.25
472,5,5,4,4,4.5
473,5,5,4,5,4.75
474,5,5,5,5,5.0
475,5,5,5,5,5.0
476,5,1,1,5,3.0
479,5,5,5,5,5.0
481,5,5,5,5,5.0
483,5,3,5,5,4.5
484,5,5,5,5,5.0
485,1,1,1,4,1.75
486,1,1,1,1,1.0
487,1,2,2,2,1.75
489,5,5,5,5,5.0
490,2,2,2,1,1.75
491,5,5,5,5,5.0
492,5,5,5,5,5.0
493,1,5,2,1,2.25
495,5,5,5,5,5.0
496,1,1,1,1,1.0
497,5,5,5,5,5.0
499,5,5,5,5,5.0
500,2,2,2,4,2.5
501,1,2,5,1,2.25
502,5,5,5,5,5.0
503,5,5,5,2,4.25
504,5,5,5,5,5.0
505,1,1,1,2,1.25
506,5,5,5,5,5.0
507,5,5,2,4,4.0
508,2,5,5,4,4.0
509,1,5,1,5,3.0
510,5,5,5,5,5.0
511,5,5,5,5,5.0
512,5,5,5,5,5.0
513,5,5,5,5,5.0
514,4,5,5,4,4.5
516,5,5,5,5,5.0
517,1,1,1,1,1.0
519,1,1,1,1,1.0
524,5,5,5,5,5.0
526,1,2,5,2,2.5
529,5,1,1,1,2.0
530,5,5,5,5,5.0
531,5,5,5,5,5.0
532,5,5,2,5,4.25
535,2,1,1,2,1.5
538,5,5,1,5,4.0
539,5,5,5,5,5.0
540,5,5,5,5,5.0
541,5,4,1,5,3.75
542,5,5,5,5,5.0
543,1,1,1,2,1.25
544,5,1,1,5,3.0
545,1,1,1,5,2.0
546,5,5,5,5,5.0
547,5,5,5,5,5.0
548,5,5,5,5,5.0
549,1,1,1,1,1.0
550,5,5,5,5,5.0
551,5,5,5,5,5.0
553,5,5,5,5,5.0
555,5,5,1,5,4.0
556,1,1,5,1,2.0
557,4,4,1,1,2.5
558,5,1,1,1,2.0
559,5,5,5,5,5.0
560,4,4,1,2,2.75
561,4,5,5,4,4.5
562,5,5,5,5,5.0
563,5,5,5,5,5.0
564,5,5,2,2,3.5
565,5,1,1,4,2.75
567,5,5,5,5,5.0
568,5,5,5,5,5.0
569,5,1,5,5,4.0
570,1,1,1,2,1.25
573,5,5,5,5,5.0
574,5,1,5,5,4.0
575,5,5,5,5,5.0
577,5,1,5,5,4.0
578,1,1,1,1,1.0
579,1,2,1,2,1.5
580,1,2,1,2,1.5
581,5,5,5,5,5.0
583,5,5,5,5,5.0
584,5,5,1,5,4.0
586,5,5,5,5,5.0
587,1,1,1,1,1.0
588,1,1,1,5,2.0
589,4,2,1,1,2.0
590,5,5,4,5,4.75
591,2,2,1,1,1.5
592,5,5,5,5,5.0
593,5,5,1,5,4.0
594,5,1,5,1,3.0
596,5,5,2,5,4.25
597,1,1,5,1,2.0
598,4,1,5,2,3.0
599,5,5,5,1,4.0
600,5,5,5,5,5.0
602,5,5,5,5,5.0
603,5,5,5,5,5.0
604,2,1,2,2,1.75
605,5,5,5,1,4.0
606,1,1,1,1,1.0
607,2,1,1,1,1.25
609,5,1,5,5,4.0
610,5,5,5,5,5.0
611,5,5,5,5,5.0
612,5,5,5,5,5.0
613,5,5,5,5,5.0
614,5,5,5,5,5.0
615,5,5,5,5,5.0
616,2,1,2,1,1.5
617,5,5,5,5,5.0
618,1,1,1,1,1.0
619,4,5,5,1,3.75
620,1,1,1,1,1.0
622,5,5,5,5,5.0
623,1,1,1,2,1.25
624,4,5,1,5,3.75
625,5,5,1,1,3.0
626,5,5,5,5,5.0
627,1,5,1,1,2.0
628,5,5,5,5,5.0
629,1,2,1,1,1.25
631,2,1,5,1,2.25
632,4,4,2,5,3.75
633,1,1,1,1,1.0
634,5,5,5,5,5.0
635,5,5,5,5,5.0
636,5,5,4,4,4.5
637,1,1,1,2,1.25
639,1,1,1,1,1.0
640,5,1,4,5,3.75
641,5,5,5,5,5.0
642,5,5,5,4,4.75
643,1,5,5,1,3.0
644,5,5,5,5,5.0
646,5,5,5,4,4.75
647,1,1,1,1,1.0
648,1,2,5,5,3.25
649,4,2,1,1,2.0
650,5,5,5,5,5.0
652,1,1,2,1,1.25
654,5,5,5,5,5.0
655,5,5,5,5,5.0
656,1,5,5,1,3.0
657,5,5,5,5,5.0
659,2,5,1,5,3.25
660,1,2,2,1,1.5
661,3,1,4,5,3.25
662,5,5,5,5,5.0
664,5,5,5,5,5.0
665,2,1,2,1,1.5
666,5,5,5,5,5.0
667,5,5,1,5,4.0
668,3,5,4,2,3.5
670,4,5,5,5,4.75
671,2,2,1,2,1.75
672,5,5,5,5,5.0
673,5,5,5,5,5.0
674,5,5,4,5,4.75
676,1,1,5,5,3.0
677,1,1,1,1,1.0
679,5,5,1,1,3.0
680,5,4,5,5,4.75
681,4,2,1,1,2.0
683,4,5,4,5,4.5
684,2,5,2,1,2.5
685,5,5,5,5,5.0
689,5,1,5,5,4.0
691,5,5,5,5,5.0
692,1,1,2,2,1.5
693,1,5,1,1,2.0
694,2,1,2,1,1.5
695,5,5,5,5,5.0
697,5,4,5,5,4.75
698,5,5,5,5,5.0
699,5,5,5,5,5.0
700,1,1,1,1,1.0
701,5,5,5,2,4.25
702,5,5,5,5,5.0
703,1,1,2,2,1.5
704,2,5,1,5,3.25
705,5,4,4,4,4.25
706,5,1,1,5,3.0
707,5,1,5,1,3.0
708,1,5,5,5,4.0
709,5,5,5,5,5.0
711,1,5,1,1,2.0
712,5,5,5,5,5.0
713,1,1,1,5,2.0
714,5,5,4,5,4.75
715,5,1,5,1,3.0
718,1,5,5,5,4.0
719,5,5,5,5,5.0
720,1,5,1,1,2.0
721,5,5,5,5,5.0
722,5,5,5,5,5.0
723,5,5,5,5,5.0
724,5,4,5,4,4.5
725,5,1,1,5,3.0
726,5,2,5,1,3.25
727,1,1,2,1,1.25
728,1,1,1,1,1.0
729,1,5,5,5,4.0
731,5,2,4,5,4.0
733,4,5,5,5,4.75
734,1,1,1,1,1.0
736,5,5,3,5,4.5
737,1,5,1,5,3.0
738,5,5,5,5,5.0
740,1,1,1,1,1.0
741,5,5,5,2,4.25
742,3,2,2,2,2.25
743,5,1,5,5,4.0
744,1,1,1,1,1.0
745,5,5,5,5,5.0
746,5,5,5,5,5.0
747,1,2,2,2,1.75
748,5,5,5,5,5.0
749,5,5,5,5,5.0
751,3,1,2,5,2.75
752,5,5,5,5,5.0
753,5,5,5,5,5.0
754,5,5,2,5,4.25
755,5,5,5,5,5.0
757,1,1,2,1,1.25
759,1,1,2,1,1.25
760,5,5,5,5,5.0
761,1,1,1,4,1.75
762,5,1,5,5,4.0
763,2,2,3,4,2.75
764,5,5,5,5,5.0
765,2,5,1,4,3.0
767,2,5,1,5,3.25
768,5,5,5,5,5.0
769,1,1,1,1,1.0
770,5,5,5,5,5.0
771,5,5,2,5,4.25
772,5,5,5,5,5.0
774,1,1,1,2,1.25
775,5,2,1,1,2.25
776,1,2,2,2,1.75
777,1,1,1,1,1.0
779,5,5,5,5,5.0
780,5,5,5,5,5.0
781,5,5,5,5,5.0
782,5,5,5,5,5.0
784,5,1,5,1,3.0
786,5,5,5,5,5.0
790,5,5,5,5,5.0
793,5,5,5,5,5.0
794,5,5,4,4,4.5
795,1,1,1,1,1.0
796,4,5,5,5,4.75
797,5,5,4,5,4.75
798,5,5,5,5,5.0
799,5,3,1,1,2.5
800,5,5,5,5,5.0
