id,plaus_original,plaus_pert1,plaus_pert2,plaus_pert3,Pmean
200,5,5,5,5,5.0
202,5,5,5,5,5.0
204,5,5,5,5,5.0
205,5,5,5,5,5.0
206,5,5,5,5,5.0
207,5,5,5,5,5.0
208,5,5,5,5,5.0
209,5,5,5,5,5.0
210,5,5,5,5,5.0
211,5,5,5,5,5.0
212,1,1,1,1,1.0
213,5,5,5,5,5.0
214,5,5,5,5,5.0
215,5,5,5,5,5.0
217,5,5,5,5,5.0
218,1,1,1,1,1.0
219,1,1,1,2,1.25
220,5,5,5,5,5.0
223,5,5,5,5,5.0
224,1,1,1,1,1.0
225,5,5,5,5,5.0
227,5,5,5,5,5.0
228,5,5,5,5,5.0
229,5,5,5,5,5.0
230,2,1,1,5,2.25
231,5,5,5,5,5.0
232,5,5,5,5,5.0
234,5,5,5,5,5.0
235,5,5,5,5,5.0
236,5,5,5,5,5.0
237,5,5,5,5,5.0
238,5,5,5,5,5.0
242,5,5,5,5,5.0
243,1,1,1,1,1.0
245,5,5,5,5,5.0
247,5,5,5,5,5.0
249,5,5,5,5,5.0
250,1,1,2,2,1.5
251,5,5,5,5,5.0
252,5,5,5,5,5.0
253,5,5,5,5,5.0
255,1,1,1,1,1.0
256,5,5,5,5,5.0
258,5,5,5,5,5.0
259,5,5,5,5,5.0
260,5,5,5,5,5.0
261,5,5,5,5,5.0
262,5,5,5,5,5.0
263,5,2,1,1,2.25
264,5,5,5,5,5.0
265,5,5,5,5,5.0
267,5,5,5,5,5.0
269,1,1,1,1,1.0
270,5,5,5,5,5.0
271,1,1,1,2,1.25
272,5,5,5,5,5.0
274,5,5,5,5,5.0
275,5,5,5,5,5.0
276,1,2,1,1,1.25
277,5,5,5,5,5.0
279,5,5,5,5,5.0
280,5,5,5,5,5.0
281,5,5,5,5,5.0
282,5,5,5,5,5.0
284,5,5,5,5,5.0
285,5,5,5,5,5.0
286,5,5,5,5,5.0
288,5,5,5,5,5.0
289,5,5,5,5,5.0
290,1,1,1,2,1.25
291,5,5,5,5,5.0
294,1,1,1,1,1.0
295,5,5,5,5,5.0
297,5,5,5,5,5.0
298,5,5,5,5,5.0
299,5,5,5,5,5.0
300,5,5,5,5,5.0
301,1,2,1,1,1.25
302,1,1,1,1,1.0
305,5,5,5,5,5.0
306,5,5,5,5,5.0
307,5,5,5,5,5.0
308,1,1,1,1,1.0
310,1,1,1,1,1.0
311,5,5,5,5,5.0
312,1,5,5,2,3.25
314,4,4,5,5,4.5
315,1,1,1,2,1.25
316,5,5,5,5,5.0
318,5,5,5,5,5.0
319,5,5,5,5,5.0
320,5,5,5,5,5.0
321,5,5,5,5,5.0
322,5,1,5,5,4.0
323,1,1,1,1,1.0
324,1,1,1,1,1.0
326,5,5,5,5,5.0
327,5,5,5,5,5.0
328,5,5,5,5,5.0
329,5,5,5,5,5.0
330,5,5,5,5,5.0
332,5,5,5,5,5.0
333,5,5,5,5,5.0
334,1,1,1,1,1.0
335,1,1,1,1,1.0
337,1,1,1,1,1.0
338,5,5,5,5,5.0
339,5,5,5,5,5.0
340,5,5,5,5,5.0
341,5,5,5,5,5.0
342,1,1,2,1,1.25
343,5,5,5,5,5.0
345,5,5,5,5,5.0
346,5,5,5,5,5.0
347,5,5,5,5,5.0
348,4,2,1,1,2.0
349,5,5,5,5,5.0
351,5,5,5,5,5.0
352,1,2,1,2,1.5
353,1,1,1,1,1.0
355,5,5,5,5,5.0
356,5,5,5,5,5.0
357,5,5,5,5,5.0
358,1,1,1,1,1.0
360,1,1,1,1,1.0
361,5,5,5,5,5.0
362,5,5,5,5,5.0
365,5,5,5,5,5.0
366,5,5,5,5,5.0
367,5,5,5,5,5.0
368,5,5,5,5,5.0
369,5,5,5,5,5.0
370,5,5,5,5,5.0
371,5,5,5,5,5.0
372,5,5,5,5,5.0
373,5,5,5,5,5.0
374,5,5,5,5,5.0
375,1,1,1,2,1.25
376,2,5,5,2,3.5
377,5,5,5,5,5.0
378,5,5,5,5,5.0
379,5,5,5,5,5.0
381,5,5,5,5,5.0
382,5,5,5,5,5.0
383,5,5,5,5,5.0
384,5,5,5,5,5.0
385,5,5,5,5,5.0
386,5,5,5,5,5.0
387,5,5,5,5,5.0
388,5,5,5,5,5.0
389,5,5,5,5,5.0
390,5,5,5,5,5.0
393,5,5,5,5,5.0
394,5,5,5,5,5.0
395,5,5,5,5,5.0
397,5,5,5,5,5.0
399,5,5,5,5,5.0
400,1,1,1,1,1.0
401,5,5,5,5,5.0
402,5,5,5,5,5.0
403,1,1,1,1,1.0
404,5,5,5,5,5.0
405,1,1,1,1,1.0
407,5,5,5,5,5.0
409,5,5,5,5,5.0
410,5,5,5,5,5.0
411,5,5,5,5,5.0
412,5,5,5,5,5.0
413,5,5,5,5,5.0
414,1,1,1,1,1.0
415,5,5,5,5,5.0
416,1,1,1,1,1.0
417,5,5,5,5,5.0
420,5,5,1,5,4.0
421,5,5,5,5,5.0
422,5,5,5,5,5.0
424,2,4,1,1,2.0
425,2,1,1,1,1.25
429,5,5,5,5,5.0
430,1,1,4,1,1.75
431,5,5,5,5,5.0
432,5,5,5,5,5.0
433,1,1,1,1,1.0
434,1,1,1,1,1.0
435,5,5,5,5,5.0
437,5,5,5,5,5.0
442,5,5,5,5,5.0
443,5,5,5,5,5.0
444,5,5,5,5,5.0
445,5,5,5,5,5.0
446,1,1,1,1,1.0
447,5,5,5,5,5.0
448,1,5,5,1,3.0
449,5,5,5,5,5.0
450,5,5,5,5,5.0
452,5,5,5,5,5.0
453,5,5,5,5,5.0
454,5,5,5,5,5.0
456,5,5,5,5,5.0
457,1,1,2,1,1.25
458,5,5,5,5,5.0
459,5,5,5,5,5.0
460,5,5,5,5,5.0
461,5,5,5,5,5.0
462,5,5,5,5,5.0
463,2,1,1,1,1.25
467,5,5,5,5,5.0
468,5,5,5,5,5.0
470,5,5,5,5,5.0
472,5,5,5,5,5.0
473,5,5,5,5,5.0
474,5,5,5,5,5.0
475,5,5,5,5,5.0
476,5,5,5,5,5.0
479,5,5,5,5,5.0
481,5,5,5,5,5.0
483,5,5,5,5,5.0
484,5,5,5,5,5.0
485,5,5,5,5,5.0
486,5,5,5,5,5.0
487,5,5,1,1,3.0
489,5,5,5,5,5.0
490,1,1,1,1,1.0
491,5,5,5,5,5.0
492,5,5,5,5,5.0
493,5,5,5,1,4.0
495,5,5,5,5,5.0
496,1,1,1,2,1.25
497,5,5,5,5,5.0
499,5,5,5,5,5.0
500,1,1,1,2,1.25
501,5,5,5,5,5.0
502,5,5,5,5,5.0
503,5,5,5,5,5.0
504,5,5,5,5,5.0
505,1,2,1,2,1.5
506,5,5,5,5,5.0
507,5,5,5,5,5.0
508,1,1,1,1,1.0
509,5,5,5,5,5.0
510,5,5,5,5,5.0
511,5,5,5,5,5.0
512,5,5,5,5,5.0
513,5,5,5,5,5.0
514,5,5,5,5,5.0
516,5,5,5,5,5.0
517,1,1,1,1,1.0
519,5,5,5,5,5.0
524,5,5,5,5,5.0
526,1,1,1,1,1.0
529,5,5,5,5,5.0
530,5,5,5,5,5.0
531,5,5,5,5,5.0
532,5,5,5,5,5.0
535,1,2,2,1,1.5
538,5,5,5,5,5.0
539,5,5,5,5,5.0
540,5,5,5,5,5.0
541,5,5,5,5,5.0
542,5,5,5,5,5.0
543,1,1,1,1,1.0
544,5,5,5,5,5.0
545,1,2,1,2,1.5
546,5,5,5,5,5.0
547,5,5,5,5,5.0
548,5,5,5,5,5.0
549,1,1,1,1,1.0
550,5,5,5,5,5.0
551,5,5,5,5,5.0
553,5,5,5,5,5.0
555,5,5,5,5,5.0
556,5,5,5,5,5.0
557,1,1,1,1,1.0
558,5,5,5,5,5.0
559,5,5,5,5,5.0
560,5,5,5,5,5.0
561,5,5,5,5,5.0
562,5,5,5,5,5.0
563,5,5,5,5,5.0
564,5,5,5,5,5.0
565,5,5,5,5,5.0
567,5,5,5,5,5.0
568,5,5,5,5,5.0
569,5,5,5,5,5.0
570,1,1,1,1,1.0
573,5,5,5,5,5.0
574,5,5,5,5,5.0
575,5,5,5,5,5.0
577,5,5,5,5,5.0
578,5,5,5,5,5.0
579,5,5,5,5,5.0
580,1,1,1,1,1.0
581,5,5,5,5,5.0
583,5,5,5,5,5.0
584,5,5,5,5,5.0
586,5,5,5,5,5.0
587,1,1,1,1,1.0
588,5,5,5,5,5.0
589,5,5,5,5,5.0
590,5,5,5,5,5.0
591,2,5,1,1,2.25
592,5,5,5,5,5.0
593,5,5,5,5,5.0
594,5,5,5,5,5.0
596,5,5,5,5,5.0
597,5,5,5,5,5.0
598,5,5,5,5,5.0
599,5,5,5,5,5.0
600,5,5,5,5,5.0
602,5,5,5,5,5.0
603,5,5,5,5,5.0
604,1,1,1,2,1.25
605,5,5,5,5,5.0
606,5,5,5,5,5.0
607,1,1,1,1,1.0
609,5,5,5,5,5.0
610,5,5,5,5,5.0
611,5,5,5,5,5.0
612,5,5,5,5,5.0
613,5,5,5,5,5.0
614,5,5,5,5,5.0
615,5,5,5,5,5.0
616,1,1,1,1,1.0
617,5,5,5,5,5.0
618,5,5,5,5,5.0
619,5,5,5,5,5.0
620,5,5,5,5,5.0
622,5,5,5,5,5.0
623,5,5,5,5,5.0
624,5,5,5,5,5.0
625,5,5,5,5,5.0
626,5,5,5,5,5.0
627,5,5,5,5,5.0
628,5,5,5,5,5.0
629,4,1,1,2,2.0
631,5,5,5,5,5.0
632,1,1,1,1,1.0
633,5,5,5,5,5.0
634,5,5,5,5,5.0
635,5,5,5,5,5.0
636,5,5,5,5,5.0
637,1,1,1,1,1.0
639,5,5,5,5,5.0
640,5,5,5,5,5.0
641,5,5,5,5,5.0
642,5,5,5,5,5.0
643,5,5,5,5,5.0
644,5,5,5,5,5.0
646,5,5,5,5,5.0
647,1,1,1,1,1.0
648,5,5,5,5,5.0
649,1,1,1,2,1.25
650,5,5,5,5,5.0
652,5,5,5,5,5.0
654,5,5,5,5,5.0
655,5,5,5,5,5.0
656,1,5,5,2,3.25
657,5,5,5,5,5.0
659,1,1,1,1,1.0
660,1,1,1,1,1.0
661,1,1,1,2,1.25
662,5,5,5,5,5.0
664,5,5,5,5,5.0
665,1,1,1,1,1.0
666,5,5,5,5,5.0
667,5,5,5,5,5.0
668,5,5,5,5,5.0
670,1,5,1,1,2.0
671,1,1,1,1,1.0
672,5,5,5,5,5.0
673,5,5,5,5,5.0
674,5,5,5,5,5.0
676,5,5,5,5,5.0
677,5,5,5,5,5.0
679,5,5,5,5,5.0
680,5,5,5,5,5.0
681,1,2,1,2,1.5
683,5,5,5,5,5.0
684,5,5,5,5,5.0
685,5,5,5,5,5.0
689,5,5,5,5,5.0
691,5,5,5,5,5.0
692,1,1,1,1,1.0
693,5,5,5,5,5.0
694,1,1,1,1,1.0
695,5,5,5,5,5.0
697,5,5,5,5,5.0
698,5,5,5,5,5.0
699,5,5,5,5,5.0
700,5,5,5,5,5.0
701,5,5,5,5,5.0
702,5,5,5,5,5.0
703,1,1,1,1,1.0
704,5,5,5,5,5.0
705,5,5,5,5,5.0
706,5,5,5,5,5.0
707,5,5,5,5,5.0
708,5,5,5,5,5.0
709,5,5,5,5,5.0
711,1,1,1,1,1.0
712,5,5,5,5,5.0
713,5,5,5,5,5.0
714,5,5,5,5,5.0
715,5,5,5,5,5.0
718,5,5,5,5,5.0
719,5,5,5,5,5.0
720,5,5,5,5,5.0
721,5,5,5,5,5.0
722,5,5,5,5,5.0
723,5,5,5,5,5.0
724,5,5,5,5,5.0
725,5,5,5,5,5.0
726,5,5,5,3,4.5
727,1,1,1,1,1.0
728,2,2,5,2,2.75
729,5,5,5,5,5.0
731,5,5,5,5,5.0
733,5,5,5,5,5.0
734,5,5,5,5,5.0
736,5,5,5,5,5.0
737,5,5,5,5,5.0
738,5,5,5,5,5.0
740,1,1,1,1,1.0
741,5,5,5,5,5.0
742,1,1,1,1,1.0
743,5,5,5,5,5.0
744,1,1,1,1,1.0
745,5,5,5,5,5.0
746,5,5,5,5,5.0
747,1,1,1,1,1.0
748,5,5,5,5,5.0
749,5,5,5,5,5.0
751,5,5,5,5,5.0
752,5,5,5,5,5.0
753,5,5,5,5,5.0
754,5,5,5,5,5.0
755,5,5,5,5,5.0
757,1,1,1,2,1.25
759,1,1,1,1,1.0
760,5,5,5,5,5.0
761,1,1,1,1,1.0
762,5,5,5,5,5.0
763,5,1,1,1,2.0
764,5,5,5,5,5.0
765,5,5,5,5,5.0
767,5,5,5,5,5.0
768,5,5,5,5,5.0
769,5,5,5,5,5.0
770,5,5,5,5,5.0
771,5,5,5,5,5.0
772,5,5,5,5,5.0
774,1,1,1,1,1.0
775,1,1,1,1,1.0
776,1,1,1,1,1.0
777,5,5,5,5,5.0
779,5,5,5,5,5.0
780,5,5,5,5,5.0
781,5,5,5,5,5.0
782,5,5,5,5,5.0
784,5,5,5,5,5.0
786,5,5,5,5,5.0
790,5,5,5,5,5.0
793,5,5,5,5,5.0
794,5,5,5,5,5.0
795,1,1,1,1,1.0
796,5,5,5,5,5.0
797,5,5,5,5,5.0
798,5,5,5,5,5.0
799,5,5,5,5,5.0
800,5,5,5,5,5.0
