id,gold_label,pred_original_base,pred_original_nec,pred_original_nec_ctrl,pred_original_suff,pred_original_suff_ctrl,coverage_original,score_original_nec_flip,score_original_nec_ctrl_flip,score_original_suff_stay,score_original_suff_ctrl_stay,pred_lexical_base,pred_lexical_nec,pred_lexical_nec_ctrl,pred_lexical_suff,pred_lexical_suff_ctrl,coverage_lexical,score_lexical_nec_flip,score_lexical_nec_ctrl_flip,score_lexical_suff_stay,score_lexical_suff_ctrl_stay,pred_syntactic_base,pred_syntactic_nec,pred_syntactic_nec_ctrl,pred_syntactic_suff,pred_syntactic_suff_ctrl,coverage_syntactic,score_syntactic_nec_flip,score_syntactic_nec_ctrl_flip,score_syntactic_suff_stay,score_syntactic_suff_ctrl_stay,pred_pragmatic_base,pred_pragmatic_nec,pred_pragmatic_nec_ctrl,pred_pragmatic_suff,pred_pragmatic_suff_ctrl,coverage_pragmatic,score_pragmatic_nec_flip,score_pragmatic_nec_ctrl_flip,score_pragmatic_suff_stay,score_pragmatic_suff_ctrl_stay
25,contradiction,neutral,neutral,neutral,neutral,neutral,0.6000,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.5000,0,0,1,1,neutral,neutral,neutral,unknown,neutral,0.0000,0,0,0,1,neutral,neutral,neutral,neutral,neutral,0.5000,0,0,1,1
26,neutral,neutral,neutral,neutral,unknown,neutral,0.6154,0,0,0,1,neutral,unknown,neutral,neutral,neutral,0.6154,0,0,1,1,neutral,entailment,unknown,unknown,neutral,0.6154,1,0,0,1,neutral,neutral,unknown,neutral,unknown,0.6154,0,0,1,0
27,contradiction,neutral,neutral,neutral,contradiction,contradiction,0.1111,0,0,0,0,neutral,neutral,neutral,neutral,neutral,0.4444,0,0,1,1,neutral,neutral,neutral,contradiction,neutral,0.2222,0,0,0,1,contradiction,entailment,neutral,neutral,neutral,0.5556,1,1,0,0
28,neutral,entailment,neutral,neutral,entailment,contradiction,0.3750,1,1,1,0,entailment,neutral,entailment,entailment,neutral,0.3750,1,0,1,0,entailment,neutral,entailment,entailment,neutral,0.3750,1,0,1,0,entailment,neutral,neutral,neutral,unknown,0.4375,1,1,0,0
29,entailment,entailment,neutral,unknown,unknown,neutral,0.4286,1,0,0,0,entailment,unknown,unknown,entailment,entailment,0.6667,0,0,1,1,entailment,neutral,entailment,neutral,neutral,0.5714,1,0,0,0,entailment,neutral,entailment,neutral,neutral,0.5714,1,0,0,0
30,neutral,neutral,neutral,neutral,neutral,neutral,0.6667,0,0,1,1,entailment,neutral,neutral,neutral,entailment,0.3333,1,1,0,1,entailment,neutral,entailment,entailment,neutral,0.8333,1,0,1,0,neutral,neutral,neutral,neutral,neutral,0.5000,0,0,1,1
31,contradiction,neutral,neutral,unknown,neutral,neutral,0.8571,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.8571,0,0,1,1,neutral,neutral,contradiction,neutral,neutral,0.8571,0,1,1,1,neutral,neutral,neutral,neutral,neutral,0.8571,0,0,1,1
32,neutral,entailment,neutral,entailment,entailment,neutral,0.3846,1,0,1,0,entailment,neutral,entailment,neutral,unknown,0.3077,1,0,0,0,entailment,neutral,entailment,entailment,neutral,0.5385,1,0,1,0,entailment,unknown,entailment,entailment,entailment,0.9231,0,0,1,1
33,neutral,neutral,neutral,unknown,neutral,neutral,0.4706,0,0,1,1,entailment,unknown,neutral,neutral,neutral,0.6471,0,1,0,0,neutral,neutral,contradiction,neutral,neutral,0.8235,0,1,1,1,neutral,neutral,neutral,neutral,neutral,0.4706,0,0,1,1
34,neutral,neutral,neutral,neutral,neutral,neutral,0.6364,0,0,1,1,neutral,neutral,contradiction,neutral,contradiction,0.9091,0,1,1,0,entailment,contradiction,contradiction,unknown,contradiction,1.0000,1,1,0,0,neutral,unknown,entailment,entailment,unknown,0.8182,0,1,0,0
35,contradiction,contradiction,neutral,contradiction,contradiction,neutral,0.6667,1,0,1,0,contradiction,contradiction,contradiction,contradiction,neutral,0.6667,0,0,1,0,contradiction,neutral,neutral,neutral,unknown,0.6667,1,1,0,0,contradiction,neutral,contradiction,contradiction,neutral,0.6667,1,0,1,0
36,entailment,entailment,contradiction,neutral,entailment,neutral,0.0750,1,1,1,0,entailment,neutral,entailment,entailment,neutral,0.0500,1,0,1,0,entailment,unknown,entailment,entailment,neutral,0.0500,0,0,1,0,entailment,neutral,entailment,entailment,entailment,0.1250,1,0,1,1
37,neutral,neutral,neutral,contradiction,contradiction,neutral,0.3889,0,1,0,1,neutral,neutral,neutral,neutral,contradiction,0.8889,0,0,1,0,contradiction,neutral,neutral,neutral,neutral,0.1667,1,1,0,0,neutral,neutral,neutral,entailment,neutral,0.3333,0,0,0,1
38,neutral,neutral,unknown,unknown,unknown,unknown,0.8182,0,0,0,0,entailment,neutral,entailment,neutral,unknown,0.5455,1,0,0,0,neutral,unknown,neutral,neutral,unknown,0.9091,0,0,1,0,entailment,neutral,unknown,neutral,neutral,0.6364,1,0,0,0
39,contradiction,neutral,neutral,neutral,neutral,neutral,0.6000,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.9333,0,0,1,1,neutral,neutral,neutral,neutral,unknown,1.0000,0,0,1,0,contradiction,neutral,neutral,neutral,neutral,1.0000,1,1,0,0
41,neutral,neutral,neutral,neutral,unknown,neutral,0.1667,0,0,0,1,neutral,neutral,neutral,neutral,neutral,0.1667,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.0833,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.2500,0,0,1,1
42,neutral,entailment,neutral,entailment,entailment,neutral,0.7692,1,0,1,0,entailment,unknown,entailment,entailment,neutral,0.7692,0,0,1,0,entailment,neutral,entailment,entailment,neutral,0.7692,1,0,1,0,entailment,neutral,neutral,neutral,neutral,0.7692,1,1,0,0
44,entailment,entailment,neutral,neutral,neutral,neutral,0.5000,1,1,0,0,entailment,unknown,neutral,neutral,neutral,0.8333,0,1,0,0,entailment,neutral,entailment,entailment,entailment,0.8333,1,0,1,1,entailment,neutral,entailment,entailment,unknown,0.8333,1,0,1,0
45,entailment,neutral,neutral,neutral,neutral,entailment,0.1053,0,0,1,0,entailment,neutral,neutral,neutral,neutral,0.2105,1,1,0,0,entailment,neutral,entailment,entailment,unknown,0.2105,1,0,1,0,entailment,neutral,neutral,entailment,neutral,0.2105,1,1,1,0
46,neutral,neutral,neutral,neutral,neutral,neutral,0.4000,0,0,1,1,neutral,neutral,neutral,contradiction,neutral,0.0000,0,0,0,1,neutral,unknown,neutral,neutral,unknown,0.1000,0,0,1,0,neutral,neutral,neutral,neutral,neutral,0.0000,0,0,1,1
48,contradiction,neutral,contradiction,neutral,neutral,contradiction,0.2222,1,0,1,0,neutral,entailment,neutral,unknown,neutral,0.3333,1,0,0,1,neutral,neutral,contradiction,neutral,neutral,0.6667,0,1,1,1,contradiction,neutral,contradiction,neutral,contradiction,0.6111,1,0,0,1
50,entailment,entailment,entailment,entailment,entailment,entailment,0.4000,0,0,1,1,entailment,entailment,entailment,neutral,neutral,0.1000,0,0,0,0,entailment,unknown,entailment,entailment,entailment,0.6000,0,0,1,1,entailment,neutral,entailment,entailment,entailment,0.4000,1,0,1,1
51,entailment,entailment,contradiction,neutral,neutral,neutral,1.0000,1,1,0,0,entailment,entailment,neutral,neutral,neutral,0.8333,0,1,0,0,entailment,neutral,neutral,entailment,entailment,1.0000,1,1,1,1,neutral,neutral,entailment,unknown,contradiction,1.0000,0,1,0,0
52,contradiction,contradiction,neutral,contradiction,neutral,neutral,0.6667,1,0,0,0,contradiction,contradiction,contradiction,unknown,contradiction,0.2500,0,0,0,1,neutral,neutral,neutral,unknown,contradiction,0.8333,0,0,0,0,contradiction,neutral,neutral,unknown,unknown,0.5000,1,1,0,0
53,entailment,entailment,neutral,entailment,neutral,neutral,0.4000,1,0,0,0,entailment,neutral,entailment,entailment,neutral,0.4000,1,0,1,0,entailment,neutral,entailment,entailment,neutral,0.5000,1,0,1,0,entailment,neutral,entailment,entailment,entailment,0.4000,1,0,1,1
54,entailment,entailment,unknown,neutral,neutral,unknown,0.7500,0,1,0,0,entailment,neutral,entailment,entailment,neutral,0.7500,1,0,1,0,entailment,neutral,entailment,entailment,neutral,0.5000,1,0,1,0,entailment,neutral,neutral,entailment,neutral,0.6250,1,1,1,0
55,entailment,entailment,neutral,entailment,entailment,neutral,0.3750,1,0,1,0,entailment,neutral,entailment,entailment,neutral,0.6250,1,0,1,0,entailment,neutral,entailment,entailment,neutral,0.3750,1,0,1,0,entailment,neutral,entailment,entailment,neutral,0.3750,1,0,1,0
56,neutral,neutral,neutral,unknown,unknown,neutral,0.1538,0,0,0,1,neutral,neutral,unknown,unknown,neutral,0.3077,0,0,0,1,neutral,neutral,unknown,contradiction,neutral,0.3077,0,0,0,1,neutral,neutral,unknown,neutral,neutral,0.1538,0,0,1,1
58,entailment,entailment,neutral,neutral,unknown,neutral,0.4667,1,1,0,0,entailment,unknown,entailment,entailment,entailment,0.8000,0,0,1,1,neutral,neutral,contradiction,neutral,neutral,0.4667,0,1,1,1,entailment,neutral,entailment,entailment,neutral,0.9333,1,0,1,0
59,contradiction,neutral,neutral,neutral,neutral,neutral,0.2308,0,0,1,1,neutral,neutral,contradiction,neutral,neutral,0.6154,0,1,1,1,neutral,unknown,neutral,neutral,neutral,0.5385,0,0,1,1,neutral,neutral,unknown,neutral,neutral,0.6154,0,0,1,1
63,neutral,neutral,neutral,unknown,neutral,neutral,0.1333,0,0,1,1,entailment,neutral,neutral,unknown,neutral,0.4000,1,1,0,0,neutral,neutral,contradiction,neutral,neutral,0.9333,0,1,1,1,contradiction,neutral,neutral,neutral,neutral,0.2667,1,1,0,0
64,neutral,neutral,neutral,neutral,neutral,unknown,0.3333,0,0,1,0,neutral,neutral,neutral,neutral,unknown,0.1667,0,0,1,0,neutral,neutral,neutral,neutral,entailment,0.1667,0,0,1,0,neutral,neutral,neutral,neutral,unknown,0.1667,0,0,1,0
65,entailment,entailment,neutral,neutral,neutral,neutral,0.4545,1,1,0,0,entailment,neutral,entailment,contradiction,entailment,0.6364,1,0,0,1,entailment,neutral,entailment,neutral,neutral,0.3636,1,0,0,0,entailment,unknown,entailment,neutral,neutral,0.3636,0,0,0,0
66,neutral,entailment,neutral,unknown,neutral,neutral,0.4444,1,0,0,0,neutral,neutral,neutral,neutral,neutral,0.3333,0,0,1,1,entailment,neutral,neutral,contradiction,neutral,0.3333,1,1,0,0,entailment,neutral,neutral,unknown,neutral,0.3333,1,1,0,0
67,neutral,neutral,neutral,neutral,unknown,neutral,0.7778,0,0,0,1,entailment,neutral,unknown,unknown,neutral,0.7778,1,0,0,0,entailment,neutral,unknown,neutral,neutral,0.7778,1,0,0,0,entailment,neutral,neutral,neutral,unknown,0.4444,1,1,0,0
68,entailment,entailment,neutral,neutral,entailment,neutral,0.3333,1,1,1,0,entailment,neutral,entailment,neutral,neutral,0.3333,1,0,0,0,entailment,neutral,entailment,entailment,entailment,0.3333,1,0,1,1,entailment,neutral,entailment,entailment,neutral,0.3333,1,0,1,0
69,entailment,entailment,neutral,entailment,entailment,unknown,0.2800,1,0,1,0,entailment,neutral,entailment,entailment,entailment,0.6000,1,0,1,1,entailment,neutral,entailment,entailment,entailment,0.8400,1,0,1,1,entailment,unknown,entailment,entailment,entailment,0.6400,0,0,1,1
70,neutral,neutral,neutral,neutral,contradiction,neutral,0.2222,0,0,0,1,neutral,neutral,neutral,contradiction,neutral,0.2222,0,0,0,1,neutral,unknown,neutral,neutral,neutral,0.2222,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.2222,0,0,1,1
71,contradiction,neutral,neutral,neutral,contradiction,neutral,0.6250,0,0,0,1,contradiction,entailment,neutral,neutral,neutral,0.5000,1,1,0,0,neutral,neutral,neutral,neutral,neutral,0.6250,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.6250,0,0,1,1
74,contradiction,neutral,unknown,neutral,neutral,neutral,0.4286,0,0,1,1,neutral,neutral,neutral,unknown,neutral,0.2857,0,0,0,1,neutral,neutral,neutral,neutral,neutral,0.2857,0,0,1,1,neutral,neutral,neutral,contradiction,unknown,0.2857,0,0,0,0
75,neutral,contradiction,neutral,neutral,neutral,neutral,0.2632,1,1,0,0,neutral,neutral,neutral,neutral,neutral,0.2105,0,0,1,1,contradiction,neutral,neutral,neutral,neutral,0.4737,1,1,0,0,neutral,neutral,neutral,neutral,neutral,0.3684,0,0,1,1
77,entailment,entailment,entailment,entailment,neutral,unknown,0.1111,0,0,0,0,entailment,neutral,entailment,entailment,entailment,0.1111,1,0,1,1,entailment,neutral,entailment,entailment,neutral,0.1111,1,0,1,0,entailment,neutral,entailment,unknown,entailment,0.1111,1,0,0,1
78,neutral,entailment,neutral,neutral,entailment,neutral,0.2222,1,1,1,0,entailment,neutral,entailment,neutral,neutral,0.3333,1,0,0,0,entailment,neutral,neutral,entailment,neutral,0.2222,1,1,1,0,entailment,unknown,entailment,neutral,neutral,0.5556,0,0,0,0
79,contradiction,neutral,neutral,neutral,neutral,neutral,0.4444,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.4444,0,0,1,1,contradiction,neutral,neutral,neutral,neutral,0.4444,1,1,0,0,neutral,neutral,neutral,neutral,neutral,0.3333,0,0,1,1
80,contradiction,neutral,neutral,neutral,unknown,neutral,0.5238,0,0,0,1,neutral,neutral,neutral,unknown,neutral,0.3810,0,0,0,1,neutral,neutral,neutral,neutral,unknown,0.2381,0,0,1,0,neutral,neutral,neutral,neutral,neutral,0.6667,0,0,1,1
81,entailment,entailment,entailment,entailment,entailment,neutral,0.2222,0,0,1,0,entailment,neutral,entailment,entailment,neutral,0.1111,1,0,1,0,entailment,neutral,entailment,entailment,neutral,0.2222,1,0,1,0,entailment,neutral,entailment,entailment,neutral,0.4444,1,0,1,0
82,neutral,neutral,neutral,unknown,unknown,neutral,0.7000,0,0,0,1,neutral,neutral,unknown,unknown,unknown,1.0000,0,0,0,0,neutral,neutral,unknown,unknown,neutral,0.7000,0,0,0,1,neutral,neutral,unknown,unknown,neutral,0.7000,0,0,0,1
83,contradiction,neutral,entailment,neutral,neutral,neutral,0.8571,1,0,1,1,neutral,neutral,neutral,neutral,neutral,0.8571,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.8571,0,0,1,1,neutral,neutral,neutral,neutral,contradiction,0.8571,0,0,1,0
84,entailment,entailment,neutral,entailment,entailment,neutral,0.8000,1,0,1,0,entailment,unknown,entailment,entailment,neutral,0.6000,0,0,1,0,entailment,neutral,entailment,entailment,neutral,0.6000,1,0,1,0,entailment,neutral,neutral,neutral,neutral,0.4000,1,1,0,0
85,contradiction,contradiction,neutral,neutral,neutral,unknown,0.5000,1,1,0,0,neutral,neutral,neutral,neutral,neutral,0.5000,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.7000,0,0,1,1,neutral,entailment,neutral,neutral,neutral,0.9000,1,0,1,1
86,entailment,entailment,neutral,entailment,entailment,contradiction,0.3333,1,0,1,0,entailment,neutral,entailment,entailment,entailment,0.3333,1,0,1,1,entailment,neutral,entailment,entailment,entailment,0.4167,1,0,1,1,entailment,entailment,neutral,entailment,neutral,0.3333,0,1,1,0
87,contradiction,neutral,neutral,contradiction,contradiction,neutral,0.2353,0,1,0,1,neutral,neutral,contradiction,contradiction,neutral,0.3529,0,1,0,1,neutral,unknown,neutral,neutral,neutral,0.2353,0,0,1,1,neutral,neutral,contradiction,entailment,neutral,0.2353,0,1,0,1
88,contradiction,contradiction,neutral,neutral,neutral,neutral,0.6471,1,1,0,0,neutral,neutral,contradiction,unknown,neutral,0.4706,0,1,0,1,neutral,neutral,neutral,contradiction,neutral,0.6471,0,0,0,1,neutral,unknown,contradiction,contradiction,neutral,0.6471,0,1,0,1
89,neutral,neutral,unknown,neutral,neutral,neutral,0.6000,0,0,1,1,entailment,unknown,entailment,neutral,entailment,0.6000,0,0,0,1,neutral,unknown,neutral,neutral,neutral,1.0000,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.6000,0,0,1,1
90,neutral,entailment,neutral,neutral,neutral,neutral,0.5625,1,1,0,0,entailment,neutral,neutral,neutral,neutral,0.6875,1,1,0,0,entailment,neutral,neutral,neutral,neutral,0.6875,1,1,0,0,entailment,unknown,unknown,unknown,neutral,0.7500,0,0,0,0
91,entailment,neutral,neutral,unknown,unknown,entailment,0.2857,0,0,0,0,neutral,neutral,neutral,entailment,unknown,0.2857,0,0,0,0,entailment,neutral,entailment,entailment,neutral,0.2143,1,0,1,0,entailment,neutral,entailment,entailment,neutral,0.2857,1,0,1,0
92,entailment,entailment,neutral,entailment,neutral,neutral,0.8750,1,0,0,0,entailment,neutral,neutral,neutral,neutral,0.5000,1,1,0,0,entailment,neutral,entailment,neutral,neutral,0.6250,1,0,0,0,entailment,neutral,neutral,neutral,entailment,0.6250,1,1,0,1
93,entailment,entailment,neutral,unknown,neutral,unknown,0.3750,1,0,0,0,entailment,neutral,entailment,entailment,neutral,0.3750,1,0,1,0,entailment,neutral,entailment,unknown,unknown,0.2500,1,0,0,0,entailment,neutral,neutral,entailment,unknown,0.2500,1,1,1,0
95,contradiction,contradiction,neutral,neutral,unknown,unknown,0.2500,1,1,0,0,contradiction,neutral,neutral,unknown,neutral,0.2500,1,1,0,0,neutral,neutral,contradiction,neutral,neutral,0.2500,0,1,1,1,neutral,neutral,unknown,neutral,neutral,0.5000,0,0,1,1
97,entailment,entailment,neutral,entailment,neutral,entailment,0.2000,1,0,0,1,entailment,entailment,entailment,entailment,entailment,0.6000,0,0,1,1,entailment,neutral,neutral,entailment,contradiction,0.6000,1,1,1,0,neutral,neutral,entailment,entailment,contradiction,0.2000,0,1,0,0
99,contradiction,contradiction,neutral,neutral,neutral,neutral,0.6000,1,1,0,0,contradiction,neutral,contradiction,contradiction,neutral,0.8000,1,0,1,0,contradiction,neutral,neutral,neutral,neutral,0.2000,1,1,0,0,contradiction,neutral,contradiction,neutral,neutral,0.2000,1,0,0,0
101,entailment,entailment,neutral,entailment,entailment,neutral,0.4000,1,0,1,0,entailment,entailment,neutral,contradiction,entailment,0.3000,0,1,0,1,neutral,neutral,entailment,contradiction,contradiction,0.4000,0,1,0,0,entailment,entailment,entailment,entailment,entailment,0.4000,0,0,1,1
102,neutral,neutral,neutral,neutral,neutral,neutral,0.5000,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.5000,0,0,1,1,neutral,neutral,contradiction,contradiction,contradiction,1.0000,0,1,0,0,neutral,neutral,neutral,contradiction,neutral,0.5000,0,0,0,1
103,entailment,entailment,neutral,entailment,entailment,unknown,0.5263,1,0,1,0,entailment,neutral,entailment,entailment,neutral,0.5263,1,0,1,0,entailment,neutral,entailment,entailment,neutral,0.5263,1,0,1,0,entailment,neutral,entailment,entailment,contradiction,0.6316,1,0,1,0
104,entailment,entailment,neutral,entailment,entailment,neutral,0.1818,1,0,1,0,entailment,neutral,entailment,unknown,neutral,0.1818,1,0,0,0,entailment,neutral,entailment,neutral,neutral,0.1818,1,0,0,0,entailment,neutral,entailment,entailment,neutral,0.1818,1,0,1,0
106,neutral,neutral,neutral,neutral,neutral,neutral,0.1667,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.1667,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.7500,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.1667,0,0,1,1
107,entailment,neutral,neutral,neutral,neutral,neutral,0.4545,0,0,1,1,neutral,neutral,entailment,entailment,neutral,0.5455,0,1,0,1,entailment,neutral,neutral,neutral,neutral,0.9091,1,1,0,0,neutral,neutral,neutral,neutral,neutral,0.3636,0,0,1,1
108,entailment,entailment,neutral,entailment,unknown,neutral,0.2105,1,0,0,0,entailment,entailment,entailment,entailment,neutral,0.1579,0,0,1,0,entailment,entailment,entailment,neutral,neutral,0.1579,0,0,0,0,entailment,neutral,entailment,entailment,neutral,0.2105,1,0,1,0
109,contradiction,contradiction,neutral,contradiction,contradiction,neutral,0.5000,1,0,1,0,neutral,contradiction,neutral,neutral,neutral,0.8333,1,0,1,1,contradiction,neutral,neutral,neutral,neutral,0.5000,1,1,0,0,neutral,neutral,neutral,neutral,neutral,0.3333,0,0,1,1
110,neutral,neutral,neutral,neutral,neutral,neutral,0.5000,0,0,1,1,neutral,neutral,neutral,unknown,neutral,0.5000,0,0,0,1,neutral,neutral,neutral,neutral,entailment,0.9286,0,0,1,0,neutral,neutral,unknown,unknown,neutral,0.5000,0,0,0,1
111,neutral,entailment,neutral,neutral,entailment,entailment,0.4545,1,1,1,1,neutral,neutral,neutral,neutral,neutral,0.4545,0,0,1,1,entailment,neutral,entailment,neutral,unknown,0.4545,1,0,0,0,neutral,neutral,neutral,neutral,neutral,0.7273,0,0,1,1
112,contradiction,contradiction,contradiction,contradiction,contradiction,neutral,0.2500,0,0,1,0,contradiction,neutral,contradiction,contradiction,neutral,0.2000,1,0,1,0,neutral,neutral,contradiction,contradiction,neutral,0.3000,0,1,0,1,contradiction,contradiction,contradiction,contradiction,neutral,0.1000,0,0,1,0
114,contradiction,neutral,unknown,neutral,entailment,unknown,0.0000,0,0,0,0,neutral,neutral,neutral,neutral,neutral,0.6875,0,0,1,1,neutral,neutral,neutral,neutral,contradiction,0.8125,0,0,1,0,neutral,neutral,contradiction,neutral,contradiction,1.0000,0,1,1,0
