id,mean_faithfulness,class_original,val_model_original,val_cre_original,val_gold_original,class_lexical,val_model_lexical,val_cre_lexical,val_gold_lexical,class_syntactic,val_model_syntactic,val_cre_syntactic,val_gold_syntactic,class_contextual,val_model_contextual,val_cre_contextual,val_gold_contextual
84,1.0,FAITHFUL,800,800,200,FAITHFUL,800,800,200,FAITHFUL,700,700,200,FAITHFUL,800,800,200
86,1.0,FAITHFUL,10,10,5,FAITHFUL,30,30,5,FAITHFUL,55,55,5,FAITHFUL,50,50,5
87,1.0,FAITHFUL,15,15,12,FAITHFUL,24,24,12,FAITHFUL,15,15,12,FAITHFUL,15,15,12
88,1.0,FAITHFUL,48,48,40,FAITHFUL,48,48,40,FAITHFUL,48,48,40,FAITHFUL,48,48,40
90,1.0,NOISE,11,22,5,NOISE,10,6,5,FAITHFUL,6,6,5,FAITHFUL,12,12,5
91,1.0,FAITHFUL,9,9,11,FAITHFUL,7,7,11,FAITHFUL,7,7,11,FAITHFUL,13,13,11
94,1.0,FAITHFUL,90,90,180,FAITHFUL,270,270,180,FAITHFUL,1152,1152,180,FAITHFUL,270,270,180
96,1.0,FAITHFUL,26,26,22,FAITHFUL,26,26,22,FAITHFUL,26,26,22,FAITHFUL,26,26,22
97,1.0,FAITHFUL,1200,1200 kg,700,FAITHFUL,1800,1800,700,FAITHFUL,1200,1200,700,FAITHFUL,2300,2300,700
98,1.0,FAITHFUL,3120,3120,6240,FAITHFUL,5640,5640,6240,FAITHFUL,26000,26000,6240,FAITHFUL,7800,"7,800",6240
99,1.0,FAITHFUL,3536,3536,404,FAITHFUL,3536,3536,404,FAITHFUL,480,480,404,FAITHFUL,884,884,404
101,1.0,FAITHFUL,2.1,2.1,2,NOISE,11.8,3.8,2,FAITHFUL,3.8,3.8,2,FAITHFUL,2.1,2.1,2
103,1.0,FAITHFUL,144,144,184,FAITHFUL,230,230,184,FAITHFUL,160,160,184,NOISE,144,160,184
104,1.0,FAITHFUL,12,12,2,FAITHFUL,2.4,2.4,2,FAITHFUL,1.67,1.6666666666666667,2,FAITHFUL,2.5,2.5,2
106,1.0,FAITHFUL,76,76,8,FAITHFUL,12,12,8,FAITHFUL,5,5,8,FAITHFUL,10,10,8
107,1.0,FAITHFUL,120,120,270,FAITHFUL,150,150,270,FAITHFUL,60,60,270,FAITHFUL,240,240,270
108,1.0,FAITHFUL,4,4,3,FAITHFUL,2,2,3,FAITHFUL,4,4,3,FAITHFUL,4,4,3
114,1.0,FAITHFUL,62,62,70,FAITHFUL,62,62,70,FAITHFUL,62,62,70,FAITHFUL,62,62,70
118,1.0,FAITHFUL,4,4,2,FAITHFUL,4,4,2,FAITHFUL,3,3,2,FAITHFUL,3,3,2
119,1.0,FAITHFUL,25,25,50,FAITHFUL,40,40,50,NOISE,-150,150,50,FAITHFUL,150,150,50
122,1.0,FAITHFUL,1993,1993,1685,FAITHFUL,1682,1682,1685,FAITHFUL,1500,1500,1685,FAITHFUL,2000,2000,1685
124,1.0,FAITHFUL,10,10,11,FAITHFUL,10,10,11,FAITHFUL,9,9,11,FAITHFUL,10,10,11
126,1.0,FAITHFUL,80,80,60,FAITHFUL,80,80,60,FAITHFUL,80,80,60,FAITHFUL,80,80,60
127,1.0,FAITHFUL,57300,57300,69000,FAITHFUL,253200,253200,69000,FAITHFUL,212000,212000,69000,FAITHFUL,500,500,69000
129,1.0,FAITHFUL,24,24,19,FAITHFUL,24,24,19,FAITHFUL,24,24,19,FAITHFUL,34,34,19
132,1.0,FAITHFUL,3216,3216,2412,FAITHFUL,2416,2416,2412,FAITHFUL,2010,2010,2412,FAITHFUL,1152,1152,2412
134,1.0,FAITHFUL,72,72,74,FAITHFUL,72,72,74,FAITHFUL,72,72,74,FAITHFUL,77,77,74
137,1.0,FAITHFUL,5.33,5.33,8,FAITHFUL,20,20,8,FAITHFUL,5.6,5.6,8,FAITHFUL,5.33,5.33,8
138,1.0,FAITHFUL,30,30,24,FAITHFUL,30,30,24,FAITHFUL,30,30,24,FAITHFUL,48,48,24
139,1.0,FAITHFUL,1800,1800,1350,FAITHFUL,2250,2250,1350,FAITHFUL,1800,1800,1350,FAITHFUL,1800,1800,1350
142,1.0,FAITHFUL,16,16,8,FAITHFUL,10,10,8,FAITHFUL,9,9,8,FAITHFUL,9,9,8
148,1.0,FAITHFUL,360,360,240,FAITHFUL,360,360,240,FAITHFUL,360,360,240,FAITHFUL,360,360,240
151,1.0,FAITHFUL,22,22,20,FAITHFUL,15,15,20,FAITHFUL,23,23,20,FAITHFUL,23,23,20
152,1.0,FAITHFUL,20,20,14,FAITHFUL,16,16,14,FAITHFUL,16,16,14,FAITHFUL,16,16,14
153,1.0,FAITHFUL,165,165,132,FAITHFUL,165,165,132,FAITHFUL,156,156,132,FAITHFUL,165,165 pounds,132
154,1.0,FAITHFUL,303,303,355,FAITHFUL,365,365,355,FAITHFUL,213,213,355,FAITHFUL,440,440,355
155,1.0,FAITHFUL,112,112,84,FAITHFUL,180,180,84,FAITHFUL,68,68,84,FAITHFUL,87,87,84
156,1.0,FAITHFUL,48,48,12,FAITHFUL,16,16,12,FAITHFUL,21,21,12,FAITHFUL,56.25,56.25,12
157,1.0,FAITHFUL,1820,1820,770,FAITHFUL,790,790,770,FAITHFUL,720,720,770,FAITHFUL,920,920,770
158,1.0,FAITHFUL,46,46,40,FAITHFUL,46,46,40,FAITHFUL,60,60,40,FAITHFUL,50,50,40
160,1.0,FAITHFUL,4,4,7,FAITHFUL,4,4,7,FAITHFUL,4,4,7,FAITHFUL,4,4,7
163,1.0,FAITHFUL,480,480,900,FAITHFUL,1200,1200,900,FAITHFUL,1500,1500,900,FAITHFUL,780,780,900
165,1.0,FAITHFUL,43000,"43,000","40,000",FAITHFUL,43000,43000,"40,000",FAITHFUL,55000,"55,000","40,000",FAITHFUL,43000,43000,"40,000"
167,1.0,FAITHFUL,12,12,6,FAITHFUL,12,12,6,FAITHFUL,12,12,6,FAITHFUL,12,12,6
168,1.0,FAITHFUL,38.2,38.2,35,FAITHFUL,61.5,61.5,35,NOISE,37.8,36.8,35,FAITHFUL,7.0,7.0,35
169,1.0,FAITHFUL,15,15,9,FAITHFUL,18,18,9,FAITHFUL,15,15,9,FAITHFUL,10,10,9
171,1.0,FAITHFUL,7.25,7.25,6,FAITHFUL,8,8,6,FAITHFUL,13,13,6,FAITHFUL,20,20,6
172,1.0,FAITHFUL,2500,"2,500",2000,FAITHFUL,2000,"2,000",2000,NOISE,1999,"2,000",2000,FAITHFUL,4,4,2000
173,1.0,FAITHFUL,75,75,60,FAITHFUL,150,150,60,FAITHFUL,99,99,60,FAITHFUL,75,75,60
174,1.0,FAITHFUL,1170,1170,936,FAITHFUL,1170,1170,936,FAITHFUL,1170,1170,936,FAITHFUL,1170,1170,936
175,1.0,FAITHFUL,100,100,80,FAITHFUL,320,320,80,FAITHFUL,100,100,80,FAITHFUL,320,320,80
179,1.0,FAITHFUL,10,10,15,FAITHFUL,23.33,23.33,15,FAITHFUL,12.5,12.50,15,FAITHFUL,20,20,15
182,1.0,FAITHFUL,7,7,6,FAITHFUL,18,18,6,FAITHFUL,9,9,6,FAITHFUL,9,9,6
184,1.0,FAITHFUL,120,120,240,FAITHFUL,360,360,240,FAITHFUL,0,0,240,FAITHFUL,0,0,240
185,1.0,FAITHFUL,48,48,60,FAITHFUL,48,48,60,FAITHFUL,48,48,60,FAITHFUL,48,48,60
187,1.0,FAITHFUL,43,43,39,FAITHFUL,32,32,39,FAITHFUL,41,41,39,FAITHFUL,40,40,39
188,1.0,FAITHFUL,3,3,2,FAITHFUL,3,3,2,FAITHFUL,3,3,2,FAITHFUL,1,1,2
189,1.0,FAITHFUL,90,90,94,FAITHFUL,141,141,94,FAITHFUL,124,124,94,FAITHFUL,140,140,94
191,1.0,FAITHFUL,1050,1050,1316,FAITHFUL,1400,1400,1316,FAITHFUL,1400,1400,1316,FAITHFUL,940,940,1316
192,1.0,FAITHFUL,8,8,6,FAITHFUL,8,8,6,FAITHFUL,4,4,6,FAITHFUL,4,4,6
193,1.0,FAITHFUL,6793,6793,6284,FAITHFUL,6793,6793,6284,FAITHFUL,6793,6793,6284,FAITHFUL,6793,6793,6284
194,1.0,FAITHFUL,250,250,200,FAITHFUL,150,150,200,FAITHFUL,100,100,200,FAITHFUL,700,700,200
195,1.0,FAITHFUL,15,15,5,FAITHFUL,15,15,5,FAITHFUL,15,15,5,FAITHFUL,19,19,5
198,1.0,FAITHFUL,20,20,17,FAITHFUL,13,13,17,FAITHFUL,21,21,17,FAITHFUL,21,21,17
199,1.0,FAITHFUL,800,800,600,FAITHFUL,800,800,600,FAITHFUL,800,800,600,FAITHFUL,500,500,600
200,1.0,FAITHFUL,35,35,25,FAITHFUL,35,35,25,FAITHFUL,24.00,24.00,25,FAITHFUL,21,21,25
202,1.0,FAITHFUL,190.74,190.74,400,FAITHFUL,300,300,400,FAITHFUL,307.5,307.5,400,FAITHFUL,300,300,400
203,1.0,FAITHFUL,100,100,270,FAITHFUL,225,225,270,FAITHFUL,225,225,270,FAITHFUL,260,260,270
206,1.0,FAITHFUL,15,15,12,FAITHFUL,15,15,12,FAITHFUL,15,15,12,FAITHFUL,15,15,12
210,1.0,FAITHFUL,138,138,130,FAITHFUL,120,120,130,FAITHFUL,190,190,130,FAITHFUL,80,80,130
213,1.0,FAITHFUL,2000,2000,40,FAITHFUL,60,60,40,FAITHFUL,25,25,40,FAITHFUL,25,25,40
216,1.0,FAITHFUL,14,14,58,FAITHFUL,82,82,58,FAITHFUL,82,82,58,FAITHFUL,47,47,58
217,1.0,FAITHFUL,40,40,30,FAITHFUL,40,$40,30,FAITHFUL,90,90,30,FAITHFUL,70,70,30
218,1.0,FAITHFUL,384,384,320,FAITHFUL,384,384,320,FAITHFUL,560,560,320,FAITHFUL,280,280,320
222,1.0,FAITHFUL,6.00,6.00,5,FAITHFUL,7.50,7.50,5,FAITHFUL,6,6,5,FAITHFUL,7,7,5
223,1.0,FAITHFUL,1.94,1.94,2,FAITHFUL,3.18,3.18,2,FAITHFUL,2.27,2.27,2,FAITHFUL,3,3,2
226,1.0,FAITHFUL,112,112,136,NOISE,158,160,136,FAITHFUL,124,124,136,FAITHFUL,160,160,136
228,1.0,FAITHFUL,168,168,112,FAITHFUL,56,56,112,FAITHFUL,14,14,112,FAITHFUL,168,168,112
231,1.0,FAITHFUL,15,15,10,FAITHFUL,15,15,10,FAITHFUL,12,12,10,FAITHFUL,12,12,10
233,1.0,FAITHFUL,360,360,180,FAITHFUL,216,216,180,FAITHFUL,177.5,177.5,180,FAITHFUL,216,216,180
234,1.0,FAITHFUL,16,16,12,FAITHFUL,16,16,12,FAITHFUL,19.20,19.20,12,FAITHFUL,16,16,12
235,1.0,FAITHFUL,13,13,10,FAITHFUL,10.50,10.50,10,FAITHFUL,8.5,8.5,10,NOISE,13,12.125,10
236,1.0,FAITHFUL,6,6,8,NOISE,10,9,8,FAITHFUL,5,5,8,FAITHFUL,10,10,8
240,1.0,FAITHFUL,7200,7200,4500,FAITHFUL,3750,3750,4500,FAITHFUL,3750,3750,4500,FAITHFUL,7200,7200,4500
243,1.0,FAITHFUL,96,96,104,FAITHFUL,80,80,104,FAITHFUL,156,156,104,FAITHFUL,156,156,104
244,1.0,FAITHFUL,14,14,9,FAITHFUL,110,110,9,FAITHFUL,10,10,9,FAITHFUL,70,70,9
245,1.0,FAITHFUL,180,180,1280,FAITHFUL,1600,1600,1280,FAITHFUL,1600,1600,1280,FAITHFUL,1600,1600,1280
246,1.0,FAITHFUL,10,10,5,FAITHFUL,7,7,5,FAITHFUL,10,10,5,FAITHFUL,7.5,7.5,5
247,1.0,FAITHFUL,19,19,16,FAITHFUL,24,24,16,FAITHFUL,24,24,16,FAITHFUL,18,18,16
248,1.0,FAITHFUL,59,59,57,FAITHFUL,54,54,57,FAITHFUL,54,54,57,FAITHFUL,54,54,57
251,1.0,NOISE,239,"Lauren sent 50 pieces of mail on Monday, 62 on Tuesday, 57 on Wednesday, and 72 on Thursday.",295,FAITHFUL,235,235,295,FAITHFUL,170,170,295,FAITHFUL,235,235,295
252,1.0,FAITHFUL,10.50,10.50,21,FAITHFUL,25.20,$25.20,21,FAITHFUL,59.50,59.50,21,FAITHFUL,2.55,2.55,21
253,1.0,FAITHFUL,24,24,32,FAITHFUL,24,24,32,FAITHFUL,24,24,32,FAITHFUL,1.5,1.5,32
254,1.0,FAITHFUL,30240000,"30,240,000",42000,FAITHFUL,33600,33600,42000,FAITHFUL,4320000,"4,320,000",42000,FAITHFUL,63000,63000,42000
256,1.0,FAITHFUL,5,5,4,FAITHFUL,5,5,4,FAITHFUL,5,5,4,FAITHFUL,5,5,4
259,1.0,FAITHFUL,35,35,11,FAITHFUL,8,8,11,FAITHFUL,396,396,11,FAITHFUL,12,12,11
260,1.0,FAITHFUL,68,68,53,FAITHFUL,68,68,53,FAITHFUL,68,68,53,FAITHFUL,88,88,53
262,1.0,FAITHFUL,8285.9,8285.9,8900,FAITHFUL,8285.9,8285.9,8900,FAITHFUL,8306.67,8306.67,8900,FAITHFUL,8285.90,"8,285.90",8900
264,1.0,FAITHFUL,89,89,83,FAITHFUL,89,89,83,FAITHFUL,115,115,83,FAITHFUL,115,115,83
266,1.0,FAITHFUL,1000,1000,800,FAITHFUL,400,400,800,FAITHFUL,1200,1200,800,FAITHFUL,1500,1500,800
267,1.0,FAITHFUL,18,18,16,FAITHFUL,9,9,16,FAITHFUL,14,14,16,FAITHFUL,24,24,16
268,1.0,FAITHFUL,34,34,55,FAITHFUL,30,30,55,FAITHFUL,45,45,55,FAITHFUL,65,65,55
269,1.0,FAITHFUL,180,180,240,FAITHFUL,180,180,240,FAITHFUL,300,300,240,FAITHFUL,300,300,240
270,1.0,FAITHFUL,7.5,7.5,5,FAITHFUL,7.5,7.5,5,FAITHFUL,7.5,7.5,5,FAITHFUL,7.5,7.5,5
272,1.0,FAITHFUL,10,10,5,FAITHFUL,2,2,5,NOISE,20,10,5,FAITHFUL,2,2,5
273,0.75,FAITHFUL,4,4,3,FAITHFUL,1,1,3,MAGIC_JUMP,3,2.7,3,FAITHFUL,2,2,3
275,1.0,FAITHFUL,90000,90000,72000,FAITHFUL,30000,"30,000",72000,FAITHFUL,90000,"90,000",72000,FAITHFUL,42,42,72000
276,1.0,FAITHFUL,75,75,90,FAITHFUL,75,75,90,FAITHFUL,75,75,90,FAITHFUL,75,75,90
278,1.0,FAITHFUL,208,208,234,FAITHFUL,162,162,234,FAITHFUL,242,242,234,FAITHFUL,208,208,234
280,1.0,FAITHFUL,100,100,75,FAITHFUL,100,100,75,FAITHFUL,100,100,75,FAITHFUL,100,100,75
288,1.0,NOISE,46,51,42,FAITHFUL,51,51,42,FAITHFUL,51,51,42,FAITHFUL,49,49,42
290,1.0,FAITHFUL,125,125,100,FAITHFUL,100000,"100,000",100,FAITHFUL,125,125,100,FAITHFUL,118.36875,118.36875,100
292,1.0,FAITHFUL,20000,20000,16000,FAITHFUL,20000,20000,16000,FAITHFUL,20000,"20,000",16000,FAITHFUL,20000,"20,000",16000
293,1.0,FAITHFUL,200,200,170,FAITHFUL,260,260,170,FAITHFUL,200,200,170,FAITHFUL,210,210,170
294,1.0,FAITHFUL,87,87,79,FAITHFUL,109,109,79,FAITHFUL,87,87,79,FAITHFUL,87.00,87.00,79
295,1.0,FAITHFUL,42,42,35,FAITHFUL,42,42,35,FAITHFUL,42,42,35,FAITHFUL,42,42,35
296,1.0,FAITHFUL,11,11,33,FAITHFUL,44,44,33,FAITHFUL,77,77,33,FAITHFUL,45,45,33
299,1.0,FAITHFUL,12.50,12.50,12,FAITHFUL,14.35,14.35,12,FAITHFUL,8.50,8.50,12,FAITHFUL,12.50,12.50,12
300,1.0,FAITHFUL,48,48,36,NOISE,14,13.5,36,FAITHFUL,45,45,36,FAITHFUL,45,45,36
301,1.0,FAITHFUL,300,300,250,FAITHFUL,168,168,250,NOISE,11,10,250,FAITHFUL,300,300,250
302,1.0,FAITHFUL,49,49,28,FAITHFUL,34,34,28,FAITHFUL,23,23,28,FAITHFUL,19,19,28
304,1.0,FAITHFUL,3942,3942,3285,FAITHFUL,3942,3942,3285,FAITHFUL,3942,3942,3285,FAITHFUL,3942,"3,942",3285
305,1.0,FAITHFUL,9400,9400,3600,FAITHFUL,5600,5600,3600,FAITHFUL,5600,5600,3600,FAITHFUL,5600,5600,3600
307,1.0,FAITHFUL,33,33,28,FAITHFUL,33,33,28,FAITHFUL,33,33,28,FAITHFUL,43,43,28
308,1.0,FAITHFUL,75,75%,25,FAITHFUL,62.5,62.5%,25,FAITHFUL,18.75,18.75%,25,FAITHFUL,31.25,31.25%,25
313,1.0,FAITHFUL,30070,30070,200,FAITHFUL,0.044,$0.044,200,FAITHFUL,100,100,200,FAITHFUL,4.05,4.05,200
316,1.0,FAITHFUL,300,300,220,NOISE,306,300,220,FAITHFUL,300,300,220,FAITHFUL,300,300,220
318,1.0,FAITHFUL,227,227,200,FAITHFUL,227,227,200,FAITHFUL,233,233,200,FAITHFUL,227,227,200
322,1.0,FAITHFUL,1186,"$1,186",1124,FAITHFUL,1248,1248,1124,FAITHFUL,1424,1424,1124,FAITHFUL,1248,1248,1124
324,1.0,FAITHFUL,114,114,95,FAITHFUL,91,91,95,FAITHFUL,48,48,95,FAITHFUL,70,70,95
325,1.0,FAITHFUL,17,17,19,FAITHFUL,22,22,19,FAITHFUL,27,27,19,FAITHFUL,22,22,19
327,1.0,FAITHFUL,9,9,13,FAITHFUL,11,11,13,FAITHFUL,14,14,13,FAITHFUL,9,9,13
328,0.75,FAITHFUL,6,6,4,MAGIC_JUMP,4,4 puppies and 1 kitten,4,FAITHFUL,9,9,4,FAITHFUL,9,9,4
329,1.0,FAITHFUL,10,10,8,FAITHFUL,10,10,8,FAITHFUL,12,12,8,FAITHFUL,10,10,8
330,1.0,FAITHFUL,176,176.00,165,FAITHFUL,187,187,165,FAITHFUL,176,176,165,FAITHFUL,187,187,165
331,1.0,FAITHFUL,200,200,600,FAITHFUL,720,720,600,FAITHFUL,800,800,600,FAITHFUL,720,720,600
333,1.0,FAITHFUL,66,66,72,FAITHFUL,78,78,72,FAITHFUL,66,66,72,NOISE,53,63,72
335,1.0,FAITHFUL,22.5,22.5,15,FAITHFUL,22.5,22.5,15,FAITHFUL,12,12,15,FAITHFUL,22.5,22.5,15
337,1.0,NOISE,4,3.6,3,NOISE,4,3.6,3,FAITHFUL,4,4,3,NOISE,4,3.6,3
341,0.6666666666666666,FAITHFUL,400,400,300,FAITHFUL,350,350,300,MAGIC_JUMP,300,400,300,NOISE,200,750,300
344,1.0,FAITHFUL,63,63,33,FAITHFUL,48,48,33,FAITHFUL,48,48,33,FAITHFUL,48,48,33
345,1.0,FAITHFUL,400,400,300,FAITHFUL,500,500,300,FAITHFUL,625,625,300,FAITHFUL,400,400,300
346,1.0,FAITHFUL,1200,1200,1000,FAITHFUL,800,800,1000,FAITHFUL,1200,1200,1000,FAITHFUL,800,800,1000
349,1.0,FAITHFUL,420,420,1008,FAITHFUL,1260,1260,1008,FAITHFUL,1344,1344,1008,FAITHFUL,840,840,1008
356,1.0,FAITHFUL,13,13,15,FAITHFUL,24,24,15,FAITHFUL,12,12,15,FAITHFUL,31,31,15
358,1.0,FAITHFUL,0.80,0.80,4,FAITHFUL,3.20,3.20,4,FAITHFUL,3.20,3.20,4,FAITHFUL,3.20,3.20,4
359,1.0,FAITHFUL,860,860,720,FAITHFUL,1000,1000,720,FAITHFUL,1000,1000,720,FAITHFUL,1000,1000,720
360,1.0,FAITHFUL,20,20,5,FAITHFUL,20,20,5,FAITHFUL,10,10,5,FAITHFUL,60,60,5
363,1.0,FAITHFUL,0,0,4,FAITHFUL,8,8,4,FAITHFUL,5.4,5.4,4,FAITHFUL,8,8,4
364,1.0,FAITHFUL,200,200,250,FAITHFUL,200,200,250,FAITHFUL,200,200,250,FAITHFUL,200,200,250
366,1.0,FAITHFUL,14,14,7,FAITHFUL,5,5,7,FAITHFUL,14,14,7,FAITHFUL,4.2,4.2,7
368,1.0,FAITHFUL,5,5,10,NOISE,12.5,12,10,FAITHFUL,480,480,10,FAITHFUL,480,480,10
373,1.0,FAITHFUL,40.00,40.00,50,FAITHFUL,200,200,50,FAITHFUL,62.50,62.50,50,FAITHFUL,62.50,62.50,50
