id,premise_text,evidence_original,evidence_lexical,evidence_syntactic,evidence_pragmatic
17,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat by the pool.,"[""by the pool""]","[""by the pool""]","[""a young Asian girl"", ""a young Asian girl"", ""by the pool""]","[""by the pool""]"
18,two man in the army with a small boy from the area.,"[""two man"", ""army"", ""small boy""]","[""two man in the army"", ""a small boy""]","[""two man in the army"", ""a small boy""]","[""two man in the army"", ""a small boy""]"
19,A street vendor sitting on a sidewalk with eggs and live chickens.,"[""A street vendor"", ""sitting"", ""eggs and live chickens""]","[""sitting"", ""eggs and live chickens""]","[""street vendor"", ""sitting""]","[""A street vendor"", ""sitting""]"
20,A man painted in gold with cycle stands in the street.,"[""painted in gold"", ""stands in the street""]","[""painted in gold"", ""stands in the street""]","[""A man painted in gold"", ""in the street""]","[""man painted in gold"", ""in the street""]"
21,"With a beautiful blue sky and green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear waters carry something white.","[""a man in blue shorts and a blue shirt"", ""wades through the shallow, clear waters"", ""beautiful blue sky and green mountains""]","[""a man"", ""blue shorts and a blue shirt"", ""wades through the shallow, clear waters"", ""green mountains in the background"", ""beautiful blue sky""]","[""beautiful"", ""green mountains"", ""in the background"", ""wades through the shallow, clear waters""]","[""a man in blue shorts and a blue shirt"", ""wades through the shallow, clear waters"", ""beautiful blue sky"", ""green mountains""]"
22,A large crowd of people are walking.,"[""crowd"", ""walking""]","[""large crowd of people"", ""walking""]","[""walking""]","[""A large crowd of people"", ""walking""]"
23,Two elderly people sit in handicapped chairs on a train.,"[""on a train""]","[""handicapped chairs"", ""train""]","[""Two elderly people"", ""handicapped chairs""]","[""Two elderly people"", ""a train""]"
24,A woman cuts a cake while the woman next to her holds out a plate.,"[""cuts a cake"", ""holds out a plate""]","[""cuts a cake"", ""holds out a plate""]","[""cuts a cake"", ""holds out a plate""]","[""cuts a cake"", ""holds out a plate""]"
25,A person with a bag walking in a big city.,"[""A person"", ""with a bag"", ""walking""]","[""person"", ""bag"", ""walking""]","[""A person with a bag""]","[""A person"", ""a bag""]"
26,14 men standing on a stairway outside almost all wearing the same shirt.,"[""14 men"", ""stairway"", ""almost all wearing the same shirt""]","[""14 men"", ""standing on a stairway outside"", ""almost all wearing the same shirt""]","[""14 men"", ""standing"", ""on a stairway"", ""almost all wearing the same shirt""]","[""14 men standing"", ""on a stairway outside"", ""almost all wearing the same shirt""]"
27,Two children walking down a path in the woods.,"[""woods""]","[""woods""]","[""woods""]","[""Two children"", ""walking"", ""a path"", ""woods""]"
28,Young people are playing in the snow while an older person seems to be taking pictures.,"[""Young people are playing in the snow""]","[""Young people"", ""playing in the snow""]","[""Young people"", ""playing in the snow""]","[""Young people are playing in the snow""]"
29,Person in blue jacket on a bike on a dirt course with people looking from behind a red and white barrier.,"[""Person in blue jacket on a bike"", ""people"", ""looking""]","[""Person"", ""on a bike"", ""people looking""]","[""Person"", ""on a bike"", ""people"", ""looking"", ""behind a red and white barrier""]","[""people looking"", ""Person in blue jacket on a bike""]"
30,A band is practicing their routine.,"[""practicing""]","[""practicing their routine""]","[""band"", ""practicing""]","[""band"", ""practicing their routine""]"
31,A laboratory worker making a phone call.,"[""laboratory worker"", ""making a phone call""]","[""A laboratory worker"", ""making a phone call""]","[""A laboratory worker"", ""making a phone call""]","[""A laboratory worker"", ""making a phone call""]"
32,A man in a yellow shirt is on a roof hammering in shingles.,"[""roof"", ""hammering in shingles""]","[""hammering in shingles""]","[""roof"", ""hammering in shingles""]","[""hammering in shingles""]"
33,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,"[""Three brown-haired women"", ""a metal fence"", ""staring to the left""]","[""lean against a metal fence"", ""staring to the left""]","[""Three brown-haired women"", ""metal fence"", ""staring to the left""]","[""Three brown-haired women"", ""lean against"", ""a metal fence"", ""staring to the left"", ""brown and green skirts""]"
34,Man on a motorcycle performing a trick high in the air.,"[""Man on a motorcycle""]","[""Man"", ""on a motorcycle"", ""performing a trick"", ""high in the air""]","[""Man on a motorcycle performing a trick high in the air""]","[""Man on a motorcycle performing a trick high in the air""]"
35,Two dogs playing in a yard.,"[""in a yard""]","[""in a yard""]","[""dogs"", ""in a yard""]","[""dogs"", ""yard""]"
36,"A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.","[""A balding man"", ""plays bagpipes""]","[""A balding man"", ""plays bagpipes""]","[""A balding man"", ""plays"", ""bagpipes""]","[""man"", ""plays bagpipes""]"
37,A guy wearing protective pants is carving an owl on a perch out of wood using a chainsaw.,"[""protective pants""]","[""protective pants""]","[""protective pants""]","[""A guy wearing protective pants"", ""carving an owl""]"
38,A man in orange is demonstrating the use of a peeler.,"[""man in orange"", ""demonstrating the use of a peeler""]","[""man in orange"", ""demonstrating the use of a peeler""]","[""A man in orange"", ""demonstrating the use of a peeler""]","[""orange"", ""demonstrating the use of a peeler""]"
39,A guy in a blue polo shirt and shorts addresses an audience in an auditorium.,"[""guy in a blue polo shirt and shorts""]","[""A guy"", ""addresses"", ""an audience"", ""in an auditorium""]","[""A guy"", ""addresses an audience"", ""in an auditorium""]","[""A guy"", ""addresses"", ""an audience"", ""in an auditorium""]"
41,A young girl stands barefoot on a driveway and uses a hula-hoop.,"[""a hula-hoop""]","[""uses a hula-hoop"", ""stands barefoot on a driveway""]","[""hula-hoop""]","[""hula-hoop""]"
42,Shirtless men in their underwear are running with a blond in red underwear.,"[""Shirtless"", ""men"", ""in their underwear"", ""running"", ""a blond"", ""in red underwear""]","[""men"", ""Shirtless"", ""underwear"", ""blond"", ""red underwear"", ""running""]","[""Shirtless"", ""men"", ""in their underwear"", ""running"", ""a blond"", ""in red underwear""]","[""Shirtless"", ""men"", ""in their underwear"", ""running"", ""a blond"", ""in red underwear""]"
44,A native person doing a dance.,"[""doing a dance""]","[""doing a dance""]","[""native person"", ""doing a dance""]","[""person"", ""doing a dance""]"
45,A person in a red hat is walking past a building that is in need of a paint job.,"[""A person"", ""walking past a building""]","[""A person"", ""walking past a building""]","[""walking"", ""past a building""]","[""walking past a building""]"
46,A man is laughing with his hand up in the air and a little boy is watching him and laughing.,"[""A man"", ""laughing"", ""a little boy"", ""watching""]","[""a little boy is watching him and laughing""]","[""A man"", ""is laughing"", ""a little boy"", ""is watching him"", ""and laughing""]","[""A man is laughing"", ""a little boy is watching him and laughing""]"
48,A mountain biker is jumping his bike over a rock as another cyclist stands on the trail watching.,"[""mountain biker"", ""bike"", ""cyclist"", ""trail""]","[""mountain biker"", ""jumping his bike over a rock""]","[""mountain biker"", ""bike"", ""rock"", ""cyclist"", ""trail""]","[""mountain biker"", ""bike"", ""rock"", ""cyclist"", ""trail""]"
50,Young skateboarding boy flips his board while performing a stunt.,"[""skateboarding"", ""flips his board"", ""performing a stunt""]","[""flips his board""]","[""skateboarding boy"", ""performing a stunt""]","[""skateboarding boy"", ""flips his board"", ""performing a stunt""]"
51,five hikers walk down the hillside.,"[""five hikers walk down the hillside""]","[""hikers"", ""walk down the hillside""]","[""five hikers"", ""walk down"", ""the hillside""]","[""five hikers walk down the hillside""]"
52,Toe women sitting on the concrete ledge of a graffiti covered wall.,"[""sitting on the concrete ledge""]","[""Toe women"", ""sitting on the concrete ledge of a graffiti covered wall""]","[""sitting"", ""on the concrete ledge"", ""of a graffiti covered wall""]","[""concrete ledge"", ""graffiti covered wall""]"
53,A man plays an acoustic guitar on a subway platform.,"[""plays an acoustic guitar""]","[""plays an acoustic guitar""]","[""man"", ""plays"", ""acoustic guitar""]","[""man"", ""plays an acoustic guitar""]"
54,Man in black shirt holding a short-haired woman.,"[""Man in black shirt"", ""holding a short-haired woman""]","[""Man in black shirt"", ""holding"", ""short-haired woman""]","[""Man"", ""holding"", ""woman""]","[""Man"", ""holding"", ""woman""]"
55,Woman in blue shirt blowing very large bubble,"[""blowing very large bubble""]","[""blowing"", ""bubble""]","[""Woman"", ""blowing very large bubble""]","[""blowing"", ""bubble""]"
56,A black and white dog looks at a man about to throw something.,"[""dog"", ""looks at"", ""man""]","[""dog"", ""looks at"", ""man""]","[""A black and white dog"", ""looks at"", ""a man"", ""about to throw something""]","[""dog"", ""man""]"
58,A young boy in a black jacket is running towards a woman with outstretched arms.,"[""boy"", ""is running towards"", ""woman""]","[""A young boy"", ""is running towards"", ""a woman"", ""with outstretched arms""]","[""a woman"", ""outstretched arms""]","[""boy"", ""running towards"", ""woman"", ""with outstretched arms""]"
59,A small dog and a large dog with a rope in its mouth.,"[""dog"", ""dog""]","[""dog"", ""dog""]","[""A small dog"", ""a large dog""]","[""dog"", ""dog""]"
63,Group of men in blue shirts drying off a red car at a car wash.,"[""blue shirts"", ""red car""]","[""men in blue shirts"", ""red car"", ""car wash""]","[""blue shirts"", ""red car""]","[""blue shirts"", ""red car""]"
64,Three guys sitting at the table together drinking beers and taking pictures.,"[""drinking beers"", ""taking pictures""]","[""drinking beers""]","[""drinking beers"", ""taking pictures""]","[""drinking beers"", ""taking pictures""]"
65,three people standing on the side of a snowy grassy hill,"[""three people"", ""standing"", ""hill""]","[""three people"", ""standing"", ""hill""]","[""three people"", ""standing"", ""hill""]","[""three people"", ""standing"", ""hill""]"
66,A woman realigns her sock in a messy park.,"[""realigns her sock""]","[""realigns her sock""]","[""realigns her sock""]","[""realigns her sock""]"
67,Children and adults in bright colored clothes are dancing.,"[""dancing"", ""bright colored clothes""]","[""dancing"", ""bright colored clothes""]","[""bright colored clothes"", ""dancing""]","[""dancing"", ""bright colored clothes"", ""Children and adults""]"
68,A dog playing in the grass.,"[""dog"", ""playing in the grass""]","[""dog"", ""playing""]","[""dog"", ""playing"", ""in the grass""]","[""dog"", ""playing"", ""grass""]"
69,A man wearing a green shirt is trying to comfort his crying child by holding the child and giving him a kiss on the cheek.,"[""A man"", ""crying child"", ""holding the child""]","[""A man"", ""crying child"", ""holding the child""]","[""holding the child"", ""crying child""]","[""A man"", ""crying child"", ""holding the child""]"
70,Three people on a boat are laughing and smiling.,"[""laughing and smiling""]","[""laughing and smiling""]","[""Three people on a boat"", ""laughing and smiling""]","[""laughing"", ""smiling""]"
71,Man is laying down on red lounge chair.,"[""laying down"", ""lounge chair""]","[""Man"", ""laying down"", ""red lounge chair""]","[""laying down"", ""red lounge chair""]","[""Man"", ""red lounge chair""]"
74,A woman organizing lettuce in a market.,"[""woman"", ""organizing lettuce""]","[""A woman organizing lettuce""]","[""A woman"", ""organizing lettuce""]","[""woman organizing lettuce""]"
75,A hitter is swinging a bat at a baseball during a game while the catcher and umpire look on.,"[""swinging a bat"", ""catcher"", ""umpire"", ""game""]","[""swinging a bat"", ""catcher"", ""umpire"", ""game""]","[""hitter"", ""swinging a bat at a baseball""]","[""swinging a bat"", ""catcher"", ""umpire""]"
77,A boy and a girl playing on the beach.,"[""beach""]","[""on the beach""]","[""on the beach""]","[""on the beach""]"
78,A little boy splashing in a blue inflatable pool.,"[""little boy"", ""splashing"", ""inflatable pool""]","[""splashing"", ""pool""]","[""splashing"", ""blue inflatable pool""]","[""A little boy"", ""splashing in a blue inflatable pool""]"
79,The person wearing earrings is wearing a feathered hat.,"[""wearing earrings"", ""wearing a feathered hat""]","[""wearing earrings"", ""wearing a feathered hat""]","[""wearing earrings"", ""wearing a feathered hat""]","[""person wearing earrings"", ""feathered hat""]"
80,A young man walks through Grand Central Station with his shadow cast by the light cascading down from the windows behind.,"[""A young man"", ""walks through"", ""Grand Central Station""]","[""young man"", ""shadow""]","[""A young man"", ""Grand Central Station""]","[""A young man"", ""his shadow""]"
81,A man is swinging on a rope over water.,"[""man"", ""swinging""]","[""swinging""]","[""man"", ""swinging""]","[""A man is swinging""]"
82,A young woman rests her head on a man's shoulder.,"[""young woman"", ""rests her head on a man's shoulder""]","[""rests her head on a man's shoulder""]","[""rests her head on a man's shoulder""]","[""rests her head"", ""on a man's shoulder""]"
83,A crane operates amidst piles of rubble.,"[""crane""]","[""crane operates"", ""piles of rubble""]","[""crane"", ""piles of rubble""]","[""crane"", ""piles of rubble""]"
84,A woman is grating cheese.,"[""A woman is grating cheese.""]","[""woman"", ""grating""]","[""A woman"", ""grating cheese""]","[""A woman is grating cheese""]"
85,The boy in the red shirt is holding a rock.,"[""red shirt"", ""holding a rock""]","[""red shirt"", ""a rock""]","[""red shirt""]","[""boy"", ""red shirt""]"
86,A kicker launches the football forward while the holder checks his fingers.,"[""kicker"", ""launches the football forward""]","[""launches the football forward""]","[""A kicker"", ""launches the football forward""]","[""A kicker"", ""launches the football forward""]"
87,A man with tattoos and the Confederate flag is standing with his hands in his pants pockets.,"[""tattoos"", ""the Confederate flag""]","[""tattoos"", ""the Confederate flag""]","[""tattoos"", ""the Confederate flag""]","[""tattoos"", ""the Confederate flag""]"
88,Two women are standing in the snow looking towards a tower with a orange cone shaped light.,"[""standing in the snow""]","[""standing in the snow"", ""tower with a orange cone shaped light""]","[""standing in the snow"", ""looking towards a tower with a orange cone shaped light""]","[""in the snow"", ""tower""]"
89,Children playing on a playground.,"[""Children playing on a playground""]","[""Children"", ""playground""]","[""Children playing"", ""playground""]","[""Children playing"", ""playground""]"
90,A man in a tuxedo plays a brass instrument in accompaniment with a female piano player.,"[""brass instrument"", ""in accompaniment with"", ""female piano player""]","[""brass instrument"", ""female piano player""]","[""A man"", ""plays a brass instrument"", ""female piano player""]","[""tuxedo"", ""brass instrument"", ""in accompaniment with a female piano player""]"
91,A woman wearing a red blouse and a short is standing looking far ahead,"[""looking far ahead""]","[""looking far ahead""]","[""looking far ahead""]","[""looking far ahead""]"
92,Three people are being silly in the woods.,"[""Three people"", ""in the woods""]","[""woods""]","[""Three people"", ""the woods""]","[""Three people"", ""in the woods""]"
93,a young man wearing a blue striped shirt standing in front of a floral patterened couch,"[""man"", ""standing in front of"", ""couch""]","[""man"", ""standing in front of"", ""couch""]","[""a young man"", ""standing in front of"", ""a floral patterened couch""]","[""man"", ""standing in front of"", ""couch""]"
95,A man standing on a green post watching a train go by.,"[""man"", ""watching"", ""a train""]","[""man"", ""watching"", ""train""]","[""A man"", ""watching a train""]","[""train""]"
97,A baseball player in mid-swing.,"[""in mid-swing""]","[""mid-swing""]","[""baseball player"", ""in mid-swing""]","[""A baseball player"", ""in mid-swing""]"
99,five little boys playing soccer.,"[""soccer""]","[""soccer""]","[""soccer""]","[""playing soccer""]"
101,The teenagers are fighting over a basketball during a game.,"[""teenagers"", ""fighting over a basketball""]","[""teenagers"", ""fighting over a basketball""]","[""teenagers"", ""fighting over a basketball during a game""]","[""basketball"", ""game""]"
102,A boy getting his hair buzzed off by another boy.,"[""getting his hair buzzed off""]","[""getting his hair buzzed off""]","[""A boy"", ""getting his hair buzzed off""]","[""A boy"", ""getting his hair buzzed off""]"
103,A man with stretched earlobes wearing a black hat stands in front of a display of food for sale.,"[""A man"", ""stands in front of a display of food for sale""]","[""man"", ""stands in front of a display of food for sale""]","[""A man"", ""stands"", ""in front of a display of food for sale""]","[""A man"", ""stands in front of a display of food for sale""]"
104,Man in an orange shirt with tattoos walking two large poodles.,"[""orange shirt""]","[""orange shirt""]","[""in an orange shirt""]","[""orange shirt""]"
106,two women are sitting on a park bench talking to each other.,"[""two women are sitting on a park bench talking to each other""]","[""two women""]","[""two women""]","[""two women are sitting on a park bench talking to each other.""]"
107,A male on Rollerblades skating down a railing next to stairs.,"[""A male on Rollerblades"", ""skating down a railing""]","[""male"", ""Rollerblades"", ""skating down a railing""]","[""A male"", ""Rollerblades"", ""skating down a railing""]","[""male"", ""skating down a railing""]"
108,Young boy with a white shirt and jeans singing into a microphone with three other boys in the background.,"[""Young boy"", ""singing"", ""into a microphone""]","[""Young boy"", ""singing""]","[""Young boy"", ""singing""]","[""Young boy"", ""singing into a microphone""]"
109,"Three people, two males and a female, are sitting in front of a tall tree on the ground during a rest from a hike.","[""two males and a female""]","[""two males and a female""]","[""two males and a female""]","[""two males and a female""]"
110,A man wearing an Alaska sweatshirt and a baseball cap is buying lottery tickets.,"[""A man wearing an Alaska sweatshirt and a baseball cap"", ""buying lottery tickets""]","[""A man"", ""is buying lottery tickets""]","[""A man"", ""is buying"", ""lottery tickets""]","[""buying lottery tickets""]"
111,A woman with long dark hair sitting with her legs crossed.,"[""sitting with her legs crossed""]","[""sitting with her legs crossed""]","[""sitting with her legs crossed""]","[""sitting with her legs crossed""]"
112,"Kite surfers are surfing in a shipping harbor on a clear windy day, in the background is a snowcapped mountain.","[""Kite surfers""]","[""Kite surfers""]","[""Kite surfers""]","[""Kite surfers""]"
114,One dog with an object in its mouth is met by another dog nearby a fence.,"[""One dog"", ""an object in its mouth"", ""another dog"", ""nearby a fence""]","[""One dog"", ""with an object"", ""another dog"", ""nearby a fence""]","[""One dog"", ""an object in its mouth"", ""another dog"", ""nearby a fence""]","[""One dog"", ""an object in its mouth"", ""another dog"", ""nearby a fence""]"
117,An older lady in a black shirt is adding ingredients to a KitchenAid mixing bowl as a crowd looks on.,"[""adding ingredients"", ""a crowd looks on""]","[""adding ingredients"", ""KitchenAid mixing bowl""]","[""adding ingredients"", ""mixing bowl"", ""crowd looks on""]","[""KitchenAid mixing bowl"", ""adding ingredients"", ""a crowd looks on""]"
119,Two women with stethoscopes and a man with a blue hairnet on working tedious over an unknown object or person.,"[""Two women"", ""stethoscopes"", ""a blue hairnet""]","[""Two women"", ""stethoscopes"", ""a man"", ""a blue hairnet"", ""working tedious""]","[""stethoscopes"", ""blue hairnet"", ""working tedious over an unknown object or person""]","[""women with stethoscopes"", ""man with a blue hairnet""]"
120,Hispanic man holding a very large basket while standing in the street.,"[""Hispanic man"", ""holding a very large basket"", ""standing in the street""]","[""man"", ""basket""]","[""Hispanic man"", ""holding a very large basket"", ""standing in the street""]","[""man"", ""holding a very large basket""]"
122,A woman is looking on the food she kept in the glass box.,"[""looking on the food""]","[""looking on the food""]","[""looking on"", ""food"", ""glass box""]","[""looking on the food""]"
123,"A group of people are standing outside at a carnival, near a ride called the Green Jungle.","[""standing"", ""near a ride""]","[""standing"", ""near a ride""]","[""standing"", ""near a ride"", ""the Green Jungle""]","[""carnival"", ""a ride called the Green Jungle"", ""standing outside at a carnival, near a ride""]"
124,A young girl sitting on a small chair surrounded by what looks like handmade fabrics and bags.,"[""A young girl"", ""surrounded by"", ""handmade fabrics and bags""]","[""young girl"", ""surrounded by"", ""handmade fabrics and bags""]","[""A young girl"", ""surrounded by"", ""handmade fabrics"", ""bags""]","[""A young girl"", ""surrounded by what looks like handmade fabrics and bags""]"
125,Two women are standing in the snow looking towards a tower with a orange cone shaped light.,"[""a tower"", ""a orange cone shaped light""]","[""tower"", ""orange cone shaped light""]","[""tower"", ""orange cone shaped light""]","[""tower"", ""orange cone shaped light""]"
126,Female performers wearing white stage makeup and costumes with a dark background.,"[""performers"", ""stage makeup"", ""costumes""]","[""performers"", ""stage makeup"", ""costumes""]","[""performers"", ""stage makeup"", ""costumes""]","[""performers"", ""stage makeup"", ""costumes""]"
127,Walkers at an event in a park.,"[""Walkers"", ""at an event"", ""in a park""]","[""Walkers""]","[""Walkers""]","[""Walkers""]"
128,Two people making funny faces at each other.,"[""making funny faces"", ""at each other""]","[""making funny faces"", ""at each other""]","[""at each other""]","[""Two people"", ""making funny faces at each other""]"
130,A man standing in the water.,"[""water""]","[""A man"", ""in the water""]","[""standing in the water""]","[""the water""]"
131,A woman wearing a black coat and sunglasses is standing in front of a man walking away with a backpack.,"[""wearing a black coat"", ""with a backpack""]","[""A woman"", ""a man""]","[""A woman"", ""wearing a black coat"", ""a man""]","[""coat"", ""backpack""]"
132,A little boy is playing on a playground rocking toy.,"[""little boy"", ""playing on a playground rocking toy""]","[""A little boy"", ""playing on a playground rocking toy""]","[""on a playground"", ""rocking toy""]","[""little boy"", ""playground rocking toy""]"
133,A man plays guitar in an outside theater.,"[""plays guitar"", ""outside theater""]","[""A man"", ""plays guitar"", ""in an outside theater""]","[""A man plays guitar"", ""in an outside theater""]","[""plays guitar"", ""in an outside theater""]"
134,A woman stands on the curb next to a busy street.,"[""A woman stands on the curb next to a busy street.""]","[""A woman stands on the curb next to a busy street""]","[""A woman stands on the curb next to a busy street.""]","[""A woman"", ""busy street""]"
135,Two men in a kitchen holding an object.,"[""men"", ""in a kitchen""]","[""Two men in a kitchen"", ""holding an object""]","[""Two men in a kitchen"", ""holding an object"", ""an object""]","[""Two men"", ""in a kitchen"", ""holding an object""]"
136,"Runners, some in costume, in a St Paddy's day Marathon run in the streets as people watch.","[""Runners"", ""St Paddy's day Marathon"", ""run""]","[""Runners"", ""St Paddy's day Marathon""]","[""Runners"", ""St Paddy's day Marathon run""]","[""Runners"", ""St Paddy's day Marathon"", ""run""]"
137,People look upon a monument where a speed is being given.,"[""monument""]","[""monument""]","[""monument""]","[""monument""]"
138,Two people converse in the middle of beautiful apartment buildings.,"[""converse"", ""in the middle of"", ""beautiful apartment buildings""]","[""Two people"", ""in the middle of"", ""beautiful apartment buildings""]","[""Two people converse"", ""beautiful apartment buildings""]","[""Two people"", ""converse"", ""apartment buildings""]"
141,A man watching as one woman in a brown coat is talking to another woman in a gray coat.,"[""one woman"", ""talking to"", ""another woman""]","[""one woman"", ""another woman"", ""is talking to""]","[""one woman"", ""is talking to"", ""another woman""]","[""one woman"", ""is talking to"", ""another woman""]"
142,"Two children, a boy and a girl, running across the dirt.","[""Two children"", ""a boy"", ""a girl""]","[""Two children"", ""a boy and a girl""]","[""a boy"", ""a girl""]","[""Two children"", ""a boy and a girl""]"
143,A man in a green jacket plays a clown-themed carnival game while others watch.,"[""A man in a green jacket"", ""a clown-themed carnival game"", ""others watch""]","[""A man in a green jacket"", ""plays a clown-themed carnival game"", ""while others watch""]","[""A man in a green jacket"", ""plays a clown-themed carnival game""]","[""A man in a green jacket"", ""plays a clown-themed carnival game""]"
144,A boy poses for a picture and in the background a man is hanging by a rope.,"[""a man is hanging by a rope""]","[""a man is hanging by a rope""]","[""a man is hanging by a rope""]","[""a man is hanging by a rope""]"
146,Young brown children watching something on the internet.,"[""Young"", ""children"", ""watching something on the internet""]","[""Young brown children"", ""watching something on the internet""]","[""Young brown children"", ""watching"", ""the internet""]","[""Young brown children"", ""watching something"", ""on the internet""]"
148,A man with a tool belt talks to another man in a basement.,"[""basement""]","[""basement""]","[""a basement""]","[""basement""]"
150,Two women sitting down next to a river.,"[""Two women"", ""next to a river""]","[""Two women sitting down"", ""next to a river""]","[""women"", ""next to"", ""river""]","[""Two women"", ""a river""]"
151,A woman is excited and about to pop a bottle of wine as a young boy stands behind her looking quite anxious.,"[""excited"", ""anxious""]","[""excited"", ""anxious""]","[""A woman"", ""young boy""]","[""looking quite anxious""]"
152,a young male playing with bubbled outside of a business,"[""young male"", ""playing with bubbled""]","[""young male"", ""playing with bubbled""]","[""young male"", ""playing with"", ""bubbled"", ""outside of a business""]","[""a young male"", ""playing with bubbled""]"
154,A bellhop is pushing a cart.,"[""bellhop"", ""pushing a cart""]","[""bellhop"", ""pushing a cart""]","[""bellhop"", ""pushing a cart""]","[""bellhop"", ""pushing a cart""]"
156,Five guys burying themselves in the sand with a dog behind them.,"[""dog"", ""behind them""]","[""Five guys"", ""burying themselves in the sand"", ""dog""]","[""Five guys burying themselves in the sand"", ""a dog behind them""]","[""a dog behind them""]"
157,Man on skis attempting to jump over a snow pile,"[""Man"", ""attempting to jump over a snow pile""]","[""Man"", ""skis""]","[""Man"", ""on skis""]","[""Man"", ""on skis""]"
159,A balding man sits on the sidewalk leaned against a bunch of woven blankets.,"[""man"", ""sits on the sidewalk""]","[""sits on the sidewalk""]","[""man"", ""sits"", ""on the sidewalk""]","[""man"", ""sits"", ""on the sidewalk""]"
160,A vietnamese man driving a tractor through a dirt ravine while a woman rides on the back.,"[""man driving a tractor""]","[""man"", ""driving a tractor""]","[""man driving a tractor""]","[""man driving a tractor""]"
161,Drummers march down the street past onlookers.,"[""Drummers"", ""march down the street""]","[""march down the street""]","[""down the street""]","[""down the street"", ""past onlookers""]"
164,Truck driver driving a eighteen wheeler truck.,"[""Truck driver""]","[""Truck driver""]","[""Truck driver""]","[""Truck driver""]"
165,The child has his mouth open and is surrounded by adults dancing.,"[""The child has his mouth open"", ""is surrounded by adults dancing""]","[""child"", ""adults dancing""]","[""child"", ""surrounded by adults dancing""]","[""child"", ""surrounded by adults dancing""]"
167,We see a shot of a Korean historical drama with a man in bright red and yellow costume is in the foreground.,"[""man"", ""in bright red and yellow costume""]","[""a man in bright red and yellow costume""]","[""in bright red and yellow costume""]","[""a man in bright red and yellow costume""]"
168,People are checking out at target.,"[""checking out"", ""at target""]","[""People"", ""checking out at target""]","[""checking out"", ""at target""]","[""checking out at target""]"
