id,premise_raw,premise_original_necessity,premise_original_necessity_control,premise_original_sufficiency,premise_original_sufficiency_control,coverage_original,premise_lexical_necessity,premise_lexical_necessity_control,premise_lexical_sufficiency,premise_lexical_sufficiency_control,coverage_lexical,premise_syntactic_necessity,premise_syntactic_necessity_control,premise_syntactic_sufficiency,premise_syntactic_sufficiency_control,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_necessity_control,premise_pragmatic_sufficiency,premise_pragmatic_sufficiency_control,coverage_pragmatic
15,Pink shirted woman sleeping in a car with blue and white blanket on her.,Pink shirted woman _____ in a car with blue and white blanket on her.,Pink shirted woman sleeping _____ a car with blue and white blanket on her.,_____ _____ _____ sleeping _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ blanket _____ _____,0.0714,Pink shirted woman _____ in a car with blue and white blanket on her.,Pink shirted woman sleeping in a car with blue and white _____ on her.,_____ _____ _____ sleeping _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ in _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0714,Pink shirted woman _____ in a car with blue and white blanket on her.,Pink shirted woman sleeping in a _____ with blue and white blanket on her.,_____ _____ _____ sleeping _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ car _____ _____ _____ _____ _____ _____ _____,0.0714,Pink shirted woman _____ in a car with blue and white blanket on her.,Pink shirted woman sleeping in a car with blue and white blanket on _____,_____ _____ _____ sleeping _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ white _____ _____ _____,0.0714
16,A pair of black women on the street where one of them is walking past.,_____ _____ _____ _____ _____ on the street where _____ _____ _____ _____ _____ past.,A pair of black women _____ _____ _____ _____ one of them is walking _____,A pair of black women _____ _____ _____ _____ one of them is walking _____,A pair of black _____ on _____ street where _____ of them is _____ _____,0.6667,A pair of black women on the street where _____ _____ _____ is _____ _____,_____ pair _____ _____ women on _____ street where one of them _____ walking past.,_____ _____ _____ _____ _____ _____ _____ _____ _____ one of them _____ walking past.,A _____ _____ black _____ _____ _____ _____ where one _____ _____ _____ walking _____,0.3333,_____ _____ _____ _____ _____ on the street where _____ _____ _____ _____ _____ _____,A pair of black women _____ _____ _____ _____ one of them is walking past.,A pair of black women _____ _____ _____ _____ one of them is walking past.,A pair of black _____ _____ the _____ _____ one of them is walking past.,0.7333,_____ _____ _____ _____ _____ on the street where _____ _____ _____ _____ _____ _____,A pair of black women _____ _____ _____ _____ one of them is walking past.,A pair of black women _____ _____ _____ _____ one of them is walking past.,_____ _____ of black women on the street where _____ of _____ is walking past.,0.7333
17,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat by the pool.,We see the backs of a young Asian girl with a green shirt and a red hat _____ _____ with a young Asian girl with a striped pink shirt and a pink hat _____ _____ _____,We see _____ backs of a _____ Asian _____ with a green _____ and a red hat holding hands with a young Asian girl with a striped pink shirt and a _____ hat by the pool.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ holding hands _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the pool.,_____ _____ _____ _____ _____ _____ young _____ _____ _____ _____ _____ shirt _____ _____ red _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ striped _____ _____ _____ a _____ _____ _____ _____ _____,0.1389,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat _____ _____ _____,We see the backs of a young Asian girl with a green shirt _____ a red hat holding hands with _____ young Asian girl with a striped pink shirt and a _____ hat by the pool.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the pool.,_____ _____ _____ _____ _____ _____ young _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ Asian _____ _____ _____ _____ pink _____ _____ _____ _____ _____ _____ _____ _____,0.0833,We see the backs of a young Asian girl with a green shirt and a red hat _____ _____ with a young Asian girl with a striped pink shirt and a pink hat _____ _____ _____,We see the backs of a young Asian girl with a green _____ and _____ red hat holding hands with a young _____ girl with a striped pink shirt and _____ _____ hat by the pool.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ holding hands _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the pool.,_____ _____ _____ backs _____ _____ young _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ striped pink _____ and _____ _____ _____ _____ _____ _____,0.1389,We see the backs of a young Asian girl with a green shirt and a red hat _____ _____ with a young Asian girl with a striped pink shirt and a pink hat _____ _____ _____,We see the backs _____ a young _____ _____ with a green shirt and a red hat holding hands _____ a young Asian girl with _____ striped pink shirt and a pink hat by the pool.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ holding hands _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the pool.,_____ _____ _____ backs _____ _____ young _____ _____ _____ _____ _____ _____ _____ _____ red _____ _____ _____ _____ _____ young _____ _____ _____ a _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.1389
18,two man in the army with a small boy from the area.,_____ _____ _____ _____ _____ with _____ _____ _____ from the area.,two man in the army _____ a small boy _____ _____ _____,two man in the army _____ a small boy _____ _____ _____,_____ man in the _____ _____ _____ small boy from the area.,0.6667,two man _____ _____ _____ _____ _____ _____ _____ from the area.,_____ _____ in the army with a small boy _____ _____ _____,_____ _____ in the army with a small boy _____ _____ _____,two man _____ the _____ with _____ small _____ from _____ area.,0.5833,_____ _____ _____ _____ _____ with _____ _____ _____ from the area.,two man in the army _____ a small boy _____ _____ _____,two man in the army _____ a small boy _____ _____ _____,two man in the _____ with a _____ boy _____ _____ area.,0.6667,_____ _____ _____ _____ _____ with _____ _____ _____ from the area.,two man in the army _____ a small boy _____ _____ _____,two man in the army _____ a small boy _____ _____ _____,two _____ in the _____ _____ a _____ boy from the area.,0.6667
19,A street vendor sitting on a sidewalk with eggs and live chickens.,A street vendor _____ on a sidewalk with eggs and live chickens.,A street vendor sitting on a sidewalk with eggs _____ live chickens.,_____ _____ _____ sitting _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ with _____ _____ _____ _____,0.0833,A street vendor _____ on a sidewalk with eggs and live chickens.,A street vendor sitting on _____ sidewalk with eggs and live chickens.,_____ _____ _____ sitting _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ on _____ _____ _____ _____ _____ _____ _____,0.0833,_____ _____ _____ _____ on a sidewalk with eggs and live chickens.,A street vendor sitting on a _____ _____ _____ and _____ chickens.,A street vendor sitting _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ vendor _____ _____ _____ sidewalk with eggs _____ _____ _____,0.3333,A street vendor _____ on a sidewalk with eggs and live chickens.,A street vendor sitting _____ a sidewalk with eggs and live chickens.,_____ _____ _____ sitting _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ sitting _____ _____ _____ _____ _____ _____ _____ _____,0.0833
20,A man painted in gold with cycle stands in the street.,A man _____ _____ _____ with cycle stands _____ _____ _____,_____ _____ painted in gold _____ _____ _____ in the street.,_____ _____ painted in gold _____ _____ _____ in the street.,A _____ painted in gold with _____ _____ in _____ _____,0.5455,A man _____ _____ _____ with cycle _____ _____ _____ _____,_____ _____ painted in gold _____ _____ stands in the street.,_____ _____ painted in gold _____ _____ stands in the street.,A _____ painted _____ gold _____ cycle stands _____ the street.,0.6364,A man painted in gold with cycle stands _____ _____ _____,A man _____ _____ _____ with cycle stands in the street.,_____ _____ _____ _____ _____ _____ _____ _____ in the street.,_____ man painted _____ _____ _____ _____ _____ _____ the _____,0.2727,A man painted in gold with cycle stands _____ _____ _____,_____ _____ painted in gold with _____ stands in the street.,_____ _____ _____ _____ _____ _____ _____ _____ in the street.,_____ _____ _____ in _____ _____ cycle _____ _____ _____ street.,0.2727
21,"With a beautiful blue sky and green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear waters carry something white.",With a _____ _____ _____ _____ _____ _____ _____ _____ _____ a _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ carry something white.,"_____ _____ beautiful blue sky and green mountains in the background, _____ man in blue shorts and a blue shirt wades through the shallow, clear waters _____ _____ _____","_____ _____ beautiful blue sky and green mountains in the background, _____ man in blue shorts and a blue shirt wades through the shallow, clear waters _____ _____ _____","_____ a beautiful blue sky and green mountains in _____ background, a man in blue _____ and a blue shirt _____ through the _____ clear waters _____ something white.",0.7931,"With a _____ _____ _____ and _____ _____ _____ _____ _____ _____ _____ in _____ _____ _____ _____ _____ _____ wades through the shallow, clear waters carry something white.","_____ _____ beautiful blue sky _____ green mountains in the background, a man _____ blue shorts and a blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____","_____ _____ beautiful blue sky _____ green mountains in the background, a man _____ blue shorts and a blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____","With _____ beautiful blue _____ and green _____ in the background, _____ _____ _____ blue _____ _____ a blue shirt wades _____ _____ shallow, clear _____ carry _____ _____",0.5517,With a beautiful blue sky and _____ _____ _____ _____ _____ _____ _____ in _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ carry something white.,"_____ _____ _____ _____ _____ _____ green mountains in the background, a man _____ blue shorts and a blue shirt wades through the shallow, clear waters _____ _____ _____","_____ _____ _____ _____ _____ _____ green mountains in the background, a man _____ blue shorts and a blue shirt wades through the shallow, clear waters _____ _____ _____",With a beautiful blue sky and _____ mountains _____ the _____ a _____ _____ blue _____ and a _____ shirt wades _____ the _____ clear waters _____ something white.,0.6552,With a _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ carry something white.,"_____ _____ beautiful blue sky and green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear waters _____ _____ _____","_____ _____ beautiful blue sky and green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear waters _____ _____ _____","With a beautiful _____ sky and green mountains in the background, _____ _____ in _____ shorts and a blue shirt wades through the shallow, _____ waters carry something white.",0.8276
22,A large crowd of people are walking.,A large crowd of people _____ _____,_____ _____ crowd of people are walking.,_____ _____ _____ _____ _____ are walking.,_____ large _____ _____ _____ are _____,0.2857,A large crowd of people are _____,A large crowd of people _____ walking.,_____ _____ _____ _____ _____ _____ walking.,_____ _____ _____ of _____ _____ _____,0.1429,A _____ _____ of people are _____,A large crowd _____ _____ _____ walking.,_____ large crowd _____ _____ _____ walking.,_____ _____ _____ of people are _____,0.4286,A large crowd of people are _____,A large crowd of _____ are walking.,_____ _____ _____ _____ _____ _____ walking.,_____ _____ _____ _____ people _____ _____,0.1429
23,Two elderly people sit in handicapped chairs on a train.,_____ _____ _____ sit in handicapped chairs _____ _____ _____,Two elderly people _____ _____ _____ _____ on a train.,Two elderly people _____ _____ _____ _____ on a train.,Two elderly _____ _____ in handicapped _____ on a _____,0.6000,_____ _____ _____ sit in handicapped chairs _____ _____ _____,Two elderly people _____ _____ _____ _____ on a train.,Two elderly people _____ _____ _____ _____ on a train.,Two elderly people sit _____ handicapped _____ _____ _____ train.,0.6000,Two elderly people sit in handicapped chairs _____ _____ _____,_____ elderly people _____ in _____ chairs on a train.,_____ _____ _____ _____ _____ _____ _____ on a train.,Two _____ _____ _____ in handicapped _____ _____ _____ _____,0.3000,Two elderly people sit in handicapped chairs _____ _____ _____,Two elderly people _____ _____ handicapped _____ on a train.,_____ _____ _____ _____ _____ _____ _____ on a train.,_____ _____ _____ sit _____ handicapped _____ _____ a _____,0.3000
24,A woman cuts a cake while the woman next to her holds out a plate.,A woman _____ _____ _____ while the woman next to her _____ _____ _____ _____,_____ _____ cuts a cake _____ _____ _____ _____ to _____ holds out a plate.,_____ _____ cuts a cake _____ _____ _____ _____ _____ _____ holds out a plate.,_____ woman cuts _____ _____ while the _____ next to her _____ _____ _____ _____,0.4667,A woman _____ _____ _____ while the woman next to her _____ _____ _____ _____,_____ _____ cuts a cake _____ _____ _____ _____ to _____ holds out a plate.,_____ _____ cuts a cake _____ _____ _____ _____ _____ _____ holds out a plate.,A _____ cuts a _____ _____ the _____ _____ _____ _____ holds out _____ plate.,0.4667,A woman _____ _____ _____ while the woman next to her _____ _____ _____ _____,_____ _____ cuts a cake _____ _____ _____ _____ to _____ holds out a plate.,_____ _____ cuts a cake _____ _____ _____ _____ _____ _____ holds out a plate.,_____ _____ _____ a cake while the _____ _____ _____ her holds out _____ _____,0.4667,A woman _____ _____ _____ while the woman next to her _____ _____ _____ _____,_____ _____ cuts a cake _____ the _____ _____ _____ _____ holds out a plate.,_____ _____ cuts a cake _____ _____ _____ _____ _____ _____ holds out a plate.,A woman cuts _____ _____ _____ the woman _____ _____ _____ holds out _____ _____,0.4667
25,A person with a bag walking in a big city.,A _____ with a _____ _____ in a big city.,_____ person with _____ bag walking in a _____ city.,_____ person _____ _____ bag walking _____ _____ _____ _____,_____ _____ _____ a _____ _____ _____ a _____ city.,0.3000,A person with a _____ _____ in a big city.,_____ person with _____ bag walking in a big city.,_____ _____ _____ _____ bag walking _____ _____ _____ _____,_____ _____ _____ _____ bag walking _____ _____ _____ _____,0.2000,A person _____ _____ _____ _____ in a big city.,_____ _____ with a bag walking in _____ _____ city.,_____ _____ with a bag walking _____ _____ _____ _____,A _____ _____ a _____ walking _____ _____ _____ city.,0.4000,_____ _____ _____ _____ _____ _____ in a big city.,A person with a bag walking _____ _____ _____ _____,A person with a bag walking _____ _____ _____ _____,A _____ with a _____ walking in _____ big _____,0.6000
26,14 men standing on a stairway outside almost all wearing the same shirt.,14 men _____ on a stairway outside almost all wearing the same shirt.,14 men standing on a stairway outside almost all wearing the same _____,_____ _____ standing _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ stairway _____ _____ _____ _____ _____ _____ _____,0.0769,14 men _____ on a stairway outside _____ _____ _____ _____ _____ _____,_____ _____ standing _____ _____ _____ _____ almost all wearing the same shirt.,_____ _____ standing _____ _____ _____ _____ almost all wearing the same shirt.,14 _____ _____ _____ _____ stairway outside almost all _____ the same _____,0.5385,14 men _____ on a stairway outside almost all wearing the same shirt.,14 men standing on a stairway outside almost _____ wearing the same shirt.,_____ _____ standing _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ a _____ _____ _____ _____ _____ _____ _____ _____,0.0769,14 men _____ _____ _____ _____ outside almost all _____ _____ _____ _____,_____ _____ standing on a stairway _____ _____ _____ wearing the same shirt.,_____ _____ standing on a stairway _____ _____ _____ wearing the same shirt.,14 men standing _____ a stairway outside _____ _____ wearing _____ _____ shirt.,0.6154
