id,gold_label,bucket_original,coverage_original,pred_original_raw,pred_original_nec,pred_original_suff,pred_original_gho,score_original_nec_flip,score_original_gho_flip,score_original_suff_stay,truth_original_correct,bucket_lexical,coverage_lexical,pred_lexical_raw,pred_lexical_nec,pred_lexical_suff,pred_lexical_gho,score_lexical_nec_flip,score_lexical_gho_flip,score_lexical_suff_stay,truth_lexical_correct,bucket_syntactic,coverage_syntactic,pred_syntactic_raw,pred_syntactic_nec,pred_syntactic_suff,pred_syntactic_gho,score_syntactic_nec_flip,score_syntactic_gho_flip,score_syntactic_suff_stay,truth_syntactic_correct,bucket_pragmatic,coverage_pragmatic,pred_pragmatic_raw,pred_pragmatic_nec,pred_pragmatic_suff,pred_pragmatic_gho,score_pragmatic_nec_flip,score_pragmatic_gho_flip,score_pragmatic_suff_stay,truth_pragmatic_correct
15,contradiction,Local,0.0714,contradiction,neutral,neutral,contradiction,1,0,0,1,Local,0.0714,contradiction,neutral,neutral,contradiction,1,0,0,1,Local,0.0714,contradiction,neutral,neutral,contradiction,1,0,0,1,Local,0.0714,contradiction,neutral,neutral,contradiction,1,0,0,1
16,neutral,Mixed,0.6667,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.3333,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.7333,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.7333,neutral,neutral,neutral,neutral,0,0,1,1
17,contradiction,Local,0.1389,contradiction,neutral,contradiction,contradiction,1,0,1,1,Local,0.0833,contradiction,contradiction,neutral,contradiction,0,0,0,1,Local,0.1389,contradiction,neutral,contradiction,contradiction,1,0,1,1,Local,0.1389,contradiction,neutral,contradiction,contradiction,1,0,1,1
18,neutral,Mixed,0.6667,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.5833,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.6667,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.6667,neutral,neutral,neutral,neutral,0,0,1,1
19,entailment,Local,0.0833,entailment,neutral,neutral,entailment,1,0,0,1,Local,0.0833,entailment,neutral,neutral,entailment,1,0,0,1,Local,0.3333,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.0833,entailment,neutral,neutral,entailment,1,0,0,1
20,neutral,Mixed,0.5455,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.6364,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.2727,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.2727,neutral,neutral,neutral,neutral,0,0,1,1
21,entailment,Mixed,0.7931,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.5517,entailment,neutral,neutral,neutral,1,1,0,1,Mixed,0.6552,entailment,neutral,entailment,entailment,1,0,1,1,Global,0.8276,entailment,neutral,entailment,entailment,1,0,1,1
22,neutral,Local,0.2857,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1429,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.4286,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1429,neutral,neutral,neutral,neutral,0,0,1,1
23,neutral,Mixed,0.6000,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.6000,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.3000,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.3000,neutral,neutral,neutral,neutral,0,0,1,1
24,neutral,Mixed,0.4667,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.4667,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.4667,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.4667,neutral,neutral,neutral,neutral,0,0,1,1
25,contradiction,Local,0.3000,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.2000,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.4000,neutral,neutral,neutral,neutral,0,0,1,0,Mixed,0.6000,neutral,neutral,neutral,contradiction,0,1,1,0
26,neutral,Local,0.0769,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.5385,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.0769,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.6154,neutral,neutral,neutral,neutral,0,0,1,1
27,contradiction,Local,0.2222,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.3333,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.3333,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.3333,neutral,neutral,neutral,contradiction,0,1,1,0
28,neutral,Local,0.2500,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.2500,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.2500,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.4375,neutral,neutral,neutral,neutral,0,0,1,1
29,entailment,Local,0.0952,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.0476,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.0476,neutral,entailment,neutral,neutral,1,0,1,0,Local,0.2857,neutral,neutral,neutral,entailment,0,1,1,0
30,neutral,Mixed,0.5000,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.5000,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1667,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.5000,neutral,neutral,neutral,neutral,0,0,1,1
31,contradiction,Global,0.8571,neutral,neutral,neutral,neutral,0,0,1,0,Global,1.0000,neutral,neutral,neutral,neutral,0,0,1,0,Mixed,0.7143,neutral,neutral,neutral,neutral,0,0,1,0,Global,1.0000,neutral,neutral,neutral,neutral,0,0,1,0
32,neutral,Mixed,0.6154,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.2308,neutral,neutral,neutral,unknown,0,0,1,1,Mixed,0.4615,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.5385,neutral,neutral,neutral,neutral,0,0,1,1
33,neutral,Local,0.2353,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.4706,neutral,neutral,neutral,unknown,0,0,1,1,Mixed,0.5294,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.2353,neutral,neutral,neutral,neutral,0,0,1,1
34,neutral,Local,0.0909,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.0909,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.0909,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1818,neutral,neutral,neutral,neutral,0,0,1,1
35,contradiction,Mixed,0.6667,contradiction,neutral,contradiction,contradiction,1,0,1,1,Mixed,0.5000,contradiction,neutral,neutral,neutral,1,1,0,1,Mixed,0.5000,contradiction,neutral,neutral,neutral,1,1,0,1,Mixed,0.5000,contradiction,neutral,neutral,neutral,1,1,0,1
36,entailment,Local,0.0750,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.0750,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.0750,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.0750,entailment,neutral,entailment,entailment,1,0,1,1
37,neutral,Local,0.1667,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.2222,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.3889,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1111,neutral,neutral,neutral,neutral,0,0,1,1
38,neutral,Mixed,0.6364,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.7273,neutral,neutral,neutral,neutral,0,0,1,1,Global,0.8182,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.7273,neutral,neutral,neutral,neutral,0,0,1,1
39,contradiction,Local,0.3333,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.3333,neutral,neutral,neutral,neutral,0,0,1,0,Mixed,0.5333,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.2000,neutral,neutral,neutral,neutral,0,0,1,0
41,neutral,Local,0.2500,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.2500,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.0833,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1667,neutral,neutral,neutral,neutral,0,0,1,1
42,neutral,Local,0.0769,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.4615,neutral,neutral,neutral,unknown,0,0,1,1,Local,0.0769,neutral,neutral,neutral,neutral,0,0,1,1,Global,0.8462,neutral,neutral,neutral,neutral,0,0,1,1
44,entailment,Global,0.8333,entailment,neutral,entailment,entailment,1,0,1,1,Global,0.8333,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.6667,entailment,neutral,entailment,entailment,1,0,1,1,Global,0.8333,entailment,neutral,entailment,entailment,1,0,1,1
45,entailment,Local,0.3158,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.2105,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.2632,entailment,neutral,entailment,neutral,1,1,1,1,Local,0.2632,entailment,neutral,entailment,entailment,1,0,1,1
46,neutral,Local,0.3500,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.4000,neutral,neutral,neutral,neutral,0,0,1,1,Global,1.0000,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.4000,neutral,neutral,neutral,neutral,0,0,1,1
48,contradiction,Local,0.3333,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.3889,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.2778,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.2222,neutral,neutral,neutral,neutral,0,0,1,0
50,entailment,Mixed,0.5000,entailment,entailment,entailment,entailment,0,0,1,1,Local,0.3000,entailment,entailment,neutral,entailment,0,0,0,1,Mixed,0.5000,entailment,entailment,neutral,neutral,0,1,0,1,Mixed,0.5000,entailment,entailment,entailment,entailment,0,0,1,1
51,entailment,Global,1.0000,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.6667,entailment,neutral,neutral,neutral,1,1,0,1,Global,1.0000,entailment,neutral,entailment,entailment,1,0,1,1,Global,1.0000,entailment,neutral,neutral,neutral,1,1,0,1
52,contradiction,Mixed,0.4167,contradiction,neutral,neutral,neutral,1,1,0,1,Mixed,0.7500,contradiction,neutral,neutral,neutral,1,1,0,1,Local,0.3333,contradiction,neutral,neutral,neutral,1,1,0,1,Mixed,0.4167,contradiction,neutral,neutral,neutral,1,1,0,1
53,entailment,Local,0.4000,entailment,neutral,neutral,neutral,1,1,0,1,Local,0.4000,entailment,neutral,neutral,neutral,1,1,0,1,Mixed,0.6000,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.4000,entailment,neutral,neutral,neutral,1,1,0,1
54,entailment,Mixed,0.5000,entailment,neutral,neutral,neutral,1,1,0,1,Mixed,0.6250,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.3750,entailment,neutral,neutral,entailment,1,0,0,1,Mixed,0.7500,entailment,neutral,entailment,entailment,1,0,1,1
55,entailment,Global,1.0000,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.2500,entailment,neutral,neutral,entailment,1,0,0,1,Local,0.3750,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.3750,entailment,neutral,entailment,entailment,1,0,1,1
56,neutral,Mixed,0.6923,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.6154,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.6154,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.6923,neutral,neutral,neutral,neutral,0,0,1,1
58,entailment,Local,0.1333,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.1333,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.1333,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.1333,neutral,neutral,neutral,neutral,0,0,1,0
59,contradiction,Mixed,0.6154,neutral,neutral,neutral,neutral,0,0,1,0,Global,0.9231,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.2308,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.1538,neutral,neutral,neutral,neutral,0,0,1,0
63,neutral,Local,0.1333,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1333,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.2667,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1333,neutral,neutral,neutral,neutral,0,0,1,1
64,neutral,Local,0.1667,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1667,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1667,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1667,neutral,neutral,neutral,neutral,0,0,1,1
65,entailment,Mixed,0.7273,entailment,neutral,neutral,neutral,1,1,0,1,Local,0.3636,entailment,neutral,neutral,entailment,1,0,0,1,Global,1.0000,entailment,neutral,entailment,entailment,1,0,1,1,Global,1.0000,entailment,neutral,neutral,entailment,1,0,0,1
66,neutral,Local,0.3333,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.3333,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.3333,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.3333,neutral,neutral,neutral,neutral,0,0,1,1
67,neutral,Local,0.1111,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.4444,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.4444,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.7778,neutral,neutral,neutral,neutral,0,0,1,1
68,entailment,Global,0.8333,entailment,neutral,entailment,entailment,1,0,1,1,Global,0.8333,neutral,neutral,neutral,entailment,0,1,1,0,Global,0.8333,entailment,neutral,entailment,entailment,1,0,1,1,Global,0.8333,entailment,neutral,entailment,entailment,1,0,1,1
69,entailment,Local,0.2800,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.2000,entailment,neutral,neutral,entailment,1,0,0,1,Local,0.1600,entailment,neutral,neutral,entailment,1,0,0,1,Local,0.1600,entailment,neutral,neutral,entailment,1,0,0,1
70,neutral,Local,0.2222,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.3333,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.3333,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.3333,neutral,neutral,neutral,neutral,0,0,1,1
71,contradiction,Local,0.3750,contradiction,neutral,neutral,neutral,1,1,0,1,Mixed,0.5000,contradiction,neutral,neutral,neutral,1,1,0,1,Local,0.3750,contradiction,neutral,neutral,contradiction,1,0,0,1,Mixed,0.5000,contradiction,neutral,neutral,neutral,1,1,0,1
74,contradiction,Mixed,0.4286,neutral,neutral,neutral,neutral,0,0,1,0,Global,1.0000,neutral,neutral,neutral,neutral,0,0,1,0,Mixed,0.5714,neutral,neutral,neutral,neutral,0,0,1,0,Mixed,0.5714,neutral,neutral,neutral,neutral,0,0,1,0
75,neutral,Local,0.3158,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.3158,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.3158,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.3684,neutral,neutral,neutral,neutral,0,0,1,1
77,entailment,Local,0.2222,entailment,neutral,neutral,entailment,1,0,0,1,Local,0.1111,entailment,neutral,neutral,entailment,1,0,0,1,Local,0.2222,entailment,neutral,neutral,neutral,1,1,0,1,Local,0.1111,entailment,neutral,neutral,entailment,1,0,0,1
78,neutral,Local,0.1111,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1111,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1111,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1111,neutral,neutral,neutral,neutral,0,0,1,1
79,contradiction,Local,0.2222,contradiction,neutral,contradiction,contradiction,1,0,1,1,Local,0.2222,contradiction,neutral,contradiction,contradiction,1,0,1,1,Mixed,0.7778,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.2222,contradiction,neutral,neutral,neutral,1,1,0,1
80,contradiction,Local,0.1905,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.2381,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.3810,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.2381,neutral,neutral,neutral,neutral,0,0,1,0
81,entailment,Mixed,0.4444,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.1111,entailment,neutral,neutral,entailment,1,0,0,1,Local,0.3333,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.2222,entailment,neutral,neutral,entailment,1,0,0,1
82,neutral,Mixed,0.7000,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.7000,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.7000,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.7000,neutral,neutral,neutral,neutral,0,0,1,1
83,contradiction,Mixed,0.7143,neutral,neutral,neutral,neutral,0,0,1,0,Mixed,0.5714,neutral,neutral,neutral,neutral,0,0,1,0,Global,1.0000,neutral,neutral,neutral,neutral,0,0,1,0,Mixed,0.5714,neutral,neutral,neutral,neutral,0,0,1,0
84,entailment,Global,1.0000,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.6000,entailment,neutral,entailment,entailment,1,0,1,1,Global,1.0000,entailment,neutral,entailment,entailment,1,0,1,1,Global,1.0000,entailment,neutral,neutral,entailment,1,0,0,1
85,contradiction,Local,0.2000,contradiction,neutral,neutral,contradiction,1,0,0,1,Local,0.2000,contradiction,neutral,contradiction,contradiction,1,0,1,1,Local,0.2000,contradiction,neutral,contradiction,contradiction,1,0,1,1,Local,0.2000,contradiction,neutral,neutral,contradiction,1,0,0,1
86,entailment,Mixed,0.4167,entailment,neutral,entailment,neutral,1,1,1,1,Mixed,0.4167,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.4167,entailment,entailment,entailment,entailment,0,0,1,1,Mixed,0.4167,entailment,neutral,entailment,entailment,1,0,1,1
87,contradiction,Local,0.1765,contradiction,neutral,neutral,contradiction,1,0,0,1,Local,0.2353,contradiction,neutral,neutral,neutral,1,1,0,1,Local,0.2353,contradiction,neutral,neutral,contradiction,1,0,0,1,Local,0.0588,contradiction,neutral,neutral,contradiction,1,0,0,1
88,contradiction,Local,0.2353,contradiction,contradiction,neutral,contradiction,0,0,0,1,Local,0.1765,contradiction,contradiction,neutral,contradiction,0,0,0,1,Local,0.1765,contradiction,contradiction,neutral,neutral,0,1,0,1,Local,0.2353,contradiction,neutral,neutral,contradiction,1,0,0,1
89,neutral,Mixed,0.8000,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.8000,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.4000,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.8000,neutral,neutral,neutral,neutral,0,0,1,1
90,neutral,Global,0.8750,neutral,contradiction,neutral,neutral,1,0,1,1,Global,0.8750,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.5625,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.5000,neutral,neutral,neutral,neutral,0,0,1,1
91,entailment,Local,0.2143,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.2143,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.2143,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.2143,entailment,neutral,entailment,entailment,1,0,1,1
92,entailment,Mixed,0.6250,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.3750,entailment,neutral,neutral,entailment,1,0,0,1,Mixed,0.6250,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.6250,entailment,neutral,entailment,neutral,1,1,1,1
93,entailment,Mixed,0.4375,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.4375,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.5625,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.4375,entailment,neutral,entailment,entailment,1,0,1,1
95,contradiction,Local,0.0833,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.2500,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.0833,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.2500,neutral,neutral,neutral,contradiction,0,1,1,0
97,entailment,Local,0.2000,entailment,neutral,neutral,entailment,1,0,0,1,Local,0.4000,entailment,neutral,neutral,neutral,1,1,0,1,Local,0.4000,entailment,neutral,neutral,neutral,1,1,0,1,Local,0.4000,entailment,neutral,neutral,neutral,1,1,0,1
99,contradiction,Local,0.4000,contradiction,neutral,neutral,contradiction,1,0,0,1,Local,0.4000,contradiction,neutral,neutral,neutral,1,1,0,1,Local,0.4000,contradiction,neutral,neutral,contradiction,1,0,0,1,Local,0.4000,contradiction,neutral,neutral,neutral,1,1,0,1
101,entailment,Local,0.4000,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.8000,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.8000,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.3000,entailment,neutral,neutral,entailment,1,0,0,1
102,neutral,Mixed,0.5000,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.5000,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.5000,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.7000,neutral,neutral,neutral,neutral,0,0,1,1
103,entailment,Mixed,0.5263,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.5789,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.5263,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.5263,entailment,neutral,entailment,entailment,1,0,1,1
104,entailment,Local,0.1818,entailment,neutral,neutral,entailment,1,0,0,1,Local,0.1818,entailment,neutral,neutral,neutral,1,1,0,1,Local,0.3636,entailment,neutral,neutral,entailment,1,0,0,1,Local,0.1818,entailment,neutral,neutral,entailment,1,0,0,1
106,neutral,Local,0.1667,neutral,neutral,neutral,neutral,0,0,1,1,Global,0.9167,neutral,neutral,neutral,neutral,0,0,1,1,Global,0.9167,neutral,neutral,neutral,neutral,0,0,1,1,Global,1.0000,neutral,neutral,neutral,neutral,0,0,1,1
107,entailment,Mixed,0.5455,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.5455,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.4545,entailment,neutral,neutral,neutral,1,1,0,1,Local,0.3636,entailment,neutral,neutral,neutral,1,1,0,1
108,entailment,Local,0.1579,entailment,neutral,neutral,entailment,1,0,0,1,Local,0.1579,entailment,entailment,entailment,entailment,0,0,1,1,Local,0.1579,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.2105,entailment,neutral,neutral,entailment,1,0,0,1
109,contradiction,Local,0.2500,contradiction,entailment,contradiction,contradiction,1,0,1,1,Local,0.0833,contradiction,contradiction,neutral,contradiction,0,0,0,1,Local,0.2083,contradiction,neutral,contradiction,contradiction,1,0,1,1,Local,0.1667,contradiction,neutral,neutral,neutral,1,1,0,1
110,neutral,Local,0.2857,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1429,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.1429,neutral,neutral,neutral,unknown,0,0,1,1,Global,0.9286,neutral,neutral,neutral,neutral,0,0,1,1
111,neutral,Mixed,0.4545,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.4545,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.4545,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.4545,neutral,neutral,neutral,neutral,0,0,1,1
112,contradiction,Local,0.1000,contradiction,contradiction,contradiction,contradiction,0,0,1,1,Local,0.1000,contradiction,contradiction,contradiction,contradiction,0,0,1,1,Local,0.1000,contradiction,contradiction,contradiction,contradiction,0,0,1,1,Local,0.1000,contradiction,contradiction,contradiction,contradiction,0,0,1,1
114,contradiction,Mixed,0.6875,contradiction,neutral,neutral,neutral,1,1,0,1,Global,0.9375,contradiction,neutral,neutral,contradiction,1,0,0,1,Mixed,0.6875,contradiction,contradiction,neutral,contradiction,0,0,0,1,Mixed,0.5000,contradiction,neutral,neutral,neutral,1,1,0,1
117,neutral,Local,0.2000,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.3500,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.4000,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.3500,neutral,neutral,neutral,neutral,0,0,1,1
